Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1997,53.376999,46.299999,24.357,,9.103,,9.103,-26.382999,,,,,,-5.753,-5.753,,-5.753,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,47.623999,,,
03/31/1998,-82.787003,48.955002,19.194,,0.45,,0.45,-151.386002,,,,,,,-3.225,,-3.225,,,,,,,,,,,,,,,,,,3.225,,,,,,,,,,,,,,,56.566002,126.508003,
06/30/1998,-10.861,44.699001,17.903,,-240.035004,,-240.035004,166.572006,,,,,,-9.729,-9.729,,-9.729,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-20.59,-9.333,191.434006,
09/30/1998,96.713997,56.477001,41.118,,251.139999,,251.139999,-252.020996,,,,,,,-4.253,,-4.253,,,,,,,,,,,,,,,,,,4.253,,,,,,,,,,,,,,,0.929,182.850998,
12/31/1998,33.582001,57.842999,24.903999,,-116.113998,,-116.113998,66.948997,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-0.974,182.673996,
03/31/1999,180.073,66.906,26.38,,4.598,,4.598,82.189,,,,,,,-3.382996,,-3.382996,,,,,,,,,,,,,,,,,,3.382996,,,,,,,,,,,,,,,101.663,177.236,
06/30/1999,218.709,65.038,26.613,,6.828,,6.828,120.23,,,,,,,-3.491,,-3.491,,,,,,,,,,,,,,,,,,3.491,,,,,,,,,,,,,,,11.131,176.858,
09/30/1999,161.043,67.564,32.993,,1.632,,1.632,58.854,,,,,,,-4.317,,-4.317,,,,,,,,,,,,,,,,,,4.317,,,,,,,,,,,,,,,0.571,183.583,
12/31/1999,40.71,66.118,35.717,,10.023,,10.023,-71.148,,,,,,-11.742,-11.742,,-11.742,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,28.968,139.119,185.429,
03/31/2000,170.308,68.235,15.893,,17.877,,17.877,68.303,,,,,,,-2.018,,-2.018,,,,,,,,,,,,,,,,,,2.018,,,,,,,,,,,,,,,0.216,199.942,
06/30/2000,-15.809,71.538,41.254,,-10.394,,-10.394,-118.207,,,,,,,-1.473,,-1.473,,,,,,,,,,,,,,,,,,1.473,,,,,,,,,,,,,,,80.497,198.609,
09/30/2000,115.259003,74.416,29.931999,,0.472,,0.472,10.439,,,,,,,-7.799,,-7.799,,,,,,,,,,,,,,,,,,7.799,,,,,,,,,,,,,,,30.054001,214.330994,
12/31/2000,76.884,71.967,50.661,,5.569,,5.569,-51.313,,,,,,-7.494,-7.494,,-7.494,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,69.39,36.242,257.6,
03/31/2001,52.287998,83.666,58.573002,,4.362,,4.362,-94.313004,,,,,,,-3.491,,-3.491,,,,,,,,,,,,,,,,,,3.491,,,,,,,,,,,,,,,2.952,281.295013,
06/30/2001,-89.497,94.808,65.364,,-4.384,,-4.384,-245.285,,,,,,,-6.608,,-6.608,,,,,,,,,,,,,,,,,,6.608,,,,,,,,,,,,,,,70.334,277.905,
09/30/2001,212.720993,97.866997,69.628998,,1.475,,1.475,43.75,,,,,,,-6.246,,-6.246,,,,,,,,,,,,,,,,,,6.246,,,,,,,,,,,,,,,74.685997,230.589996,
12/31/2001,-21.21,101.734,72.174,,10.259,,10.259,-205.377,,,,,,-7.393,-7.393,,-7.393,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-28.603,41.59,218.356,
03/31/2002,409.2,113.577,31.99,24.0,-13.097,-12.901,-0.196,252.73,,,,,,-86.311,-2.51,0.0,-2.51,144.212,236.772,,,,-92.56,,,,-162.104,,,,,,,,-65.909,-313.745,-23.231,-254.656,,,,,-99.317,0.0,-99.317,44.19,19.269,,9.144,0.307,154.498,
06/30/2002,257.376,114.507,60.866,,-4.549,,-4.549,86.552,,,,,,-683.197,-3.229,0.0,-3.229,-66.086,197.764,,,,-263.85,,,,-658.029,,,,,,,,44.147,318.346,-23.105,201.289,,,,,-109.418,0.0,-109.418,236.284,13.296,,-107.475,136.128,176.814,
09/30/2002,-143.8,110.117,69.605,,-20.074,,-20.074,-303.448,,,,,,-1637.971,-6.037,0.0,-6.037,-1207.789,385.34,,,,-1593.129,,,,-403.172,,,,,,,,-20.973,2309.062,-22.932,1665.862,,,,,-31.579,0.0,-31.579,682.426,15.285,,527.291,69.359,152.214,
12/31/2002,115.644,118.551,25.52,,34.748,,34.748,-63.175,,,,,,824.265,-5.059,0.0,-5.059,1225.642,1515.511,,,,-289.869,,,,-372.583,,,,,,,,-23.735,-1091.488,-27.59,-198.389,,,,,0.0,0.0,0.0,-874.791,9.282,,-151.579,44.538,152.372,
03/31/2003,374.132,116.538,32.693,33.0,-12.104,-12.476,0.372,204.005,,,,,,-898.854,-3.044,0.0,-3.044,-201.233,835.92,,,,-1037.153,,,,-684.294,,,,,,,,-10.283,83.483,-27.701,-144.562,,,,,0.0,0.0,0.0,259.552,-3.806,,-441.239,0.981,115.746,
06/30/2003,59.732,134.04,90.167,,21.558,,21.558,-186.033,,,,,,1245.531,-9.198,0.0,-9.198,-468.587,566.939,,,,-1035.526,,,,-440.727,,,,,,,,2164.043,429.252,-35.787,752.886,,,,,0.0,0.0,0.0,-312.775,24.928,,1734.515,153.146,165.979,
09/30/2003,473.615,156.463,85.974,,-45.493,,-45.493,276.671,,,,,,-364.958,-11.068,0.0,-11.068,-49.343,668.619,,,,-717.962,,,,-325.183,,,,,,,,20.636,-405.094,-35.915,-269.308,,,,,0.0,0.0,0.0,-116.391,16.52,,-296.437,28.271,150.278,
12/31/2003,328.665,166.901,62.921,98.0,-108.838,-48.43,-60.408,109.681,,,,,,-260.246,-8.321,0.0,-8.321,-161.348,783.715,,,,-945.063,,,,22.995,,,,,,,,-113.572,-449.607,-36.02,-1136.22,,,,,0.0,0.0,0.0,707.166,15.467,,-381.188,147.429,145.738,
03/31/2004,288.890015,159.490005,57.526001,,-16.103001,,-16.103001,87.976997,,,,,,-1051.281006,-4.813,0.0,-4.813,-339.343018,777.146973,,,,-1116.48999,,,,-760.184998,,,,,,,,53.060009,780.581989,-47.644001,712.708977,,,,,-162.177994,0.0,-162.177994,229.488007,48.207001,,18.191,9.718,131.645004,
06/30/2004,177.602005,184.384995,65.224998,,-12.23,,-12.23,-59.778,,,,,,-1784.561035,-7.028,0.0,-7.028,-618.410034,1111.150024,,,,-1729.560059,,,,-1061.939941,,,,,,,,-97.18306,1394.497978,-47.087002,17.124016,,,,,-161.207001,0.0,-161.207001,1618.589966,-32.922001,,-212.460999,204.216003,133.356003,
09/30/2004,91.413002,186.440994,50.453999,,-40.252998,,-40.252998,-105.228996,,,,,,-568.067993,-7.93,0.0,-7.93,-238.573975,779.286011,,,,-1017.859985,,,,-361.626007,,,,,,,,40.061988,531.204007,-46.645,663.54501,,,,,-135.257004,0.0,-135.257004,23.916,25.645,,54.549,154.703995,151.951004,
12/31/2004,166.465,192.205,59.984,,-17.515,,-17.515,-68.209,,,,,,-554.092,-12.014,0.0,-12.014,-72.846,1125.21,,,,-1198.056,,,,-400.111,,,,,,,,-69.121,-8.63,-46.293,-307.043,,,,,-151.619,0.0,-151.619,457.798,38.527,,-396.257,84.368,172.847,
03/31/2005,314.311,189.29,55.378,,-19.001,,-19.001,88.644,,,,,,-1088.115,-3.349,0.0,-3.349,-275.724,558.57,,,,-834.294,,,,-735.672,,,,,,,,-73.37,781.11,-45.743,128.142,,,,,-188.772,0.0,-188.772,867.72,19.763,,7.306,25.162,194.86,
06/30/2005,-303.533,196.834,47.776,,-19.92,,-19.92,-528.223,,,,,,37.403,-3.108,0.0,-3.108,399.352,609.639,,,,-210.287,,,,-361.385,,,,,,,,2.544,373.085,-51.258,-571.084,,,,,-63.778,0.0,-63.778,1012.574,46.631,,106.955,198.157,218.863,
09/30/2005,-417.914,191.074,49.955,,26.139,,26.139,-685.082,,,,,,190.96,-8.71,0.0,-8.71,31.509,647.656,,,,-616.147,,,,208.882,,,,,,,,-40.721,171.369,-50.98,463.356,,,,,-155.198,0.0,-155.198,-103.095,17.286,,-55.585,144.21,253.632,
12/31/2005,705.508,204.985,50.173,,6.248,,6.248,444.102,,,,,,-716.474,-11.379,0.0,-11.379,-72.318,530.03,,,,-602.348,,,,-621.721,,,,,,,,-11.056,78.945,-50.638,304.403,,,,,-101.861,0.0,-101.861,-96.254,23.295,,67.979,105.244,297.193,
03/31/2006,107.965,202.917,27.117,18.0,-26.509,-34.973,8.464,-113.56,,,,,,-331.43,-5.865,,-5.865,60.597,430.666,,,,-370.069,,,,-345.528,,,,,,,,-40.634,19.485,-50.075,-902.421,,,,,-137.701,0.0,-137.701,1074.77,34.912,,-203.98,12.123,300.557,
06/30/2006,120.233,212.573,41.117,,0.836,,0.836,-134.293,,,,,,321.669,-10.871,0.0,-10.871,349.439,558.474,,,,-209.035,,,,-434.358,,,,,,,,417.459,-138.869,-66.65,598.197,,,,,-69.419,0.0,-69.419,-620.463,19.466,,303.033,227.898,354.472,
09/30/2006,702.736,210.37,49.289,,2.381,,2.381,440.696,,,,,,-383.134,-9.891,0.0,-9.891,378.898,471.501,,,,-92.603,,,,-761.931,,,,,,,,9.79,-549.132,-66.603,-972.138,,,,,-91.776,0.0,-91.776,561.04,20.345,,-229.53,14.738,369.436,
12/31/2006,-391.071,213.329,-2.599,62.0,10.848,-33.276,44.124,-674.649,,,,,,26.19,-15.361,0.0,-15.361,293.92,489.513,,,,-195.593,,,,-286.101,,,,,,,,33.732,629.863,-66.489,-77.153,,,,,-74.964,0.0,-74.964,832.158,16.311,,264.982,91.004,418.87,
03/31/2007,411.925,175.973,30.935,27.0,4.158,-19.402,23.56,173.859,,,,,,-1083.396,-8.915,,-8.915,-50.928,528.266,,,,-579.194,,,,-1036.635,,,,,,,,13.082,514.261,-65.734,1726.899,,,,,-207.875,0.0,-207.875,-973.278,34.249,,-157.21,1.403,400.53,
06/30/2007,587.961,214.169,59.595,57.0,180.958,-31.717,212.675,76.239,,,,,,-1285.426,-19.614,,-19.614,-62.616,1047.86,,,,-1110.476,,,,-1156.527,,,,,,,,-46.669,409.319,-130.191,1410.886,,,,,-424.995,0.0,-424.995,-491.05,44.669,,-288.146,200.556,833.608,
09/30/2007,897.739,199.187,87.568,91.0,428.333,-15.351,443.684,91.651,,,,,,-3560.499,-35.119,0.0,-35.119,-1375.272,1432.859,,,,-2808.131,,,,-2077.63,,,,,,,,-72.478,2365.373,-205.028,4448.496,,,,,-496.057,0.0,-496.057,-1438.598,56.56,,-297.387,279.045,1243.915,
12/31/2007,1334.757,654.259,115.228,192.0,152.545,-44.67,197.215,220.725,,,,,,-4782.667,-56.681,,-56.681,-408.905,2291.075,,,,-2699.98,,,,-3974.22,,,,,,,,-342.861,3590.493,-281.9,5346.573,,,,,-508.404,0.0,-508.404,-1036.502,70.726,,142.583,370.103,1683.403,
03/31/2008,333.117,202.196,31.688,60.0,-22.373,-6.203,-16.17,61.606,,,,,,-1217.645,-8.516,0.0,-8.516,109.661,750.826,,,,-641.165,,,,-1271.522,,,,,,,,-47.268,893.107,-77.004,703.396,,,,,0.0,0.0,0.0,267.852,-1.137,,8.579,3.696,407.838,
06/30/2008,511.206,160.265,129.625,100.0,17.735,,17.735,103.581,,,,,,-684.981,-15.68,0.0,-15.68,427.445,621.617,,,,-194.172,,,,-1084.479,,,,,,,,-12.267,36.152,-77.117,-289.455,,,,,0.0,0.0,0.0,395.668,7.056,,-137.623,182.617,367.636,
09/30/2008,449.442,91.185,130.543,101.0,133.364,,133.364,-6.65,,,,,,-56.903,-19.658,0.0,-19.658,151.428,441.696,,,,-290.268,,,,-84.512,,,,,,,,-104.161,-643.525,-77.148,-1132.919,,,,,0.0,0.0,0.0,576.413,-9.871,,-250.986,14.436,296.198,
12/31/2008,334.651,102.241,29.212,151.0,85.094,,85.094,-32.896,,,,,,-304.23,-28.38,0.0,-28.38,223.074,359.979,,,,-136.905,,,,-523.129,,,,,,,,24.205,150.213,-77.232,-459.726,,,,,600.0,600.0,0.0,77.831,9.34,,180.634,89.575,-3082.54,
03/31/2009,74.605,64.221,28.408,158.0,37.622,-11.948,49.57,-213.646,0.311,-263.004,12.423,36.624,0.0,578.262,-10.25,0.0,-10.25,517.411,553.817,28.125,501.797,23.895,-36.406,0.0,0.0,-36.406,84.162,84.162,0.0,0.0,0.0,0.0,0.0,0.0,-13.061,-1067.373,-82.077,-888.473,-367.924,0.0,0.0,-520.549,0.0,0.0,0.0,-103.205,6.382,0.0,-414.506,-67.722,206.417,
06/30/2009,339.9,51.188,29.048,147.0,136.648,74.42,62.228,-23.984,-45.264,21.818,-2.015,1.477,0.0,870.038,-7.405,0.0,-7.405,587.901,621.351,27.899,574.825,18.627,-33.45,0.0,0.0,-33.45,116.102,26.102,90.0,0.0,144.009,144.009,0.0,0.0,29.431,-1212.855,-89.779,-347.972,132.813,0.0,0.0,-480.785,0.0,0.0,0.0,-777.855,2.751,0.0,-2.917,58.171,145.327,
09/30/2009,661.016,127.664,33.119,154.0,87.204,20.432,66.772,259.029,29.156,249.33,-15.562,-3.895,0.0,1028.48,-10.009,0.0,-10.009,776.818,827.357,20.06,734.483,72.814,-50.539,0.0,0.0,-50.539,381.274,403.255,-21.981,0.0,-144.009,-144.009,0.0,0.0,24.406,-1669.503,-92.585,-1325.937,-25.377,0.0,0.0,-1300.56,0.0,0.0,0.0,-244.05,-6.931,0.0,19.993,1.394,173.913,
12/31/2009,113.868,136.818,38.078,145.0,54.432,-0.403,54.835,-260.46,27.753,-65.249,-33.766,-189.198,0.0,24.915,-31.303,0.0,-31.303,-168.131,457.498,49.382,385.875,22.241,-625.629,0.0,0.0,-625.629,42.869,143.939,-101.07,0.0,202.993,202.993,0.0,0.0,-21.513,-63.162,-93.211,-573.051,-484.763,0.0,0.0,-88.288,0.0,0.0,0.0,596.146,6.954,0.0,75.621,-11.392,2927.396,
03/31/2010,653.599,150.955,33.682,105.0,33.764,-10.163,43.927,330.198,-2.664,252.227,0.098,80.537,0.0,-47.655,-10.57,0.0,-10.57,-585.462,425.201,29.828,383.895,11.478,-1010.663,0.0,0.0,-1010.663,558.739,546.709,12.03,0.0,0.0,0.0,0.0,0.0,-10.362,-808.617,-93.359,-824.707,-571.827,0.0,0.0,-252.88,0.0,0.0,0.0,93.998,15.451,0.0,-202.673,14.25,121.445,
06/30/2010,375.171,188.749,31.671,85.0,25.151,-12.76,37.911,44.6,-3.427,-24.493,-2.346,74.866,0.0,291.668,-12.833,0.0,-12.833,39.709,446.218,47.696,360.537,37.985,-406.509,0.0,0.0,-406.509,213.802,210.323,3.479,0.0,0.0,0.0,0.0,0.0,50.99,-654.622,-93.844,-565.295,288.211,0.0,0.0,-853.506,0.0,0.0,0.0,-11.534,16.051,0.0,12.217,130.952,1509.201,
09/30/2010,220.633,192.015,30.697,93.0,98.537,72.034,26.503,-193.616,-4.391,-160.562,7.012,-35.675,0.0,9.694,-15.977,0.0,-15.977,409.934,449.218,62.031,374.319,12.868,-39.284,0.0,0.0,-39.284,-362.537,330.752,-693.289,0.0,0.0,0.0,0.0,0.0,-21.726,-196.888,-94.091,-1239.989,-947.274,0.0,0.0,-292.715,0.0,0.0,0.0,1135.047,2.145,0.0,33.439,69.701,2184.539,
12/31/2010,426.244,204.442,29.73,85.0,40.878,1.957,38.921,66.194,-78.994,134.917,-14.706,24.977,0.0,221.703,-31.078,0.0,-31.078,549.945,597.671,108.532,444.15,44.989,-47.726,0.0,0.0,-47.726,-564.236,-1289.638,725.402,0.0,213.204,213.204,0.0,0.0,53.868,-803.517,-94.234,-1406.997,-291.756,0.0,0.0,-1115.241,0.0,0.0,0.0,661.98,35.734,0.0,-155.57,72.837,823.115,
03/31/2011,770.653,206.273,30.292,75.0,-1.868,11.438,-13.306,460.956,80.805,373.02,5.068,2.063,0.0,-412.579,-8.854,0.0,-8.854,149.732,511.388,66.465,421.954,22.969,-361.656,-7.796,-353.508,-0.352,-578.724,-579.845,1.121,0.0,0.0,0.0,0.0,0.0,25.267,-309.524,-94.774,-971.262,-442.751,0.0,0.0,-528.511,0.0,0.0,0.0,745.021,11.491,0.0,48.55,77.169,88.658,
06/30/2011,92.525,322.358,35.132,63.0,-122.877,-29.639,-93.238,-205.088,-20.595,-205.163,-1.033,21.703,0.0,1252.892,-5.122,0.0,-5.122,1072.295,2335.791,48.448,2238.583,48.76,-1263.496,0.0,0.0,-1263.496,190.979,125.063,65.916,0.0,178.94,178.94,0.0,0.0,-184.2,-994.807,-98.407,-888.089,-85.284,0.0,0.0,-802.805,495.0,495.0,0.0,-178.705,-324.606,0.0,350.61,189.071,,
09/30/2011,422.319,183.108,39.251,58.0,59.462,32.731,26.731,82.498,-10.834,148.766,-10.241,-45.193,0.0,-225.626,-24.054,0.0,-24.054,-637.667,357.26,65.562,256.502,35.196,-994.927,0.0,0.0,-994.927,360.882,-67.789,428.671,0.0,0.0,0.0,0.0,0.0,75.213,-175.551,-93.223,-291.596,127.283,0.0,0.0,-418.879,0.0,0.0,0.0,259.118,-49.85,0.0,21.142,41.817,3569.308,
12/31/2011,486.749,147.74,37.246,74.0,138.578,19.394,119.184,89.185,20.062,-78.467,-21.302,168.892,0.0,-245.755,-31.978,0.0,-31.978,-549.19,402.208,92.366,300.357,9.485,-951.398,0.0,0.0,-951.398,360.79,-1711.029,2071.819,0.0,0.0,0.0,0.0,0.0,-25.377,-142.654,-111.928,27.913,87.702,0.0,0.0,-59.789,0.0,0.0,0.0,-82.781,24.142,0.0,98.34,-56.247,840.04,
03/31/2012,539.012,206.463,37.796,49.0,43.618,15.225,28.393,202.135,7.84,154.436,7.725,32.134,0.0,-1683.854,-19.377,0.0,-19.377,494.396,511.287,82.67,418.393,10.224,-16.891,-6.287,-10.286,-0.318,-2169.224,-1042.144,-1127.08,0.0,0.0,0.0,0.0,0.0,10.351,1036.537,-93.81,-472.433,-270.081,0.0,0.0,-202.352,0.0,0.0,0.0,1522.583,80.197,0.0,-108.305,8.416,810.4,
06/30/2012,105.616,233.38,36.647,60.0,33.109,-3.161,36.27,-257.52,4.598,-188.4,-5.994,-67.724,0.0,-1372.249,-27.515,0.0,-27.515,196.34,482.38,75.179,372.051,35.15,-286.04,-263.567,-9.522,-12.951,-1551.173,-1763.496,212.323,0.0,0.0,0.0,0.0,0.0,10.099,1345.372,-112.361,-340.591,463.596,0.0,0.0,-804.187,0.0,0.0,0.0,1639.769,158.555,0.0,78.739,195.833,,
09/30/2012,-170.852,293.462,35.667,46.0,118.085,96.635,21.45,-664.066,12.305,-494.642,-12.443,-169.286,0.0,329.681,-19.055,0.0,-19.055,491.496,510.947,80.084,414.589,16.274,-19.451,-12.85,-6.307,-0.294,-108.976,-766.699,657.723,0.0,0.0,0.0,0.0,0.0,-33.784,41.268,-92.804,-1104.195,-383.421,0.0,0.0,-720.774,0.0,0.0,0.0,1461.782,-223.515,0.0,200.097,68.253,,
12/31/2012,26.205,296.193,34.896,49.0,53.523,23.159,30.364,-407.407,-12.16,-396.233,-3.186,4.172,0.0,-1334.436,-25.572,0.0,-25.572,514.563,537.524,91.346,429.755,16.423,-22.961,-2.421,-2.046,-18.494,-1818.359,-2100.408,282.049,0.0,0.0,0.0,0.0,0.0,-5.068,1671.918,-112.192,129.474,482.328,0.0,0.0,-352.854,0.0,0.0,0.0,1606.257,48.379,0.0,363.687,133.096,5209.34,
03/31/2013,698.398,274.113,35.37,38.0,45.343,19.253,26.09,305.572,22.156,205.643,-2.872,80.645,0.0,-371.773,-16.671,0.0,-16.671,413.62,434.501,79.164,353.305,2.032,-20.881,-6.01,-14.597,-0.274,-779.737,395.088,-1174.825,0.0,0.0,0.0,0.0,0.0,11.015,-487.173,-95.557,96.411,-699.889,0.0,799.76,-3.46,0.0,0.0,0.0,-519.555,31.528,0.0,-160.548,9.545,72.106,
