Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/22/2003,1874.0,,-927.0,,947.0,,-827.0,,,120.0,-56.0,53.0,,0.0,3.0,64.0,-20.0,44.0,6.0,,,38.0,-5.0,33.0,0.0,0.0,33.0,33.0,,279.0,0.12,0.14,0.14,287.0,0.12,0.14,0.14,
06/14/2003,2532.0,,-1290.0,,1242.0,,-971.0,,,271.0,-57.0,57.0,,0.0,0.0,214.0,-68.0,146.0,0.0,,,146.0,-15.0,131.0,0.0,0.0,131.0,131.0,,273.0,0.48,0.48,0.48,279.0,0.47,0.47,0.47,
09/06/2003,2810.0,,-1438.0,,1372.0,,-1014.0,,,358.0,-58.0,56.0,56.0,0.0,2.0,300.0,-96.0,204.0,0.0,,,204.0,-21.0,183.0,0.0,0.0,183.0,183.0,,268.0,0.68,0.68,0.68,274.0,0.67,0.67,0.67,
12/27/2003,3049.0,,-1560.0,,1489.0,,-1282.0,,,207.0,-75.0,73.0,73.0,0.0,2.0,132.0,-54.0,78.0,0.0,,,78.0,-9.0,69.0,0.0,0.0,69.0,69.0,,262.0,0.26,0.26,0.3,269.0,0.26,0.26,0.3,
03/20/2004,2067.0,,-1051.0,,1016.0,,-879.0,,,137.0,-55.0,55.0,55.0,0.0,0.0,82.0,-26.0,56.0,0.0,,,56.0,-6.0,50.0,0.0,0.0,50.0,50.0,,260.0,0.19,0.19,0.19,269.0,0.19,0.19,0.19,
06/12/2004,2675.0,,-1378.0,,1297.0,,-1011.0,,,286.0,-55.0,53.0,53.0,0.0,2.0,231.0,-74.0,157.0,0.0,,,157.0,-15.0,142.0,0.0,0.0,142.0,142.0,,258.0,0.55,0.55,0.55,267.0,0.53,0.53,0.53,
09/04/2004,2934.0,,-1522.0,,1412.0,,-1055.0,,,357.0,-51.0,50.0,50.0,0.0,1.0,306.0,-93.0,213.0,0.0,,,213.0,-22.0,191.0,0.0,0.0,191.0,191.0,,254.0,0.75,0.75,0.73,262.0,0.73,0.73,0.71,
12/25/2004,3230.0,,-1705.0,,1525.0,,-1329.0,,,196.0,-70.0,,78.0,0.0,-8.0,126.0,-39.0,87.0,0.0,,,87.0,-13.0,74.0,0.0,0.0,74.0,74.0,,250.0,0.3,0.3,0.3,257.0,0.28,0.28,0.29,
03/19/2005,2147.0,,-1116.0,,1031.0,,-911.0,,,120.0,-55.0,55.0,55.0,0.0,0.0,65.0,-20.0,45.0,0.0,,,45.0,-6.0,39.0,0.0,0.0,39.0,39.0,,248.0,0.16,0.16,0.16,254.0,0.15,0.15,0.15,
06/11/2005,2862.0,,-1495.0,,1367.0,,-1064.0,,,303.0,-59.0,58.0,58.0,,1.0,244.0,-79.0,165.0,,,,165.0,-17.0,148.0,,,148.0,148.0,,245.0,0.61,0.61,0.61,252.0,0.59,0.59,0.59,
09/03/2005,3214.0,,-1695.0,,1519.0,,-1126.0,,,393.0,-55.0,56.0,,,-1.0,338.0,-109.0,229.0,,,,229.0,-24.0,205.0,,,205.0,205.0,,243.0,0.84,0.84,0.8,250.0,0.82,0.82,0.78,
12/31/2005,3662.0,,-1947.0,,1715.0,,-1508.0,,,207.0,-82.0,81.0,137.0,0.0,1.0,125.0,-39.0,86.0,0.0,,,86.0,-12.0,74.0,0.0,0.0,74.0,74.0,,240.0,0.31,0.31,0.35,246.0,0.3,0.3,0.34,
03/25/2006,2367.0,,-1253.0,,1114.0,,-993.0,,,121.0,-61.0,61.0,61.0,0.0,0.0,60.0,-20.0,40.0,0.0,,,40.0,-6.0,34.0,0.0,0.0,34.0,34.0,,237.0,0.14,0.14,0.14,243.0,0.14,0.14,0.14,
06/17/2006,3138.0,,-1666.0,,1472.0,,-1157.0,,,315.0,-73.0,63.0,,,10.0,242.0,-76.0,166.0,,,,166.0,-18.0,148.0,,,148.0,148.0,,235.0,0.63,0.63,0.63,241.0,0.61,0.61,0.61,
09/09/2006,3460.0,,-1851.0,,1609.0,,-1226.0,,,383.0,-63.0,62.0,62.0,,1.0,320.0,-89.0,231.0,,,,231.0,-24.0,207.0,,,207.0,207.0,,235.0,0.88,0.88,0.83,242.0,0.86,0.86,0.81,
12/30/2006,3765.0,,-2040.0,,1725.0,0.0,-1527.0,1527.0,0.0,198.0,-80.0,80.0,,,0.0,118.0,26.0,144.0,,,,144.0,-11.0,133.0,0.0,0.0,133.0,133.0,,234.0,0.57,0.57,0.35,240.0,0.55,0.55,0.33,
03/24/2007,2466.0,,-1343.0,,1123.0,,-1003.0,,,120.0,-67.0,66.0,66.0,0.0,1.0,53.0,-16.0,37.0,0.0,,,37.0,-8.0,29.0,0.0,0.0,29.0,29.0,,227.0,0.13,0.13,0.13,233.0,0.12,0.12,0.12,
06/16/2007,3360.0,,-1825.0,,1535.0,,-1197.0,,,338.0,-65.0,68.0,68.0,0.0,-3.0,273.0,-88.0,185.0,0.0,,,185.0,-23.0,162.0,0.0,0.0,162.0,162.0,,227.0,0.71,0.71,0.71,233.0,0.7,0.7,0.7,
09/08/2007,3729.0,,-2003.0,,1726.0,,-1293.0,,,433.0,-65.0,65.0,65.0,0.0,0.0,368.0,-67.0,301.0,0.0,,,301.0,-41.0,260.0,0.0,0.0,260.0,260.0,,226.0,1.16,1.16,1.02,232.0,1.12,1.12,0.99,
12/29/2007,4036.0,,-2199.0,,1837.0,0.0,-1657.0,1657.0,0.0,180.0,-93.0,75.0,75.0,0.0,18.0,87.0,-6.0,81.0,0.0,,,81.0,,81.0,0.0,0.0,81.0,81.0,,224.0,0.36,0.36,0.41,232.0,0.35,0.35,0.39,
03/22/2008,2651.0,,-1482.0,,1169.0,,-1061.0,,,108.0,-56.0,59.0,,0.0,-3.0,52.0,-21.0,31.0,0.0,,,31.0,-3.0,28.0,0.0,0.0,28.0,28.0,,222.0,0.13,0.13,0.14,229.0,0.12,0.12,0.13,
06/14/2008,3522.0,,-1916.0,,1606.0,,-1256.0,,,350.0,-60.0,63.0,,0.0,-3.0,290.0,-86.0,204.0,0.0,,,204.0,-30.0,174.0,0.0,0.0,174.0,174.0,,218.0,0.8,0.8,0.81,224.0,0.78,0.78,0.79,
09/06/2008,3814.0,,-2077.0,,1737.0,,-1282.0,,,455.0,-70.0,65.0,,0.0,5.0,385.0,-111.0,274.0,0.0,,,274.0,-43.0,231.0,0.0,0.0,231.0,231.0,,212.0,1.09,1.09,1.09,217.0,1.06,1.06,1.06,
12/27/2008,3809.0,,-2111.0,,1698.0,,-1550.0,,,148.0,-541.0,,225.0,0.0,316.0,-393.0,106.0,-287.0,0.0,,,-287.0,16.0,-271.0,0.0,0.0,-271.0,-271.0,,214.0,-1.28,-1.28,0.29,218.0,-1.28,-1.28,0.27,
03/21/2009,2507.0,2507.0,-1403.0,1403.0,1104.0,0.0,-987.0,987.0,0.0,117.0,-86.0,79.0,,,7.0,31.0,27.0,58.0,0.0,0.0,0.0,58.0,-1.0,57.0,0.0,0.0,57.0,21.0,-36.0,212.0,0.27,0.27,0.099057,214.0,0.27,0.27,0.099057,
06/13/2009,3274.0,3274.0,-1830.0,1830.0,1444.0,0.0,-1135.0,1135.0,0.0,309.0,-58.0,69.0,,,-11.0,251.0,-13.0,238.0,0.0,0.0,0.0,238.0,-27.0,211.0,0.0,0.0,211.0,172.0,-39.0,214.0,0.98,0.98,0.803738,219.0,0.96,0.96,0.781918,
09/05/2009,3633.0,3633.0,-2012.0,2012.0,1621.0,0.0,-1185.0,1185.0,0.0,436.0,-67.0,67.0,,,0.0,369.0,-59.0,310.0,0.0,0.0,0.0,310.0,-56.0,254.0,0.0,0.0,254.0,237.0,-17.0,216.0,1.18,1.18,1.097222,223.0,1.14,1.14,1.063767,
12/26/2009,3805.0,3805.0,-2134.0,2134.0,1671.0,0.0,-1485.0,1485.0,0.0,186.0,-88.0,88.0,,,0.0,98.0,2.0,100.0,0.0,0.0,0.0,100.0,-10.0,90.0,0.0,0.0,90.0,74.0,-16.0,219.0,0.41,0.41,0.3379,227.0,0.4,0.4,0.329515,
03/31/2010,2608.667,,,,1150.422147,,,,,129.0,,,,,,49.55,,35.65,,,,,,35.65,,,35.65,35.65,,,0.16,0.16,0.167,,0.16,0.16,0.167,
06/30/2010,3393.0,,,,1506.492,,,,,345.5,,,,,,261.5,,185.5,,,,,,185.5,,,185.5,185.5,,,0.835,0.835,0.847,,0.835,0.835,0.847,
