Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2015,138208,1099,2342,,2342,24075,,17954,5258.0,863,46214,12950,33264,51745,1634.0,18606,13318,13828.0,4359.0,0,1448,99407,-1216,98191,595,595,6876,6876,0,936.0,625,0,3469,,27649,74890,62866,12024,0,102539,3432,802.0,,,,2630,9886,23.0,23.0,,9863,163.0,730,485,1327,118562,250,18728,6,18722,-858.0,1913,-387,19646,0,19646,138208,
03/31/2016,140077,839,1550,,1550,24057,,18032,5129.0,896,47972,13301,34671,51887,1581.0,18108,13345,13847.0,5006.0,0,1883,101742,-1224,100518,570,570,6879,6876,3,,1068,0,4596,,27186,75420,62967,12453,0,102606,4014,714.0,,,,3300,10035,,,,10035,,852,832,1773,120112,250,18733,6,18727,-858.0,2076,-236,19965,0,19965,140077,
06/30/2016,145183,976,3406,,3406,24398,,18552,4973.0,873,49557,13630,35927,52787,1613.0,17728,13855,14075.0,5516.0,0,2057,104401,-1246,103155,551,551,6878,6876,2,,1312,0,4507,,27108,79149,66182,12967,0,106257,3487,717.0,,,,2770,11810,,,,11810,,961,1010,1432,124957,250,18738,6,18732,-858.0,2255,-159,20226,0,20226,145183,
09/30/2016,147015,915,2720,,2720,25704,,19538,5289.0,877,50389,13940,36449,53638,1644.0,17332,14602,14063.0,5997.0,0,1966,105993,-1240,104753,540,540,6877,6876,1,,1102,0,4404,,27292,81035,67628,13407,0,108327,3412,900.0,,,,2512,11902,,,,11902,,994,840,1359,126834,250,18743,6,18737,-1108.0,2483,-187,20181,0,20181,147015,
12/31/2016,149520,955,3188,,3188,25610,,19597,5071.0,942,51651,14377,37274,54281,1691.0,16927,15115,13938.0,6610.0,0,2362,108294,-1236,107058,601,601,6877,6876,1,1204.0,627,0,3400,,28472,81332,67854,13478,0,109804,4359,1148.0,,,,3211,12790,16.0,16.0,,12774,96.0,714,659,1351,129773,250,18725,6,18719,-1263.0,2703,-668,19747,0,19747,149520,
03/31/2017,150285,882,3462,,3462,25996,,20065,4992.0,939,51892,14523,37369,54358,1650.0,16441,15389,13636.0,7242.0,0,2530,108780,-1224,107556,582,582,6876,6876,0,,357,0,4574,,27713,84399,69187,15212,0,112112,3855,1093.0,,,,2762,11780,,,,11780,,744,320,1627,130438,250,18754,6,18748,-1418.0,2944,-683,19847,0,19847,150285,
06/30/2017,151407,904,3696,,3696,25115,,19354,4967.0,794,51888,14559,37329,55093,1711.0,16131,16082,13449.0,7720.0,0,2772,109753,-1219,108534,600,600,6889,6887,2,,408,0,5261,,27814,85799,70314,15485,0,113613,2433,429.0,,,,2004,13154,,,,13154,,740,159,1244,131343,250,18764,6,18758,-1548.0,3191,-593,20064,0,20064,151407,
09/30/2017,151356,781,1626,,1626,25742,,20147,4823.0,772,52381,14675,37706,55501,1754.0,15803,16619,13311.0,8014.0,0,3493,111375,-1224,110151,618,618,6889,6887,2,,596,0,4953,,28643,84592,68296,16296,0,113235,1958,453.0,,,,1505,13400,,,,13400,,744,242,1668,131247,250,18771,6,18765,-1773.0,3442,-581,20109,0,20109,151356,
12/31/2017,152336,987,2237,,2237,25733,,20326,4685.0,722,52031,14469,37562,55797,1848.0,15566,17045,13204.0,8134.0,0,3507,111335,-1236,110099,685,685,6889,6887,2,801.0,617,0,4288,,29279,85810,69201,16609,0,115089,2671,815.0,,,,1856,11765,10.0,10.0,,11755,156.0,571,310,1504,132066,250,18784,6,18778,-2108.0,4164,-820,20270,0,20270,152336,
03/31/2018,153453,1172,2829,,2829,25433,,20130,4555.0,748,53144,14867,38277,55400,1808.0,15128,17346,12794.0,8324.0,0,3681,112225,-1246,110979,687,687,6889,6887,2,,274,0,5190,,28437,87293,70543,16750,0,115730,1809,315.0,,,,1494,13486,,,,13486,,475,331,1563,133394,250,18800,6,18794,-2283.0,4437,-1145,20059,0,20059,153453,
06/30/2018,155431,997,2982,,2982,25513,,20327,4417.0,769,54888,15610,39278,55472,1877.0,14814,17814,12517.0,8450.0,0,3757,114117,-1253,112864,720,720,6889,6887,2,,224,0,5242,,29439,87634,68816,18818,0,117073,1825,326.0,,,,1499,13641,,,,13641,,456,425,1544,134964,543,18812,6,18806,-2433.0,4755,-1210,20467,0,20467,155431,
09/30/2018,158598,976,3157,,3157,25485,,20327,4284.0,874,55405,15635,39770,55908,1911.0,14537,18493,12255.0,8712.0,0,4737,116050,-1242,114808,753,753,6979,6946,33,,173,0,6267,,29785,87290,68459,18831,0,117075,2380,374.0,,,,2006,15639,,,,15639,,430,449,2349,138322,543,18822,6,18816,-2833.0,5062,-1318,20276,0,20276,158598,
12/31/2018,160518,1081,3141,,3141,25075,,20076,4165.0,834,56783,15926,40857,56261,1991.0,14286,18978,12106.0,8900.0,0,4936,117980,-1242,116738,791,791,6954,6923,31,902.0,317,0,5519,,29458,90117,70775,19342,0,119575,1317,1156.0,,,,161,15925,8.0,8.0,,15917,173.0,573,292,1846,139701,850,18811,6,18805,-3133.0,5385,-1096,20817,0,20817,160518,
03/31/2019,161342,923,1680,,1680,25651,,21702,3345.0,604,57689,16192,41497,56292,1982.0,13870,19174,11992.0,9274.0,0,4886,118867,-1245,117622,1492,1492,7120,7040,80,,465,0,6389,,28383,95533,72693,22840,0,123916,787,668.0,108.0,,108.0,11,12379,654.0,,654.0,11725,,676,173,1880,139811,1132,18853,6,18847,-3333.0,5672,-793,21531,0,21531,161342,
06/30/2019,162749,996,2225,,2225,25898,,21745,3447.0,706,56963,15807,41156,56183,2046.0,13640,19192,12000.0,9305.0,0,5897,119043,-1227,117816,1472,1472,7114,7040,74,,833,0,6395,,28192,95812,73845,21967,0,124004,1510,1132.0,69.0,,69.0,309,12219,681.0,,681.0,11538,,767,106,2126,140732,1133,18866,6,18860,-3453.0,5959,-488,22017,0,22017,162749,
09/30/2019,164362,1638,2362,,2362,25602,,21549,3319.0,734,56733,15377,41356,57054,2133.0,13423,19699,12070.0,9729.0,0,6108,119895,-1263,118632,1459,1459,7115,7044,71,,1027,0,6527,,29939,94775,74708,20067,0,124714,1106,867.0,29.0,,29.0,210,13510,704.0,,704.0,12806,,752,161,2268,142511,1133,18882,6,18876,-3953.0,6229,-440,21851,0,21851,164362,
12/31/2019,165733,1175,2508,,2508,24669,,20660,3202.0,807,57538,16059,41479,56902,2198.0,13154,19083,12120.0,10347.0,0,7978,122418,-1252,121166,1460,1460,7112,7044,68,631.0,807,0,6205,,29233,96080,77344,18736,0,125313,424,265.0,150.0,,150.0,9,14618,571.0,,571.0,14047,273.0,866,120,1918,143532,1600,18867,6,18861,-4353.0,6498,-411,22201,0,22201,165733,
03/31/2020,176719,1155,3183,,3183,26352,,22354,3071.0,927,66032,16940,49092,54757,,12992,18721,12157.0,10887.0,0,10000,130789,-2171,128618,746,746,7116,7050,66,,1968,0,7581,,32398,101077,83032,18045,0,133475,1059,,,,,1059,16437,,,,16437,,782,234,2782,154769,1600,18877,6,18871,-4623.0,6011,85,21950,0,21950,176719,
06/30/2020,179874,1088,6833,,6833,25657,,22194,2856.0,607,64930,16913,48017,54405,,12541,19245,12028.0,10591.0,0,11371,130706,-2448,128258,751,751,7113,7050,63,,2069,0,8105,,40545,103073,88830,14243,0,143618,255,0.0,,,,255,9202,,,,9202,,709,198,3474,157456,2000,18879,6,18873,-4623.0,6068,94,22418,0,22418,179874,
