Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
08/31/1994,4.569,4.026,0.784,-1.376,-1.376,1.135,,,,1.135,,-5.226,,-5.226,,,,5.226,,,,,,,,,,
11/30/1994,1.251,4.047,0.785,-1.422,-1.422,-2.159,,,,-2.159,,-3.841,,-3.841,,,,3.841,,,,,,,,,,
02/28/1995,0.142,2.581,0.912,-1.418,-1.418,-1.933,,,,-1.933,,-3.818,,-3.818,,,,3.818,,,,,,,,,,
05/31/1995,3.682,4.688,0.923,-1.338,-1.338,-0.591,,,,-0.591,-3.5,-3.5,,-3.5,,,,0.0,,,,,,,,0.182,,
08/31/1995,13.613,4.632,0.818,-1.375,-1.375,9.538,,,,9.538,,-0.879,,-0.879,,,,0.879,,,,,,,,,,
11/30/1995,13.956,5.726,0.818,-1.569,-1.569,8.981,,,,8.981,,-0.638,,-0.638,,,,0.638,,,,,,,,,,
02/29/1996,-2.87,3.134,0.917,-1.533,-1.533,-5.388,,,,-5.388,,-0.47,,-0.47,,,,0.47,,,,,,,,,,
05/31/1996,2.025,6.191,0.926,-0.472,-0.472,-4.62,,,,-4.62,-0.984,-0.984,,-0.984,,,,0.0,,,,,,,,1.041,,
08/31/1996,5.081,6.467,0.898,-1.472,-1.472,-0.812,,,,-0.812,,-0.589,,-0.589,,,,0.589,,,,,,,,,,
11/30/1996,17.282,6.339,0.898,-2.67,-2.67,12.715,,,,12.715,,-1.159,,-1.159,,,,1.159,,,,,,,,,,
02/28/1997,-4.886,1.817,0.958,-1.6,-1.6,-6.061,,,,-6.061,,-0.701,,-0.701,,,,0.701,,,,,,,,,,
05/31/1997,1.574,6.208,0.991,-2.006,-2.006,-3.619,,,,-3.619,-0.836,-0.836,,-0.836,,,,0.0,,,,,,,,0.738,,
08/31/1997,7.985,5.474,0.904,-1.393,-1.393,3.0,,,,3.0,-5.931,-0.532,0.009,-0.541,0.0,0.0,0.0,-5.399,-1.45,-1.45,0.0,0.0,0.0,0.0,0.0,0.604,,
11/30/1997,10.926,5.355,0.899,-1.56,-1.56,6.232,,,,6.232,-5.226,-0.638,0.215,-0.853,0.0,0.0,0.0,-4.588,-8.364,-1.449,0.0,-6.915,0.0,-6.915,0.0,-2.664,,
02/28/1998,3.219,2.137,0.984,-1.73,-1.73,1.828,,,,1.828,-1.002,-0.621,0.003,-0.624,0.0,0.0,0.0,-0.381,-1.415,-1.415,0.0,0.0,0.0,0.0,0.0,0.802,,
05/31/1998,5.454,6.98,0.988,-1.497,-1.497,-1.017,,,,-1.017,-1.603,-1.147,,-1.147,0.0,0.0,0.0,-0.456,-1.415,-1.415,0.0,0.0,0.0,0.0,0.0,2.436,,
08/31/1998,11.403,6.511,0.882,-1.649,-1.649,5.659,,,,5.659,-5.413,-1.979,0.013,-1.992,0.0,0.0,0.0,-3.434,-6.596,-1.416,0.0,-5.18,0.0,-5.18,0.0,-0.606,,
11/30/1998,10.622,7.285,0.88,-1.512,-1.512,3.969,,,,3.969,-3.874,-1.699,0.014,-1.713,0.0,0.0,0.0,-2.175,-7.557,-1.388,0.0,-6.169,0.0,-6.169,0.0,-0.809,,
02/28/1999,-2.439,3.929,1.034,-1.524,-1.524,-5.878,,,,-5.878,1.224,-1.406,0.096,-1.502,0.0,0.0,0.0,2.63,-1.62,-1.62,0.0,0.0,0.0,0.0,0.0,-2.835,,
05/31/1999,2.806,7.836,1.042,-1.368,-1.368,-4.704,,,,-4.704,-3.338,-1.921,,-1.921,0.0,0.0,0.0,-1.417,-1.619,-1.619,0.0,0.0,0.0,0.0,0.0,-2.151,,
08/31/1999,5.501,4.895,0.941,-1.539,-1.539,1.204,,,,1.204,-3.464,-1.335,0.003,-1.338,-25.132999,0.0,-25.132999,23.003999,-1.62,-1.62,0.0,0.0,0.0,0.0,0.0,0.417,,
11/30/1999,10.736,4.75,0.942,-1.664,-1.664,6.708,,,,6.708,-5.073,-1.185,0.009,-1.194,0.0,0.0,0.0,-3.888,-4.806,-1.62,0.0,-3.186,0.0,-3.186,0.0,0.857,,
02/29/2000,-1.747,1.01,1.067,-1.662,-1.662,-2.162,,,,-2.162,5.284,-1.19,0.003,-1.193,0.0,0.0,0.0,6.474,-4.514,-1.594,0.0,-2.92,0.0,-2.92,0.0,-0.977,,
05/31/2000,0.0,4.373,1.072,0.0,0.0,0.0,,,,0.0,7.428,0.0,,0.0,,,,7.428,0.0,0.0,,0.0,,0.0,,2.443,,
08/31/2000,6.055,3.13,0.968,-1.923,-1.923,3.88,,,,3.88,-2.627,-0.378,0.0,-0.378,0.0,0.0,0.0,-2.249,-4.213,-1.564,0.0,-2.649,0.0,-2.649,0.0,-0.785,,
11/30/2000,9.925,3.134,0.968,-2.009,-2.009,7.832,8.986,0.127,0.254,-1.535,-4.888,-0.581,0.0,-0.581,0.0,0.0,0.0,-4.307,-4.614,-1.539,0.0,-3.075,0.0,-3.075,0.0,0.423,,
02/28/2001,-2.751,0.262,1.0,-2.785,-2.785,-1.228,,,,-1.228,4.197,0.61,1.473,-0.863,0.0,0.0,0.0,3.587,-1.761,-1.511,0.0,-0.25,0.0,-0.25,0.0,-0.315,,
05/31/2001,-0.262,4.644,0.983,-1.698,-1.698,-4.191,,,,-4.191,0.893,-0.76,0.0,-0.76,0.0,0.0,0.0,1.653,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,-0.879,,
08/31/2001,4.079,3.563,0.916,-1.505,-1.505,1.105,,,,1.105,0.145,-1.281,0.006,-1.287,0.0,0.0,0.0,1.426,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,2.713,,
11/30/2001,7.499,3.748,0.916,-1.165,-1.165,4.0,5.198,-0.081,-2.546,1.429,-4.713,-0.802,0.015,-0.817,0.0,0.0,0.0,-3.911,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,1.276,,
02/28/2002,3.31,0.869,1.023,-0.856,-0.856,2.274,,,,2.274,-5.15,-0.787,0.0,-0.787,0.0,0.0,0.0,-4.363,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,-3.351,,
05/31/2002,-4.02,4.074,1.029,3.522,3.522,-12.645,-2.469,-0.525,1.218,-10.869,8.141,-0.447,,-0.447,0.0,0.0,0.0,8.588,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,2.611,,
08/31/2002,0.682,1.822,0.92,-0.615,-0.615,-1.445,,,,-1.445,1.439,-0.496,0.023,-0.519,0.0,0.0,0.0,1.935,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,0.611,,
11/30/2002,7.477,1.951,0.92,0.63,0.63,3.976,4.007,-0.483,-1.459,1.911,-8.886,-0.334,0.013,-0.347,0.0,0.0,0.0,-8.552,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,-2.92,,
02/28/2003,1.462,-0.827,0.971,0.994,0.994,0.324,,,,0.324,2.488,-0.387,0.04,-0.427,0.0,0.0,0.0,2.875,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,2.44,,
05/31/2003,3.294998,3.247,0.974,-1.926999,-1.926999,1.000999,,,,1.000999,-1.879,-0.222,0.008,-0.23,0.0,0.0,0.0,-1.657,-1.509999,-1.509999,0.0,0.0,0.0,0.0,0.0,-0.094,,
08/31/2003,-3.313,2.037,0.844,-0.306,-0.306,-5.888,0.0,-0.621,1.351,-6.618,3.466,-0.439,0.005,-0.444,0.0,0.0,0.0,3.905,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,-1.357,,
11/30/2003,8.414,2.068,0.828,-0.236,-0.236,5.754,0.0,-0.625,0.714,5.665,-5.982,-0.131,0.0,-0.131,0.0,0.0,0.0,-5.851,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,0.921,,
02/29/2004,-0.104,-0.718,0.89,0.51,0.51,-0.786,-0.93,-0.352,,0.496,1.744,-0.235,0.658,-0.893,0.0,0.0,0.0,1.979,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,0.129,,
05/31/2004,-2.651,2.754,0.888,0.373,0.373,-6.666,-2.87,-0.13,,-3.666,4.57,-0.46,0.639,-1.099,0.0,0.0,0.0,5.03,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0,0.409,0.0,
08/31/2004,-1.78,0.806,0.802,0.028,0.028,-3.416,-2.378,-1.803,0.467,0.298,0.895,-1.308,0.004,-1.312,0.0,0.0,0.0,2.203,-1.511,-1.511,0.0,0.0,0.0,0.0,0.0,-2.396,0.0,
11/30/2004,12.111,1.885,0.808,0.0,0.0,9.418,2.699,1.419,,5.3,0.15,-0.53,0.025,-0.555,0.0,0.0,0.0,0.68,-9.904,-9.904,0.0,0.0,0.0,0.0,0.0,2.357,0.0,
02/28/2005,3.681,-0.354,0.877,0.217,0.217,2.941,1.198,0.18,,1.563,-2.917,-0.398,0.0,-0.398,0.0,0.0,0.0,-2.519,-1.507,-1.507,0.0,0.0,0.0,0.0,0.0,-0.743,,
