Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1992,6501,17,17,0.0,481,,,,115,,,,,147,,,,760,5515,,,0.0,,226,,,,226,5741,,484,484.0,,,,43,,,,,,836,,,836,1363,1874,,,,,1937,,,,1937,3811,5174,10.0,1362,,,-3.0,,-42,1327,,1327,6501,
12/31/1992,6537,57,57,0.0,473,,,,106,,,,,141,,,,777,5568,9126.0,-3558.0,0.0,,192,,,,192,5760,,473,473.0,,,,40,,,,,,840,,,840,1353,1527,,,,,1920,,,,1920,3447,4800,346.0,1366,,,-2.0,,27,1737,,1737,6537,
03/31/1993,6592,53,53,0.0,463,,,,126,,,,,163,,,,805,5582,,,0.0,,205,,,,205,5787,,471,471.0,,,,37,,,,,,831,,,831,1339,1496,,,,,1960,,,,1960,3456,4795,346.0,1377,,,-3.0,,77,1797,,1797,6592,
06/30/1993,6678,25,25,0.0,458,,,,105,,,,,199,,,,787,5681,,,0.0,,210,,,,210,5891,,460,460.0,,,,283,,,,,,825,,,825,1568,1313,,,,,1952,,,,1952,3265,4833,346.0,1386,,,-3.0,,116,1845,,1845,6678,
09/30/1993,6870,18,18,0.0,498,,,,101,,,,,249,,,,866,5772,,,0.0,,232,,,,232,6004,,489,489.0,,,,221,,,,,,870,,,870,1580,1456,,,,,1998,,,,1998,3454,5034,337.0,1393,,,-3.0,,109,1836,,1836,6870,
12/31/1993,7045,17,17,0.0,589,,,,91,,,,,194,,,,891,5909,9636.0,-3727.0,0.0,,245,,,,245,6154,,492,492.0,,,,211,,,,,,826,,,826,1529,1526,,,,,2071,,,,2071,3597,5126,337.0,1421,,,-4.0,,165,1919,0.0,1919,7045,
03/31/1994,7190,23,23,0.0,590,,,,121,,,,,257,,,,991,5929,,,0.0,,270,,,,270,6199,,513,513.0,,,,310,,,,,,781,,,781,1604,1515,,,,,2094,,,,2094,3609,5213,337.0,1432,,,-4.0,,212,1977,0.0,1977,7190,
06/30/1994,7394,18,18,0.0,569,,,,117,,,,,332,,,,1036,6074,,,0.0,,284,,,,284,6358,,509,509.0,,,,240,,,,,,791,,,791,1540,1694,,,,,2130,,,,2130,3824,5364,337.0,1443,,,-5.0,,255,2030,,2030,7394,
09/30/1994,7536,17,17,0.0,609,,,,117,,,,,309,,,,1052,6203,,,0.0,,281,,,,281,6484,,579,579.0,,,,103,,,,,,866,,,866,1548,1688,,,,,2184,,,,2184,3872,5420,337.0,1444,,,-5.0,,340,2116,0.0,2116,7536,
12/31/1994,7592,27,27,0.0,697,,,,100,,,,,188,,,,1012,6311,10179.0,-3868.0,0.0,,269,,,,269,6580,,534,534.0,,,,122,,,,,,791,,,791,1447,1697,,,,,2211,,,,2211,3908,5355,337.0,1444,,,-5.0,,461,2237,0.0,2237,7592,
03/31/1995,8395,25,25,0.0,671,,,,136,,,,,347,,,,1179,6359,,,0.0,,857,,,,857,7216,,572,572.0,,,,238,,,,,,772,,,772,1582,2189,,,,,2240,,,,2240,4429,6011,337.0,1450,,,-5.0,,602,2384,0.0,2384,8395,
06/30/1995,8625,31,31,0.0,667,,,,130,,,,,356,,,,1184,6493,,,638.0,,310,,,,310,7441,,539,539.0,,,,262,,,,,,797,,,797,1598,2194,,,,,2301,,,,2301,4495,6093,336.0,1470,,,-3.0,,729,2532,,2532,8625,
09/30/1995,18355,62,62,0.0,766,,,,218,,,,,368,,,,1414,16019,,,0.0,,922,,,,922,16941,,2132,2132.0,,,,154,,,,,,0,,,0,2286,4164,,,,,6547,,,,6547,10711,12997,336.0,4251,,,0.0,,771,5358,0.0,5358,18355,
12/31/1995,18269,50,50,0.0,620,,,,220,,,,,374,,,,1264,16001,20334.0,-4333.0,0.0,,1004,,,,1004,17005,,2289,2289.0,,,,80,,,,,,0,,,0,2369,4153,,,,,6710,,,,6710,10863,13232,0.0,4607,,,-3.0,,433,5037,0.0,5037,18269,
03/31/1996,18518,34,34,0.0,686,,,,250,,,,,371,,,,1341,16205,,,0.0,,972,,,,972,17177,,2187,2187.0,,,,152,,,,,,0,,,0,2339,4087,,,,,6824,,,,6824,10911,13250,0.0,4699,,,0.0,,569,5268,0.0,5268,18518,
06/30/1996,18775,24,24,0.0,671,,,,242,,,,,355,,,,1292,16517,,,0.0,,966,,,,966,17483,,2141,2141.0,,,,152,,,,,,0,,,0,2293,4170,,,,,6829,,,,6829,10999,13292,0.0,4751,,,0.0,,732,5483,0.0,5483,18775,
09/30/1996,19257,34,34,0.0,747,,,,228,,,,,381,,,,1390,16866,,,0.0,,1001,,,,1001,17867,,2197,2197.0,,,,157,,,,,,0,,,0,2354,4243,,,,,6960,,,,6960,11203,13557,0.0,4766,,,0.0,,934,5700,0.0,5700,19257,
12/31/1996,19763,47,47,0.0,628,,,,222,,,,,351,,,,1248,17633,22123.0,-4490.0,0.0,,882,,,,882,18515,,218,218.0,,,,165,,,,,,1845,,,1845,2228,4546,,,,,7008,,,,7008,11554,13782,0.0,4840,,,-16.0,,1157,5981,0.0,5981,19763,
03/31/1997,20068,47,47,0.0,793,,,,230,,,,,350,,,,1420,17766,,,0.0,,882,,,,882,18648,,1960,1960.0,,,,95,,,,,,0,,,0,2055,4898,,,,,7003,,,,7003,11901,13956,0.0,4874,,,0.0,,1238,6112,0.0,6112,20068,
06/30/1997,20355,42,42,0.0,655,,,,205,,,,,384,,,,1286,18180,22825.0,-4645.0,0.0,,889,,,,889,19069,,1865,1865.0,,,,94,,,,,,0,,,0,1959,4935,,,,,7119,,,,7119,12054,14013,0.0,4916,,,0.0,,1426,6342,0.0,6342,20355,
09/30/1997,20981,45,45,0.0,775,,,,219,,,,,388,,,,1427,18653,23334.0,-4681.0,0.0,,901,,,,901,19554,,1941,1941.0,,,,98,,,,,,0,,,0,2039,5146,,,,,7171,,,,7171,12317,14356,0.0,4972,,,0.0,,1653,6625,0.0,6625,20981,
12/31/1997,21336,31,31,0.0,635,,,,205,,,,,363,,,,1234,19211,23955.0,-4744.0,0.0,,891,,,,891,20102,,222,222.0,,,,108,,,,,,1730,,,1730,2060,5181,,,,,7283,,,,7283,12464,14524,0.0,4997,,,-39.0,,1854,6812,0.0,6812,21336,
03/31/1998,21668,33,33,0.0,569,,,,213,213.0,0.0,0.0,0.0,370,,,,1185,19421,24135.0,-4714.0,0.0,,1062,0.0,,,1062,20483,,1905,1905.0,,,,108,,,,,,0,,,0,2013,5158,,,,,7390,,,,7390,12548,14561,0.0,5090,,,,,2017,7107,0.0,7107,21668,
06/30/1998,21813,31,31,0.0,568,,,,211,211.0,0.0,0.0,0.0,369,,,,1179,19839,24624.0,-4785.0,0.0,,795,0.0,,,795,20634,,1913,1913.0,,,,256,,,,,,0,,,0,2169,4969,,,,,7308,,,,7308,12277,14446,0.0,5124,,,,,2243,7367,0.0,7367,21813,
09/30/1998,22260,17,17,0.0,615,,,,212,212.0,0.0,0.0,0.0,372,,,,1216,20267,25165.0,-4898.0,0.0,,777,0.0,,,777,21044,,1855,1855.0,,,,261,,,,,,0,,,0,2116,5154,,,,,7449,,,,7449,12603,14719,0.0,5146,,,-167.0,,2562,7541,0.0,7541,22260,
12/31/1998,22646,25,25,0.0,524,,,,244,244.0,0.0,0.0,0.0,369,,,,1162,20662,25701.0,-5039.0,0.0,,822,0.0,,,822,21484,,174,174.0,,,,268,,,,,,1711,,,1711,2153,5188,,,,,7535,,,,7535,12723,14876,0.0,5182,,,-213.0,,2801,7770,0.0,7770,22646,
03/31/1999,23010,19,19,,555,555.0,,,247,247.0,,,,340,,,,1161,20830,,,,,1019,,,,1019,21849,,1873,1873.0,,,,302,,,,,,0,,,0,2175,5416,,,,,7506,,,,7506,12922,15097,,5254,,,-323.0,2991.0,-9,7913,,7913,23010,
06/30/1999,23480,28,28,,486,486.0,,,244,244.0,,,,358,,,,1116,21183,,,,,1181,,,,1181,22364,,1866,1866.0,,,,163,,,,,,0,,,0,2029,5917,,,,,7601,,,,7601,13518,15547,,5332,,,-563.0,3173.0,-9,7933,,7933,23480,
09/30/1999,23407,24,24,0.0,465,465.0,,,249,249.0,0.0,0.0,0.0,377,,,,1115,21457,,,0.0,,835,0.0,,,835,22292,,1906,1906.0,,,,164,,,,,,0,,,0,2070,5619,,,,,7701,,,,7701,13320,15390,0.0,5353,,,-792.0,3465.0,-9,8017,0.0,8017,23407,
03/31/2000,23894,32,32,,332,332.0,,,228,228.0,,,,396,,,,988,21755,,,,,1151,,,,1151,22906,,1865,1865.0,,,,127,,,,,,0,,,0,1992,6285,,,,,7830,,,,7830,14115,16107,,5406,,,-1498.0,3914.0,-35,7787,,7787,23894,
06/30/2000,23896,26,26,,325,325.0,,,204,204.0,,,,412,,,,967,21959,,,,,970,,,,970,22929,,1832,1832.0,,,,131,,,,,,0,,,0,1963,6565,,,,,7920,,,,7920,14485,16448,,5415,,,-2018.0,4090.0,-39,7448,,7448,23896,
09/30/2000,24113,28,28,,354,354.0,,,202,202.0,,,,432,,,,1016,22137,,,,,960,,,,960,23097,,1938,1938.0,,,,191,,,,,,0,,,0,2129,6542,,,,,8028,,,,8028,14570,16699,,5413,,,-2260.0,4300.0,-39,7414,,7414,24113,
12/31/2000,24375,11,11,,314,314.0,,,220,,,,,431,,,,976,22369,27439.0,-5070.0,,,1030,,,,1030,23399,,1954,1954.0,,,,232,,,,,,0,,,0,2186,6614,,,,,8095,,,,8095,14709,16895,,5433,,,-2413.0,4505.0,-45,7480,,7480,24375,
03/31/2001,24405,15,15,,281,281.0,,,209,209.0,,,,425,,,,930,22376,,,,,1099,,,,1099,23475,,1826,1826.0,,,,235,,,,,,0,,,0,2061,6636,,,,,8113,,,,8113,14749,16810,,5507,,,-2482.0,4591.0,-21,7595,,7595,24405,
06/30/2001,24502,26,26,,262,262.0,,,214,214.0,,,,389,,,,891,22590,,,,,1021,,,,1021,23611,,1851,1851.0,,,,236,,,,,,0,,,0,2087,6516,,,,,8184,,,,8184,14700,16787,,5575,,,-2581.0,4739.0,-18,7715,,7715,24502,
09/30/2001,24741,20,20,,298,298.0,,,207,207.0,,,,460,,,,985,22888,,,,,868,,,,868,23756,,1979,1979.0,,,,387,,,,,,0,,,0,2366,6297,,,,,8288,,,,8288,14585,16951,,5579,,,-2689.0,4917.0,-17,7790,,7790,24741,
12/31/2001,24721,26,26,0.0,172,172.0,,,191,191.0,0.0,0.0,0.0,334,,,,723,23110,28055.0,-4945.0,0.0,,888,0.0,0.0,0.0,888,23998,,160,160.0,,,,288,,,,,,1713,,,1713,2161,6363,,,,,8348,,,,8348,14711,16872,0.0,5589,,,-2745.0,5048.0,-43,7849,0.0,7849,24721,
03/31/2002,24897,11,11,,155,155.0,,,199,199.0,,,,358,,,,723,23215,,,,,959,,,,959,24174,,1809,1809.0,,,,290,,,,,,0,,,0,2099,6454,,,,,8405,,,,8405,14859,16958,,5621,,,-2836.0,5174.0,-20,7939,,7939,24897,
06/30/2002,25481,178,178,,197,197.0,,,217,217.0,,,,466,,,,1058,23503,,,,,920,,,,920,24423,,1903,1903.0,,,,291,,,,,,0,,,0,2194,6714,,,,,8572,,,,8572,15286,17480,,5667,,,-2955.0,5322.0,-33,8001,,8001,25481,
09/30/2002,25676,47,47,,208,208.0,,,200,200.0,,,,441,,,,896,23826,,,,,954,,,,954,24780,,1967,1967.0,,,,143,,,,,,0,,,0,2110,6802,,,,,8692,,,,8692,15494,17604,,5669,,,-3041.0,5468.0,-24,8072,,8072,25676,
12/31/2002,25767,28,28,0.0,141,141.0,,,226,226.0,0.0,0.0,0.0,396,,,,791,24022,28905.0,-4883.0,0.0,,954,0.0,0.0,0.0,954,24976,,177,177.0,,,,173,,,,,,1741,,,1741,2091,6641,,,,,9103,,,,9103,15744,17835,0.0,5669,,,-3114.0,5625.0,-248,7932,0.0,7932,25767,
03/31/2003,26037,65,65,,138,138.0,,,246,246.0,,,,387,,,,836,24235,,,,,966,,,,966,25201,,1822,1822.0,,,,145,,,,,,0,,,0,1967,6857,,,,,9204,,,,9204,16061,18028,,5677,,,-3193.0,5767.0,-242,8009,,8009,26037,
06/30/2003,26379,43,43,,148,148.0,,,229,229.0,,,,419,,,,839,24541,,,,,999,,,,999,25540,,1898,1898.0,,,,153,,,,,,0,,,0,2051,6876,,,,,9303,,,,9303,16179,18230,,5712,,,-3240.0,5922.0,-245,8149,,8149,26379,
09/30/2003,26670,30,30,,158,158.0,,,217,217.0,,,,434,,,,839,24827,,,,,1004,,,,1004,25831,,2049,2049.0,,,,143,,,,,,0,,,0,2192,6826,,,,,9400,,,,9400,16226,18418,,5717,,,-3296.0,6070.0,-239,8252,,8252,26670,
12/31/2003,26939,18,18,0.0,129,129.0,,,266,266.0,,,,449,,,,862,25068,31074.0,-6006.0,0.0,,1009,,0.0,,1009,26077,,214,214.0,,,,244,,,,,,1888,,,1888,2346,6440,,,,,9658,,,,9658,16098,18444,0.0,5771,,,-3340.0,6240.0,-176,8495,0.0,8495,26939,
03/31/2004,27543,73,73,,201,201.0,,,282,282.0,,,,567,,,,1123,25264,,,,,1156,,,,1156,26420,,1983,1983.0,,,,303,,,,,,0,,,0,2286,6811,,,,,9794,,,,9794,16605,18891,,5841,,,-3430.0,6377.0,-136,8652,,8652,27543,
06/30/2004,27992,64,64,,242,242.0,,,294,294.0,,,,665,,,,1265,25376,,,,,1351,,,,1351,26727,,2074,2074.0,,,,309,,,,,,0,,,0,2383,6678,,,,,10022,,,,10022,16700,19083,,5966,,,-3522.0,6570.0,-105,8909,,8909,27992,
09/30/2004,28545,58,58,,246,246.0,,,320,320.0,,,,880,,,,1504,25656,,,,,1385,,,,1385,27041,,2242,2242.0,,,,307,,,,,,0,,,0,2549,6357,,,,,10589,,,,10589,16946,19495,,6123,,,-3619.0,6509.0,37,9050,,9050,28545,
12/31/2004,28925,322,322,0.0,181,181.0,,,339,339.0,0.0,0.0,0.0,773,,,,1615,25814,32332.0,-6518.0,0.0,,1496,0.0,0.0,0.0,1496,27310,,234,234.0,,,,465,371.0,94.0,94.0,,,2017,,,2017,2716,6051,5513.0,538.0,538.0,,10847,,,,10847,16898,19614,0.0,6304,,,-3741.0,6792.0,-44,9311,0.0,9311,28925,
03/31/2005,29347,115,115,0.0,240,240.0,,,414,414.0,0.0,0.0,0.0,812,,,,1581,25915,,,0.0,,1851,0.0,0.0,0.0,1851,27766,,2338,2338.0,,,,476,,,,,,0,,,0,2814,6003,,,,,10873,,,,10873,16876,19690,0.0,6477,,,-3983.0,7049.0,114,9657,0.0,9657,29347,
06/30/2005,29879,79,79,0.0,290,290.0,,,378,378.0,0.0,0.0,0.0,864,,,,1611,26179,,,0.0,,2089,0.0,0.0,0.0,2089,28268,,2432,2432.0,,,,478,,,,,,0,,,0,2910,6291,,,,,10932,,,,10932,17223,20133,0.0,6508,,,-4197.0,7351.0,84,9746,0.0,9746,29879,
09/30/2005,30019,274,274,0.0,286,286.0,,,395,395.0,0.0,0.0,0.0,946,,,,1901,26302,,,0.0,,1816,0.0,0.0,0.0,1816,28118,,2541,2541.0,,,,472,,,,,,0,,,0,3013,5931,,,,,11007,,,,11007,16938,19951,0.0,6611,,,-4339.0,7690.0,106,10068,0.0,10068,30019,
12/31/2005,30304,75,75,0.0,678,678.0,,,396,396.0,0.0,0.0,0.0,731,,,,1880,26551,33761.0,-7210.0,,,1873,0.0,0.0,0.0,1873,28424,,2773,2773.0,,,,456,311.0,145.0,145.0,,,0,,,0,3229,6698,6239.0,459.0,459.0,,10869,,,,10869,17567,20796,,6707,,,-4569.0,8045.0,-675,9508,,9508,30304,
03/31/2006,30672,88,88,0.0,518,518.0,,,434,434.0,0.0,0.0,0.0,718,,,,1758,26741,,,0.0,,2173,0.0,0.0,0.0,2173,28914,,2739,2739.0,,,,446,,,,,,0,,,0,3185,6759,,,,,10902,,,,10902,17661,20846,0.0,6826,,,-5301.0,8382.0,-81,9826,0.0,9826,30672,
09/30/2006,31458,84,84,0.0,795,795.0,,,464,464.0,0.0,0.0,0.0,602,,,,1945,27410,,,0.0,,2103,0.0,0.0,0.0,2103,29513,,2874,2874.0,,,,746,,,,,,0,,,0,3620,6611,,,,,11098,,,,11098,17709,21329,0.0,6941,,,-5783.0,9177.0,-206,10129,0.0,10129,31458,
12/31/2006,31797,375,375,0.0,805,805.0,,,488,488.0,0.0,0.0,0.0,513,,,,2181,27921,36538.0,-8617.0,0.0,,1695,0.0,0.0,0.0,1695,29616,,2853,2853.0,,,,473,352.0,121.0,121.0,,,0,,,0,3326,6912,6424.0,488.0,488.0,,11031,,,,11031,17943,21269,0.0,6995,,,-5929.0,9739.0,-277,10528,0.0,10528,31797,
03/31/2007,32108,392,392,0.0,420,420.0,,,506,,0.0,0.0,506.0,615,,,,1933,28166,,,0.0,,2009,0.0,0.0,0.0,2009,30175,,2996,2996.0,,,,484,,,,,,0,,,0,3480,6966,,,,,11132,,,,11132,18098,21578,0.0,7113,,,-6285.0,9985.0,-283,10530,0.0,10530,32108,
06/30/2007,32854,393,393,0.0,788,788.0,,,522,522.0,0.0,0.0,0.0,639,,,,2342,28632,,,0.0,,1880,0.0,0.0,0.0,1880,30512,,2968,2968.0,,,,392,,,,,,0,,,0,3360,7576,,,,,11249,,,,11249,18825,22185,0.0,7260,,,-6656.0,10330.0,-265,10669,0.0,10669,32854,
09/30/2007,33535,375,375,,984,984.0,,,518,518.0,,,,604,,,,2481,29048,,,,,2006,,,,2006,31054,,3048,3048.0,,,,403,,,,,,0,,,0,3451,7820,,,,,11385,,,,11385,19205,22656,,7299,,,-6911.0,10747.0,-256,10879,,10879,33535,
12/31/2007,33583,330,330,0.0,790,790.0,,,579,579.0,0.0,0.0,0.0,482,,,,2181,29567,38744.0,-9177.0,0.0,,1835,0.0,0.0,0.0,1835,31402,,2824,2824.0,,,,411,258.0,153.0,153.0,,,0,,,0,3235,7735,6950.0,785.0,785.0,,11469,,,,11469,19204,22439,0.0,7353,,,-7222.0,11152.0,-139,11144,0.0,11144,33583,
03/31/2008,34552,525,525,0.0,861,861.0,,,639,,0.0,0.0,639.0,647,,,,2672,29783,,,0.0,,2097,0.0,0.0,0.0,2097,31880,,3108,3108.0,,,,619,,,,,,0,,,0,3727,8025,,,,,11600,,,,11600,19625,23352,0.0,7446,,,-7601.0,11489.0,-134,11200,0.0,11200,34552,
06/30/2008,35142,481,481,0.0,829,829.0,,,689,,,,,792,,,,2791,30131,,,0.0,,2220,,,,2220,32351,,3051,3051.0,,,,434,,,,,,0,,,0,3485,8385,,,,,11939,,,,11939,20324,23809,0.0,7579,,,-7887.0,11728.0,-87,11333,0.0,11333,35142,
09/30/2008,35633,476,476,0.0,623,623.0,,,626,626.0,0.0,0.0,0.0,740,,,,2465,30510,,,0.0,,2658,0.0,0.0,0.0,2658,33168,,3252,3252.0,,,,403,,,,,,0,,,0,3655,8297,,,,,12077,,,,12077,20374,24029,0.0,7615,,,-8125.0,12285.0,-171,11604,0.0,11604,35633,
12/31/2008,36403,633,633,,847,847.0,,,525,525.0,,,,660,,,,2665,30847,40759.0,-9912.0,0.0,,2891,,,,2891,33738,,3190,3190.0,,,,456,206.0,250.0,250.0,,,0,,,0,3646,9099,8068.0,1031.0,1031.0,,12527,,,,12527,21626,25272,0.0,7636,,,-8395.0,12764.0,-874,11131,0.0,11131,36403,
03/31/2009,36963,610,610,0.0,825,825.0,0.0,,538,,,,,749,,472.0,277.0,2722,31391,,,0.0,,2850,,,,2850,34241,,3133,3133.0,,,,275,0.0,,,,275.0,0,,,0,3408,9416,9416.0,,,,12725,968.0,1049.0,8787.0,1921,22141,25549,0.0,7662,5.0,7657.0,-8410.0,12921.0,-759,11414,0.0,11414,36963,
06/30/2009,37372,484,484,0.0,815,815.0,0.0,,534,,,,,746,,409.0,337.0,2579,31744,41958.0,-10214.0,0.0,,3049,,,,3049,34793,,2880,2880.0,,,,555,0.0,,,,555.0,0,,,0,3435,9283,9283.0,,,,12803,949.0,1020.0,8992.0,1842,22086,25521,0.0,7681,5.0,7676.0,-8419.0,13190.0,-601,11851,0.0,11851,37372,
09/30/2009,38553,1161,1161,0.0,853,853.0,,,523,,,,,740,,454.0,286.0,3277,32135,42588.0,-10453.0,,,3141,,,,3141,35276,,2848,2848.0,,,,323,0.0,,,,323.0,0,,,0,3171,10062,10062.0,,,,13065,963.0,1020.0,9235.0,1847,23127,26298,,7726,5.0,7721.0,-8424.0,13541.0,-588,12255,,12255,38553,
12/31/2009,38675,1269,1269,0.0,787,787.0,0.0,,633,,,,,567,57.0,290.0,243.0,3256,32294,43030.0,-10736.0,0.0,,3125,0.0,0.0,0.0,3068,35419,,2682,2695.0,,,-13.0,644,0.0,,,,644.0,13,0.0,0.0,0,3339,9691,9691.0,,,,12847,899.0,783.0,9322.0,1843,22538,25877,0.0,7781,5.0,7776.0,-8428.0,13941.0,-496,12798,0.0,12798,38675,
03/31/2010,66302,1185,1185,0.0,925,925.0,0.0,,634,,,,,389,,236.0,153.0,3133,44237,,,0.0,,18932,16777.0,14803.0,1974.0,2155,63169,,2629,,,,2629.0,634,0.0,,,,634.0,0,,,0,3263,10439,10439.0,,,,17786,898.0,869.0,13433.0,2586,28225,31488,0.0,34495,,,0.0,282.0,37,34814,0.0,34814,66302,
06/30/2010,67066,1515,1515,0.0,968,968.0,0.0,,602,,,,,450,,264.0,186.0,3535,44737,45184.0,-447.0,0.0,,18794,16688.0,14803.0,1885.0,2106,63531,,2706,,,,2706.0,640,0.0,,,,640.0,0,,,0,3346,11100,11100.0,,,,17493,864.0,469.0,13646.0,2514,28593,31939,0.0,34495,,,0.0,635.0,-3,35127,,35127,67066,
09/30/2010,68506,2125,2125,0.0,1006,1006.0,0.0,,584,,,,,439,17.0,278.0,132.0,4154,45159,,,0.0,,19193,16612.0,14803.0,1809.0,2564,64352,,2796,,,,2796.0,1001,0.0,,,,1001.0,0,,,0,3797,11382,11382.0,,,,17978,886.0,475.0,13898.0,2719,29360,33157,0.0,34495,,,0.0,841.0,13,35349,0.0,35349,68506,
12/31/2010,68647,2087,2087,0.0,928,928.0,0.0,,652,,,,,510,17.0,317.0,133.0,4177,45486,46146.0,-660.0,0.0,,18984,16535.0,14803.0,1732.0,2432,64470,,2768,,,,2768.0,699,0.0,,,,699.0,0,0.0,0.0,0,3467,11281,11281.0,,,,18392,938.0,490.0,14307.0,2657,29673,33140,0.0,34495,,,,985.0,27,35507,0.0,35507,68647,
