Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2008,911.0,,,,-52.0,,,859.0,0.0,-2187.0,295.0,171.0,,,1892.0,-1328,-17.0,18.0,22.0,-4.0,0.0,-1.0,-1345.0,-11.0,-1356.0,0.0,,,-1356.0,0.0,-1356.0,0.0,0.0,-1356.0,-1356.0,,178.0,-7.63,-7.63,-7.63,178.0,-7.63,-7.63,-7.63,
03/31/2009,901.0,639.0,109.0,153.0,-81.0,49.0,32.0,820.0,0.0,-731.0,272.0,137.0,135.0,43.0,416.0,89,-15.0,17.0,19.0,-2.0,,-2.0,74.0,-29.0,45.0,0.0,0.0,0.0,45.0,,45.0,0.0,0.0,45.0,76.2,31.2,178.0,0.25,0.25,0.42809,178.0,0.25,0.25,0.425281,
06/30/2009,920.0,639.0,109.0,172.0,-68.0,33.0,35.0,852.0,0.0,-701.0,259.0,137.0,122.0,45.0,397.0,151,-24.0,24.0,26.0,-2.0,,0.0,127.0,-56.0,71.0,0.0,0.0,0.0,71.0,0.0,71.0,0.0,0.0,71.0,74.9,3.9,179.0,0.4,0.4,0.418436,182.0,0.39,0.39,0.411429,
09/30/2009,1016.0,730.0,108.0,178.0,-89.0,54.0,35.0,927.0,0.0,-721.0,289.0,149.0,140.0,46.0,386.0,206,-31.0,33.0,34.0,-1.0,,-2.0,175.0,-71.0,104.0,0.0,0.0,0.0,104.0,,104.0,0.0,0.0,104.0,104.0,0.0,179.0,0.58,0.58,0.58,183.0,0.57,0.57,0.57,
12/31/2009,913.0,658.0,109.0,146.0,-84.0,47.0,37.0,829.0,0.0,-681.0,273.0,137.0,136.0,44.0,364.0,148,-31.0,33.0,35.0,-2.0,,-2.0,117.0,-44.0,73.0,0.0,0.0,0.0,73.0,0.0,73.0,0.0,0.0,73.0,78.2,5.2,179.0,0.41,0.41,0.436872,184.0,0.4,0.4,0.428261,
03/31/2010,886.0,641.0,105.0,140.0,-60.0,36.0,24.0,826.0,0.0,-696.0,271.0,123.0,148.0,44.0,381.0,130,-48.0,49.0,50.0,-1.0,,-1.0,82.0,-32.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,63.2,13.2,179.0,0.28,0.28,0.353073,186.0,0.27,0.27,0.340968,
06/30/2010,963.0,680.0,106.0,177.0,-78.0,49.0,29.0,885.0,0.0,-713.0,284.0,138.0,146.0,42.0,387.0,172,-31.0,34.0,36.0,-2.0,,-3.0,141.0,-46.0,95.0,0.0,0.0,0.0,95.0,,95.0,0.0,0.0,95.0,95.0,0.0,180.0,0.53,0.53,0.53,187.0,0.51,0.51,0.51,
09/30/2010,1065.0,772.0,107.0,186.0,-79.0,52.0,27.0,986.0,0.0,-707.0,250.0,149.0,101.0,43.0,414.0,279,-44.0,45.0,47.0,-2.0,,-1.0,235.0,-79.0,156.0,0.0,0.0,0.0,156.0,0.0,156.0,0.0,0.0,156.0,127.6,-28.4,177.0,0.88,0.88,0.720904,184.0,0.84,0.84,0.685652,
12/31/2010,937.0,685.0,107.0,145.0,-72.0,47.0,25.0,865.0,0.0,-728.0,266.0,121.0,145.0,44.0,418.0,137,-32.0,,34.0,,,-2.0,105.0,-27.0,78.0,0.0,0.0,0.0,78.0,,78.0,0.0,0.0,78.0,87.0,9.0,174.0,0.45,0.45,0.5,182.0,0.43,0.43,0.479451,
03/31/2011,952.0,717.0,102.0,133.0,-55.0,32.0,23.0,897.0,0.0,-745.0,276.0,137.0,139.0,45.0,424.0,152,-36.0,30.0,32.0,-2.0,,6.0,116.0,-44.0,72.0,0.0,0.0,0.0,72.0,0.0,72.0,0.0,0.0,72.0,78.35,6.35,173.0,0.42,0.42,0.45289,179.0,0.41,0.41,0.445475,
06/30/2011,1090.0,812.0,103.0,175.0,-71.0,48.0,23.0,1019.0,0.0,-789.0,279.0,153.0,126.0,45.0,465.0,230,-34.0,34.0,36.0,-2.0,,0.0,196.0,-82.0,114.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,0.0,114.0,121.65,7.65,167.0,0.68,0.68,0.728443,170.0,0.67,0.67,0.715,
09/30/2011,1212.0,904.0,105.0,203.0,-56.0,35.0,21.0,1156.0,0.0,-872.0,339.0,182.0,157.0,43.0,490.0,284,-13.0,15.0,34.0,-19.0,,-2.0,271.0,-96.0,175.0,0.0,0.0,0.0,175.0,0.0,175.0,0.0,0.0,175.0,179.0,4.0,159.0,1.1,1.1,1.125786,162.0,1.08,1.08,1.104691,
12/31/2011,1000.0,729.0,105.0,166.0,-62.0,37.0,25.0,938.0,0.0,-837.0,326.0,156.0,170.0,45.0,466.0,101,-34.0,36.0,37.0,-1.0,,-2.0,67.0,-11.0,56.0,0.0,0.0,0.0,56.0,,56.0,0.0,0.0,56.0,83.0,27.0,151.0,0.37,0.37,0.549669,154.0,0.37,0.37,0.545325,
03/31/2012,1036.0,775.0,103.0,158.0,-51.0,28.0,23.0,985.0,0.0,-807.0,320.0,167.0,153.0,45.0,442.0,178,-134.0,31.0,33.0,-2.0,,103.0,44.0,-13.0,31.0,0.0,0.0,0.0,31.0,1.0,32.0,0.0,0.0,32.0,92.0,60.0,146.0,0.22,0.22,0.630137,149.0,0.21,0.21,0.612685,
06/30/2012,1139.0,831.0,102.0,206.0,-65.0,42.0,23.0,1074.0,0.0,-843.0,346.0,190.0,156.0,46.0,451.0,231,-25.0,30.0,32.0,-2.0,,-5.0,206.0,-78.0,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,128.0,127.35,-0.65,144.0,0.89,0.89,0.884375,147.0,0.88,0.88,0.875578,
09/30/2012,1265.0,939.0,106.0,220.0,-68.0,45.0,23.0,1197.0,0.0,-909.0,369.0,197.0,172.0,45.0,495.0,288,-32.0,30.0,32.0,-2.0,,2.0,256.0,-97.0,159.0,0.0,0.0,0.0,159.0,0.0,159.0,,0.0,159.0,162.0,3.0,141.0,1.13,1.13,1.148936,144.0,1.11,1.11,1.130833,
12/31/2012,1094.0,783.0,110.0,201.0,-67.0,46.0,21.0,1027.0,0.0,-872.0,354.0,169.0,185.0,49.0,469.0,155,-33.0,33.0,35.0,-2.0,,0.0,122.0,-41.0,81.0,0.0,0.0,0.0,81.0,0.0,81.0,,0.0,81.0,91.0,10.0,139.0,0.58,0.58,0.654676,141.0,0.57,0.57,0.640922,
03/31/2013,1133.0,832.0,105.0,196.0,-53.0,32.0,21.0,1080.0,0.0,-899.0,341.0,177.0,164.0,52.0,506.0,181,-140.0,30.0,32.0,-2.0,,110.0,41.0,-14.0,27.0,0.0,0.0,0.0,27.0,,27.0,0.0,0.0,27.0,97.0,70.0,137.0,0.19,0.19,0.708029,138.0,0.19,0.19,0.697246,
06/30/2013,1253.0,930.0,106.0,217.0,-52.0,32.0,20.0,1201.0,0.0,-960.0,358.0,181.0,177.0,54.0,548.0,241,-30.0,32.0,34.0,-2.0,,-2.0,211.0,-78.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,133.0,133.0,0.0,135.0,0.99,0.99,0.99,136.0,0.98,0.98,0.98,
09/30/2013,1427.0,1064.0,107.0,256.0,-62.0,43.0,19.0,1365.0,0.0,-1042.0,399.0,213.0,186.0,54.0,589.0,323,-27.0,29.0,31.0,-2.0,,-2.0,296.0,-109.0,187.0,0.0,0.0,0.0,187.0,0.0,187.0,0.0,0.0,187.0,187.0,0.0,131.0,1.42,1.42,1.42,133.0,1.4,1.4,1.4,
12/31/2013,1195.0,880.0,108.0,207.0,-66.0,48.0,18.0,1129.0,0.0,-963.0,373.0,180.0,193.0,56.0,534.0,166,-32.0,32.0,34.0,-2.0,,0.0,134.0,-48.0,86.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,86.0,96.0,10.0,129.0,0.66,0.66,0.744186,131.0,0.65,0.65,0.726336,
03/31/2014,1193.0,893.0,105.0,195.0,-56.0,39.0,17.0,1137.0,0.0,-966.0,376.0,181.0,195.0,56.0,534.0,171,-22.0,25.0,27.0,-2.0,,-3.0,149.0,-59.0,90.0,0.0,0.0,0.0,90.0,,90.0,0.0,0.0,90.0,93.0,3.0,128.0,0.7,0.7,0.726563,130.0,0.69,0.69,0.713077,
06/30/2014,1343.0,998.0,106.0,239.0,-59.0,42.0,17.0,1284.0,0.0,-1018.0,387.0,206.0,181.0,59.0,572.0,266,-25.0,26.0,29.0,-3.0,,-1.0,241.0,-88.0,153.0,0.0,0.0,0.0,153.0,0.0,153.0,0.0,0.0,153.0,153.0,0.0,127.0,1.21,1.21,1.21,128.0,1.2,1.2,1.2,
09/30/2014,1514.0,1132.0,108.0,274.0,-67.0,49.0,18.0,1447.0,0.0,-1096.0,415.0,227.0,188.0,60.0,621.0,351,-26.0,26.0,28.0,-2.0,,0.0,325.0,-119.0,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,210.0,4.0,124.0,1.65,1.65,1.693548,126.0,1.64,1.64,1.671746,
12/31/2014,1231.0,893.0,108.0,230.0,-60.0,42.0,18.0,1171.0,0.0,-1016.0,377.0,188.0,189.0,58.0,581.0,155,-23.0,25.0,29.0,-4.0,,-2.0,132.0,-51.0,81.0,0.0,0.0,0.0,81.0,,81.0,0.0,0.0,81.0,130.55,49.55,122.0,0.66,0.66,1.070082,124.0,0.65,0.65,1.049597,
03/31/2015,1262.0,935.0,104.0,223.0,-51.0,33.0,18.0,1211.0,0.0,-995.0,376.0,195.0,181.0,56.0,563.0,216,-18.0,23.0,26.0,-3.0,,-5.0,198.0,-76.0,122.0,0.0,0.0,0.0,122.0,,122.0,0.0,0.0,122.0,125.35,3.35,121.0,1.01,1.01,1.03595,122.0,1.0,1.0,1.027459,
06/30/2015,1398.0,1040.0,105.0,253.0,-66.0,47.0,19.0,1332.0,0.0,-1061.0,393.0,211.0,182.0,58.0,610.0,271,-25.0,28.0,30.0,-2.0,,-3.0,246.0,-87.0,159.0,0.0,0.0,0.0,159.0,,159.0,0.0,0.0,159.0,160.0,1.0,119.0,1.34,1.34,1.344538,120.0,1.33,1.33,1.338333,
09/30/2015,1564.0,1182.0,108.0,274.0,-61.0,43.0,18.0,1503.0,0.0,-1183.0,418.0,218.0,200.0,59.0,706.0,320,-28.0,31.0,33.0,-2.0,,-3.0,292.0,-102.0,190.0,0.0,0.0,0.0,190.0,0.0,190.0,0.0,0.0,190.0,210.0,20.0,117.0,1.62,1.62,1.794872,118.0,1.61,1.61,1.78,
12/31/2015,1311.0,965.0,109.0,237.0,-62.0,43.0,19.0,1249.0,0.0,-1041.0,388.0,189.0,199.0,61.0,592.0,208,-29.0,35.0,37.0,-2.0,,-6.0,179.0,-39.0,140.0,0.0,0.0,0.0,140.0,,140.0,0.0,0.0,140.0,113.0,-27.0,115.0,1.22,1.22,0.982609,116.0,1.21,1.21,0.977241,
03/31/2016,1303.0,976.0,107.0,220.0,-55.0,37.0,18.0,1248.0,0.0,-1053.0,378.0,192.0,186.0,62.0,613.0,195,-32.0,31.0,33.0,-2.0,,1.0,163.0,-67.0,96.0,0.0,0.0,0.0,96.0,,96.0,0.0,0.0,96.0,127.0,31.0,113.0,0.85,0.85,1.123894,114.0,0.84,0.84,1.11193,
06/30/2016,1403.0,1041.0,108.0,254.0,-51.0,32.0,19.0,1352.0,0.0,-1081.0,396.0,211.0,185.0,63.0,622.0,271,-26.0,32.0,34.0,-2.0,,-6.0,245.0,-89.0,156.0,0.0,0.0,0.0,156.0,,156.0,0.0,0.0,156.0,156.65,0.65,111.0,1.4,1.4,1.411261,112.0,1.39,1.39,1.395804,
09/30/2016,1573.0,1176.0,112.0,285.0,-66.0,47.0,19.0,1507.0,0.0,-1171.0,415.0,242.0,173.0,63.0,693.0,336,-29.0,32.0,34.0,-2.0,,-3.0,307.0,-110.0,197.0,0.0,0.0,0.0,197.0,-1.0,196.0,0.0,0.0,196.0,207.0,11.0,109.0,1.79,1.79,1.899083,109.6,1.78,1.78,1.880365,
12/31/2016,1193.0,839.0,113.0,241.0,-50.0,31.0,19.0,1143.0,0.0,-887.0,314.0,167.0,147.0,51.0,522.0,256,-30.0,31.0,33.0,-2.0,,-1.0,226.0,-62.0,164.0,0.0,0.0,0.0,164.0,0.0,164.0,0.0,0.0,164.0,147.0,-17.0,107.0,1.54,1.54,1.373832,108.0,1.53,1.53,1.372593,
03/31/2017,1319.0,987.0,111.0,221.0,-54.0,36.0,18.0,1265.0,0.0,-1064.0,388.0,195.0,193.0,63.0,613.0,201,-29.0,31.0,33.0,-2.0,,-2.0,172.0,-31.0,141.0,0.0,0.0,0.0,141.0,,141.0,0.0,0.0,141.0,120.0,-21.0,105.0,1.34,1.34,1.142857,106.0,1.33,1.33,1.131887,
06/30/2017,978.0,847.0,114.0,17.0,-57.0,38.0,19.0,921.0,0.0,-876.0,293.0,140.0,153.0,33.0,550.0,45,-35.0,38.0,39.0,-1.0,,-3.0,10.0,4.0,14.0,-71.0,-71.0,0.0,85.0,,85.0,0.0,0.0,85.0,95.195652,81.195652,103.8,0.82,0.13,0.917106,104.938272,0.81,0.13,0.903747,
09/30/2017,1015.0,882.0,119.0,14.0,-58.0,41.0,17.0,957.0,0.0,-773.0,285.0,154.0,131.0,35.0,453.0,184,-20.0,39.0,40.0,-1.0,,-19.0,164.0,-62.0,102.0,-162.0,-162.0,0.0,264.0,0.0,264.0,0.0,0.0,264.0,105.978571,3.978571,102.4,2.58,1.0,1.034947,102.9,2.57,0.99,1.028664,
12/31/2017,931.0,796.0,120.0,15.0,-54.0,35.0,19.0,877.0,0.0,-785.0,276.0,133.0,143.0,36.0,473.0,92,-36.0,40.0,42.0,-2.0,,-4.0,56.0,388.0,444.0,28.0,28.0,0.0,416.0,0.0,416.0,0.0,0.0,416.0,93.25,-350.75,100.9,4.12,4.4,0.924182,101.8,4.09,4.36,0.914519,
03/31/2018,907.0,777.0,118.0,12.0,-50.0,31.0,19.0,857.0,0.0,-754.0,284.0,131.0,153.0,37.0,433.0,103,-38.0,44.0,45.0,-1.0,,-6.0,65.0,-24.0,41.0,7.0,7.0,0.0,34.0,,34.0,0.0,0.0,34.0,73.727273,32.727273,100.1,0.34,0.41,0.736536,100.8,0.34,0.41,0.734675,
06/30/2018,1007.0,871.0,120.0,16.0,-67.0,47.0,20.0,940.0,0.0,-875.0,288.0,155.0,133.0,36.0,551.0,65,-39.0,44.0,46.0,-2.0,,-5.0,26.0,-38.0,-12.0,-390.0,-390.0,0.0,378.0,,378.0,0.0,0.0,378.0,113.176471,125.176471,100.0,3.78,-0.12,1.131765,100.3,3.77,-0.12,1.128021,
09/30/2018,1062.0,920.0,126.0,16.0,-76.0,53.0,23.0,986.0,0.0,-789.0,295.0,179.0,116.0,32.0,462.0,197,-15.0,37.0,37.0,0.0,,-22.0,182.0,-51.0,131.0,-17.0,-17.0,0.0,148.0,,148.0,0.0,0.0,148.0,155.49,24.49,99.1,1.49,1.32,1.569021,99.5,1.49,1.31,1.556131,
12/31/2018,956.0,812.0,128.0,16.0,-79.0,53.0,26.0,877.0,0.0,-718.0,254.0,145.0,109.0,33.0,431.0,159,-35.0,39.0,41.0,-2.0,,-4.0,124.0,-18.0,106.0,-6.0,-6.0,0.0,112.0,0.0,112.0,0.0,0.0,112.0,121.866667,15.866667,96.3,1.16,1.1,1.26549,96.7,1.16,1.1,1.264081,
03/31/2019,918.0,780.0,125.0,13.0,-56.0,30.0,26.0,862.0,0.0,-722.0,276.0,147.0,129.0,31.0,415.0,140,-28.0,39.0,41.0,-2.0,,-11.0,112.0,-31.0,81.0,1.0,1.0,0.0,80.0,,80.0,0.0,0.0,80.0,95.782609,14.782609,94.4,0.85,0.86,1.014646,94.7,0.85,0.86,1.014646,
06/30/2019,1039.0,890.0,128.0,21.0,-76.0,50.0,26.0,963.0,0.0,-765.0,293.0,170.0,123.0,28.0,444.0,198,-36.0,38.0,40.0,-2.0,,-2.0,162.0,-44.0,118.0,-6.0,-6.0,0.0,124.0,,124.0,0.0,0.0,124.0,135.217391,17.217391,93.0,1.33,1.27,1.45395,93.3,1.32,1.26,1.444538,
09/30/2019,1105.0,954.0,132.0,19.0,-86.0,60.0,26.0,1019.0,0.0,-805.0,317.0,188.0,129.0,31.0,457.0,214,-33.0,39.0,40.0,-1.0,,-6.0,181.0,-46.0,135.0,0.0,0.0,0.0,135.0,,135.0,0.0,0.0,135.0,142.615385,7.615385,91.7,1.48,1.48,1.555239,92.0,1.47,1.47,1.552776,
12/31/2019,981.0,830.0,130.0,21.0,-72.0,45.0,27.0,909.0,0.0,-650.0,273.0,162.0,111.0,32.0,345.0,259,-33.0,37.0,39.0,-2.0,,-4.0,226.0,-71.0,155.0,-12.0,-12.0,0.0,167.0,,167.0,0.0,0.0,167.0,113.941172,-41.058828,89.5,1.87,1.73,1.273086,89.8,1.87,1.73,1.272775,
03/31/2020,589.0,417.0,127.0,45.0,-25.0,,25.0,564.0,0.0,-705.0,241.0,131.0,110.0,31.0,433.0,-141,-37.0,39.0,41.0,-2.0,,-2.0,-178.0,44.0,-134.0,0.0,0.0,0.0,-134.0,,-134.0,0.0,0.0,-134.0,-131.872727,2.127273,86.9,-1.54,-1.54,-1.517523,86.9,-1.54,-1.54,-1.517523,
06/30/2020,360.0,214.0,119.0,27.0,-25.0,,25.0,335.0,0.0,-449.0,117.0,32.0,85.0,31.0,301.0,-114,-39.0,44.0,46.0,-2.0,,-5.0,-153.0,-11.0,-164.0,0.0,0.0,0.0,-164.0,,-164.0,0.0,0.0,-164.0,-149.692308,14.307692,85.4,-1.92,-1.92,-1.752837,85.4,-1.92,-1.92,-1.752837,
09/30/2020,625.875,,,,,,,,,,,,,,,71,,,,,,,50.0,,36.2,,,,,,36.2,,,36.2,35.8,,,0.468,0.468,0.31,,0.468,0.468,0.31,
12/31/2020,710.333,,,,,,,,,,,,,,,127,,,,,,,91.333,,69.025,,,,,,69.025,,,69.025,69.6,,,0.78,0.78,0.704,,0.78,0.78,0.704,
