Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
10/31/1995,3986.081055,-2582.685059,1403.395996,,-1374.698975,28.697001,-112.053001,0.0,0.0,-83.356001,8.199,-75.156998,0.0,0.0,-75.156998,0,-75.156998,,-75.157001,,-0.205,-0.205,373.233002,-0.205,,,,
01/31/1996,5017.579102,-3237.26001,1780.319092,,-1460.967041,319.351013,-56.104,0.0,-12.55,250.697013,-109.859001,140.837997,-85.324997,-30.096001,25.417999,0,25.417999,,110.742011,0.38,0.38,0.07,373.0,0.38,0.38,0.07,373.0,
09/30/1996,2944.0,-1718.0,1226.0,,-941.0,285.0,,0.0,-7.0,278.0,-106.0,172.0,0.0,-6.0,166.0,0,166.0,,166.0,0.45,0.45,0.45,370.746002,0.45,,,,
12/31/1996,5062.649902,-3103.218994,1959.430908,,-1417.920044,541.51001,,0.0,-89.125999,452.38401,-232.268997,220.115005,0.0,-2.701,217.414001,0,217.414001,0.0,217.414013,0.58,0.58,0.58,370.75,0.58,,,,
03/31/1997,3869.64209,-2385.395996,1484.246094,,-1312.987061,171.259003,,0.0,-82.911003,88.348,-46.213001,42.134998,0.0,-5.437,36.698002,0,36.698002,0.0,36.697999,0.095,0.095,0.095,370.660004,0.095,,,,
06/30/1997,2652.768066,-1487.069946,1165.69812,,-1097.402954,68.295998,,0.0,188.591995,256.887993,-67.333,189.554993,77.805,-2.242,265.118011,0,265.118011,0.0,187.312993,0.513,0.566,0.564,369.682007,0.566,,,,
09/30/1997,3283.322021,-1883.895996,1399.426025,,-1039.534058,359.891998,,0.0,-58.136002,301.755997,-128.731003,173.024994,23.532,-12.458,184.098999,0,184.098999,0.0,160.566994,0.442,0.446,0.512,358.898987,0.442,0.446,0.512,362.670013,
12/31/1997,4238.477051,-2517.167969,1721.309082,,-1395.922974,325.386993,,0.0,-145.085999,180.300995,-160.580002,19.719999,28.172001,-8.452,39.441002,0,39.441002,0.0,11.268993,0.032,0.032,0.113,348.631012,0.032,0.032,0.113,351.053986,
03/31/1998,2846.930908,-1668.692993,1178.237915,0.0,-1111.031982,67.205002,0.0,0.0,1022.375,1089.580002,-403.231995,686.35199,20.018999,-47.187,659.184021,0,659.184021,0.0,639.161007,1.857,1.858,1.916,345.372009,1.857,1.858,1.916,348.873993,
06/30/1998,1086.324951,-377.641998,708.682953,,-861.70697,-153.022995,,0.0,659.997986,506.974991,-142.725998,364.248993,93.528999,0.076,457.854004,0,457.854004,0.0,364.324993,1.287,1.287,1.345,346.600006,1.287,1.287,1.345,351.820007,
09/30/1998,3401.059082,-1940.435059,1460.624023,,-1189.689941,270.93399,,0.0,13.622,284.55599,-131.682999,152.873001,1618.038086,-9.082,1761.828979,0,1761.828979,0.0,143.790992,0.408,0.413,5.071,347.359985,5.034473,0.436839,5.04,349.953003,
12/31/1998,5131.231934,-3072.261963,2058.969971,,-1772.103027,286.868011,,0.0,-689.40802,-402.540009,18.507999,-384.03299,0.0,35.473,-348.559998,0,-348.559998,624.632019,276.073009,0.768,-0.972,-0.972,359.692993,0.768,-0.972,-0.972,361.799011,
03/31/1999,4859.793945,-3009.595947,1850.197998,,-2096.589111,-246.391006,,,-210.112,-456.503006,140.578995,-315.924011,0.0,15.116,-300.808014,0,-300.808014,0.0,-300.808011,-0.756,-0.756,-0.756,399.427002,-0.756,-0.756,-0.756,399.427002,
06/30/1999,5199.035156,-3056.576904,2142.458252,,-2219.818115,-77.360001,,0.0,-15.572,-92.932,22.426001,-70.505997,0.0,-2.247,-72.752998,0,-72.752998,-817.911987,-890.664987,-2.187,-0.13,-0.13,406.291992,-2.187,-0.13,-0.13,406.291992,
09/30/1999,5411.675781,-3193.824951,2217.85083,,-2110.895996,106.955002,-239.164993,0.0,242.136993,109.927002,-163.404999,-53.478001,-124.781998,-5.942,-184.201996,0,-184.201996,0.0,-59.419997,-0.431,-0.143,-0.431,432.84201,-0.431,-0.143,-0.431,432.84201,
12/31/1999,7314.846191,-4093.075928,3221.770264,,-2475.568115,746.202026,-238.432007,0.0,116.272003,624.042023,219.298004,819.791016,0.0,0.0,819.791016,0,819.791016,-86.835999,756.504028,1.691,1.899,1.899,433.532013,1.691,1.869,1.869,438.352997,
03/31/2000,4904.549805,-2919.479004,1985.070801,,-1986.524048,-1.453,-238.324997,0.0,15.985,-223.792997,-165.664993,-389.458008,0.0,4.36,-385.097992,0,-385.097992,0.0,-385.09799,-0.886,-0.886,-0.886,435.220001,-0.886,-0.886,-0.886,435.220001,
06/30/2000,5474.149902,-3058.299072,2415.85083,,-2244.134033,171.716003,-257.571991,0.0,19.243999,-66.611988,-122.863998,-165.792007,0.0,-23.684999,-189.477005,0,-189.477005,-145.069,-358.229986,-0.712,-0.38,-0.429,436.582001,-0.712,-0.38,-0.429,436.582001,
09/30/2000,5243.382324,-2983.942383,2259.439941,,-2004.604858,254.835205,-237.056,0.0,29.632,47.411205,-7.408,40.003201,-577.823975,-8.8896,-546.710388,0,-546.710388,0.0,31.113605,0.091011,0.091011,-1.244544,439.540985,0.091011,0.091011,-1.229728,446.95401,
