Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1992,288.251007,,,-242.619003,,,45.632004,,-33.541,,,12.091,-0.502,,4.818,,,,-4.316,11.589,-3.5,8.089,0.0,,,8.089,-2.198,5.891,0.0,,5.891,5.891,,73.403999,0.08,0.08,,73.403999,0.08,0.08,0.08,
11/30/1992,381.47699,,,-312.394989,,,69.082001,,-41.416,,,27.666,-1.269,,6.614,,,,-5.345,26.397,-9.2,17.197001,0.0,,,17.197,-2.266,14.931,0.0,,14.931,14.931,,73.321998,0.205,0.205,0.205,73.321998,0.205,0.205,0.205,
02/28/1993,222.981995,,,-182.951996,,,40.029999,,-28.084999,,,11.945,-2.359,,4.173,,,,-1.814,9.586,-2.7,6.886,0.0,,,6.886,-2.517,4.369,0.0,,4.369,4.369,,74.230003,0.06,0.06,,74.230003,0.06,0.06,0.06,
05/31/1993,317.053986,,,-256.122009,,,60.931976,,-38.733002,,,22.198999,-2.746,,4.951,,,,-2.205,19.452999,-5.5,13.953,0.0,,,13.952999,-4.85,9.103,0.0,,9.103,9.103,,83.015999,0.11,0.11,,83.015999,0.11,0.11,0.11,
08/31/1993,315.963989,,,-258.696991,,,57.266998,,-35.402,,,21.865,-1.044,,4.153,,0.0,,-3.109,20.821,-7.0,13.821,0.0,,,13.821,-2.365,11.456,0.0,,11.456,11.456,,87.730003,0.13,0.13,,87.730003,0.13,0.13,0.13,
11/30/1993,367.963989,,,-297.971008,,,69.992981,,-45.749001,,,24.243999,0.373,,3.563,,,,-3.936,24.616999,-9.2,15.417,0.0,,,15.416999,-0.424,14.993,-4.94,,10.053,10.053,,87.727996,0.115,0.115,0.115,87.727996,0.115,0.115,0.115,
02/28/1994,254.143005,,,-205.223007,,,48.919998,,-33.837002,,,15.083,-0.811,,4.242,,0.0,,-3.431,14.272,-5.2,9.072,0.0,,,9.072,-0.218,8.854,0.0,,8.854,8.854,,80.746002,0.11,0.11,,80.746002,0.11,0.11,0.11,
05/31/1994,322.781006,,,-261.220001,,,61.561005,,-41.796001,,,19.764999,-1.743,,4.869,,0.0,,-3.126,18.021999,-6.6,11.422,0.0,,,11.421999,-0.175,11.247,0.0,,11.247,11.247,,80.25,0.14,0.14,,80.25,0.14,0.14,0.14,
08/31/1994,345.617004,,,-280.740997,,,64.876007,,-45.154999,,,19.721001,-2.399,,4.202,,0.0,,-1.803,17.322001,-6.3,11.022,0.0,,,11.022,-0.238,10.784,0.0,,10.784,10.784,,79.575996,0.135,0.135,,79.575996,0.135,0.135,0.135,
11/30/1994,413.730011,,,-301.139008,,,112.591003,,-72.834,,,39.757,-14.606,,4.536,,0.0,,10.07,25.151,-9.2,15.951,0.0,,,15.951,-0.286,15.665,-9.88,,5.785,5.785,,79.496002,0.07,0.07,0.07,79.496002,0.07,0.07,0.07,
02/28/1995,228.677994,,,-191.173004,,,37.50499,,-32.737,,,4.768,-4.06,,5.641,,0.0,,-1.581,0.708,-0.25,0.458,0.0,,,0.458,-0.023,0.435,0.0,,0.435,0.435,,79.486,0.005,0.005,,79.486,0.005,0.005,0.005,
05/31/1995,315.493011,,,-258.934998,,,56.558014,,-43.456001,,,13.102,-6.887,,7.369,,0.0,,-0.482,6.215,-2.25,3.965,0.0,,,3.965,-0.124,3.841,0.0,,3.841,3.841,,79.514,0.05,0.05,0.05,79.514,0.05,0.05,0.05,
08/31/1995,372.313995,,,-303.294006,,,69.019989,,-49.750999,,,19.268999,-8.118,,7.528,,0.0,,0.59,11.150999,-4.0,7.151,0.0,,,7.150999,-0.288,6.863,0.0,,6.863,6.863,,79.636002,0.085,0.085,0.085,79.636002,0.085,0.085,0.085,
11/30/1995,484.229004,,,-380.824005,,,103.404999,,-61.477001,,,41.928001,-13.959,,6.963,,0.0,,6.996,27.969001,-9.9,18.069,0.0,,,18.069001,-0.149,17.92,-9.88,,8.04,8.04,,79.419998,0.1,0.1,0.1,79.419998,0.1,0.1,0.1,
02/29/1996,299.481995,,,-247.425003,,,52.056992,,-40.983002,,,11.074,-4.623,,8.102,,0.0,,-3.479,6.451,-2.3,4.151,0.0,,,4.151,-0.065,4.086,0.0,,4.086,4.086,,79.641998,0.05,0.05,0.05,79.641998,0.05,0.05,0.05,
05/31/1996,482.350006,,,-391.802002,,,90.548004,,-62.171001,,,28.377001,-182.163001,,10.624,,0.0,,171.539001,-153.786,55.400002,-98.386002,0.0,,,-98.385999,-0.096,-98.482002,0.0,,-98.482002,-98.482002,,79.678001,-1.235,-1.235,0.135,79.678001,-1.235,-1.235,0.135,
08/31/1996,481.372986,,,-391.901001,,,89.471985,,-60.32,,,29.152,-8.472,,8.991,,0.0,,-0.519,20.68,-7.4,13.28,0.0,,,13.28,-0.013,13.267,0.0,,13.267,13.267,,79.584,0.165,0.165,0.165,79.584,0.165,0.165,0.165,
11/30/1996,522.700012,,,-417.415009,,,105.285003,,-62.469002,,,42.816002,-11.672,,8.974,,0.0,,2.698,31.144002,-11.2,19.944,0.0,,,19.944002,-0.059,19.885,-4.94,,14.945,14.945,,79.370002,0.19,0.19,0.19,79.370002,0.19,0.19,0.19,
02/28/1997,343.243988,,,-282.834015,,,60.409973,,-49.284,,,11.126,-4.129,,8.396,,0.0,,-4.267,6.997001,-2.5,4.497,0.0,,,4.497001,-0.053,4.444,0.0,,4.444,4.444,,77.657997,0.055,0.055,0.055,79.384003,0.055,0.055,0.055,
05/31/1997,410.069,,,-337.914001,,,72.154999,,-52.659,,,19.496,-2.73,,8.048,,0.0,,-5.318,16.766,-6.0,10.766,0.0,,,10.766,-0.061,10.705,0.0,,10.705,10.705,,77.671997,0.14,0.14,0.14,79.458,0.135,0.135,0.135,
08/31/1997,463.604004,,,-382.751007,,,80.852997,,-56.825001,,,24.028,-0.229,,6.664,,0.0,,-6.435,23.799,-8.6,15.199,0.0,,,15.198999,-0.036,15.163,0.0,,15.163,15.163,,77.814003,0.195,0.195,0.195,80.398003,0.19,0.19,0.19,
11/30/1997,659.354004,,,-521.966003,,,137.388001,,-75.778999,,,61.609001,-17.716,,6.721,,0.0,,10.995,43.893001,-15.7,28.193001,0.0,,,28.193001,-0.275,27.917999,0.0,,27.917999,27.917999,,80.877998,0.345,0.345,0.345,80.877998,0.345,0.345,0.345,
02/28/1998,420.971008,,,-348.458008,,,72.513,,-59.464001,,,13.049,-0.092,,7.137,,0.0,,-7.045,12.957,-4.6,8.357,0.0,,,8.357,-0.259,8.098,0.0,,8.098,8.098,,78.148003,0.105,0.105,0.105,81.178001,0.1,0.1,0.1,
05/31/1998,530.356995,,,-432.549988,,,97.807007,,-72.272003,,,25.535,0.85,,7.662,,0.0,,-8.512,26.385,-9.0,17.385,0.0,,,17.385,-0.163,17.222,0.0,,17.222,17.222,,78.648003,0.22,0.22,0.22,82.281998,0.21,0.21,0.21,
08/31/1998,650.908997,,,-530.054016,,,120.85498,,-80.071999,,,40.783001,4.92381,,4.532,,0.0,,-9.455811,45.706811,-15.2,30.507,0.0,,,30.506812,-2.409,28.098,0.0,,28.098,28.098,,79.774002,0.35,0.35,0.35,82.746002,0.34,0.34,0.34,
11/30/1998,847.125,,,-653.713013,,,193.411987,,-102.694,,,90.718002,-22.198,,4.01,,0.0,,18.188,68.520002,-22.5,46.02,0.0,,,46.020002,-4.171,41.848999,0.0,,41.848999,41.848999,,79.711998,0.525,0.525,0.525,82.056,0.51,0.51,0.51,
02/28/1999,686.206,,,-563.701,,,122.505,,-96.308,,,26.197,3.871,4.172,6.082,-1.91,0.0,,-8.043,30.068,-8.7,21.368,0.0,,,21.368,-5.182,16.186,0.0,,16.186,16.186,,89.296,0.18,0.18,0.18,92.244,0.175,0.175,0.175,
05/31/1999,851.816,,,-692.384,,,159.432,,-113.392,,,46.04,5.223,5.072,6.944,-1.872,0.0,,-10.295,51.263,-15.4,35.863,0.0,,,35.863,-7.288,28.575,0.0,,28.575,28.575,,95.814,0.3,0.3,0.3,98.104,0.29,0.29,0.29,
08/31/1999,1045.492,,,-841.04,,,204.452,,-125.86,,,78.592,-11.206,5.31,7.141,-1.831,0.0,,5.896,67.386,-20.6,46.786,0.0,,,46.786,-8.605,38.181,0.0,,38.181,38.181,,95.822,0.4,0.4,0.52,97.782,0.39,0.39,0.51,
11/30/1999,1252.781,,,-971.514,,,281.267,,-137.37,,,143.897,-36.353,5.98,8.173,-2.193,0.0,,30.373,107.544,-34.7,72.844,0.0,,,72.844,-8.317,64.527,0.0,,64.527,64.527,,92.808,0.695,0.695,0.695,94.63,0.68,0.68,0.68,
02/29/2000,791.49,,,-645.507,,,145.983,,-106.803,,,39.18,44.036,4.143,6.064,-1.921,0.0,,-48.179,83.216,-13.2,70.016,0.0,,,70.016,-5.802,64.214,0.0,0.0,64.214,64.214,,85.324,0.755,0.755,0.3,87.532,0.735,0.735,0.28,
05/31/2000,899.311,,,-738.34,,,160.971,,-114.164,,,46.807,2.615,5.292,7.118,-1.826,0.0,,-7.907,49.422,-15.0,34.422,0.0,,,34.422,-6.722,27.7,0.0,0.0,27.7,27.7,,79.634,0.35,0.35,0.35,81.424,0.34,0.34,0.34,
08/31/2000,970.436,,,-779.751,,,190.685,,-119.309,,,71.376,3.48,7.871,9.145,-1.274,0.0,,-11.351,74.856,-21.8,53.056,0.0,,,53.056,-8.417,44.639,0.0,0.0,44.639,44.639,,76.534,0.585,0.585,0.585,78.436,0.57,0.57,0.57,
11/30/2000,1262.75,,,-984.521,,,278.229,,-134.898,,,143.331,-21.525,8.391,9.152,-0.761,0.0,,13.134,121.806,-37.7,84.106,0.0,,,84.106,-10.699,73.407,0.0,,73.407,73.407,,69.954,1.05,1.05,1.05,73.512,1.0,1.0,1.0,
02/28/2001,821.06,,,-657.148,,,163.912,,-110.416,,,53.496,-8.456,8.931,9.835,-0.904,0.0,,-0.475,45.04,-13.3,31.74,0.0,,,31.74,-5.922,25.818,0.0,0.0,25.818,25.818,,69.928,0.37,0.37,0.37,73.784,0.35,0.35,0.35,
05/31/2001,1066.945,,,-855.3,,,211.645,,-137.902,,,73.743,-7.441,8.527,9.464,-0.937,0.0,,-1.086,66.302,-20.4,45.902,0.0,,,45.902,-6.398,39.504,0.0,0.0,39.504,39.504,,71.382,0.555,0.555,0.555,73.606,0.535,0.535,0.535,
08/31/2001,1235.313,,,-982.493,,,252.82,,-143.585,,,109.235,-9.794,10.619,11.424,-0.805,0.0,,-0.825,99.441,-31.1,68.341,0.0,,,68.341,-7.954,60.387,0.0,0.0,60.387,60.387,,74.032,0.815,0.815,0.815,76.398,0.79,0.79,0.79,
11/30/2001,1450.874,,,-1136.431,,,314.443,,-164.822,,,149.621,-7.955,9.436,10.349,-0.913,0.0,,-1.481,141.666,-45.5,96.166,0.0,,,96.166,-7.658,88.508,0.0,0.0,88.508,88.508,,84.376,1.05,1.05,1.05,87.0,1.015,1.015,1.015,
02/28/2002,915.665,,,-722.793,,,192.872,,-121.607,,,71.265,-5.742,6.9,8.599,-1.699,0.0,,-1.158,65.523,-21.0,44.523,0.0,,,44.523,-1.859,42.664,0.0,0.0,42.664,42.664,,85.3,0.5,0.5,0.5,89.886,0.475,0.475,0.475,
05/31/2002,1139.654,,,-890.364,,,249.29,,-147.182,,,102.108,-4.018,5.458,6.342,-0.884,0.0,,-1.44,98.09,-31.6,66.49,0.0,,,66.49,-2.428,64.062,0.0,0.0,64.062,64.062,,85.392,0.75,0.75,0.75,90.35,0.71,0.71,0.71,
08/31/2002,1292.969,,,-998.863,,,294.106,,-158.704,,,135.402,-5.908,6.916,7.744,-0.828,0.0,,-1.008,129.494,-41.3,88.194,0.0,,,88.194,-4.302,83.892,0.0,0.0,83.892,83.892,,81.396,1.03,1.03,1.03,86.14,0.975,0.975,0.975,
11/30/2002,1682.527,,,-1289.692,,,392.835,,-191.1869,,,201.6479,-8.511001,9.283,10.045,-0.762,0.0,,-0.771999,193.136899,-61.0,132.137,0.0,,,132.136899,-8.404999,123.732,0.0,0.0,123.732,123.732,,80.016,1.544999,1.544999,1.544999,84.612,1.459999,1.459999,1.459999,
02/28/2003,1094.949,,,-850.199,,,244.75,,-154.317,,,90.433,-9.52,9.688,10.446,-0.758,0.0,,-0.168,80.913,-26.0,54.913,0.0,,,54.913,-2.075,52.838,0.0,0.0,52.838,52.838,,80.35,0.66,0.66,0.735,84.558,0.625,0.625,0.695,
05/31/2003,1440.104,,,-1110.887,,,329.217,,-195.139,,,134.078,-5.984,6.505,7.22,-0.715,0.0,,-0.521,128.094,-40.1,87.994,0.0,,,87.994,-6.62,81.374,0.0,0.0,81.374,81.374,,79.244,1.025,1.025,1.025,83.958,0.97,0.97,0.97,
08/31/2003,1442.259,,,-1098.683,,,343.576,,-192.498,,,151.078,-1.068,1.832,2.4,-0.568,0.0,,-0.764,150.01,-48.2,101.81,0.0,,,101.81,-3.995,97.815,0.0,0.0,97.815,97.815,,77.79,1.255,1.255,1.255,83.892,1.165,1.165,1.165,
11/30/2003,1873.242,,,-1424.027,,,449.215,,-224.46,,,224.755,-1.751,2.755,3.714,-0.959,,,-1.004,223.004,-68.4,152.936,,,,154.604,-14.199,138.737,,,138.737,138.737,,77.75,1.785,1.785,1.785,83.916,1.655,1.655,1.655,
02/29/2004,1353.41,,,-1044.13,,,309.28,,-187.769,,,121.509,-2.095,3.332,4.521,-1.189,0.0,,-1.237,119.414,-36.5,82.914,0.0,,,82.914,-8.706,74.208,0.0,0.0,74.208,74.208,,78.314,0.95,0.95,0.95,84.712,0.875,0.875,0.875,
05/31/2004,1570.39,,,-1190.3,,,380.09,,-209.89,,,170.192,-3.753,6.18,7.187,-1.007,0.0,,-2.427,166.439,-50.4,116.039,0.0,,,116.039,-13.933,102.106,0.0,0.0,102.106,102.106,,78.968,1.295,1.295,1.295,85.156,1.2,1.2,1.2,
08/31/2004,1748.29,,,-1320.49,,,427.8,,-235.867,,,191.933,2.555,3.045,3.827,-0.782,0.0,,-5.6,194.488,-58.1,136.388,0.0,,,136.388,-18.535,117.853,0.0,0.0,117.853,117.853,,77.832,1.515,1.515,1.515,82.988,1.42,1.42,1.42,
11/30/2004,2380.594,,,-1775.447,,,605.147,,-305.404,,,299.743,6.666,,2.619,-0.94,0.0,,-8.345,306.409,-91.8,214.609,0.0,,,214.609,-27.875,186.734,0.0,0.0,186.734,186.734,,78.14,2.39,2.39,2.39,84.45,2.21,2.21,2.21,
02/28/2005,1636.12,,,-1214.058,,,422.062,,-225.839,,,196.223,4.181,1.436,2.416,-0.98,0.0,,-5.617,200.404,-63.3,137.104,0.0,,,137.104,-14.36,122.744,0.0,0.0,122.744,122.744,,80.194,1.53,1.53,1.53,87.096,1.41,1.41,1.41,
05/31/2005,2130.326,,,-1553.722,,,576.604,0.0,-281.477,273.66,7.817,295.127,-1.048,3.21,4.001,-0.791,,-2.162,0.0,294.079,-93.5,200.579,,,,200.579,-19.066,181.513,0.0,0.0,181.513,181.513,,81.665,2.22,2.22,2.22,88.044,2.06,2.06,2.06,
08/31/2005,2525.064,,,-1828.499,,,696.565,,-322.861,,,373.704,-0.375,3.049,4.31,-1.261,0.0,,-2.674,373.329,-128.5,244.829,0.0,,,244.829,-22.121,222.708,0.0,0.0,222.708,222.708,,82.735,2.69,2.69,2.69,89.243,2.5,2.5,2.5,
11/30/2005,3150.14,,,-2297.714,,,852.426,,-359.14,,,493.286,9.967,,8.145,-1.178,0.0,,-16.934,503.253,-176.6,319.027,0.0,,,326.653,-22.28,304.373,0.0,0.0,304.373,304.373,,82.93,3.67,3.67,3.67,88.414,3.44,3.44,3.44,
02/28/2006,2191.65,,,-1612.057,,,579.593,,-295.669,,,283.924,-4.673,3.573,4.753,-1.18,0.0,,1.1,279.251,-94.2,185.051,0.0,,,185.051,-11.717,173.334,0.0,0.0,173.334,173.334,,81.031,2.14,2.14,2.2,86.248,2.01,2.01,2.07,
05/31/2006,2202.275,,,-1626.467,,,575.808,,-267.554,,,308.254,-19.525,8.148,9.157,-1.009,0.0,,11.377,288.729,-104.3,184.429,-21.016,,,205.445,0.0,205.445,0.0,0.0,205.445,205.445,,79.522,2.59,2.33,2.42,83.978,2.45,2.2,2.29,
08/31/2006,2283.865,,,-1752.5,,,531.365,,-287.015,,,244.35,-37.308,2.209,3.341,-1.132,0.0,,35.099,207.042,-77.7,129.342,-23.872,,,153.214,0.0,153.214,0.0,0.0,153.214,153.214,,77.724,1.97,1.66,2.07,80.618,1.9,1.6,2.0,
11/30/2006,3011.672,,,-2594.395,,,417.277,,-331.494,,,85.783,-256.925,-2.356,0.0,-2.356,0.0,,259.281,-171.142,91.2,-79.942,-30.3,,,-49.642,0.0,-49.642,0.0,0.0,-49.642,-49.642,,77.069,-0.64,-1.04,0.99,77.069,-0.64,-1.04,0.99,
02/28/2007,1767.234,,,-1457.376,,,309.858,0.0,-262.95,262.95,0.0,46.908,10.733,,,-4.97,,-5.763,0.0,57.641,-14.6,43.041,,,,43.041,-15.504,27.537,0.0,0.0,27.537,27.537,,76.988,0.36,0.36,0.41,80.593,0.34,0.34,0.38,
05/31/2007,1413.208,,,-1235.976,,,177.232,,-193.585,,,-16.353,-274.999,-5.6,0.0,-5.6,0.0,,280.599,-291.352,117.2,-174.152,-25.466,,,-148.686,0.0,-148.686,0.0,0.0,-148.686,-148.686,,77.102,-1.93,-2.26,-2.26,77.102,-1.93,-2.26,-2.26,
08/31/2007,1543.9,,,-1364.494,,,179.406,,-197.164,,,-17.758,-767.962,-8.614,0.0,-8.614,0.0,,776.576,-785.72,307.1,-478.62,-443.008,,,-35.612,0.0,-35.612,0.0,0.0,-35.612,-35.612,,77.265,-0.46,-6.19,-6.19,77.265,-0.46,-6.19,-6.19,
11/30/2007,2070.58,,,-1878.586,,,191.994,,-228.65,,,-36.656,-362.297,-9.754,0.0,-9.754,0.0,,372.051,-398.953,-373.7,-772.653,0.0,,,-772.653,0.0,-772.653,0.0,0.0,-772.653,-772.653,,77.33,-9.99,-9.99,-0.11,77.33,-9.99,-9.99,-0.11,
02/29/2008,794.224,,,-913.76,,,-119.536,0.0,-127.638,127.638,0.0,-247.174,-20.698,,,-13.032,,33.73,0.0,-267.872,-0.3,-268.172,0.0,,,-268.172,0.0,-268.172,0.0,0.0,-268.172,-268.172,,77.363,-3.47,-3.47,-3.47,77.363,-3.47,-3.47,-3.47,
05/31/2008,639.065,,,-589.853,,,49.212,0.0,-119.065,119.065,0.0,-69.853,-185.477,,,-9.522,,3.329,191.67,-255.33,-0.6,-255.93,0.0,,,-255.93,0.0,-255.93,,0.0,-255.93,-255.93,124.5855,77.462,-3.3,-3.3,-1.7,77.462,-3.3,-3.3,-1.7,
08/31/2008,681.61,,,-616.317,,,65.293,0.0,-133.211,133.211,0.0,-67.918,-83.827,-6.686,0.0,-6.686,0.0,41.625,48.888,-151.745,7.0,-144.745,0.0,,,-144.745,0.0,-144.745,0.0,0.0,-144.745,-144.745,,77.565,-1.87,-1.87,-0.35,77.565,-1.87,-1.87,-0.35,
11/30/2008,919.037,,,-789.174,,,129.863,0.0,-121.113,121.113,0.0,8.75,-301.734,,,-5.37,,56.526,250.578,-292.984,-14.3,-307.284,,,,-307.284,,-307.284,0.0,0.0,-307.284,-307.284,,77.646,-3.96,-3.96,-0.07,77.646,-3.96,-3.96,-0.07,
02/28/2009,307.361,305.741,1.62,-291.818,290.958,0.86,15.543,0.0,-61.175,61.175,0.0,-45.632,-13.94,-3.513,0.0,-3.513,,8.801,8.652,-59.572,1.5,-58.072,0.0,0.0,0.0,-58.072,0.0,-58.072,0.0,0.0,-58.072,-37.0887,20.9833,77.375,-0.75,-0.75,-0.479337,77.375,-0.75,-0.75,-0.479337,
05/31/2009,384.47,382.925,1.545,-377.604,376.81,0.794,6.866,0.0,-72.594,72.594,0.0,-65.728,-17.855,-1.766,0.0,-1.766,,8.15,11.471,-83.583,5.2,-78.383,0.0,0.0,0.0,-78.383,0.0,-78.383,0.0,0.0,-78.383,-47.079,31.304,76.281,-1.03,-1.03,-0.617179,76.281,-1.03,-1.03,-0.619623,
08/31/2009,458.451,456.348,2.103,-415.49,414.575,0.915,42.961,0.0,-83.878,83.878,0.0,-40.917,-36.131,-1.131,0.0,-1.131,,21.883,15.379,-77.048,11.0,-66.048,0.0,0.0,0.0,-66.048,0.0,-66.048,0.0,0.0,-66.048,-34.4268,31.6212,76.329,-0.87,-0.87,-0.451032,76.329,-0.87,-0.87,-0.455725,
11/30/2009,674.568,671.401,3.167,-668.25,667.568,0.682,6.318,0.0,-85.377,85.377,0.0,-79.059,-11.922,15.156,16.261,-1.105,,-3.234,0.0,-90.981,191.7,100.719,0.0,0.0,0.0,100.719,0.0,100.719,0.0,0.0,100.719,150.9159,50.1969,76.67,1.31,1.31,1.968383,76.876,1.31,1.31,1.962959,
02/28/2010,263.978,262.511,1.467,-227.433,226.54,0.893,36.545,0.0,-72.203,72.203,0.0,-35.658,-18.846,18.983,19.407,-0.424,,-0.137,0.0,-54.504,-0.2,-54.704,0.0,0.0,0.0,-54.704,0.0,-54.704,0.0,0.0,-54.704,-45.1308,9.5732,76.834,-0.71,-0.71,-0.587381,76.834,-0.71,-0.71,-0.587381,
05/31/2010,374.052,372.514,1.538,-307.835,306.843,0.992,66.217,0.0,-82.99,82.99,0.0,-16.773,-13.836,15.917,16.518,-0.601,,-2.081,0.0,-30.609,-0.1,-30.709,0.0,0.0,0.0,-30.709,0.0,-30.709,0.0,0.0,-30.709,-30.4256,0.2834,76.854,-0.4,-0.4,-0.395888,76.854,-0.4,-0.4,-0.396312,
08/31/2010,501.003,498.821,2.182,-412.567,411.813,0.754,88.436,0.0,-78.602,78.602,0.0,9.834,-16.531,15.58,16.183,-0.603,,0.951,0.0,-6.697,5.3,-1.397,0.0,0.0,0.0,-1.397,0.0,-1.397,0.0,0.0,-1.397,0.79805,2.19505,76.909,-0.02,-0.02,0.010377,76.909,-0.02,-0.02,0.008541,
11/30/2010,450.963,447.917,3.046,-363.572,363.092,0.48,87.391,0.0,-55.725,55.725,0.0,31.666,-16.224,15.729,16.199,-0.47,,0.495,0.0,15.442,2.0,17.442,0.0,0.0,0.0,17.442,0.0,17.442,0.0,0.0,17.442,19.2867,1.8447,76.957,0.23,0.23,0.250617,76.983,0.23,0.23,0.250617,
02/28/2011,196.94,195.301,1.639,-171.661,170.796,0.865,25.279,0.0,-72.363,49.605,22.758,-47.084,-67.042,11.056,11.439,-0.383,,55.986,0.0,-114.126,-0.4,-114.526,0.0,0.0,0.0,-114.526,0.0,-114.526,0.0,0.0,-114.526,-71.7547,42.7713,76.974,-1.49,-1.49,-0.932194,76.974,-1.49,-1.49,-0.934341,
05/31/2011,271.738,269.983,1.755,-251.168,250.381,0.787,20.57,0.0,-77.092,62.52,14.572,-56.522,-12.282,12.851,13.121,-0.27,,-0.569,0.0,-68.804,0.3,-68.504,0.0,0.0,0.0,-68.504,0.0,-68.504,0.0,0.0,-68.504,-45.64805,22.85595,76.991,-0.89,-0.89,-0.592901,76.991,-0.89,-0.89,-0.593135,
