Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1993,94.166,,,-49.969002,,44.196999,,-30.872999,,,,,13.324,0.458,,0.0,,0.0,-0.458,13.782,-5.177,8.605,-1.563,,,10.168,0.0,10.168,0.0,,10.168,10.168,,26.827999,0.38,0.32,,26.827999,0.38,0.32,0.32,
02/28/1994,93.719002,,,-48.903999,,44.815002,,-31.226999,,,,,13.588,0.155,,0.0,,0.0,-0.155,13.743,-5.162,8.581,0.0,,,8.581,0.0,8.581,0.0,,8.581,8.581,,26.136999,0.33,0.33,,26.136999,0.33,0.33,0.33,
05/31/1994,101.059998,,,-51.389999,,49.669998,,-33.34,,,,,16.33,0.302,,0.0,,0.0,-0.302,16.632,-6.246,10.386,0.0,,,10.386,0.0,10.386,0.0,,10.386,10.386,,25.652,0.4,0.4,,25.652,0.4,0.4,0.4,
08/31/1994,101.747002,,,-52.502998,,49.244004,,-33.436001,,,,,15.808,0.47,,0.0,,0.0,-0.47,16.278,-6.078,10.2,0.0,,,10.2,0.0,10.2,0.0,,10.2,10.2,,25.32,0.4,0.4,0.4,25.32,0.4,0.4,0.4,
11/30/1994,101.445999,,,-53.084999,,48.361,,-34.730999,,,,,13.63,0.263,,0.0,,0.0,-0.263,13.893,-5.21,8.683,0.0,,,8.683,0.0,8.683,0.0,,8.683,8.683,,24.775999,0.35,0.35,,24.775999,0.35,0.35,0.35,
02/28/1995,100.57,,,-52.124001,,48.445999,,-34.805,,,,,13.641,0.09,,0.369,,0.0,-0.459,13.731,-5.149,8.582,0.0,,,8.582,0.0,8.582,0.0,,8.582,8.582,,24.132,0.36,0.36,,24.132,0.36,0.36,0.36,
05/31/1995,106.899002,,,-55.375999,,51.523003,,-35.765999,,,,,15.757,-0.045,,0.0,,0.0,0.045,15.712,-5.805,9.907,0.0,,,9.907,0.0,9.907,0.0,,9.907,9.907,,23.427,0.42,0.42,,23.427,0.42,0.42,0.42,
08/31/1995,110.109001,,,-56.978001,,53.131,,-37.277,,,,,15.854,-0.252,,1.749,,0.0,-1.497,15.602,-5.759,9.843,0.0,,,9.843,0.0,9.843,0.0,,9.843,9.843,,23.311001,0.42,0.42,0.42,23.311001,0.42,0.42,0.42,
11/30/1995,108.336998,,,-57.310001,,51.026997,,-37.145,,,,,13.882,-0.178,,0.528,,0.0,-0.35,13.704,-5.139,8.565,0.0,,,8.565,0.0,8.565,0.0,,8.565,8.565,,23.322001,0.37,0.37,0.37,23.322001,0.37,0.37,0.37,
02/29/1996,108.834999,,,-56.201,,52.633999,,-37.462002,,,,,15.172,-0.298,,0.671,,0.0,-0.373,14.874,-5.552,9.322,0.0,,,9.322,0.0,9.322,0.0,,9.322,9.322,,23.431999,0.4,0.4,0.4,23.431999,0.4,0.4,0.4,
05/31/1996,117.132004,,,-59.992001,,57.140003,,-39.585999,,,,,17.554001,-0.036,,0.46,,0.0,-0.424,17.518001,-6.554,10.964,0.0,,,10.964001,0.0,10.964,0.0,,10.964,10.964,,23.886999,0.46,0.46,0.46,23.886999,0.46,0.46,0.46,
08/31/1996,115.823997,,,-60.838001,,54.985996,,-38.618999,,,,,16.367001,0.079,,0.471,,0.0,-0.55,16.446001,-6.089,10.357,0.0,,,10.357001,0.0,10.357,0.0,,10.357,10.357,,24.108,0.43,0.43,0.43,24.108,0.43,0.43,0.43,
11/30/1996,122.287003,,,-66.400002,,55.887001,,-42.469002,,,,,13.418,-0.352,,0.653,,0.0,-0.301,13.066,-4.9,8.166,0.0,,,8.166,0.0,8.166,0.0,,8.166,8.166,,23.614,0.35,0.35,0.35,23.614,0.35,0.35,0.35,
02/28/1997,118.830002,,,-63.922001,,54.908001,,-41.941002,,,,,12.967,-0.502,,0.955,,0.0,-0.453,12.465,-4.061,8.404,0.0,,,8.404,0.0,8.404,0.0,,8.404,8.404,,23.379999,0.36,0.36,0.36,23.379999,0.36,0.36,0.36,
05/31/1997,127.629997,,,-30.978001,,96.651997,,-81.918999,,,,,14.733,-0.152,,1.078,,0.0,-0.926,14.581,-4.998,9.583,0.0,,,9.583,0.0,9.583,0.0,,9.583,9.583,,23.365999,0.41,0.41,0.41,23.365999,0.41,0.41,0.41,
08/31/1997,126.698997,,,-106.927002,,19.771995,,-3.76,,,,,16.011999,-13.462,,1.351,,0.0,12.111,2.549999,-0.256,2.294,0.0,,,2.293999,0.0,2.294,0.0,,2.294,2.294,,23.266001,0.1,0.1,0.44,23.266001,0.1,0.1,0.44,
11/30/1997,124.671997,,,-71.167,,53.504997,,-43.282001,,,,,10.223,-0.585,,1.266,,0.0,-0.681,9.638,-3.431,6.207,0.0,,,6.207,0.0,6.207,0.0,,6.207,6.207,,23.268999,0.27,0.27,0.27,23.268999,0.27,0.27,0.27,
02/28/1998,123.204002,,,-68.291,,54.913002,,-43.098,,,,,11.815,-1.037,,1.259,,0.0,-0.222,10.778,-3.837,6.941,0.0,,,6.941,0.0,6.941,0.0,,6.941,6.941,,23.271,0.3,0.3,0.3,23.271,0.3,0.3,0.3,
05/31/1998,131.229996,,,-33.151001,,98.078995,,-84.482002,,,,,13.597,-0.946005,,1.288,,0.0,-0.341995,12.650995,-4.504,8.147,0.0,,,8.146995,0.0,8.147,0.0,,8.147,8.147,,23.271,0.35,0.35,0.35,23.271,0.35,0.35,0.35,
08/31/1998,129.764999,,,-111.668999,,18.096001,,-5.7,,,,,12.396,-37.584,,1.265,,0.0,36.319,-25.188,8.974,-16.214001,0.0,,,-16.214,0.0,-16.214001,0.0,,-16.214001,-16.214001,,23.271,-0.7,-0.7,0.32,23.271,-0.7,-0.7,0.32,
11/30/1998,125.708,,,-71.917999,,53.790001,,-44.175999,,,,,9.614,-0.886,,1.166,0.0,0.0,-0.28,8.728,-3.056,5.672,0.0,,,5.672,0.0,5.672,0.0,,5.672,5.672,,23.128,0.25,0.25,0.25,23.128,0.25,0.25,0.25,
02/28/1999,123.771004,,,-66.556999,,57.214005,,-45.450001,,,,,11.764,-0.66,,1.28,0.0,0.0,-0.62,11.104,-3.885,7.219,0.0,,,7.219,0.0,7.219,0.0,,7.219,7.219,,22.490999,0.32,0.32,0.32,22.490999,0.32,0.32,0.32,
05/31/1999,127.084,,,-68.649002,,58.434998,,-44.460999,,,,,13.974,-0.827,,1.165,0.0,0.0,-0.338,13.147,-4.371,8.776,0.0,,,8.776,0.0,8.776,0.0,,8.776,8.776,,22.42,0.39,0.39,0.39,22.42,0.39,0.39,0.39,
08/31/1999,124.93,,,-70.111,,54.819,,-43.771999,,,,,11.047,-0.542,,1.15,0.0,0.0,-0.608,10.505,-3.559,6.946,0.0,,,6.946,0.0,6.946,0.0,,6.946,6.946,,22.42,0.31,0.31,0.31,22.42,0.31,0.31,0.31,
11/30/1999,123.143997,,,-68.925003,,54.218994,,-44.608002,,,,,9.611,-0.146,,1.056,0.0,0.0,-0.91,9.465,-3.294,6.171,0.0,,,6.171,0.0,6.171,0.0,0.0,6.171,6.171,,22.42,0.28,0.28,0.28,22.42,0.28,0.28,0.28,
02/29/2000,121.924004,,,-67.507004,,54.417,,-44.938999,,,,,9.478,-0.864,,1.253,0.0,0.0,-0.389,8.614,-2.997,5.617,0.0,,,5.617,0.0,5.617,0.0,0.0,5.617,5.617,,22.42,0.25,0.25,0.25,22.42,0.25,0.25,0.25,
05/31/2000,126.280998,,,-72.209999,,54.070999,,-44.624001,,,,,9.447,-1.072,,1.645,0.0,0.0,-0.573,8.375,-2.54,5.835,0.0,,,5.835,0.0,5.835,0.0,,5.835,5.835,,22.42,0.26,0.26,0.26,22.42,0.26,0.26,0.26,
08/31/2000,122.035004,,,-72.293999,,49.741005,,-46.620998,,,,,3.12,-16.153,,1.954,0.0,0.0,14.199,-13.033,4.535,-8.498,0.0,,,-8.498001,0.0,-8.498,0.0,,-8.498,-8.498,,22.42,-0.38,-0.38,0.04,22.42,-0.38,-0.38,0.04,
11/30/2000,113.900002,,,-68.57,,45.330002,,-45.905998,,,,,-0.576,-2.513,,2.257,0.0,0.0,0.256,-3.089,1.081,-2.008,0.0,,,-2.008,0.0,-2.008,0.0,0.0,-2.008,-2.008,,22.42,-0.09,-0.09,-0.02,22.42,-0.09,-0.09,-0.02,
02/28/2001,112.219002,,,-66.360001,,45.859001,,-48.505001,,,,,-2.646,-11.852,,2.685,0.0,0.0,9.167,-14.498,5.074,-9.424,0.0,,,-9.424,0.0,-9.424,0.0,0.0,-9.424,-9.424,,22.434999,-0.42,-0.42,-0.1,22.434999,-0.42,-0.42,-0.1,
05/31/2001,121.677002,,,-71.558998,,50.118004,,-48.926998,,,,,1.191,-2.831,,3.534,0.0,0.0,-0.703,-1.64,0.574,-1.066,0.0,,,-1.066,0.0,-1.066,0.0,0.0,-1.066,-1.066,,22.423,-0.05,-0.05,-0.05,22.632,-0.05,-0.05,-0.05,
08/31/2001,119.364998,,,-77.689003,,41.675995,,-48.549,,,,,-6.873,-22.677999,,3.184,0.0,0.0,19.493999,-29.550999,10.168,-19.382999,0.0,,,-19.382999,0.0,-19.382999,0.0,0.0,-19.382999,-19.382999,,22.423,-0.86,-0.86,-0.1,22.423,-0.86,-0.86,-0.1,
11/21/2001,79.113998,,,-47.844002,,31.269997,,-35.041,,,,,-3.771,-2.252,,2.57,,0.0,-0.318,-6.023,2.687,-3.336,2.009,,,-5.345,0.0,-5.345,0.0,0.0,-5.345,-5.345,,22.423,-0.24,-0.15,-0.14,22.423,-0.24,-0.15,-0.14,
02/13/2002,76.390999,,,-43.192001,,33.198997,,-32.891998,,,,,0.307,-2.104,,2.413,,0.0,-0.309,-1.797,1.123,-0.674,1.488,,,-2.162,0.0,-2.162,0.0,0.0,-2.162,-2.162,,22.423,-0.09,-0.03,-0.03,22.516001,-0.09,-0.03,-0.03,
05/08/2002,78.310997,,,-42.784,,35.526997,,-31.981001,,,,,3.546,-2.279,,2.317,,0.0,-0.038,1.267,-0.26,1.007,1.181,,,-0.174,0.0,-0.174,0.0,0.0,-0.174,-0.174,,22.43,-0.01,0.04,0.04,22.43,-0.01,0.04,0.04,
08/28/2002,100.656998,,,-58.153999,,42.502998,,-41.174999,,,,,1.328,-0.81,,2.216,,0.0,-1.406,0.518,-0.343,0.175,2.147,,,-1.972,0.0,-1.972,0.0,0.0,-1.972,-1.972,,22.433001,-0.09,0.01,0.03,22.433001,-0.09,0.01,0.03,
11/20/2002,72.832001,,,-42.269001,,30.563,,-32.221001,,,,,-1.658,1.645,,1.418,0.0,0.0,-3.063,-0.013,0.0,-0.013,3.088,,,-3.101,0.0,-3.101,0.0,0.0,-3.101,-3.101,,22.438,-0.14,0.0,-0.01,22.438,-0.14,0.0,-0.04,
02/12/2003,71.362,,,-40.445,,30.917,,-31.253,,,,,-0.336,-0.29,,1.538,0.0,0.0,-1.248,-0.626,0.0,-0.626,2.779,,,-3.405,0.0,-3.405,0.0,0.0,-3.405,-3.405,,22.450001,-0.15,-0.03,-0.01,22.450001,-0.15,-0.03,-0.01,
05/07/2003,71.549004,,,-39.661999,,31.887005,,-31.959999,,,,,-0.073,-2.047,,1.626,0.0,0.0,0.421,-2.12,0.0,-2.12,22.870001,,,-24.990001,0.0,-24.99,0.0,0.0,-24.99,-24.99,,22.455999,-1.11,-0.09,-0.01,22.455999,-1.11,-0.09,-0.01,
08/27/2003,92.516998,,,-50.435001,,42.081997,,-38.636002,,,,,3.446,-1.947,,3.028,0.0,0.0,-1.081,1.499,0.0,1.499,3.096,,,-1.597,0.0,-1.597,0.0,0.0,-1.597,-1.597,,22.455999,-0.07,0.07,0.12,22.455999,-0.07,0.07,0.12,
11/19/2003,70.027,,,-19.047001,,50.98,,-51.351002,,,,,-0.371,-2.081,,2.273,0.0,0.0,-0.192,-2.452,0.0,-2.452,2.014,,,-4.466,0.0,-4.466,0.0,0.0,-4.466,-4.466,,22.469999,-0.2,-0.11,-0.11,22.469999,-0.2,-0.11,-0.11,
02/11/2004,71.138,,,-19.194,,51.944,,-52.15,,,,,-0.206,-1.802,2.104,2.104,0.0,0.0,-0.302,-2.008,0.0,-2.008,3.034,,,-5.042,0.0,-5.042,0.0,0.0,-5.042,-5.042,,22.47,-0.22,-0.09,-0.09,22.47,-0.22,-0.09,-0.09,
05/05/2004,74.4,,,-42.717,,31.683,0.0,-27.391,,,,,4.292,-1.851,,2.06,,,-0.209,2.441,,2.441,2.06,,,,,0.381,,0.0,0.381,0.381,,22.47,0.02,0.11,0.11,22.47,0.02,0.11,0.11,
08/25/2004,96.018997,,,-52.998001,,43.020996,,-39.222,,,,,3.799,-0.484,,1.657,0.0,0.0,-1.173,3.315,0.0,3.315,0.627,,,2.688,0.0,2.688,0.0,0.0,2.688,2.688,,22.469999,0.12,0.15,0.19,22.469999,0.12,0.15,0.19,
11/17/2004,69.612,,,-38.198002,,31.413998,,-30.875,,,,,0.539,-1.011,,0.686,0.0,0.0,0.325,-0.472,0.0,-0.472,0.551,,,-1.023,0.0,-1.023,0.0,0.0,-1.023,-1.023,,22.493999,-0.05,-0.02,-0.01,22.493999,-0.05,-0.02,-0.01,
02/09/2005,72.953,,,-38.648,,34.305,,-30.599,,,,,3.706,-1.262,0.976,0.976,0.0,0.0,0.286,2.444,0.0,2.444,-0.183,,,2.627,0.0,2.627,0.0,0.0,2.627,2.627,,22.609,0.12,0.11,0.13,26.533,0.1,0.09,0.11,
05/04/2005,77.028999,,,-39.616001,,37.412998,,-31.082001,,,,,6.331,-0.212,0.773,0.773,0.0,,-0.561,6.119,,6.119,2.415,,,,,3.704,,,3.704,3.704,,22.632,0.16,0.16,0.15,26.671,0.15,0.15,0.14,
08/31/2005,105.423,,,-64.669,,40.754,,-31.423,,,,,9.331,-9.143,,9.201,0.0,0.0,-0.058,0.188,0.0,0.188,2.048,,,-1.86,0.0,-1.86,0.0,0.0,-1.86,-1.86,,23.25,-0.08,0.008,0.2254,23.455,-0.08,0.008,0.22354,
11/23/2005,72.582001,,,-19.707001,,52.875,,-49.873001,,,,,3.002,0.33,0.249,0.274,-0.025,0.0,-0.579,3.332,-0.018,3.314,1.091,,,2.223,0.0,2.223,0.0,0.0,2.223,2.223,,25.955,0.09,0.13,0.125,27.325001,0.08,0.12,0.115,
02/15/2006,75.033997,,,-20.224001,,54.809996,,-51.255001,,,,,3.555,-0.168,0.179,0.179,0.0,0.0,-0.011,3.387,-0.045,3.342,0.045,,,3.297,0.0,3.297,0.0,0.0,3.297,3.297,,26.02,0.13,0.13,0.14,27.535999,0.12,0.12,0.13,
05/10/2006,77.954002,,,-20.634001,,57.320002,,-52.0,,,,,5.32,-0.978,1.059,1.059,,0.0,-0.081,4.342,2.483,6.825,-0.076,,,6.901,0.0,6.901,0.0,0.0,6.901,6.901,,26.047001,0.26,0.26,0.19,27.565001,0.25,0.25,0.185,
08/30/2006,99.07,,,-25.896999,,73.173,,-67.049004,,,,,6.124,-0.633,,0.111,0.0,0.0,0.522,5.491,2.114,7.508,0.465,,,7.14,0.0,7.14,0.0,0.0,7.14,7.14,,26.062,0.27,0.29,0.267,27.169001,0.26,0.28,0.25794,
11/22/2006,73.685997,,,-19.815001,,53.870996,,-50.777,,,,,3.094,0.008,0.022,0.193,-0.171,0.0,-0.03,3.102,-1.095,2.007,0.092,,,1.915,0.0,1.915,0.0,0.0,1.915,1.915,,26.08,0.07,0.08,0.08,27.101999,0.07,0.07,0.07,
02/14/2007,72.198,,,-19.657,,52.541,,-49.113,,,,,3.428,-0.261,-0.043,0.199,-0.242,0.0,0.304,3.167,-1.114,2.053,0.171,,,1.882,0.0,1.882,0.0,0.0,1.882,1.882,,26.101,0.07,0.08,0.09,27.238,0.07,0.08,0.09,
05/09/2007,76.198997,,,-20.603001,,55.595997,,-50.334999,,,,,5.261,0.216,-0.09,0.191,-0.281,0.0,-0.126,5.477,-1.579,3.898,-0.021,,,3.919,0.0,3.919,0.0,0.0,3.919,3.919,,26.132,0.15,0.15,0.15,27.173,0.14,0.14,0.14,
08/29/2007,98.303001,,,-27.499001,,70.804001,,-65.422997,,,,,5.383,0.232,,0.309,-0.417,0.0,-0.124,5.615,-2.486,3.129,0.056,,,3.073,0.0,3.149,0.0,0.0,3.149,3.149,,25.0646,0.13,0.12,0.11,25.0646,0.13,0.12,0.11,
11/21/2007,73.362,,,-21.235,,52.127,,-50.10592,,,,,2.02108,1.293,-0.247,0.051,-0.298,0.0,-1.046,3.31408,1.494,4.80808,0.037,,,4.77108,0.0,4.77108,0.0,0.0,4.77108,4.77108,,26.883,0.18,0.18,0.2,27.597,0.17,0.17,0.19,
02/13/2008,72.64,,,-21.438,,51.202,,-50.962,,,,,0.24,0.199,-0.326,0.049,-0.375,,0.127,0.439,-0.085,0.354,0.068,,,0.286,0.0,0.286,0.0,0.0,0.286,0.286,,28.408,0.01,0.01,0.04,28.518,0.01,0.01,0.04,
05/07/2008,74.596001,,,-21.737,,52.859001,,-52.245998,,,,,0.613,0.367,-0.173,0.058,-0.231,0.0,-0.194,0.98,0.027,1.007,0.058,,,0.949,0.0,0.949,0.0,0.0,0.949,0.949,,27.924999,0.03,0.03,0.03,28.042,0.03,0.03,0.03,
08/27/2008,97.061996,,,-29.531,,67.530996,,-72.019997,,,,,-4.489,-1.333,-0.126,0.064,-0.19,0.0,1.459,-5.822,2.169,-3.653,0.087,,,-3.74,0.0,-3.74,0.0,0.0,-3.74,-3.74,,27.934999,-0.13,-0.13,-0.09,27.934999,-0.13,-0.13,-0.09,
11/19/2008,60.008,60.008,,-18.335,18.335,41.673,0.0,-43.932,6.11,6.11,3.647,34.175,-2.259,0.292,-0.033,0.086,-0.119,,-0.259,-1.967,0.666,-1.301,0.891,0.891,0.0,-2.192,0.0,-2.192,0.0,0.0,-2.192,-0.8538,0.4472,28.068,-0.08,-0.05,-0.030419,28.068,-0.08,-0.05,-0.034067,
02/11/2009,61.503,61.503,,-18.837,18.837,42.666,0.0,-41.176,5.638,5.638,3.629,31.909,1.49,0.086,0.016,0.056,-0.04,,-0.102,1.576,-0.571,1.005,0.859,0.859,0.0,0.146,0.0,0.146,0.0,0.0,0.146,1.48665,0.48165,28.068,0.01,0.04,0.052966,28.075,0.01,0.04,0.052966,
05/06/2009,60.438,60.438,,-18.382,18.382,42.056,0.0,-42.213,5.955,5.955,3.656,32.602,-0.157,-0.445,0.044,0.066,-0.022,,0.401,-0.602,0.244,-0.358,0.695,0.695,0.0,-1.053,0.0,-1.053,0.0,0.0,-1.053,-0.63165,-0.27365,28.061,-0.04,-0.01,-0.02251,28.061,-0.04,-0.01,-0.02251,
08/26/2009,74.957,74.957,,-23.756,23.756,51.201,0.0,-63.684,7.021,7.021,4.976,51.687,-12.483,-0.05,0.162,0.181,-0.019,,-0.112,-12.533,-0.8,-13.333,9.986,9.986,0.0,-23.319,0.0,-23.319,0.0,0.0,-23.319,-9.1496,4.1834,28.099,-0.83,-0.47,-0.32562,28.099,-0.83,-0.47,-0.32562,
11/18/2009,52.32,52.32,,-16.143,16.143,36.177,0.0,-40.24,5.482,5.482,3.554,31.204,-4.063,-0.38,0.119,0.128,-0.009,,0.261,-4.443,1.417,-3.026,0.691,0.691,0.0,-3.717,0.0,-3.717,0.0,0.0,-3.717,-2.514,0.512,28.111,-0.13,-0.11,-0.089431,28.111,-0.13,-0.11,-0.091786,
02/10/2010,53.759,53.759,,-16.837,16.837,36.922,0.0,-36.423,5.003,5.003,3.487,27.933,0.499,0.198,0.037,0.044,-0.007,,-0.235,0.697,-0.556,0.141,0.563,0.563,0.0,-0.422,0.0,-0.422,0.0,0.0,-0.422,-0.5172,-0.6582,28.121,-0.02,0.005014,-0.018392,28.127,-0.02,1.6e-05,-0.023385,
05/05/2010,57.209,57.209,,-17.772,17.772,39.437,0.0,-37.821,5.163,5.163,3.443,29.215,1.616,0.085,0.12,0.127,-0.007,,-0.205,1.701,-0.479,1.222,0.492,0.492,0.0,0.73,0.0,0.73,0.0,0.0,0.73,0.752,-0.47,28.145,0.03,0.04,0.026719,28.151,0.03,0.04,0.023304,
08/25/2010,81.645,80.956,0.689,-25.471,25.471,56.174,0.0,-59.854,9.854,9.854,4.744,45.256,-3.68,1.977,0.324,0.34,-0.016,,-2.301,-1.703,2.84,1.137,0.621,0.621,0.0,0.516,0.0,0.516,0.0,0.0,0.516,2.8734,1.7364,28.145,0.02,0.04,0.102093,28.152,0.02,0.04,0.101679,
11/17/2010,75.276,73.622,1.654,-23.95,23.95,51.326,0.0,-53.947,6.513,6.513,4.181,43.253,-2.621,-0.391,0.616,0.618,-0.002,,-0.225,-3.012,0.905,-2.107,0.181,0.181,0.0,-2.288,0.0,-2.288,0.0,0.0,-2.288,-2.102,0.005,28.164,-0.08,-0.07,-0.074634,28.164,-0.08,-0.07,-0.074634,
02/09/2011,76.536,74.884,1.652,-24.278,24.278,52.258,0.0,-52.57,6.491,6.491,3.967,42.112,-0.312,-0.262,0.552,0.553,-0.001,,-0.29,-0.574,0.31,-0.264,-0.981,-0.981,0.0,0.717,0.0,0.717,0.0,0.0,0.717,-0.23215,0.03185,28.172,0.03,-0.01,-0.00824,28.172,0.03,-0.01,-0.008869,
05/04/2011,83.399,81.637,1.762,-25.361,25.361,58.038,0.0,-54.362,6.981,6.981,3.875,43.506,3.676,-0.223,0.579,0.579,0.0,,-0.356,3.453,-1.393,2.06,0.369,0.369,0.0,1.691,0.0,1.691,0.0,0.0,1.691,2.079,0.019,28.257,0.06,0.07,0.073575,28.304,0.06,0.07,0.070671,
