Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/30/2013,3.0,2282,,2285.0,,8,8.0,,0.096092,73.09417,,73.190263,0.023815,18.115424,,18.13924,
06/29/2013,2.0,1747,,1749.0,,8,8.0,,0.070947,61.972331,,62.043278,0.016447,14.366776,,14.383224,
09/28/2013,3.0,946,,949.0,,4,4.0,,0.110906,34.972274,,35.083179,0.02488,7.845414,,7.870294,
12/31/2013,2.0,39,,41.0,0.0,5,5.0,,0.054215,1.057197,,1.111412,0.016876,0.329086,,0.345962,
03/29/2014,,36,,36.0,,5,5.0,,,0.960769,,0.960769,,0.309944,,0.309944,
06/28/2014,,35,,35.0,,6,6.0,,0.0,0.83953,,0.83953,0.0,0.294911,,0.294911,
09/27/2014,,38,,38.0,,12,12.0,,0.0,1.172116,,1.172116,0.0,0.311603,,0.311603,
12/31/2014,71.0,33,,104.0,0.0,7,7.0,,2.566884,1.193059,,3.759942,0.681186,0.316608,,0.997793,
04/04/2015,17.0,48,,65.0,,0,1.0,,0.811843,2.292264,,3.104107,0.180371,0.509284,,0.689655,
07/04/2015,23.0,43,,66.0,0.0,3,3.0,,1.261657,2.358749,,3.620406,0.251092,0.469432,,0.720524,
10/03/2015,15.0,68,0.0,83.0,0.0,3,3.0,,-5.033557,-22.818792,0.0,-27.852349,0.185506,0.84096,0.0,1.026465,
12/31/2015,6.0,457,,463.0,0.0,3,3.0,,-6.25,-476.041667,,-482.291667,0.071891,5.475677,,5.547568,
04/02/2016,2.0,62,,64.0,0.0,6,6.0,,-1.459854,-45.255474,,-46.715328,0.022102,0.685159,,0.70726,
07/02/2016,0.0,61,,61.0,0.0,16,16.0,,0.0,-8.99705,,-8.99705,0.0,0.720444,,0.720444,
10/01/2016,1.0,55,0.0,56.0,0.0,19,19.0,,-0.154321,-8.487654,0.0,-8.641975,0.011602,0.638125,0.0,0.649727,
12/31/2016,,65,,65.0,,32,32.0,,0.0,-6.827731,,-6.827731,0.0,0.768049,,0.768049,
04/01/2017,,57,,57.0,,3,3.0,,0.0,-5.496625,,-5.496625,0.0,0.700246,,0.700246,
07/01/2017,12.0,67,,79.0,0.0,6,6.0,,-1.229508,-6.864754,,-8.094262,0.144665,0.807715,,0.952381,
09/30/2017,13.0,14,,27.0,0.0,9,9.0,,-1.589242,-1.711491,0.0,-3.300733,0.150847,0.162451,0.0,0.313298,
12/31/2017,13.0,7,,20.0,,5,5.0,,-0.75275,-0.405327,,-1.158078,0.158382,0.085283,,0.243665,
03/31/2018,0.0,6,,6.0,,0,25.0,,0.0,-0.389864,,-0.389864,0.0,0.066291,,0.066291,
06/30/2018,0.0,16,,16.0,0.0,8,8.0,,0.0,-1.072386,,-1.072386,0.0,0.18016,,0.18016,
09/29/2018,2.0,23,,25.0,0.0,1,1.0,,-0.143369,-1.648746,0.0,-1.792115,0.022314,0.256611,0.0,0.278924,
12/31/2018,20.0,5,,25.0,0.0,4,4.0,,-1.567398,-0.39185,,-1.959248,0.212562,0.053141,,0.265703,
03/30/2019,18.0,7,,25.0,,3,3.0,,-1.651376,-0.642202,,-2.293578,0.180126,0.070049,,0.250175,
06/29/2019,42.0,12,,54.0,0.0,3,3.0,,-4.402516,-1.257862,,-5.660377,0.421095,0.120313,,0.541408,
09/28/2019,22.0,17,,39.0,0.0,1,1.0,,-2.02952,-1.568266,0.0,-3.597786,0.212089,0.163887,0.0,0.375976,
12/31/2019,25.0,4,,29.0,0.0,5,5.0,,-3.660322,-0.585652,,-4.245974,0.234918,0.037587,,0.272505,
03/28/2020,21.0,24,,45.0,0.0,6,6.0,,-2.258065,-2.580645,,-4.83871,0.195969,0.223964,,0.419933,
06/27/2020,23.0,9,,32.0,0.0,3,3.0,,-2.822086,-1.104294,,-3.92638,0.221708,0.086755,,0.308463,
