Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1993,277.483002,,,,,,-275.401001,,,,,2.082,-6.867,,9.253,,0.0,-2.386,-4.785,1.196,-3.589,0.0,,,-3.589,0.0,-3.589,-0.88,,-4.469,-4.469,,53.363998,-0.0825,-0.0825,,53.363998,-0.0825,-0.0825,-0.0825,
09/30/1993,323.385986,,,,,,-302.699005,,,,,20.687,-6.683,,9.28,,,-2.597,14.004,-5.976,8.028,,,,8.028001,,8.028,0.0,,8.028,8.028,,53.391998,0.15,0.15,,53.391998,0.15,0.15,0.15,
12/31/1993,277.217987,,,,,,-299.914001,,,,,-22.695999,-8.472,,8.782,,0.0,-0.31,-31.167999,10.844,-20.323999,0.0,,,-20.323999,0.0,-20.323999,0.0,,-20.323999,-20.323999,,53.368,-0.38,-0.38,,53.368,-0.38,-0.38,-0.38,
03/31/1994,280.381989,,,,,,-283.309998,,,,,-2.928,-8.084,,9.774,,0.0,-1.69,-11.012,4.699,-6.313,0.0,,,-6.313,0.0,-6.313,0.0,,-6.313,-6.313,,53.396,-0.1175,-0.1175,,53.396,-0.1175,-0.1175,-0.1175,
06/30/1994,330.475006,,,,,,-305.984009,,,,,24.490999,-6.889,,11.715,,0.0,-4.826,17.601999,-7.921,9.681,0.0,,,9.680999,0.0,9.681,0.0,,9.681,9.681,,53.464001,0.18,0.18,,53.464001,0.18,0.18,0.18,
09/30/1994,386.800995,,,,,,-334.519989,,,,,52.280998,-9.369,,11.902,,0.0,-2.533,42.911998,-18.649,24.263,0.0,,,24.262998,0.0,24.263,0.0,,24.263,24.263,,53.543999,0.4525,0.4525,,53.543999,0.4525,0.4525,0.4525,
12/31/1994,317.962006,,,,,,-316.808014,,,,,1.154,-9.695,,13.216,,0.0,-3.521,-8.541,3.441,-5.1,0.0,,,-5.1,0.0,-5.1,0.0,,-5.1,-5.1,,53.564,-0.095,-0.095,,53.564,-0.095,-0.095,-0.095,
03/31/1995,294.572998,,,,,,-312.873993,,,,,-18.301001,-11.636,,13.329,,0.0,-1.693,-29.937001,13.597,-16.34,0.0,,,-16.340001,0.0,-16.34,0.0,,-16.34,-16.34,,53.6,-0.305,-0.305,-0.305,53.6,-0.305,-0.305,-0.305,
06/30/1995,362.191986,,,,,,-337.722992,,,,,24.469,-11.546,,13.069,,0.0,-1.523,12.923,-5.902,7.021,0.0,,,7.021,0.0,7.021,0.0,,7.021,7.021,,53.784,0.13,0.13,0.13,53.784,0.13,0.13,0.13,
09/30/1995,419.628998,,,,,,-357.006989,,,,,62.622002,-12.364,,13.315,,0.0,-0.951,50.258002,-22.906,27.351999,0.0,,,27.352002,0.0,27.351999,0.0,,27.351999,27.351999,,54.464,0.5025,0.5025,0.5025,54.464,0.5025,0.5025,0.5025,
12/31/1995,341.105988,,,,,,-333.996002,,,,,7.11,-6.354,,11.587,,0.0,-5.233,0.756,-1.489,-0.733,0.0,,,-0.733,0.0,-0.733,0.0,,-0.733,-0.733,,54.4,-0.015,-0.015,,54.4,-0.015,-0.015,-0.015,
03/31/1996,351.399994,,,,,,-355.899994,,,,,-4.5,-9.0,,11.1,,0.0,-2.1,-13.5,6.3,-7.2,0.0,,,-7.2,0.0,-7.2,0.0,,-7.2,-7.2,,54.799999,-0.13,-0.13,-0.13,54.799999,-0.13,-0.13,-0.13,
06/30/1996,416.700012,,,,,,-377.0,,,,,39.700001,-6.8,,9.8,,0.0,-3.0,32.900001,-14.9,18.0,0.0,,,18.000001,0.0,18.0,0.0,,18.0,18.0,,58.0,0.31,0.31,0.31,58.0,0.31,0.31,0.31,
09/30/1996,464.899994,,,,,,-401.899994,,,,,63.0,-6.4,,9.1,,0.0,-2.7,56.6,-23.799999,32.799999,0.0,,,32.8,0.0,32.799999,0.0,,32.799999,32.799999,,58.400002,0.5625,0.5625,0.5625,90.800003,0.3825,0.3825,0.3825,
12/31/1996,359.200012,,,,,,-368.399994,,,,,-9.2,-2.5,,7.4,,0.0,-4.9,-11.7,6.1,-5.6,0.0,,,-5.6,0.0,-5.6,0.0,,-5.6,-5.6,,58.0,-0.095,-0.095,-0.095,58.0,-0.095,-0.095,-0.095,
03/31/1997,380.399994,,,,,,-386.5,,,,,-6.1,-4.0,,7.4,,0.0,-3.4,-10.1,4.4,-5.7,0.0,,,-5.7,0.0,-5.7,0.0,,-5.7,-5.7,,58.0,-0.0975,-0.0975,-0.0975,58.0,-0.0975,-0.0975,-0.0975,
06/30/1997,435.0,,,,,,-394.100006,,,,,40.900002,-4.4,,7.3,,0.0,-2.9,36.500002,-15.7,20.799999,0.0,,,20.800002,0.0,20.799999,0.0,,20.799999,20.799999,,58.304,0.3575,0.3575,0.3575,89.884004,0.2525,0.2525,0.2525,
09/30/1997,501.200012,,,,,,-424.899994,,,,,76.300003,-3.8,,7.3,,0.0,-3.5,72.500003,-30.299999,42.200001,0.0,,,42.200004,0.0,42.200001,0.0,,42.200001,42.200001,,58.683998,0.72,0.72,0.72,90.232002,0.49,0.49,0.49,
12/31/1997,422.799988,,,,,,-394.899994,,,,,27.9,-3.2,,5.3,,0.0,-2.1,24.699999,-9.6,15.1,0.0,,,15.099999,0.0,15.1,0.0,,15.1,15.1,,61.584,0.245,0.245,0.245,82.739998,0.1825,0.1825,0.1825,
03/31/1998,416.4,,,-13.6,402.8,,-380.3,,,,,22.5,-0.5,1.3,5.2,-3.9,,-0.8,22.0,-8.9,13.1,,,,13.1,,13.1,,,13.1,13.1,,76.348,0.1725,0.1725,0.1725,105.536,0.14,0.14,0.14,
06/30/1998,484.899994,,,,,,-422.100006,,,,,62.799999,1.2,,4.2,,0.0,-5.4,64.0,-25.1,38.900002,0.0,,,38.899999,0.0,38.900002,0.0,,38.900002,38.900002,,87.732002,0.4425,0.4425,0.4425,105.816002,0.3775,0.3775,0.3775,
09/30/1998,539.400024,,,,,,-449.899994,,,,,89.5,-12.1,,2.9,,0.0,9.2,77.4,-32.0,45.400002,0.0,,,45.4,0.0,45.400002,0.0,,45.400002,45.400002,,104.835999,0.4325,0.4325,0.5275,105.692001,0.43,0.43,0.525,
12/31/1998,457.0,,,,,,-420.799988,,,,,36.200001,4.8,,2.3,,0.0,-7.1,41.000001,-14.0,27.0,0.0,,,27.000001,0.0,27.0,0.0,,27.0,27.0,,104.856003,0.2575,0.2575,0.2575,105.884003,0.255,0.255,0.255,
03/31/1999,461.2,,,-15.6,445.6,,-416.9,,,,,28.7,4.7,-3.1,1.6,-4.7,,-1.6,33.4,-13.2,20.2,,,,20.2,,20.2,,,20.2,20.2,,105.252,0.1925,0.1925,0.1925,106.016,0.19,0.19,0.19,
06/30/1999,529.7,,,,,,-464.3,,,,,65.4,4.7,1.4,1.4,,0.0,-6.1,70.1,-28.0,42.1,0.0,,,42.1,0.0,42.1,0.0,,42.1,42.1,,105.496,0.4,0.4,0.4,106.084,0.3975,0.3975,0.3975,
09/30/1999,589.1,,,,,,-502.8,,,,,86.3,4.9,0.8,0.8,,0.0,-5.7,91.2,-36.3,54.9,0.0,,,54.9,0.0,54.9,0.0,,54.9,54.9,,105.564,0.52,0.52,0.52,106.108,0.5175,0.5175,0.5175,
12/31/1999,502.0,,,,,,-482.5,,,,,19.5,6.5,,,,0.0,-6.5,26.0,-9.0,17.0,0.0,,,17.0,0.0,17.0,0.0,,17.0,17.0,,105.639999,0.16,0.16,0.14,106.040001,0.16,0.16,0.14,
03/31/2000,489.7,,,-17.7,472.0,,-488.7,,,,,-16.7,1.3,-0.7,4.5,-5.2,,-0.6,-15.4,6.2,-9.2,56.9,,,-66.1,,-66.1,,,-66.1,-66.1,,105.704,-0.625,-0.0875,-0.0875,105.704,-0.625,-0.0875,-0.0875,
06/30/2000,552.8,,,,,,-516.1,,,,,36.7,-21.9,-1.1,4.1,-5.2,0.0,23.0,14.8,-6.0,8.8,0.0,,,8.8,0.0,8.8,0.0,0.0,8.8,8.8,,105.768,0.0825,0.0825,0.2475,105.992,0.0825,0.0825,0.2475,
09/30/2000,602.3,,,,,,-565.2,,,,,37.1,1.5,-0.8,5.2,-6.0,0.0,-0.7,38.6,-22.7,15.9,0.0,,,15.9,0.0,15.9,0.0,0.0,15.9,15.9,,105.776,0.15,0.15,0.15,105.96,0.15,0.15,0.15,
12/31/2000,532.400024,,,,,,-586.700012,,,,,-54.299999,0.6,,6.7,,0.0,-7.3,-53.699999,24.799999,-28.9,0.0,,,-28.9,0.0,-28.9,0.0,0.0,-28.9,-28.9,,105.792,-0.2725,-0.2725,-0.2725,105.792,-0.2725,-0.2725,-0.2725,
03/31/2001,516.0,,,-20.9,495.1,,-543.8,,,,,-48.7,-2.6,0.4,8.5,-8.1,,2.2,-51.3,18.2,-33.1,,,,-33.1,,-33.1,,,-33.1,-33.1,,105.884,-0.3125,-0.3125,-0.3125,105.884,-0.3125,-0.3125,-0.3125,
06/30/2001,579.3,,,,,0.0,-568.6,32.8,,,535.8,10.7,-3.6,2.6,8.3,-5.7,0.0,1.0,7.1,-3.2,3.9,0.0,,,3.9,0.0,3.9,0.0,0.0,3.9,3.9,,105.924,0.0375,0.0375,0.0375,106.104,0.0375,0.0375,0.0375,
09/30/2001,588.0,,,-21.4,566.6,0.0,-553.5,31.8,,,521.7,13.1,25.3,10.2,17.3,-7.1,,-35.5,38.4,-13.1,25.3,,,,25.3,,25.3,,0.0,25.3,25.3,,106.056,0.2375,0.2375,0.2375,106.236,0.2375,0.2375,0.2375,
12/31/2001,466.100006,,,,,,-550.900024,,,,,-84.800003,30.499998,,11.6,-4.9,0.0,-37.199998,-54.300005,16.9,-37.400002,0.0,,,-37.400005,0.0,-37.400002,0.0,0.0,-37.400002,-37.400002,,106.112,-0.3525,-0.3525,-0.6025,106.112,-0.3525,-0.3525,-0.6025,
03/31/2002,500.1,,,,,0.0,-550.3,30.2,,,520.1,-50.2,-2.2,7.3,11.7,-4.4,0.0,-5.1,-52.4,18.7,-33.7,51.4,,,-85.1,,-85.1,0.0,0.0,-85.1,-85.1,,106.128,-0.325,-0.3175,-0.3175,106.128,-0.325,-0.3175,-0.3175,
06/30/2002,575.7,,,,,,-580.6,,,,,-4.9,1.1,5.3,11.0,-5.7,0.0,-6.4,-3.8,0.9,-2.9,0.0,,,-2.9,0.0,-2.9,0.0,0.0,-2.9,-2.9,,106.192,-0.0275,-0.0275,-0.0275,106.192,-0.0275,-0.0275,-0.0275,
09/30/2002,620.6,,,,,,-595.4,,,,,25.2,-5.9,4.6,10.6,-6.0,0.0,1.3,19.3,-6.8,12.5,0.0,,,12.5,0.0,12.5,0.0,0.0,12.5,12.5,,106.196,0.1175,0.1175,0.115,106.248,0.1175,0.1175,0.115,
12/31/2002,527.700012,,,,,,-587.5,,,,,-59.799999,-5.1,,10.3,-5.1,0.0,-0.1,-64.899999,21.799999,-43.099998,0.0,,,-43.1,0.0,-43.099998,0.0,0.0,-43.099998,-43.099998,,106.224,-0.405,-0.405,-0.405,106.224,-0.405,-0.405,-0.405,
03/31/2003,518.7,,,,,0.0,-597.2,27.2,,,570.0,-78.5,-9.4,9.7,10.3,-0.6,0.0,-0.3,-87.9,31.6,-56.3,0.0,,,-56.3,0.0,-56.3,0.0,0.0,-56.3,-56.3,,106.328,-0.53,-0.53,-0.53,106.328,-0.53,-0.53,-0.53,
06/30/2003,610.6,,,,,,-610.0,,,,,0.6,72.2,8.1,13.5,-5.4,0.0,-80.3,72.8,-27.6,45.2,0.0,,,45.2,0.0,45.2,0.0,0.0,45.2,45.2,,106.472,0.425,0.425,0.0075,106.476,0.425,0.425,0.0075,
09/30/2003,702.2,,,,,,-623.3,,,,,78.9,-10.7,7.4,12.9,-5.5,0.0,3.3,68.2,-27.5,40.7,0.0,,,40.7,0.0,40.7,0.0,0.0,40.7,40.7,,106.64,0.3825,0.3825,0.3825,107.184,0.38,0.38,0.38,
12/31/2003,614.8,,,,,,-624.4,,,,,-9.6,-14.5,7.5,8.8,-1.3,0.0,7.0,-24.1,8.0,-16.1,0.0,,,-16.1,0.0,-16.1,0.0,0.0,-16.1,-16.1,92.82,106.592,-0.15,-0.15,0.72,106.92,-0.15,-0.15,0.7175,
03/31/2004,598.4,,,,,,-654.1,,,,,-55.7,-10.5,7.8,12.4,-4.6,0.0,2.7,-66.2,23.5,-42.7,0.0,,,-42.7,0.0,-42.7,0.0,0.0,-42.7,-42.7,2.4,107.112,-0.3975,-0.3975,-0.3825,107.112,-0.3975,-0.3975,-0.3825,
06/30/2004,698.7,,,,,,-681.1,,,,,17.6,-18.3,6.2,12.3,-6.1,0.0,12.1,-0.7,-1.0,-1.7,0.0,,,-1.7,0.0,-1.7,0.0,0.0,-1.7,-1.7,37.2,107.272,-0.015,-0.015,0.0775,107.272,-0.015,-0.015,0.0775,
09/30/2004,773.8,,,,,,-683.9,,,,,89.9,37.7,5.2,13.1,-7.9,0.0,-42.9,127.6,-48.4,79.2,0.0,,,79.2,0.0,79.2,0.0,0.0,79.2,79.2,27.5,107.448,0.6875,0.6875,0.5875,107.728,0.6875,0.6875,0.5875,
12/31/2004,662.599976,,,,,,-690.799988,,,,,-28.200001,-44.699999,,12.4,-5.9,0.0,38.199999,-72.9,28.0,-44.900002,0.0,,,-44.9,0.0,-44.900002,0.0,0.0,-44.900002,-44.900002,,107.9,-0.415,-0.415,-0.1325,107.9,-0.415,-0.415,-0.1325,
03/31/2005,642.5,,,,,,-716.0,,,,,-73.5,90.5,7.4,13.3,-5.9,0.0,-97.9,17.0,-7.1,9.9,90.4,,,-80.5,0.0,-80.5,0.0,0.0,-80.5,-80.5,7.4,108.588,-0.7425,0.09,-0.475,132.632,-0.5975,0.085,-0.39,
06/30/2005,756.5,,,,,,-732.7,,,,,23.8,5.9,6.9,14.0,-7.1,0.0,-12.8,29.7,-12.3,17.4,0.0,,,17.4,0.0,17.4,0.0,0.0,17.4,17.4,11.7,108.8,0.16,0.16,0.0675,133.092,0.14,0.14,0.055,
09/30/2005,845.7,,,,,,-756.9,,,,,88.8,58.0,4.7,13.3,-8.6,0.0,-62.7,146.8,-56.6,90.2,0.0,,,90.2,0.0,90.2,0.0,0.0,90.2,90.2,-1.4,110.008,0.82,0.82,-0.17,135.428,0.6775,0.6775,-0.1375,
12/31/2005,730.6,,,,,,-756.7,,,,,-26.1,-30.2,4.2,13.5,-9.3,0.0,26.0,-56.3,23.3,-33.0,0.0,,,-33.0,0.0,-33.0,0.0,0.0,-33.0,-33.0,,114.52,-0.2875,-0.2875,0.005,114.52,-0.2875,-0.2875,0.005,
03/31/2006,735.4,,,,,,-729.5,,,,,5.9,-135.3,3.3,14.4,-11.1,0.0,132.0,-129.4,50.3,-79.1,0.0,,,-79.1,0.0,-79.1,0.0,0.0,-79.1,-79.1,131.1,133.856,-0.59,-0.59,0.02,133.856,-0.59,-0.59,0.02,
06/30/2006,873.0,,,,,,-789.1,,,,,83.9,-2.8,-1.8,12.3,-14.1,0.0,4.6,81.1,-25.6,55.5,0.0,,,55.5,0.0,55.5,0.0,0.0,55.5,55.5,3.8,152.112,0.365,0.365,0.395,160.304,0.345,0.345,0.375,
09/30/2006,935.7,,,,,,-931.1,,,,,4.6,-27.5,-0.9,13.3,-14.2,,28.4,-22.9,5.5,-17.4,0.0,,,-17.4,0.0,-17.4,0.0,0.0,-17.4,-17.4,,159.816,-0.11,-0.11,0.4825,159.816,-0.11,-0.11,0.4825,
12/31/2006,790.3,,,,,0.0,-816.1,36.7,,,779.4,-25.8,9.2,-1.6,13.3,-14.9,,-7.6,-16.6,5.0,-11.6,,,,-11.6,0.0,-11.6,0.0,0.0,-11.6,-11.6,,160.856,-0.0725,-0.0725,-0.0725,160.856,-0.0725,-0.0725,-0.0725,
03/31/2007,759.4,,,,,,-777.5,,,,,-18.1,0.3,-0.5,13.9,-14.4,0.0,0.2,-17.8,7.5,-10.3,0.0,,,-10.3,0.0,-10.3,0.0,0.0,-10.3,-10.3,,161.46,-0.065,-0.065,-0.0225,161.46,-0.065,-0.065,-0.0225,
06/30/2007,904.4,,,,,,-823.0,,,,,81.4,-6.4,2.0,15.8,-13.8,0.0,4.4,75.0,-28.9,46.1,0.0,,,46.1,0.0,46.1,0.0,0.0,46.1,46.1,,161.8,0.285,0.285,0.305,163.128,0.2825,0.2825,0.3025,
09/30/2007,988.8,,,,,,-847.9,,,,,140.9,-6.1,1.9,15.7,-13.8,0.0,4.2,134.8,-53.0,81.8,0.0,,,81.8,0.0,81.8,0.0,0.0,81.8,81.8,,161.932,0.505,0.505,0.53,163.1,0.5025,0.5025,0.5275,
12/31/2007,853.4,,,,,,-834.5,37.7,,,796.8,18.9,-9.3,2.9,14.8,-11.9,,6.4,9.6,-2.2,7.4,,,,7.4,,7.4,0.0,0.0,7.4,7.4,,156.84,0.0475,0.0475,0.07,157.572,0.0475,0.0475,0.07,
03/31/2008,839.5,,,,,0.0,-885.7,34.5,,,851.2,-46.2,-12.2,6.6,16.9,-10.3,,5.6,-58.4,21.1,-37.3,0.0,,,-37.3,0.0,-37.3,0.0,0.0,-37.3,-37.3,3.77,148.096,-0.2525,-0.2525,-0.227044,148.096,-0.2525,-0.2525,-0.227044,
06/30/2008,930.8,,,,,,-789.0,,,,,141.8,-43.6,8.4,18.9,-10.5,0.0,35.2,98.2,-35.1,63.1,0.0,,,63.1,0.0,63.1,0.0,0.0,63.1,63.1,,144.236,0.4375,0.4375,-0.0975,145.02,0.435,0.435,-0.0975,
09/30/2008,1065.2,,,,,0.0,-1158.6,41.7,,,1116.9,-93.4,-43.1,12.8,23.5,-10.7,,30.3,-136.5,46.5,-90.0,,,,-90.0,,-90.0,,0.0,-90.0,-90.0,17.29,144.276,-0.6,-0.6,-0.48016,144.276,-0.6,-0.6,-0.48016,
12/31/2008,827.1,,,,,,-917.4,26.8,,,890.6,-90.3,-29.7,12.4,23.3,-10.9,,17.3,-120.0,44.8,-75.2,,,,-75.2,,-75.2,0.0,0.0,-75.2,-75.2,,144.9,-0.52,-0.52,0.1125,144.9,-0.52,-0.52,0.1125,
03/31/2009,742.4,703.5,38.9,,,0.0,-754.3,25.0,,52.8,676.5,-11.9,-17.7,15.7,24.0,-8.3,,2.0,-29.6,10.4,-19.2,0.0,0.0,0.0,-19.2,0.0,-19.2,0.0,0.0,-19.2,-22.28,-3.08,145.304,-0.1325,-0.1325,-0.153334,145.304,-0.1325,-0.1325,-0.153697,
06/30/2009,843.9,782.4,61.5,,,0.0,-777.2,35.3,,53.9,688.0,66.7,-19.0,17.3,25.1,-7.8,,1.7,47.7,-18.6,29.1,0.0,0.0,0.0,29.1,0.0,29.1,0.0,0.0,29.1,30.85,1.75,145.416,0.2,0.2,0.21215,146.364,0.1975,0.1975,0.209456,
09/30/2009,967.4,912.5,54.9,,,0.0,-807.6,37.0,,55.6,715.0,159.8,-17.0,17.6,25.9,-8.3,,-0.6,142.8,-55.2,87.6,0.0,0.0,0.0,87.6,0.0,87.6,0.0,0.0,87.6,82.22,-5.38,141.1,0.62,0.62,0.582707,142.724,0.615,0.615,0.577305,
12/31/2009,846.1,789.6,56.5,,,0.0,-793.3,34.5,0.0,56.9,701.9,52.8,-10.8,14.5,22.7,-8.2,,-3.7,42.0,-17.9,24.1,0.0,0.0,0.0,24.1,0.0,24.1,0.0,0.0,24.1,1.345,-22.755,141.292,0.17,0.17,0.009519,143.376,0.1675,0.1675,0.008792,
03/31/2010,829.6,775.4,54.2,,,0.0,-803.9,33.6,,56.2,714.1,25.7,-15.5,18.1,25.6,-7.5,,-2.6,10.2,-4.9,5.3,0.0,0.0,0.0,5.3,0.0,5.3,0.0,0.0,5.3,13.1,7.8,142.668,0.0375,0.0375,0.091822,145.572,0.0375,0.0375,0.091082,
06/30/2010,976.2,913.9,62.3,,,0.0,-866.5,38.2,,58.0,770.3,109.7,-15.7,18.6,26.3,-7.7,,-2.9,94.0,-35.4,58.6,0.0,0.0,0.0,58.6,0.0,58.6,0.0,0.0,58.6,84.0,25.4,142.792,0.41,0.41,0.588268,146.788,0.4,0.4,0.573039,
09/30/2010,1068.0,1006.7,61.3,,,0.0,-851.1,49.8,,57.8,743.5,216.9,-18.7,21.9,29.5,-7.6,,-3.2,198.2,-75.8,122.4,0.0,0.0,0.0,122.4,0.0,122.4,0.0,0.0,122.4,118.1,-4.3,143.592,0.8525,0.8525,0.822469,147.32,0.83,0.83,0.800812,
12/31/2010,958.5,895.2,63.3,,,0.0,-839.2,37.7,,58.5,743.0,119.3,-15.8,20.2,26.9,-6.7,,-4.4,103.5,-38.7,64.8,0.0,0.0,0.0,64.8,0.0,64.8,0.0,0.0,64.8,42.135,-22.665,144.076,0.45,0.45,0.29245,147.804,0.4375,0.4375,0.284155,
03/31/2011,965.2,903.8,61.4,,,0.0,-831.4,39.8,,60.3,731.3,133.8,-13.1,15.8,23.4,-7.6,,-2.7,120.7,-46.5,74.2,0.0,0.0,0.0,74.2,0.0,74.2,0.0,0.0,74.2,30.41,-43.79,143.976,0.515,0.515,0.211216,147.364,0.5025,0.5025,0.205345,
06/30/2011,1110.2,982.3,127.9,,,0.0,-1052.4,45.8,,61.7,944.9,57.8,-10.8,12.1,18.4,-6.3,,-1.3,47.0,-18.2,28.8,0.0,0.0,0.0,28.8,0.0,28.8,0.0,0.0,28.8,88.95,60.15,143.93,0.2,0.2,0.618009,146.946,0.195,0.195,0.604334,
09/30/2011,1198.1,1130.7,67.4,,,0.0,-1054.9,54.6,,62.2,938.1,143.2,-17.9,21.2,25.7,-4.5,,-3.3,125.3,-47.8,77.5,0.0,0.0,0.0,77.5,0.0,77.5,0.0,0.0,77.5,130.485,52.985,143.908,0.5375,0.5375,0.906725,146.476,0.53,0.53,0.891732,
12/31/2011,1044.3,981.6,62.7,,,0.0,-930.2,42.3,,62.7,825.2,114.1,-13.4,14.7,18.2,-3.5,,-1.3,100.7,-36.7,64.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,0.0,64.0,39.28,-24.72,71.122,0.9,0.9,0.552291,72.636,0.88,0.88,0.539673,
03/31/2012,1039.0,920.0,119.0,,,0.0,-967.0,41.0,,64.0,862.0,72.0,-6.0,7.0,12.0,-5.0,,-1.0,66.0,-25.0,41.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,41.0,27.35,-13.65,142.384,0.285,0.285,0.192086,145.318,0.28,0.28,0.186068,
