Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1993,11275,116,116,0.0,1359,,626,,,,,250,,,,2351,8314,18625.0,-10311.0,,,610,,,,,,610,8924,,1124,1124,,,25,,,,,,1283,,,1283,2432,3477,,,,,2262,,,,2262,5739,8171,0.0,1320,,,-892,,2311,2739,365.0,3104,11275,
12/31/1993,10868,119,119,0.0,1248,,538,,,,,288,,,,2193,7961,18038.0,-10077.0,140.0,,574,,,,,,574,8675,,1199,1199,,,18,,,,,,1054,,,1054,2271,3208,,,,,2339,,,,2339,5547,7818,0.0,1323,,,-885,,2250,2688,362.0,3050,10868,
03/31/1994,10943,116,116,0.0,1358,,503,,,,,279,,,,2256,7888,18020.0,-10132.0,,,799,,,,,,799,8687,,1151,1151,,,18,,,,,,1092,,,1092,2261,3238,,,,,2347,,,,2347,5585,7846,0.0,1324,,,-887,,2313,2750,347.0,3097,10943,
06/30/1994,11107,128,128,0.0,1421,,532,,,,,261,,,,2342,7997,18267.0,-10270.0,,,768,,,,,,768,8765,,1199,1199,,,26,,,,,,1018,,,1018,2243,3387,,,,,2339,,,,2339,5726,7969,0.0,1332,,,-871,,2326,2787,351.0,3138,11107,
09/30/1994,11042,144,144,0.0,1362,,541,,,,,251,,,,2298,7852,18239.0,-10387.0,,,892,,,,,,892,8744,,1152,1152,,,26,,,,,,1103,,,1103,2281,3213,,,,,2344,,,,2344,5557,7838,0.0,1337,,,-868,,2385,2854,350.0,3204,11042,
12/31/1994,11436,193,193,0.0,1462,,527,,,,,283,,,,2465,8042,18293.0,-10251.0,135.0,,794,,,,,,794,8971,,1371,1371,,,18,,,,,,1052,,,1052,2441,3106,,,,,2585,,,,2585,5691,8132,0.0,1342,,,-859,,2470,2953,351.0,3304,11436,
03/31/1995,11562,198,198,0.0,1415,,537,,,,,289,,,,2439,8177,18664.0,-10487.0,,,946,,,,,,946,9123,,1253,1253,,,18,,,,,,1250,,,1250,2521,3076,,,,,2585,,,,2585,5661,8182,0.0,1345,,,-851,,2535,3029,351.0,3380,11562,
06/30/1995,11735,122,122,0.0,1567,,560,,,,,305,,,,2554,8176,18887.0,-10711.0,,,1005,,,,,,1005,9181,,1375,1375,,,28,,,,,,1274,,,1274,2677,2977,,,,,2639,,,,2639,5616,8293,0.0,1356,,,-830,,2566,3092,350.0,3442,11735,
09/30/1995,11739,143,143,0.0,1418,,585,,,,,276,,,,2422,8281,18947.0,-10666.0,,,1036,,,,,,1036,9317,,1319,1319,,,28,,,,,,1431,,,1431,2778,2876,,,,,2581,,,,2581,5457,8235,0.0,1357,,,-828,,2625,3154,350.0,3504,11739,
12/31/1995,11978,67,67,0.0,1522,,505,,,,,315,,,,2409,8493,19088.0,-10595.0,180.0,,896,,,,,,896,9569,,1494,1494,,,19,,,,,,1302,,,1302,2815,3097,,,,,2527,,,,2527,5624,8439,0.0,2349,,,-827,,1666,3188,351.0,3539,11978,
03/31/1996,12236,164,164,0.0,1623,,472,,,,,193,,,,2452,8539,19273.0,-10734.0,,,1245,,,,,,1245,9784,,1463,1463,,,19,,,,,,990,,,990,2472,2910,,,,,2680,,,,2680,5590,8062,0.0,2365,,,-791,,2249,3823,351.0,4174,12236,
06/30/1996,12766,223,223,0.0,1817,,523,,,,,192,,,,2755,8726,19570.0,-10844.0,,,1285,,,,,,1285,10011,,1521,1521,,,29,,,,,,802,,,802,2352,2954,,,,,2828,,,,2828,5782,8134,300.0,2372,,,-770,,2380,4282,350.0,4632,12766,
09/30/1996,12929,346,346,0.0,1701,,504,,,,,213,,,,2764,8849,19847.0,-10998.0,,,1316,,,,,,1316,10165,,1481,1481,,,30,,,,,,988,,,988,2499,2855,,,,,2823,,,,2823,5678,8177,300.0,2376,,,-761,,2487,4402,350.0,4752,12929,
12/31/1996,13548,615,615,0.0,1988,,472,,,,,231,,,,3306,9120,20103.0,-10983.0,219.0,,903,,,,,,903,10242,,1793,1793,,,574,,,,,,770,,,770,3137,2555,,,,,2955,,,,2955,5510,8647,650.0,2382,,,-757,,2626,4901,0.0,4901,13548,
03/31/1997,13657,861,861,0.0,1733,,452,,,,,244,,,,3290,9232,20278.0,-11046.0,,,1135,,,,,,1135,10367,,1547,1547,,,341,,,,,,844,,,844,2732,2555,,,,,2980,,,,2980,5535,8267,650.0,2392,,,-740,,2738,5040,350.0,5390,13657,
06/30/1997,13823,774,774,0.0,1762,,521,,,,,333,,,,3390,9279,20316.0,-11037.0,,,1154,,,,,,1154,10433,,1500,1500,,,362,,,,,,729,,,729,2591,2507,,,,,3139,,,,3139,5646,8237,1000.0,2394,,,-756,,2948,5586,0.0,5586,13823,
09/30/1997,14216,899,899,0.0,1780,,565,,,,,242,,,,3486,9548,20839.0,-11291.0,,,1182,,,,,,1182,10730,,1590,1590,,,352,,,,,,881,,,881,2823,2507,,,,,3165,,,,3165,5672,8495,650.0,2411,,,-733,,3043,5371,350.0,5721,14216,
12/31/1997,13860,163,163,0.0,1717,,500,,,,,268,,,,2648,10022,21426.0,-11404.0,242.0,,948,,,,,,948,11212,,1546,1546,,,234,,,,,,665,,,665,2445,2775,,,,,3175,,,,3175,5950,8395,650.0,2414,,,-752,,3152,5464,1.0,5465,13860,
03/31/1998,13964,194,194,0.0,1562,,527,,,,,292,,,,2575,10173,21742.0,-11569.0,,,1216,,,,,,1216,11389,,1436,1436,,,99,,,,,,729,,,729,2264,2929,,,,,3233,,,,3233,6162,8426,650.0,2429,,,-839,,3298,5538,0.0,5538,13964,
06/30/1998,13953,130,130,0.0,1427,,611,,,,,260,,,,2428,10309,22074.0,-11765.0,,,1216,,,,,,1216,11525,,1475,1475,,,106,,,,,,612,,,612,2193,3024,,,,,3245,,,,3245,6269,8462,650.0,2432,,,-948,,3357,5491,0.0,5491,13953,
09/30/1998,14462,127,127,0.0,1374,,599,99.0,,500.0,,265,,,,2365,10855,22857.0,-12002.0,,,1242,,,,,,1242,12097,,1553,1553,,,124,,,,,,749,,,749,2426,3495,,,,,3252,,,,3252,6747,9173,650.0,2434,,,-1139,,3344,5289,0.0,5289,14462,
12/31/1998,14216,97,97,0.0,1282,,540,99.0,0.0,441.0,,430,,,,2349,10585,22868.0,-12283.0,264.0,,1018,0.0,,,,,1018,11867,,1340,1340,,,167,,,,,,625,,,625,2132,4106,,,,,3109,,,,3109,7215,9347,650.0,2438,,,-1259,,3040,4869,0.0,4869,14216,
03/31/1999,14460,209,209,0.0,1355,,539,91.0,0.0,448.0,,453,,,,2556,10610,22872.0,-12262.0,,,1294,0.0,,,,,1294,11904,,1349,1349,,,117,,,,,,589,,,589,2055,4490,,,,,3060,,,,3060,7550,9605,650.0,2445,,,-1248,,3008,4855,0.0,4855,14460,
06/30/1999,14765,147,147,0.0,1507,,546,87.0,0.0,459.0,,295,,,,2495,10964,23193.0,-12229.0,,,1306,0.0,,,,,1306,12270,,1379,1379,,,76,,,,,,692,,,692,2147,4628,,,,,3117,,,,3117,7745,9892,650.0,2468,,,-1221,,2976,4873,0.0,4873,14765,
09/30/1999,15191,180,180,0.0,1748,,575,90.0,0.0,485.0,0.0,276,,,,2779,11101,22765.0,-11664.0,,,1311,0.0,,,,,1311,12412,,1697,1697,,,46,,,,,,847,,,847,2590,4443,,,,,3123,,,,3123,7566,10156,650.0,2472,,,-1214,,3127,5035,0.0,5035,15191,
12/31/1999,15201,138,138,0.0,1808,,515,85.0,0.0,430.0,0.0,312,,,,2773,11086,22728.0,-11642.0,333.0,,1009,0.0,,,,,1009,12428,,1668,1668,,,31,,,,,,821,,,821,2520,4271,,,,,3211,,,,3211,7482,10002,650.0,2481,,,-1217,,3285,5199,0.0,5199,15201,
03/31/2000,15062,131,131,0.0,1637,,570,86.0,0.0,484.0,0.0,300,,,,2638,9995,20413.0,-10418.0,,,2429,0.0,,,,,2429,12424,,1681,1681,,,80,,,,,,840,,,840,2601,3889,,,,,3217,,,,3217,7106,9707,650.0,2488,,,-1207,,3424,5355,0.0,5355,15062,
06/30/2000,20264,235,235,0.0,1847,,752,147.0,0.0,605.0,0.0,357,,,,3191,15648,26144.0,-10496.0,,,1425,0.0,,,,,1425,17073,,1847,1847,,,808,,,,,,1137,,,1137,3792,7319,,,,,3422,,,,3422,10741,14533,650.0,2505,,,-1190,,3766,5731,0.0,5731,20264,
09/30/2000,20580,88,88,0.0,1567,,439,127.0,0.0,312.0,0.0,360,,,,2454,15040,24426.0,-9386.0,,,3086,0.0,,,,,3086,18126,,1754,1754,,,410,,,,,,1353,,,1353,3517,7509,,,,,3468,,,,3468,10977,14494,650.0,2530,,,-1158,,4064,6086,0.0,6086,20580,
12/31/2000,20509,149,149,0.0,1779,,357,129.0,0.0,228.0,0.0,321,,,,2606,14784,24383.0,-9599.0,387.0,,2732,0.0,,,,,2732,17903,,1914,1914,,,262,,,,,,1316,,,1316,3492,6622,,,,,3652,,,,3652,10274,13766,650.0,2536,,,-1156,,4713,6743,0.0,6743,20509,
03/31/2001,20660,143,143,0.0,1316,,530,132.0,0.0,398.0,0.0,326,,,,2315,15102,24882.0,-9780.0,,,3243,0.0,0.0,0.0,,,3243,18345,,1783,1783,,,262,,,,,,1460,,,1460,3505,6143,,,,,3866,,,,3866,10009,13514,650.0,2553,,,-1142,6407.0,-1322,7146,0.0,7146,20660,
06/30/2001,20754,87,87,0.0,1060,,533,139.0,0.0,394.0,0.0,522,,,,2202,15124,25056.0,-9932.0,,,3428,0.0,0.0,0.0,,,3428,18552,,1514,1514,,,4,,,,,,1262,,,1262,2780,6268,,,,,4004,,,,4004,10272,13052,650.0,2569,,,-1132,6928.0,-1313,7702,0.0,7702,20754,
09/30/2001,35350,199,199,0.0,1443,,2617,214.0,0.0,2403.0,0.0,529,,,,4788,23443,33611.0,-10168.0,,,7119,3679.0,2366.0,1313.0,,,3440,30562,,3319,3319,,,43,,,,,,2343,,,2343,5705,7838,,,,,6735,,,,6735,14573,20278,650.0,9604,,,-1106,7210.0,-1286,15072,0.0,15072,35350,
12/31/2001,35217,142,142,0.0,1189,,2618,2241.0,,,377.0,414,,,,4363,23796,35429.0,-11633.0,3317.0,,3741,3594.0,2281.0,1313.0,,,147,30854,,2669,2669,,,44,43.0,1.0,1.0,,,1829,,,1829,4542,9295,9198.0,97.0,97.0,,7040,,,,7040,16335,20877,,9607,,,-1038,7197.0,-1426,14340,,14340,35217,
03/31/2002,35671,170,170,0.0,1607,,2519,228.0,0.0,2291.0,0.0,333,,,,4629,23868,35297.0,-11429.0,0.0,,7174,3660.0,2343.0,1317.0,,,3514,31042,,2906,2906,,,481,,,,,,1871,,,1871,5258,8421,,,,,7231,,,,7231,15652,20910,650.0,9647,,,-1018,6931.0,-1449,14761,0.0,14761,35671,
06/30/2002,36823,145,145,0.0,1826,,2580,243.0,0.0,2337.0,0.0,508,,,,5059,24399,35575.0,-11176.0,3530.0,,7365,3630.0,2360.0,1270.0,,,3735,35294,,3125,3125,,,1059,,,,,,1721,,,1721,5905,8576,,,,,7536,,,,7536,16112,22017,350.0,9694,,,-1006,7138.0,-1370,14806,0.0,14806,36823,
09/30/2002,77484,517,517,0.0,4135,,4363,431.0,0.0,3932.0,0.0,1652,,,,10667,43378,54188.0,-10810.0,6647.0,,16792,16271.0,14464.0,1807.0,,,521,66817,,5441,5441,,,2603,,,,,,5912,,,5912,13956,18200,,,,,14686,,,,14686,32886,46842,0.0,25235,,,0,6319.0,-1563,29991,651.0,30642,77484,
12/31/2002,76836,307,307,0.0,4380,,3845,450.0,0.0,3395.0,0.0,2371,,,,10903,43030,54559.0,-11529.0,921.0,,21982,15563.0,14444.0,1119.0,,,6419,65933,,6252,6252,,,849,,,,,,5715,,,5715,12816,18917,,,,,14585,,,,14585,33502,46318,350.0,25185,,,0,5621.0,-1289,29867,651.0,30518,76836,
03/31/2003,80118,423,423,0.0,5981,,3988,463.0,0.0,3525.0,0.0,2293,,,,12685,44282,56667.0,-12385.0,6914.0,,16237,15733.0,14606.0,1127.0,,,504,67433,,7305,7305,,,844,,,,,,6916,,,6916,15065,17396,,,,,15734,,,,15734,33130,48195,350.0,25212,,,0,6824.0,-1111,31275,648.0,31923,80118,
06/30/2003,80729,524,524,,3215,,4163,485.0,0.0,3678.0,0.0,3679,,,,11581,45264,,,7067.0,,16817,16319.0,15206.0,1113.0,,,498,69148,,6045,6045,,,1544,,,,,,7019,,,7019,14608,16375,,,,,16991,,,,16991,33366,47974,,25249,,,0,7670.0,-887,32032,723.0,32755,80729,
09/30/2003,81952,483,483,0.0,4673,,4074,470.0,0.0,3604.0,0.0,2533,,,,11763,46280,60404.0,-14124.0,7238.0,,16671,16278.0,15120.0,1158.0,,,393,70189,,6794,6794,,,2404,,,,,,5578,,,5578,14776,16343,,,,,17067,,,,17067,33410,48186,0.0,25281,,,0,8504.0,-820,32965,801.0,33766,81952,
12/31/2003,82455,490,490,0.0,5005,,3957,490.0,0.0,3467.0,0.0,1740,,,,11192,47428,61839.0,-14411.0,1000.0,,22835,16169.0,15084.0,1085.0,,,6666,71263,,6899,6899,,,1440,,,,,,5672,,,5672,14011,16340,16280.0,60.0,60.0,,16896,,,,16896,33236,47247,0.0,25368,,,0,9234.0,-236,34366,842.0,35208,82455,
03/31/2004,84429,659,659,0.0,6392,,4360,482.0,0.0,3878.0,0.0,1509,,,,12920,47704,62880.0,-15176.0,7170.0,,16635,16197.0,15092.0,1105.0,,,438,71509,,7536,7536,,,1441,,,,,,5725,,,5725,14702,15668,,,,,17293,,,,17293,32961,47663,,25594,,,0,10556.0,-330,35820,946.0,36766,84429,
06/30/2004,85534,804,804,,3851,,4665,494.0,0.0,4171.0,0.0,4458,,,,13778,47844,64289.0,-16445.0,7296.0,,16616,16191.0,15087.0,1104.0,,,425,71756,,7900,7900,,,1241,,,,,,5381,,,5381,14522,14378,,,,,17760,,,,17760,32138,46660,0.0,25738,,,0,12336.0,-248,37826,1048.0,38874,85534,
09/30/2004,88818,3263,3263,0.0,6973,,4334,480.0,0.0,3854.0,0.0,1423,,,,15993,48701,65869.0,-17168.0,,,24124,16180.0,15078.0,1102.0,,,7944,72825,,8277,8277,,,1079,,,,,,5812,,,5812,15168,14407,,,,,18440,,,,18440,32847,48015,0.0,25830,,,0,14047.0,-110,39767,1036.0,40803,88818,
12/31/2004,92861,1387,1387,0.0,5449,0.0,3666,519.0,0.0,0.0,3147.0,4519,,,,15021,50902,69151.0,-18249.0,10408.0,,16530,16086.0,14990.0,1096.0,,,444,77840,,8727,8727,,,632,,,,,,6227,,,6227,15586,14370,,,,,19077,,,,19077,33447,49033,0.0,26061,,,0,16128.0,534,42723,1105.0,43828,92861,
03/31/2005,96890,2421,2421,0.0,9286,,4542,535.0,0.0,4007.0,0.0,1834,,,,18083,51053,70049.0,-18996.0,11389.0,,16365,15976.0,14902.0,1074.0,,,389,78807,,10356,10356,,,114,,,,,,7499,,,7499,17969,13898,,,,,18818,,,,18818,32716,50685,0.0,26354,,,-226,18692.0,211,45031,1174.0,46205,96890,
06/30/2005,97469,1541,1541,0.0,8607,,4870,565.0,0.0,4305.0,0.0,1729,,,,16747,51730,71442.0,-19712.0,12569.0,,16423,15994.0,14943.0,1051.0,,,429,80722,,9875,9875,,,354,,,,,,6099,,,6099,16328,13659,,,,,18970,,,,18970,32629,48957,0.0,26564,,,-576,21399.0,-87,47300,1212.0,48512,97469,
09/30/2005,104372,2803,2803,0.0,9962,,4838,566.0,0.0,4272.0,0.0,3001,,,,20604,52482,73177.0,-20695.0,14802.0,,16484,15970.0,14927.0,1043.0,,,514,83768,,11292,11292,,,1125,,,,,,8981,,,8981,21398,12372,,,,,19532,,,,19532,31904,53302,0.0,26726,,,-1165,24337.0,-60,49838,1232.0,51070,104372,
12/31/2005,106999,2214,2214,0.0,11168,0.0,3725,541.0,0.0,3183.0,0.0,2506,,,,19612,54669,76332.0,-21663.0,15726.0,,16992,16439.0,15323.0,1116.0,,,553,87387,,11732,11732,,,1758,,,,,,7869,,,7869,21359,10758,,,,,20942,,,,20942,31700,53059,0.0,26768,,,-1924,28018.0,-131,52731,1209.0,53940,106999,
03/31/2006,159652,3008,3008,0.0,12050,,5507,742.0,0.0,4765.0,0.0,2372,,,,22937,85960,108937.0,-22977.0,16777.0,,33978,33357.0,32232.0,1125.0,,,621,136715,,13434,13434,,,6127,,,,,,9462,,,9462,29023,26066,,,,,31133,,,,31133,57199,86222,0.0,41388,,,0,30813.0,-8,72193,1237.0,73430,159652,
06/30/2006,161917,654,654,0.0,11802,,6435,745.0,0.0,5690.0,0.0,2847,,,,21738,87920,113223.0,-25303.0,18326.0,,33933,33295.0,32120.0,1175.0,,,638,140179,,13839,13839,,,4571,,,,,,8610,,,8610,27020,24939,,,,,31335,,,,31335,56274,83294,0.0,41614,,,-425,35402.0,786,77377,1246.0,78623,161917,
09/30/2006,163723,696,696,0.0,12064,,6198,782.0,0.0,5416.0,0.0,5642,,,,24600,86127,112125.0,-25998.0,19530.0,,33466,33023.0,31930.0,1093.0,,,443,139123,,13528,13528,,,4030,,,,,,9796,,,9796,27354,23777,,,,,30895,,,,30895,54672,82026,0.0,41712,,,-675,38685.0,754,80476,1221.0,81697,163723,
12/31/2006,164781,817,817,0.0,13456,,5153,802.0,0.0,4351.0,0.0,5640,,,,25066,86201,113272.0,-27071.0,19595.0,,33919,32439.0,31488.0,951.0,,,1480,139715,,14163,14163,,,4043,4033.0,10.0,10.0,,,8225,,,8225,26431,23091,,,,,31411,,,,31411,54502,80933,0.0,41943,,,-964,41292.0,375,82646,1202.0,83848,164781,
03/31/2007,173209,860,860,0.0,11964,,5685,764.0,0.0,4921.0,0.0,6232,,,,24741,83904,111754.0,-27850.0,30415.0,,34149,32450.0,31531.0,919.0,,,1699,148468,,15023,15023,,,1707,,,,,,10295,,,10295,27025,21961,,,,,38240,,,,38240,60201,87226,0.0,42069,,,-1969,44150.0,532,84782,1201.0,85983,173209,
06/30/2007,170868,1411,1411,0.0,12144,,5245,775.0,0.0,4470.0,0.0,5581,,,,24381,85296,116713.0,-31417.0,28875.0,,32316,30504.0,29597.0,907.0,,,1812,146487,,14357,14357,,,1109,,,,,,8451,,,8451,23917,21703,,,,,39140,,,,39140,60843,84760,0.0,42399,,,-2969,43783.0,1715,84928,1180.0,86108,170868,
09/30/2007,173427,1379,1379,0.0,11867,,5312,812.0,0.0,4500.0,0.0,5081,,,,23639,87407,121680.0,-34273.0,30145.0,,32236,30273.0,29374.0,899.0,,,1963,149788,,14629,14629,,,405,,,,,,9044,,,9044,24078,21471,,,,,39765,,,,39765,61236,85314,0.0,42571,,,-5479,46790.0,3051,86933,1180.0,88113,173427,
12/31/2007,177757,1456,1456,0.0,16354,,4223,850.0,0.0,3373.0,0.0,2702,,,,24735,89003,125361.0,-36358.0,31457.0,,32562,30232.0,29336.0,896.0,,,2330,153022,,16591,16591,,,1398,,,,,,8893,,,8893,26882,20289,,,,,40430,,,,40430,60719,87601,0.0,42741,,,-7969,50510.0,3701,88983,1173.0,90156,177757,
03/31/2008,183278,1423,1423,0.0,15205,,6995,877.0,0.0,6118.0,0.0,4985,,,,28608,89207,127794.0,-38587.0,32732.0,,32731,30238.0,29354.0,884.0,,,2493,154670,,18953,18953,,,384,,,,,,11788,,,11788,31125,21108,,,,,40319,,,,40319,61427,92552,0.0,42848,,,-10465,53906.0,3286,89575,1151.0,90726,183278,
06/30/2008,190155,787,787,0.0,17474,,6757,,0.0,5854.0,903.0,8497,,,,33515,89990,130738.0,-40748.0,33814.0,,32836,30100.0,29227.0,873.0,,,2736,156640,,21319,21319,,,385,,,,,,13143,,,13143,34847,21539,,,,,40227,,,,40227,61766,96613,0.0,43278,,,-12978,58625.0,3473,92398,1144.0,93542,190155,
09/30/2008,184607,1116,1116,0.0,14514,,6741,914.0,0.0,5827.0,0.0,5955,,,,28326,89259,130818.0,-41559.0,34344.0,,32678,30085.0,29224.0,861.0,,,2593,156281,,17364,17364,,,387,,,,,,11759,,,11759,29510,21713,,,,,39381,,,,39381,61094,90604,0.0,43325,,,-15469,63103.0,1917,92876,1127.0,94003,184607,
12/31/2008,142865,755,755,0.0,10892,,5095,863.0,0.0,4232.0,0.0,4101,,,,20843,83947,126444.0,-42497.0,30926.0,,7149,4624.0,3778.0,846.0,,,2525,122022,,12852,12852,,,370,,,,,,8558,,,8558,21780,27085,,,,,37735,,,,37735,64820,86600,0.0,43413,,,-16211,30642.0,-2679,55165,1100.0,56265,142865,
03/31/2009,143251,802,802,0.0,9271,,6480,0.0,0.0,5573.0,907.0,3650,2.0,,3650.0,20203,84056,128352.0,-44296.0,,,38992,4614.0,3777.0,837.0,,31724.0,2652,123048,,18806,11879,4143.0,2784.0,82,0.0,,,,82.0,1442,,2.0,1442,20330,29297,29297.0,,,,37431,,4085.0,17983.0,15361,66728,87058,0.0,43436,17.0,43419.0,-16211,30786.0,-2916,55095,1098.0,56193,143251,
