Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2007,6498.0,470.0,470.0,0.0,0.0,857.0,,575.0,133.0,29.0,413.0,0.0,594.0,,,,,1639.0,2176.0,2920.0,-744.0,745.0,,1938.0,1306.0,869,437.0,,,632.0,4859.0,,667.0,667.0,,,,187,,,,,,750,,,,750,1604.0,3198,,,,,1892.0,,,1892.0,5090,6694.0,0.0,392.0,,,-258.0,474.0,48.0,656.0,5.0,661.0,7355.0,
09/30/2007,7541.0,531.0,531.0,0.0,953.0,953.0,,575.0,117.0,24.0,434.0,0.0,531.0,,,,,2590.0,2270.0,3096.0,-826.0,778.0,,1903.0,1307.0,875,432.0,,,596.0,4951.0,,675.0,675.0,,,,243,,,,,,873,,,,873,1791.0,3252,,,,,1819.0,,,1819.0,5071,6862.0,0.0,428.0,,,-403.0,594.0,55.0,674.0,5.0,679.0,7541.0,
12/31/2007,8058.0,825.0,825.0,0.0,1009.0,1009.0,,636.0,107.0,29.0,500.0,0.0,593.0,,,,,3063.0,2362.0,3200.0,-838.0,814.0,,1819.0,1291.0,866,425.0,,,528.0,4995.0,,818.0,818.0,,,,272,,,,,,941,,,,941,2031.0,3284,,,,,1676.0,,,1676.0,4960,6991.0,0.0,469.0,,,-403.0,799.0,197.0,1062.0,5.0,1067.0,8058.0,
03/31/2008,8315.0,787.0,763.0,24.0,1079.0,1079.0,,709.0,127.0,30.0,552.0,0.0,555.0,,,,,3130.0,2477.0,3421.0,-944.0,1040.0,222.0,1668.0,1347.0,890,457.0,,,321.0,5185.0,,822.0,822.0,,,,253,,,,,,1009,,,,1009,2084.0,3351,,,,,1755.0,,,1755.0,5106,7190.0,0.0,483.0,,,-463.0,935.0,164.0,1119.0,6.0,1125.0,8315.0,
06/30/2008,8614.0,1007.0,983.0,24.0,1061.0,1061.0,,754.0,123.0,29.0,602.0,0.0,479.0,,,,,3301.0,2542.0,3534.0,-992.0,1011.0,208.0,1760.0,1334.0,897,437.0,,,426.0,5313.0,,829.0,829.0,,,,252,,,,,,892,,,,892,1973.0,3371,,,,,2034.0,,,2034.0,5405,7378.0,0.0,494.0,,,-529.0,1061.0,206.0,1232.0,4.0,1236.0,8614.0,
09/30/2008,7972.0,601.0,584.0,17.0,1013.0,1013.0,,743.0,132.0,31.0,580.0,0.0,463.0,,,,,2820.0,2527.0,3555.0,-1028.0,981.0,202.0,1644.0,1205.0,816,389.0,,,439.0,5152.0,,754.0,754.0,,,,302,,,,,,642,,,,642,1698.0,3318,,,,,1925.0,,,1925.0,5243,6941.0,0.0,492.0,,,-781.0,1210.0,108.0,1029.0,2.0,1031.0,7972.0,
12/31/2008,7166.0,682.0,676.0,6.0,631.0,631.0,,577.0,119.0,24.0,434.0,0.0,396.0,,,,,2286.0,2470.0,3521.0,-1051.0,94.0,94.0,2316.0,1143.0,779,364.0,,789.0,384.0,4880.0,,523.0,523.0,,,,233,,,,,,613,,,,613,1369.0,3300,,,,,2313.0,,,2313.0,5613,6982.0,,495.0,,,-781.0,1047.0,-579.0,182.0,2.0,184.0,7166.0,
03/31/2009,7337.0,1155.0,1150.0,5.0,624.0,624.0,0.0,522.0,115.0,22.0,385.0,0.0,288.0,85.0,,29.0,264.0,2589.0,2482.0,3474.0,-992.0,80.0,80.0,2186.0,1093.0,758,335.0,,720.0,259.0,4748.0,,514.0,504.0,10.0,,,195,127.0,,,,68.0,590,,75.0,118.0,518,1299.0,3274,3274.0,,,,2717.0,,1162.0,1362.0,5991,7290.0,0.0,498.0,,498.0,-781.0,1018.0,-690.0,45.0,2.0,47.0,7337.0,
06/30/2009,7623.0,1151.0,1145.0,6.0,702.0,702.0,0.0,473.0,107.0,24.0,342.0,0.0,452.0,8.0,135.0,26.0,294.0,2778.0,2533.0,3545.0,-1012.0,76.0,76.0,2236.0,1116.0,788,328.0,,767.0,319.0,4845.0,,574.0,557.0,17.0,,,224,152.0,,,,72.0,544,,54.0,123.0,450,1342.0,3268,3268.0,,,,2765.0,,1159.0,1429.0,6033,7375.0,0.0,501.0,,501.0,-781.0,1114.0,-588.0,246.0,2.0,248.0,7623.0,
09/30/2009,8250.0,1297.0,1293.0,4.0,728.0,728.0,0.0,467.0,108.0,23.0,336.0,0.0,370.0,13.0,2.0,358.0,308.0,2862.0,2687.0,3771.0,-1084.0,83.0,83.0,2618.0,1121.0,806,315.0,,811.0,315.0,5388.0,,586.0,558.0,28.0,,,265,187.0,,,,78.0,622,,55.0,127.0,530,1473.0,3312,3312.0,,,,2779.0,,1157.0,1440.0,6091,7564.0,,503.0,,503.0,-781.0,1505.0,-543.0,684.0,2.0,686.0,8250.0,
12/31/2009,8412.0,1257.0,1254.0,3.0,721.0,721.0,0.0,522.0,127.0,28.0,367.0,0.0,356.0,0.0,2.0,484.0,312.0,2856.0,2797.0,3927.0,-1130.0,80.0,80.0,1887.0,1092.0,798,294.0,,792.0,311.0,4764.0,,721.0,649.0,72.0,0.0,0.0,242,140.0,,,,102.0,644,0.0,0.0,137.0,611,1607.0,3259,3259.0,,,,2960.0,0.0,1288.0,1535.0,6219,7826.0,0.0,522.0,,522.0,-781.0,1505.0,-660.0,586.0,0.0,586.0,8412.0,
03/31/2010,8202.0,1143.0,1139.0,4.0,801.0,801.0,0.0,545.0,119.0,29.0,397.0,0.0,362.0,,3.0,488.0,318.0,2851.0,2723.0,3845.0,-1122.0,79.0,79.0,2549.0,1031.0,765,266.0,,764.0,266.0,5351.0,,698.0,626.0,72.0,,,258,154.0,,,,104.0,584,,41.0,129.0,481,1540.0,3233,3233.0,,,,2855.0,,1275.0,1410.0,6088,7628.0,0.0,530.0,,530.0,-781.0,1511.0,-686.0,574.0,0.0,574.0,8202.0,
06/30/2010,8105.0,1083.0,1081.0,2.0,862.0,862.0,0.0,522.0,114.0,27.0,381.0,0.0,355.0,,,485.0,314.0,2822.0,2676.0,3787.0,-1111.0,75.0,75.0,2532.0,1005.0,736,269.0,,769.0,273.0,5283.0,,683.0,607.0,76.0,,,265,162.0,,,,103.0,562,,35.0,121.0,465,1510.0,3162,3162.0,,,,2744.0,,1260.0,1328.0,5906,7416.0,0.0,535.0,,535.0,-801.0,1664.0,-709.0,689.0,0.0,689.0,8105.0,
09/30/2010,8394.0,886.0,884.0,2.0,897.0,897.0,0.0,578.0,129.0,29.0,420.0,0.0,406.0,,9.0,499.0,355.0,2767.0,2884.0,4043.0,-1159.0,79.0,79.0,2664.0,1056.0,785,271.0,,817.0,292.0,5627.0,,754.0,640.0,114.0,,,261,156.0,,,,105.0,622,,36.0,132.0,518,1637.0,3010,3010.0,,,,2830.0,,1257.0,1405.0,5840,7477.0,0.0,544.0,,544.0,-822.0,1801.0,-606.0,917.0,0.0,917.0,8394.0,
12/31/2010,8281.0,818.0,740.0,78.0,827.0,827.0,0.0,610.0,137.0,31.0,442.0,0.0,413.0,0.0,9.0,443.0,312.0,2668.0,3017.0,4148.0,-1131.0,0.0,,2596.0,1026.0,774,252.0,,838.0,289.0,5613.0,,690.0,673.0,17.0,0.0,0.0,228,154.0,,,,74.0,624,0.0,14.0,116.0,527,1542.0,2990,2990.0,,,,2823.0,0.0,1359.0,1334.0,5813,7355.0,0.0,574.0,,574.0,-829.0,1851.0,-670.0,926.0,0.0,926.0,8281.0,
03/31/2011,8622.0,796.0,722.0,74.0,950.0,950.0,0.0,688.0,153.0,33.0,502.0,0.0,417.0,,9.0,438.0,314.0,2851.0,3153.0,4356.0,-1203.0,0.0,,2618.0,1056.0,804,252.0,,822.0,302.0,5771.0,,808.0,740.0,68.0,,,219,141.0,,,,78.0,583,,28.0,122.0,483,1610.0,3003,3003.0,,,,2873.0,,1352.0,1371.0,5876,7486.0,0.0,583.0,,583.0,-832.0,1985.0,-600.0,1136.0,0.0,1136.0,8622.0,
06/30/2011,8919.0,811.0,741.0,70.0,1027.0,1027.0,0.0,779.0,157.0,34.0,588.0,0.0,397.0,,,434.0,302.0,3014.0,3273.0,4534.0,-1261.0,0.0,,2632.0,1051.0,813,238.0,,838.0,309.0,5905.0,,881.0,786.0,95.0,,,155,97.0,,,,58.0,605,,11.0,124.0,519,1641.0,2893,2893.0,,,,3012.0,,1321.0,1556.0,5905,7546.0,0.0,601.0,,601.0,-842.0,2180.0,-566.0,1373.0,0.0,1373.0,8919.0,
09/30/2011,8711.0,768.0,704.0,64.0,978.0,978.0,0.0,777.0,161.0,43.0,573.0,0.0,375.0,,,412.0,274.0,2898.0,3233.0,4517.0,-1284.0,0.0,,2580.0,993.0,780,213.0,,841.0,334.0,5813.0,,842.0,713.0,129.0,,,161,106.0,,,,55.0,610,,17.0,116.0,541,1613.0,2893,2893.0,,,,2749.0,,1214.0,1402.0,5642,7255.0,0.0,601.0,,601.0,-857.0,2338.0,-626.0,1456.0,0.0,1456.0,8711.0,
12/31/2011,8518.0,746.0,682.0,64.0,871.0,871.0,0.0,712.0,163.0,38.0,511.0,0.0,374.0,0.0,,421.0,270.0,2703.0,3269.0,4585.0,-1316.0,0.0,,2546.0,957.0,760,197.0,27.0,824.0,317.0,5815.0,,685.0,673.0,12.0,0.0,0.0,144,0.0,,,,144.0,556,0.0,13.0,92.0,513,1385.0,2873,2873.0,,,,2919.0,0.0,1492.0,1322.0,5792,7177.0,0.0,627.0,,,-860.0,2424.0,-850.0,1341.0,0.0,1341.0,8518.0,
03/31/2012,8823.0,790.0,727.0,63.0,928.0,928.0,0.0,753.0,168.0,36.0,549.0,0.0,346.0,,,562.0,242.0,2817.0,3329.0,4704.0,-1375.0,0.0,,2677.0,985.0,783,202.0,,762.0,368.0,6006.0,,780.0,758.0,22.0,,,155,0.0,,,,155.0,536,39.0,9.0,138.0,494,1471.0,2875,2875.0,,,,2936.0,,1435.0,1315.0,5811,7282.0,0.0,641.0,,641.0,-880.0,2597.0,-817.0,1541.0,0.0,1541.0,8823.0,
06/30/2012,8779.0,860.0,800.0,60.0,957.0,957.0,0.0,726.0,164.0,37.0,525.0,0.0,323.0,,,562.0,155.0,2866.0,3265.0,4668.0,-1403.0,0.0,,2648.0,940.0,756,184.0,,756.0,390.0,5913.0,,725.0,688.0,37.0,,,131,0.0,,,,131.0,484,37.0,11.0,130.0,449,1340.0,2845,2845.0,,,,2817.0,,1392.0,1247.0,5662,7002.0,0.0,725.0,,725.0,-888.0,2798.0,-858.0,1777.0,0.0,1777.0,8779.0,
09/30/2012,8965.0,984.0,928.0,56.0,932.0,932.0,0.0,711.0,160.0,40.0,511.0,0.0,341.0,,,539.0,178.0,2968.0,3295.0,4749.0,-1454.0,0.0,,2702.0,942.0,768,174.0,,775.0,446.0,5997.0,,728.0,685.0,43.0,,,141,0.0,,,,141.0,526,36.0,12.0,131.0,488,1395.0,2839,2839.0,,,,2816.0,,1354.0,1283.0,5655,7050.0,0.0,731.0,,731.0,-897.0,2903.0,-822.0,1915.0,0.0,1915.0,8965.0,
12/31/2012,9000.0,1012.0,959.0,53.0,827.0,827.0,0.0,711.0,155.0,42.0,514.0,0.0,289.0,0.0,,606.0,240.0,2839.0,3350.0,4856.0,-1506.0,0.0,,2811.0,942.0,777,165.0,,800.0,463.0,6161.0,,687.0,649.0,38.0,0.0,0.0,168,0.0,,,,168.0,500,36.0,8.0,50.0,452,1355.0,2930,2930.0,,,,2985.0,0.0,1602.0,1289.0,5915,7270.0,0.0,731.0,,,-905.0,1993.0,-89.0,1730.0,0.0,1730.0,9000.0,
03/31/2013,9068.0,1027.0,978.0,49.0,916.0,916.0,0.0,758.0,146.0,52.0,560.0,0.0,285.0,,,603.0,230.0,2986.0,3286.0,4822.0,-1536.0,0.0,,2796.0,917.0,762,155.0,,796.0,480.0,6082.0,,755.0,659.0,96.0,,,112,0.0,,,,112.0,484,34.0,7.0,44.0,444,1351.0,2959,2959.0,,,,2923.0,,1576.0,1262.0,5882,7233.0,0.0,736.0,,736.0,-905.0,2123.0,-119.0,1835.0,0.0,1835.0,9068.0,
06/30/2013,9322.0,1152.0,1107.0,45.0,929.0,929.0,0.0,738.0,136.0,51.0,551.0,0.0,361.0,,,602.0,264.0,3180.0,3325.0,4935.0,-1610.0,0.0,,2817.0,924.0,772,152.0,,808.0,483.0,6142.0,,856.0,716.0,140.0,,,224,0.0,,,,224.0,464,34.0,2.0,47.0,422,1544.0,2860,2860.0,,,,2933.0,,1560.0,1290.0,5793,7337.0,0.0,745.0,,745.0,-911.0,2242.0,-91.0,1985.0,0.0,1985.0,9322.0,
09/30/2013,9512.0,1144.0,1100.0,44.0,949.0,949.0,0.0,753.0,142.0,51.0,560.0,0.0,382.0,,,604.0,286.0,3228.0,3391.0,5056.0,-1665.0,0.0,,2893.0,934.0,787,147.0,,857.0,498.0,6284.0,,891.0,739.0,152.0,,,224,0.0,,,,224.0,482,30.0,3.0,61.0,442,1597.0,2870,2870.0,,,,2961.0,,1546.0,1321.0,5831,7428.0,0.0,753.0,,753.0,-1007.0,2385.0,-47.0,2084.0,0.0,2084.0,9512.0,
12/31/2013,9018.0,1025.0,984.0,41.0,867.0,867.0,0.0,804.0,174.0,59.0,571.0,0.0,486.0,0.0,,289.0,329.0,3182.0,3425.0,5097.0,-1672.0,0.0,,2411.0,940.0,798,142.0,11.0,841.0,330.0,5836.0,,817.0,799.0,18.0,0.0,0.0,177,0.0,,,,177.0,551,28.0,3.0,225.0,529,1545.0,2887,2887.0,,,,1887.0,0.0,1175.0,456.0,4774,6319.0,0.0,53.0,,,-361.0,3011.0,-4.0,2699.0,0.0,2699.0,9018.0,
03/31/2014,9129.0,1041.0,998.0,43.0,986.0,986.0,0.0,816.0,166.0,59.0,591.0,0.0,403.0,,,261.0,241.0,3246.0,3519.0,5231.0,-1712.0,0.0,,2364.0,943.0,798,145.0,,828.0,332.0,5883.0,,864.0,790.0,74.0,,,157,0.0,,,,157.0,489,27.0,2.0,220.0,471,1510.0,2881,2881.0,,,,1818.0,,1147.0,422.0,4699,6209.0,0.0,61.0,,61.0,-414.0,3179.0,-14.0,2812.0,108.0,2920.0,9129.0,
06/30/2014,9333.0,1103.0,1064.0,39.0,1045.0,1045.0,0.0,816.0,164.0,52.0,600.0,0.0,375.0,3.0,,271.0,218.0,3339.0,3577.0,5347.0,-1770.0,0.0,,2417.0,934.0,794,140.0,,880.0,329.0,5994.0,,903.0,839.0,64.0,,,158,0.0,,,,158.0,482,26.0,6.0,228.0,465,1543.0,2880,2880.0,,,,1809.0,,1125.0,424.0,4689,6232.0,0.0,73.0,,73.0,-464.0,3399.0,-53.0,2955.0,146.0,3101.0,9333.0,
09/30/2014,9710.0,1546.0,1510.0,36.0,1016.0,1016.0,0.0,771.0,152.0,49.0,570.0,0.0,354.0,27.0,,296.0,237.0,3687.0,3618.0,5403.0,-1785.0,0.0,,2405.0,887.0,756,131.0,,857.0,338.0,6023.0,,931.0,816.0,115.0,,,765,140.0,,,,625.0,493,24.0,13.0,225.0,472,2189.0,2639,2639.0,,,,1747.0,,1077.0,408.0,4386,6575.0,0.0,83.0,,83.0,-562.0,3613.0,-190.0,2944.0,191.0,3135.0,9710.0,
12/31/2014,8796.0,812.0,780.0,32.0,801.0,801.0,0.0,782.0,150.0,53.0,579.0,0.0,303.0,43.0,,253.0,262.0,2698.0,3733.0,5549.0,-1816.0,0.0,,2365.0,881.0,749,132.0,16.0,876.0,296.0,6098.0,,762.0,757.0,5.0,,0.0,137,137.0,,,,,439,21.0,10.0,141.0,419,1338.0,2586,2586.0,,,,1794.0,0.0,1211.0,411.0,4380,5718.0,0.0,103.0,,,-611.0,3491.0,-165.0,2818.0,260.0,3078.0,8796.0,
03/31/2015,8626.0,880.0,851.0,29.0,804.0,804.0,0.0,744.0,147.0,46.0,551.0,0.0,268.0,,,275.0,207.0,2696.0,3685.0,5495.0,-1810.0,0.0,,2245.0,823.0,700,123.0,,804.0,343.0,5930.0,,719.0,664.0,55.0,,,128,0.0,,,,128.0,348,19.0,,130.0,337,1195.0,2536,2536.0,,,,1696.0,,1144.0,403.0,4232,5427.0,0.0,105.0,0.016652,104.983348,-611.0,3689.0,-322.0,2861.0,338.0,3199.0,8626.0,
06/30/2015,8988.0,1017.0,988.0,29.0,873.0,873.0,0.0,762.0,152.0,51.0,559.0,0.0,271.0,,,260.0,224.0,2923.0,3771.0,5701.0,-1930.0,0.0,,2294.0,841.0,716,125.0,,821.0,372.0,6065.0,,841.0,736.0,105.0,,,123,0.0,,,,123.0,304,18.0,,127.0,293,1268.0,2552,2552.0,,,,1683.0,,1130.0,408.0,4235,5503.0,0.0,120.0,0.016662,119.983338,-611.0,3848.0,-281.0,3076.0,409.0,3485.0,8988.0,
09/30/2015,8908.0,982.0,952.0,30.0,793.0,793.0,0.0,738.0,149.0,53.0,536.0,0.0,283.0,,,278.0,236.0,2796.0,3778.0,5768.0,-1990.0,0.0,,2334.0,838.0,716,122.0,,868.0,350.0,6112.0,,715.0,608.0,107.0,,,463,0.0,,,,463.0,338,16.0,,122.0,325,1516.0,2541,2541.0,,,,1654.0,,1103.0,413.0,4195,5711.0,0.0,127.0,0.016662,126.983338,-1031.0,3962.0,-292.0,2766.0,431.0,3197.0,8908.0,
12/31/2015,8586.0,997.0,967.0,30.0,706.0,706.0,0.0,682.0,141.0,43.0,498.0,0.0,402.0,,,222.0,332.0,2787.0,3609.0,5648.0,-2039.0,0.0,,2190.0,830.0,705,125.0,16.0,838.0,284.0,5799.0,,677.0,587.0,90.0,,0.0,513,0.0,,,,513.0,360,13.0,,136.0,328,1550.0,2468,2468.0,,,,1739.0,0.0,1189.0,401.0,4207,5757.0,0.0,136.0,0.01667,135.98333,-1031.0,3621.0,-348.0,2378.0,451.0,2829.0,8586.0,
03/31/2016,8392.0,747.0,716.0,31.0,830.0,830.0,0.0,667.0,137.0,39.0,491.0,0.0,259.0,,,236.0,253.0,2503.0,3640.0,5772.0,-2132.0,0.0,,2249.0,847.0,722,125.0,,870.0,296.0,5889.0,,699.0,574.0,125.0,,,116,0.0,,,,116.0,280,12.0,,116.0,275,1095.0,2487,2487.0,,,,1712.0,,1176.0,408.0,4199,5294.0,0.0,125.0,0.016736,124.983264,-1031.0,3834.0,-283.0,2645.0,453.0,3098.0,8392.0,
06/30/2016,8248.0,770.0,735.0,35.0,792.0,792.0,0.0,636.0,131.0,41.0,464.0,0.0,258.0,,,237.0,248.0,2456.0,3588.0,5752.0,-2164.0,0.0,,2204.0,832.0,711,121.0,,842.0,293.0,5792.0,,667.0,551.0,116.0,,,119,0.0,,,,119.0,301,11.0,0.0,116.0,298,1087.0,2464,2464.0,,,,1646.0,,1147.0,372.0,4110,5197.0,0.0,133.0,0.016747,132.983253,-1231.0,4001.0,-301.0,2602.0,449.0,3051.0,8248.0,
09/30/2016,8757.0,1286.0,1252.0,34.0,791.0,791.0,0.0,652.0,132.0,43.0,477.0,0.0,249.0,,,216.0,245.0,2978.0,3578.0,5806.0,-2228.0,0.0,,2201.0,831.0,712,119.0,,864.0,290.0,5779.0,,707.0,591.0,116.0,,,92,0.0,,,,92.0,299,10.0,,139.0,298,1098.0,2923,2923.0,,,,1585.0,,1124.0,312.0,4508,5606.0,0.0,140.0,0.016748,139.983252,-1331.0,4211.0,-310.0,2710.0,441.0,3151.0,8757.0,
12/31/2016,8357.0,668.0,638.0,30.0,801.0,801.0,0.0,720.0,169.0,45.0,506.0,0.0,283.0,0.0,,159.0,273.0,2472.0,3577.0,5816.0,-2239.0,0.0,,2308.0,990.0,796,194.0,22.0,852.0,285.0,5885.0,,637.0,625.0,12.0,,0.0,118,0.0,21.0,21.0,,97.0,322,9.0,0.0,130.0,319,1077.0,2890,2694.0,196.0,196.0,,1369.0,0.0,893.0,337.0,4259,5336.0,0.0,157.0,0.016761,156.983239,-1531.0,4320.0,-358.0,2588.0,433.0,3021.0,8357.0,
03/31/2017,8288.0,532.0,501.0,31.0,886.0,886.0,0.0,717.0,168.0,41.0,508.0,0.0,254.0,,,154.0,249.0,2389.0,3571.0,5878.0,-2307.0,0.0,,2328.0,992.0,800,192.0,,874.0,308.0,5899.0,,646.0,615.0,31.0,,,107,0.0,,,,107.0,262,9.0,,140.0,259,1015.0,2851,2851.0,,,,1381.0,,866.0,366.0,4232,5247.0,0.0,149.0,0.016797,148.983203,-1662.0,4451.0,-327.0,2611.0,430.0,3041.0,8288.0,
06/30/2017,8883.0,541.0,511.0,30.0,985.0,985.0,0.0,771.0,213.0,48.0,510.0,0.0,286.0,,,164.0,282.0,2583.0,3663.0,6082.0,-2419.0,0.0,,2637.0,1277.0,975,302.0,,885.0,311.0,6300.0,,708.0,666.0,42.0,,,384,0.0,,,,384.0,332,8.0,6.0,165.0,331,1424.0,2931,2931.0,,,,1406.0,,866.0,361.0,4337,5761.0,0.0,158.0,0.016802,157.983198,-1834.0,4617.0,-247.0,2694.0,428.0,3122.0,8883.0,
