Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Discontinued Operations,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2001,4058,21,21,0.0,260,260.0,,377,93.0,49.0,235.0,0.0,85,,,,743,1268,,,,2047,921,,,,1126,3315,,247,247,,,,9,,,,,266,,266,522,1224,,,,647,,,,,647,1871,2393,0.0,1396.0,,,,298.0,-51,1643,22,1665,4058,
12/31/2001,4060,41,41,0.0,259,,,332,80.0,43.0,209.0,0.0,108,,,,740,1273,1945.0,-672.0,,2047,908,615.0,293.0,,1139,3320,,232,232,,,,7,,,,,220,,220,459,1211,,,,693,,,,,693,1904,2363,0.0,1400.0,,,-100.0,,389,1689,8,1697,4060,
03/31/2002,4011,46,46,0.0,275,275.0,,350,79.0,45.0,226.0,0.0,95,,,,766,1267,,,,1978,823,534.0,289.0,,1155,3245,,188,188,,,,4,,,,,282,,282,474,1211,,,,685,,,,,685,1896,2370,0.0,1378.0,,,,313.0,-58,1633,8,1641,4011,
06/30/2002,4143,39,39,0.0,316,316.0,,361,84.0,47.0,230.0,0.0,91,,,,807,1289,,,,2047,882,598.0,284.0,,1165,3336,,207,207,,,,5,,,,,286,,286,498,1204,,,,708,,,,,708,1912,2410,0.0,1376.0,,,,373.0,-24,1725,8,1733,4143,
09/30/2002,3293,133,133,0.0,302,302.0,,382,85.0,46.0,251.0,0.0,68,,,,885,1287,,,,1121,896,599.0,297.0,,225,2408,,209,209,,,,5,,,,,300,,300,514,1204,,,,703,,,,,703,1907,2421,0.0,1375.0,,,,432.0,-943,864,8,872,3293,
12/31/2002,3412,127,127,0.0,329,329.0,,368,77.0,47.0,244.0,0.0,80,,,,904,1366,2471.0,-1105.0,,1142,906,612.0,294.0,,236,2508,,217,217,,,,13,,,,,271,,271,501,1224,,,,769,,,,,769,1993,2494,0.0,1381.0,,,,491.0,-975,897,21,918,3412,
03/31/2003,3471,134,134,0.0,360,331.0,,416,88.0,51.0,277.0,0.0,59,,,,969,1353,,,,1149,911,618.0,293.0,,238,2502,,241,241,,,,5,,,,,269,,269,515,1205,,,,769,,,,,769,1974,2489,0.0,1391.0,,,,535.0,-965,961,21,982,3471,
06/30/2003,3525,168,168,0.0,335,335.0,,420,91.0,56.0,273.0,0.0,93,,,,1016,1358,2229.0,-871.0,,1151,907,610.0,297.0,,244,2509,,246,246,,,,6,,,,,263,,263,515,1203,,,,778,,,,,778,1981,2496,0.0,1353.0,,,,594.0,-939,1008,21,1029,3525,
09/30/2003,3537,186,186,0.0,329,329.0,,426,102.0,56.0,268.0,0.0,82,,,,1023,1348,2256.0,-908.0,,1166,913,619.0,294.0,,253,2514,,207,207,,,,4,,,,,343,,343,554,1168,,,,786,,,,,786,1954,2508,0.0,1344.0,,,,620.0,-943,1021,8,1029,3537,
12/31/2003,3706,140,140,0.0,346,346.0,,399,97.0,57.0,245.0,0.0,97,,,,982,1522,2490.0,-968.0,,1202,941,643.0,298.0,,261,2724,,198,198,,,,5,,,,,271,,271,474,1336,,,,827,,,,,827,2163,2637,0.0,1328.0,,,,674.0,-941,1061,8,1069,3706,
03/31/2004,3666,126,126,0.0,346,346.0,,426,99.0,55.0,272.0,0.0,93,,,,991,1476,2449.0,-973.0,,1199,935,641.0,294.0,,264,2675,,223,223,,,,4,,,,,296,,296,523,1336,,,,823,,,,,823,2159,2682,0.0,1254.0,,,,674.0,-952,976,8,984,3666,
06/30/2004,3625,119,119,0.0,384,384.0,,398,90.0,60.0,248.0,0.0,76,,,,977,1454,2456.0,-1002.0,,1194,925,634.0,291.0,,269,2648,,224,224,,,,4,,,,,281,,281,509,1336,,,,822,,,,,822,2158,2667,0.0,1182.0,,,,726.0,-959,949,9,958,3625,
09/30/2004,3702,181,181,0.0,391,391.0,,415,102.0,66.0,247.0,0.0,74,,,,1061,1434,2455.0,-1021.0,,1207,933,646.0,287.0,,274,2641,,244,244,,,,5,,,,,318,,318,567,1336,,,,824,,,,,824,2160,2727,0.0,1130.0,,,,782.0,-946,966,9,975,3702,
12/31/2004,3741,222,222,0.0,267,267.0,,311,89.0,55.0,167.0,0.0,792,,,,1592,1137,2077.0,-940.0,,1012,603,462.0,141.0,,409,2149,,183,183,,,,471,,,,,382,,382,1036,869,,,,744,,,,,744,1613,2649,0.0,1143.0,,,,829.0,-889,1083,9,1092,3741,
03/31/2005,3418,55,55,0.0,310,310.0,,459,125.0,73.0,261.0,,66,,,,890,1455,2565.0,-1110.0,0.0,1073,997,715.0,282.0,,76,2528,,276,276,,,,303,,,,,290,,290,869,869,,,,652,,,,,652,1521,2390,0.0,1149.0,,,,851.0,-981,1019,9,1028,3418,
06/30/2005,3369,71,71,0.0,201,201.0,,360,110.0,51.0,199.0,,709,,,,1341,1154,2170.0,-1016.0,0.0,874,799,529.0,270.0,,75,2028,,175,175,,,,303,,,,,444,,444,922,880,,,,595,,,,,595,1475,2397,0.0,1158.0,,,,809.0,-1004,963,9,972,3369,
09/30/2005,3464,110,110,0.0,283,283.0,,331,93.0,50.0,188.0,0.0,715,,,,1439,1154,2198.0,-1044.0,0.0,871,797,532.0,265.0,,74,2025,,189,189,,,,302,,,,,478,,478,969,1011,,,,587,,,,,587,1598,2567,0.0,1042.0,,,,848.0,-1002,888,9,897,3464,
12/31/2005,2820,172,172,0.0,299,299.0,,289,107.0,41.0,141.0,0.0,60,,,,820,1141,2201.0,-1060.0,,859,787,527.0,260.0,,72,2000,,179,179,,,,3,,,,,274,,274,456,869,,,,666,,,,,666,1535,1991,0.0,1023.0,,,,883.0,-1086,820,9,829,2820,
03/31/2006,2810,165,165,0.0,289,289.0,,330,104.0,50.0,176.0,,49,,,,833,1133,2196.0,-1063.0,0.0,844,775,517.0,258.0,,69,1977,,160,160,,,,3,,,,,267,,267,430,869,,,,657,,,,,657,1526,1956,0.0,999.0,,,,934.0,-1088,845,9,854,2810,
06/30/2006,2810,151,151,,324,324.0,,326,101.0,49.0,176.0,,49,,,,850,1112,2201.0,-1089.0,,848,780,525.0,255.0,,68,1960,,165,165,,,,102,,,,,253,,253,520,771,,,,674,,,,,674,1445,1965,,920.0,,,,1003.0,-1087,836,9,845,2810,
09/30/2006,2768,123,123,,314,314.0,,345,109.0,50.0,186.0,0.0,45,,,,827,1095,2215.0,-1120.0,,846,778,527.0,251.0,,68,1941,,172,172,,,,99,,,,,303,,303,574,771,,,,636,,,,,636,1407,1981,,786.0,,,,1105.0,-1113,778,9,787,2768,
12/31/2006,2758,181,181,0.0,310,310.0,,296,100.0,52.0,144.0,0.0,51,,,,838,1093,2234.0,-1141.0,,827,763,525.0,238.0,,64,1920,,152,152,,,,98,,,,,299,,299,549,771,,,,576,,,,,576,1347,1896,0.0,758.0,,,,1157.0,-1062,853,9,862,2758,
03/31/2007,2692,125,125,0.0,282,282.0,,342,111.0,53.0,178.0,0.0,40,,,,789,1084,2259.0,-1175.0,,819,760,525.0,235.0,,59,1903,,142,142,,,,99,,,,,295,,295,536,771,,,,540,,,,,540,1311,1847,0.0,675.0,,,,1214.0,-1057,832,13,845,2692,
06/30/2007,3678,76,76,0.0,309,309.0,,386,128.0,52.0,206.0,0.0,44,,,,815,1275,2580.0,-1305.0,,1588,1526,1096.0,430.0,,62,2863,,195,195,,,,0,,,,,314,,314,509,1699,,,,520,,,,,520,2219,2728,0.0,686.0,,,,1284.0,-1032,938,12,950,3678,
09/30/2007,3686,69,69,0.0,282,282.0,,412,135.0,58.0,219.0,0.0,46,,,,809,1281,2625.0,-1344.0,,1596,1534,1110.0,424.0,,62,2877,,181,181,,,,0,,,,,318,,318,499,1666,,,,503,,,,,503,2169,2668,0.0,683.0,,,,1343.0,-1021,1005,13,1018,3686,
12/31/2007,3765,95,95,0.0,254,254.0,,369,118.0,56.0,195.0,0.0,79,,,,797,1264,2534.0,-1270.0,,1704,1546,1123.0,423.0,,158,2968,,162,162,,,,0,,,,,298,,298,460,1574,,,,492,,,,,492,2066,2526,0.0,684.0,,,,1402.0,-860,1226,13,1239,3765,
03/31/2008,3844,52,52,0.0,266,266.0,,434,133.0,56.0,245.0,0.0,77,,,,829,1270,2583.0,-1313.0,,1745,1343,1122.0,221.0,,402,3015,,204,204,,,,1,,,,,277,,277,482,1554,,,,510,,,,,510,2064,2546,0.0,687.0,,,,1443.0,-845,1285,13,1298,3844,
06/30/2008,3942,53,53,0.0,338,338.0,,436,142.0,56.0,238.0,0.0,77,,,,904,1262,2609.0,-1347.0,0.0,1776,1544,1134.0,410.0,,232,3038,,199,199,,,,0,,,,,284,,284,483,1555,,,,526,,,,,526,2081,2564,0.0,692.0,,,,1504.0,-831,1365,13,1378,3942,
09/30/2008,3860,37,37,0.0,280,280.0,,450,96.0,57.0,246.0,51.0,68,,,,835,1236,2592.0,-1356.0,0.0,1789,1534,1131.0,403.0,,255,3025,,192,192,,,,0,,,,,270,,270,462,1425,,,,545,,,,,545,1970,2432,0.0,695.0,,,,1557.0,-837,1415,13,1428,3860,
12/31/2008,3761,80,80,0.0,264,264.0,,391,78.0,55.0,209.0,49.0,62,,,,797,1209,2587.0,-1378.0,0.0,1755,1524,1128.0,396.0,,231,2964,,115,115,,,,0,,,,,223,,223,338,1345,,,,1391,,,,,1391,2736,3074,0.0,711.0,,,,1658.0,-1698,671,16,687,3761,
03/31/2009,3720,152,152,0.0,231,231.0,0.0,377,79.0,61.0,190.0,47.0,62,,115.0,28.0,822,1200,2605.0,-1405.0,0.0,1698,1515,1123.0,392.0,5.0,63,2898,,326,128,51.0,28.0,119.0,0,0.0,,,0.0,44,,44,370,1345,1345.0,,,1262,,1144.0,,30.0,88,2607,2977,0.0,710.0,1.0,709.0,,1717.0,-1700,727,16,743,3720,
06/30/2009,3799,227,227,0.0,279,279.0,0.0,375,85.0,59.0,183.0,48.0,44,1.0,100.0,27.0,925,1191,2638.0,-1447.0,0.0,1683,1513,1128.0,385.0,6.0,64,2874,,382,158,40.0,20.0,164.0,0,0.0,,,0.0,52,,52,434,1345,1345.0,,,1151,,1021.0,,31.0,99,2496,2930,0.0,717.0,1.0,716.0,,1813.0,-1677,853,16,869,3799,
09/30/2009,3563,104,104,0.0,249,249.0,0.0,375,77.0,52.0,198.0,48.0,47,,31.0,40.0,775,1181,2666.0,-1485.0,0.0,1607,1508,1129.0,379.0,6.0,62,2788,,364,147,23.0,28.0,166.0,0,0.0,,,0.0,45,,45,409,1275,1275.0,,,911,,798.0,,13.0,100,2186,2595,0.0,720.0,1.0,719.0,,1900.0,-1668,952,16,968,3563,
12/31/2009,3574,46,46,0.0,328,328.0,0.0,390,63.0,39.0,240.0,48.0,68,,,15.0,832,1172,2692.0,-1520.0,0.0,1570,1507,1135.0,372.0,2.0,61,2742,,358,144,24.0,20.0,170.0,5,0.0,0.0,0.0,5.0,54,0.0,54,417,1270,1270.0,0.0,0.0,886,0.0,694.0,61.0,,131,2156,2573,0.0,730.0,1.0,729.0,,1981.0,-1726,985,16,1001,3574,
03/31/2010,3916,235,235,0.0,403,403.0,0.0,469,87.0,44.0,283.0,55.0,75,,,41.0,1182,1170,2723.0,-1553.0,0.0,1564,1503,1137.0,366.0,,61,2734,,357,176,29.0,28.0,124.0,135,0.0,,,135.0,52,,52,544,1430,1430.0,,,881,,662.0,75.0,,144,2311,2855,0.0,729.0,1.0,728.0,,2029.0,-1711,1047,14,1061,3916,
06/30/2010,3982,43,43,0.0,485,485.0,0.0,489,90.0,51.0,290.0,58.0,63,,,44.0,1080,1237,2886.0,-1649.0,0.0,1665,1607,1232.0,375.0,,58,2902,,382,196,30.0,21.0,135.0,255,0.0,,,255.0,53,,53,690,1270,1270.0,,,876,,629.0,91.0,,156,2146,2836,0.0,736.0,1.0,735.0,,2104.0,-1708,1132,14,1146,3982,
09/30/2010,3959,52,52,0.0,477,477.0,0.0,482,81.0,47.0,291.0,63.0,48,,,14.0,1059,1234,2931.0,-1697.0,0.0,1666,1604,1236.0,368.0,,62,2900,,378,190,32.0,29.0,127.0,165,0.0,,,165.0,51,,51,594,1270,1270.0,,,844,,598.0,111.0,,135,2114,2708,0.0,739.0,1.0,738.0,,2185.0,-1688,1236,15,1251,3959,
