Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
03/31/2009,-2.33,2.839,1.791,4.281,2.039,2.144,0.098,-11.241,-4.732,,-6.509,0.0,5.478,-0.858,0,,0.0,-0.858,-0.485,-0.373,0,0.0,0.0,-1.368,0.0,-1.368,0.0,7.704,-0.506,0.0,0.0,,,,0.0,0.0,0.0,-0.506,-0.142,2.5,0.046,
06/30/2009,8.217,3.187,1.679,4.511,2.113,2.052,0.346,-1.16,-4.114,,2.954,0.0,-29.627,-0.068,0,,0.0,-0.068,-0.441,0.373,0,0.0,0.0,0.0,0.0,0.0,0.0,-29.559,0.431,0.0,0.0,,,,0.235,0.235,0.0,0.196,-0.107,-21.086,-0.146,
09/30/2009,18.126,4.64,1.654,5.338,2.152,2.957,0.229,6.494,-2.197,,8.691,0.0,-0.685,-0.634,0,,0.0,-0.634,-0.634,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051,0.057,0.0,0.0,,,,-0.024,0.0,-0.024,0.081,-0.102,17.396,0.313,
12/31/2009,19.314,5.436,1.666,7.191,2.11,5.102,-0.021,5.021,0.524,,4.497,0.0,-19.331,-3.349,0,,0.0,-3.349,-3.349,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-15.982,-2.628,-2.65,0.0,,,,0.031,0.031,0.0,-0.009,-0.147,-2.792,0.624,
03/31/2010,-0.081,6.701,1.616,5.813,2.194,3.377,0.242,-14.211,-3.777,,-10.434,0.0,4.789,-2.889,0,,0.0,-2.889,-2.889,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.678,-3.198,-2.681,0.0,,,,0.375,0.83,-0.455,-0.892,-0.299,1.211,0.493,
06/30/2010,22.638,7.169,1.622,6.225,2.306,3.856,0.063,7.622,2.531,,5.091,0.0,-11.506,-0.935,0,,0.0,-0.935,-0.935,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-10.571,-1.947,-2.7,0.0,,,,-0.131,0.455,-0.586,0.884,-0.211,8.974,0.571,
09/30/2010,19.026,8.611,1.56,5.55,2.128,3.749,-0.327,3.305,-3.313,,6.618,0.0,-0.984,-0.86,0,,0.0,-0.86,-0.86,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.124,-22.766,-2.658,0.0,,,,-20.638,1.579,-22.217,0.53,-0.057,-4.781,0.574,
12/31/2010,22.563,8.947,1.552,7.339,2.341,4.785,0.213,4.725,1.425,,3.3,0.0,-0.019,-0.521,0,,0.0,-0.521,-0.521,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,-5.938,-2.591,0.0,,,,-3.281,3.461,-6.742,-0.066,-0.357,16.249,0.59,
03/31/2011,1.066,10.78,1.562,6.256,2.29,4.03,-0.064,-17.532,-4.318,,-13.214,0.0,-8.662,-0.498,0,,0.0,-0.498,-0.498,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-8.164,-0.436,-3.388,0.0,,,,3.02,3.02,0.0,-0.068,-0.395,-8.427,0.3,
06/30/2011,18.343,11.937,1.627,6.498,0.809,5.747,-0.058,-1.719,-4.372,,2.653,0.0,2.648,-1.018,0,,0.0,-1.018,-1.018,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.666,-1.648,-3.416,0.0,,,,1.837,1.837,0.0,-0.069,-0.142,19.201,5.68,
09/30/2011,27.382,13.444,1.799,7.261,1.898,4.719,0.644,4.878,2.458,,2.42,0.0,-2.777,-1.001,0,,0.0,-1.001,-1.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.776,-2.437,-3.432,0.0,,,,1.065,1.065,0.0,-0.07,-0.314,21.854,3.594,
12/31/2011,18.687,11.543,1.793,4.905,1.862,1.633,1.41,0.446,-5.433,,5.879,0.0,0.215,-0.643,0,,0.0,-0.643,-0.643,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,-6.678,-3.447,0.0,,,,-10.465,0.0,-10.465,7.234,-0.226,11.998,0.603,
03/31/2012,13.374,13.493,1.854,4.939,1.962,2.623,0.354,-6.912,2.777,,-9.689,0.0,15.892,-0.607,0,,0.0,-0.607,-0.607,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.499,-78.718,-4.201,0.0,,,,-68.627,2.489,-71.116,-5.89,-0.359,-49.811,0.988,
06/30/2012,12.521,12.629,1.961,2.425,2.066,-0.004,0.363,-4.494,-0.262,,-4.232,0.0,-0.879,-0.437,0,,0.0,-0.437,-0.437,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.442,-1.747,-4.081,0.0,,,,16.593,16.62,-0.027,-14.259,-0.109,9.786,5.948,
09/30/2012,27.375,13.482,2.081,1.944,2.156,-0.661,0.449,9.868,-0.168,0.0,10.036,0.0,-1.214,-3.911,0,,0.0,-3.911,-3.911,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.697,-5.115,-4.106,0.0,,,,-0.933,0.527,-1.46,-0.076,-0.54,20.506,3.666,
12/31/2012,28.312,20.465,2.337,-0.362,2.201,-2.601,0.038,5.872,2.26,0.0,3.612,0.0,1.231,-0.198,0,,0.0,-0.198,-0.198,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.429,-50.595,-51.653,0.0,,,,1.134,3.664,-2.53,-0.076,-0.141,-21.193,4.5,
03/31/2013,10.279,15.326,2.569,4.494,1.997,2.764,-0.267,-12.11,-1.136,,-10.974,,-5.544,-0.794,0,,0.0,-0.794,-0.794,0.0,0,,,-37.118,0.0,-37.118,0.0,32.368,-7.927,-5.405,0.0,0.0,0.0,0.0,2.557,2.557,0.0,-5.079,0.203,-2.989,0.829,
06/30/2013,19.97,19.343,3.177,1.002,2.181,-0.502,-0.677,-3.552,-6.291,,2.739,,-6.835,-6.622,0,,0.0,-6.622,-6.622,0.0,0,0.0,0.0,-0.709,0.0,-0.709,0.0,0.496,-3.459,-4.853,0.0,,,,1.474,1.474,0.0,-0.08,-0.127,9.549,11.783,
09/30/2013,37.08,18.214,3.559,0.915,2.241,-1.593,0.267,14.392,2.657,,11.735,,-48.195,-1.941,0,,0.0,-1.941,-1.941,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-46.254,-3.997,-4.77,0.0,,,,0.854,0.854,0.0,-0.081,-0.691,-15.803,5.282,
12/31/2013,23.55,23.133,3.746,0.841,2.46,-2.0,0.381,3.472,3.056,0.0,0.416,,-8.547,-5.98,0,,0.0,-5.98,-5.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-11.913,-1.691,-4.809,0.0,,,,3.186,3.186,0.0,-0.068,-0.286,13.026,12.874,
03/31/2014,10.147,17.475,4.121,5.033,2.316,2.159,0.558,-16.482,-4.919,,-11.563,,-0.449,-1.622,0,,0.0,-1.622,-1.622,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.173,-11.916,-6.232,0.0,0.0,0.0,0.0,-0.715,2.671,-3.386,-4.969,-0.428,-2.646,0.878,
06/30/2014,26.265,18.191,4.351,3.253,2.335,0.387,0.531,0.47,-1.845,,2.315,0.0,-7.08,-2.132,0,,0.0,-2.132,-2.132,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.948,-15.585,-5.932,0.0,,,,-9.612,0.75,-10.362,-0.041,-0.491,3.109,14.352,
09/30/2014,32.177,17.504,4.482,1.95,2.528,-0.971,0.393,8.241,4.443,,3.798,0.0,6.065,-0.248,0,,0.0,-0.248,-0.248,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.313,-16.46,-5.898,0.0,,,,-10.522,1.172,-11.694,-0.04,0.164,21.946,10.722,
12/31/2014,41.363,21.636,4.425,0.884,2.59,-1.949,0.243,14.418,3.148,0.0,11.27,0.0,-11.561,-0.625,0,,0.0,-0.625,-0.625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-10.936,-16.262,-5.879,0.0,,,,-10.371,2.161,-12.532,-0.012,0.284,13.824,7.675,
03/31/2015,10.034,24.593,4.612,5.19,3.042,1.719,0.429,-24.361,-12.289,,-12.072,0.0,-1.048,-0.817,0,,0.0,-0.817,-0.817,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.231,-17.241,-7.517,0.0,0.0,0.0,0.0,-5.576,3.363,-8.939,-4.148,0.379,-7.876,,
06/30/2015,30.561,24.238,4.603,2.894,2.983,-0.861,0.772,-1.174,-0.908,,-0.266,0.0,-9.887,-1.528,0,0.0,0.0,-1.528,-1.528,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-8.359,-11.583,-7.345,0.0,0.0,0.0,0.0,-4.143,1.382,-5.525,-0.095,-0.876,8.215,,
09/30/2015,35.743,22.715,4.642,1.58,3.251,-2.108,0.437,6.806,-2.398,,9.204,0.0,-32.58,-1.385,0,0.0,0.0,-1.385,-1.385,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-31.195,-12.12,-7.339,0.0,0.0,0.0,0.0,-4.574,0.987,-5.561,-0.207,0.07,-8.887,,
12/31/2015,120.196,96.037,18.542,12.144,12.519,-2.424,2.049,-6.527,-6.748,0.0,0.221,0.0,-37.953,-4.795,0,0.0,0.0,-4.795,-4.795,0.0,0,0.0,,0.0,0.0,0.0,0.0,-33.158,-51.054,-29.534,0.0,0.0,0.0,0.0,-17.024,6.134,-23.158,-4.496,-0.385,30.804,50.875,
03/31/2016,-57.383,28.963,4.681,-68.334,3.494,2.331,-74.159,-22.693,-12.346,,-10.347,0.0,6.339,-2.652,0,0.0,0.0,-2.652,-2.652,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.991,-10.685,-9.727,0.0,0.0,0.0,0.0,4.272,5.471,-1.199,-5.23,-0.004,-61.733,,
06/30/2016,37.287,33.126,4.54,11.117,3.443,-2.024,9.698,-11.496,-10.331,,-1.165,0.0,-4.351,-1.252,0,0.0,0.0,-1.252,-1.252,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.099,-17.475,-9.586,0.0,0.0,0.0,0.0,1.039,5.24,-4.201,-8.928,-0.181,15.28,,
09/30/2016,53.236,30.918,4.325,0.647,3.699,-1.694,-1.358,17.346,6.238,,11.108,0.0,-25.887,-0.85,0,0.0,0.0,-0.85,-0.85,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-25.037,-18.385,-9.601,0.0,0.0,0.0,0.0,-17.013,,,8.229,-0.795,8.169,,
12/31/2016,56.607,33.165,4.292,3.606,3.875,-1.194,0.925,15.544,6.01,,9.534,0.0,-29.281,-1.631,0,0.0,0.0,-1.631,-1.631,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-27.65,-18.749,-9.581,0.0,0.0,0.0,0.0,-9.924,,,0.756,-1.778,6.799,,
03/31/2017,30.549,42.463,4.693,3.448,3.943,1.827,-2.322,-20.055,-6.113,,-13.942,0.0,-29.007,-4.149,0,0.0,0.0,-4.149,-4.149,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-24.858,-31.705,-12.356,0.0,0.0,0.0,0.0,-11.707,0.5,-12.207,-7.642,-0.425,-30.588,,
06/30/2017,38.569,38.023,4.79,4.428,3.525,-0.428,1.331,-8.672,1.444,,-10.116,0.0,-25.33,-1.628,0,0.0,0.0,-1.628,-1.628,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-23.702,-23.75,-12.179,0.0,0.0,0.0,0.0,-11.102,0.838,-11.94,-0.469,0.999,-9.512,,
09/30/2017,52.465,34.13,4.583,11.337,3.521,-1.073,8.889,2.415,-7.866,,10.281,0.0,-13.57,-1.468,0,0.0,0.0,-1.468,-1.468,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-12.102,-28.88,-12.182,0.0,0.0,0.0,0.0,-11.903,0.302,-12.205,-4.795,0.834,10.849,,
12/31/2017,46.452,33.473,5.208,-15.169,3.432,6.264,-24.865,22.94,10.182,,12.758,0.0,14.254,-4.841,0,0.0,0.0,-4.841,-4.841,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.095,-32.733,-12.171,0.0,0.0,0.0,0.0,-5.777,0.332,-6.109,-14.785,0.049,28.022,,
03/31/2018,31.439,47.94,5.269,7.719,3.951,2.061,1.707,-29.489,-14.955,,-14.534,0.0,-12.729,-2.278,0,0.0,0.0,-2.278,-2.278,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-10.451,-29.445,-15.814,0.0,0.0,0.0,0.0,-6.01,0.258,-6.268,-7.621,-0.11,-10.845,,
06/30/2018,54.379,40.487,5.79,-2.147,3.65,-0.613,-5.184,10.249,5.605,,4.644,0.0,-16.683,-13.757,0,0.0,0.0,-13.757,-13.757,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.926,-22.435,-15.536,0.0,0.0,0.0,0.0,-6.523,0.113,-6.636,-0.376,-0.744,14.517,,
09/30/2018,67.994,38.594,6.173,13.5,3.95,-1.286,10.836,9.727,-0.21,,9.937,0.0,-7.572,-7.786,0,0.0,0.0,-7.786,-7.786,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,-20.551,-15.543,0.0,0.0,0.0,0.0,-5.065,1.016,-6.081,0.057,-0.472,39.399,,
12/31/2018,70.105,45.831,5.848,-2.219,4.299,-1.42,-5.098,20.645,4.443,0.0,16.202,0.0,-13.312,-12.067,0,0.0,0.0,-12.067,-12.067,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.245,-20.242,-15.539,0.0,0.0,0.0,0.0,-4.6,1.586,-6.186,-0.103,-0.314,36.237,,
03/31/2019,39.369,52.522,6.082,12.07,5.196,2.022,4.852,-31.305,-13.453,,-17.852,0.0,10.562,-0.649,0,0.0,0.0,-0.649,-0.649,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.211,-36.227,-19.412,0.0,0.0,0.0,0.0,-5.012,0.172,-5.184,-11.803,0.943,14.647,,
06/30/2019,69.733,48.105,6.345,8.914,5.929,-0.391,3.376,6.369,4.57,,1.799,0.0,-21.298,-5.465,0,0.0,0.0,-5.465,-5.465,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-15.833,-22.305,-18.911,0.0,0.0,0.0,0.0,-3.136,0.35,-3.486,-0.258,-0.922,25.208,,
09/30/2019,67.692,54.002,6.7,2.007,7.944,-1.558,-4.379,4.983,-6.596,,11.579,0.0,-4.554,-2.569,0,0.0,0.0,-2.569,-2.569,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.985,-27.527,-18.91,0.0,0.0,0.0,0.0,-2.407,0.363,-2.77,-6.21,-1.282,34.329,,
12/31/2019,89.141,50.273,7.73,11.092,6.225,2.609,2.258,20.046,12.517,,7.529,0.0,-106.761,-101.039,0,0.0,0.0,-101.039,-101.039,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.722,-32.041,-18.998,0.0,0.0,0.0,0.0,-5.494,0.322,-5.816,-7.549,2.272,-47.389,,
03/31/2020,120.369,74.816,8.067,67.681,6.677,2.734,58.27,-30.195,-31.64,,1.445,0.0,24.557,-4.291,0,0.0,0.0,-4.291,-4.291,0.0,0,0.0,0.0,-0.533,0.0,-0.533,0.0,29.381,-49.822,-23.244,0.0,0.0,0.0,0.0,-5.335,0.08,-5.415,-21.243,-3.36,91.744,,
06/30/2020,104.853,83.854,8.305,13.895,5.791,2.007,6.097,-1.201,-5.817,,4.616,0.0,-11.626,-4.973,0,0.0,0.0,-4.973,-4.973,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.653,-34.173,-22.424,0.0,0.0,0.0,0.0,-5.214,0.659,-5.873,-6.535,-0.318,58.736,,
