Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2006,1426.202,,-648.962,,,777.24,,-37.913,,,739.327,-4.669,21.024,21.024,,0.0,,-16.355,734.658,-310.244,,424.414,0.0,,,424.414,-42.034,382.38,-15.125,,367.255,367.255,,377.012,0.975,0.975,0.975,444.222,0.87,0.87,0.87,
09/30/2006,1636.049,,-852.212,,,783.837,,-48.403,,,735.434,-19.604,18.556,18.556,,0.0,,1.048,715.83,-303.844,,411.986,0.0,,,411.986,-46.199,365.787,-15.125,0.0,350.662,350.662,,379.108,0.925,0.925,0.955,442.154,0.835,0.835,0.865,
12/31/2006,1642.127,,-730.089,,,912.038,,-49.802,,,862.236,-2.476,13.336,13.336,,,,-10.86,859.76,-365.365,,494.395,0.0,,,494.395,-52.828,441.567,-15.125,0.0,426.442,426.442,-0.077,393.89,1.085,1.085,1.085,443.38,0.995,0.995,0.995,
03/31/2007,2246.0,,-1019.0,,,1227.0,,-55.0,48.0,7.0,1172.0,-111.0,,52.0,,0.0,,64.0,1061.0,-458.0,,603.0,-4.0,,,607.0,-114.0,493.0,-17.0,0.0,476.0,476.0,,434.0,1.1,1.09,1.265,488.0,1.01,1.0,1.155,
06/30/2007,5443.0,,-2914.0,,,2529.0,,-175.0,135.0,40.0,2354.0,-143.0,,179.0,,0.0,,-29.0,2211.0,-764.0,,1447.0,-28.0,,,1475.0,-307.0,1168.0,-64.0,0.0,1104.0,1104.0,,762.0,1.45,1.415,1.425,892.0,1.31,1.28,1.285,
09/30/2007,5066.0,,-3018.0,,,2048.0,,-171.0,131.0,40.0,1877.0,-91.0,,155.0,,,,-59.0,1786.0,-653.0,,1133.0,-12.0,,,1145.0,-307.0,838.0,-63.0,0.0,775.0,775.0,,764.0,1.015,1.0,1.395,894.0,0.935,0.925,1.265,
12/31/2007,4184.0,,-2822.0,,,1362.0,0.0,-210.0,,,1152.0,-77.0,,127.0,,0.0,,-45.0,1075.0,-525.0,,,9.0,,,541.0,-63.0,478.0,-64.0,0.0,414.0,414.0,,764.0,0.54,0.55,0.55,818.0,0.525,0.535,0.535,
03/31/2008,5672.0,,-3140.0,,,2532.0,0.0,-136.0,84.0,52.0,2396.0,-169.0,,165.0,,0.0,7.0,4.0,2227.0,-729.0,,1505.0,0.0,,,1505.0,-319.0,1186.0,-64.0,0.0,1122.0,1122.0,,766.0,1.465,1.465,1.7,898.0,1.32,1.32,1.52,
06/30/2008,5441.0,,-3182.0,,,2259.0,0.0,-206.0,126.0,80.0,2053.0,-118.0,,140.0,,0.0,7.0,-22.0,1935.0,-658.0,,1284.0,0.0,,,1284.0,-274.0,1010.0,-63.0,0.0,947.0,947.0,,768.0,1.235,1.235,1.225,900.0,1.125,1.125,1.115,
09/30/2008,4616.0,,-3316.0,,,1300.0,0.0,-167.0,90.0,77.0,1133.0,-153.0,,139.0,,,2.0,14.0,980.0,-240.0,,742.0,0.0,,,742.0,-155.0,587.0,-64.0,0.0,523.0,523.0,,764.0,0.685,0.685,0.75,894.0,0.655,0.655,0.71,
12/31/2008,2067.0,,-2586.0,,,-519.0,,-52.0,,,-571.0,-17881.0,,140.0,,,,17741.0,-18452.0,4471.0,,-13981.0,0.0,,,-13981.0,131.0,-13850.0,-83.0,0.0,-13933.0,-13933.0,,758.0,-18.39,-18.39,-0.43,758.0,-18.39,-18.39,-0.43,
03/31/2009,2602.0,2602.0,-1813.0,1581.0,,789.0,0.0,-117.0,62.0,55.0,672.0,-145.0,,131.0,,,11.0,14.0,527.0,-331.0,,207.0,0.0,0.0,0.0,207.0,-104.0,103.0,-60.0,0.0,43.0,105.0,62.0,800.0,0.055,0.055,0.13125,802.0,0.055,0.055,0.13125,
06/30/2009,3684.0,3684.0,-2065.0,1809.0,,1619.0,0.0,-111.0,89.0,22.0,1508.0,-161.0,,158.0,,,7.0,3.0,1347.0,-542.0,,812.0,0.0,0.0,0.0,812.0,-164.0,648.0,-60.0,0.0,588.0,586.7,-1.3,824.0,0.715,0.715,0.712014,942.0,0.69,0.69,0.68862,
09/30/2009,4144.0,4144.0,-1967.0,1715.0,,2177.0,0.0,-93.0,74.0,19.0,2084.0,-200.0,,162.0,,,3.0,38.0,1884.0,-684.0,,1203.0,0.0,0.0,0.0,1203.0,-224.0,979.0,-54.0,0.0,925.0,953.0,28.0,832.0,1.115,1.115,1.145433,944.0,1.035,1.035,1.064661,
12/31/2009,4610.0,4610.0,-2204.0,1930.0,,2406.0,0.0,-167.0,96.0,71.0,2239.0,-181.0,135.0,135.0,0.0,,4.0,46.0,2058.0,-750.0,,1312.0,0.0,0.0,0.0,1312.0,-293.0,1019.0,-48.0,0.0,971.0,1054.52,83.52,860.0,1.13,1.13,1.226186,946.0,1.075,1.075,1.163288,
03/31/2010,4363.0,4363.0,-2189.0,1918.0,,2174.0,0.0,-126.0,95.0,31.0,2048.0,-160.0,,145.0,,,5.0,15.0,1888.0,-678.0,,1215.0,0.0,0.0,0.0,1215.0,-270.0,945.0,-48.0,0.0,897.0,920.0,23.0,862.0,1.04,1.04,1.067286,946.0,1.0,1.0,1.024313,
06/30/2010,3864.0,3864.0,-2301.0,2052.0,,1563.0,0.0,-139.0,101.0,38.0,1424.0,-163.0,,122.0,,,4.0,41.0,1261.0,-433.0,,832.0,0.0,0.0,0.0,832.0,-168.0,664.0,-15.0,0.0,649.0,691.0,42.0,916.0,0.71,0.71,0.754367,946.0,0.7,0.7,0.744398,
09/30/2010,5152.0,5152.0,-2537.0,2269.0,,2615.0,0.0,-116.0,81.0,35.0,2499.0,-122.0,,103.0,,,1.0,19.0,2377.0,-845.0,,1533.0,0.0,0.0,0.0,1533.0,-355.0,1178.0,0.0,0.0,1178.0,1178.0,0.0,942.0,1.25,1.25,1.25,948.0,1.245,1.245,1.245,
12/31/2010,5603.0,5603.0,-2349.0,2101.0,,3254.0,0.0,-157.0,104.0,53.0,3097.0,-111.0,92.0,92.0,0.0,,5.0,19.0,2986.0,-1027.0,,1964.0,0.0,0.0,0.0,1964.0,-415.0,1549.0,0.0,0.0,1549.0,1561.1,12.1,1886.0,0.82,0.82,0.827731,1906.0,0.815,0.815,0.821349,
03/31/2011,5709.0,5709.0,-2609.0,2377.0,,3100.0,0.0,-164.0,114.0,50.0,2936.0,-95.0,,98.0,,,4.0,-3.0,2841.0,-984.0,,1861.0,0.0,0.0,0.0,1861.0,-362.0,1499.0,0.0,0.0,1499.0,1505.0,6.0,946.0,1.58,1.58,1.590909,955.0,1.57,1.57,1.576283,
06/30/2011,5814.0,5814.0,-2824.0,2557.0,,2990.0,0.0,-233.0,107.0,126.0,2757.0,-133.0,,74.0,,,8.0,59.0,2624.0,-906.0,,1726.0,0.0,0.0,0.0,1726.0,-358.0,1368.0,0.0,0.0,1368.0,1461.0,93.0,947.0,1.44,1.44,1.542767,956.0,1.43,1.43,1.52728,
09/30/2011,5195.0,5195.0,-2827.0,2570.0,,2368.0,0.0,-218.0,102.0,116.0,2150.0,-50.0,,78.0,,,2.0,-28.0,2100.0,-808.0,,1294.0,0.0,0.0,0.0,1294.0,-241.0,1053.0,0.0,0.0,1053.0,1127.7,74.7,948.0,1.11,1.11,1.189557,955.0,1.1,1.1,1.17822,
