Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2015,2299.5,286.3,286.3,0,410.8,410.8,0.0,0,0.0,0.0,0.0,0.0,98.4,,,,98.4,795.5,100.4,,,37.9,37.9,,1365.7,1158.1,969.6,188.5,207.6,1504.0,,335.5,111.7,28.7,34.9,160.2,0.0,0.0,,,,,77.5,76.1,,0.0,413.0,734.4,734.4,,,,227.9,,,,,52.7,99.1,962.3,1375.3,0,867.6,1.6,866.0,-1040.5,1130.1,-33.0,924.2,0,924.2,2299.5,
12/31/2015,2353.6,305.1,305.1,0,409.8,409.8,0.0,0,0.0,0.0,0.0,0.0,113.3,,,,113.3,828.2,106.0,,,38.5,38.5,,1380.9,1166.6,975.4,191.2,214.3,1525.4,,361.0,113.0,20.8,35.0,192.2,0.0,0.0,,,,,67.5,80.4,,0.0,428.5,754.5,754.5,,,,229.0,,,,,47.6,101.0,983.5,1412.0,0,885.6,1.6,884.0,-1040.8,1134.8,-38.0,941.6,0,941.6,2353.6,
03/31/2016,2524.0,354.4,354.4,0,503.8,503.8,0.0,0,0.0,0.0,0.0,0.0,145.6,,,,145.6,1003.8,108.2,,,45.1,45.1,,1366.9,1154.9,973.3,181.6,212.0,1520.2,,415.3,123.8,28.6,34.7,228.2,0.0,0.0,,,,,166.0,76.3,,0.0,581.3,819.5,819.5,,,,220.7,,,,,41.4,103.0,1040.2,1621.5,0,902.9,1.6,901.3,-1115.8,1163.1,-47.7,902.5,0,902.5,2524.0,
06/30/2016,2872.7,727.7,727.7,0,453.4,453.4,0.0,0,0.0,0.0,0.0,0.0,108.0,0.0,1.5,,88.7,1289.1,112.2,520.6,-408.4,48.5,48.5,,1422.9,1209.6,999.3,210.3,211.8,1583.6,,485.3,133.2,49.9,34.9,267.3,124.8,0.0,0.0,0.0,,124.8,82.7,70.3,0.0,0.0,692.8,890.7,890.7,0.0,0.0,,243.7,0.0,0.0,0.0,0.0,61.6,111.8,1134.4,1827.2,0,902.8,1.6,901.2,-1116.9,1297.8,-38.2,1045.5,0,1045.5,2872.7,
09/30/2016,2942.3,227.4,227.4,0,499.4,499.4,0.0,0,0.0,0.0,0.0,0.0,159.0,,,,159.0,885.8,130.7,,,57.9,57.9,,1867.9,1628.5,1239.5,389.0,239.4,2056.5,,442.5,134.1,14.9,38.5,255.0,124.9,0.0,,,,124.9,74.4,69.6,,0.0,641.8,1001.0,1001.0,,,,248.2,,,,,61.4,117.2,1249.2,1891.0,0,938.1,1.6,936.5,-1130.2,1292.4,-49.0,1051.3,0,1051.3,2942.3,
12/31/2016,2967.3,235.7,235.7,0,515.5,515.5,0.0,0,0.0,0.0,0.0,0.0,148.2,,,,148.2,899.4,145.5,,,56.7,56.7,,1865.7,1625.5,1139.6,485.9,240.2,2067.9,,434.8,140.6,16.9,39.0,238.3,124.9,0.0,,,,124.9,78.5,71.6,,0.0,638.2,1081.1,1081.1,,,,262.2,,,,,72.8,117.8,1343.3,1981.5,0,953.2,1.6,951.6,-1189.9,1283.4,-60.9,985.8,0,985.8,2967.3,
03/31/2017,3242.0,269.5,269.5,0,661.2,661.2,0.0,0,0.0,0.0,0.0,0.0,187.5,,,,187.5,1118.2,169.5,,,60.5,60.5,,1893.8,1645.4,1161.5,483.9,248.4,2123.8,,555.9,191.9,27.9,38.1,298.0,125.0,0.0,,,,125.0,205.0,75.0,,0.0,885.9,1141.6,1141.6,,,,272.2,,,,,70.7,126.5,1413.8,2299.7,0,973.9,1.6,972.3,-1291.8,1320.7,-60.5,942.3,0,942.3,3242.0,
06/30/2017,3149.8,271.1,271.1,0,589.5,589.5,0.0,0,0.0,0.0,0.0,0.0,129.0,0.0,2.7,,102.9,989.6,198.1,567.1,-369.0,63.4,63.4,,1898.7,1645.7,1159.3,486.4,250.3,2160.2,,662.5,167.2,80.2,37.9,377.2,0.0,0.0,0.0,0.0,,0.0,82.4,74.3,0.0,0.0,744.9,1102.1,1102.1,0.0,0.0,,299.0,0.0,0.0,0.0,0.0,82.0,142.7,1401.1,2146.0,0,989.2,1.6,987.6,-1398.9,1469.4,-55.9,1003.8,0,1003.8,3149.8,
09/30/2017,3224.5,288.8,288.8,0,624.4,624.4,0.0,0,0.0,0.0,0.0,0.0,121.1,,,,121.1,1034.3,207.6,,,73.2,73.2,,1909.4,1647.2,1177.3,469.9,262.2,2190.2,,488.3,157.3,31.4,42.5,257.1,0.0,0.0,,,,,121.1,75.4,,0.0,609.4,1292.4,1292.4,,,,284.8,,,,,58.2,151.2,1577.2,2186.6,0,997.3,1.6,995.7,-1399.3,1477.0,-37.1,1037.9,0,1037.9,3224.5,
12/31/2017,3249.9,366.5,366.5,0,575.1,575.1,0.0,0,0.0,0.0,0.0,0.0,109.6,,,,109.6,1051.2,202.5,,,76.0,76.0,,1920.2,1657.2,1193.1,464.1,263.0,2198.7,,506.8,134.3,39.5,42.6,290.4,0.0,0.0,,,,,79.2,83.4,,0.0,586.0,1222.7,1222.7,,,,367.2,,,,,52.5,231.3,1589.9,2175.9,0,1014.2,1.6,1012.6,-1398.0,1496.3,-38.5,1074.0,0,1074.0,3249.9,
03/31/2018,3484.7,352.1,352.1,0,714.1,714.1,0.0,0,0.0,0.0,0.0,0.0,136.8,,,,136.8,1203.0,197.9,,,78.7,78.7,,2005.1,1721.5,1231.3,490.2,283.6,2281.7,,581.9,147.4,22.2,42.8,369.5,0.0,0.0,,,,,185.4,77.5,,0.0,767.3,1203.1,1203.1,,,,352.5,,,,,42.8,232.2,1555.6,2322.9,0,1040.5,1.6,1038.9,-1406.6,1562.5,-34.6,1161.8,0,1161.8,3484.7,
06/30/2018,3304.7,263.9,263.9,0,615.0,615.0,0.0,0,0.0,0.0,0.0,0.0,112.2,0.0,9.2,,112.2,991.1,204.1,596.3,-392.2,80.3,80.3,,2029.2,1749.0,1254.9,494.1,271.0,2313.6,,671.0,191.8,25.3,42.5,411.4,0.0,0.0,0.0,0.0,,,106.3,75.2,0.0,0.0,777.3,1053.4,1053.4,0.0,0.0,,379.7,0.0,0.0,0.0,0.0,57.9,246.6,1433.1,2210.4,0,1050.1,1.6,1048.5,-1630.8,1727.0,-52.0,1094.3,0,1094.3,3304.7,
09/30/2018,3381.7,204.7,204.7,0,650.1,650.1,0.0,0,0.0,0.0,0.0,0.0,113.1,,,,113.1,967.9,192.5,,,88.6,88.6,,2132.7,1728.8,1258.0,470.8,403.9,2413.8,,471.8,128.4,16.6,56.5,270.3,0.0,0.0,,,,,101.5,138.6,,0.0,573.3,1143.7,1143.7,,,,430.7,,,,,84.2,207.9,1574.4,2147.7,0,1070.7,1.6,1069.1,-1623.2,1850.0,-63.5,1234.0,0,1234.0,3381.7,
12/31/2018,3357.6,249.8,249.8,0,607.4,607.4,0.0,0,0.0,0.0,0.0,0.0,109.2,,,,109.2,966.4,187.9,,,85.0,85.0,,2118.3,1699.7,1254.3,445.4,418.6,2391.2,,509.1,137.5,18.3,56.1,297.2,0.0,0.0,,,,,88.8,169.2,,0.0,597.9,1194.1,1194.1,,,,443.0,,,,,74.0,199.8,1637.1,2235.0,0,1089.4,1.6,1087.8,-1741.4,1843.8,-69.2,1122.6,0,1122.6,3357.6,
03/31/2019,3602.1,292.1,292.1,0,792.8,792.8,0.0,0,0.0,0.0,0.0,0.0,110.5,,,,110.5,1195.4,183.4,,,93.7,93.7,,2129.6,1683.7,1256.6,427.1,445.9,2406.7,,610.5,151.9,23.8,56.1,378.7,0.0,0.0,,,,,94.7,158.6,,0.0,705.2,1174.4,1174.4,,,,456.9,,,,,100.9,197.4,1631.3,2336.5,0,1109.2,1.6,1107.6,-1739.2,1959.9,-64.3,1265.6,0,1265.6,3602.1,
06/30/2019,3880.7,273.2,273.2,0,664.0,664.0,0.0,0,0.0,0.0,0.0,0.0,105.1,0.0,5.5,,105.1,1042.3,188.9,612.8,-423.9,100.4,100.4,,2549.1,2056.2,1500.0,556.2,487.4,2838.4,,711.7,133.7,68.9,55.4,453.7,0.0,0.0,0.0,0.0,,,90.9,160.7,0.0,0.0,802.6,1470.4,1470.4,0.0,0.0,,480.2,0.0,0.0,0.0,0.0,86.7,232.8,1950.6,2753.2,0,1110.9,1.6,1109.3,-1999.8,2087.6,-71.2,1127.5,0,1127.5,3880.7,
09/30/2019,4220.1,358.3,358.3,0,600.7,600.7,0.0,0,0.0,0.0,0.0,0.0,136.1,,,,136.1,1095.1,414.3,,,133.2,133.2,,2577.5,2041.9,1495.1,546.8,535.6,3125.0,,518.0,89.6,22.3,61.8,344.3,429.3,0.0,29.9,,29.9,399.4,93.6,154.7,,0.0,1040.9,1583.7,1368.8,214.9,,214.9,452.1,,,,,96.0,201.4,2035.8,3076.7,0,1132.7,1.6,1131.1,-1991.6,2081.8,-79.5,1143.4,0,1143.4,4220.1,
