Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2016,2667.0,2667.0,,0.0,-2319.0,494.0,233.0,261.0,215.0,184.0,1426.0,348.0,12.0,,0.0,,,-12.0,360.0,-37.0,323.0,0.0,0.0,0.0,323.0,0.0,323.0,0.0,0.0,323.0,323.0,0.0,1207.0,0.27,0.27,0.27,1214.0,0.27,0.27,0.27,
12/31/2016,2981.0,2981.0,,0.0,-2521.0,528.0,253.0,275.0,215.0,189.0,1589.0,460.0,9.0,,,,,-9.0,469.0,-79.0,390.0,0.0,0.0,0.0,390.0,0.0,390.0,0.0,0.0,390.0,408.65,18.65,1207.0,0.32,0.32,0.338567,1216.0,0.32,0.32,0.335337,
03/31/2017,2975.0,2975.0,,0.0,-2544.0,503.0,238.0,265.0,214.0,183.0,1644.0,431.0,7.0,,,,,-7.0,438.0,-54.0,384.0,0.0,0.0,0.0,384.0,0.0,384.0,0.0,0.0,384.0,412.301887,28.301887,1203.0,0.32,0.32,0.342728,1216.0,0.32,0.32,0.342728,
06/30/2017,3136.0,3136.0,,0.0,-2706.0,566.0,284.0,282.0,232.0,201.0,1707.0,430.0,17.0,,0.0,,,-17.0,447.0,-36.0,411.0,0.0,0.0,0.0,411.0,0.0,411.0,0.0,0.0,411.0,411.0,0.0,1202.0,0.34,0.34,0.34,1215.0,0.34,0.34,0.34,
09/30/2017,3239.0,3239.0,,0.0,-2816.0,571.0,278.0,293.0,240.0,194.0,1811.0,423.0,28.0,-22.0,1.0,-23.0,,-6.0,451.0,-71.0,380.0,0.0,0.0,0.0,380.0,0.0,380.0,0.0,0.0,380.0,403.0,23.0,1202.0,0.32,0.32,0.335275,1223.0,0.31,0.31,0.328806,
12/31/2017,3744.0,3744.0,,0.0,-2901.0,643.0,328.0,315.0,267.0,227.0,1764.0,843.0,21.0,,,-23.0,0.0,2.0,864.0,-244.0,620.0,0.0,0.0,0.0,620.0,0.0,620.0,0.0,0.0,620.0,879.3,259.3,1203.0,0.52,0.52,0.730923,1228.0,0.5,0.5,0.711156,
03/31/2018,3685.0,3685.0,,0.0,-3151.0,624.0,285.0,339.0,258.0,185.0,2084.0,534.0,14.0,-12.0,16.0,-28.0,,-2.0,548.0,-37.0,511.0,0.0,0.0,0.0,511.0,0.0,511.0,0.0,0.0,511.0,630.204746,119.204746,1192.0,0.43,0.43,0.528695,1217.0,0.42,0.42,0.51795,
06/30/2018,3857.0,3857.0,,0.0,-3285.0,694.0,307.0,387.0,441.0,,2150.0,572.0,37.0,-8.0,19.0,-27.0,,-29.0,609.0,-83.0,526.0,0.0,0.0,0.0,526.0,0.0,526.0,0.0,0.0,526.0,649.64,123.64,1187.0,0.44,0.44,0.547296,1202.0,0.44,0.44,0.542862,
09/30/2018,3683.0,3683.0,,0.0,-3193.0,702.0,325.0,377.0,452.0,188.0,2039.0,490.0,43.0,-39.0,22.0,-61.0,,-4.0,533.0,-97.0,436.0,0.0,0.0,0.0,436.0,0.0,436.0,0.0,0.0,436.0,482.830558,46.830558,1181.0,0.37,0.37,0.408832,1199.0,0.36,0.36,0.399058,
12/31/2018,4226.0,4226.0,,0.0,-3628.0,831.0,401.0,430.0,490.0,,2307.0,598.0,88.0,-32.0,20.0,-52.0,,-56.0,686.0,-102.0,584.0,0.0,0.0,0.0,584.0,0.0,584.0,0.0,0.0,584.0,557.553846,-26.446154,1177.0,0.5,0.5,0.473708,1196.0,0.49,0.49,0.467888,
03/31/2019,4128.0,4128.0,,0.0,-3610.0,748.0,329.0,419.0,511.0,,2351.0,518.0,199.0,-27.0,22.0,-49.0,,-172.0,717.0,-50.0,667.0,0.0,0.0,0.0,667.0,0.0,667.0,0.0,0.0,667.0,613.04661,-53.95339,1171.0,0.57,0.57,0.523524,1188.0,0.56,0.56,0.514585,
06/30/2019,4305.0,4305.0,,0.0,-3600.0,775.0,356.0,419.0,483.0,,2342.0,705.0,238.0,-21.0,27.0,-48.0,,-217.0,943.0,-120.0,823.0,0.0,0.0,0.0,823.0,0.0,823.0,0.0,0.0,823.0,649.448942,-173.551058,1175.0,0.7,0.7,0.552723,1187.0,0.69,0.69,0.54379,
09/30/2019,4378.0,4378.0,,0.0,-3681.0,717.0,316.0,401.0,533.0,,2431.0,697.0,-213.0,-18.0,29.0,-47.0,,231.0,484.0,-22.0,462.0,0.0,0.0,0.0,462.0,0.0,462.0,0.0,0.0,462.0,642.12,180.12,1175.0,0.39,0.39,0.546485,1188.0,0.39,0.39,0.541616,
12/31/2019,4961.0,4961.0,,0.0,-4162.0,872.0,400.0,472.0,558.0,,2732.0,799.0,55.0,-16.0,37.0,-53.0,,-39.0,854.0,-347.0,507.0,0.0,0.0,0.0,507.0,,507.0,0.0,0.0,507.0,693.92894,186.92894,1174.0,0.43,0.43,0.591081,1187.0,0.43,0.43,0.58748,
03/31/2020,4618.0,4618.0,,0.0,-4220.0,857.0,371.0,486.0,605.0,0.0,2758.0,398.0,-135.0,4.0,37.0,-33.0,,131.0,263.0,-179.0,84.0,0.0,0.0,0.0,84.0,,84.0,0.0,0.0,84.0,432.2486,348.2486,1173.0,0.07,0.07,0.368498,1185.0,0.07,0.07,0.363881,
06/30/2020,5261.0,5261.0,,0.0,-4310.0,926.0,414.0,512.0,631.0,,2753.0,951.0,848.0,33.0,55.0,-22.0,,-881.0,1799.0,-269.0,1530.0,0.0,0.0,0.0,1530.0,,1530.0,0.0,0.0,1530.0,917.555256,-612.444744,1173.0,1.3,1.3,0.78223,1184.0,1.29,1.29,0.772732,
09/30/2020,5412.333,,2949.12612837,,,,,,,,,1375.222,,,,,,,1317.714,,711.333,,,,,,711.333,,,711.333,1143.212,,,0.591,0.591,0.938,,0.591,0.591,0.938,
12/31/2020,6109.083,,3329.26696251,,,,,,,,,1521.926,,,,,,,1440.2,,831.958,,,,,,831.958,,,831.958,1281.5,,,0.716,0.716,1.065,,0.716,0.716,1.065,
