Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1997,129.692,77.328,,,-194.215,0.25,-1.029,-570.232,351.294,25.502,50.474,-22.404,0.0,46.591,-0.065,9.438,0.0,16.914,0.0,-14.049,
06/30/1997,111.276,74.59,,,-56.828,0.232,-2.794,-592.801,547.633,-9.098,-52.334,-20.298,0.0,,-7.801,3.262,-54.462,26.965,0.0,2.114,
09/30/1997,127.952,92.974,,,-141.243,0.293,-2.517,-332.398,197.747,-4.368,-61.681,-17.29,0.0,0.0,-20.161,79.89,-124.156,20.036,0.0,-74.972,
12/31/1997,41.144,92.851,,,,,-0.136,,,,,,,,,,,,,,
03/31/1998,146.342,,,,-555.351,0.241,-1.344,-711.911,157.663,,427.424,-20.918,0.0,0.0,-82.236,2.17,0.0,12.394,516.014,18.415,
06/30/1998,47.72,63.142,,,-148.186,0.508,-0.251,-484.726,336.283,,75.593,-21.708,,279.319,-297.834,0.557,,10.122,105.137,-24.873,
09/30/1998,61.697,14.546,,,47.113,580.933,,-932.415,386.872,11.723,-105.582,-21.118,0.0,0.0,-67.461,0.837,0.0,17.208,-35.048,3.228,
03/31/1999,123.954,96.434,27.52,,-49.021,0.023,-1.141,-335.584,287.681,0.0,-69.438,-12.327,0.0,57.63,-6.783,0.901,-111.494,2.635,0.0,5.495,
06/30/1999,70.466,35.246,,,-51.845,6.563,-4.092,-586.505,532.189,,-13.289,-12.017,0.0,,-19.985,0.304,-9.094,27.503,0.0,5.332,
09/30/1999,102.441002,73.311996,29.129,,,,-0.988,,,,,,,,,,,,,,
12/31/1999,216.752,68.964,147.788,,,,-2.273,,,,,,,,,,,,,,
03/31/2000,143.529,88.882,54.647,,-68.651,0.134,-0.749,-204.215,136.179,0.0,-78.845,-12.479,0.0,0.0,-11.848,0.515,-57.638,2.605,0.0,-3.967,
06/30/2000,106.535,83.294,23.241,,10.886,0.082,-4.275,-116.583,131.662,0.0,-110.947,-11.213,0.0,0.0,-65.387,0.292,-37.984,3.345,0.0,6.474,
09/30/2000,133.79,97.736,36.054,,-80.456,0.128,-1.345,-527.602,448.363,0.0,-58.114,-11.302,0.0,0.0,-32.191,0.138,-17.974,3.215,0.0,-4.78,
12/31/2000,148.92,92.123,56.797,,-105.487,0.922,-0.139,-289.111,182.841,0.0,-20.512,-11.428,0.0,14.036,0.0,8.941,-33.412,1.351,0.0,22.921,
03/31/2001,205.768,96.398,109.37,,-175.371,0.303,-1.208,-553.945,379.479,0.0,-59.634,-11.377,0.0,0.0,-29.043,1.074,-15.132,-5.156,0.0,-29.237,
06/30/2001,38.068,73.174,-35.106,,,,-0.768,,,,,,,,,,,,,,
09/30/2001,256.075,103.815,152.26,,,,-0.809,,,,,,,,,,,,,,
12/31/2001,162.502,83.126,79.376,,-154.713,0.393,-0.907,-366.939,212.74,,-11.622,-11.235,,177.771,-135.363,144.971,-185.027,-2.739,,-3.833,
03/31/2002,199.773,98.154,,,-185.391,0.015,-0.622,-384.63,249.354,-49.508,-13.571,-11.062,0.0,37.836,-0.075,2.643,-40.37,-2.543,0.0,0.811,
06/30/2002,91.141,62.712,,,51.192,0.009,-0.463,-252.087,254.225,49.508,-143.79,-10.994,0.0,,-59.231,0.857,-80.707,6.285,0.0,-1.457,
09/30/2002,218.09,117.375,100.715,,,,-0.647,,,,,,,,,,,,,,
12/31/2002,136.96,105.192,31.768,,,,-0.71,,,,,,,,,,,,,0.0,
03/31/2003,222.81,100.633,,,-183.346,0.021,-0.571,-325.988,129.174,14.018,6.613,-10.645,,12.935,0.0,0.674,-76.787,40.218,40.218,46.077,
06/30/2003,164.41,109.592,-122.177,,-71.129,0.004,-1.071,-297.278,224.913,2.303,-41.642,-10.44,0.0,0.0,-80.952,2.494,-60.62,53.938,53.938,51.639,
09/30/2003,172.175,107.882,363.465,,-172.459,0.92,-1.016,-433.711,271.066,-9.718,-94.117,-10.32,-30.537,,,2.084,-61.751,32.546,,-94.401,
12/31/2003,181.079,112.034,69.045,,,,-2.598,,,,,,,,,,,,,,
03/31/2004,213.503,112.351,101.152,,-199.603,0.108,-1.151,-400.697,202.137,0.0,-6.64,-12.403,40.861,0.0,0.0,12.144,-61.386,0.0,14.144,7.26,
06/30/2004,181.947,116.561,-101.152,,-39.619,0.021,-0.839,-222.086,155.687,27.598,-157.152,-12.305,-40.861,0.0,-28.121,6.317,-99.04,0.0,16.858,-14.824,
09/30/2004,204.16,124.132,0.0,,-98.921,0.269,-0.779,-273.397,198.802,-23.816,-106.251,-12.113,0.0,0.0,-21.394,1.435,-83.615,40.438,-31.002,-1.012,
12/31/2004,167.49,115.511,51.889,,-161.057,0.002,-1.231,-366.42,180.774,25.818,0.143,-11.979,37.515,0.0,0.0,6.204,-41.259,50.1,-40.438,6.576,
03/31/2005,261.1,117.8,143.3,,-130.3,0.0,-0.8,-272.1,188.8,-46.2,-132.6,-11.9,50.5,0.0,0.0,1.0,-172.5,0.3,0.0,-1.8,
06/30/2005,198.258,132.365,65.893,,-78.571,0.306,-0.902,-132.613,72.19,-17.552,-116.871,-11.512,-7.597,0.0,0.0,215.069,-317.781,4.95,0.0,2.816,
09/30/2005,220.884,119.046,101.838,,-174.992,0.034,-0.61,-333.309,141.904,16.989,-51.958,-11.519,10.361,0.0,0.0,0.082,-51.972,1.09,0.0,-6.066,
12/31/2005,177.215,126.136,51.079,,-115.095,0.0,-1.048,-226.935,154.612,-41.724,-48.424,-11.415,-21.965,0.0,0.0,1.106,-12.693,-3.457,0.0,13.696,
03/31/2006,210.124,120.274,89.85,,-122.707,0.295,-1.37,-289.079,196.31,-28.863,-100.372,-11.395,88.072,0.0,0.0,10.004,-177.735,-9.318,0.0,-12.955,
06/30/2006,222.061,127.375,94.686,,-275.151,0.542,-3.932,-395.82,146.796,-22.737,59.443,-11.064,-178.487,365.419,0.0,5.725,-105.506,-16.644,0.0,6.353,
09/30/2006,244.683,128.544,116.139,,-119.963,0.056,-1.171,-248.786,122.719,7.219,-112.25,-12.861,90.415,0.0,-149.358,4.169,-45.045,0.43,0.0,12.47,
12/31/2006,188.433,142.438,45.995,,-2.78,5.418,-1.192,-402.656,351.732,43.918,-194.102,-12.775,-31.917,0.0,-188.94,4.625,-16.575,51.194,0.286,-8.449,
03/31/2007,246.908,135.191,111.717,,-112.811,1.6,-2.969,-550.685,550.721,-111.478,-150.485,-12.757,-16.874,0.0,0.0,42.648,-209.683,46.181,0.0,-16.388,
06/30/2007,186.399,127.117,59.282,,-157.986,2.266,-5.654,-949.301,743.286,51.417,-14.646,-12.44,110.591,0.0,0.0,2.184,-133.569,14.385,4.203,13.767,
09/30/2007,221.614,132.882,88.732,,-39.206,1.777,-8.287,-233.331,250.009,-49.374,-187.433,-12.194,-59.307,0.0,0.0,1.154,-104.415,-15.138,2.467,-5.025,
12/31/2007,195.076,132.345,62.731,,-192.593,0.446,-7.252,-350.483,187.562,-22.866,8.545,-12.19,-2.088,0.0,0.0,3.11,-4.124,27.772,-3.935,11.028,
03/31/2008,232.933,118.173,114.76,,-184.662,0.153,-4.385,-432.84,237.587,14.823,-60.425,-11.765,39.041,0.0,0.0,2.381,-147.541,57.461,-0.002,-12.154,
06/30/2008,190.425,133.726,56.699,,1.932,0.47,-2.246,-246.331,257.878,-7.839,-182.077,-12.57,-116.697,0.0,0.0,8.574,-98.475,37.693,-0.602,10.28,
09/30/2008,190.523,63.151,127.372,,-185.141,0.145,-1.974,-268.45,121.16,-36.022,-7.111,-12.367,121.461,0.0,0.0,18.058,-133.267,6.439,-7.435,-1.729,
12/31/2008,116.73,137.209,-20.479,,-64.377,0.018,-1.195,-189.941,104.547,22.194,-22.448,-12.1,58.373,0.0,0.0,0.078,-76.453,10.418,-2.764,29.905,
03/31/2009,218.382,76.706,,,-184.187,0.0,-2.084,-394.428,229.092,-16.767,-33.91,-11.858,-30.852,0.0,0.0,0.749,-47.564,55.615,0.0,0.285,
06/30/2009,141.977,,,,-178.404,0.011,-1.173,-587.331,368.402,41.687,329.35,-11.584,-35.804,296.308,0.0,0.0,0.0,80.43,0.0,292.923,
09/30/2009,228.392,100.8,-169.535,,-363.172,0.024,-1.679,-585.547,250.664,-26.634,-33.308,-11.582,-4.57,0.0,-99.05,1.778,0.0,78.062,2.054,-168.088,
12/31/2009,387.362,113.329,,579.875,-211.336,0.0,-1.598,-994.489,821.422,-36.671,-115.628,-11.591,0.298,0.0,-0.401,2.156,0.0,-102.102,-3.988,60.398,
03/31/2010,303.282,121.676,,,-425.233,0.0,-0.324,-680.97,266.395,-10.334,-70.028,-12.425,-33.382,0.0,0.0,1.673,-13.485,-10.775,-1.634,-191.979,
06/30/2010,398.703,126.049,272.654,,-88.778,0.0,-1.894,-384.292,311.663,-14.255,-95.442,-12.41,0.527,0.0,-8.913,0.364,-63.405,-12.48,0.875,214.483,
09/30/2010,42.969,114.531,-272.654,,-181.974,0.0,-0.619,-267.492,62.305,23.832,-82.951,-12.226,-11.587,0.0,0.0,3.887,-70.911,11.38,-3.494,-221.956,
12/31/2010,283.639,154.808,,,138.344,0.077,-6.344,-604.053,458.941,289.723,-88.77,-13.0,10.01,0.0,0.0,35.394,-98.205,-19.652,-3.317,333.213,
03/31/2011,300.047,100.141,199.906,,-175.597,0.037,-0.761,-289.581,118.736,-4.028,-206.456,-12.508,1.56,0.0,0.0,50.836,-235.913,-6.976,-3.455,-82.006,
06/30/2011,152.686,142.781,9.905,,89.246,2.718,-0.638,-416.577,519.719,-15.976,-435.375,-12.28,-0.58,0.0,0.0,10.587,-428.431,-6.771,2.1,-193.443,
09/30/2011,231.749,131.4,100.349,,-34.249,0.057,-1.528,-142.01,119.073,-9.841,-111.77,-12.1,25.817,0.0,0.0,8.242,-125.943,-8.195,0.409,85.73,
12/31/2011,174.982,122.839,52.143,,-191.533,0.277,-2.459,-313.871,120.235,4.285,-75.296,-12.237,-0.83,0.0,0.0,106.069,-182.269,17.437,-3.466,-91.847,
03/31/2012,284.047,118.677,165.37,,-195.415,0.019,-0.479,-269.759,84.976,-10.172,-94.443,-12.087,0.042,0.0,0.0,103.712,-189.949,6.415,-2.576,-5.811,
06/30/2012,163.084,128.988,,,-60.469,0.038,-2.202,-259.249,202.319,-1.375,-110.251,-14.898,94.945,0.0,0.0,9.817,-199.694,-1.324,0.903,-7.636,
09/30/2012,250.537,130.672,,,-152.772,,-1.176,-600.828,487.642,-38.41,130.4,-14.308,-94.041,275.0,0.0,39.43,-76.456,6.05,-5.275,228.165,
12/31/2012,245.171,150.987,94.184,,-289.383,0.0,-0.811,-400.386,317.022,-205.208,-192.909,-14.234,-0.701,0.0,-123.711,50.665,-104.066,-2.618,1.756,-237.121,
03/31/2013,290.374,119.632,170.742,,-267.846,0.2,-0.855,-426.287,211.021,-51.925,-58.982,-14.136,49.825,0.0,0.0,37.288,-129.239,-6.705,3.985,-36.454,
06/30/2013,202.107,133.901,,,-48.749,0.047,-1.392,-283.651,248.303,-12.056,-133.677,-15.78,-20.028,0.0,0.0,25.853,-117.025,-6.836,0.139,19.681,
09/30/2013,278.522,132.122,,,-71.708,0.31,-2.117,-142.14,86.71,-14.471,-212.959,-15.571,-121.007,0.0,0.0,24.65,-96.416,-3.193,-1.422,-6.145,
12/31/2013,348.277,142.817,-493.772,699.232,-226.075,0.013,-6.804,-299.22,96.647,-16.711,-124.051,-15.424,95.193,0.0,-94.05,31.34,-139.584,-5.074,3.548,-1.849,
03/31/2014,274.85,132.856,141.994,,-175.538,0.0,-5.075,-193.624,39.105,-15.944,-96.239,-15.219,35.848,0.0,0.0,18.32,-125.635,-17.181,7.628,3.073,
06/30/2014,144.533,130.923,13.61,,-26.35,0.019,-4.931,-112.558,97.206,-6.086,-112.396,-16.761,10.026,,,27.793,-112.678,-15.923,-4.853,5.787,
09/30/2014,488.794,132.412,356.382,,-94.942,0.035,-4.476,-212.087,138.835,-17.249,-108.878,-16.648,15.478,0.0,0.0,5.928,-103.771,-16.327,6.462,284.974,
12/31/2014,-43.469,146.748,-891.09,,-53.333,8.698,-4.885,-148.938,108.596,-16.804,-167.956,-16.378,-52.024,0.0,0.0,22.777,-107.224,-20.361,5.254,-264.758,
03/31/2015,279.729,121.648,158.081,,-244.327,0.0,-6.08,-370.431,139.049,-6.865,-98.335,-16.21,20.523,0.0,0.0,16.775,-110.619,-15.558,6.754,-62.933,
06/30/2015,174.392,127.11,47.282,,-112.307,0.0,-7.869,-193.987,89.658,-0.109,-2.322,-17.096,128.447,0.0,0.0,15.721,-100.948,-27.257,-1.189,59.763,
09/30/2015,275.771,145.386,130.385,,-123.294,0.0,-16.714,-229.347,142.871,-20.104,-155.841,-16.911,-18.755,0.0,0.0,15.702,-118.499,-26.373,8.995,-3.364,
12/31/2015,390.158,132.956,-492.167,,-153.422,0.0,-6.294,-368.087,235.112,-14.153,-234.838,-16.682,-128.237,0.0,0.0,5.337,-88.46,-26.605,19.809,1.898,
03/31/2016,340.738,124.033,,,-334.974,0.0,-3.879,-382.131,58.961,-7.925,-54.389,-16.524,66.899,0.0,0.0,3.763,-85.089,-17.641,-5.797,-48.625,
06/30/2016,264.197,138.429,,,-212.506,0.0,-2.861,-293.806,86.207,-2.046,-14.771,-16.954,-21.889,400.0,-250.0,21.523,-117.886,-20.552,-9.013,36.92,
09/30/2016,366.991,151.869,,,-171.54,0.767,-3.398,-261.18,98.332,-6.061,-140.229,-16.78,-19.744,0.0,0.0,21.767,-108.381,-18.995,1.904,55.222,
12/31/2016,426.782,135.448,291.334,0.0,-343.416,0.0,-15.701,-646.167,334.504,-16.052,-112.103,-16.673,-3.042,0.0,0.0,14.276,-93.428,-14.803,1.567,-28.737,
03/31/2017,460.756,133.541,,,-410.738,0.018,-3.978,-512.873,111.97,-5.875,-64.427,-16.503,61.919,,0.0,22.225,-113.719,-21.174,2.825,-14.409,
06/30/2017,278.3,140.273,,,-95.842,0.0,-4.102,-195.986,107.246,-3.0,-146.56,-17.59,-21.373,,-0.625,5.745,-90.037,-23.12,0.44,35.898,
09/30/2017,346.786,153.334,,,-226.366,0.0,-5.371,-365.964,149.946,-4.977,-129.61,-17.439,2.106,0.0,-0.625,12.921,-97.692,-21.618,-7.263,-9.19,
12/31/2017,343.216,1027.0,0.346,,-193.878,0.0,-6.834,-371.467,190.461,-6.038,-119.237,-17.299,18.44,125.0,-125.625,20.324,-111.541,-25.02,-3.516,30.101,
03/31/2018,382.389,173.6,,,-313.877,0.0,-11.966,-368.412,74.019,-7.518,-98.46,-17.194,36.464,,-0.625,13.569,-109.954,-25.603,4.883,-29.948,
06/30/2018,-24.364,184.425,,,-95.364,0.017,-6.769,-186.226,105.797,-8.183,-145.152,-18.212,13.749,,-21.25,7.783,-96.635,-33.059,2.472,-264.88,
09/30/2018,320.769,178.724,,,-680.606,0.0,-8.581,-767.78,99.129,-3.374,355.046,-18.075,-57.409,550.0,-8.047,13.713,-91.725,-28.899,-4.512,-4.791,
12/31/2018,598.853,164.717,,,193.624,1.97,-17.776,,213.759,-4.329,-490.395,-17.94,-15.523,0.0,-297.84,1.026,-123.435,-39.43,2.747,302.082,
03/31/2019,423.285,185.345,,,-305.762,0.0,-7.015,-511.943,223.25,-10.054,-171.207,-17.696,-14.095,,-1.25,11.592,-110.896,-37.136,-1.726,-53.684,
06/30/2019,-51.374,186.566,,,-50.594,0.015,-14.639,-284.651,252.543,-3.862,-190.781,-18.956,-37.55,,-1.875,28.006,-119.201,-37.081,-4.124,-292.749,
09/30/2019,658.264,201.818,,,-212.211,0.017,-8.395,-391.984,191.059,-2.908,-153.971,-18.841,-24.764,0.0,-1.875,17.975,-104.372,-21.409,-0.685,292.082,
12/31/2019,333.699,187.061,,,-240.744,0.0,-12.154,-479.133,257.612,-7.069,-83.697,-18.695,64.799,0.0,-1.875,25.59,-125.1,-25.803,-2.613,9.258,
03/31/2020,343.554,165.54,,,-311.675,0.013,-9.316,-499.607,217.978,-20.743,-17.442,-18.588,158.764,,-1.875,16.808,-166.729,-19.651,13.829,14.437,
06/30/2020,425.748,173.048,,,-648.982,0.005,-10.829,-716.974,81.122,-2.306,246.895,-19.953,1.156,300.0,-2.5,0.717,0.0,-25.222,-7.303,23.661,
