Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2014,5047,1032,1032,0,243,243,0,186,,,,,130,15.0,66.0,130,1591,3223,3604.0,-381.0,0,,233,46.0,,,,,106,3456,,378,173,,,205,37,0,,,37.0,213,,64.0,,15,628,1973,1973,,,394,,,330,2367,2995,0.0,2629,1.0,2628.0,0.0,-632,53,2050,2.0,2052,5047,
12/31/2014,11232,1870,1870,0,270,270,0,208,,,,,326,0.0,20.0,312,2674,3255,3685.0,-430.0,0,,5303,38.0,0.0,38.0,,,5245,8558,,453,216,0.0,0.0,237,31,0,,,31.0,197,0.0,0.0,277.0,177,681,7075,7075,,,453,0.0,85.0,91,7528,8209,387.0,3352,1.0,3351.0,0.0,-736,20,3023,0.0,3023,11232,
03/31/2015,11215,1734,1734,0,268,268,0,224,,,,,431,,32.0,347,2657,3227,3698.0,-471.0,0,,5331,33.0,,33.0,,,5266,8558,,630,248,,,382,8,0,,,8.0,182,,66.0,,3,820,7077,7077,,,483,,,417,7560,8380,400.0,3333,1.0,3332.0,0.0,-916,19,2836,-1.0,2835,11215,
06/30/2015,12149,711,711,0,439,439,0,523,,,,,424,,22.0,324,2097,8666,9309.0,-643.0,0,,1386,941.0,837.0,104.0,,199.0,224,10052,,604,351,,,253,52,0,,,52.0,290,,63.0,,-24,946,7079,7079,,,805,,,742,7884,8830,400.0,3436,1.0,3435.0,0.0,-528,14,3322,-3.0,3319,12149,
09/30/2015,12157,934,934,0,436,436,0,531,,,,,366,,54.0,249,2267,8485,9269.0,-784.0,0,,1405,900.0,818.0,82.0,,189.0,262,9890,,680,315,,,365,71,0,,,71.0,259,,,26.0,192,1010,7208,7208,,,758,,,732,7966,8976,400.0,3310,1.0,3309.0,0.0,-552,24,3182,-1.0,3181,12157,
12/31/2015,11459,505,505,0,402,402,0,597,,,,,428,0.0,,310,1932,8347,9235.0,-888.0,0,,1180,859.0,797.0,62.0,5.0,190.0,126,9527,,491,292,,,199,80,0,0.0,0.0,80.0,238,0.0,7.0,29.0,30,809,7129,7129,0.0,0.0,602,0.0,106.0,460,7731,8540,400.0,3188,1.0,3187.0,,-686,19,2921,-2.0,2919,11459,
03/31/2016,11708,821,821,0,339,339,0,579,,,,,542,,,313,2281,8242,9301.0,-1059.0,0,,1185,841.0,797.0,44.0,,185.0,159,9427,,522,243,,,279,108,0,,,108.0,233,,52.0,44.0,42,863,7304,7304,,,634,,,538,7938,8801,400.0,3187,1.0,3186.0,0.0,-696,18,2909,-2.0,2907,11708,
06/30/2016,13162,1142,1142,0,392,392,0,520,,,,,387,,,297,2441,7588,8718.0,-1130.0,0,,3133,833.0,799.0,34.0,,185.0,2115,10721,,481,286,,,195,141,0,,,141.0,127,,6.0,38.0,11,749,9365,9365,,,584,,,540,9949,10698,400.0,3548,1.0,3547.0,0.0,-1497,17,2468,-4.0,2464,13162,
09/30/2016,13024,1458,1458,0,374,374,0,447,,,,,360,,,360,2639,7252,8522.0,-1270.0,0,,3133,827.0,799.0,28.0,,173.0,2133,10385,,574,263,,,311,167,0,,,167.0,170,,2.0,36.0,170,911,9356,9356,,,550,,,512,9906,10817,400.0,3542,1.0,3541.0,,-1746,15,2211,-4.0,2207,13024,
12/31/2016,13053,1776,1776,0,386,386,0,445,,,,,380,0.0,427.0,234,2987,7121,8579.0,-1458.0,0,,2945,822.0,799.0,23.0,7.0,,1689,10066,,546,332,,,214,201,0,0.0,0.0,201.0,169,0.0,1.0,5.0,29,916,8778,8778,0.0,0.0,1320,0.0,123.0,1191,10098,11014,400.0,3548,1.0,3547.0,,-1927,21,2042,-3.0,2039,13053,
03/31/2017,13080,467,467,0,394,394,0,513,,,,,317,,,154,1691,9719,11373.0,-1654.0,0,,1670,862.0,799.0,63.0,,149.0,659,11389,,629,287,,,342,117,0,,,117.0,158,,29.0,35.0,65,904,9200,9200,,,554,,,490,9754,10658,400.0,3322,1.0,3321.0,,-1330,34,2426,-4.0,2422,13080,
06/30/2017,12759,447,447,0,441,441,0,477,,,,,225,,,107,1590,9485,11319.0,-1834.0,0,,1684,857.0,799.0,58.0,,150.0,677,11169,,640,370,,,270,106,0,,,106.0,157,,32.0,30.0,65,903,9211,9211,,,526,,,464,9737,10640,400.0,3321,1.0,3320.0,,-1626,28,2123,-4.0,2119,12759,
09/30/2017,12007,613,613,0,478,478,0,429,,,,,184,,,97,1704,8929,10918.0,-1989.0,0,,1374,821.0,772.0,49.0,,154.0,399,10303,,635,288,57.0,,290,99,0,,,99.0,133,,25.0,18.0,78,867,8648,8648,,,508,,,465,9156,10023,400.0,3321,1.0,3320.0,,-1758,26,1989,-5.0,1984,12007,
12/31/2017,11771,365,365,0,513,513,0,445,,,,,201,0.0,,158,1524,8884,11068.0,-2184.0,0,,1363,811.0,772.0,39.0,0.0,123.0,429,10247,,655,367,64.0,,224,105,0,0.0,0.0,105.0,289,0.0,10.0,7.0,37,1049,8328,8328,0.0,0.0,501,0.0,99.0,385,8829,9878,0.0,3720,1.0,3719.0,,-1851,32,1901,-8.0,1893,11771,
