Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,585.5,591.099,-5.599,-270.905,167.41,103.495,314.595,0.0,-34.979,34.979,6.27,28.709,0.0,279.616,144.186,,42.249,,,,-186.435,423.802,-164.556,12.028,152.528,,259.246,0.0,0.0,0.0,259.246,0.0,259.246,0.0,0.0,259.246,146.728,-112.518,398.631,0.65,0.65,0.36808,403.919,0.64,0.64,0.361434,
09/30/2011,576.634,565.523,11.111,-272.693,170.715,101.978,303.941,0.0,-33.029,33.029,6.416,26.613,0.0,270.912,172.408,,37.617,,,,-210.025,443.32,-167.65,-5.331,172.981,,275.67,0.0,0.0,0.0,275.67,0.0,275.67,0.0,0.0,275.67,148.208,-127.462,399.04,0.69,0.69,0.371411,403.311,0.68,0.68,0.363961,
12/31/2011,619.401,606.337,13.064,-282.967,172.838,110.129,336.434,0.0,-58.893,35.942,8.058,27.884,22.951,277.541,-197.672,,35.717,,,,161.955,79.869,-27.262,2.4,24.862,,52.607,0.0,0.0,0.0,52.607,0.0,52.607,0.0,0.0,52.607,170.359914,117.752914,389.034,0.14,0.14,0.437905,393.163,0.13,0.13,0.429502,
03/31/2012,639.106,633.501,5.605,-308.758,187.863,120.895,330.348,0.0,-64.737,47.437,10.83,36.607,17.3,265.611,-86.299,,36.314,,,,49.985,179.312,-65.845,28.708,37.137,,113.467,0.0,0.0,0.0,113.467,0.0,113.467,0.0,0.0,113.467,153.36725,39.90025,386.367,0.29,0.29,0.396947,390.943,0.29,0.29,0.392062,
06/30/2012,604.724,592.141,12.583,-296.674,164.385,132.289,308.05,0.0,-47.259,47.044,12.218,34.826,0.215,260.791,82.01,,41.604,,,,-123.614,342.801,-130.936,0.784,130.152,,211.865,0.0,0.0,0.0,211.865,0.0,211.865,0.0,0.0,211.865,129.53706,-82.32794,387.159,0.55,0.55,0.334583,390.702,0.54,0.54,0.329282,
09/30/2012,601.585,588.156,13.429,-308.608,171.673,136.935,292.977,0.0,-52.926,52.926,14.728,38.198,0.0,240.051,-100.672,,37.827,,,,62.845,139.379,-54.012,4.342,49.67,,85.367,0.0,0.0,0.0,85.367,0.0,85.367,0.0,0.0,85.367,127.465,42.098,387.512,0.22,0.22,0.328932,390.909,0.22,0.22,0.327693,
12/31/2012,608.785,596.069,12.716,-300.567,183.148,117.419,308.218,0.0,-49.448,49.448,15.06,34.388,0.0,258.77,-63.405,,37.836,,,,25.569,195.365,-80.704,41.92,38.784,,114.661,0.0,0.0,0.0,114.661,0.0,114.661,0.0,0.0,114.661,137.732408,23.071408,379.815,0.3,0.3,0.36263,383.231,0.3,0.3,0.360202,
03/31/2013,580.211,573.653,6.558,-295.173,182.275,112.898,285.038,0.0,-51.685,51.685,9.796,41.889,0.0,233.353,-91.418,,36.034,,,,55.384,141.935,-54.364,10.519,43.845,,87.571,0.0,0.0,0.0,87.571,0.0,87.571,0.0,0.0,87.571,123.4,35.829,369.396,0.24,0.24,0.334059,372.867,0.23,0.23,0.326091,
06/30/2013,644.75,638.188,6.562,-395.824,268.917,126.907,248.926,0.0,-46.714,46.714,13.332,33.382,0.0,202.212,9.094,,30.602,,,,-39.696,211.306,-81.326,-3.171,84.497,,129.98,0.0,0.0,0.0,129.98,0.0,129.98,0.0,0.0,129.98,102.449029,-27.530971,368.85,0.35,0.35,0.277753,371.969,0.35,0.35,0.275986,
09/30/2013,672.88,666.803,6.077,-359.949,234.354,125.595,312.931,0.0,-49.1,49.1,13.131,35.969,0.0,263.831,-104.466,,34.501,,,,69.965,159.365,-57.311,16.019,41.292,,102.054,0.0,0.0,0.0,102.054,0.0,102.054,0.0,0.0,102.054,151.121701,49.067701,366.088,0.28,0.28,0.412802,369.142,0.28,0.28,0.412802,
12/31/2013,595.681,587.59,8.091,-382.718,238.175,144.543,212.963,0.0,-46.958,46.958,12.987,33.971,0.0,166.005,-36.231,,39.572,,,,-3.341,129.774,-39.782,-13.11,52.892,,89.992,0.0,0.0,0.0,89.992,0.0,89.992,0.0,0.0,89.992,88.22492,-1.76708,362.378,0.25,0.25,0.243461,365.608,0.25,0.25,0.243461,
03/31/2014,607.438,623.846,-16.408,-362.659,221.529,141.13,244.779,0.0,-60.479,60.479,16.786,43.693,0.0,184.3,-91.197,,48.834,,,,42.363,93.103,-34.793,4.618,30.175,,58.31,0.0,0.0,0.0,58.31,0.0,58.31,0.0,0.0,58.31,89.0,30.69,350.747,0.17,0.17,0.253744,352.925,0.17,0.17,0.253744,
06/30/2014,618.679,657.029,-38.35,-367.854,219.69,148.164,250.825,0.0,-57.101,57.101,18.149,38.952,0.0,193.724,-281.788,,46.55,,,,235.238,-88.064,32.864,-4.3,-28.564,,-55.2,0.0,0.0,0.0,-55.2,0.0,-55.2,0.0,0.0,-55.2,92.674,147.874,347.803,-0.16,-0.16,0.266455,347.803,-0.16,-0.16,0.265166,
09/30/2014,608.469,622.005,-13.536,-353.158,206.598,146.56,255.311,0.0,-55.694,55.694,15.328,40.366,0.0,199.617,236.701,,44.752,,,,-281.453,436.318,-167.57,0.214,167.356,,268.748,0.0,0.0,0.0,268.748,0.0,268.748,0.0,0.0,268.748,96.897696,-171.850304,348.454,0.77,0.77,0.278079,350.918,0.77,0.77,0.278079,
12/31/2014,583.951,469.593,114.358,-351.783,194.665,157.118,232.168,0.0,-49.448,49.448,14.116,35.332,0.0,182.72,398.48,,42.867,,,,-441.347,581.2,-217.567,-43.439,261.006,,363.633,0.0,0.0,0.0,363.633,0.0,363.633,0.0,0.0,363.633,91.29886,-272.33414,348.869,1.04,1.04,0.2617,350.627,1.04,1.04,0.2617,
03/31/2015,452.907,297.47,155.437,-318.668,168.71,149.958,134.239,0.0,-204.165,57.965,11.685,46.28,146.2,-69.926,-102.281,,40.099,,,,62.182,-172.207,64.461,1.575,-66.036,,-107.746,0.0,0.0,0.0,-107.746,0.0,-107.746,0.0,0.0,-107.746,23.439,131.185,350.688,-0.31,-0.31,0.066837,350.688,-0.31,-0.31,0.064079,
06/30/2015,498.194,366.891,131.303,-314.61,166.67,147.94,183.584,0.0,-1757.962,52.162,14.215,37.947,1705.8,-1574.378,-210.289,,39.863,,,,170.426,-1784.667,636.168,-1.696,-634.472,,-1148.499,0.0,0.0,0.0,-1148.499,0.0,-1148.499,0.0,0.0,-1148.499,46.905,1195.404,350.039,-3.28,-3.28,0.133999,350.039,-3.28,-3.28,0.133999,
