Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/29/2013,1496.845,639.156,639.156,0.0,160.746,160.746,0.0,319.459,54.851,,,5.191,44.899,1174.212,258.021,436.683,-178.662,0.0,64.612,40.546,14.005,26.541,18.875,322.633,,209.14,104.647,33.244,,71.249,0.0,0.0,,,,0.0,,,15.288,0.0,209.14,0.0,0.0,,,,87.189,,,,,,71.901,87.189,296.329,0.0,454.707,0.0,454.707,0.0,751.249,-5.44,1200.516,0.0,1200.516,1496.845,
09/28/2013,1707.774,618.841,618.841,0.0,205.343,205.343,0.0,404.194,117.563,,,7.777,108.055,1345.941,284.58,480.809,-196.229,0.0,77.253,50.321,14.005,36.316,19.155,361.833,,215.94,119.42,7.588,,88.932,0.0,0.0,,,,2.258,,,19.01,0.0,218.198,0.0,0.0,,,,103.279,,,,,,84.269,103.279,321.477,0.0,490.941,0.0,490.941,0.0,897.057,-1.701,1386.297,0.0,1386.297,1707.774,
12/28/2013,2006.963,828.341,828.341,0.0,253.752,253.752,0.0,431.564,86.572,,,9.633,75.511,1600.229,321.542,536.74,-215.198,0.0,85.192,56.103,14.005,42.098,19.456,406.734,,272.469,145.363,11.645,,115.461,0.0,0.0,,,,2.784,,,20.014,0.0,275.253,0.0,0.0,,,,107.76,,,,,,87.746,107.76,383.013,0.0,503.639,0.0,503.639,-2.447,1126.7,-3.942,1623.95,0.0,1623.95,2006.963,
03/29/2014,2216.973,971.194,971.194,0.0,286.704,286.704,0.0,426.938,92.333,29.683,0.0,3.662,32.099,1777.169,350.678,585.059,-234.381,0.0,89.126,62.039,14.005,48.034,23.425,439.804,,306.495,143.563,64.706,0.0,98.226,0.0,0.0,0.0,0.0,,1.875,0.0,0.0,5.887,0.0,308.37,0.0,0.0,0.0,0.0,,102.472,0.0,,,,,96.585,102.472,410.842,0.0,527.213,0.0,527.213,-2.447,1287.738,-6.373,1806.131,0.0,1806.131,2216.973,
06/28/2014,2462.359,1125.037,1125.037,0.0,218.851,218.851,0.0,527.254,93.6,,,3.662,64.805,1964.742,404.018,663.544,-259.526,0.0,93.599,64.607,14.005,50.602,25.33,497.617,,321.637,140.34,63.631,,117.666,0.0,0.0,,,,0.992,,,3.478,0.0,322.629,0.0,0.0,,,,110.376,,,,,,106.898,110.376,433.005,0.0,559.226,0.0,559.226,-3.484,1475.454,-1.842,2029.354,0.0,2029.354,2462.359,
09/27/2014,2689.43,1012.393,1012.393,0.0,316.386,316.386,0.0,619.296,185.298,,,6.423,145.49,2133.373,453.836,736.923,-283.087,0.0,102.221,67.283,14.005,53.278,28.515,556.057,,325.48,179.079,19.361,,127.04,0.0,0.0,,,,0.385,,,3.905,0.0,325.865,0.0,0.0,,,,118.436,,,,,,114.531,118.436,444.301,0.0,586.588,0.0,586.588,-3.484,1682.444,-20.419,2245.129,0.0,2245.129,2689.43,
12/27/2014,2630.588,949.846,949.846,0.0,326.779,326.779,0.0,537.501,169.193,,,3.74,133.746,1983.319,532.304,842.927,-310.623,0.0,114.965,77.649,14.005,63.644,33.576,647.269,,360.846,175.197,29.757,,155.892,0.0,0.0,,,,0.476,,,0.145,0.0,361.322,0.0,0.0,,,,117.781,,,,,,117.636,117.781,479.103,0.0,610.938,0.0,610.938,-405.702,1986.119,-39.87,2151.485,0.0,2151.485,2630.588,
03/28/2015,2684.628,978.922,978.922,0.0,351.656,351.656,0.0,519.908,139.206,72.318,0.0,22.958,41.884,1989.692,562.934,900.689,-337.755,0.0,132.002,75.546,14.005,61.541,33.498,694.936,,325.74,142.818,45.709,0.0,137.213,0.0,0.0,0.0,0.0,,0.6,0.0,0.0,6.966,0.0,326.34,0.0,0.0,0.0,0.0,,117.323,0.0,,,,,110.357,117.323,443.663,0.0,636.732,0.0,636.732,-497.724,2168.761,-66.804,2240.965,0.0,2240.965,2684.628,
06/27/2015,2556.668,808.54,808.54,0.0,239.274,239.274,0.0,606.45,159.587,79.343,,4.627,43.102,1813.851,624.194,993.954,-369.76,0.0,118.623,82.904,14.005,68.899,31.092,742.817,,335.258,172.123,52.889,,110.246,0.0,0.0,,,,3.742,,,13.769,0.0,339.0,0.0,0.0,,,,128.479,,,,,,114.71,128.479,467.479,0.0,662.516,0.0,662.516,-848.819,2343.116,-67.624,2089.189,0.0,2089.189,2556.668,
09/26/2015,2419.96,431.541,431.541,0.0,314.551,314.551,0.0,713.731,164.412,67.014,,10.779,66.902,1624.235,672.409,1078.444,-406.035,0.0,123.316,95.46,26.215,69.245,17.077,795.725,,376.602,199.152,46.876,,130.574,5.416,5.416,,,,5.123,,,16.277,0.0,387.141,4.123,4.123,,,,139.96,,,,,,123.683,144.083,531.224,0.0,677.705,0.0,677.705,-1248.818,2536.252,-81.148,1883.991,4.745,1888.736,2419.96,
12/26/2015,2534.217,696.823,696.823,0.0,267.37,267.37,0.0,588.295,109.183,36.069,,24.019,69.706,1661.671,739.863,1177.961,-438.098,0.0,132.683,89.578,23.215,66.363,19.086,872.546,,421.809,190.74,79.07,,151.999,0.0,0.0,,,,1.261,,,4.269,0.0,423.07,3.977,3.977,,,,127.247,,,,,,122.978,131.224,554.294,0.0,692.758,0.0,692.758,-1450.114,2830.81,-97.915,1975.539,4.384,1979.923,2534.217,
04/02/2016,2566.8,702.0,702.0,0.0,298.4,298.4,0.0,546.8,122.6,85.1,0.0,24.5,37.4,1669.8,758.2,1249.1,-490.9,0.0,138.8,90.6,23.2,67.4,23.7,897.0,,430.0,131.4,89.8,0.0,208.8,0.0,0.0,0.0,0.0,,5.5,0.0,0.0,3.5,0.0,435.5,2.3,2.3,0.0,0.0,,129.5,0.0,,,,,126.0,131.8,567.3,0.0,718.9,0.0,718.9,-1650.1,3007.8,-80.9,1995.7,3.8,1999.5,2566.8,
07/02/2016,2690.7,337.1,337.1,0.0,195.2,195.2,0.0,606.9,116.9,,,16.9,115.5,1256.1,798.7,1334.3,-535.6,0.0,635.9,586.5,122.2,464.3,32.5,1434.6,,451.7,167.4,91.9,,192.4,248.6,248.6,,,,1.6,,,88.5,0.0,701.9,0.0,0.0,,,,231.1,,,,,,142.6,231.1,933.0,0.0,732.5,0.0,732.5,-2054.5,3154.9,-78.3,1754.6,3.1,1757.7,2690.7,
10/01/2016,2755.3,186.4,186.4,0.0,267.2,267.2,0.0,695.7,166.8,,,19.0,166.3,1316.1,801.0,1386.1,-585.1,0.0,638.2,583.1,119.7,463.4,36.1,1439.2,,445.5,179.7,82.0,,183.8,384.4,384.4,,,,2.4,,,88.6,0.0,832.3,0.0,0.0,,,,239.7,,,,,,151.1,239.7,1072.0,0.0,749.3,0.0,749.3,-2304.8,3315.8,-79.8,1680.5,2.8,1683.3,2755.3,
12/31/2016,2771.0,368.8,368.8,0.0,221.8,221.8,0.0,586.2,190.9,108.4,,20.8,73.0,1367.7,771.0,1390.6,-619.6,0.0,632.3,573.4,119.7,453.7,38.1,1403.3,,523.7,214.0,101.3,,208.4,147.8,147.8,,,,0.3,,,89.0,0.0,671.8,0.0,0.0,,,,244.7,,,,,,155.7,244.7,916.5,0.0,760.0,0.0,760.0,-2404.9,3587.1,-90.1,1852.1,2.4,1854.5,2771.0,
04/01/2017,2409.6,227.7,227.7,0.0,253.9,253.9,0.0,549.3,133.8,78.3,0.0,73.3,50.8,1164.7,591.5,1425.4,-833.9,0.0,653.4,537.8,119.7,418.1,42.3,1244.9,,432.3,176.3,89.5,0.0,166.5,133.1,133.1,0.0,0.0,,0.4,0.0,0.0,80.0,0.0,565.8,0.0,0.0,0.0,0.0,,248.8,0.0,,,,,168.8,248.8,814.6,0.0,767.8,0.0,767.8,-2654.9,3560.3,-80.6,1592.6,2.4,1595.0,2409.6,
07/01/2017,2413.0,273.7,273.7,0.0,163.2,163.2,0.0,616.1,132.0,86.9,,67.2,45.0,1185.0,585.5,1470.9,-885.4,0.0,642.5,534.0,119.7,414.3,41.3,1228.0,,417.4,153.4,102.8,,161.2,155.8,155.8,,,,7.8,,,79.2,0.0,581.0,0.0,0.0,,,,250.7,,,,,,171.5,250.7,831.7,0.0,778.7,0.0,778.7,-2815.2,3685.6,-68.2,1580.9,0.4,1581.3,2413.0,
09/30/2017,2531.7,178.2,178.2,0.0,255.5,255.5,0.0,696.5,200.5,107.1,,69.2,56.6,1330.7,562.7,1496.6,-933.9,0.0,638.3,525.4,119.7,405.7,43.7,1201.0,,463.4,174.0,102.1,,187.3,0.0,0.0,,,,11.3,,,78.7,0.0,474.7,0.0,0.0,,,,251.8,,,,,,173.1,251.8,726.5,0.0,791.9,0.0,791.9,-2815.8,3888.5,-59.6,1805.0,0.2,1805.2,2531.7,
12/30/2017,4216.8,317.1,317.1,0.0,257.0,257.0,,677.2,193.3,119.0,,64.7,74.3,1444.6,599.4,1569.3,-969.9,0.0,2172.8,2037.4,822.0,1215.4,70.7,2772.2,,712.5,290.2,140.7,,281.6,0.1,0.1,,,,9.5,,,217.0,0.0,722.1,992.4,992.4,,,,422.0,,,,,,205.0,1414.4,2136.5,0.0,803.3,0.0,803.3,-2815.9,4107.9,-18.4,2076.9,3.4,2080.3,4216.8,
03/31/2018,4059.0,163.0,163.0,0.0,274.0,274.0,0.0,661.0,164.0,102.0,0.0,56.0,62.0,1262.0,583.0,1585.0,-1002.0,0.0,2214.0,2084.0,848.0,1236.0,74.0,2797.0,,701.0,294.0,132.0,0.0,275.0,200.0,200.0,0.0,0.0,,59.0,0.0,0.0,186.0,59.0,960.0,675.0,675.0,0.0,0.0,,402.0,0.0,,,,,216.0,1077.0,2037.0,0.0,831.0,0.0,831.0,-3016.0,4152.0,51.0,2018.0,4.0,2022.0,4059.0,
06/30/2018,3960.8,169.9,169.9,0.0,246.3,246.3,0.0,697.0,181.0,102.8,,46.2,74.4,1294.2,560.7,1568.3,-1007.6,0.0,2105.9,1984.3,806.2,1178.1,75.4,2666.6,,592.2,279.3,97.1,,215.8,266.9,266.9,,,,86.6,,,182.5,83.3,945.7,554.2,554.2,,,,419.4,,,,,,236.9,973.6,1919.3,0.0,850.1,0.0,850.1,-3121.8,4350.1,-40.5,2037.9,3.6,2041.5,3960.8,
09/29/2018,4107.3,155.2,155.2,0.0,305.8,305.8,0.0,767.6,245.5,150.6,,47.1,90.6,1474.1,552.0,1594.3,-1042.3,0.0,2081.2,1955.5,796.9,1158.6,78.6,2633.2,,625.0,290.5,84.7,,249.8,255.0,255.0,,,,117.9,,,181.5,81.1,997.9,504.6,504.6,,,,421.5,,,,,,240.0,926.1,1924.0,0.0,877.9,0.0,877.9,-3123.0,4487.7,-62.9,2179.7,3.6,2183.3,4107.3,
12/29/2018,6028.4,264.5,264.5,0.0,256.7,256.7,0.0,764.7,2153.6,137.8,,47.2,2010.5,3439.5,543.6,1626.6,-1083.0,0.0,2045.3,1912.9,780.0,1132.9,85.2,2588.9,,703.7,329.0,85.7,,289.0,579.4,579.4,,,,104.3,,,181.6,100.8,1387.4,1954.7,1954.7,,,,419.2,,,,,,237.6,2373.9,3761.3,0.0,892.4,0.0,892.4,-3223.1,4687.3,-92.9,2263.7,3.4,2267.1,6028.4,
03/30/2019,6650.0,172.0,172.0,0.0,360.0,360.0,0.0,953.0,244.0,164.0,0.0,112.0,80.0,1729.0,615.0,1730.0,-1115.0,0.0,4306.0,3952.0,1659.0,2293.0,242.0,4921.0,,828.0,371.0,81.0,0.0,376.0,630.0,630.0,0.0,0.0,,84.0,0.0,0.0,438.0,84.0,1542.0,1936.0,1936.0,0.0,0.0,,736.0,0.0,0.0,0.0,0.0,0.0,298.0,2672.0,4214.0,0.0,1011.0,0.0,1011.0,-3223.0,4707.0,-66.0,2429.0,7.0,2436.0,6650.0,
06/29/2019,8308.0,160.0,160.0,0.0,294.0,294.0,0.0,1016.0,240.0,154.0,,149.0,86.0,1710.0,2326.0,3495.0,-1169.0,0.0,4272.0,3902.0,1652.0,2250.0,221.0,6598.0,,697.0,355.0,97.0,,245.0,898.0,514.0,384.0,,384.0,73.0,,,431.0,73.0,1668.0,3671.0,1917.0,1754.0,,1754.0,641.0,,,,,,210.0,4312.0,5980.0,0.0,1039.0,0.0,1039.0,-3225.0,4600.0,-93.0,2321.0,7.0,2328.0,8308.0,
09/28/2019,8393.0,179.0,179.0,0.0,342.0,342.0,0.0,1073.0,301.0,187.0,,160.0,107.0,1895.0,2260.0,3465.0,-1205.0,0.0,4238.0,3769.0,1598.0,2171.0,309.0,6498.0,,731.0,390.0,87.0,,254.0,1006.0,603.0,403.0,,403.0,66.0,,,440.0,66.0,1803.0,3562.0,1796.0,1766.0,,1766.0,616.0,,,,,,176.0,4178.0,5981.0,0.0,1060.0,0.0,1060.0,-3225.0,4673.0,-103.0,2405.0,7.0,2412.0,8393.0,
12/28/2019,8325.0,237.0,237.0,0.0,290.0,290.0,0.0,960.0,294.0,189.0,,165.0,105.0,1781.0,2261.0,3521.0,-1260.0,0.0,4283.0,3906.0,1681.0,2225.0,212.0,6544.0,,780.0,375.0,125.0,,280.0,1437.0,1031.0,406.0,,406.0,88.0,,,440.0,88.0,2305.0,2836.0,1085.0,1751.0,,1751.0,573.0,,,,,,133.0,3409.0,5714.0,0.0,1080.0,0.0,1080.0,-3325.0,4883.0,-29.0,2609.0,2.0,2611.0,8325.0,
03/28/2020,7946.0,592.0,592.0,0.0,294.0,294.0,0.0,827.0,181.0,133.0,0.0,225.0,48.0,1894.0,2186.0,3496.0,-1310.0,0.0,3866.0,3474.0,1488.0,1986.0,167.0,6052.0,,739.0,428.0,80.0,0.0,231.0,597.0,167.0,430.0,0.0,430.0,65.0,0.0,0.0,465.0,65.0,1401.0,3770.0,2012.0,1758.0,0.0,1758.0,607.0,0.0,0.0,0.0,0.0,0.0,142.0,4377.0,5778.0,0.0,1085.0,0.0,1085.0,-3325.0,4332.0,75.0,2167.0,1.0,2168.0,7946.0,
06/27/2020,7533.0,207.0,207.0,0.0,162.0,162.0,0.0,948.0,172.0,110.0,,226.0,62.0,1489.0,2182.0,3525.0,-1343.0,0.0,3862.0,3467.0,1490.0,1977.0,169.0,6044.0,,899.0,596.0,85.0,,218.0,622.0,191.0,431.0,,431.0,68.0,,,465.0,68.0,1589.0,3328.0,1577.0,1751.0,,1751.0,609.0,,,,,,144.0,3937.0,5526.0,0.0,1109.0,0.0,1109.0,-3326.0,4152.0,71.0,2006.0,1.0,2007.0,7533.0,
