Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/2007,82.687,55.937,12.905,12.167,6.938,0.651,4.578,1.678,-3.679,-10.544,15.901,,-12.092,-12.816,0.0,,,-12.816,,,0.0,0.0,0.0,,,,,0.724,-81.075,0.0,-31.957,,,,-48.57,32.947,-81.517,-0.548,,-10.48,,
06/30/2007,104.022,59.909,13.096,7.639,,-1.963,9.602,23.378,8.815,-0.713,15.276,,-192.2,-14.491,0.0,,,-14.491,,,0.0,0.0,0.0,,,,,-177.709,-45.413,0.0,17.914,,,,-66.145,8.837,-74.982,2.818,,-133.591,,
09/29/2007,80.184,53.283,13.684,-5.733,,-0.887,-4.846,18.95,9.727,-11.216,20.439,,42.057,-17.716,0.0,,,-17.716,,,0.0,0.0,0.0,,,,,59.773,26.83,0.0,21.097,,,,3.847,28.097,-24.25,1.886,,149.071,,
12/31/2007,103.614,98.943,13.632,32.339,,8.145,24.194,-41.3,-41.31,16.105,-16.095,,-77.771,-15.319,0.0,,,-15.319,,,0.0,0.0,0.0,,,,,-62.452,-19.775,0.0,-26.339,,,,18.646,38.545,-19.899,-12.082,,6.068,,
03/29/2008,95.928,68.475,13.747,13.665,7.453,-2.325,8.537,0.041,18.225,-18.585,0.401,,23.411,-14.302,0.0,,,-14.302,,,0.0,0.0,0.0,,,,,37.713,-16.112,0.0,45.125,,,,-58.33,18.428,-76.758,-2.907,,103.227,,
06/28/2008,107.36,83.148,25.04,-1.662,,-11.048,9.386,0.834,3.939,-15.099,11.994,,39.696,-18.272,0.0,,,-18.272,,,0.0,0.0,0.0,,,,,57.968,-16.935,0.0,54.719,,,,-73.591,3.987,-77.578,1.937,,130.121,,
09/27/2008,102.742,71.503,13.678,14.12,,-0.94,15.06,3.441,6.091,-8.822,6.172,,-19.486,-16.504,0.0,,,-16.504,,,0.0,0.0,0.0,,,,,-2.982,-21.337,0.0,43.468,,,,-48.224,8.494,-56.718,-16.581,,61.919,,
12/31/2008,112.218,99.353,12.806,25.881,,-5.313,31.194,-25.822,-6.516,21.888,-41.194,,-24.81,-19.987,0.0,,,-19.987,,,0.0,0.0,0.0,,,,,-4.823,-551.486,0.0,-491.368,,,,-22.04,4.406,-26.446,-38.078,,-464.078,,
04/04/2009,80.688,73.347,14.411,2.05,7.348,-1.977,-3.321,-9.12,5.542,-17.792,3.13,0.0,-101.361,-22.156,0.0,0.0,0.0,-22.156,-22.156,0.0,0.0,0.0,0.0,-36.086,0.0,-36.086,0.0,-43.119,-14.033,0.0,48.04,0.0,94.764,-46.724,-62.902,0.944,-63.846,0.829,-5.663,-40.369,,
07/04/2009,93.146,69.907,14.496,20.278,7.158,6.984,6.136,-11.535,-7.387,-0.792,-3.356,0.0,-139.715,-35.598,0.0,0.0,0.0,-35.598,-35.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.117,8.158,0.0,42.697,0.0,48.861,-6.164,-42.028,3.011,-45.039,7.489,8.703,-29.708,,
10/03/2009,124.57,75.936,13.665,3.644,7.251,-3.311,-0.296,31.325,13.915,-0.035,17.445,0.0,-63.14,-22.645,0.0,0.0,0.0,-22.645,-22.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.495,-34.052,0.0,13.894,0.0,25.399,-11.505,-44.123,4.204,-48.327,-3.823,4.594,31.972,,
12/31/2009,119.859,104.123,14.7,37.726,6.498,34.58,-3.352,-36.69,-28.975,11.796,-19.511,0.0,-114.812,-13.397,0.0,0.0,0.0,-13.397,-13.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.415,-50.353,0.0,-12.878,0.0,15.285,-28.163,-38.142,16.023,-54.165,0.667,-4.0,-49.306,,
04/03/2010,103.155,75.518,14.985,2.243,6.031,-1.95,-1.838,10.409,-6.23,-16.134,32.773,0.0,-116.187,-10.165,0.0,0.0,0.0,-10.165,-10.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.022,-18.479,0.0,80.61,0.0,213.273,-132.663,-93.985,11.034,-105.019,-5.104,-12.588,-44.099,,
07/03/2010,111.672,84.922,15.301,3.669,6.283,-2.064,-0.55,7.78,-6.622,-9.035,23.437,0.0,-59.485,-11.064,0.0,0.0,0.0,-11.064,-11.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.421,-21.678,0.0,44.476,0.0,55.265,-10.789,-62.793,12.011,-74.804,-3.361,-16.637,13.872,,
10/02/2010,108.942,94.719,15.232,15.343,6.244,-0.655,9.754,-16.352,-7.861,-10.602,2.111,0.0,-156.765,-26.048,0.0,0.0,0.0,-26.048,-26.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.717,-18.732,0.0,35.385,0.0,46.578,-11.193,-56.116,8.954,-65.07,1.999,18.463,-48.092,,
12/31/2010,134.087,126.604,17.04,8.75,6.294,-10.368,12.824,-18.307,-22.573,-1.265,5.531,0.0,-79.078,-15.463,0.0,0.0,0.0,-15.463,-15.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.615,-1.363,0.0,-26.188,,,,27.995,79.394,-51.399,-3.17,-7.94,45.706,,
04/02/2011,122.761,94.489,16.16,12.437,7.015,-1.479,6.901,-0.325,17.73,-17.353,-0.702,0.0,-121.107,-16.839,0.0,0.0,0.0,-16.839,-16.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.268,-27.25,0.0,24.291,,,,-53.264,19.915,-73.179,1.723,13.958,-11.638,,
07/02/2011,97.218,100.075,17.285,5.632,6.748,-2.213,1.097,-25.774,-10.539,-18.698,3.463,0.0,-53.007,-18.433,0.0,0.0,0.0,-18.433,-18.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.574,2.523,0.0,45.83,,,,-42.336,38.305,-80.641,-0.971,1.32,48.054,,
10/01/2011,127.333,101.257,16.6,6.007,6.882,-3.38,2.505,3.469,2.849,-10.184,10.804,0.0,-20.6,-16.072,0.0,0.0,0.0,-16.072,-16.072,0.0,0.0,0.0,0.0,-11.0,0.0,-11.0,0.0,6.472,-13.226,0.0,135.402,,,,-141.382,2.783,-144.165,-7.246,-14.495,79.012,,
12/31/2011,150.062,137.147,16.342,0.084,6.934,1.248,-8.098,-3.511,-22.568,37.528,-18.471,0.0,-161.262,-34.092,0.0,0.0,0.0,-34.092,-34.092,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,0.0,-127.07,-22.469,0.0,19.254,,,,-41.461,31.389,-72.85,-0.262,-6.267,-39.936,,
03/31/2012,111.198,88.666,14.569,7.891,7.267,-4.83,5.454,0.072,16.012,-18.057,2.117,0.0,-62.954,-15.534,0.0,0.0,0.0,-15.534,-15.534,0.0,0.0,0.0,0.0,-18.414,0.0,-18.414,0.0,-29.006,-11.995,0.0,32.052,,,,-48.022,20.057,-68.079,3.975,6.947,43.196,,
06/30/2012,105.076,97.724,16.034,8.956,7.114,-2.317,4.159,-17.638,-10.083,-11.27,3.715,0.0,-127.727,-31.386,0.0,0.0,0.0,-31.386,-31.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.341,-24.542,0.0,77.738,,,,-98.78,4.46,-103.24,-3.5,-10.564,-57.757,,
09/29/2012,101.353,99.109,20.622,0.821,7.306,-2.235,-4.25,-19.199,-0.423,-7.231,-11.545,0.0,-108.17,-26.128,0.0,0.0,0.0,-26.128,-26.128,0.0,0.0,0.0,0.0,-12.602,0.0,-12.602,0.0,-69.44,-16.859,0.0,46.349,,,,-63.135,0.828,-63.963,-0.073,10.54,-13.136,,
12/31/2012,131.653,175.944,17.606,-52.328,7.496,-42.837,-16.987,-9.569,-45.342,25.628,10.145,0.0,2.457,-31.701,0.0,0.0,0.0,-31.701,-31.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.158,-13.139,0.0,30.078,,,,-46.504,14.092,-60.596,3.287,3.771,124.742,,
03/30/2013,127.798,121.059,18.262,3.839,7.431,-0.991,-2.601,-15.362,16.499,-12.84,-19.021,0.0,-90.453,-30.637,0.0,0.0,0.0,-30.637,-30.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.816,-34.581,0.0,55.451,,,,-90.726,10.641,-101.367,0.694,-11.751,-8.987,,
06/29/2013,109.022,89.314,19.422,1.702,7.876,-3.181,-2.993,-1.416,9.467,-7.982,-2.901,0.0,-107.51,-30.639,0.0,0.0,0.0,-30.639,-30.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.871,-18.495,0.0,34.677,,,,-54.549,15.163,-69.712,1.377,-0.02,-17.003,,
09/28/2013,104.765,98.048,20.571,-5.844,8.678,-7.009,-7.513,-8.01,-3.381,-9.96,5.331,0.0,-131.403,-31.54,0.0,0.0,0.0,-31.54,-31.54,0.0,0.0,0.0,0.0,-26.434,0.0,-26.434,0.0,-73.429,-8.981,0.0,25.852,,,,-36.589,18.53,-55.119,1.756,11.575,-24.044,,
12/31/2013,143.291,141.582,21.44,16.685,7.723,11.35,-2.388,-36.416,-57.818,19.393,2.009,0.0,-135.363,-25.634,0.0,0.0,0.0,-25.634,-25.634,0.0,0.0,0.0,0.0,-14.961,0.0,-14.961,0.0,-94.768,-2.531,0.0,29.585,,,,-34.916,40.466,-75.382,2.8,4.398,9.795,,
03/29/2014,115.755,70.302,20.342,4.27,8.129,-2.218,-1.641,20.841,30.147,-24.163,14.857,0.0,-119.949,-21.395,0.0,0.0,0.0,-21.395,-21.395,0.0,0.0,0.0,0.0,-3.615,0.0,-3.615,0.0,-94.939,-40.299,0.0,8.758,,,,-48.743,43.829,-92.572,-0.314,-0.921,-45.414,,
06/28/2014,106.332,96.529,20.782,-11.72,8.224,-5.694,-14.25,0.741,-1.277,-7.395,9.413,0.0,-53.812,-22.756,0.0,0.0,0.0,-22.756,-22.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.056,-25.374,0.0,61.299,,,,-86.887,5.713,-92.6,0.214,6.163,33.309,,
09/27/2014,127.839,113.497,29.426,1.446,8.107,-1.239,-5.422,-16.53,-5.282,-5.254,-5.994,0.0,-148.663,-26.286,0.0,0.0,0.0,-26.286,-26.286,0.0,0.0,0.0,0.0,-20.057,0.0,-20.057,0.0,-102.32,-39.111,0.0,36.603,,,,-74.048,2.35,-76.398,-1.666,-11.788,-71.723,,
12/31/2014,161.722,151.292,23.681,47.125,8.538,10.734,27.853,-60.376,-53.023,20.828,-28.181,0.0,-79.606,-19.122,1.563,1.563,0.0,-20.685,-20.685,0.0,0.0,0.0,0.0,-3.336,0.0,-3.336,0.0,-57.148,-2.437,0.0,35.237,,,,-38.214,37.66,-75.874,0.54,-14.47,65.209,,
04/04/2015,154.59,96.061,22.549,15.759,8.455,2.828,4.476,20.221,24.961,-20.001,15.261,0.0,-56.446,-21.41,0.0,0.0,0.0,-21.41,-21.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.036,-60.274,0.0,20.073,,,,-76.999,14.026,-91.025,-3.348,-19.249,18.621,,
07/04/2015,112.959,105.657,22.589,5.301,8.155,-2.286,-0.568,-20.588,-9.119,-7.677,-3.792,0.0,-208.062,-23.883,0.0,0.0,0.0,-23.883,-23.883,0.0,0.0,0.0,0.0,-9.408,0.0,-9.408,0.0,-174.771,11.722,0.0,74.981,,,,-63.493,16.44,-79.933,0.234,8.458,-74.923,,
10/03/2015,139.093,116.281,21.757,-8.227,8.347,1.279,-17.853,9.282,-8.955,-7.81,26.047,0.0,-30.001,-21.803,5.154,,,-26.957,-26.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.198,-9.366,0.0,69.879,,,,-79.982,4.171,-84.153,0.737,-6.083,93.643,,
12/31/2015,153.651,151.054,23.092,33.149,8.411,4.76,19.978,-53.644,-56.775,15.521,-12.39,0.0,-105.23,-27.762,0.0,0.0,0.0,-27.762,-27.762,0.0,0.0,0.0,0.0,-14.086,0.0,-14.086,0.0,-63.382,-11.676,0.0,40.146,,,,-49.216,30.378,-79.594,-2.606,-8.598,28.147,,
04/02/2016,161.505,94.052,23.431,23.265,17.46,3.74,2.065,20.757,38.254,-20.488,2.991,0.0,-197.823,-24.652,0.0,0.0,0.0,-24.652,-24.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.171,-39.016,0.0,50.177,,,,-87.298,8.191,-95.489,-1.895,4.056,-71.278,,
07/02/2016,155.4,128.217,24.646,7.466,6.777,-3.103,3.792,-4.929,-5.936,-4.515,5.522,0.0,-69.848,-25.044,0.0,0.0,0.0,-25.044,-25.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.804,-25.885,0.0,39.761,,,,-58.305,18.598,-76.903,-7.341,-12.672,46.995,,
10/01/2016,152.112,124.856,24.287,22.155,21.281,4.287,-3.413,-19.186,7.153,-14.985,-11.354,0.0,-171.003,-18.6,4.0,,,-22.6,-22.6,0.0,0.0,0.0,0.0,-5.654,0.0,-5.654,0.0,-146.749,-14.827,0.0,24.916,,,,-37.749,31.783,-69.532,-1.994,0.545,-33.173,,
12/31/2016,173.903,174.378,24.085,9.57,9.324,-3.72,3.966,-34.13,-71.192,19.841,17.221,0.0,-49.244,-22.671,0.0,,,-22.671,-22.671,0.0,0.0,0.0,0.0,0.045,0.0,0.045,0.0,-26.618,-35.973,0.0,45.121,,,,-80.218,3.617,-83.835,-0.876,-13.264,75.422,,
04/01/2017,174.209,105.557,22.95,24.578,8.655,6.168,9.755,21.124,35.11,-10.473,-3.513,0.0,-97.049,-17.711,0.0,0.0,0.0,-17.711,-17.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.338,-12.364,0.0,39.988,,,,-50.914,38.259,-89.173,-1.438,14.017,78.813,,
07/01/2017,177.051,131.822,29.455,4.576,9.139,-0.96,-3.603,11.198,6.835,-8.696,13.059,0.0,-196.803,-17.647,0.0,0.0,0.0,-17.647,-17.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.156,-9.922,0.0,44.948,,,,-56.738,19.923,-76.661,1.868,12.485,-17.189,,
09/30/2017,154.196,136.104,25.844,4.107,12.274,-2.162,-6.005,-11.859,11.413,-7.048,-16.224,0.0,-110.136,-19.899,0.0,0.0,0.0,-19.899,-19.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.237,-17.208,0.0,45.19,,,,-65.269,14.639,-79.908,2.871,9.7,36.552,,
