Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2008,1224.834,,,,0.0,-756.478,726.428,247.838,,,30.05,468.356,-23.296,,36.525,,,,,-13.229,445.06,-205.618,239.442,,,,239.442,0.0,239.442,0.0,0.0,239.442,239.442,,1295.72,0.185,0.185,0.188,1304.04,0.184,0.184,0.187,
03/31/2009,1156.0,1156.0,,,0.0,-595.0,564.0,116.0,448.0,31.0,0.0,561.0,-11.0,19.0,36.0,-17.0,-17.0,,,9.0,550.0,-183.0,367.0,0.0,0.0,0.0,367.0,,367.0,0.0,-3.0,364.0,376.2681,12.2681,1300.0,0.281,0.281,0.289437,1300.0,0.28,0.28,0.289437,
06/30/2009,1280.0,1280.0,,,0.0,-723.0,687.0,180.0,507.0,36.0,0.0,557.0,-21.0,18.0,32.0,-14.0,-14.0,,,17.0,536.0,-187.0,349.0,0.0,0.0,0.0,349.0,0.0,349.0,0.0,0.0,349.0,381.9628,32.9628,1300.0,0.267,0.267,0.293818,1300.0,0.267,0.267,0.292356,
09/30/2009,1364.0,1364.0,,,0.0,-691.0,649.0,174.0,475.0,36.0,6.0,673.0,0.0,13.0,24.0,-11.0,-11.0,,,-2.0,673.0,-221.0,452.0,0.0,0.0,0.0,452.0,0.0,452.0,0.0,0.0,452.0,466.56705,14.56705,1300.0,0.346,0.346,0.358898,1300.0,0.345,0.345,0.356205,
12/31/2009,1299.0,1299.0,,,0.0,-831.0,793.0,286.0,507.0,38.0,0.0,468.0,-10.0,9.0,23.0,-14.0,-16.0,,,17.0,458.0,-164.0,294.0,0.0,0.0,0.0,294.0,0.0,294.0,0.0,0.0,294.0,318.09095,24.09095,1300.0,0.226154,0.226154,0.244685,1300.0,0.226154,0.226154,0.244685,
03/31/2010,1308.0,1308.0,,,0.0,-608.0,573.0,115.0,458.0,35.0,0.0,700.0,-5.0,5.0,15.0,-10.0,-10.0,,,10.0,695.0,-240.0,455.0,0.0,0.0,0.0,455.0,0.0,455.0,0.0,-2.0,453.0,453.0,0.0,1300.0,0.347,0.347,0.347,1310.0,0.346,0.346,0.346,
06/30/2010,1365.0,1365.0,,,0.0,-648.0,613.0,180.0,433.0,35.0,0.0,717.0,-4.0,4.0,17.0,-13.0,-13.0,,,13.0,713.0,-255.0,458.0,0.0,0.0,0.0,458.0,0.0,458.0,0.0,0.0,458.0,458.0,0.0,1310.0,0.35,0.35,0.35,1310.0,0.349,0.349,0.349,
09/30/2010,1428.0,1428.0,,,0.0,-662.0,626.0,182.0,444.0,36.0,0.0,766.0,1.0,1.0,11.0,-10.0,-11.0,,,9.0,767.0,-248.0,519.0,0.0,0.0,0.0,519.0,-1.0,518.0,0.0,0.0,518.0,517.35,-0.65,1310.0,0.396,0.396,0.394924,1310.0,0.394,0.394,0.393504,
12/31/2010,1438.0,1438.0,,,0.0,-869.0,827.0,305.0,522.0,42.0,0.0,569.0,13.0,,9.0,,-23.0,,,1.0,582.0,-167.0,415.0,0.0,0.0,0.0,415.0,0.0,415.0,0.0,0.0,415.0,417.6,2.6,1310.0,0.317,0.317,0.318779,1310.0,0.316,0.316,0.317985,
03/31/2011,1501.0,1501.0,,,0.0,-665.0,623.0,129.0,494.0,42.0,0.0,836.0,0.0,-2.0,10.0,-12.0,-12.0,,,14.0,836.0,-274.0,562.0,0.0,0.0,0.0,562.0,0.0,562.0,0.0,0.0,562.0,562.0,0.0,1300.0,0.431,0.431,0.431,1310.0,0.429,0.429,0.429,
06/30/2011,1667.0,1667.0,,,0.0,-782.0,733.0,193.0,540.0,49.0,0.0,885.0,7.0,-9.0,2.0,-11.0,-11.0,,,13.0,892.0,-284.0,608.0,0.0,0.0,0.0,608.0,0.0,608.0,0.0,0.0,608.0,608.65,0.65,1270.0,0.477,0.477,0.479252,1280.0,0.476,0.476,0.476508,
09/30/2011,1818.0,1818.0,,,0.0,-816.0,765.0,200.0,565.0,51.0,0.0,1002.0,28.0,-5.0,6.0,-11.0,-17.0,,,-6.0,1030.0,-314.0,716.0,0.0,0.0,0.0,716.0,1.0,717.0,0.0,0.0,717.0,713.75,-3.25,1270.0,0.565,0.565,0.562008,1270.0,0.563,0.563,0.560441,
12/31/2011,1728.0,1728.0,,,0.0,-1738.0,916.0,319.0,597.0,52.0,770.0,-10.0,-2.0,-4.0,7.0,-11.0,-12.0,,,18.0,-12.0,30.0,18.0,0.0,0.0,0.0,18.0,1.0,19.0,0.0,0.0,19.0,513.35,494.35,1270.0,0.014961,0.014961,0.404213,1270.0,0.014961,0.014961,0.404213,
03/31/2012,1758.0,1758.0,,,0.0,-758.0,704.0,125.0,579.0,54.0,0.0,1000.0,0.0,-3.0,6.0,-9.0,-9.0,,,12.0,1000.0,-318.0,682.0,0.0,0.0,0.0,682.0,,682.0,0.0,0.0,682.0,682.0,0.0,1270.0,0.538,0.538,0.538,1270.0,0.536,0.536,0.536,
06/30/2012,1820.0,1820.0,,,0.0,-846.0,770.0,179.0,591.0,56.0,20.0,974.0,-1.0,-6.0,3.0,-9.0,-9.0,,,16.0,973.0,-273.0,700.0,0.0,0.0,0.0,700.0,,700.0,0.0,0.0,700.0,713.0,13.0,1260.0,0.556,0.556,0.565873,1260.0,0.555,0.555,0.565318,
09/30/2012,1918.0,1918.0,,,0.0,-854.0,796.0,176.0,620.0,58.0,0.0,1064.0,2.0,-5.0,4.0,-9.0,-9.0,,,12.0,1066.0,-294.0,772.0,0.0,0.0,0.0,772.0,,772.0,0.0,0.0,772.0,772.0,0.0,1250.0,0.619,0.619,0.619,1250.0,0.617,0.617,0.617,
12/31/2012,1895.0,1895.0,,,0.0,-996.0,934.0,295.0,639.0,62.0,0.0,899.0,-5.0,-2.0,7.0,-9.0,-10.0,,,17.0,894.0,-289.0,605.0,0.0,0.0,0.0,605.0,,605.0,0.0,0.0,605.0,604.35,-0.65,1240.0,0.49,0.49,0.487379,1246.0,0.49,0.49,0.487379,
03/31/2013,1906.0,1906.0,,,0.0,-799.0,737.0,129.0,608.0,62.0,0.0,1107.0,-5.0,-3.0,5.0,-8.0,-8.0,-1.0,,17.0,1102.0,-336.0,766.0,0.0,0.0,0.0,766.0,,766.0,0.0,0.0,766.0,766.0,0.0,1226.0,0.62,0.62,0.62,1230.0,0.62,0.62,0.62,
06/30/2013,2096.0,2096.0,,,0.0,-868.0,807.0,186.0,621.0,61.0,0.0,1228.0,5.0,-6.0,5.0,-11.0,-11.0,-12.0,,24.0,1233.0,-385.0,848.0,0.0,0.0,0.0,848.0,,848.0,0.0,0.0,848.0,848.0,0.0,1214.0,0.7,0.7,0.7,1217.0,0.7,0.7,0.7,
09/30/2013,2218.0,2218.0,,,0.0,-970.0,906.0,205.0,701.0,64.0,0.0,1248.0,6.0,,,-3.0,-11.0,14.0,,-6.0,1254.0,-375.0,879.0,0.0,0.0,0.0,879.0,,879.0,0.0,0.0,879.0,879.0,0.0,1205.0,0.73,0.73,0.73,1209.0,0.73,0.73,0.73,
12/31/2013,2126.0,2126.0,,,0.0,-1206.0,1040.0,321.0,719.0,71.0,95.0,920.0,-9.0,-1.0,7.0,-8.0,-8.0,,0.0,18.0,911.0,-288.0,623.0,0.0,0.0,0.0,623.0,,623.0,0.0,0.0,623.0,680.75,57.75,1201.0,0.52,0.52,0.566819,1205.0,0.52,0.52,0.566819,
03/31/2014,2172.0,2172.0,,,0.0,-887.0,814.0,149.0,665.0,73.0,0.0,1285.0,-4.0,-1.0,6.0,-7.0,-7.0,-19.0,,31.0,1281.0,-411.0,870.0,0.0,0.0,0.0,870.0,,870.0,0.0,0.0,870.0,870.0,0.0,1185.0,0.73,0.73,0.73,1189.0,0.73,0.73,0.73,
06/30/2014,2368.0,2368.0,,,0.0,-985.0,904.0,173.0,731.0,81.0,0.0,1383.0,-10.0,9.0,15.0,-6.0,-6.0,17.0,,-10.0,1373.0,-442.0,931.0,0.0,0.0,0.0,931.0,,931.0,0.0,0.0,931.0,931.0,0.0,1165.0,0.8,0.8,0.8,1169.0,0.8,0.8,0.8,
09/30/2014,2490.0,2490.0,,,0.0,-1070.0,987.0,203.0,784.0,83.0,0.0,1420.0,-2.0,3.0,11.0,-8.0,-8.0,-18.0,,25.0,1418.0,-403.0,1015.0,0.0,0.0,0.0,1015.0,,1015.0,0.0,0.0,1015.0,1038.2,23.2,1157.0,0.88,0.88,0.897321,1160.0,0.87,0.87,0.89,
12/31/2014,2411.0,2411.0,,,0.0,-1393.0,1309.0,337.0,972.0,84.0,0.0,1018.0,-11.0,,16.0,,-7.0,-10.0,0.0,12.0,1007.0,-206.0,801.0,0.0,0.0,0.0,801.0,,801.0,0.0,0.0,801.0,893.56,92.56,1153.0,0.7,0.7,0.774987,1157.0,0.69,0.69,0.77,
03/31/2015,2230.0,2230.0,,,0.0,-879.0,792.0,142.0,650.0,87.0,0.0,1351.0,-11.0,8.0,17.0,-9.0,-9.0,-88.0,,100.0,1340.0,-320.0,1020.0,0.0,0.0,0.0,1020.0,,1020.0,0.0,0.0,1020.0,1043.04,23.04,1148.0,0.89,0.89,0.908571,1152.0,0.89,0.89,0.908571,
06/30/2015,2390.0,2390.0,,,0.0,-1139.0,986.0,176.0,810.0,92.0,61.0,1251.0,-10.0,11.0,17.0,-6.0,-6.0,20.0,,-15.0,1241.0,-320.0,921.0,0.0,0.0,0.0,921.0,,921.0,0.0,0.0,921.0,999.23,78.23,1138.0,0.81,0.81,0.878058,1141.0,0.81,0.81,0.878058,
09/30/2015,2530.0,2530.0,,,0.0,-1161.0,1067.0,184.0,883.0,94.0,0.0,1369.0,-17.0,10.0,15.0,-5.0,-5.0,-12.0,,24.0,1352.0,-375.0,977.0,0.0,0.0,0.0,977.0,,977.0,0.0,0.0,977.0,1049.66,72.66,1130.0,0.86,0.86,0.928903,1133.0,0.86,0.86,0.924131,
12/31/2015,2517.0,2517.0,,,0.0,-1410.0,1317.0,319.0,998.0,93.0,0.0,1107.0,-82.0,7.0,12.0,-5.0,,-2.0,,77.0,1025.0,-135.0,890.0,0.0,0.0,0.0,890.0,,890.0,0.0,0.0,890.0,923.72,33.72,1121.0,0.79,0.79,0.824014,1124.0,0.79,0.79,0.82,
03/31/2016,2446.0,2446.0,,,0.0,-1098.0,1003.0,135.0,868.0,95.0,0.0,1348.0,-11.0,10.0,20.0,-10.0,-10.0,40.0,,-29.0,1337.0,-378.0,959.0,0.0,0.0,0.0,959.0,,959.0,0.0,0.0,959.0,959.0,0.0,1109.0,0.86,0.86,0.86,1112.0,0.86,0.86,0.86,
06/30/2016,2694.0,2694.0,,,0.0,-1314.0,1114.0,184.0,930.0,93.0,107.0,1380.0,-15.0,12.0,22.0,-10.0,-10.0,-9.0,,22.0,1365.0,-382.0,983.0,0.0,0.0,0.0,983.0,,983.0,0.0,0.0,983.0,1061.0,78.0,1098.0,0.89,0.89,0.966302,1101.0,0.89,0.89,0.960845,
09/30/2016,2880.0,2880.0,,,0.0,-1210.0,1117.0,184.0,933.0,93.0,0.0,1670.0,-37.0,11.0,23.0,-12.0,-12.0,12.0,,26.0,1633.0,-449.0,1184.0,0.0,0.0,0.0,1184.0,,1184.0,0.0,0.0,1184.0,1184.0,0.0,1096.0,1.08,1.08,1.08,1099.0,1.08,1.08,1.08,
12/31/2016,2756.0,2756.0,,,0.0,-1393.0,1291.0,308.0,983.0,92.0,10.0,1363.0,-52.0,19.0,30.0,-11.0,-11.0,-9.0,,53.0,1311.0,-378.0,933.0,0.0,0.0,0.0,933.0,,933.0,0.0,0.0,933.0,940.0,7.0,1087.0,0.86,0.86,0.864765,1090.0,0.86,0.86,0.864765,
03/31/2017,2734.0,2734.0,,,0.0,-1228.0,1121.0,170.0,951.0,92.0,15.0,1506.0,-28.0,24.0,39.0,-15.0,-15.0,37.0,,-18.0,1478.0,-397.0,1081.0,0.0,0.0,0.0,1081.0,,1081.0,0.0,0.0,1081.0,1091.0,10.0,1078.0,1.0,1.0,1.012059,1082.0,1.0,1.0,1.009242,
06/30/2017,3053.0,3053.0,,,0.0,-1400.0,1289.0,214.0,1075.0,111.0,0.0,1653.0,-25.0,25.0,39.0,-14.0,-14.0,33.0,,-19.0,1628.0,-451.0,1177.0,0.0,0.0,0.0,1177.0,,1177.0,0.0,0.0,1177.0,1177.0,0.0,1070.0,1.1,1.1,1.1,1075.0,1.1,1.1,1.1,
09/30/2017,3398.0,3398.0,,,0.0,-1457.0,1339.0,203.0,1136.0,118.0,0.0,1941.0,-9.0,20.0,35.0,-15.0,-15.0,23.0,,-19.0,1932.0,-502.0,1430.0,0.0,0.0,0.0,1430.0,,1430.0,0.0,0.0,1430.0,1430.0,0.0,1063.0,1.34,1.34,1.34,1068.0,1.34,1.34,1.34,
12/31/2017,3312.0,3312.0,,,0.0,-1790.0,1675.0,311.0,1364.0,115.0,0.0,1522.0,-38.0,29.0,41.0,-12.0,,13.0,,-4.0,1484.0,-1257.0,227.0,0.0,0.0,0.0,227.0,,227.0,0.0,0.0,227.0,1208.0,981.0,1057.0,0.21,0.21,1.142857,1063.0,0.21,0.21,1.13286,
03/31/2018,3580.0,3580.0,,,0.0,-1755.0,1518.0,224.0,1294.0,120.0,117.0,1825.0,-22.0,26.0,43.0,-17.0,-17.0,28.0,,-15.0,1803.0,-311.0,1492.0,0.0,0.0,0.0,1492.0,,1492.0,0.0,0.0,1492.0,1581.0,89.0,1051.0,1.42,1.42,1.504282,1057.0,1.41,1.41,1.494201,
06/30/2018,3665.0,3665.0,,,0.0,-1729.0,1389.0,205.0,1184.0,115.0,225.0,1936.0,-14.0,17.0,48.0,-31.0,-31.0,-59.0,,87.0,1922.0,-353.0,1569.0,0.0,0.0,0.0,1569.0,,1569.0,0.0,0.0,1569.0,1744.0,175.0,1043.0,1.5,1.5,1.6721,1049.0,1.5,1.5,1.666826,
09/30/2018,3898.0,5633.0,-1735.0,,0.0,-1611.0,1471.0,203.0,1268.0,111.0,29.0,2287.0,-23.0,17.0,48.0,-31.0,-31.0,2.0,,35.0,2264.0,-365.0,1899.0,0.0,0.0,0.0,1899.0,,1899.0,0.0,0.0,1899.0,1921.91,22.91,1037.0,1.83,1.83,1.853337,1043.0,1.82,1.82,1.841965,
12/31/2018,3807.0,3807.0,,,0.0,-2573.0,1703.0,213.0,1490.0,113.0,757.0,1234.0,-19.0,47.0,47.0,0.0,-43.0,-7.0,,22.0,1215.0,-316.0,899.0,0.0,0.0,0.0,899.0,,899.0,0.0,0.0,899.0,2210.03,1311.03,1032.0,0.87,0.87,2.141502,1038.0,0.87,0.87,2.133035,
03/31/2019,3889.0,3889.0,,,0.0,-1676.0,1559.0,192.0,1367.0,117.0,0.0,2213.0,-10.0,19.0,46.0,-27.0,-27.0,0.0,,18.0,2203.0,-341.0,1862.0,0.0,0.0,0.0,1862.0,,1862.0,0.0,0.0,1862.0,1857.0,-5.0,1026.0,1.81,1.81,1.809942,1032.0,1.8,1.8,1.795155,
06/30/2019,4113.0,4113.0,,,0.0,-1716.0,1594.0,225.0,1369.0,122.0,0.0,2397.0,122.0,27.0,51.0,-24.0,-24.0,13.0,,-138.0,2519.0,-471.0,2048.0,0.0,0.0,0.0,2048.0,,2048.0,0.0,0.0,2048.0,1937.0,-111.0,1020.0,2.01,2.01,1.89902,1025.0,2.0,2.0,1.891707,
09/30/2019,4467.0,6557.0,-2090.0,,0.0,-1812.0,1675.0,227.0,1448.0,137.0,0.0,2655.0,-121.0,37.0,63.0,-26.0,-26.0,-2.0,,112.0,2534.0,-426.0,2108.0,0.0,0.0,0.0,2108.0,,2108.0,0.0,0.0,2108.0,2192.0,84.0,1013.0,2.08,2.08,2.16387,1019.0,2.07,2.07,2.152434,
12/31/2019,4414.0,4414.0,,,0.0,-2015.0,1869.0,290.0,1579.0,146.0,0.0,2399.0,76.0,64.0,64.0,0.0,-20.0,20.0,,-140.0,2475.0,-375.0,2100.0,0.0,0.0,0.0,2100.0,,2100.0,0.0,0.0,2100.0,1981.0,-119.0,1008.0,2.08,2.08,1.965278,1013.0,2.07,2.07,1.952527,
03/31/2020,4009.0,4009.0,,,0.0,-1798.0,1648.0,154.0,1494.0,144.0,6.0,2211.0,-224.0,53.0,69.0,-16.0,-16.0,0.0,,187.0,1987.0,-294.0,1693.0,0.0,0.0,0.0,1693.0,,1693.0,0.0,0.0,1693.0,1844.0,151.0,1005.0,1.68,1.68,1.834826,1010.0,1.68,1.68,1.829505,
06/30/2020,3335.0,3335.0,,,0.0,-1628.0,1461.0,93.0,1368.0,145.0,22.0,1707.0,-17.0,93.0,101.0,-8.0,-8.0,19.0,,-87.0,1690.0,-270.0,1420.0,0.0,0.0,0.0,1420.0,,1420.0,0.0,0.0,1420.0,1370.0,-50.0,1004.0,1.41,1.41,1.364542,1008.0,1.41,1.41,1.360397,
09/30/2020,3963.667,,,3963.667,,,,,,,,2105.593,,,,,,,,,2016.417,,1663.25,,,,,,1663.25,,,1663.25,1665.563,,,1.661,1.661,1.65,,1.661,1.661,1.65,
12/31/2020,4369.485,,,4369.485,,,,,,,,2308.731,,,,,,,,,2225.125,,1835.125,,,,,,1835.125,,,1835.125,1831.323,,,1.823,1.823,1.833,,1.823,1.823,1.833,
