Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2003,9195,331,80,251.0,2424,2424,,1336,277,376,697,-14,678,,,,,,4769,2311,,,0.0,,,2115,1372,760.0,612.0,,,743,4426,,298,298,,,,847,847.0,0.0,0.0,,898,,,898,2043,849,849.0,0.0,0.0,1066,,,,1066,1915,3958,0.0,8053,,,0.0,-1616,-1200,5237,0.0,5237,9195,
06/30/2003,9713,541,311,230.0,2709,2709,,1247,272,440,553,-18,704,,,,,,5201,2322,,,0.0,,,2190,1373,780.0,593.0,,,817,4512,,312,312,,,,340,340.0,0.0,0.0,,1249,,,1249,1901,1103,1103.0,0.0,0.0,1069,,,,1069,2172,4073,0.0,8057,,,0.0,0,-2417,5640,0.0,5640,9713,
08/31/2003,9536,511,281,230.0,2296,2296,,1207,246,464,516,0,925,,,,,,4939,2280,4611.0,-2331.0,0.0,,,2317,1339,768.0,571.0,,,978,4597,,290,290,,,,269,269.0,0.0,0.0,,1460,,,1460,2019,1258,1258.0,0.0,0.0,1103,,,,1103,2361,4380,0.0,8080,,,0.0,0,-2924,5156,0.0,5156,9536,
11/30/2003,9183,1036,1036,0.0,1586,1586,,1373,291,440,660,0,861,,,,,,4856,2228,,,0.0,,,2099,1232,716.0,516.0,,,867,4327,,290,290,,,,288,288.0,0.0,0.0,,1228,,,1228,1806,1222,1222.0,0.0,0.0,1082,,,,1082,2304,4110,0.0,8111,,,-55.0,-1863,-1120,5073,0.0,5073,9183,
02/29/2004,8963,548,298,250.0,2060,2060,,1316,276,413,644,-17,792,,,,,,4716,2198,,,0.0,,,2049,1231,723.0,508.0,,,818,4247,,316,316,,,,365,365.0,0.0,0.0,,850,,,850,1531,1174,1174.0,0.0,0.0,958,,,,958,2132,3663,0.0,8217,,,-106.0,-1744,-1067,5300,0.0,5300,8963,
05/31/2004,9297,327,327,0.0,2737,2737,,1196,256,438,521,-19,740,,,,,,5000,2130,,,0.0,,,2167,1198,718.0,480.0,,,969,4297,,333,333,,,,401,401.0,0.0,0.0,,1087,,,1087,1821,1072,1072.0,0.0,0.0,978,,,,978,2050,3871,0.0,8270,,,-133.0,-1565,-1146,5426,0.0,5426,9297,
08/31/2004,9164,1337,1037,300.0,1663,1663,,1154,166,519,494,-25,777,,,,,,4931,2087,4604.0,-2517.0,0.0,,,2146,1174,720.0,454.0,,,972,4233,,326,326,,,,433,433.0,0.0,0.0,,1135,,,1135,1894,1075,1075.0,0.0,0.0,937,,,,937,2012,3906,0.0,8318,,,-266.0,-1645,-1149,5258,0.0,5258,9164,
11/30/2004,9999,1653,1553,100.0,1397,1397,,1452,270,528,679,0,871,,,,,,5373,2084,,,0.0,,,2542,1339,868.0,471.0,,,1203,4626,,373,373,,,,239,239.0,0.0,0.0,,1792,,,1792,2404,1070,1070.0,0.0,0.0,1139,,,,1139,2209,4613,0.0,8376,,,-301.0,0,-2689,5386,0.0,5386,9999,
02/28/2005,9843,1096,1096,0.0,1913,1913,,1379,243,514,647,-25,888,,,,,,5276,2057,,,0.0,,,2510,1315,869.0,446.0,,,1195,4567,,360,360,,,,99,99.0,0.0,0.0,,1351,,,1351,1810,1062,1062.0,0.0,0.0,1141,,,,1141,2203,4013,0.0,8445,,,-340.0,-1357,-918,5830,0.0,5830,9843,
05/31/2005,11677,467,467,0.0,2776,2776,,1683,236,505,964,-22,936,,,,,,5862,2367,,,0.0,,,3448,2592,1241.0,1351.0,,,856,5815,,392,392,,,,1412,1412.0,0.0,0.0,,1740,,,1740,3544,1062,1062.0,0.0,0.0,1226,,,,1226,2288,5832,0.0,8530,,,-415.0,-1356,-914,5845,0.0,5845,11677,
08/31/2005,10579,675,525,150.0,1473,1473,,1664,167,589,934,-26,832,,,,,,4644,2378,5090.0,-2712.0,0.0,,,3557,2401,1248.0,1153.0,,,1156,5935,,369,369,,,,282,282.0,0.0,0.0,,1508,,,1508,2159,1458,1458.0,0.0,0.0,1349,,,,1349,2807,4966,0.0,8591,,,-500.0,-1572,-906,5613,0.0,5613,10579,
11/30/2005,11336,1174,1006,168.0,1413,1413,,1890,196,597,1129,-32,963,,,,,,5440,2355,,,0.0,,,3541,2568,1433.0,1135.0,,,973,5896,,370,370,,,,155,155.0,0.0,0.0,,2301,,,2301,2826,1445,1445.0,0.0,0.0,1311,,,,1311,2756,5582,0.0,8647,,,-503.0,-1513,-877,5754,0.0,5754,11336,
02/28/2006,11603,752,581,171.0,2010,2010,,1856,197,849,855,-45,846,,,,,,5464,2353,,,0.0,,,3786,2727,1462.0,1265.0,,,1059,6139,,379,379,,,,566,566.0,0.0,0.0,,1706,,,1706,2651,1378,1378.0,0.0,0.0,1355,,,,1355,2733,5384,0.0,8733,,,-533.0,-1181,-800,6219,0.0,6219,11603,
05/31/2006,12109,617,595,22.0,2899,2899,,1700,201,783,779,-63,775,,,,,,5991,2331,,,0.0,,,3787,2706,1467.0,1239.0,,,1081,6118,,454,454,,,,666,666.0,0.0,0.0,,1635,,,1635,2755,1376,1376.0,0.0,0.0,1402,,,,1402,2778,5533,0.0,8841,,,-593.0,-847,-825,6576,0.0,6576,12109,
08/31/2006,11728,1482,1460,22.0,1455,1455,,1688,216,836,719,-83,836,,,,,,5461,2418,5417.0,-2999.0,,,,3849,2751,1522.0,1229.0,,,1098,6267,,514,514,,,,28,28.0,0.0,0.0,,1737,,,1737,2279,1639,1639.0,0.0,0.0,1285,,,,1285,2924,5203,,8885,,,-623.0,-1099,-638,6525,,6525,11728,
11/30/2006,12140,1842,1842,0.0,1306,1306,,1954,230,943,863,-82,851,,,,,,5953,2397,,,0.0,,,3790,2722,1527.0,1195.0,,,1068,6187,,477,477,,,,42,42.0,0.0,0.0,,2162,,,2162,2681,1580,1580.0,0.0,0.0,1218,,,,1218,2798,5479,0.0,8929,,,-673.0,-1009,-586,6661,0.0,6661,12140,
02/28/2007,12533,1565,1565,0.0,2007,2007,,1888,244,882,845,-83,836,,,,,,6296,2410,,,0.0,,,3827,2758,1564.0,1194.0,,,1069,6237,,547,547,,,,55,55.0,0.0,0.0,,1957,,,1957,2559,1581,1581.0,0.0,0.0,1224,,,,1224,2805,5364,0.0,8994,,,-689.0,-602,-534,7169,0.0,7169,12533,
05/31/2007,13472,994,994,0.0,3414,3414,,1664,213,837,679,-65,937,,,,,,7009,2467,,,0.0,,,3996,2685,1530.0,1155.0,,,1311,6463,,493,493,,,,561,561.0,0.0,0.0,,2067,,,2067,3121,1150,1150.0,0.0,0.0,1271,,,,1271,2421,5542,0.0,9040,,,-718.0,-32,-360,7930,,7930,13472,
08/31/2007,12983,866,866,0.0,1499,1499,,1719,253,893,635,-62,1000,,,,,,5084,2656,5916.0,-3260.0,0.0,,,5243,4040,2625.0,1415.0,,,1203,7899,,649,649,,,,270,270.0,0.0,0.0,,2156,,,2156,3075,1150,1150.0,0.0,0.0,1255,,,,1255,2405,5480,0.0,9112,,,-814.0,-405,-390,7503,,7503,12983,
11/30/2007,15313,1617,1617,0.0,1642,1642,,2241,324,1048,949,-80,1062,,,,,,6562,2726,,,615.0,,,5410,4142,2735.0,1407.0,,,1268,8751,,673,673,,,,261,,,,,3193,,,3193,4127,1153,,,,1974,,,,1974,3127,7254,0.0,9206,,,-863.0,-174,-110,8059,,8059,15313,
02/29/2008,16593,2285,2285,0.0,2238,2238,,2248,338,1037,982,-109,905,,,,,,7676,2813,6331.0,-3518.0,587.0,,,5517,4150,2773.0,1377.0,,,1367,8917,,709,709,,,,260,260.0,0.0,0.0,,3118,,,3118,4087,1155,1155.0,0.0,0.0,2052,,,,2052,3207,7294,0.0,9350,,,-935.0,763,121,9299,0.0,9299,16593,
05/31/2008,17292,1714,1714,,3258,3258,,2206,304,1077,953,-128,949,,,,,,8127,2962,6587.0,-3625.0,,,,6203,4144,2769.0,1375.0,,,2059,9165,,788,788,,,,10,,,,,2490,,,2490,3288,1703,,,,2090,,,,2090,3793,7081,,9434,,,-961.0,1574,164,10211,,10211,17292,
08/31/2008,17991,1613,1613,0.0,2067,2067,,2453,358,1267,1023,-195,1476,,,,,,7609,3323,6725.0,-3402.0,0.0,,,7059,4663,3132.0,1531.0,,,2396,10382,,1090,1090,,,,24,24.0,0.0,0.0,,3325,,,3325,4439,1792,1792.0,0.0,0.0,2386,,,,2386,4178,8617,0.0,9501,,,-1177.0,1138,-88,9374,,9374,17991,
11/30/2008,16909,1342,1342,0.0,1751,1751,0.0,3012,362,1356,1479,-185,1384,203.0,,778.0,12.0,1007.0,7489,3153,6441.0,-3288.0,550.0,,550.0,5717,4427,2993.0,1434.0,,,309,9420,,3229,804,117.0,0.0,2308.0,70,70.0,,,,619,542.0,53.0,0,3918,1755,1755.0,,,2154,,575.0,171.0,813,3909,7827,0.0,9542,6.0,9536.0,-1253.0,1694,-901,9082,,9082,16909,
02/28/2009,17993,2004,2004,0.0,2171,2171,0.0,3112,386,1287,1614,-175,1183,59.0,,818.0,6.0,649.0,8470,3202,6560.0,-3358.0,544.0,,544.0,5777,4446,3035.0,1411.0,,,454,9523,,3306,761,540.0,145.0,1860.0,110,110.0,,,,1235,518.0,20.0,0,4651,1704,1704.0,,,2034,,562.0,139.0,795,3738,8389,,9590,6.0,9584.0,-1453.0,2510,-1043,9604,,9604,17993,
05/31/2009,17970,579,579,0.0,3017,3017,0.0,3169,399,1264,1690,-184,1234,46.0,,887.0,8.0,765.0,7999,3435,6918.0,-3483.0,558.0,,558.0,5978,4573,3137.0,1436.0,,,472,9971,,2909,711,480.0,0.0,1718.0,120,120.0,,,,458,496.0,12.0,0,3487,1705,1705.0,,,2011,,565.0,133.0,805,3716,7203,0.0,9644,6.0,9638.0,-1489.0,3204,-592,10767,,10767,17970,
08/31/2009,17877,1956,1956,0.0,1556,1556,0.0,2934,417,1340,1362,-185,1437,28.0,,743.0,,753.0,7883,3609,7158.0,-3549.0,557.0,,557.0,5828,4589,3218.0,1371.0,,,468,9994,,2716,676,79.0,145.0,1816.0,79,79.0,0.0,0.0,,961,488.0,12.0,593,3756,1724,1724.0,0.0,0.0,2341,0.0,793.0,153.0,895,4065,7821,0.0,9701,6.0,9695.0,-1577.0,2682,-750,10056,,10056,17877,
11/30/2009,17606,471,471,0.0,2012,2012,,3560,500,1562,1663,-165,1388,29.0,,804.0,,776.0,7431,3720,7398.0,-3678.0,488.0,,488.0,5967,4642,3272.0,1370.0,,,492,10175,,1752,765,52.0,0.0,935.0,281,281.0,,,,1321,466.0,9.0,912,3354,1724,1724.0,,,2185,,729.0,159.0,822,3909,7263,,9755,6.0,9749.0,-1641.0,2663,-491,10286,57.0,10343,17606,
02/28/2010,18246,1607,1607,0.0,2093,2093,0.0,3199,490,1433,1429,-153,1346,29.0,,775.0,,712.0,8245,3687,7391.0,-3704.0,468.0,,468.0,5846,4539,3226.0,1313.0,,,503,10001,,2736,673,266.0,145.0,1652.0,114,114.0,,,,829,444.0,13.0,197,3679,1726,1726.0,,,2100,,720.0,140.0,783,3826,7505,0.0,9821,6.0,9815.0,-1701.0,3260,-679,10701,40.0,10741,18246,
05/31/2010,18338,475,475,0.0,3233,3233,0.0,2847,408,1164,1418,-143,1345,14.0,,858.0,,750.0,7900,4103,7833.0,-3730.0,473.0,,473.0,5862,4446,3184.0,1262.0,,,544,10438,,2430,573,147.0,0.0,1710.0,839,839.0,,,,436,422.0,9.0,177,3705,1862,1862.0,,,2154,,722.0,134.0,867,4016,7721,0.0,9862,6.0,9856.0,-2076.0,3644,-856,10574,43.0,10617,18338,
08/31/2010,17867,1485,1485,0.0,1590,1590,0.0,2739,383,1333,1134,-111,1308,4.0,,1014.0,,754.0,7122,4227,8068.0,-3841.0,513.0,,513.0,6005,4467,3204.0,1263.0,,,520,10745,,2758,752,66.0,151.0,1789.0,241,0.0,0.0,0.0,241.0,542,395.0,36.0,280,3541,1862,1862.0,0.0,0.0,2321,0.0,920.0,137.0,833,4183,7724,0.0,9902,6.0,9896.0,-2110.0,3208,-901,10099,44.0,10143,17867,
11/30/2010,18814,1732,1732,0.0,1698,1698,0.0,3331,463,1393,1596,-121,1295,24.0,,1045.0,,791.0,8056,4222,8193.0,-3971.0,479.0,,479.0,6057,4470,3229.0,1241.0,,,518,10758,,2608,688,64.0,,1856.0,394,394.0,,,,1532,401.0,8.0,134,4534,1728,1728.0,,,2329,,947.0,144.0,829,4057,8591,0.0,9952,6.0,9946.0,-2378.0,3214,-711,10077,146.0,10223,18814,
02/28/2011,19649,2017,1837,180.0,2377,2377,0.0,3090,433,1437,1355,-135,1208,53.0,,1038.0,0.0,663.0,8692,4222,8337.0,-4115.0,459.0,,459.0,6276,4673,3320.0,1353.0,,,512,10957,,3095,634,284.0,150.0,2027.0,409,409.0,,,,1017,375.0,8.0,62,4521,1729,1729.0,,,2265,,923.0,143.0,816,3994,8515,0.0,10007,6.0,10001.0,-2491.0,3929,-444,11001,133.0,11134,19649,
05/31/2011,20086,1324,1074,250.0,3579,3579,0.0,2826,407,1347,1227,-155,1258,10.0,,1085.0,,751.0,8987,4270,8497.0,-4227.0,474.0,,474.0,6355,4699,3364.0,1335.0,,,561,11099,,3079,603,333.0,0.0,2143.0,216,216.0,,,,423,351.0,8.0,75,3718,2027,2027.0,,,2271,,923.0,145.0,844,4298,8016,0.0,10048,6.0,10042.0,-2596.0,4610,-203,11859,211.0,12070,20086,
08/31/2011,19844,2874,2572,302.0,2117,2117,0.0,2591,390,1434,953,-186,1227,16.0,,873.0,,650.0,8809,4394,8697.0,-4303.0,475.0,,475.0,6166,4674,3365.0,1309.0,7.0,,596,11035,,3470,839,117.0,161.0,2353.0,678,0.0,0.0,0.0,678.0,581,337.0,4.0,118,4729,1543,1543.0,0.0,0.0,1856,0.0,509.0,152.0,854,3399,8128,0.0,10102,6.0,10096.0,-2613.0,4174,-118,11545,171.0,11716,19844,
11/30/2011,20423,3309,3007,302.0,1993,1993,0.0,3136,421,1465,1437,-187,1296,1.0,,822.0,,768.0,9734,4230,8516.0,-4286.0,404.0,,404.0,6055,4648,3348.0,1300.0,,,584,10689,,3159,735,165.0,,2259.0,522,522.0,,,,2172,319.0,,35,5853,1542,1542.0,,,1828,,514.0,124.0,871,3370,9223,0.0,10142,6.0,10136.0,-2639.0,4300,-762,11041,159.0,11200,20423,
02/29/2012,20721,3425,3123,302.0,2341,2341,0.0,2862,407,1450,1191,-186,1396,12.0,,799.0,0.0,820.0,10024,4259,8690.0,-4431.0,372.0,,372.0,6066,4654,3377.0,1277.0,,,601,10697,,3600,681,578.0,160.0,2181.0,610,610.0,,,,983,292.0,19.0,25,5193,1538,1538.0,,,1794,,494.0,127.0,862,3332,8525,0.0,10250,6.0,10244.0,-2912.0,5190,-534,11994,202.0,12196,20721,
05/31/2012,19984,2018,1716,302.0,3727,3727,0.0,2514,340,1264,1094,-184,1524,8.0,,595.0,,829.0,9783,4164,8556.0,-4392.0,376.0,,376.0,5661,4463,3282.0,1181.0,,,595,10201,,3011,584,440.0,,1987.0,634,634.0,,,,637,259.0,,43,4282,1538,1538.0,,,1751,,468.0,304.0,720,3289,7571,0.0,10168,6.0,10162.0,-3036.0,6122,-1036,12218,195.0,12413,19984,
08/31/2012,20224,3585,3283,302.0,1897,1897,0.0,2839,395,1537,1050,-143,1337,16.0,,551.0,,699.0,9658,4365,8835.0,-4470.0,376.0,,376.0,5825,4672,3435.0,1237.0,9.0,,577,10566,,3742,794,75.0,200.0,2673.0,36,36.0,0.0,0.0,,443,245.0,3.0,14,4221,2038,2038.0,0.0,0.0,1929,0.0,543.0,313.0,825,3967,8188,0.0,10377,6.0,10371.0,-3045.0,5537,-1036,11833,203.0,12036,20224,
11/30/2012,22537,4947,4637,310.0,2168,2168,0.0,3571,470,1849,1401,-149,1374,11.0,,552.0,,794.0,12060,4348,8932.0,-4584.0,290.0,,290.0,5839,4657,3447.0,1210.0,,,619,10477,,3259,785,68.0,0.0,2406.0,26,26.0,,,,2876,218.0,3.0,8,6161,2054,2054.0,,,1857,,530.0,314.0,792,3911,10072,0.0,10443,6.0,10437.0,-3072.0,5876,-988,12259,206.0,12465,22537,
02/28/2013,22079,4753,4443,310.0,2219,2219,0.0,3095,430,1668,1151,-154,1467,1.0,,542.0,0.0,782.0,11534,4400,9129.0,-4729.0,255.0,,255.0,5890,4739,3519.0,1220.0,,,608,10545,,3723,751,430.0,201.0,2341.0,152,152.0,,,,834,187.0,2.0,7,4709,2054,2054.0,,,1858,,526.0,410.0,733,3912,8621,0.0,10600,6.0,10594.0,-3372.0,6956,-944,13240,218.0,13458,22079,
05/31/2013,21679,3064,2921,143.0,3610,3610,0.0,2884,378,1480,1189,-163,1583,20.0,,518.0,,941.0,11141,4467,9242.0,-4775.0,242.0,,242.0,5829,4735,3510.0,1225.0,,,556,10538,,3303,745,397.0,0.0,2161.0,169,169.0,,,,342,167.0,3.0,0,3814,2054,2054.0,,,1733,,498.0,444.0,621,3787,7601,0.0,10749,6.0,10743.0,-3623.0,7865,-1122,13869,209.0,14078,21679,
08/31/2013,20664,3922,3668,254.0,1715,1715,0.0,2947,418,1619,1079,-169,1493,0.0,,454.0,,890.0,10077,4654,9491.0,-4837.0,237.0,,237.0,5696,4746,3520.0,1226.0,8.0,,488,10587,,3663,995,91.0,228.0,2349.0,51,40.0,0.0,0.0,11.0,622,138.0,0.0,12,4336,2061,2061.0,0.0,0.0,1539,0.0,357.0,469.0,575,3600,7936,0.0,10789,6.0,10783.0,-4140.0,7188,-1278,12559,169.0,12728,20664,
11/30/2013,24077,4745,4496,249.0,2283,2283,0.0,3873,477,1744,1820,-168,1595,,,484.0,,943.0,12496,4686,9660.0,-4974.0,153.0,,153.0,6742,5692,4325.0,1367.0,,,566,11581,,3495,853,101.0,0.0,2541.0,262,262.0,,,,2941,113.0,,2,6698,3057,3057.0,,,1583,,348.0,544.0,578,4640,11338,0.0,10893,6.0,10887.0,-4701.0,7556,-1176,12572,167.0,12739,24077,
02/28/2014,23457,3850,3805,45.0,2515,2515,0.0,3692,479,1679,1700,-166,1493,2.0,,459.0,0.0,892.0,11550,4735,9815.0,-5080.0,131.0,,131.0,7041,5972,4327.0,1645.0,,,608,11907,,4053,847,630.0,226.0,2350.0,104,104.0,,,,894,94.0,2.0,15,5051,3051,3051.0,,,1514,,333.0,507.0,578,4565,9616,0.0,11003,6.0,10997.0,-4904.0,8775,-1196,13678,163.0,13841,23457,
05/31/2014,23281,1898,1898,0.0,4229,4229,0.0,3552,421,1693,1601,-163,1558,11.0,,490.0,,990.0,11237,4878,10070.0,-5192.0,109.0,,109.0,7057,5951,4341.0,1610.0,,,605,12044,,3422,780,400.0,8.0,2234.0,162,162.0,,,,347,67.0,2.0,0,3931,3049,3049.0,,,1451,,332.0,469.0,581,4500,8431,0.0,11114,6.0,11108.0,-5054.0,9633,-1031,14662,188.0,14850,23281,
08/31/2014,21981,2407,2367,40.0,2014,2014,0.0,3597,445,1721,1591,-160,1657,2.0,,450.0,,977.0,9675,5082,10357.0,-5275.0,92.0,,92.0,7132,5873,4319.0,1554.0,180.0,,627,12306,,4336,1111,99.0,239.0,2887.0,233,221.0,0.0,0.0,12.0,543,47.0,0.0,82,5112,7528,7528.0,0.0,0.0,1427,0.0,345.0,509.0,526,8955,14067,0.0,10009,6.0,10003.0,-10032.0,9012,-1114,7875,39.0,7914,21981,
11/30/2014,23374,3176,3136,40.0,2247,2247,0.0,4300,481,1882,2100,-163,1675,40.0,,400.0,,991.0,11398,4985,10286.0,-5301.0,19.0,,19.0,6972,5760,4254.0,1506.0,,,772,11976,,3732,905,62.0,1.0,2764.0,636,636.0,,,,2631,45.0,10.0,28,6999,7529,7529.0,,,1414,,339.0,514.0,506,8943,15942,0.0,10067,6.0,10061.0,-10323.0,9255,-1589,7410,22.0,7432,23374,
02/28/2015,22402,2732,2732,0.0,2357,2357,0.0,3978,494,1831,1814,-161,1632,65.0,,350.0,0.0,841.0,10699,4869,10186.0,-5317.0,18.0,,18.0,6816,5655,4189.0,1466.0,,,746,11703,,3890,785,526.0,238.0,2341.0,346,346.0,,,,1236,38.0,12.0,44,5472,7894,7894.0,,,1368,,332.0,491.0,495,9262,14734,0.0,10174,6.0,10168.0,-10519.0,10207,-2203,7659,9.0,7668,22402,
05/31/2015,22259,1207,1179,28.0,3998,3998,,3625,419,1455,1911,-160,1759,1.0,,324.0,,999.0,10589,4864,10221.0,-5357.0,19.0,,19.0,6787,5585,4153.0,1432.0,,,877,11670,,3083,686,346.0,1.0,2050.0,587,587.0,,,,427,54.0,9.0,12,4097,8396,8396.0,,,1406,,327.0,529.0,487,9802,13899,0.0,11445,6.0,11439.0,-11953.0,11350,-2504,8338,22.0,8360,22259,
08/31/2015,21920,3748,3701,47.0,1636,1636,0.0,3496,420,1627,1603,-154,1745,8.0,7.0,277.0,,918.0,10625,4973,10428.0,-5455.0,156.0,114.0,42.0,6166,5393,4061.0,1332.0,34.0,90.0,364,11295,,3903,836,234.0,254.0,2579.0,615,307.0,0.0,0.0,308.0,659,47.0,,228,5177,8429,8429.0,0.0,0.0,1309,0.0,336.0,340.0,586,9738,14915,0.0,11470,6.0,11464.0,-12053.0,10374,-2801,6990,15.0,7005,21920,
11/30/2015,21446,2324,2277,47.0,2106,2106,0.0,3872,497,1706,1829,-160,2165,12.0,,260.0,,1344.0,10467,4870,10412.0,-5542.0,35.0,,35.0,6074,5190,3985.0,1205.0,,,612,10979,,3181,818,46.0,0.0,2317.0,1788,0.0,,,1788.0,3532,45.0,,285,8501,7939,7939.0,,,1438,,330.0,380.0,683,9377,17878,0.0,11059,6.0,11053.0,-14603.0,10121,-3018,3559,9.0,3568,21446,
