Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2017,21782.0,945.0,902.0,43.0,1074.0,1074.0,0,771.0,0,0,0,0,0,469.0,153.0,,94.0,41.0,269.0,3259.0,430.0,,,8,8.0,18085.0,17751.0,11258.0,6493.0,,62.0,178.0,18523.0,,1751.0,,73.0,,1678.0,94.0,0,,,,94.0,815.0,,14.0,9.0,2660.0,8858.0,8858.0,,,,2490.0,,,,,2069.0,407.0,11348.0,14008.0,0,10721.0,2.85,10718.15,-2694,-255.0,-233.0,7539.0,235.0,7774.0,21782.0,
09/30/2017,22445.0,1147.0,1103.0,44.0,1031.0,1031.0,0,828.0,0,0,0,0,0,486.0,146.0,,93.0,56.0,278.0,3492.0,428.0,,,8,8.0,18517.0,18165.0,11598.0,6567.0,,67.0,192.0,18953.0,,1954.0,,60.0,,1894.0,103.0,0,,,,103.0,796.0,,12.0,7.0,2853.0,9651.0,9651.0,,,,2434.0,,,,,2014.0,408.0,12085.0,14938.0,0,10761.0,3.167,10757.833,-3252,-166.0,-79.0,7264.0,243.0,7507.0,22445.0,
12/31/2017,22857.0,1005.0,959.0,46.0,1229.0,1229.0,0,868.0,0,0,0,0,0,452.0,146.0,1.0,109.0,47.0,254.0,3554.0,440.0,923.0,-483.0,0,,18863.0,18441.0,11850.0,6591.0,70.0,78.0,164.0,19303.0,,2058.0,322.0,72.0,,1664.0,103.0,0,0.0,0.0,,103.0,995.0,0.0,4.0,1.0,3156.0,10122.0,10122.0,0.0,0.0,,1335.0,0.0,217.0,217.0,0.0,895.0,219.0,11457.0,14613.0,0,10782.0,2.0,10780.0,-3374,538.0,49.0,7995.0,249.0,8244.0,22857.0,
03/31/2018,23235.0,1007.0,960.0,47.0,1235.0,1235.0,0,1015.0,0,0,0,0,0,467.0,148.0,5.0,113.0,45.0,269.0,3724.0,432.0,,,0,,19079.0,18621.0,12041.0,6580.0,,101.0,239.0,19511.0,,2151.0,,106.0,,2045.0,104.0,0,,,,104.0,944.0,,7.0,4.0,3199.0,10342.0,10342.0,,,,1241.0,,,,,828.0,406.0,11583.0,14782.0,0,10797.0,2.5,10794.5,-3460,605.0,254.0,8196.0,257.0,8453.0,23235.0,
06/30/2018,22626.0,928.0,879.0,49.0,1077.0,1077.0,0,1095.0,0,0,0,0,0,487.0,158.0,6.0,108.0,52.0,271.0,3587.0,415.0,,,0,,18624.0,18141.0,11844.0,6297.0,,110.0,259.0,19039.0,,2118.0,,121.0,,1997.0,101.0,0,,,,101.0,947.0,,6.0,3.0,3166.0,10627.0,10627.0,,,,1219.0,,,,,813.0,400.0,11846.0,15012.0,0,10836.0,2.504,10833.496,-4033,665.0,-104.0,7364.0,250.0,7614.0,22626.0,
09/30/2018,22498.0,879.0,827.0,52.0,1089.0,1089.0,0,1209.0,0,0,0,0,0,519.0,154.0,2.0,96.0,66.0,285.0,3696.0,417.0,,,0,,18385.0,17897.0,11794.0,6103.0,,134.0,256.0,18802.0,,2279.0,,117.0,,2162.0,101.0,0,,,,101.0,1000.0,,6.0,12.0,3380.0,10518.0,10518.0,,,,1140.0,,,,,734.0,400.0,11658.0,15038.0,0,10876.0,2.512,10873.488,-4167,726.0,-220.0,7215.0,245.0,7460.0,22498.0,
12/31/2018,22549.0,938.0,891.0,47.0,1279.0,1279.0,0,1115.0,0,0,0,0,0,542.0,151.0,1.0,109.0,69.0,314.0,3874.0,434.0,1001.0,-567.0,0,,18241.0,17751.0,11800.0,5951.0,53.0,142.0,185.0,18675.0,,2395.0,437.0,100.0,,1858.0,100.0,0,0.0,0.0,,100.0,1039.0,0.0,5.0,15.0,3534.0,10907.0,10907.0,0.0,0.0,,1154.0,0.0,191.0,191.0,0.0,736.0,222.0,12061.0,15595.0,0,10901.0,3.0,10898.0,-4770,807.0,-224.0,6714.0,240.0,6954.0,22549.0,
03/31/2019,23109.0,991.0,936.0,55.0,1202.0,1202.0,0,1259.0,0,0,0,0,0,547.0,153.0,2.0,103.0,65.0,325.0,3999.0,954.0,,,0,,18156.0,17668.0,11857.0,5811.0,,137.0,246.0,19110.0,,2224.0,2122.0,102.0,,,267.0,0,167.0,,167.0,100.0,1011.0,,16.0,34.0,3502.0,11588.0,11187.0,401.0,,401.0,1154.0,,,,,742.0,396.0,12742.0,16244.0,0,10927.0,3.0,10924.0,-4915,865.0,-262.0,6615.0,250.0,6865.0,23109.0,
06/30/2019,23068.0,994.0,938.0,56.0,1120.0,1120.0,0,1281.0,0,0,0,0,0,583.0,180.0,0.0,102.0,64.0,338.0,3978.0,956.0,,,0,,18134.0,17638.0,11937.0,5701.0,,152.0,242.0,19090.0,,2250.0,2139.0,111.0,,,255.0,0,155.0,,155.0,100.0,990.0,,4.0,24.0,3495.0,11697.0,11299.0,398.0,,398.0,1095.0,,,,,671.0,420.0,12792.0,16287.0,0,10964.0,3.0,10961.0,-5151,925.0,-215.0,6523.0,258.0,6781.0,23068.0,
09/30/2019,22892.0,920.0,863.0,57.0,1176.0,1176.0,0,1338.0,0,0,0,0,0,561.0,150.0,0.0,108.0,65.0,346.0,3995.0,941.0,,,0,,17956.0,17465.0,11919.0,5546.0,,143.0,240.0,18897.0,,2313.0,2190.0,123.0,,,251.0,0,153.0,,153.0,98.0,1012.0,,33.0,51.0,3576.0,11837.0,11444.0,393.0,,393.0,1085.0,,,,,654.0,398.0,12922.0,16498.0,0,10990.0,3.0,10987.0,-5464,982.0,-377.0,6131.0,263.0,6394.0,22892.0,
12/31/2019,23251.0,899.0,837.0,62.0,1312.0,1312.0,0,1270.0,0,0,0,0,0,645.0,138.0,0.0,119.0,56.0,447.0,4126.0,954.0,1551.0,-597.0,0,,18171.0,17673.0,12159.0,5514.0,56.0,152.0,171.0,19125.0,,2620.0,575.0,108.0,,1937.0,253.0,0,153.0,,153.0,100.0,1072.0,0.0,27.0,55.0,3945.0,11941.0,11545.0,396.0,,396.0,1102.0,0.0,213.0,213.0,0.0,646.0,216.0,13043.0,16988.0,0,11049.0,3.0,11046.0,-5733,998.0,-311.0,6003.0,260.0,6263.0,23251.0,
03/31/2020,23078.0,990.0,927.0,63.0,1309.0,1309.0,0,1325.0,0,0,0,0,0,653.0,173.0,0.0,120.0,49.0,430.0,4277.0,934.0,,,0,,17867.0,17317.0,11989.0,5328.0,,143.0,287.0,18801.0,,2478.0,2384.0,94.0,,,313.0,0,174.0,,174.0,139.0,1116.0,,2.0,27.0,3907.0,12260.0,11894.0,366.0,,366.0,1109.0,,,,,618.0,489.0,13369.0,17276.0,0,11012.0,3.0,11009.0,-6065,1080.0,-485.0,5542.0,260.0,5802.0,23078.0,
06/30/2020,23183.0,1182.0,1109.0,73.0,1105.0,1105.0,0,1266.0,0,0,0,0,0,655.0,146.0,0.0,123.0,53.0,455.0,4208.0,946.0,,,0,,18029.0,17395.0,12133.0,5262.0,,153.0,358.0,18975.0,,2397.0,2295.0,102.0,,,296.0,0,154.0,,154.0,142.0,1150.0,,2.0,26.0,3843.0,12367.0,11965.0,402.0,,402.0,1121.0,,,,,539.0,580.0,13488.0,17331.0,0,11043.0,3.0,11040.0,-6065,1057.0,-444.0,5591.0,261.0,5852.0,23183.0,
