Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Investments in Associated Co.,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
06/30/2000,,5431,11406,-5975,5431,546,0.0,0,589,79,,3257,4471,551,1245.0,,0.0,1349,3145,13047,,153,0,670,0.0,4294,5117,641,104,3313,1048,5106,1412.0,0.0,1008,404,0.0,2824,13047,
09/30/2000,,5572,11673,-6101,5572,378,0.0,0,756,195,,3701,5030,578,1195.0,,0.0,1427,3200,13802,,118,303,941,118.0,4299,5779,679,102,3300,1060,5141,1414.0,0.0,1064,404,0.0,2882,13802,
12/31/2000,,5726,11889,-6163,5726,637,0.0,0,994,145,,4649,6425,543,1288.0,,0.0,1630,3461,15612,,368,568,1162,0.0,5369,7467,826,101,3268,1052,5247,1420.0,0.0,1074,404,0.0,2898,15612,
03/31/2001,,5740,11989,-6249,5740,1438,0.0,0,1009,67,,6301,8815,540,1253.0,,0.0,3134,4927,19482,,280,1532,930,0.0,7197,9939,895,100,3280,2235,6510,1425.0,0.0,1204,404,0.0,3033,19482,
06/30/2001,,5797,12159,-6362,5797,1588,0.0,0,709,150,,3879,6326,538,,1201.0,0.0,1974,3713,15836,,258,1199,935,0.0,4119,6511,920,98,3676,1514,6208,1446.0,0.0,1267,404,0.0,3117,15836,
09/30/2001,,5941,12416,-6475,5941,945,0.0,0,466,191,,3568,5170,524,1290.0,,0.0,2252,4066,15177,,358,633,645,0.0,3696,5332,938,96,3583,2069,6686,1456.0,0.0,1299,404,0.0,3159,15177,
12/31/2001,,6217,12806,-6589,6217,605,0.0,0,660,289,,3254,4808,526,1196.0,,0.0,2409,4131,15156,,242,875,702,0.0,3705,5524,847,95,3436,2158,6536,1495.0,0.0,1197,404,0.0,3096,15156,
03/31/2002,,6365,13073,-6708,6365,740,0.0,0,543,66,,5554,6903,522,1075.0,,0.0,2413,4010,17278,,314,1038,563,0.0,5550,7465,884,94,3496,2237,6711,1500.0,0.0,1198,404,0.0,3102,17278,
06/30/2002,,6511,13336,-6825,6511,522,0.0,0,521,74,0.0,5215,6332,521,1201.0,0.0,0.0,2547,4269,17112,,284,423,604,151.0,5313,6775,840,92,3902,2406,7240,1446.0,0.0,1247,404,0.0,3097,17112,
09/30/2002,,6586,13487,-6901,6586,420,0.0,0,496,126,,5422,6464,498,1227.0,,0.0,2398,4123,17173,,183,685,544,142.0,5311,6865,899,91,3876,2311,7177,1435.0,0.0,1292,404,0.0,3131,17173,
12/31/2002,,9318,13816,-4498,9318,455,0.0,0,754,134,,5667,7010,494,1313.0,0.0,0.0,2107,3914,20242,,281,570,694,0.0,5702,7247,800,90,4083,4793,9766,1436.0,0.0,1389,404,0.0,3229,20242,
03/31/2003,,7261,14036,-6775,7261,803,0.0,0,789,71,,6301,7964,487,1370.0,,0.0,2054,3911,19136,,205,412,715,0.0,6704,8036,777,88,4324,2616,7805,1457.0,0.0,1435,403,0.0,3295,19136,
06/30/2003,,7477,14367,-6890,7477,325,0.0,0,822,129,0.0,5447,6723,534,1446.0,0.0,0.0,2043,4023,18223,,204,311,749,136.0,5595,6995,791,87,4414,2702,7994,1502.0,0.0,1529,203,0.0,3234,18223,
09/30/2003,,7453,14474,-7021,7453,411,0.0,0,753,240,0.0,5249,6653,529,1481.0,0.0,0.0,1938,3948,18054,,726,639,734,213.0,5088,7400,751,85,3759,2670,7265,1534.0,0.0,1676,179,0.0,3389,18054,
12/31/2003,,10474,15317,-4843,10474,432,363.0,0,1139,147,0.0,5805,7886,570,1114.0,0.0,0.0,1965,3649,22009,,1433,28,815,0.0,6072,8348,634,84,3841,5033,9592,2028.0,0.0,1862,179,0.0,4069,22009,
03/31/2004,,10550,15491,-4941,10550,653,0.0,0,715,67,0.0,5837,7272,584,1109.0,0.0,0.0,1893,3586,21408,,610,139,647,270.0,6034,7700,193,82,3822,5344,9441,2087.0,0.0,2001,179,0.0,4267,21408,
06/30/2004,,10693,15676,-4983,10693,1150,0.0,0,816,107,0.0,5794,7867,566,1055.0,0.0,0.0,1877,3498,22058,,863,68,841,401.0,5492,7665,239,81,4419,5309,10048,2122.0,0.0,2044,179,0.0,4345,22058,
09/30/2004,,10847,15927,-5080,10847,267,0.0,0,770,225,0.0,6847,8109,575,1132.0,0.0,0.0,1801,3508,22464,,99,435,834,436.0,6080,7884,170,80,4414,5356,10020,2166.0,0.0,2215,179,0.0,4560,22464,
12/31/2004,,11086,16203,-5117,11086,419,15.0,0,1032,172,0.0,7138,8776,612,1164.0,0.0,0.0,2137,3913,23775,,398,405,1126,310.0,6843,9082,420,78,4192,4959,9649,2301.0,0.0,2564,179,0.0,5044,23775,
03/31/2005,,11245,16441,-5196,11245,609,12.0,0,874,70,0.0,7271,8836,613,1147.0,0.0,0.0,1919,3679,23760,,394,340,3487,387.0,4437,9045,386,77,4132,4810,9405,2422.0,0.0,2709,179,0.0,5310,23760,
06/30/2005,,11434,16706,-5272,11434,726,12.0,0,768,101,0.0,7542,9149,617,1109.0,0.0,0.0,1896,3622,24205,,401,251,3742,233.0,4138,8765,361,76,4369,4808,9614,2915.0,0.0,2732,179,0.0,5826,24205,
09/30/2005,,11780,17155,-5375,11780,503,12.0,0,800,240,0.0,11913,13468,631,1104.0,0.0,0.0,1996,3731,28979,,401,305,5589,212.0,6613,13120,227,74,4346,5156,9803,2952.0,0.0,2925,179,0.0,6056,28979,
12/31/2005,,11756,17136,-5380,11756,769,12.0,12,1145,205,0.0,11696,13827,638,1091.0,0.0,0.0,1934,3663,29246,,98,1043,5521,226.0,5365,12253,214,73,4815,5552,10654,2958.0,0.0,3202,179,0.0,6339,29246,
03/31/2006,,12169,17676,-5507,12169,650,4.0,0,1091,98,0.0,10245,12088,654,1201.0,0.0,0.0,1938,3793,28050,,89,673,4286,346.0,5322,10716,223,71,4778,5600,10672,3093.0,0.0,3390,179,0.0,6662,28050,
06/30/2006,,12385,17929,-5544,12385,721,4.0,0,741,136,0.0,9630,11232,649,1092.0,0.0,0.0,1929,3670,27287,,681,375,3871,262.0,4640,9829,218,70,4414,5750,10452,3157.0,0.0,3670,179,0.0,7006,27287,
09/30/2006,,12680,18324,-5644,12680,1501,,165,702,300,,10067,12735,669,1062.0,,,1900,3631,29046,,842,411,4448,285.0,4810,10796,355,68,4416,5756,10595,3242.0,,4234,179,,7655,29046,
12/31/2006,,13175,18916,-5741,13175,920,,4,1035,215,,9842,12016,702,1086.0,,,1970,3758,28949,,681,252,4798,154.0,4464,10349,412,67,4525,5906,10910,3245.0,,4266,179,,7690,28949,
03/31/2007,,13486,19323,-5837,13486,1658,0.0,1,917,111,0.0,8044,10731,710,1138.0,0.0,0.0,1959,3807,28024,,656,101,3782,267.0,4394,9200,378,66,4520,5972,10936,3287.0,0.0,4422,179,0.0,7888,28024,
06/30/2007,,14050,19980,-5930,14050,1352,0.0,1,772,167,0.0,8296,10588,728,1122.0,0.0,0.0,1989,3839,28477,,340,627,3849,171.0,4480,9467,437,64,4219,5946,10666,3325.0,0.0,4664,179,176.0,8344,28477,
09/30/2007,,14329,20362,-6033,14329,1072,0.0,1,764,325,0.0,8968,11130,745,1121.0,0.0,0.0,1977,3843,29302,,7,1206,3947,153.0,4518,9831,519,63,4502,5963,11047,3191.0,0.0,4889,179,165.0,8424,29302,
12/31/2007,,14884,20917,-6033,14884,668,0.0,1,1074,224,0.0,9371,11338,739,1243.0,0.0,0.0,1887,3869,30091,,7,1064,4891,145.0,4287,10394,531,61,4553,5886,11031,3198.0,0.0,5141,179,148.0,8666,30091,
03/31/2008,,15288,21420,-6132,15288,806,413.0,0,1135,103,0.0,8013,10470,701,1494.0,0.0,0.0,1901,4096,29854,,23,1630,3218,233.0,4820,9924,510,60,4589,5864,11023,3219.0,0.0,5358,179,151.0,8907,29854,
06/30/2008,,15571,21633,-6062,15571,230,413.0,0,997,125,0.0,745,2510,685,1261.0,1985.0,0.0,1743,5674,23755,,302,829,879,145.0,2121,4276,668,59,4809,5872,11408,2240.0,0.0,5443,179,209.0,8071,23755,
09/30/2008,,15814,22028,-6214,15814,198,413.0,0,796,461,0.0,702,2570,636,1247.0,1912.0,0.0,1670,5465,23849,,302,319,743,412.0,1359,3135,799,58,5864,5712,12433,2265.0,0.0,5633,179,204.0,8281,23849,
12/31/2008,,16865,23153,-6288,16865,331,176.0,27,981,320,0.0,641,2476,577,1166.0,2082.0,0.0,3234,7059,26400,,410,503,856,436.0,1407,3612,946,57,6544,6853,14400,2265.0,0.0,5704,179,240.0,8388,26400,
03/31/2009,,17208,23613,-6405,17208,720,176.0,27,882,150,,1372,3327,537,1228.0,1958.0,,3076,6799,27334,,921,426,622,333.0,2598,4900,944,55,6044,6799,13842,,2281.0,5966,179,166.0,8592,27334,
06/30/2009,,17413,23889,-6476,17413,818,0.0,27,715,169,,1595,3324,580,1470.0,2019.0,,3116,7185,27922,,624,291,616,369.0,2453,4353,1152,54,6723,6829,14758,,2328.0,6149,179,155.0,8811,27922,
09/30/2009,,17772,24379,-6607,17772,756,,27,744,296,,873,2696,664,2019.0,2094.0,,3150,7927,28395,,622,851,581,430.0,1826,4310,1278,54,6845,6846,15023,,2381.0,6364,179,138.0,9062,28395,
12/31/2009,,18281,25034,-6753,18281,110,0.0,35,1130,197,0.0,823,2295,678,2151.0,2172.0,0.0,2935,7936,28512,,573,618,693,454.0,1550,3888,1318,54,7460,6462,15294,,2418.0,6589,179,144.0,9330,28512,
03/31/2010,,18490,25391,-6901,18490,222,0.0,44,978,160,0.0,703,2107,706,2202.0,2178.0,0.0,3089,8175,28772,,327,912,669,385.0,1945,4238,1419,53,7198,6490,15160,,2462.0,6598,179,135.0,9374,28772,
06/30/2010,,18924,25873,-6949,18924,188,,3,818,151,,713,1873,675,2451.0,1956.0,,3207,8289,29086,,307,923,649,401.0,1771,4051,1466,53,7562,6465,15546,2493.0,,6697,179,120.0,9489,29086,
09/30/2010,,19221,26286,-7065,19221,547,,4,776,296,,872,2495,737,2317.0,825.0,,3354,7233,28949,,313,574,702,479.0,1709,3777,1516,52,8032,6486,16086,,2012.0,6790,179,105.0,9086,28949,
12/31/2010,,19876,27087,-7211,19876,912,0.0,131,1032,258,0.0,1020,3353,769,2164.0,787.0,0.0,3334,7054,30283,,349,158,864,499.0,1916,3786,1561,50,8980,6589,17180,,2036.0,6991,179,111.0,9317,30283,
03/31/2011,,20200,27556,-7356,20200,1219,0.0,318,1058,176,0.0,655,3426,796,2163.0,779.0,0.0,3332,7070,30696,,89,566,709,462.0,1828,3654,1633,49,9174,6704,17560,,2052.0,7134,179,117.0,9482,30696,
06/30/2011,,22156,29400,-7244,22156,392,0.0,188,1176,211,0.0,584,2551,808,1513.0,439.0,0.0,4369,7129,31836,,144,453,915,486.0,1577,3575,1826,48,9648,6688,18210,,2074.0,7505,99,373.0,10051,31836,
09/30/2011,,22703,30130,-7427,22703,657,0.0,133,1097,369,0.0,682,2938,760,1485.0,322.0,0.0,4408,6975,32616,,137,641,1008,527.0,1682,3995,1852,47,10033,6626,18558,,2089.0,7541,99,334.0,10063,32616,
12/31/2011,,23465,31192,-7727,23465,252,0.0,24,1345,346,0.0,365,2332,804,42.0,1629.0,0.0,4977,7452,33249,,336,449,1107,547.0,1713,4152,1520,49,10078,7193,18840,,2104.0,7671,99,383.0,10257,33249,
03/31/2012,,24076,31995,-7919,24076,404,0.0,23,1239,222,0.0,410,2298,865,1722.0,0.0,0.0,5084,7671,34045,,713,426,1013,553.0,1775,4480,1601,48,10180,7287,19116,2117.0,,7835,99,398.0,10449,34045,
06/30/2012,,24597,32647,-8050,24597,221,,21,985,249,,564,2040,847,1639.0,,,5079,7565,34202,,698,713,1012,478.0,1533,4434,1544,48,10315,7489,19396,2164.0,,7715,99,394.0,10372,34202,
09/30/2012,,24990,33251,-8261,24990,530,,42,1074,398,,1034,3078,892,1585.0,,,4845,7322,35390,,709,584,1096,582.0,1378,4349,1609,47,11193,7617,20466,2178.0,,7904,99,394.0,10575,35390,
12/31/2012,,25191,33528,-8337,25191,475,,46,1299,408,,1467,3695,908,89.0,1427.0,,5189,7613,36499,,725,546,1110,603.0,1274,4258,2100,46,11621,7712,21479,2217.0,,8065,99,381.0,10762,36499,
03/31/2013,,25458,34011,-8553,25458,1471,0.0,57,1329,270,0.0,996,4123,952,1519.0,0.0,0.0,5221,7692,37273,,1381,762,990,540.0,1516,5189,2248,46,10680,7770,20744,2334.0,,8089,99,818.0,11340,37273,
06/30/2013,,25171,33728,-8557,25171,954,0.0,89,1161,357,0.0,1100,3661,938,1466.0,0.0,0.0,5784,8188,37020,,1540,510,1073,506.0,1096,4725,2389,44,10530,7705,20668,2366.0,,8338,99,824.0,11627,37020,
09/30/2013,,24763,33573,-8810,24763,1061,,28,1176,463,,984,3712,981,1564.0,,,5881,8426,36901,,1441,522,990,600.0,977,4530,2543,43,10478,7553,20617,2424.0,,8485,20,825.0,11754,36901,
12/31/2013,,25460,34407,-8947,25460,904,,24,1526,287,,1256,3997,1034,90.0,1485.0,,5178,7787,37244,,1147,545,1215,647.0,815,4369,2804,42,11253,6926,21025,2409.0,,8599,20,822.0,11850,37244,
03/31/2014,,25452,34463,-9011,25452,844,0.0,26,1407,197,0.0,1750,4224,1055,1634.0,0.0,0.0,5119,7808,37484,,97,1084,1200,582.0,912,3875,2958,41,11700,7021,21720,2401.0,,8639,20,829.0,11889,37484,
06/30/2014,,26012,35226,-9214,26012,789,0.0,20,1239,267,0.0,1880,4195,1096,1769.0,0.0,0.0,5235,8100,38307,,195,1238,1154,548.0,747,3882,3010,40,12323,7001,22374,2448.0,,8746,20,837.0,12051,38307,
09/30/2014,,26409,35829,-9420,26409,667,,22,1264,472,,1989,4414,1087,1797.0,,,5275,8159,38982,,188,1309,1282,672.0,841,4292,3113,38,12437,6945,22533,2499.0,,8834,20,804.0,12157,38982,
12/31/2014,,25902,35407,-9505,25902,570,,11,1394,396,,1813,4184,1131,93.0,2755.0,,5667,9646,39732,,469,1733,1353,655.0,859,5069,3003,37,12167,7356,22563,2484.0,,8842,20,754.0,12100,39732,
03/31/2015,,26236,35901,-9665,26236,377,0.0,10,1256,255,0.0,1758,3656,1150,2772.0,,0.0,5737,9659,39551,,477,795,1044,582.0,872,3770,3019,35,13012,7434,23500,2514.0,,8990,20,757.0,12281,39551,
06/30/2015,,26693,36523,-9830,26693,636,0.0,8,1154,266,,1442,3506,1145,2929.0,,,5733,9807,40006,,1273,738,1014,571.0,803,4399,3016,35,12626,7455,23132,2555.0,,9128,20,772.0,12475,40006,
09/30/2015,,27314,37280,-9966,27314,697,0.0,13,1200,416,0.0,1280,3606,1060,2845.0,,0.0,5741,9646,40566,,1168,1097,1234,699.0,920,5118,3057,34,12527,7434,23052,2587.0,,9038,20,751.0,12396,40566,
12/31/2015,,28039,38200,-10161,28039,403,,27,1473,298,,690,2891,1063,2905.0,,,6252,10220,41150,,907,622,1275,726.0,1082,4612,3157,32,13134,7636,23959,2621.0,,9188,20,750.0,12579,41150,
03/31/2016,,28433,38541,-10108,28433,376,0.0,23,1277,231,0.0,976,2883,1082,2727.0,,0.0,6710,10519,41835,,1066,1177,1157,619.0,1113,5132,3222,32,12975,7750,23979,2642.0,,9304,20,758.0,12724,41835,
06/30/2016,,29495,39756,-10261,29495,616,0.0,17,1134,270,0.0,1304,3341,1103,2267.0,,0.0,6669,10039,42875,,907,1777,1241,603.0,1152,5680,3071,32,13178,8351,24632,2681.0,,9100,20,762.0,12563,42875,
09/30/2016,,31487,41938,-10451,31487,518,0.0,14,1233,302,,857,2924,1068,76.0,1764.0,,8207,11115,45526,,904,2869,1298,655.0,1068,6794,3326,34,13522,8659,25541,2684.0,,9662,20,825.0,13191,45526,
12/31/2016,,32931,43624,-10693,32931,349,0.0,66,1554,258,0.0,883,3110,1026,2097.0,,0.0,8622,11745,47786,,913,1779,1476,728.0,1031,5927,3745,28,14429,8416,26618,2982.0,,9969,20,2270.0,15241,47786,
03/31/2017,,33492,44404,-10912,33492,290,0.0,72,1468,210,0.0,913,2953,1062,2120.0,,0.0,8657,11839,48284,,839,2054,1092,621.0,1206,5812,4025,26,14409,8443,26903,3008.0,,10256,20,2285.0,15569,48284,
06/30/2017,,34561,45704,-11143,34561,223,0.0,70,1139,239,0.0,1096,2767,1029,2134.0,,0.0,8885,12048,49376,,1287,1826,1167,653.0,1130,6063,4191,27,15000,8490,27708,3046.0,,10286,20,2253.0,15605,49376,
09/30/2017,,35384,46725,-11341,35384,189,0.0,59,1387,296,0.0,947,2878,1041,2128.0,,0.0,8698,11867,50129,,1423,2498,1333,720.0,1220,7194,4090,28,14803,8512,27433,3088.0,,10177,20,2217.0,15502,50129,
12/31/2017,,36503,48108,-11605,36503,288,0.0,62,1584,307,,1100,3341,1033,2527.0,0.0,,7050,10610,50454,,1427,1540,1523,781.0,1364,6635,2767,28,17872,8012,28679,3149.0,,9521,20,2450.0,15140,50454,
03/31/2018,,37025,48857,-11832,37025,239,0.0,54,1681,285,0.0,1135,3394,1017,2590.0,9176.0,0.0,7283,20066,60485,,1871,3665,1205,747.0,1621,9109,2654,26,20863,9528,33071,4436.0,,9715,1713,2441.0,18305,60485,
06/30/2018,,34916,46902,-11986,34916,252,0.0,60,1441,288,0.0,2906,4947,1022,2576.0,9407.0,0.0,7039,20044,59907,,1108,3708,1215,808.0,1763,8602,2078,26,21278,9559,32941,5247.0,,8854,1745,2518.0,18364,59907,
09/30/2018,,35498,47734,-12236,35498,212,0.0,73,1663,345,0.0,2752,5045,1042,2561.0,9553.0,0.0,6906,20062,60605,,1464,2897,1375,851.0,1904,8491,2231,25,21335,9412,33003,5485.0,,8873,2279,2474.0,19111,60605,
12/31/2018,,34439,46615,-12176,34439,102,0.0,35,1535,258,,1715,3645,974,2320.0,9652.0,,9608,22554,60638,,1644,2024,1298,920.0,1637,7523,2321,24,22327,9195,33867,5540.0,,9340,2278,2090.0,19248,60638,
03/31/2019,,34698,47105,-12407,34698,78,0.0,41,1542,189,,1412,3262,1037,2290.0,9748.0,612.0,9971,23658,61618,,2204,2523,1155,760.0,1970,8612,2622,23,20193,10698,33536,5568.0,,9520,2278,2104.0,19470,61618,
06/30/2019,,35282,47907,-12625,35282,168,0.0,50,1242,214,0.0,1109,2783,1044,2082.0,10930.0,600.0,10006,24662,62727,,2205,2395,1200,789.0,1588,8177,2626,23,21649,10818,35116,5563.0,,9577,2320,1974.0,19434,62727,
09/30/2019,,35520,48139,-12619,35520,106,0.0,28,1431,270,0.0,1831,3666,1049,2076.0,11145.0,595.0,10534,25399,64585,,1670,3588,1129,879.0,2232,9498,2360,22,21442,10712,34536,6332.0,,9988,2320,1911.0,20551,64585,
12/31/2019,,36452,49329,-12877,36452,108,0.0,31,1716,277,,1207,3339,1082,2103.0,11519.0,591.0,10579,25874,65665,,1578,3505,1413,991.0,1663,9150,2577,21,21230,10882,34710,7480.0,,10191,2278,1856.0,21805,65665,
03/31/2020,,37067,50185,-13118,37067,2247,0.0,23,1591,217,0.0,1346,5424,987,2215.0,11619.0,592.0,10389,25802,68293,,2079,5742,1201,812.0,2343,12177,2466,21,20198,11316,34001,7472.0,,10387,2278,1978.0,22115,68293,
06/30/2020,,37945,51346,-13401,37945,4894,0.0,33,1428,267,0.0,1018,7640,1062,2197.0,11758.0,578.0,7205,22800,68385,,2285,3143,1447,889.0,1831,9595,2574,20,20535,10275,33404,7490.0,,12969,3167,1760.0,25386,68385,
