Date,Revenue,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
06/30/2016,,20.0,20.0,,,,,,,
09/30/2016,,62.0,62.0,,,,,,,
12/31/2016,,-5.0,-5.0,,,,,,,
03/31/2017,,17.0,17.0,,,,,,,
06/30/2017,,29.0,29.0,,,,,,,
09/30/2017,,66.0,66.0,,,,,,,
12/31/2017,,4.0,22.2,,,,,,,
03/31/2018,,30.0,30.0,,,,,,,
06/30/2018,,36.0,36.0,,,,,,,
09/30/2018,,82.0,82.0,,,,,,,
12/31/2018,,22.0,22.0,,,,,,,
03/31/2019,,27.0,27.0,,,,,,,
06/30/2019,,43.0,43.0,,,,,,,
09/30/2019,,83.0,83.0,,,,,,,
12/31/2019,,-19.0,-19.0,,,,,,,
03/31/2020,,-17.0,-17.0,,,,,,,
06/30/2020,,48.0,48.0,,,,,,,
