Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2005,14516,2510,1392,1118,128,,,1110,911,55.0,175,-31,1086,,,,,4834,1084,2529.0,-1445.0,0.0,8598,8075,5685.0,2390.0,523,9682,,83,83,,,,191,191.0,0.0,0.0,,3879,,,3879,4153,1564,1564.0,0.0,0.0,2550,,,,2550,4114,8267,0.0,8683,0.0,-1751.0,-683,6249,0.0,6249,14516,
12/31/2005,14519,2706,1333,1373,99,,,1066,916,57.0,156,-63,1194,,,,,5065,1053,2479.0,-1426.0,0.0,8401,8086,5672.0,2414.0,315,9454,,43,43,,,,190,190.0,0.0,0.0,,3916,,,3916,4149,1558,1558.0,0.0,0.0,2259,,,,2259,3817,7966,0.0,8694,0.0,-1638.0,-503,6553,0.0,6553,14519,
03/31/2006,13927,2181,1705,476,156,156.0,,1030,831,51.0,176,-28,1152,,,,,4519,1050,2507.0,-1457.0,0.0,8358,8079,5672.0,2407.0,279,9408,,73,73,,,,190,190.0,0.0,0.0,,3411,,,3411,3674,1545,1545.0,0.0,0.0,1990,,,,1990,3535,7209,0.0,8699,0.0,-1477.0,-504,6718,0.0,6718,13927,
06/30/2006,16934,1822,1105,717,145,145.0,,1119,42,62.0,159,856,997,,,,,4083,1065,,,0.0,11786,11463,9059.0,2404.0,323,12851,,22,22,,,,314,314.0,0.0,0.0,,3213,,,3213,3549,4413,4413.0,0.0,0.0,2060,,,,2060,6473,10022,0.0,8702,0.0,-1286.0,-504,6912,0.0,6912,16934,
09/30/2006,17664,2531,1128,1403,111,111.0,,1120,939,59.0,154,-32,1043,,,,,4805,1048,2546.0,-1498.0,,11811,13431,9073.0,4358.0,-1620,12859,,98,98,,,,344,,,,,3839,,,3839,4281,4394,,,,1990,,,,1990,6384,10665,,8700,0.0,-1199.0,-502,6999,,6999,17664,
12/31/2006,18178,2726,1433,1293,100,100.0,,1155,974,54.0,164,-37,954,,,,,4935,1062,2511.0,-1449.0,0.0,12181,11869,8175.0,3694.0,312,13243,,275,275,,,,344,344.0,0.0,0.0,,3473,,,3473,4092,4389,4389.0,0.0,0.0,2654,,,,2654,7043,11135,0.0,8702,0.0,-1241.0,-418,7043,0.0,7043,18178,
03/31/2007,17715,1879,1068,811,147,147.0,,1148,934,55.0,190,-31,1094,,,,,4268,1062,2539.0,-1477.0,0.0,12385,11863,8175.0,3688.0,522,13447,,207,207,,,,344,344.0,0.0,0.0,,3039,,,3039,3590,4388,4388.0,0.0,0.0,2634,,,,2634,7022,10612,0.0,8644,0.0,-1130.0,-411,7103,0.0,7103,17715,
06/30/2007,17630,2006,1163,843,158,158.0,,1056,871,54.0,174,-43,954,,,,,4174,1064,2567.0,-1503.0,0.0,12392,11857,8175.0,3682.0,535,13456,,200,200,,,,29,29.0,0.0,0.0,,3123,,,3123,3352,4399,4399.0,0.0,0.0,2662,,,,2662,7061,10413,0.0,8647,0.0,-1026.0,-404,7217,0.0,7217,17630,
09/30/2007,18639,2855,2059,796,206,206.0,,1053,870,55.0,173,-45,982,,,,,5096,1066,2596.0,-1530.0,0.0,12477,11854,8174.0,3680.0,623,13543,,219,219,,,,0,0.0,0.0,0.0,,3891,,,3891,4110,4452,4452.0,0.0,0.0,2744,,,,2744,7196,11306,0.0,8650,0.0,-919.0,-398,7333,0.0,7333,18639,
12/31/2007,18629,2592,2215,377,99,99.0,,1196,1012,48.0,163,75,1105,,,,,4992,1073,2590.0,-1517.0,0.0,12564,11783,8174.0,3609.0,781,13637,,218,218,,,,0,0.0,0.0,0.0,,3685,,,3685,3903,4515,4515.0,0.0,0.0,2745,,,,2745,7260,11163,0.0,8653,0.0,-873.0,-314,7466,0.0,7466,18629,
03/31/2008,19610,3136,2806,330,78,78.0,,1153,958,53.0,177,-35,1300,,,,,5667,1075,2611.0,-1536.0,0.0,12868,11778,8174.0,3604.0,1090,13943,,169,169,,,,0,0.0,0.0,0.0,,4258,,,4258,4427,4571,4571.0,0.0,0.0,2872,,,,2872,7443,11870,0.0,8657,0.0,-619.0,-298,7740,0.0,7740,19610,
06/30/2008,17888,1636,1636,0,175,175.0,,1081,893,52.0,176,-40,1059,,,,,3951,1076,2637.0,-1561.0,0.0,12861,11772,8174.0,3598.0,1089,13937,,117,117,,,,200,200.0,0.0,0.0,,2668,,,2668,2985,4297,4297.0,0.0,0.0,2864,,,,2864,7161,10146,0.0,8545,0.0,-504.0,-299,7742,0.0,7742,17888,
09/30/2008,18418,2381,2329,52,146,146.0,,1072,892,55.0,172,-47,1091,,,,,4690,1053,2611.0,-1558.0,0.0,12675,11594,8174.0,3420.0,1081,13728,,169,169,,,,200,200.0,0.0,0.0,,3332,,,3332,3701,4304,4304.0,0.0,0.0,2825,,,,2825,7129,10830,0.0,8459,0.0,-541.0,-330,7588,0.0,7588,18418,
12/31/2008,18154,2601,2578,23,84,84.0,,1170,1053,58.0,145,-86,1164,,,,,5019,1031,2580.0,-1549.0,0.0,12104,11444,8174.0,3270.0,660,13135,,206,206,,,,200,200.0,0.0,0.0,,3517,,,3517,3923,4486,4486.0,0.0,0.0,3508,,,,3508,7994,11917,0.0,8463,0.0,-531.0,-1695,6237,0.0,6237,18154,
03/31/2009,18289,3179,3169,10,84,84.0,0.0,1215,1026,61.0,217,-89,1182,,,,331.0,5660,1025,2604.0,-1579.0,0.0,11604,11166,8174.0,2992.0,438,12629,,3020,123,,,2897.0,200,0.0,,,200.0,1275,,,1241,4495,4460,4460.0,,,3332,,2844.0,97.0,391,7792,12287,0.0,8475,0.0,-772.0,-1701,6002,0.0,6002,18289,
06/30/2009,17257,2186,2180,6,95,95.0,0.0,1118,950,65.0,190,-87,1311,,,,437.0,4710,999,2558.0,-1559.0,0.0,11548,11156,8174.0,2982.0,392,12547,,1902,112,,,1790.0,0,0.0,,,0.0,1461,,,1437,3363,4452,4452.0,,,3244,,2732.0,137.0,375,7696,11059,0.0,8482,0.0,-643.0,-1641,6198,0.0,6198,17257,
09/30/2009,17638,2519,2513,6,158,158.0,0.0,1095,936,80.0,204,-125,1304,,,,392.0,5076,990,2553.0,-1563.0,0.0,11572,11145,8174.0,2971.0,427,12562,,2508,112,,,2396.0,300,0.0,,,300.0,1113,,,1100,3921,4144,4144.0,,,3217,,2614.0,233.0,370,7361,11282,0.0,8490,0.0,-530.0,-1604,6356,0.0,6356,17638,
12/31/2009,18009,2723,2723,0,145,109.0,36.0,1219,1117,80.0,180,-158,1408,239.0,0.0,,452.0,5495,1025,2595.0,-1570.0,0.0,11489,11118,8185.0,2933.0,132,12514,,2807,196,0.0,0.0,2611.0,300,0.0,0.0,0.0,300.0,1233,0.0,237.0,1176,4340,3901,3901.0,0.0,0.0,3270,0.0,2218.0,441.0,374,7171,11511,0.0,8498,0.0,-579.0,-1421,6498,0.0,6498,18009,
03/31/2010,18402,3272,3272,0,153,117.0,36.0,1190,1076,82.0,185,-153,1286,,,,335.0,5901,1024,1678.0,-654.0,0.0,11477,10961,8185.0,2776.0,516,12501,,3310,114,,,3196.0,300,0.0,,,300.0,1631,,,1594,5241,4127,4127.0,,,2673,,1913.0,454.0,306,6800,12041,0.0,8503,0.0,-761.0,-1381,6361,0.0,6361,18402,
06/30/2010,16636,1621,1621,0,161,133.0,28.0,1102,984,82.0,192,-156,1337,,,,395.0,4221,997,2591.0,-1594.0,0.0,11418,10975,8184.0,2791.0,443,12415,,1875,99,,,1776.0,700,0.0,,,700.0,1202,,,1173,3777,3719,3719.0,,,2691,,1898.0,472.0,321,6410,10187,0.0,8514,0.0,-685.0,-1380,6449,0.0,6449,16636,
09/30/2010,17202,2252,2252,0,141,141.0,0.0,1020,955,76.0,156,-167,1286,,,,341.0,4699,980,2539.0,-1559.0,0.0,11523,10944,8185.0,2759.0,579,12503,,2485,100,,,2385.0,400,0.0,,,400.0,1149,,,1131,4034,3710,3710.0,,,2830,,1891.0,573.0,366,6540,10574,0.0,8524,0.0,-568.0,-1328,6628,0.0,6628,17202,
12/31/2010,17078,2195,2195,0,118,118.0,0.0,1055,1041,64.0,122,-172,1434,0.0,201.0,,287.0,4802,1002,2602.0,-1600.0,0.0,11274,10888,8010.0,2878.0,386,12276,,2768,179,0.0,0.0,2589.0,400,0.0,0.0,0.0,400.0,1204,0.0,198.0,1151,4372,3503,3503.0,0.0,0.0,2693,0.0,1668.0,518.0,309,6196,10568,0.0,8535,0.0,-1807.0,-218,6510,0.0,6510,17078,
03/31/2011,17728,2999,2999,0,186,148.0,38.0,1006,965,65.0,154,-178,1251,,,,304.0,5442,1011,2624.0,-1613.0,0.0,11275,10683,8011.0,2672.0,592,12286,,3260,96,,,3164.0,400,0.0,,,400.0,1294,,,1258,4954,3691,3691.0,,,2492,,1659.0,575.0,258,6183,11137,0.0,8537,0.0,-505.0,-1441,6591,0.0,6591,17728,
06/30/2011,16005,1338,1338,0,217,183.0,34.0,909,868,60.0,143,-162,1330,,,,380.0,3794,1025,2638.0,-1613.0,0.0,11186,10723,8011.0,2712.0,463,12211,,1858,104,,,1754.0,464,0.0,,,464.0,1298,,,1274,3620,3218,3218.0,,,2516,,1590.0,656.0,270,5734,9354,0.0,8549,0.0,-513.0,-1385,6651,0.0,6651,16005,
09/30/2011,16403,2010,2010,0,121,88.0,33.0,914,854,68.0,157,-165,1360,,,,397.0,4405,1052,2669.0,-1617.0,0.0,10946,10709,8010.0,2699.0,237,11998,,2455,114,,,2341.0,460,0.0,,,460.0,1131,,,1121,4046,3212,3212.0,,,2431,,1485.0,702.0,244,5643,9689,0.0,8559,0.0,-458.0,-1387,6714,0.0,6714,16403,
12/31/2011,16254,1956,1956,0,134,101.0,33.0,967,929,60.0,139,-161,1250,,,,305.0,4307,1070,2685.0,-1615.0,0.0,10877,10612,8010.0,2602.0,265,11947,,2643,113,0.0,0.0,2530.0,457,0.0,0.0,0.0,457.0,1176,0.0,,1134,4276,3206,3206.0,0.0,0.0,2521,0.0,1759.0,511.0,251,5727,10003,0.0,8293,0.0,-1660.0,-382,6251,0.0,6251,16254,
03/31/2012,16672,2396,2396,0,90,90.0,0.0,972,904,60.0,170,-162,1276,,,,337.0,4734,1063,2639.0,-1576.0,0.0,10875,10608,8010.0,2598.0,267,11938,,3246,151,,,3095.0,453,0.0,,,453.0,1201,,,1172,4900,3200,3200.0,,,2544,,1658.0,586.0,300,5744,10644,0.0,8037,0.0,-1713.0,-296,6028,0.0,6028,16672,
06/30/2012,15234,1005,1005,0,111,111.0,0.0,917,869,57.0,151,-160,1314,,,,384.0,3347,1053,2644.0,-1591.0,0.0,10834,10601,8010.0,2591.0,233,11887,,1843,123,,,1720.0,1374,750.0,,,624.0,1094,,,1077,4311,2569,2569.0,,,2463,,1595.0,641.0,227,5032,9343,0.0,7796,0.0,-1605.0,-300,5891,0.0,5891,15234,
09/30/2012,15394,1243,1243,0,95,95.0,0.0,924,886,62.0,142,-166,1257,,,,336.0,3519,1038,2647.0,-1609.0,0.0,10837,10599,8011.0,2588.0,238,11875,,2428,146,,,2282.0,1335,650.0,,,685.0,990,,,980,4753,2502,2502.0,,,2408,,1504.0,678.0,226,4910,9663,0.0,7504,0.0,-1517.0,-256,5731,0.0,5731,15394,
