Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
06/30/2000,3100,620,346,-34,,-34,2168,-102.0,350.0,,1920,,-432.0,-189.0,58.0,,,-247.0,,,0.0,0.0,0.0,,,,,-243.0,-524.0,-127.0,-163.0,-234.0,10.0,-244.0,0.0,,2144.0,,
09/30/2000,1705,609,361,-59,,-59,794,-193.0,477.0,,510,,-902.0,-120.0,45.0,,,-165.0,,,0.0,0.0,0.0,,,,,-782.0,587.0,-125.0,1183.0,-471.0,75.0,-546.0,0.0,,1390.0,,
12/31/2000,2098,481,420,401,,401,796,,,,796,,-6720.0,-266.0,49.0,,,-315.0,,,0.0,0.0,0.0,,,,,-6454.0,-530.0,-125.0,1026.0,-1431.0,32.0,-1463.0,0.0,,-5152.0,,
03/31/2001,1090,1237,384,-349,,-349,-182,,-1227.0,,1045,,-378.0,-172.0,68.0,,,-240.0,,,0.0,0.0,0.0,,,,,-206.0,-170.0,-148.0,80.0,-102.0,29.0,-131.0,0.0,,542.0,,
06/30/2001,1136,840,357,91,,91,-152,218.0,-618.0,,248,,-1369.0,-230.0,0.0,,,-230.0,,,0.0,0.0,0.0,,,,,-1139.0,183.0,-149.0,1703.0,-1371.0,38.0,-1409.0,0.0,,-50.0,,
09/30/2001,1442,650,351,-1197,,-1197,1638,103.0,-961.0,,2496,,-1341.0,-175.0,67.0,,,-242.0,,,0.0,0.0,0.0,,,,,-1166.0,-31.0,-142.0,979.0,-868.0,9.0,-877.0,0.0,,70.0,,
12/31/2001,226,100,651,1086,,1086,-1611,,,,-1611,,-1701.0,-460.0,17.0,,,-477.0,,,0.0,0.0,0.0,,,,,-1241.0,536.0,-143.0,676.0,3.0,3.0,0.0,0.0,,-939.0,,
03/31/2002,761,-1249,322,2649,,2649,-961,-525.0,529.0,,-965,,-1137.0,-223.0,0.0,,,-223.0,,,0.0,0.0,0.0,,,,,-914.0,386.0,-142.0,494.0,34.0,34.0,0.0,0.0,,10.0,,
06/30/2002,925,779,328,-94,,-94,-88,-20.0,590.0,,-658,,-855.0,-188.0,52.0,,,-240.0,,,0.0,0.0,0.0,,,,,-667.0,103.0,-143.0,233.0,13.0,13.0,0.0,0.0,,173.0,,
09/30/2002,1280,372,354,286,,286,268,509.0,-467.0,,226,,-575.0,-54.0,69.0,,,-123.0,,,0.0,0.0,0.0,,,,,-521.0,181.0,-143.0,317.0,7.0,7.0,0.0,0.0,,886.0,,
12/31/2002,1311,590,493,737,,737,-509,,,,-509,,-754.0,-379.0,36.0,,,-415.0,,,0.0,0.0,0.0,,,,,-375.0,74.0,-143.0,204.0,13.0,13.0,0.0,0.0,,631.0,,
03/31/2003,-428,-478,366,1231,,1231,-1547,25.0,-275.0,,-1297,,-407.0,-68.0,62.0,,,-130.0,,,0.0,0.0,0.0,,,,,-339.0,495.0,-143.0,622.0,16.0,16.0,0.0,0.0,,-340.0,333.0,
06/30/2003,845,-192,418,100,,100,519,82.0,-331.0,,768,,-350.0,-135.0,38.0,,,-173.0,,,0.0,0.0,0.0,,,,,-215.0,-609.0,-143.0,-470.0,4.0,4.0,0.0,0.0,,-114.0,,
09/30/2003,-168,256,297,40,,40,-761,532.0,-718.0,,-575,,-105.0,-117.0,58.0,,,-175.0,,,0.0,0.0,0.0,,,,,12.0,127.0,-143.0,266.0,4.0,4.0,0.0,0.0,,-146.0,,
12/31/2003,3632,1132,369,304,,304,1827,,,,1827,,-198.0,-235.0,28.0,,,-263.0,,,0.0,0.0,0.0,,,,,37.0,-534.0,-143.0,-400.0,9.0,9.0,0.0,0.0,,2900.0,,
03/31/2004,-64,623,336,-5,,-5,-1018,-378.0,-119.0,,-521,,-31.0,-179.0,16.0,,,-195.0,,,,,,,,,,148.0,-588.0,-143.0,-471.0,26.0,26.0,,,,-683.0,97.0,
06/30/2004,1449,607,330,356,,356,156,-119.0,276.0,,-1,,1473.0,-112.0,0.0,,,-112.0,,,0.0,0.0,0.0,,,,,1585.0,-688.0,-169.0,-257.0,-262.0,0.0,-262.0,0.0,,2234.0,,
09/30/2004,675,456,326,-3306,,-3306,3199,-738.0,80.0,,3857,,-1023.0,-332.0,0.0,,,-332.0,,,0.0,0.0,0.0,,,,,-691.0,-1524.0,-168.0,-1338.0,-18.0,39.0,-57.0,0.0,,-1872.0,,
12/31/2004,1444,186,517,4234,,4234,-3493,,654.0,,-4147,,-1865.0,-355.0,252.0,,,-607.0,,,0.0,0.0,0.0,,,,,-1510.0,-687.0,-168.0,-142.0,-400.0,33.0,-433.0,23.0,,-1108.0,,
03/31/2005,1405,535,355,681,,681,-166,-695.0,383.0,,146,,-287.0,-202.0,105.0,,,-307.0,,,0.0,0.0,0.0,,,,,-85.0,-992.0,-208.0,-372.0,-412.0,83.0,-495.0,0.0,,126.0,-71.0,
06/30/2005,2686,566,403,545,,545,1172,185.0,71.0,,916,,453.0,448.0,928.0,,,-480.0,,,0.0,0.0,0.0,,,,,5.0,-1508.0,-207.0,-788.0,-513.0,132.0,-645.0,0.0,,1631.0,,
09/30/2005,522,1011,372,-92,,-92,-769,164.0,-1504.0,,571,,179.0,-287.0,0.0,,,-287.0,,,0.0,0.0,0.0,,,,,466.0,-1115.0,-205.0,-110.0,-800.0,105.0,-905.0,0.0,,-414.0,,
12/31/2005,2387,460,373,1027,,1027,527,-246.0,-915.0,,1688,,-443.0,-473.0,0.0,,,-473.0,,,0.0,0.0,0.0,,,,,30.0,-1079.0,-200.0,-108.0,-734.0,98.0,-832.0,-37.0,,865.0,,
03/31/2006,2055,692,369,380,,380,614,78.0,387.0,,149,,-196.0,-295.0,117.0,,,-412.0,,,0.0,0.0,0.0,,,,,99.0,-490.0,-240.0,-29.0,-224.0,180.0,-404.0,3.0,,1369.0,,
06/30/2006,2443,-160,385,756,,756,1462,543.0,291.0,,628,,-450.0,-319.0,14.0,,,-333.0,,,0.0,0.0,0.0,,,,,-131.0,-1207.0,-241.0,-597.0,-384.0,141.0,-525.0,15.0,,786.0,,
09/30/2006,560,694,369,676,,676,-1179,-455.0,-158.0,,-566,,-1922.0,-348.0,0.0,,,-348.0,,,0.0,0.0,0.0,,,,,-1574.0,-1007.0,-238.0,-471.0,-301.0,24.0,-325.0,3.0,,-2369.0,,
12/31/2006,2441,989,422,207,,207,823,-410.0,-76.0,,1309,,-618.0,-494.0,94.0,,,-588.0,,,0.0,0.0,0.0,,,,,-124.0,-903.0,-237.0,-583.0,-100.0,344.0,-444.0,17.0,,920.0,,
03/31/2007,728,877,356,-103,17.0,-120,-402,-231.0,-298.0,,127,,-681.0,-451.0,0.0,,,-451.0,,,0.0,0.0,0.0,,,,,-230.0,-1329.0,-276.0,-817.0,-238.0,122.0,-360.0,2.0,,-1282.0,,
06/30/2007,3634,1050,397,1195,,1195,992,-530.0,-82.0,,1604,,-531.0,-397.0,17.0,,,-414.0,,,0.0,0.0,0.0,,,,,-134.0,-783.0,-276.0,-66.0,-450.0,136.0,-586.0,9.0,,2320.0,,
09/30/2007,3329,1114,338,513,,513,1364,403.0,280.0,,681,,-385.0,-412.0,5.0,,,-417.0,,,0.0,0.0,0.0,,,,,27.0,-1152.0,-274.0,-96.0,-792.0,79.0,-871.0,10.0,,1792.0,,
12/31/2007,1893,1033,395,1026,,1026,-561,-34.0,-1458.0,,931,,-2225.0,-412.0,37.0,,,-449.0,,,0.0,0.0,0.0,,,,,-1813.0,-1574.0,-270.0,-387.0,-942.0,16.0,-958.0,25.0,,-1906.0,,
03/31/2008,1933,1211,362,-476,2.0,-478,836,197.0,-604.0,,1243,,137.0,-400.0,9.0,,,-409.0,,,0.0,0.0,0.0,,,,,537.0,-1405.0,-306.0,-27.0,-1100.0,58.0,-1158.0,28.0,,665.0,,
06/30/2008,-251,852,362,424,,424,-1889,-326.0,-45.0,,-1518,,-538.0,-391.0,7.0,,,-398.0,,,0.0,0.0,0.0,,,,,-147.0,-1299.0,-300.0,-122.0,-878.0,28.0,-906.0,1.0,,-2088.0,,
09/30/2008,-442,695,350,431,,431,-1918,-16.0,-1021.0,,-881,,574.0,-422.0,0.0,,,-422.0,,,0.0,0.0,0.0,,,,,996.0,-1565.0,-295.0,-462.0,-462.0,57.0,-519.0,-346.0,,-1433.0,,
12/31/2008,-1641,-86,417,165,,165,-2137,709.0,-4498.0,,1652,,1715.0,-427.0,18.0,,,-445.0,,,0.0,0.0,0.0,,,,,2142.0,-992.0,-291.0,-114.0,-353.0,1.0,-354.0,-234.0,,-918.0,,
03/31/2009,193,610,384,343,55.0,288,-1152,-869.0,-82.0,644.0,-845,,-598.0,-417.0,25.0,25.0,0.0,-442.0,-442.0,0.0,0.0,0.0,0.0,-30.0,0.0,-30.0,0.0,-151.0,1391.0,-305.0,1756.0,-45.0,5.0,-50.0,-15.0,-17.0,969.0,,
06/30/2009,1001,998,381,322,61.0,261,-699,-346.0,-1511.0,,1158,,-248.0,-296.0,0.0,0.0,0.0,-296.0,-296.0,0.0,0.0,0.0,0.0,-17.0,0.0,-17.0,0.0,65.0,-431.0,-305.0,-131.0,7.0,7.0,0.0,-2.0,40.0,362.0,,
09/30/2009,1197,-1564,434,438,59.0,379,1883,397.0,1011.0,365.0,110,,-1303.0,-227.0,2.0,2.0,0.0,-229.0,-229.0,0.0,0.0,0.0,0.0,-592.0,0.0,-592.0,0.0,-484.0,1585.0,-305.0,1891.0,1.0,1.0,0.0,-2.0,17.0,1496.0,,
12/31/2009,3212,1268,467,1007,58.0,949,447,427.0,-943.0,-28.0,991,,-1645.0,-219.0,2.0,2.0,0.0,-221.0,-221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1426.0,1549.0,-305.0,1894.0,2.0,2.0,0.0,-42.0,4.0,3120.0,,
03/31/2010,-285,519,405,899,58.0,841,-2108,-572.0,-1833.0,225.0,72,,-4041.0,-183.0,3.0,3.0,0.0,-186.0,-186.0,0.0,0.0,0.0,0.0,-24.0,0.0,-24.0,0.0,-3834.0,-347.0,-318.0,-32.0,31.0,31.0,0.0,-28.0,-25.0,-4698.0,,
06/30/2010,266,787,449,340,57.0,283,-1313,-255.0,-1592.0,-354.0,888,,149.0,-238.0,19.0,19.0,0.0,-257.0,-257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,-431.0,-319.0,-30.0,45.0,45.0,0.0,-127.0,-33.0,-49.0,,
09/30/2010,1855,837,416,1106,40.0,1066,-504,126.0,-1261.0,364.0,267,,-2588.0,-259.0,25.0,25.0,0.0,-284.0,-282.0,-2.0,0.0,0.0,0.0,-843.0,0.0,-843.0,0.0,-1486.0,-867.0,-308.0,-563.0,12.0,12.0,0.0,-8.0,-4.0,-1604.0,,
12/31/2010,1116,1164,457,905,41.0,864,-1413,709.0,-2701.0,78.0,501,,1649.0,-384.0,16.0,16.0,0.0,-400.0,-400.0,0.0,0.0,0.0,0.0,-65.0,0.0,-65.0,0.0,2098.0,-317.0,-308.0,-23.0,18.0,18.0,0.0,-4.0,47.0,2495.0,,
03/31/2011,-953,586,380,843,29.0,814,-2765,-633.0,-2622.0,969.0,-479,,2707.0,-403.0,14.0,14.0,0.0,-417.0,-417.0,0.0,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,3126.0,-1468.0,-309.0,-798.0,46.0,46.0,0.0,-407.0,25.0,311.0,,
06/30/2011,1596,941,429,919,35.0,884,-694,-114.0,-2267.0,165.0,1522,,-1949.0,-340.0,5.0,5.0,0.0,-345.0,-345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1609.0,-279.0,-311.0,-17.0,66.0,66.0,0.0,-17.0,12.0,-620.0,,
09/30/2011,449,1098,417,328,42.0,286,-1389,-164.0,-3356.0,313.0,1818,,98.0,-345.0,35.0,35.0,0.0,-380.0,-380.0,0.0,0.0,0.0,0.0,-26.0,0.0,-26.0,0.0,469.0,393.0,-312.0,709.0,29.0,29.0,0.0,-33.0,-36.0,904.0,,
12/31/2011,2931,1393,434,734,44.0,690,380,619.0,-1767.0,-283.0,1811,,1513.0,-531.0,40.0,40.0,0.0,-571.0,-571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044.0,-346.0,-312.0,-25.0,9.0,9.0,0.0,-18.0,-3.0,4095.0,,
03/31/2012,837,923,426,1065,10.0,1055,-1579,-729.0,-497.0,506.0,-859,,-3003.0,-420.0,4.0,4.0,0.0,-424.0,-424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2583.0,-1187.0,-328.0,-791.0,68.0,68.0,0.0,-136.0,22.0,-3331.0,,
06/30/2012,908,967,422,286,50.0,236,-767,419.0,-2240.0,236.0,818,,-585.0,-350.0,12.0,12.0,0.0,-362.0,-356.0,-6.0,0.0,0.0,0.0,-18.0,0.0,-18.0,0.0,-217.0,-710.0,-330.0,-418.0,42.0,42.0,0.0,-4.0,-26.0,-413.0,,
09/30/2012,1596,1032,465,246,45.0,201,-150,460.0,-1851.0,115.0,1126,,-1005.0,-415.0,13.0,13.0,0.0,-428.0,-428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-590.0,-337.0,-332.0,-30.0,29.0,29.0,0.0,-4.0,23.0,277.0,,
12/31/2012,4167,978,498,1121,43.0,1078,1570,-177.0,-1093.0,342.0,2498,,836.0,-428.0,68.0,68.0,0.0,-496.0,-495.0,-1.0,0.0,0.0,0.0,-106.0,0.0,-106.0,0.0,1370.0,-1243.0,-332.0,-777.0,26.0,26.0,0.0,-160.0,-1.0,3759.0,,
03/31/2013,524,1106,429,858,35.0,823,-1869,-437.0,-3000.0,654.0,914,0.0,-814.0,-488.0,33.0,33.0,0.0,-521.0,-521.0,0.0,0.0,0.0,0.0,-26.0,0.0,-26.0,0.0,-300.0,-1705.0,-367.0,-1247.0,99.0,99.0,0.0,-190.0,-11.0,-2006.0,,
06/30/2013,3467,1088,436,993,25.0,968,951,-113.0,386.0,194.0,484,,-2557.0,-444.0,11.0,11.0,0.0,-455.0,-455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2113.0,-525.0,-368.0,417.0,-568.0,432.0,-1000.0,-6.0,-26.0,359.0,,
09/30/2013,2808,1158,458,-575,10.0,-585,1765,-456.0,-1017.0,95.0,3143,0.0,-711.0,-481.0,3.0,3.0,0.0,-484.0,-484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.0,-763.0,-367.0,-20.0,-373.0,426.0,-799.0,-3.0,13.0,1347.0,,
12/31/2013,1380,1233,521,1531,8.0,1523,-1905,127.0,-1931.0,-1241.0,1140,,-1072.0,-774.0,4.0,4.0,0.0,-778.0,-638.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-298.0,-1256.0,-365.0,-13.0,-734.0,268.0,-1002.0,-144.0,-5.0,-953.0,,
03/31/2014,1112,965,448,1036,-16.0,1052,-1336,-792.0,-2049.0,1350.0,155,0.0,406.0,-482.0,15.0,15.0,0.0,-497.0,-497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,-3668.0,-540.0,-706.0,-2323.0,177.0,-2500.0,-99.0,4.0,-2146.0,,
06/30/2014,1809,1653,452,574,20.0,554,-871,-494.0,-1353.0,433.0,543,0.0,875.0,-447.0,2.0,2.0,0.0,-449.0,-449.0,0.0,0.0,0.0,0.0,-163.0,0.0,-163.0,0.0,1485.0,-2096.0,-531.0,-63.0,-1317.0,181.0,-1498.0,-185.0,3.0,591.0,,
09/30/2014,939,1362,478,-50,44.0,-94,-851,-99.0,-1023.0,36.0,235,0.0,-247.0,-612.0,10.0,10.0,0.0,-622.0,-622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,-1530.0,-525.0,-36.0,-963.0,39.0,-1002.0,-6.0,-40.0,-878.0,,
12/31/2014,4998,1466,528,883,33.0,850,2121,57.0,95.0,-480.0,2449,0.0,1433.0,-661.0,7.0,7.0,0.0,-668.0,-668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.0,-1299.0,-519.0,166.0,-941.0,60.0,-1001.0,-5.0,-54.0,5078.0,,
03/31/2015,88,1336,459,535,-62.0,597,-2242,-389.0,-1822.0,848.0,-879,0.0,-214.0,-574.0,0.0,,,-574.0,-574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,-2935.0,-639.0,-52.0,-2157.0,343.0,-2500.0,-87.0,-17.0,-3078.0,,
06/30/2015,3297,1110,453,812,32.0,780,922,76.0,-573.0,40.0,1379,0.0,-198.0,-672.0,20.0,20.0,0.0,-692.0,-692.0,0.0,0.0,0.0,0.0,-23.0,0.0,-23.0,0.0,497.0,-2605.0,-625.0,-33.0,-1944.0,57.0,-2001.0,-3.0,8.0,502.0,,
09/30/2015,2859,1704,437,830,32.0,798,-112,-889.0,209.0,170.0,398,0.0,-553.0,-557.0,4.0,4.0,0.0,-561.0,-561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2069.0,-618.0,-18.0,-1430.0,70.0,-1500.0,-3.0,-11.0,226.0,,
12/31/2015,3119,1026,484,923,30.0,893,686,133.0,1076.0,-1296.0,773,0.0,-881.0,-605.0,18.0,18.0,0.0,-623.0,-623.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,0.0,-268.0,-311.0,-608.0,964.0,-664.0,86.0,-750.0,-3.0,-8.0,1919.0,,
03/31/2016,1275,1219,443,340,51.0,289,-727,-1002.0,-56.0,960.0,-629,0.0,-438.0,-737.0,11.0,11.0,0.0,-748.0,-748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,-4265.0,-717.0,-13.0,-3459.0,42.0,-3501.0,-76.0,12.0,-3416.0,,
06/30/2016,3190,-234,447,245,46.0,199,2732,499.0,3060.0,261.0,-1088,0.0,-912.0,-669.0,2.0,2.0,0.0,-671.0,-671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.0,-1544.0,-691.0,1069.0,-1895.0,105.0,-2000.0,-27.0,-15.0,719.0,,
09/30/2016,3202,2279,474,-369,47.0,-416,818,-14.0,1330.0,145.0,-643,0.0,-614.0,-594.0,1.0,1.0,0.0,-595.0,-595.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-20.0,-2204.0,-676.0,-569.0,-955.0,45.0,-1000.0,-4.0,-3.0,381.0,,
12/31/2016,2829,1770,525,-403,46.0,-449,937,843.0,-330.0,-744.0,1168,0.0,-1414.0,-575.0,24.0,24.0,0.0,-599.0,-599.0,0.0,0.0,0.0,0.0,-297.0,0.0,-297.0,0.0,-542.0,-1574.0,-672.0,-521.0,-371.0,129.0,-500.0,-10.0,-27.0,-186.0,,
03/31/2017,2098,1579,468,113,50.0,63,-62,-264.0,-1491.0,616.0,1077,0.0,-260.0,-457.0,9.0,9.0,0.0,-466.0,-466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,-2463.0,-868.0,838.0,-2326.0,174.0,-2500.0,-107.0,20.0,-605.0,,
06/30/2017,4949,1749,488,260,48.0,212,2452,101.0,455.0,-197.0,2093,0.0,-1123.0,-554.0,16.0,16.0,0.0,-570.0,-439.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-569.0,-3311.0,-852.0,-20.0,-2434.0,66.0,-2500.0,-5.0,32.0,547.0,,
09/30/2017,3396,1810,514,-274,53.0,-327,1346,-395.0,236.0,361.0,1144,0.0,-218.0,-394.0,5.0,5.0,0.0,-399.0,-399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,-3335.0,-855.0,-25.0,-2449.0,51.0,-2500.0,-6.0,21.0,-136.0,,
