Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,84735,1752,1109,643.0,7719,,,5582,,,,,1125,,,,16178,61821,,,,,,6736.0,,,,,,6736.0,68557,,12320,12320.0,,,,4365,,,,,,2362,,,,2362,19047,8855,,,,,22718,,,22718,31573,50620,744.0,2822,-16908,,47457,34115,0.0,34115,84735,
06/30/1993,84550,2169,1387,782.0,7488,,,5491,,,,,1108,,,,16256,61608,,,0.0,,,6686.0,,,,,,6686.0,68294,,12253,12253.0,,,,4905,,,,,,2027,,,,2027,19185,8692,,,,,22322,,,22322,31014,50199,3.0,2822,-16944,,48470,34351,,34351,84550,
09/30/1993,84987,2280,1552,728.0,7415,,,5406,,,,,1127,,,,16228,61722,,,0.0,,,7037.0,,,,,,7037.0,68759,,12630,12630.0,,,,4385,,,,,,2451,,,,2451,19466,8781,,,,,22092,,,22092,30873,50339,694.0,2822,-16965,,48097,34648,,34648,84987,
12/31/1993,84145,1652,983,669.0,5427,,,5472,,,,,2308,,,,14859,61962,111135.0,-49173.0,1177.0,,,6147.0,,,,,,6147.0,69286,,6910,6910.0,,,,4109,,,,,,7571,,,,7571,18590,8506,,,,,19862,,,19862,28368,46958,668.0,2822,-16977,,48279,34792,2395.0,37187,84145,
03/31/1994,84654,2116,1648,468.0,6972,,,5219,,,,,1181,,,,15488,61777,,,,,,7389.0,,,,,,7389.0,69166,,12326,12326.0,,,,3863,,,,,,2225,,,,2225,18414,8712,,,,,22275,,,22275,30987,49401,641.0,2822,-16998,,48788,35253,,35253,84654,
06/30/1994,86102,2121,1879,242.0,7203,,,5469,,,,,1193,,,,15986,62443,,,,,,7673.0,,,,,,7673.0,70116,,12729,12729.0,,,,4116,,,,,,2044,,,,2044,18889,8754,,,,,22598,,,22598,31352,50241,612.0,2822,-17024,,49451,35861,,35861,86102,
09/30/1994,87790,2425,1700,725.0,7315,,,5565,,,,,1145,,,,16450,63454,,,,,,7886.0,,,,,,7886.0,71340,,12832,12832.0,,,,4195,,,,,,2226,,,,2226,19253,8936,,,,,23085,,,23085,32021,51274,583.0,2822,-17027,,50138,36516,0.0,36516,87790,
12/31/1994,87862,1775,1157,618.0,6292,,,5541,,,,,2852,,,,16460,63425,116326.0,-52901.0,1323.0,,,6654.0,,,,,,6654.0,71402,,7466,7466.0,,,,3858,,,,,,8169,,,,8169,19493,8831,,,,,19955,,,19955,28786,48279,554.0,2822,-17017,,51056,37415,2168.0,39583,87862,
03/31/1995,91271,3174,2770,404.0,8431,,,5522,,,,,1325,,,,18452,64535,,,,,,8284.0,,,,,,8284.0,72819,,13925,13925.0,,,,3581,,,,,,2459,,,,2459,19965,9178,,,,,22946,,,22946,32124,52089,-87.0,2822,-17010,,53457,39182,0.0,39182,91271,
06/30/1995,91158,2734,2577,157.0,8066,,,5897,,,,,1289,,,,17986,64653,,,,,,8519.0,,,,,,8519.0,73172,,13750,13750.0,,,,3308,,,,,,2403,,,,2403,19461,8550,,,,,23148,,,23148,31698,51159,0.0,2822,-17114,,54291,39999,0.0,39999,91158,
09/30/1995,90706,2537,2200,337.0,8059,,,5877,,,,,1025,,,,17498,64888,,,,,,8320.0,,,,,,8320.0,73208,,13556,13556.0,,,,2550,,,,,,2477,,,,2477,18583,8362,,,,,23726,,,23726,32088,50671,482.0,2822,-17150,,53881,40035,,40035,90706,
12/31/1995,91296,1789,1508,281.0,6979,,,5681,,,,,2869,,,,17318,65446,122337.0,-56891.0,1345.0,,,7187.0,,,,,,7187.0,73978,,8470,8470.0,,,,2247,,,,,,8019,,,,8019,18736,7778,,,,,22176,,,22176,29954,48690,454.0,2822,-17217,,54377,40436,2170.0,42606,91296,
03/31/1996,92579,3663,3523,140.0,8928,,,5339,,,,,1034,,,,18964,65183,,,0.0,,,8432.0,,,,,,8432.0,73615,,13756,13756.0,,,,2433,,,,,,3012,,,,3012,19201,7679,,,,,24677,,,24677,32356,51557,431.0,2822,-17246,,55015,41022,,41022,92579,
06/30/1996,92396,3324,3222,102.0,8686,,,5355,,,,,1036,,,,18401,65487,,,,,,8508.0,,,,,,8508.0,73995,,13329,13329.0,,,,2479,,,,,,2859,,,,2859,18667,7566,,,,,24785,,,24785,32351,51018,0.0,2822,-17351,,55907,41378,0.0,41378,92396,
09/30/1996,93468,2933,2910,23.0,9115,,,5468,,,,,1062,,,,18578,65914,,,,,,8976.0,,,,,,8976.0,74890,,14273,14273.0,,,,2466,,,,,,2959,,,,2959,19698,7224,,,,,24755,,,24755,31979,51677,322.0,2822,-17406,,56053,41791,,41791,93468,
12/31/1996,95527,2969,2951,18.0,7993,,,5285,,,,,3663,,,,19910,66607,126366.0,-59759.0,0.0,,,9010.0,,,,,,9010.0,75617,,8343,8343.0,,,,2510,,,,,,8652,,,,8652,19505,7236,,,,,23330,,,23330,30566,50071,303.0,2822,-17520,,57937,43542,1914.0,45456,95527,
03/31/1997,95647,5282,5263,19.0,10347,,,5064,,,,,1075,,,,21768,65493,,,0.0,,,8386.0,,,,,,8386.0,73879,,13860,13860.0,,,,2617,,,,,,2652,,,,2652,19129,7223,,,,,25625,,,25625,32848,51977,284.0,2322,-7798,,48862,43670,0.0,43670,95647,
06/30/1997,94920,4742,4720,22.0,9814,,,5136,,,,,1102,,,,20794,65520,125695.0,-60175.0,0.0,,,8606.0,,,,,,8606.0,74126,,13691,13691.0,,,,2643,,,,,,2398,,,,2398,18732,7041,,,,,25332,,,25332,32373,51105,221.0,2322,-8483,,49755,43815,0.0,43815,94920,
09/30/1997,97123,4799,4781,18.0,10248,,,5486,,,,,1153,,,,21686,67008,129176.0,-62168.0,0.0,,,8429.0,,,,,,8429.0,75437,,14966,14966.0,,,,2647,,,,,,2637,,,,2637,20250,7281,,,,,26236,,,26236,33517,53767,206.0,2322,-9074,,49902,43356,0.0,43356,97123,
12/31/1997,96064,4062,4047,15.0,7989,,,5487,,,,,3654,,,,21192,66414,127778.0,-61364.0,0.0,,,8458.0,,,,,,8458.0,74872,,8246,8246.0,,,,2902,,,,,,8506,,,,8506,19654,7050,,,,,23329,,,23329,30379,50033,190.0,2323,-9723,,50870,43660,2371.0,46031,96064,
03/31/1998,94953,3861,3841,20.0,7166,,,5209,,,,,3805,,,,20041,66726,129161.0,-62435.0,8186.0,,,,,,,,,,74912,,13573,13573.0,,,,2753,,,,,,2250,,,,2250,18576,7077,,,,,25555,,,25555,32632,51208,174.0,2323,-10475,,51723,43745,,43745,94953,
06/30/1998,93216,2710,2689,21.0,9396,,,5119,,,4383.0,736.0,1055,,,,18280,66752,,,8184.0,,,,,,,,,,74936,,13280,13280.0,,,,2557,,,,,,1695,,,,1695,17532,6927,,,,,25400,,,25400,32327,49859,134.0,2323,-11264,53713.0,-1549,43357,,43357,93216,
09/30/1998,95227,2209,2101,108.0,9293,,,5462,,,4704.0,758.0,1113,,,,18077,68277,,,8873.0,,,,,,,,,,77150,,14269,14269.0,,,,2639,,,,,,1857,,,,1857,18765,6912,,,,,25791,,,25791,32703,51468,119.0,2323,-11825,54113.0,-971,43759,,43759,95227,
12/31/1998,139335,2436,2386,50.0,15829,,,8692,1155.0,957.0,7537.0,-957.0,1637,,,,28594,92583,182467.0,-89884.0,3072.0,,,15086.0,,,,,,15086.0,110741,,23154,23154.0,,,,8484,,,,,,2143,,,,2143,33781,8532,,,,,31275,,,31275,39807,73588,746.0,4870,-15831,75109.0,-2774,62120,3627.0,65747,139335,
03/31/1999,90731,1405,1385,20.0,9161,,,4947,684.0,,4263.0,,1196,,,,16709,64415,,,9607.0,,,,0.0,,,,,0.0,74022,,13670,13670.0,,,,3837,,,,,,1365,,,,1365,18872,4563,,,,,24294,,,24294,28857,47729,91.0,2323,-12287,54598.0,-1723,43002,,43002,90731,
06/30/1999,91235,1348,1328,20.0,9107,,,4787,664.0,0.0,4123.0,,1187,,,,16429,65002,,,9804.0,,,,0.0,,,,,0.0,74806,,13734,13734.0,,,,4770,,,,,,1206,,,,1206,19710,4497,,,,,24199,,,24199,28696,48406,44.0,2323,-12464,54807.0,-1881,42829,0.0,42829,91235,
09/30/1999,94394,1190,1151,39.0,10778,,,4895,675.0,0.0,4220.0,0.0,1185,,,,18048,65999,,,10347.0,,,,0.0,,,,,0.0,76346,,15410,15410.0,,,,4820,,,,,,1349,,,,1349,21579,4425,,,,,24556,,,24556,28981,50560,31.0,2323,-12510,55312.0,-1322,43834,0.0,43834,94394,
12/31/1999,144521,1761,1688,73.0,19155,,,8492,112.0,5898.0,7370.0,-5898.0,1733,,,,31141,94043,189212.0,-95169.0,14544.0,,,4793.0,,,,,,4793.0,113380,,13524,13524.0,,,,10570,,,,,,14639,,,,14639,38733,8402,,,,,30232,,,30232,38634,77367,0.0,3403,-12126,75055.0,-2866,63466,3688.0,67154,144521,
03/31/2000,143238,2985,2928,57.0,19083,,,8184,1138.0,0.0,7046.0,0.0,2128,,,,32380,92553,188420.0,-95867.0,18305.0,,,,0.0,,,,,0.0,110858,,25631,25631.0,,,,7370,,,,,,4220,,,,4220,37221,8009,,,,,33403,,,33403,41412,78633,0.0,3461,-12049,77004.0,-3811,64605,,64605,143238,
06/30/2000,146618,5863,5813,50.0,20285,,,8499,1055.0,0.0,7444.0,0.0,2404,,,,37051,91303,,,18264.0,,,,0.0,,,,,0.0,109567,,27217,27217.0,,,,6617,,,,,,4758,,,,4758,38592,8009,,,,,33081,,,33081,41090,79682,,3510,-11996,80002.0,-4580,66936,0.0,66936,146618,
09/30/2000,148252,6646,6644,2.0,21601,,,8540,1094.0,0.0,7446.0,0.0,2662,,,,39449,90067,,,18736.0,,,,0.0,,,,,0.0,108803,,27646,27646.0,,,,6713,,,,,,5416,,,,5416,39775,7528,,,,,32838,,,32838,40366,80141,,3589,-12888,82959.0,-5549,68111,0.0,68111,148252,
12/31/2000,149000,7081,7080,1.0,17568,,,8304,1060.0,0.0,7244.0,0.0,7446,,,,40399,89829,187746.0,-97917.0,3244.0,,,15528.0,0.0,,,,,15528.0,108601,,15357,15357.0,,,,6161,6161.0,0.0,0.0,,,16673,,,,16673,38191,7280,7280.0,0.0,0.0,,29542,,,29542,36822,75013,0.0,3661,-14132,86652.0,-5424,70757,3230.0,73987,149000,
03/31/2001,148786,10906,10906,0.0,21117,,,8382,1053.0,0.0,7329.0,0.0,2122,,,,42527,88006,,,18253.0,,,,0.0,,,,,0.0,106259,,25164,25164.0,,,,5560,5560.0,0.0,0.0,,,6637,,,,6637,37361,7270,7270.0,0.0,0.0,,32266,,,32266,39536,76897,0.0,3692,-15510,,83707,71889,,71889,148786,
06/30/2001,147660,9298,9298,,21409,,,8395,1102.0,0.0,7293.0,0.0,2220,,,,41322,88356,,,17982.0,,,,0.0,,,,,0.0,106338,,25307,25307.0,,,,3890,,,,,,6417,,,,6417,35614,7289,,,,,31783,,,31783,39072,74686,0.0,3745,-16939,93006.0,-6838,72974,0.0,72974,147660,
09/30/2001,147904,9026,9026,,20512,,,8615,1145.0,0.0,7470.0,0.0,2174,,,,40327,89533,,,18044.0,,,,0.0,,,,,0.0,107577,,24632,24632.0,,,,3893,,,,,,6040,,,,6040,34565,7240,,,,,32274,,,32274,39514,74079,0.0,3752,-18230,94609.0,-6306,73825,0.0,73825,147904,
12/31/2001,143174,6547,6547,,19549,,,7904,1161.0,0.0,6743.0,0.0,1681,,,,35681,89602,190503.0,-100901.0,10768.0,,,7123.0,,,,,,7123.0,107493,,12696,12696.0,,,,3703,,,,,,13715,,,,13715,30114,7099,,,,,29975,,,29975,37074,67188,,3789,-19597,95718.0,-6749,73161,2825.0,75986,143174,
03/31/2002,142037,6622,6622,0.0,18640,,,8321,1167.0,0.0,7154.0,0.0,1872,,,,35455,89253,,,17329.0,,,,0.0,,,,,0.0,106582,,23159,23159.0,,,,3395,,,,,,3624,,,,3624,30178,7118,,,,,32374,,,32374,39492,69670,0.0,3828,-20899,96245.0,-6807,72367,0.0,72367,142037,
06/30/2002,148232,5700,5700,0.0,19584,,,8666,1254.0,0.0,7412.0,0.0,2187,,,,36137,93190,,,18905.0,,,,0.0,,,,,0.0,112095,,24140,24140.0,,,,3702,,,,,,3400,,,,3400,31242,7607,,,,,34265,,,34265,41872,73114,0.0,3843,-21959,97327.0,-4093,75118,0.0,75118,148232,
09/30/2002,149473,6937,6937,0.0,18699,,,8756,1284.0,0.0,7472.0,0.0,2151,,,,36543,93459,,,19471.0,,,,0.0,,,,,0.0,112930,,24394,24394.0,,,,3773,,,,,,4892,,,,4892,33059,7110,,,,,34614,,,34614,41724,74783,0.0,3851,-22990,98416.0,-4587,74690,0.0,74690,149473,
12/31/2002,152644,7229,7229,0.0,21163,,,8068,1241.0,0.0,6827.0,0.0,1831,,,,38291,94940,204960.0,-110020.0,1164.0,,,18249.0,0.0,,,,,18249.0,114353,,13792,13792.0,,,,4093,,,,,,15290,,,,15290,33175,6655,,,,,35449,,,35449,42104,75279,0.0,4217,-24770,100961.0,-5811,74597,2768.0,77365,152644,
03/31/2003,162495,12328,12328,0.0,22146,,,8862,1242.0,0.0,7620.0,0.0,2138,,,,45474,96595,,,20426.0,,,,0.0,,,,,0.0,117021,,27592,27592.0,,,,4172,,,,,,5888,,,,5888,37652,6489,,,,,38769,,,38769,45258,82910,0.0,4071,-25012,106460.0,-5934,79585,0.0,79585,162495,
06/30/2003,165103,12521,12521,0.0,19471,,,10035,1252.0,0.0,8783.0,0.0,2039,,,,44066,99500,,,21537.0,,,,0.0,,,,,0.0,121037,,26530,26530.0,,,,4327,,,,,,5791,,,,5791,36648,5811,,,,,40063,,,40063,45874,82522,0.0,4089,-26105,108963.0,-4366,82581,0.0,82581,165103,
09/30/2003,166987,11015,11015,0.0,20248,,,9757,1282.0,0.0,8475.0,0.0,1938,,,,42958,101192,,,22837.0,,,,0.0,,,,,0.0,124029,,27731,27731.0,,,,4004,,,,,,6906,,,,6906,38641,5615,,,,,38967,,,38967,44582,83223,0.0,4100,-27688,110955.0,-3603,83764,0.0,83764,166987,
12/31/2003,174278,10626,10626,0.0,24309,,,8957,1292.0,0.0,7665.0,0.0,2068,,,,45960,104965,229315.0,-124350.0,1104.0,,,22249.0,0.0,,,,,22249.0,128318,,15334,15334.0,,,,4789,,,,,,18263,,,,18263,38386,4756,,,,,37839,,,37839,42595,80981,0.0,4468,-29361,115956.0,-1148,89915,3382.0,93297,174278,
03/31/2004,180202,15894,15894,0.0,24189,24189.0,,10186,1294.0,0.0,8892.0,0.0,2206,,,,52475,104784,,,22943.0,,,,0.0,,,,,0.0,127727,,30356,30356.0,,,,4834,,,,,,6765,,,,6765,41955,5135,,,,,41431,,,41431,46566,88521,0.0,4339,-30922,119754.0,-1490,91681,0.0,91681,180202,
06/30/2004,180989,14177,14177,0.0,23089,23089.0,,9958,1278.0,0.0,8680.0,0.0,7026,,,,54250,103854,,,22885.0,,,,0.0,,,,,0.0,126739,,30184,30184.0,,,,4746,,,,,,6318,,,,6318,41248,5084,,,,,41122,,,41122,46206,87454,0.0,4388,-32652,123781.0,-1982,93535,0.0,93535,180989,
09/30/2004,187433,16108,16108,0.0,24506,24506.0,,10079,1329.0,0.0,8750.0,0.0,7242,,,,57935,104893,,,24605.0,,,,0.0,,,,,0.0,129498,,32107,32107.0,,,,4913,,,,,,7175,,,,7175,44195,5196,,,,,42600,,,42600,47796,91991,0.0,4452,-35422,127708.0,-1296,95442,0.0,95442,187433,
12/31/2004,195256,18531,18531,0.0,25359,20712.0,,9487,1351.0,0.0,8136.0,0.0,7000,,,,60377,108639,242422.0,-133783.0,2863.0,,,23377.0,0.0,,,,,23377.0,134879,,18186,18186.0,,,,3280,,,,,,21515,,,,21515,42981,5013,,,,,41554,,,41554,46567,89548,0.0,5067,-38214,134390.0,513,101756,3952.0,105708,195256,
03/31/2005,201252,25165,25165,0.0,25489,,,10462,1338.0,0.0,9124.0,0.0,7474,,,,68590,107415,,,0.0,,,25247.0,0.0,,,,,25247.0,132662,,35489,35489.0,,,,3309,,,,,,8959,,,,8959,47757,5015,,,,,44782,,,44782,49797,97554,0.0,5070,-41152,140522.0,-742,103698,0.0,103698,201252,
06/30/2005,201816,25648,25648,0.0,25716,,,10583,1364.0,0.0,9219.0,0.0,7683,,,,69630,106215,,,0.0,,,25971.0,0.0,,,,,25971.0,132186,,36185,36185.0,,,,3015,,,,,,7429,,,,7429,46629,6071,,,,,44520,,,44520,50591,97220,0.0,5100,-44772,146322.0,-2054,104596,0.0,104596,201816,
09/30/2005,209721,29240,29240,0.0,26193,,,10976,1399.0,0.0,9577.0,0.0,8321,,,,74730,107094,,,27897.0,,,,0.0,,,,,0.0,134991,,39055,39055.0,,,,2331,,,,,,9489,,,,9489,50875,6126,,,,,44830,,,44830,50956,101831,0.0,5176,-50078,154420.0,-1628,107890,0.0,107890,209721,
12/31/2005,208335,28671,28671,0.0,27484,,,9321,1469.0,0.0,7852.0,0.0,7866,,,,73342,107010,240294.0,-133284.0,2896.0,,,25087.0,0.0,,,,,25087.0,134993,,22788,22788.0,,,,1771,,,,,,21748,,,,21748,46307,6220,,,,,41095,,,41095,47315,93622,0.0,5743,-55347,163335.0,-2545,111186,3527.0,114713,208335,
03/31/2006,216002,31945,31945,0.0,26962,,,11584,1536.0,,10048.0,,7983,,,,78474,108397,,,29131.0,,,,0.0,,,,,0.0,137528,,39019,39019.0,,,,1739,,,,,,10676,,,,10676,51434,6255,,,,,45850,,,45850,52105,103539,,4397,-60830,169778.0,-882,112463,0.0,112463,216002,
06/30/2006,221010,32113,32113,0.0,28607,,,11829,1596.0,,10233.0,,8109,,,,80658,111110,,,29242.0,,,,0.0,,,,,0.0,140352,,39302,39302.0,,,,1964,,,,,,10288,,,,10288,51554,6393,,,,,47299,,,47299,53692,105246,,4499,-67460,178212.0,513,115764,0.0,115764,221010,
09/30/2006,223947,32734,32734,0.0,28390,,,12528,1670.0,,10858.0,,8101,,,,81753,111722,,,30472.0,,,,0.0,,,,,0.0,142194,,40225,40225.0,,,,2125,,,,,,12454,,,,12454,54804,6464,,,,,46086,,,46086,52550,107354,,4665,-75430,186810.0,548,116593,0.0,116593,223947,
12/31/2006,219015,28244,28244,0.0,28942,,,10714,1735.0,0.0,8979.0,0.0,7877,,,,75777,113687,259284.0,-145597.0,23237.0,,,6314.0,0.0,,,,,6314.0,143238,,39082,39082.0,,,,1702,,,,,,8033,,,,8033,48817,6645,,,,,49709,,,49709,56354,105171,0.0,4786,-83387,195207.0,-2762,113844,3804.0,117648,222819,
03/31/2007,223299,29994,29994,0.0,27582,,,12605,1846.0,0.0,10759.0,0.0,7884,,,,78065,114201,,,0.0,,,,0.0,,,,,0.0,114201,,38923,38923.0,,,,2006,,,,,,9661,,,,9661,50590,6758,,,,,51841,,,51841,58599,109189,0.0,4530,-90858,202984.0,-2546,114110,0.0,114110,223299,
06/30/2007,228315,28959,28959,0.0,30315,,,12895,2029.0,0.0,10866.0,0.0,8551,,,,80720,116058,,,0.0,,,31537.0,0.0,,,,,31537.0,147595,,41247,41247.0,,,,2033,,,,,,8636,,,,8636,51916,6757,,,,,53292,,,53292,60049,111965,0.0,4795,-98454,211283.0,-1274,116350,0.0,116350,228315,
09/30/2007,236661,31613,31423,190.0,31832,,,13019,2136.0,0.0,10883.0,0.0,8783,,,,85247,119102,,,0.0,,,32312.0,0.0,,,,,32312.0,151414,,43525,43525.0,,,,2095,,,,,,10300,,,,10300,55920,6896,,,,,55242,,,55242,62138,118058,0.0,4988,-105995,218761.0,849,118603,0.0,118603,236661,
12/31/2007,242082,34500,33981,519.0,36450,,,11089,2226.0,0.0,8863.0,0.0,3924,,,,85963,120869,280340.0,-159471.0,28194.0,,,7056.0,0.0,,,,,7056.0,156119,,45275,45275.0,,,,2383,,,,,,10654,,,,10654,58312,7183,,,,,50543,,,50543,57726,116038,0.0,4933,-113678,228518.0,1989,121762,4282.0,126044,242082,
03/31/2008,258202,41393,40913,480.0,36428,,,15378,2303.0,0.0,13075.0,0.0,4559,,,,97758,122935,,,37509.0,,,,0.0,,,,,0.0,160444,,53613,53613.0,,,,2771,,,,,,14599,,,,14599,70983,7235,,,,,56845,,,56845,64080,135063,0.0,4745,-122639,237529.0,3504,123139,0.0,123139,258202,
06/30/2008,266758,39700,38968,732.0,41820,,,15861,2348.0,0.0,13513.0,0.0,6601,,,,103982,124925,,,37851.0,,,,0.0,,,,,0.0,162776,,60262,60262.0,,,,2310,,,,,,14661,,,,14661,77233,7327,,,,,57372,,,57372,64699,141932,0.0,4904,-131036,247111.0,3847,124826,0.0,124826,266758,
09/30/2008,256218,38434,36674,1760.0,35251,,,15940,2430.0,0.0,13510.0,0.0,6396,,,,96021,123258,,,36939.0,,,,0.0,,,,,0.0,160197,,49087,49087.0,,,,2881,,,,,,15663,,,,15663,67631,7383,,,,,55918,,,55918,63301,130932,0.0,5105,-139636,259878.0,-61,125286,0.0,125286,256218,
12/31/2008,228052,32007,31437,570.0,18707,,,11646,2315.0,0.0,9331.0,0.0,3911,,,,72266,121346,270845.0,-149499.0,28556.0,,,5884.0,0.0,,,,,5884.0,155786,,21190,21190.0,,,,2400,,,,,,25510,,,,25510,49100,7025,,,,,54404,,,54404,61429,110529,0.0,5314,-148098,265680.0,-9931,112965,4558.0,117523,228052,
