Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2010,438.9,154.7,26.3,54.3,148.3,38.0,-132.0,203.6,-35.3,,0.0,0.0,0.0,0.0,0.0,238.9,0.0,-85.3,-21.7,0.0,-21.7,-52.5,675.0,0.0,21.9,653.1,-727.5,0.0,-11.0,-716.5,0.0,0.0,0.0,0.0,-12.9,0.0,-12.9,0.0,1.8,-264.8,-52.6,-64.4,,,,,-121.2,6.5,-127.7,0.0,-26.6,19.7,108.5,198.9,48.1,
12/31/2010,3.7,175.2,31.3,27.3,28.0,40.4,-41.1,-230.1,37.4,0.0,0.0,0.0,0.0,0.0,0.0,-267.5,0.0,306.6,-32.2,0.0,-32.2,386.9,983.5,0.0,31.6,951.9,-596.6,0.0,-2.5,-594.1,0.0,0.0,0.0,0.0,-24.5,0.0,-24.5,0.0,-23.6,-235.4,-51.6,-120.5,,,,,-55.1,9.4,-64.5,0.0,-8.2,1.5,76.4,52.9,13.2,
03/31/2011,-105.1,177.5,27.9,56.2,85.5,62.0,-91.3,-366.7,-31.4,0.0,0.0,0.0,0.0,0.0,0.0,-335.3,0.0,33.4,-20.8,0.0,-20.8,71.8,923.4,0.0,16.3,907.1,-851.6,0.0,-9.3,-842.3,0.0,0.0,0.0,0.0,-14.9,0.0,-14.9,0.0,-2.7,-208.8,-51.6,-81.7,0.0,0.0,17.0,-98.7,-31.4,21.7,-53.1,0.0,-44.1,11.9,-268.6,41.7,10.6,
06/30/2011,251.1,183.0,32.1,47.7,64.7,51.9,-68.9,-11.7,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,196.5,-19.9,0.0,-19.9,200.2,1513.3,0.0,20.3,1493.0,-1313.1,0.0,-18.7,-1294.4,0.0,0.0,0.0,0.0,14.9,0.0,14.9,0.0,1.3,-300.7,-56.9,103.4,,,,,-276.6,3.3,-279.9,,-70.6,2.7,149.6,68.2,12.1,
09/30/2011,496.0,166.9,35.3,68.8,93.1,30.5,-54.8,225.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,201.8,0.0,123.9,-7.3,12.6,-19.9,121.6,684.5,0.0,13.6,670.9,-562.9,0.0,-3.1,-559.8,0.0,0.0,0.0,0.0,-14.9,0.0,-14.9,0.0,24.5,-465.8,-56.5,-382.6,0.0,0.0,52.3,-434.9,1.8,1.8,0.0,0.0,-28.5,-18.6,135.5,27.8,8.2,
12/31/2011,322.8,202.3,22.1,-27.3,-104.4,33.8,43.3,125.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,119.6,0.0,-5.7,-46.4,0.0,-46.4,44.0,482.6,0.0,10.0,472.6,-438.6,0.0,-0.3,-438.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-346.8,-55.9,-183.4,,,,,-103.2,0.3,-103.5,0.0,-4.3,0.1,-29.6,62.1,8.1,
03/31/2012,-158.3,193.9,24.3,33.9,121.9,59.0,-147.0,-410.4,-33.1,0.0,0.0,0.0,0.0,0.0,0.0,-377.3,0.0,-164.7,-18.4,0.0,-18.4,-148.1,601.2,0.0,20.3,580.9,-749.3,0.0,-21.4,-727.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,179.0,-55.7,290.4,0.0,0.0,290.4,0.0,-54.2,20.8,-75.0,0.0,-1.5,8.9,-135.1,34.2,10.4,
06/30/2012,405.5,153.9,26.6,47.8,-77.2,38.3,86.7,177.2,23.9,0.0,0.0,0.0,0.0,0.0,0.0,153.3,,-89.1,-18.8,0.0,-18.8,-72.8,893.4,0.0,3.5,889.9,-966.2,0.0,-46.1,-920.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-252.1,-78.0,-87.8,0.0,0.0,127.3,-215.1,-71.7,3.3,-75.0,0.0,-14.6,-5.1,59.2,62.0,13.5,
09/30/2012,70.5,170.6,21.6,29.1,25.2,39.6,-35.7,-150.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-151.4,0.0,222.4,-31.2,0.0,-31.2,233.7,1018.7,0.0,9.1,1009.6,-785.0,0.0,-6.4,-778.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,-144.3,-77.8,268.3,,,,,-33.2,6.8,-40.0,,-301.6,13.1,161.7,58.2,11.6,
12/31/2012,501.6,158.7,22.5,26.7,27.8,39.0,-40.1,293.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,292.3,0.0,-117.9,-30.9,0.0,-30.9,-63.2,900.2,0.0,17.7,882.5,-963.4,0.0,-12.0,-951.4,0.0,0.0,0.0,0.0,16.4,0.0,16.4,0.0,-40.2,-428.5,-77.5,-126.4,0.0,0.0,404.2,-530.6,-70.2,4.8,-75.0,0.0,-154.4,0.2,-44.6,60.0,12.2,
03/31/2013,-484.6,222.2,22.3,7.6,21.1,33.5,-47.0,-736.7,-13.7,0.0,0.0,0.0,0.0,0.0,0.0,-723.0,,146.4,-18.1,0.0,-18.1,160.7,1253.9,0.0,23.0,1230.9,-1093.2,0.0,-0.1,-1093.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,418.8,-77.2,581.5,0.0,0.0,733.5,-152.0,-28.1,16.9,-45.0,0.0,-57.4,-31.4,49.2,41.3,2.6,
06/30/2013,740.2,202.6,21.9,32.3,1.6,35.9,-5.2,483.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,469.1,,-224.8,-22.2,0.0,-22.2,-207.5,1393.4,0.0,0.0,1393.4,-1600.9,0.0,-25.1,-1575.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-479.6,-101.2,-277.3,,,,,-64.9,10.6,-75.5,0.0,-36.2,-4.3,31.5,100.6,11.8,
09/30/2013,334.3,228.1,21.8,16.7,-38.2,33.6,21.3,67.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,59.5,-26.7,0.0,-26.7,70.8,1159.7,0.0,0.3,1159.4,-1088.9,0.0,-4.8,-1084.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,-174.7,-100.8,-39.2,0.0,0.0,399.9,-439.1,4.9,4.9,0.0,0.0,-39.6,39.2,258.3,41.1,2.5,
12/31/2013,190.3,287.4,22.4,-106.5,-46.4,-13.3,-46.8,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,,-221.0,-21.2,0.0,-21.2,-348.8,821.5,0.0,3.6,817.9,-1170.3,0.0,-102.3,-1068.0,0.0,0.0,0.0,0.0,137.0,137.0,0.0,0.0,12.0,176.2,-100.5,620.6,0.0,0.0,2081.9,-1461.3,-342.9,7.1,-350.0,0.0,-1.0,11.2,156.7,85.9,20.9,
03/31/2014,-219.2,187.8,23.4,6.7,-26.5,36.5,-3.3,-437.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,-444.9,,-544.5,-21.4,0.0,-21.4,-526.9,1091.0,0.0,10.3,1080.7,-1617.9,0.0,-1.8,-1616.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,408.3,-98.0,553.9,0.0,0.0,715.0,-161.1,-104.2,15.4,-119.6,0.0,56.6,2.9,-352.5,90.2,1.4,
06/30/2014,769.5,274.5,22.4,26.9,-36.8,33.5,30.2,445.7,-18.2,0.0,0.0,0.0,0.0,0.0,0.0,463.9,,-425.3,-28.4,0.0,-28.4,-479.8,1407.2,0.0,64.8,1342.4,-1887.0,0.0,-110.7,-1776.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,-139.5,-109.1,-134.4,0.0,0.0,0.0,-134.4,-42.6,7.4,-50.0,0.0,146.6,-2.9,201.8,64.9,19.0,
09/30/2014,467.1,256.0,21.6,19.3,-0.1,34.3,-14.9,170.2,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,175.7,0.0,-479.8,-36.9,0.0,-36.9,-450.8,1035.7,0.0,25.7,1010.0,-1486.5,,,,0.0,0.0,0.0,0.0,60.8,60.8,0.0,0.0,-52.9,207.3,-108.6,379.1,0.0,0.0,624.6,-245.5,-42.3,7.7,-50.0,0.0,-20.9,-38.0,156.6,97.3,24.3,
12/31/2014,183.0,269.8,22.0,22.8,43.0,33.7,-53.9,-131.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,-144.8,,-377.6,-46.5,0.0,-46.5,-335.8,1159.1,0.0,2.0,1157.1,-1494.9,0.0,-1.8,-1493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,386.4,-108.3,475.9,0.0,0.0,656.7,-180.8,-45.5,4.5,-50.0,0.0,64.3,-30.2,161.6,153.2,24.1,
03/31/2015,-56.3,259.6,22.7,20.5,-24.4,40.7,4.2,-359.1,-39.5,0.0,0.0,0.0,0.0,0.0,0.0,-319.6,0.0,-366.5,-23.0,0.0,-23.0,-358.2,1173.7,0.0,9.8,1163.9,-1531.9,0.0,-34.3,-1497.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,178.9,-108.1,370.1,11.2,0.0,935.9,-577.0,-62.9,0.7,-63.6,0.0,-20.2,-50.6,-294.5,89.6,12.7,
06/30/2015,514.8,257.3,23.3,38.1,19.7,36.0,-17.6,196.1,-15.6,0.0,0.0,0.0,0.0,0.0,0.0,211.7,,-31.3,-27.4,0.0,-27.4,-23.6,769.8,0.0,8.2,761.6,-793.4,0.0,-1.3,-792.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,-282.9,-116.5,-66.4,-3.3,0.0,10.0,-73.1,-75.7,5.8,-81.5,0.0,-24.3,45.4,246.0,50.5,26.8,
09/30/2015,97.1,249.3,22.6,59.5,17.3,36.2,6.0,-234.3,-51.6,0.0,0.0,0.0,0.0,0.0,0.0,-182.7,0.0,-91.7,-37.7,0.0,-37.7,-64.7,1390.6,0.0,30.5,1360.1,-1455.3,0.0,-5.9,-1449.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,157.4,-116.2,430.1,91.6,0.0,1145.9,-807.4,-193.3,,,0.0,36.8,-37.8,125.0,92.6,17.6,
12/31/2015,497.9,201.9,25.0,51.1,24.4,37.4,-10.7,219.9,-52.3,,0.0,0.0,0.0,0.0,0.0,272.2,0.0,-175.3,-36.4,0.0,-36.4,-144.3,896.0,0.0,2.6,893.4,-1040.3,0.0,-3.4,-1036.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,-30.1,-113.7,280.4,-99.5,0.0,495.5,-115.6,-232.3,,,0.0,35.5,-31.8,260.7,156.0,11.7,
03/31/2016,-32.2,161.0,24.7,77.6,24.6,38.7,14.3,-295.5,15.2,-83.3,0.0,0.0,0.0,0.0,0.0,-227.4,0.0,-107.1,-26.0,0.0,-26.0,-58.6,419.9,0.0,3.3,416.6,-478.5,0.0,-0.2,-478.3,0.0,0.0,0.0,0.0,-33.2,0.0,-33.2,0.0,10.7,-249.5,-113.0,-46.8,0.0,0.0,0.0,-46.8,-161.6,0.0,-161.6,0.0,71.9,8.1,-380.7,53.9,12.8,
06/30/2016,243.4,225.5,25.2,26.3,-25.0,40.4,10.9,-33.6,-29.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,-375.7,-39.3,0.0,-39.3,-259.8,547.5,0.0,2.4,545.1,-807.3,0.0,-3.9,-803.4,0.0,0.0,0.0,0.0,-88.7,0.0,-88.7,0.0,12.1,175.7,-117.6,358.2,0.0,0.0,387.3,-29.1,-79.2,0.0,-79.2,0.0,14.3,-51.7,-8.3,44.7,20.5,
09/30/2016,407.2,241.2,25.6,30.0,-17.7,39.3,8.4,110.4,1.3,,0.0,0.0,0.0,0.0,0.0,109.1,0.0,-269.0,-36.0,0.0,-36.0,-240.2,974.6,0.0,32.7,941.9,-1214.8,0.0,-0.2,-1214.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,14.0,-115.7,318.5,0.0,0.0,372.8,-54.3,-216.6,0.0,-216.6,0.0,27.8,-17.1,135.1,49.5,27.1,
12/31/2016,-410.5,226.5,25.7,17.9,10.7,41.3,-34.1,-680.6,20.4,-487.2,0.0,0.0,0.0,0.0,0.0,-213.8,0.0,-238.8,-46.4,0.0,-46.4,-201.0,1163.3,0.0,20.9,1142.4,-1364.3,0.0,-21.6,-1342.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,451.3,-114.1,555.2,28.7,0.0,567.8,-41.3,-152.3,0.0,-152.3,0.0,162.5,-55.3,-253.3,151.0,20.8,
03/31/2017,126.5,212.0,26.3,23.4,-10.9,49.2,-14.9,-135.2,66.4,,0.0,0.0,0.0,0.0,0.0,-201.6,0.0,-43.8,-27.1,0.0,-27.1,-19.8,1750.3,0.0,0.0,1750.3,-1770.1,0.0,0.0,-1770.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,-223.7,-114.8,-186.0,-9.3,0.0,940.0,-1116.7,-52.5,0.0,-52.5,0.0,129.6,14.4,-126.6,,,
06/30/2017,256.7,239.6,26.2,16.1,-27.2,43.3,0.0,-25.2,108.1,,,,,,,-133.3,,103.5,-32.8,0.0,-32.8,110.7,1516.4,0.0,120.9,1395.5,-1405.7,0.0,0.0,-1405.7,0.0,,,,0.0,0.0,0.0,0.0,25.6,-364.2,-118.9,-311.8,9.3,0.0,519.3,-840.4,-4.8,0.0,-4.8,0.0,71.3,41.7,37.7,,,
09/30/2017,389.8,267.5,29.7,7.5,-15.3,42.4,-19.6,85.1,-27.7,-277.7,,,,,,112.8,0.0,-562.4,-22.8,0.0,-22.8,-273.0,1107.1,0.0,18.8,1088.3,-1380.1,0.0,0.0,-1380.1,0.0,0.0,0.0,0.0,-299.2,0.0,-299.2,0.0,32.6,367.1,-119.0,422.8,0.0,0.0,428.1,-5.3,-1.3,0.0,-1.3,0.0,64.6,31.0,225.5,,,
12/31/2017,358.7,408.2,34.6,12.4,-27.6,40.4,-0.4,-96.5,28.1,-64.8,0.0,0.0,0.0,0.0,0.0,-59.8,0.0,-471.1,-29.0,0.0,-29.0,-500.9,830.0,0.0,3.1,826.9,-1330.9,0.0,-0.1,-1330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,389.8,-118.9,448.6,-28.7,0.0,925.0,-447.7,-5.2,0.0,-5.2,0.0,65.3,12.7,290.1,55.9,20.6,
03/31/2018,-52.2,253.9,33.6,40.0,-8.8,40.9,7.9,-379.7,-28.6,,0.0,0.0,0.0,0.0,0.0,-351.1,0.0,-297.8,-20.6,0.0,-20.6,-277.2,690.2,0.0,0.0,690.2,-967.4,0.0,0.0,-967.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.6,-119.6,51.1,0.0,0.0,53.0,-1.9,-39.3,0.0,-39.3,0.0,63.2,37.5,-357.1,,,
06/30/2018,449.0,245.1,32.4,51.4,19.9,40.9,-9.4,120.1,0.7,,,,,,,119.4,0.0,-1519.7,-25.6,0.0,-25.6,-27.1,1116.1,0.0,0.0,1116.1,-1143.2,0.0,0.0,-1143.2,0.0,0.0,0.0,0.0,-1469.3,0.0,-1469.3,0.0,2.3,839.5,-124.4,43.2,0.0,0.0,468.5,-425.3,-7.6,0.0,-7.6,0.0,928.3,-54.2,-285.4,,,
09/30/2018,265.3,269.6,39.6,34.3,-8.8,42.7,0.4,-78.2,1.0,,,,,,,-79.2,0.0,-865.4,-22.1,0.0,-22.1,-856.0,928.4,0.0,0.0,928.4,-1784.4,0.0,0.0,-1784.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,789.2,-124.3,850.3,0.0,0.0,1453.9,-603.6,-2.8,0.0,-2.8,0.0,66.0,-10.6,178.5,,,
12/31/2018,166.7,114.2,36.5,117.5,52.8,47.9,16.8,-101.5,-9.1,,0.0,0.0,0.0,0.0,0.0,-92.4,0.0,-215.8,-34.2,0.0,-34.2,-148.3,598.5,,,,-746.8,0.0,0.0,-746.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.3,-61.6,-122.3,804.6,330.8,0.0,488.4,-14.6,-2.1,0.0,-2.1,0.0,-741.8,-17.5,-128.2,,,
03/31/2019,-120.4,177.7,36.3,6.4,-12.2,49.8,-31.2,-340.8,-26.8,,0.0,0.0,0.0,0.0,0.0,-314.0,0.0,-333.4,-21.1,0.0,-21.1,-394.9,423.0,0.0,0.0,423.0,-817.9,0.0,0.0,-817.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6,-87.0,-120.1,-37.7,0.0,0.0,8.4,-46.1,-78.6,0.0,-78.6,0.0,149.4,8.8,-532.0,,,
06/30/2019,467.8,40.1,40.3,27.0,-19.2,59.6,-13.4,360.4,15.5,,,,,,,344.9,0.0,-200.9,-27.9,0.0,-27.9,-546.2,851.3,0.0,0.0,851.3,-1397.5,0.0,0.0,-1397.5,0.0,0.0,0.0,0.0,339.9,0.0,339.9,0.0,33.3,-89.0,-125.4,476.2,0.0,0.0,826.2,-350.0,-65.2,0.0,-65.2,0.0,-374.6,-4.3,173.6,,,
09/30/2019,305.6,231.5,48.5,25.1,-4.6,49.4,-19.7,0.5,109.4,,0.0,0.0,0.0,0.0,0.0,-108.9,0.0,-235.0,-26.6,0.0,-26.6,-146.2,852.0,0.0,0.0,852.0,-998.2,0.0,0.0,-998.2,0.0,0.0,0.0,0.0,-11.2,0.0,-11.2,0.0,-51.0,52.1,-190.9,361.2,0.0,0.0,1112.0,-750.8,-311.6,0.0,-311.6,0.0,193.4,-36.8,85.9,,,
12/31/2019,463.6,239.0,52.5,53.2,3.1,48.7,1.4,118.9,68.9,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-656.1,-48.7,0.0,-48.7,-608.4,1651.9,0.0,0.0,1651.9,-2260.3,0.0,0.0,-2260.3,0.0,0.0,0.0,0.0,-38.2,0.0,-38.2,0.0,39.2,325.2,-216.3,398.7,-330.8,0.0,1402.2,-672.7,-14.4,0.0,-14.4,0.0,157.2,32.8,165.5,,,
03/31/2020,-77.0,140.7,48.4,166.7,48.4,47.4,70.9,-432.8,86.0,,0.0,0.0,0.0,0.0,0.0,-518.8,0.0,-452.0,-19.2,0.0,-19.2,-386.6,1238.0,0.0,0.0,1238.0,-1624.6,0.0,0.0,-1624.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.2,96.3,-200.1,75.5,0.0,0.0,579.3,-503.8,-31.5,0.0,-31.5,0.0,252.4,-33.7,-466.4,,,
06/30/2020,337.9,99.7,50.3,43.9,77.7,47.8,-81.6,144.0,64.1,,0.0,0.0,0.0,0.0,0.0,79.9,0.0,-291.0,-28.0,0.0,-28.0,-294.2,896.9,0.0,0.0,896.9,-1191.1,0.0,0.0,-1191.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,-25.0,-132.8,313.5,0.0,0.0,495.8,-182.3,-3.4,0.0,-3.4,0.0,-202.3,5.4,27.3,,,
