Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2005,268.728,170.972,170.972,,,,,,,,,,,11.433,,,,,182.405,27.41,,,,58.913,0.127,,,58.786,86.323,,56.211,56.211,,,,0.0,,,,,47.199,,,47.199,103.41,,,,,,0.785,,,,,0.785,0.785,104.195,,301.722,,,0.0,-134.828,-2.361,164.533,,164.533,268.728,
09/30/2005,278.302,181.886,181.886,,,,,,,,,,,10.032,,,,,191.918,30.415,,,,55.969,0.469,,,55.5,86.384,,43.951,43.951,,,,0.0,,,,,54.804,,,54.804,98.755,,,,,,0.875,,,,,0.875,0.875,99.63,,308.177,,,0.0,-127.882,-1.623,178.672,,178.672,278.302,
12/31/2005,364.681,212.256,212.256,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,31.435,,,,,243.691,40.213,72.623,-32.41,0.0,80.777,0.457,0.0,0.457,80.32,120.99,,63.491,63.491,,,,0.0,0.0,0.0,0.0,,74.096,,,74.096,137.587,0.0,0.0,0.0,0.0,,0.842,,,,,0.842,0.842,138.429,0.0,317.249,,,0.0,-89.671,-1.326,226.252,0.0,226.252,364.681,
03/31/2006,392.945,227.765,227.765,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,27.555,,,,,255.32,40.088,,,0.0,97.537,0.445,0.0,0.445,97.092,137.625,,77.996,77.996,,,,0.0,0.0,0.0,0.0,,76.237,,,76.237,154.233,0.0,0.0,0.0,0.0,,0.912,,,,,0.912,0.912,155.145,0.0,323.067,,,0.0,-85.267,0.0,237.8,0.0,237.8,392.945,
06/30/2006,512.712,341.702,341.702,,,,,,,,,,,28.388,,,,,370.09,41.607,,,,101.015,1.019,,,99.996,142.622,,70.785,70.785,,,,0.0,,,,,74.542,,,74.542,145.327,,,,,,1.031,,,,,1.031,1.031,146.358,,434.584,,,0.0,-68.23,0.0,366.354,,366.354,512.712,
09/30/2006,550.594,368.741,368.741,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,26.353,,,,,395.094,43.164,,,0.0,112.336,0.994,0.0,0.994,111.342,155.5,,81.968,81.968,,,,0.0,0.0,0.0,0.0,,80.514,,,80.514,162.482,0.0,0.0,0.0,0.0,,1.109,,,,,1.109,1.109,163.591,0.0,442.452,,,0.0,-55.449,0.0,387.003,0.0,387.003,550.594,
12/31/2006,608.779,400.43,400.43,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,27.988,,,,,428.418,55.503,100.846,-45.343,0.0,124.858,0.969,0.0,0.969,123.889,180.361,,93.864,93.864,,,,0.0,0.0,0.0,0.0,,99.583,,,99.583,193.447,0.0,0.0,0.0,0.0,,1.121,,,,,1.121,1.121,194.568,0.0,454.8,,,0.0,-40.589,0.0,414.211,0.0,414.211,608.779,
03/31/2007,625.11,387.983,218.458,169.525,0.0,,,,0.0,0.0,0.0,0.0,0.0,38.29,,,,,426.273,64.452,,,0.0,134.385,,0.0,,134.385,198.837,,93.959,93.959,,,,0.0,,,,,97.762,,,97.762,191.721,0.0,,,,,1.185,,,,,1.185,1.185,192.906,0.0,462.445,,,0.0,-30.725,0.484,432.204,0.0,432.204,625.11,
06/30/2007,612.3,377.952,184.182,193.77,,,,,,,,,,32.618,,,,,410.57,67.355,,,,134.375,,,,134.375,201.73,,70.757,70.757,,,,0.0,,,,,96.276,,,96.276,167.033,,,,,,1.186,,,,,1.186,1.186,168.219,,449.747,,,0.0,-5.145,-0.521,444.081,,444.081,612.3,
09/30/2007,624.197,386.181,179.804,206.377,,,,,,,,,,32.137,,,,,418.318,71.616,,,,134.263,,,,134.263,205.879,,89.494,89.494,,,,0.0,,,,,98.338,,,98.338,187.832,,,,,,1.927,,,,,1.927,1.927,189.759,,423.114,,,0.0,10.587,0.737,434.438,,434.438,624.197,
12/31/2007,678.998,385.142,177.439,207.703,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,47.281,,,,,432.423,113.175,180.75,-67.575,0.0,133.4,1.366,0.0,1.366,132.034,246.575,,99.951,99.951,,,,0.823,0.0,0.823,0.823,,108.131,,,108.131,208.905,35.652,0.0,35.652,35.652,,4.629,,,,,4.629,40.281,249.186,0.0,402.775,,,0.0,25.426,1.611,429.812,0.0,429.812,678.998,
03/31/2008,585.678,295.495,168.989,126.506,0.0,,,,0.0,0.0,0.0,0.0,0.0,30.667,,,,,326.162,86.997,,,0.0,172.519,,0.0,,172.519,259.516,,114.568,114.568,,,,0.0,,,,,112.396,,,112.396,226.964,0.0,,,,,3.281,,,,,3.281,3.281,230.245,0.0,315.382,,,0.0,39.741,0.31,355.433,0.0,355.433,585.678,
06/30/2008,646.023,313.464,144.289,169.175,0.0,,,,0.0,0.0,0.0,0.0,0.0,45.69,,,,,359.154,129.553,210.732,-81.179,0.0,157.316,1.906,,,155.41,286.869,,109.0,109.0,,,,1.029,0.0,1.029,1.029,,95.348,,,95.348,205.377,38.582,0.0,38.582,38.582,,12.602,,,,,12.602,51.184,256.561,0.0,324.927,,,0.0,65.349,-0.814,389.462,0.0,389.462,646.023,
09/30/2008,582.999,250.828,111.524,139.304,0.0,,,,0.0,0.0,0.0,0.0,0.0,50.547,,,,,301.375,128.541,218.291,-89.75,0.0,153.083,122.558,,,30.525,281.624,,109.277,109.277,,,,1.09,0.0,1.09,1.09,,97.522,,,97.522,207.889,38.287,0.0,38.287,38.287,,11.99,,,,,11.99,50.277,258.166,0.0,331.551,,,-90.028,85.72,-2.41,324.833,0.0,324.833,582.999,
12/31/2008,615.424,297.271,139.881,157.39,,,,,,,,,,61.654,,,,,358.925,124.948,223.786,-98.838,,131.551,100.391,,,31.16,256.499,,100.344,100.344,,,,1.152,0.0,1.152,1.152,,114.521,,,114.521,216.017,37.988,0.0,37.988,37.988,,14.264,,,,,14.264,52.252,268.269,0.0,338.639,,,-100.02,108.452,0.084,347.155,,347.155,615.424,
03/31/2009,628.678,286.489,115.131,171.358,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,78.391,22.167,,23.107,50.682,364.88,123.817,231.441,-107.624,0.0,139.981,105.361,,105.361,11.513,263.798,,144.875,112.767,,,32.108,1.215,0.0,1.215,1.215,,80.623,,,0.0,226.713,37.656,0.0,37.656,37.656,,17.997,,,,,17.997,55.653,282.366,0.0,358.683,0.063,358.62,-142.739,130.815,-0.447,346.312,0.0,346.312,628.678,
06/30/2009,591.993,254.969,87.471,167.498,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,87.595,26.101,,17.225,55.9,342.564,120.346,,,0.0,129.083,100.316,,100.316,11.542,249.429,,129.416,101.634,,,27.782,1.275,0.0,1.275,1.275,,80.495,,,0.0,211.186,37.301,0.0,37.301,37.301,,19.135,,,,,19.135,56.436,267.622,0.0,375.638,0.064,375.574,-215.25,163.258,0.725,324.371,0.0,324.371,591.993,
09/30/2009,492.131,155.462,55.717,99.745,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,79.5,22.618,,17.244,51.176,234.962,122.119,,,0.0,135.05,104.539,,104.539,13.267,257.169,,123.057,93.451,,,29.606,1.342,0.0,1.342,1.342,,79.123,,,0.0,203.522,36.94,0.0,36.94,36.94,,19.467,,,,,19.467,56.407,259.929,0.0,378.613,0.064,378.549,-340.362,193.399,0.552,232.202,0.0,232.202,492.131,
12/31/2009,679.734,320.242,134.224,186.018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,90.771,26.741,0.0,15.958,50.83,411.013,131.653,265.947,-134.294,0.0,137.068,108.81,0.0,108.81,12.3,268.721,,125.929,92.542,0.0,0.0,33.387,1.41,0.0,1.41,1.41,,100.097,0.0,0.0,0.0,227.436,236.572,200.0,36.572,36.572,,16.583,0.0,0.0,0.0,0.0,16.583,253.155,480.591,0.0,0.053,0.053,0.0,0.0,198.817,0.273,199.143,0.0,199.143,679.734,
03/31/2010,648.293,266.33,79.861,186.469,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,113.208,31.704,,18.791,81.504,379.538,127.165,270.977,-143.812,0.0,141.59,109.431,,109.431,13.368,268.755,,141.421,102.703,,,38.718,1.917,0.0,1.917,1.917,,100.109,,,0.0,243.447,235.704,200.0,35.704,35.704,,22.407,,,,,22.407,258.111,501.558,0.0,0.052,0.052,0.0,0.0,146.196,0.487,146.735,0.0,146.735,648.293,
06/30/2010,693.972,279.085,107.327,171.758,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,162.133,33.837,,21.951,128.296,441.218,123.292,276.304,-153.012,0.0,129.462,94.666,,94.666,12.845,252.754,,154.777,120.031,,,34.746,1.971,0.0,1.971,1.971,,101.419,,,0.0,258.167,235.185,200.0,35.185,35.185,,23.98,,,,,23.98,259.165,517.332,0.0,0.052,0.052,0.0,0.0,175.786,0.802,176.64,0.0,176.64,693.972,
09/30/2010,770.283,256.813,113.108,143.705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,235.434,59.322,,19.219,176.112,492.247,125.057,254.124,-129.067,0.0,152.979,120.047,,120.047,13.713,278.036,,207.094,170.12,,,36.974,2.027,0.0,2.027,2.027,,102.986,,,0.0,312.107,234.659,200.0,34.659,34.659,,31.542,,,,,31.542,266.201,578.308,0.0,0.052,0.052,0.0,0.0,190.644,1.279,191.975,0.0,191.975,770.283,
12/31/2010,982.067,350.387,194.499,155.888,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,286.844,62.217,0.0,19.69,203.927,637.231,128.57,265.149,-136.579,0.0,216.266,180.973,0.0,180.973,15.603,344.836,,205.184,168.695,0.0,0.0,36.489,2.083,0.0,2.083,2.083,,181.312,0.0,0.0,54.129,388.579,234.117,200.0,34.117,34.117,,69.207,0.0,0.0,0.0,0.0,69.207,303.324,691.903,0.0,51.675,0.053,51.622,0.0,237.739,0.75,290.164,0.0,290.164,982.067,
03/31/2011,1090.188,342.721,150.419,192.302,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,378.881,74.597,,22.452,304.284,721.602,134.8,276.51,-141.71,0.0,233.786,197.554,,197.554,13.78,368.586,,345.132,301.009,,,44.123,2.141,0.0,2.141,2.141,,143.045,,,0.0,490.318,233.564,200.0,33.564,33.564,,90.584,,,,,90.584,324.148,814.466,0.0,0.052,0.052,0.0,0.0,275.08,0.59,275.722,0.0,275.722,1090.188,
06/30/2011,1570.693,376.407,175.207,201.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,593.037,59.811,,25.883,533.226,969.444,136.948,288.141,-151.193,0.0,464.301,425.246,,425.246,13.172,601.249,,577.573,533.436,,,44.137,2.199,0.0,2.199,2.199,,146.937,,,0.0,726.709,232.986,200.0,32.986,32.986,,276.964,,,,,276.964,509.95,1236.659,0.0,0.053,0.053,0.0,0.0,333.097,0.884,334.034,0.0,334.034,1570.693,
09/30/2011,1961.558,365.772,159.199,206.573,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,824.341,77.146,,28.743,747.195,1190.113,143.993,305.345,-161.352,0.0,627.452,570.21,,570.21,28.499,771.445,,804.778,750.107,,,54.671,2.259,0.0,2.259,2.259,,160.929,,,0.0,967.966,232.4,200.0,32.4,32.4,,372.84,,,,,372.84,605.24,1573.206,0.0,0.053,0.053,0.0,0.0,387.711,0.588,388.352,0.0,388.352,1961.558,
12/31/2011,3069.196,797.811,508.053,289.758,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1033.046,56.007,0.0,38.328,948.939,1830.857,136.353,306.038,-169.685,0.0,1101.986,1046.934,0.0,1046.934,16.724,1238.339,,141.223,86.992,,,54.231,0.0,0.0,0.0,0.0,,1083.832,0.0,0.0,935.036,1225.055,200.0,200.0,0.0,0.0,,1001.331,0.0,0.0,0.0,0.0,1001.331,1201.331,2426.386,0.0,219.174,0.055,219.119,0.0,422.93,0.706,642.81,0.0,642.81,3069.196,
03/31/2012,3480.459,804.526,395.992,408.534,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1254.215,53.013,,39.3,1191.402,2058.741,128.197,306.284,-178.087,0.0,1293.521,1226.274,,1226.274,27.947,1421.718,,132.225,83.119,,,49.106,0.0,0.0,,,,1314.441,,,1163.839,1446.666,200.0,200.0,,,,1170.391,,,,,1170.391,1370.391,2817.057,0.0,243.479,0.055,243.424,0.0,418.346,1.577,663.402,0.0,663.402,3480.459,
06/30/2012,3478.29,813.343,402.251,411.092,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1324.442,48.51,,40.1,1266.932,2137.785,124.644,310.298,-185.654,0.0,1215.861,1147.805,,1147.805,27.956,1340.505,,141.845,90.961,,,50.884,0.0,0.0,,,,1356.999,,,1204.209,1498.844,200.0,200.0,,,,1091.22,,,,,1091.22,1291.22,2790.064,0.0,262.755,0.056,262.699,0.0,424.51,0.961,688.226,0.0,688.226,3478.29,
09/30/2012,3808.833,798.355,370.298,428.057,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1426.663,33.152,,55.7,1385.111,2225.018,133.603,329.833,-196.23,0.0,1450.212,1366.566,,1366.566,27.946,1583.815,,162.192,91.511,,,70.681,0.0,0.0,,,,1436.031,,,1280.885,1598.223,200.0,200.0,,,,1293.77,,,,,1293.77,1493.77,3091.993,0.0,281.649,0.056,281.593,0.0,432.185,3.006,716.84,0.0,716.84,3808.833,
12/31/2012,3967.89,748.078,290.291,457.787,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1492.713,,0.0,56.9,1481.713,2240.791,131.681,336.037,-204.356,0.0,1595.418,1506.008,0.0,1506.008,32.51,1727.099,,138.407,86.468,,,51.939,1.2,0.0,1.2,1.2,,1536.319,0.0,0.0,1366.847,1675.926,230.6,200.0,30.6,30.6,,1316.691,0.0,0.0,0.0,0.0,1316.691,1547.291,3223.217,0.0,301.672,0.056,301.616,0.0,440.082,2.919,744.673,0.0,744.673,3967.89,
03/31/2013,4363.289,1025.872,418.051,607.821,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1531.228,57.254,,63.2,1462.374,2557.1,129.319,337.751,-208.432,0.0,1676.87,1576.674,,1576.674,36.996,1806.189,,154.826,102.822,,,52.004,0.0,0.0,,,,1533.888,,,1355.01,1688.714,500.0,500.0,,,,1361.656,,,,,1361.656,1861.656,3550.37,0.0,369.857,0.056,369.801,0.0,442.771,0.291,812.919,0.0,812.919,4363.289,
06/30/2013,4480.751,1080.11,370.678,709.432,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1490.212,32.064,,66.5,1446.548,2570.322,127.931,347.704,-219.773,0.0,1782.498,1682.202,,1682.202,33.796,1910.429,,162.476,103.441,,,59.035,0.0,0.0,,,,1507.788,,,1321.217,1670.264,500.0,500.0,,,,1204.865,,,,,1204.865,1704.865,3375.129,0.0,635.044,0.059,634.985,0.0,472.242,-1.664,1105.622,0.0,1105.622,4480.751,
09/30/2013,4901.325,1134.987,439.056,695.931,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1714.291,30.522,,68.6,1672.369,2849.278,127.263,344.419,-217.156,0.0,1924.784,1808.387,,1808.387,47.797,2052.047,,147.332,100.899,,,46.433,0.0,0.0,,,,1787.804,,,1591.981,1935.136,500.0,500.0,,,,1261.819,,,,,1261.819,1761.819,3696.955,0.0,698.736,0.059,698.677,0.0,504.064,1.57,1204.37,0.0,1204.37,4901.325,
12/31/2013,5412.563,1200.405,604.965,595.44,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1858.358,,0.0,69.1,1836.858,3058.763,133.605,357.196,-223.591,0.0,2220.195,2091.071,0.0,2091.071,60.024,2353.8,,162.453,108.435,0.0,0.0,54.018,0.0,0.0,,,,1991.75,0.0,0.0,1775.983,2154.203,500.0,500.0,,,,1424.799,0.0,0.0,0.0,0.0,1424.799,1924.799,4079.002,0.0,777.501,0.06,777.441,0.0,552.485,3.575,1333.561,0.0,1333.561,5412.563,
03/31/2014,6048.106,1668.243,1157.45,510.793,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1918.541,,,83.5,1898.641,3586.784,133.473,368.104,-234.631,0.0,2327.849,2179.474,,2179.474,64.875,2461.322,,188.741,133.883,,,54.858,0.0,0.0,,,,2074.912,,,1844.897,2263.653,900.0,900.0,,,,1406.095,,,,,1406.095,2306.095,4569.748,0.0,868.255,0.06,868.195,0.0,605.6,4.503,1478.358,0.0,1478.358,6048.106,
06/30/2014,6325.822,1714.365,1214.244,500.121,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1954.015,,,100.9,1935.015,3668.38,141.715,386.805,-245.09,0.0,2515.727,2348.796,,2348.796,66.031,2657.442,,235.774,137.226,,,98.548,0.0,0.0,,,,2099.35,,,1858.02,2335.124,900.0,900.0,,,,1480.993,,,,,1480.993,2380.993,4716.117,0.0,926.585,0.06,926.525,0.0,676.618,6.502,1609.705,0.0,1609.705,6325.822,
09/30/2014,6778.329,1666.819,1183.217,483.602,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2156.663,,,113.2,2141.763,3823.482,144.147,396.554,-252.407,0.0,2810.7,2631.882,,2631.882,65.618,2954.847,,220.933,150.374,,,70.559,0.0,0.0,,,,2327.722,,,2074.766,2548.655,900.0,900.0,,,,1604.8,,,,,1604.8,2504.8,5053.455,0.0,987.316,0.06,987.256,0.0,735.913,1.645,1724.874,0.0,1724.874,6778.329,
12/31/2014,7042.5,1608.496,1113.608,494.888,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2318.557,,0.0,120.34,2305.157,3927.053,149.875,414.691,-264.816,0.0,2965.572,2773.326,0.0,2773.326,71.906,3115.447,,270.127,201.581,,,68.546,1.2,0.0,1.2,1.2,,2391.827,0.0,0.0,2117.241,2663.154,914.249,885.849,28.4,28.4,,1607.389,0.0,0.0,0.0,0.0,1607.389,2521.638,5184.792,0.0,1042.87,0.060416,1042.809584,0.0,819.284,-4.446,1857.708,0.0,1857.708,7042.5,
03/31/2015,9240.626,2957.708,2454.777,502.931,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2581.348,,,143.3,2567.348,5539.056,145.816,423.055,-277.239,0.0,3555.754,3312.353,,3312.353,100.101,3701.57,,297.89,190.567,,,107.323,0.0,0.0,,,,2710.959,,,2425.619,3008.849,2400.0,2400.0,,,,1922.563,,,,,1922.563,4322.563,7331.412,0.0,1109.388,0.061,1109.327,0.0,842.98,-43.154,1909.214,0.0,1909.214,9240.626,
06/30/2015,9654.861,2796.758,2293.872,502.886,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2803.752,,,145.7,2787.952,5600.51,171.396,453.169,-281.773,0.0,3882.955,3640.767,,3640.767,96.488,4054.351,,362.135,211.729,,,150.406,0.0,0.0,,,,2857.934,,,2556.18,3220.069,2400.0,2400.0,,,,2002.717,,,,,2002.717,4402.717,7622.786,0.0,1200.88,0.060858,1200.819142,0.0,869.315,-38.12,2032.075,0.0,2032.075,9654.861,
09/30/2015,9916.267,2609.642,2115.437,494.205,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2960.071,,,170.7,2939.871,5569.713,181.268,472.305,-291.037,0.0,4165.286,3891.79,,3891.79,102.796,4346.554,,388.715,209.365,,,179.35,0.0,0.0,,,,2952.703,,,2622.964,3341.418,2400.0,2400.0,,,,2007.531,,,,,2007.531,4407.531,7748.949,0.0,1306.461,0.427388,1306.033612,0.0,898.747,-37.89,2167.318,0.0,2167.318,9916.267,
