Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/31/1998,147.834064,-42.551998,7.936,0.0,103.541997,216.760062,181.536995,57.036306,0.47768,0.393771,5.044686,6.530098,,,160.068187,228.994185,8.889074,,
01/30/1999,171.508746,-58.743,7.918,0.0,103.5,224.183746,220.078996,47.028568,0.461675,0.407794,4.902334,6.220587,,,223.913382,276.588382,9.721759,,
05/01/1999,246.025116,-55.710999,7.917,0.0,103.5,301.731117,213.776005,48.415162,0.343021,0.554046,6.273779,7.868236,,,267.840372,323.546373,13.337361,,
07/31/1999,261.240005,-49.078999,7.89,0.0,103.5,323.551007,202.926003,51.003813,0.319888,0.606411,6.457717,7.961197,,,284.412003,346.723004,14.862242,,
10/30/1999,289.300495,-38.542999,7.884,0.0,103.5,362.141496,207.534003,49.871346,0.2858,0.666082,6.733883,8.209591,,,363.990759,436.831759,16.586127,,
01/29/2000,200.73094,-57.860001,7.882,0.0,103.5,254.25294,211.742001,48.880241,0.407075,0.455386,4.407762,5.390255,4.996891,8.899211,253.784258,307.306257,11.795543,,
04/29/2000,278.376188,-45.218,7.875,0.0,103.5,344.533187,217.832,47.51368,0.300406,0.597824,5.55627,6.76949,7.526497,17.889383,349.221937,415.378937,16.012139,,
07/29/2000,319.187753,-38.275002,7.843,0.0,103.5,392.255751,219.633,47.124066,0.263858,0.655342,6.020625,7.354014,10.858999,81.760072,401.833249,474.901248,18.280163,,
10/28/2000,337.868995,-16.059999,7.827,0.0,103.5,433.135995,226.303997,45.734941,0.238955,0.682389,6.103516,7.416966,15.80554,-52.412781,424.887739,520.154739,20.190938,,
02/03/2001,552.381017,-60.382,7.721,0.0,103.5,603.220017,241.725002,42.817251,0.171579,0.887954,7.852382,9.48161,14.57273,90.590532,690.361499,741.200499,27.846921,,
