Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/2004,6741,1937,1937,0.0,1150,1150.0,,1061,602.0,120.0,339.0,0.0,250,,,,,4398,1283,,,0.0,,,1060,388.0,384.0,4.0,,672,2343,,395,395,,,,0.0,,,,,1419,,,1419,1814,1150.0,,,,,448,,,,448,1598,3412,0.0,5172,,,0.0,-1884.0,41,3329,0.0,3329,6741,
10/31/2004,7144,2315,2315,0.0,788,788.0,,809,441.0,69.0,299.0,0.0,751,,,,,4663,984,2847.0,-1863.0,0.0,,,1497,362.0,324.0,38.0,,1135,2481,,306,306,,,,0.0,0.0,0.0,0.0,,1466,,,1466,1772,1150.0,1150.0,0.0,0.0,,653,,,,653,1803,3575,0.0,5200,,,0.0,-1790.0,159,3569,0.0,3569,7144,
01/31/2005,7150,2483,2483,0.0,946,946.0,,1037,609.0,115.0,313.0,0.0,183,,,,,4649,1235,,,0.0,,,1266,459.0,430.0,29.0,,807,2501,,408,408,,,,0.0,,,,,1363,,,1363,1771,1150.0,,,,,461,,,,461,1611,3382,0.0,5260,,,0.0,-1707.0,215,3768,0.0,3768,7150,
04/30/2005,7268,2685,2685,0.0,964,964.0,,958,532.0,115.0,311.0,0.0,206,,,,,4813,1185,,,0.0,,,1270,458.0,428.0,30.0,,812,2455,,389,389,,,,0.0,,,,,1376,,,1376,1765,1150.0,,,,,484,,,,484,1634,3399,0.0,5264,,,0.0,-1612.0,217,3869,0.0,3869,7268,
07/31/2005,7352,2782,2782,0.0,966,966.0,,936,514.0,107.0,315.0,0.0,242,,,,,4926,1148,,,0.0,,,1278,461.0,420.0,41.0,,817,2426,,399,399,,,,0.0,,,,,1372,,,1372,1771,1150.0,,,,,483,,,,483,1633,3404,0.0,5316,,,0.0,-1509.0,141,3948,0.0,3948,7352,
10/31/2005,6751,2251,2226,25.0,753,753.0,,722,353.0,63.0,306.0,0.0,721,,,,,4447,873,2670.0,-1797.0,0.0,,,1431,345.0,324.0,21.0,,1086,2304,,344,344,,,,0.0,0.0,0.0,0.0,,1592,,,1592,1936,0.0,0.0,0.0,0.0,,734,,,,734,734,2670,0.0,5883,,,-290.0,-1463.0,-49,4081,0.0,4081,6751,
01/31/2006,8026,2737,2737,0.0,772,772.0,,740,338.0,71.0,331.0,0.0,377,,,,,4626,875,,,0.0,,,2525,375.0,326.0,49.0,,2150,3400,,386,386,,,,0.0,,,,,1251,,,1251,1637,1500.0,,,,,707,,,,707,2207,3844,0.0,6161,,,-3281.0,1353.0,-51,4182,0.0,4182,8026,
04/30/2006,8057,2657,2657,0.0,845,845.0,,713,340.0,66.0,307.0,0.0,361,,,,,4576,853,,,0.0,,,2628,481.0,395.0,86.0,,2147,3481,,422,422,,,,0.0,,,,,1362,,,1362,1784,1500.0,,,,,699,,,,699,2199,3983,0.0,6396,,,-3768.0,1468.0,-22,4074,0.0,4074,8057,
07/31/2006,7729,2249,2249,0.0,853,853.0,,705,319.0,66.0,320.0,0.0,412,,,,,4219,822,,,0.0,,,2688,481.0,395.0,86.0,,2207,3510,,425,425,,,,0.0,0.0,0.0,0.0,,1254,,,1254,1679,1500.0,1500.0,0.0,0.0,,758,,,,758,2258,3937,0.0,6548,,,-4469.0,1695.0,18,3792,0.0,3792,7729,
10/31/2006,7369,2262,2262,0.0,692,692.0,,627,291.0,51.0,285.0,0.0,377,,,,,3958,775,2349.0,-1574.0,0.0,,,2636,468.0,0.0,468.0,,2168,3411,,378,378,,,,0.0,0.0,0.0,0.0,,1160,,,1160,1538,1500.0,1500.0,0.0,0.0,,683,,,,683,2183,3721,0.0,6610,,,-4525.0,1534.0,29,3648,0.0,3648,7369,
01/31/2007,7193,2090,2090,0.0,671,671.0,,648,302.0,47.0,299.0,0.0,340,,,,,3749,775,,,0.0,,,2669,517.0,417.0,100.0,,2152,3444,,312,312,,,,0.0,,,,,1060,,,1060,1372,1500.0,,,,,664,,,,664,2164,3536,0.0,6731,,,-4779.0,1684.0,21,3657,0.0,3657,7193,
04/30/2007,7283,2050,2050,0.0,718,718.0,,650,301.0,52.0,297.0,0.0,373,,,,,3791,777,,,0.0,,,2715,517.0,,,,2198,3492,,332,332,,,,0.0,,,,,1222,,,1222,1554,1500.0,,,,,674,,,,674,2174,3728,0.0,6835,,,-5161.0,1807.0,74,3555,0.0,3555,7283,
07/31/2007,7024,1486,1486,0.0,738,738.0,,674,303.0,57.0,314.0,0.0,383,,,,,3281,787,,,0.0,,,2956,732.0,550.0,182.0,,2224,3743,,346,346,,,,0.0,,,,,1164,,,1164,1510,1500.0,,,,,726,,,,726,2226,3736,0.0,7057,,,-5838.0,1992.0,77,3288,0.0,3288,7024,
10/31/2007,7554,1826,1826,0.0,735,735.0,,643,286.0,44.0,313.0,0.0,467,,,,,3671,801,2465.0,-1664.0,0.0,,,3082,736.0,736.0,0.0,,2346,3883,,323,323,,,,0.0,0.0,0.0,0.0,,1340,,,1340,1663,2087.0,2087.0,0.0,0.0,,570,,,,570,2657,4320,0.0,7123,,,-6469.0,2172.0,408,3234,0.0,3234,7554,
01/31/2008,7459,1557,1385,172.0,726,726.0,,674,296.0,50.0,328.0,0.0,2113,,,,,5070,801,,,0.0,,,1588,841.0,605.0,236.0,,747,2389,,303,303,,,,1500.0,,,,,871,,,871,2674,626.0,,,,,986,,,,986,1612,4286,0.0,7222,,,-6706.0,2218.0,439,3173,0.0,3173,7459,
04/30/2008,7674,1740,1710,30.0,791,791.0,,674,328.0,50.0,296.0,0.0,1980,,,,,5185,809,,,274.0,,,1406,867.0,630.0,237.0,,539,2489,,312,312,,,,1752.0,,,,,980,,,980,3044,622.0,,,,,852,,,,852,1474,4518,0.0,7257,,,-6969.0,2391.0,477,3156,0.0,3156,7674,
07/31/2008,7541,1669,1640,29.0,761,761.0,,674,300.0,44.0,330.0,0.0,1970,,,,,5074,816,,,251.0,,,1400,883.0,642.0,241.0,,517,2467,,293,293,,,,1711.0,1711.0,0.0,0.0,,890,,,890,2894,604.0,604.0,0.0,0.0,,858,,,,858,1462,4356,0.0,7389,,,-7219.0,2560.0,455,3185,0.0,3185,7541,
10/31/2008,7437,1429,1405,24.0,770,770.0,,646,315.0,0.0,331.0,0.0,363,,,,,3208,824,2346.0,-1522.0,206.0,,,3199,874.0,646.0,228.0,,2325,4229,,308,308,,,,0.0,0.0,0.0,0.0,,1017,,,1017,1325,2125.0,2125.0,0.0,0.0,,1428,,,,1428,3553,4878,0.0,7416,,,-7470.0,2791.0,-178,2559,0.0,2559,7437,
01/31/2009,7162,1380,1362,18.0,630,630.0,0.0,655,317.0,0.0,338.0,0.0,343,,,,334.0,3008,831,,,169.0,55.0,114.0,3154,872.0,666.0,206.0,,2282,4154,,722,257,95.0,,370.0,50.0,50.0,,,,358,,,0,1130,2154.0,2154.0,,,,1307,,323.0,,984,3461,4591,0.0,7465,6.0,7459.0,-7595.0,2855.0,-154,2571,0.0,2571,7162,
04/30/2009,6576,1412,1400,12.0,569,569.0,0.0,608,310.0,0.0,298.0,0.0,294,0.0,,,273.0,2883,821,,,167.0,56.0,111.0,2705,837.0,648.0,189.0,,1868,3693,,791,252,89.0,,450.0,0.0,0.0,,,,308,,0.0,0,1099,2154.0,2154.0,,,,904,,344.0,,560,3058,4157,0.0,7480,6.0,7474.0,-7627.0,2754.0,-188,2419,0.0,2419,6576,
07/31/2009,6573,1499,1479,20.0,544,544.0,0.0,571,275.0,0.0,296.0,0.0,283,,,,259.0,2897,839,,,153.0,153.0,,2684,820.0,642.0,178.0,,1864,3676,,690,250,38.0,,402.0,0.0,0.0,,,,301,,,0,991,2153.0,2153.0,,,,940,,378.0,,562,3093,4084,0.0,7522,6.0,7516.0,-7627.0,2735.0,-141,2489,0.0,2489,6573,
10/31/2009,7612,2493,2479,14.0,595,595.0,0.0,552,267.0,0.0,285.0,0.0,321,3.0,47.0,,164.0,3961,845,2451.0,-1606.0,163.0,163.0,,2643,822.0,655.0,167.0,,1771,3651,,829,307,,0.0,522.0,1.0,1.0,0.0,0.0,,293,0.0,0.0,0,1123,2904.0,2904.0,0.0,0.0,,1071,0.0,498.0,13.0,560,3975,5098,0.0,7558,6.0,7552.0,-7627.0,2760.0,-185,2506,8.0,2514,7612,
01/31/2010,7574,2493,2481,12.0,628,628.0,0.0,548,271.0,0.0,277.0,0.0,1850,10.0,,,1834.0,5519,837,,,154.0,154.0,,1064,805.0,657.0,148.0,,249,2055,,734,315,,,419.0,1501.0,1501.0,,,,314,,0.0,0,2549,1410.0,1410.0,,,,1017,,491.0,,526,2427,4976,0.0,7679,6.0,7673.0,-7727.0,2839.0,-201,2590,8.0,2598,7574,
04/30/2010,7767,2657,2646,11.0,669,669.0,0.0,546,272.0,0.0,274.0,0.0,1840,10.0,,,1822.0,5712,831,,,158.0,158.0,,1066,770.0,644.0,126.0,,286,2055,,887,362,,,525.0,1501.0,1501.0,,,,321,,,0,2709,1393.0,1393.0,,,,1033,,483.0,,550,2426,5135,0.0,7808,6.0,7802.0,-7892.0,2947.0,-239,2624,8.0,2632,7767,
07/31/2010,9100,2317,2317,0.0,790,790.0,0.0,688,370.0,0.0,318.0,0.0,1940,47.0,,,1906.0,5735,957,,,136.0,136.0,,2272,1912.0,1399.0,513.0,,313,3365,,1068,459,,,609.0,1501.0,1501.0,,,,348,,,0,2917,2177.0,2177.0,,,,1196,,497.0,,699,3373,6290,0.0,7861,6.0,7855.0,-7986.0,3152.0,-225,2802,8.0,2810,9100,
10/31/2010,9696,2649,2649,0.0,869,869.0,0.0,716,378.0,0.0,338.0,0.0,1935,61.0,190.0,,1812.0,6169,980,2575.0,-1595.0,142.0,142.0,,2405,1950.0,1456.0,494.0,,204,3527,,1202,499,0.0,0.0,703.0,1501.0,1501.0,0.0,0.0,,380,0.0,,0,3083,2190.0,2190.0,0.0,0.0,,1187,0.0,477.0,71.0,639,3377,6460,0.0,7910,6.0,7904.0,-8038.0,3444.0,-88,3228,8.0,3236,9696,
01/31/2011,8044,2655,2638,17.0,854,854.0,0.0,797,378.0,0.0,419.0,0.0,292,41.0,,,268.0,4598,982,,,134.0,134.0,,2330,1915.0,1448.0,467.0,,374,3446,,974,444,,,530.0,1.0,1.0,,,,431,,,0,1406,2138.0,2138.0,,,,1161,,469.0,,692,3299,4705,0.0,8066,6.0,8060.0,-8308.0,3637.0,-63,3332,7.0,3339,8044,
04/30/2011,8649,2975,2975,0.0,918,918.0,0.0,853,446.0,0.0,407.0,0.0,350,26.0,,,309.0,5096,1004,,,123.0,123.0,,2426,2048.0,1555.0,493.0,,352,3553,,1138,486,,,652.0,0.0,0.0,,,,454,,9.0,0,1592,2144.0,2144.0,,,,952,,233.0,,710,3096,4688,0.0,8146,6.0,8140.0,-8308.0,3837.0,278,3953,8.0,3961,8649,
07/31/2011,8753,3101,3101,0.0,917,917.0,0.0,897,456.0,0.0,441.0,0.0,308,15.0,,,285.0,5223,1000,,,122.0,122.0,,2408,2042.0,1580.0,462.0,,351,3530,,1067,470,,,597.0,0.0,0.0,,,,438,,,0,1505,2168.0,2168.0,,,,880,,226.0,,654,3048,4553,0.0,8254,6.0,8248.0,-8500.0,4167.0,271,4192,8.0,4200,8753,
10/31/2011,9057,3527,3527,0.0,860,860.0,0.0,898,446.0,0.0,452.0,0.0,284,0.0,168.0,,193.0,5569,1006,2612.0,-1606.0,117.0,117.0,,2365,1996.0,1567.0,429.0,,201,3488,,1184,472,0.0,0.0,712.0,253.0,253.0,0.0,0.0,,400,0.0,0.0,0,1837,1932.0,1932.0,0.0,0.0,,972,0.0,329.0,42.0,601,2904,4741,0.0,8271,6.0,8265.0,-8535.0,4456.0,116,4308,8.0,4316,9057,
01/31/2012,9099,3662,3662,0.0,814,814.0,0.0,937,471.0,0.0,466.0,0.0,302,,,,277.0,5715,1007,,,110.0,110.0,,2267,2012.0,1598.0,414.0,,255,3384,,1030,426,,,604.0,252.0,252.0,,,,423,,,0,1705,1929.0,1929.0,,,,966,,319.0,,647,2895,4600,0.0,8326,6.0,8320.0,-8568.0,4651.0,87,4496,3.0,4499,9099,
04/30/2012,9413,3896,3896,0.0,909,909.0,0.0,947,481.0,0.0,466.0,0.0,258,,,,241.0,6010,996,,,111.0,111.0,,2296,1991.0,1597.0,394.0,,305,3403,,1154,457,,,697.0,251.0,251.0,,,,430,,,0,1835,1926.0,1926.0,,,,927,,281.0,,646,2853,4688,0.0,8360,6.0,8354.0,-8612.0,4906.0,68,4722,3.0,4725,9413,
07/31/2012,9757,1923,1923,0.0,950,950.0,0.0,1036,505.0,0.0,531.0,0.0,302,,,,288.0,4211,1139,,,104.0,104.0,,4303,4035.0,2950.0,1085.0,,268,5546,,1141,492,,,649.0,500.0,500.0,,,,449,,,0,2090,1714.0,1714.0,,,,1080,,269.0,,811,2794,4884,0.0,8403,6.0,8397.0,-8612.0,5114.0,-35,4870,3.0,4873,9757,
10/31/2012,10536,2351,2351,0.0,923,923.0,0.0,1014,505.0,0.0,509.0,0.0,341,0.0,400.0,,239.0,4629,1164,2882.0,-1718.0,109.0,109.0,,4634,4111.0,3025.0,1086.0,,123,5907,,1217,461,0.0,0.0,756.0,250.0,250.0,0.0,0.0,,426,0.0,0.0,0,1893,2112.0,2112.0,0.0,0.0,,1346,0.0,554.0,,792,3458,5351,0.0,8495,6.0,8489.0,-8707.0,5505.0,-111,5182,3.0,5185,10536,
01/31/2013,10653,2450,2450,0.0,874,874.0,0.0,1040,500.0,0.0,540.0,0.0,348,,,,325.0,4712,1163,,,128.0,128.0,,4650,4140.0,3071.0,1069.0,,510,5941,,1121,454,,,667.0,250.0,250.0,,,,475,,,0,1846,2111.0,2111.0,,,,1345,,554.0,,791,3456,5302,0.0,8568,6.0,8562.0,-8786.0,5607.0,-41,5348,3.0,5351,10653,
04/30/2013,10587,2519,2519,0.0,916,916.0,0.0,1042,515.0,0.0,527.0,0.0,341,,,,318.0,4818,1147,,,120.0,120.0,,4502,4001.0,3006.0,995.0,,501,5769,,1194,448,,,746.0,250.0,250.0,,,,464,,,0,1908,2106.0,2106.0,,,,1265,,478.0,,787,3371,5279,0.0,8602,6.0,8596.0,-8926.0,5774.0,-145,5305,3.0,5308,10587,
07/31/2013,10278,2330,2330,0.0,875,875.0,0.0,1054,516.0,0.0,538.0,0.0,325,,,,309.0,4584,1139,,,124.0,124.0,,4431,3940.0,2995.0,945.0,,491,5694,,1078,407,,,671.0,0.0,0.0,,,,472,,,0,1550,2701.0,2701.0,,,,1237,,463.0,,774,3938,5488,0.0,8666,6.0,8660.0,-9607.0,5901.0,-173,4787,3.0,4790,10278,
10/31/2013,10686,2675,2675,0.0,899,899.0,0.0,1066,514.0,0.0,552.0,0.0,343,0.0,264.0,,221.0,4983,1134,2878.0,-1744.0,139.0,139.0,,4430,3963.0,3047.0,916.0,,203,5703,,1157,432,0.0,0.0,725.0,0.0,0.0,0.0,0.0,,445,0.0,0.0,0,1602,2699.0,2699.0,0.0,0.0,,1096,0.0,294.0,,802,3795,5397,0.0,8729,6.0,8723.0,-9607.0,6073.0,91,5286,3.0,5289,10686,
01/31/2014,10638,2742,2742,0.0,849,849.0,0.0,1088,531.0,0.0,557.0,0.0,394,,,,386.0,5073,1129,,,129.0,129.0,,4307,3876.0,3017.0,859.0,,431,5565,,1074,430,,,644.0,0.0,0.0,,,,475,,,0,1549,2695.0,2695.0,,,,947,,274.0,,673,3642,5191,0.0,8826,6.0,8820.0,-9707.0,6289.0,36,5444,3.0,5447,10638,
04/30/2014,11026,2950,2950,0.0,903,903.0,0.0,1100,537.0,0.0,563.0,0.0,424,,,,420.0,5377,1139,,,133.0,133.0,,4377,3892.0,3067.0,825.0,,485,5649,,1245,481,,,764.0,0.0,0.0,,,,474,,,0,1719,2693.0,2693.0,,,,985,,261.0,,724,3678,5397,0.0,8867,6.0,8861.0,-9757.0,6384.0,132,5626,3.0,5629,11026,
07/31/2014,10380,2391,2391,0.0,891,891.0,0.0,1099,523.0,0.0,576.0,0.0,453,,,,447.0,4834,1142,,,164.0,164.0,,4240,3770.0,3012.0,758.0,,470,5546,,1088,402,,,686.0,35.0,35.0,,,,456,,,0,1579,2181.0,2181.0,,,,980,,235.0,,745,3161,4740,0.0,8904,6.0,8898.0,-9807.0,6487.0,53,5637,3.0,5640,10380,
10/31/2014,10815,2218,2218,0.0,626,626.0,0.0,574,208.0,0.0,366.0,0.0,2091,0.0,145.0,1434.0,165.0,5509,631,1369.0,-738.0,96.0,96.0,,4579,3156.0,2507.0,649.0,,123,5306,,805,302,0.0,0.0,503.0,0.0,0.0,0.0,0.0,,887,0.0,0.0,0,1692,1663.0,1663.0,0.0,0.0,,2156,0.0,209.0,,513,3819,5511,0.0,8973,6.0,8967.0,-9807.0,6469.0,-334,5301,3.0,5304,10815,
01/31/2015,7519,2118,2118,0.0,615,615.0,0.0,560,204.0,0.0,356.0,0.0,361,,,0.0,335.0,3654,610,,,90.0,90.0,,3165,2911.0,2352.0,559.0,,254,3865,,631,257,,,374.0,0.0,0.0,,,,297,,,0,928,1658.0,1658.0,,,,693,,194.0,,499,2351,3279,0.0,8963,6.0,8957.0,-9813.0,5348.0,-261,4237,3.0,4240,7519,
04/30/2015,7412,2197,2197,0.0,576,576.0,0.0,556,189.0,0.0,367.0,0.0,291,,,0.0,275.0,3620,593,,,91.0,91.0,,3108,2857.0,2341.0,516.0,,251,3792,,650,261,,,389.0,0.0,0.0,,,,280,,,0,930,1656.0,1656.0,,,,665,,176.0,,489,2321,3251,0.0,9006,6.0,9000.0,-9975.0,5397.0,-270,4158,3.0,4161,7412,
07/31/2015,7251,2075,2075,0.0,584,584.0,0.0,545,184.0,0.0,361.0,0.0,274,,,0.0,264.0,3478,587,,,88.0,88.0,,3098,2850.0,2366.0,484.0,,248,3773,,580,248,,,332.0,0.0,0.0,,,,273,,,0,853,1655.0,1655.0,,,,637,,168.0,,469,2292,3145,0.0,9035,6.0,9029.0,-10074.0,5474.0,-332,4103,3.0,4106,7251,
10/31/2015,7479,2003,2003,0.0,606,606.0,0.0,541,179.0,0.0,362.0,0.0,536,0.0,180.0,,448.0,3686,604,1334.0,-730.0,58.0,58.0,,3131,2811.0,2366.0,445.0,28.0,112,3793,,713,279,0.0,0.0,434.0,0.0,0.0,0.0,0.0,,263,0.0,0.0,0,976,1655.0,1655.0,0.0,0.0,,678,0.0,264.0,,414,2333,3309,0.0,9051,6.0,9045.0,-10074.0,5581.0,-391,4167,3.0,4170,7479,
