Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2015,10249,10249,,0,-8607,0.0,480,8127,1642,-590,,410,,0.0,-8.0,188,1052,-314,738,0,0,0,738,-156,582,0.0,0,582,701.0,119.0,404.166667,1.44,1.44,1.734433,415.918,1.4,1.4,1.686114,
03/31/2016,10260,10260,,0,-8748,,479,8269,1512,-417,,416,,0.0,-12.0,13,1095,-284,811,0,0,0,811,-117,694,0.0,0,694,703.0,9.0,396.397,1.75,1.75,1.773475,410.575,1.69,1.69,1.71192,
06/30/2016,10319,10319,,0,-8766,,489,8277,1553,-421,,427,,0.0,-10.0,4,1132,-341,791,0,0,0,791,-133,658,0.0,0,658,613.98659,-44.01341,386.406,1.7,1.7,1.588968,398.659,1.65,1.65,1.539596,
09/30/2016,10270,10270,,0,-8830,,495,8335,1440,-422,,432,,0.0,-22.0,12,1018,-273,745,0,0,0,745,-127,618,0.0,0,618,623.0,5.0,378.199,1.63,1.63,1.647281,389.592,1.59,1.59,1.602834,
12/31/2016,10641,10641,,0,-8948,0.0,503,8445,1693,-128,,432,,0.0,-10.0,-294,1565,-480,1085,0,0,0,1085,-165,920,0.0,0,920,686.25,-233.75,373.98374,2.46,2.46,1.834973,384.747,2.39,2.39,1.782458,
03/31/2017,10623,10623,,0,-9149,,521,8628,1474,-408,,419,,,-10.0,-1,1066,-289,777,0,0,0,777,-118,659,0.0,0,659,658.0,-1.0,370.289,1.78,1.78,1.77699,379.98,1.74,1.74,1.737368,
06/30/2017,10733,10733,,0,-9177,,521,8656,1556,-396,,411,,,-13.0,-2,1160,-365,795,0,0,0,795,-138,657,0.0,0,657,656.0,-1.0,365.847,1.79,1.79,1.793099,375.338,1.75,1.75,1.747336,
09/30/2017,10696,10696,,0,-9472,,539,8933,1224,-446,,427,,0.0,-13.0,32,778,-248,530,0,0,0,530,-104,426,0.0,0,426,447.30166,21.30166,360.17,1.18,1.18,1.241918,369.834,1.15,1.15,1.207598,
12/31/2017,11562,11562,,0,-9759,,550,9209,1803,-426,,433,,0.0,-9.0,2,1377,-736,641,0,0,0,641,-167,474,0.0,0,474,776.0,302.0,353.731343,1.34,1.34,2.193755,363.943,1.3,1.3,2.1298,
03/31/2018,11423,10827,596.0,0,-9867,,553,9314,1556,-17,,431,,,-9.0,-405,1539,-257,1282,0,0,0,1282,-138,1144,0.0,0,1144,839.0,-305.0,350.85,3.26,3.26,2.391335,359.749,3.18,3.18,2.332187,
06/30/2018,11529,11529,,0,-9871,,562,9309,1658,-420,,436,,,-7.0,-9,1238,-272,966,0,0,0,966,-146,820,0.0,0,820,691.0,-129.0,348.615,2.35,2.35,1.982129,355.039,2.31,2.31,1.94666,
09/30/2018,11451,11007,444.0,0,-9946,,582,9364,1505,-436,,442,,,-9.0,3,1069,-173,896,0,0,0,896,-137,759,0.0,0,759,761.0,2.0,345.823,2.2,2.2,2.200548,353.639,2.15,2.15,2.155655,
12/31/2018,12274,12274,,0,-10351,,581,9770,1923,-434,,446,,,-4.0,-8,1489,-244,1245,0,0,0,1245,-181,1064,0.0,0,1064,822.0,-242.0,344.33657,3.09,3.09,2.387199,352.876,3.01,3.01,2.324207,
03/31/2019,12517,11745,772.0,0,-10606,,619,9987,1911,-451,,461,,,-11.0,1,1460,-279,1181,0,0,0,1181,-142,1039,0.0,0,1039,1040.0,1.0,342.876,3.03,3.03,3.033167,350.316,2.97,2.97,2.972855,
06/30/2019,12602,12602,,0,-10953,,636,10317,1649,-451,,477,,,-8.0,-18,1198,-271,927,0,0,0,927,-144,783,0.0,0,783,769.0,-14.0,342.17,2.29,2.29,2.247421,348.373,2.25,2.25,2.209813,
09/30/2019,12694,12045,649.0,0,-11060,,647,10413,1634,-655,,448,,,-4.0,211,979,-215,764,0,0,0,764,-152,612,0.0,0,612,774.0,162.0,340.789,1.8,1.8,2.2712,347.487,1.76,1.76,2.226204,
12/31/2019,13523,13523,,0,-11499,,694,10805,2024,-417,,438,,,-20.0,-1,1607,-334,1273,0,0,0,1273,-202,1071,0.0,0,1071,1070.21,-0.79,346.791,3.09,3.09,3.086037,346.791,3.09,3.09,3.086037,
03/31/2020,12861,12294,567.0,0,-11342,,674,10668,1519,-709,,428,,,-7.0,288,810,-112,698,0,0,0,698,-117,581,0.0,0,581,803.0,222.0,338.242,1.72,1.72,2.37404,344.096,1.69,1.69,2.335169,
06/30/2020,11068,11068,,822,-9916,,691,9225,1974,-414,,388,,,-1.0,27,1560,-344,1216,0,0,0,1216,-137,1079,0.0,0,1079,1103.0,24.0,337.76,3.2,3.2,3.265632,341.599,3.16,3.16,3.230258,
