Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Research & Development,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2003,628,,-455.0,,,173.0,,-80.0,,,93.0,4.0,1.0,2.0,-1.0,0.0,,-5.0,97.0,-29.0,68.0,0.0,,,68.0,0.0,68.0,0.0,0.0,68.0,68.0,-3.0,177.5,0.38,0.38,0.36,179.3,0.38,0.38,0.36,
03/31/2004,719,,-526.0,,,193.0,,-87.0,,,106.0,-4.0,2.0,2.0,0.0,0.0,,2.0,102.0,-31.0,71.0,0.0,,,71.0,0.0,71.0,0.0,0.0,71.0,71.0,,178.5,0.4,0.4,0.4,181.1,0.39,0.39,0.39,
06/30/2004,744,,-547.0,,,197.0,,-88.0,,,109.0,-1.0,1.0,2.0,-1.0,0.0,,0.0,108.0,-32.0,76.0,0.0,,,76.0,0.0,76.0,0.0,0.0,76.0,76.0,,176.8,0.43,0.43,0.43,179.3,0.42,0.42,0.42,
09/30/2004,839,,-616.0,,,223.0,,-101.0,,,122.0,1.0,2.0,2.0,0.0,0.0,,-3.0,123.0,-37.0,86.0,0.0,,,86.0,0.0,86.0,0.0,0.0,86.0,86.0,,176.8,0.49,0.49,0.49,180.3,0.48,0.48,0.48,
12/31/2004,763,,-545.0,,,218.0,,-87.0,,,131.0,-2.0,2.0,3.0,-1.0,0.0,,0.0,129.0,-39.0,90.0,0.0,,,90.0,0.0,90.0,0.0,0.0,90.0,90.0,,177.2,0.51,0.51,0.51,180.2,0.5,0.5,0.5,
03/31/2005,829,,-600.0,,,229.0,,-97.0,,,132.0,1.0,1.0,2.0,-1.0,0.0,,-2.0,133.0,-38.0,95.0,0.0,,,95.0,0.0,95.0,0.0,0.0,95.0,95.0,,178.8,0.53,0.53,0.53,182.0,0.52,0.52,0.52,
06/30/2005,890,,-641.0,,,249.0,,-107.0,,,142.0,2.0,2.0,3.0,-1.0,0.0,,-4.0,144.0,-43.0,101.0,0.0,,,101.0,0.0,101.0,0.0,0.0,101.0,101.0,,177.5,0.57,0.57,0.57,180.7,0.56,0.56,0.56,
09/30/2005,963,,-716.0,,,247.0,,-111.0,,,136.0,5.0,,3.0,-2.0,0.0,,-6.0,141.0,-31.0,110.0,0.0,,,110.0,0.0,110.0,0.0,0.0,110.0,110.0,,174.6,0.63,0.63,0.63,177.5,0.62,0.62,0.62,
12/31/2005,881,,-630.0,,,251.0,,-97.0,,,154.0,-1.0,2.0,3.0,-1.0,0.0,,-1.0,153.0,-49.0,104.0,0.0,,,104.0,0.0,104.0,0.0,0.0,104.0,104.0,,172.8,0.6,0.6,0.6,175.5,0.59,0.59,0.59,
03/31/2006,957,,-681.0,,,276.0,,-112.0,,,164.0,-2.0,2.0,3.0,-1.0,0.0,,0.0,162.0,-48.0,114.0,0.0,,,114.0,0.0,114.0,0.0,0.0,114.0,114.0,,172.5,0.66,0.66,0.66,175.9,0.65,0.65,0.65,
06/30/2006,964,,-676.0,,,288.0,,-112.0,,,176.0,1.0,2.0,3.0,-1.0,0.0,,-3.0,177.0,-56.0,121.0,0.0,,,121.0,0.0,121.0,0.0,0.0,121.0,121.0,,171.2,0.71,0.71,0.71,173.8,0.7,0.7,0.7,
09/30/2006,1061,,-765.0,,,296.0,,-120.0,,,176.0,21.0,,4.0,-3.0,0.0,,-22.0,197.0,-59.0,138.0,0.0,,,138.0,0.0,138.0,0.0,0.0,138.0,138.0,,172.5,0.8,0.8,0.78,173.9,0.79,0.79,0.77,
12/31/2006,993,,-690.0,,,303.0,,-109.0,,,194.0,1.0,2.0,4.0,-2.0,0.0,,-3.0,195.0,-52.0,143.0,0.0,,,143.0,0.0,143.0,0.0,0.0,143.0,143.0,,167.4,0.85,0.85,0.85,170.1,0.84,0.84,0.84,
03/31/2007,1083,,-756.0,,,327.0,,-119.0,,,208.0,2.0,3.0,3.0,0.0,0.0,,-5.0,210.0,-70.0,140.0,0.0,,,140.0,0.0,140.0,0.0,0.0,140.0,140.0,-1.95,167.9,0.83,0.83,0.82,170.6,0.82,0.82,0.81,
06/30/2007,1113,,-780.0,,,333.0,,-124.0,,,209.0,0.0,2.0,3.0,-1.0,0.0,,-2.0,209.0,-63.0,146.0,0.0,,,146.0,0.0,146.0,0.0,0.0,146.0,146.0,-0.65,167.0,0.87,0.87,0.87,169.6,0.86,0.86,0.86,
09/30/2007,1226,,-866.0,,,360.0,,-130.0,,,230.0,-1.0,2.0,3.0,-1.0,0.0,,-1.0,229.0,-73.0,156.0,0.0,,,156.0,0.0,156.0,0.0,0.0,156.0,156.0,-0.65,166.0,0.94,0.94,0.94,168.7,0.93,0.93,0.93,
12/31/2007,1112,,-769.0,,,343.0,,-111.0,,,232.0,0.0,3.0,5.0,-2.0,0.0,,-3.0,232.0,-78.0,154.0,0.0,,,154.0,0.0,154.0,0.0,0.0,154.0,154.0,,162.9,0.95,0.95,0.95,165.3,0.93,0.93,0.93,
03/31/2008,1186,,-840.0,,,346.0,,-120.0,,,226.0,6.0,3.0,5.0,-2.0,0.0,,-9.0,232.0,-64.0,168.0,0.0,,,168.0,0.0,168.0,0.0,0.0,168.0,168.0,,161.1,1.04,1.04,1.04,163.2,1.03,1.03,1.03,
06/30/2008,1194,,-827.0,,,367.0,,-119.0,,,248.0,0.0,3.0,5.0,-2.0,0.0,,-3.0,248.0,-74.0,174.0,0.0,,,174.0,0.0,174.0,0.0,0.0,174.0,174.0,,160.3,1.09,1.09,1.09,162.4,1.07,1.07,1.07,
09/30/2008,1277,,-898.0,,,379.0,,-135.0,,,244.0,-3.0,2.0,6.0,-4.0,0.0,,1.0,241.0,-59.0,182.0,0.0,,,182.0,0.0,182.0,0.0,0.0,182.0,182.0,,160.6,1.13,1.13,1.13,160.6,1.13,1.13,1.13,
12/31/2008,1058,1058.0,-732.0,528.0,204.0,326.0,0.0,-105.0,105.0,0.0,221.0,1.0,2.0,4.0,-2.0,,-2.0,-1.0,222.0,-71.0,151.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,151.0,151.0,0.0,158.1,0.96,0.96,0.96,159.2,0.95,0.95,0.95,
03/31/2009,1138,1138.0,-785.0,563.0,222.0,353.0,0.0,-118.0,118.0,0.0,235.0,5.0,2.0,3.0,-1.0,,-2.0,-5.0,240.0,-76.0,164.0,0.0,0.0,0.0,164.0,0.0,164.0,0.0,0.0,164.0,164.0,0.0,158.1,1.04,1.04,1.04,159.3,1.03,1.03,1.03,
06/30/2009,1084,1084.0,-759.0,557.0,202.0,325.0,0.0,-108.0,108.0,0.0,217.0,-2.0,4.0,5.0,-1.0,,-1.0,-1.0,215.0,-70.0,145.0,0.0,0.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,145.0,0.0,158.0,0.92,0.92,0.92,159.7,0.91,0.91,0.91,
09/30/2009,1190,1190.0,-874.0,654.0,220.0,316.0,0.0,-127.0,127.0,0.0,189.0,1.0,5.0,6.0,-1.0,,-3.0,-3.0,190.0,-56.0,134.0,0.0,0.0,0.0,134.0,,134.0,0.0,0.0,134.0,148.0,14.0,157.647059,0.85,0.85,0.938806,159.2,0.84,0.84,0.92794,
12/31/2009,1027,1027.0,-734.0,539.0,195.0,293.0,0.0,-109.0,109.0,0.0,184.0,-3.0,5.0,6.0,-1.0,,-2.0,0.0,181.0,-60.0,121.0,0.0,0.0,0.0,121.0,,121.0,0.0,0.0,121.0,120.35,-0.65,157.1,0.77,0.77,0.766073,159.2,0.76,0.76,0.755917,
03/31/2010,1142,1142.0,-828.0,608.0,220.0,314.0,0.0,-119.0,119.0,0.0,195.0,1.0,3.0,4.0,-1.0,,-3.0,-1.0,196.0,-48.0,148.0,0.0,0.0,0.0,148.0,,148.0,0.0,0.0,148.0,148.0,0.0,157.1,0.94,0.94,0.94,159.4,0.93,0.93,0.93,
06/30/2010,1208,1208.0,-885.0,671.0,214.0,323.0,0.0,-119.0,119.0,0.0,204.0,0.0,4.0,5.0,-1.0,,-2.0,-2.0,204.0,-62.0,142.0,0.0,0.0,0.0,142.0,,142.0,0.0,0.0,142.0,142.0,0.0,157.3,0.9,0.9,0.9,159.5,0.89,0.89,0.89,
09/30/2010,1271,1271.0,-919.0,687.0,232.0,352.0,0.0,-130.0,130.0,0.0,222.0,-4.0,4.0,5.0,-1.0,,-3.0,3.0,218.0,-70.0,148.0,-2.0,-2.0,0.0,150.0,,150.0,0.0,0.0,150.0,148.0,0.0,159.0,0.96,0.930818,0.930818,159.0,0.94,0.93,0.93,
12/31/2010,1104,1104.0,-791.0,583.0,208.0,313.0,0.0,-124.0,124.0,0.0,189.0,2.0,4.0,5.0,-1.0,,-2.0,-4.0,191.0,-41.0,150.0,-1.0,-1.0,0.0,151.0,,151.0,0.0,0.0,151.0,139.85,-10.15,155.6,0.97,0.96,0.898779,157.5,0.96,0.95,0.885556,
03/31/2011,1216,1216.0,-864.0,640.0,224.0,352.0,0.0,-136.0,136.0,0.0,216.0,2.0,3.0,4.0,-1.0,,-4.0,-1.0,218.0,-68.0,150.0,0.0,0.0,0.0,150.0,,150.0,0.0,0.0,150.0,150.0,0.0,154.3,0.97,0.97,0.97,156.5,0.96,0.96,0.96,
06/30/2011,1190,1190.0,-833.0,606.0,227.0,357.0,0.0,-131.0,131.0,0.0,226.0,1.0,3.0,5.0,-2.0,,-3.0,-1.0,227.0,-70.0,157.0,-1.0,-1.0,0.0,158.0,,158.0,0.0,0.0,158.0,157.0,0.0,153.8,1.03,1.02,1.02,155.9,1.01,1.01,1.01,
09/30/2011,1296,1296.0,-939.0,571.0,368.0,357.0,0.0,-142.0,142.0,0.0,215.0,4.0,4.0,5.0,-1.0,,-4.0,-4.0,219.0,-61.0,158.0,-17.0,-17.0,0.0,175.0,,175.0,0.0,0.0,175.0,175.0,17.0,153.508772,1.14,1.03,1.14,155.0,1.13,1.02,1.129677,
12/31/2011,1094,1094.0,-774.0,565.0,209.0,320.0,0.0,-124.0,124.0,0.0,196.0,-2.0,6.0,6.0,0.0,,-3.0,-1.0,194.0,-64.0,130.0,0.0,0.0,0.0,130.0,,130.0,0.0,0.0,130.0,130.0,0.0,149.6,0.87,0.87,0.87,151.1,0.86,0.86,0.86,
03/31/2012,1161,1161.0,-810.0,596.0,214.0,351.0,0.0,-137.0,137.0,0.0,214.0,-1.0,6.0,7.0,-1.0,,-3.0,-2.0,213.0,-52.0,161.0,0.0,0.0,0.0,161.0,,161.0,0.0,0.0,161.0,161.0,0.0,146.0,1.1,1.1,1.1,147.6,1.09,1.09,1.09,
06/30/2012,1205,1205.0,-846.0,645.0,201.0,359.0,0.0,-132.0,132.0,0.0,227.0,3.0,6.0,7.0,-1.0,,-2.0,-7.0,230.0,-64.0,166.0,0.0,0.0,0.0,166.0,,166.0,0.0,0.0,166.0,166.65,0.65,143.4,1.16,1.16,1.162134,145.0,1.14,1.14,1.144483,
09/30/2012,1266,1266.0,-894.0,572.0,322.0,372.0,0.0,-150.0,150.0,0.0,222.0,-2.0,6.0,7.0,-1.0,,-3.0,-1.0,220.0,-68.0,152.0,0.0,0.0,0.0,152.0,,152.0,0.0,0.0,152.0,189.05,37.05,143.8,1.07,1.07,1.314673,143.8,1.06,1.06,1.314673,
12/31/2012,1062,1062.0,-750.0,559.0,191.0,312.0,0.0,-124.0,124.0,0.0,188.0,0.0,,6.0,,,-5.0,-1.0,188.0,-56.0,132.0,0.0,0.0,0.0,132.0,,132.0,0.0,0.0,132.0,132.0,0.0,139.4,0.95,0.95,0.95,140.7,0.94,0.94,0.94,
03/31/2013,1131,1131.0,-804.0,607.0,197.0,327.0,0.0,-126.0,126.0,0.0,201.0,-4.0,,8.0,,,-4.0,0.0,197.0,-36.0,161.0,0.0,0.0,0.0,161.0,,161.0,0.0,0.0,161.0,161.0,0.0,136.2,1.18,1.18,1.18,137.8,1.17,1.17,1.17,
06/30/2013,1132,1132.0,-769.0,581.0,188.0,363.0,0.0,-130.0,130.0,0.0,233.0,-3.0,,7.0,,,-1.0,-3.0,230.0,-69.0,161.0,-3.0,-3.0,0.0,164.0,,164.0,0.0,0.0,164.0,161.0,0.0,135.5,1.21,1.19,1.19,137.2,1.2,1.18,1.18,
09/30/2013,1219,1219.0,-845.0,647.0,198.0,374.0,0.0,-121.0,121.0,0.0,253.0,-4.0,,7.0,,,-3.0,0.0,249.0,-74.0,175.0,0.0,0.0,0.0,175.0,,175.0,0.0,0.0,175.0,176.0,1.0,136.7,1.3,1.3,1.287491,136.7,1.28,1.28,1.287315,
12/31/2013,1054,1054.0,-737.0,561.0,176.0,317.0,0.0,-134.0,134.0,0.0,183.0,1.0,,12.0,,,-3.0,-10.0,184.0,-50.0,134.0,3.0,3.0,0.0,131.0,,131.0,0.0,0.0,131.0,137.25,3.25,135.2,0.97,0.99,1.015163,136.7,0.96,0.98,1.003775,
03/31/2014,1259,1259.0,-881.0,693.0,188.0,378.0,0.0,-148.0,148.0,0.0,230.0,-14.0,,16.0,,,-1.0,-1.0,216.0,-68.0,148.0,0.0,0.0,0.0,148.0,,148.0,0.0,0.0,148.0,148.65,0.65,135.5,1.09,1.09,1.097048,137.2,1.08,1.08,1.084738,
06/30/2014,1264,1264.0,-877.0,690.0,187.0,387.0,0.0,-148.0,148.0,0.0,239.0,-10.0,,15.0,,,-2.0,-3.0,229.0,-66.0,163.0,5.0,5.0,0.0,158.0,,158.0,0.0,0.0,158.0,163.0,0.0,135.2,1.17,1.21,1.21,136.9,1.15,1.19,1.19,
09/30/2014,1402,1402.0,-974.0,753.0,221.0,428.0,0.0,-164.0,164.0,0.0,264.0,-11.0,,16.0,,,-1.0,-4.0,253.0,-80.0,173.0,6.0,6.0,0.0,167.0,,167.0,0.0,0.0,167.0,179.0,6.0,136.2,1.23,1.270191,1.314244,136.2,1.23,1.27,1.314053,
12/31/2014,1226,1226.0,-857.0,657.0,200.0,369.0,0.0,-137.0,137.0,0.0,232.0,-14.0,,15.0,,,,-1.0,218.0,-49.0,169.0,2.0,2.0,0.0,167.0,,167.0,0.0,0.0,167.0,169.0,0.0,133.0,1.26,1.28,1.28,134.5,1.24,1.26,1.26,
03/31/2015,1341,1341.0,-937.0,713.0,224.0,404.0,0.0,-152.0,152.0,0.0,252.0,-11.0,,15.0,,,,-4.0,241.0,-78.0,163.0,6.0,6.0,0.0,157.0,,157.0,0.0,0.0,157.0,163.0,0.0,132.2,1.19,1.23,1.23,133.7,1.17,1.22,1.22,
06/30/2015,1293,1293.0,-888.0,680.0,208.0,405.0,0.0,-157.0,157.0,0.0,248.0,-11.0,,15.0,,,,-4.0,237.0,-59.0,178.0,0.0,0.0,0.0,178.0,,178.0,0.0,0.0,178.0,178.0,0.0,132.1,1.35,1.35,1.35,133.6,1.33,1.33,1.33,
09/30/2015,1384,1384.0,-948.0,730.0,218.0,436.0,0.0,-160.0,160.0,0.0,276.0,-10.0,,16.0,,,,-6.0,266.0,-82.0,184.0,0.0,0.0,0.0,184.0,,184.0,0.0,0.0,184.0,184.0,0.0,133.2,1.4,1.4,1.4,133.2,1.38,1.38,1.38,
12/31/2015,1169,1169.0,-836.0,648.0,188.0,333.0,0.0,-163.0,163.0,0.0,170.0,-13.0,,15.0,,,,-2.0,157.0,-24.0,133.0,-2.0,-2.0,0.0,135.0,,135.0,0.0,0.0,135.0,138.346,5.346,131.4,1.03,1.01,1.052861,132.8,1.02,1.0,1.040256,
03/31/2016,1311,1311.0,-907.0,699.0,208.0,404.0,0.0,-160.0,160.0,0.0,244.0,-9.0,,17.0,,,,-8.0,235.0,-63.0,172.0,1.0,1.0,0.0,171.0,,171.0,0.0,0.0,171.0,172.0,0.0,130.8,1.31,1.31,1.31,132.3,1.29,1.3,1.3,
06/30/2016,1334,1334.0,-915.0,701.0,214.0,419.0,0.0,-158.0,158.0,0.0,261.0,-14.0,,16.0,,,,-2.0,247.0,-33.0,214.0,0.0,0.0,0.0,214.0,,214.0,0.0,0.0,214.0,214.65,0.65,130.0,1.65,1.65,1.651154,131.5,1.63,1.63,1.634943,
09/30/2016,1445,1445.0,-984.0,749.0,235.0,461.0,0.0,-157.0,157.0,0.0,304.0,-8.0,,16.0,,,,-8.0,296.0,-88.0,208.0,0.0,0.0,0.0,208.0,,208.0,0.0,0.0,208.0,208.0,0.0,130.0,1.6,1.6,1.6,131.5,1.58,1.58,1.58,
12/31/2016,1193,1193.0,-816.0,606.0,210.0,377.0,0.0,-148.0,148.0,0.0,229.0,-26.0,,20.0,,,,6.0,203.0,-58.0,145.0,0.0,0.0,0.0,145.0,,145.0,0.0,0.0,145.0,155.0,10.0,130.4,1.11,1.11,1.18865,131.9,1.1,1.1,1.175815,
03/31/2017,1342,1342.0,-930.0,699.0,231.0,412.0,0.0,-158.0,153.0,5.0,254.0,-21.0,,25.0,,,,-4.0,233.0,-65.0,168.0,0.0,0.0,0.0,168.0,,168.0,0.0,0.0,168.0,177.0,9.0,130.9,1.28,1.28,1.352177,132.4,1.27,1.27,1.337976,
06/30/2017,2094,2094.0,-1524.0,1225.0,299.0,570.0,0.0,-277.0,213.0,64.0,293.0,-72.0,,77.0,,,,-5.0,221.0,-42.0,179.0,0.0,0.0,0.0,179.0,,179.0,0.0,0.0,179.0,233.0,54.0,158.2,1.13,1.13,1.472819,159.9,1.12,1.12,1.457711,
09/30/2017,2193,2193.0,-1598.0,1265.0,333.0,595.0,0.0,-149.0,218.0,-69.0,446.0,-172.0,,65.0,,,,107.0,274.0,-61.0,213.0,0.0,0.0,0.0,213.0,,213.0,0.0,0.0,213.0,241.0,28.0,162.5,1.310769,1.310769,1.483077,164.6,1.294046,1.294046,1.464156,
12/31/2017,2011,2011.0,-1463.0,1158.0,305.0,548.0,0.0,-204.0,204.0,0.0,344.0,-87.0,,64.0,,,,23.0,257.0,23.0,280.0,0.0,0.0,0.0,280.0,,280.0,0.0,0.0,280.0,237.0,-43.0,163.4,1.71,1.71,1.450428,165.4,1.69,1.69,1.430024,
03/31/2018,2180,2180.0,-1598.0,1249.0,349.0,582.0,0.0,-229.0,194.0,35.0,353.0,-47.0,,66.0,,,,-19.0,306.0,-69.0,237.0,0.0,0.0,0.0,237.0,,237.0,0.0,0.0,237.0,282.0,45.0,164.1,1.44,1.44,1.718464,165.8,1.43,1.43,1.701411,
06/30/2018,2208,2208.0,-1625.0,1274.0,351.0,583.0,0.0,-212.0,212.0,0.0,371.0,-102.0,,66.0,,,,36.0,269.0,6.0,275.0,0.0,0.0,0.0,275.0,,275.0,0.0,0.0,275.0,266.0,-9.0,164.3,1.67,1.67,1.61899,165.9,1.66,1.66,1.60575,
09/30/2018,2266,2266.0,-1696.0,1344.0,352.0,570.0,0.0,-172.0,207.0,-35.0,398.0,-118.0,,66.0,,,,52.0,280.0,-40.0,240.0,0.0,0.0,0.0,240.0,,240.0,0.0,0.0,240.0,267.0,27.0,164.2,1.461632,1.461632,1.626066,166.1,1.444913,1.444913,1.607465,
12/31/2018,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,1.8,
03/31/2019,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,2.04,
