Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/02/1999,692.0,,-446.9,,245.1,,-166.9,166.9,,0.0,78.2,-0.8,7.0,7.0,,,-6.2,77.4,-27.1,,50.3,0.0,,,50.3,0.0,50.3,0.0,,50.3,50.3,,89.687,0.56,0.56,0.56,89.949,0.56,0.56,0.56,
01/01/2000,690.6,,-460.5,,230.1,,-180.8,,,,49.3,18.6,11.0,11.0,,,-29.6,67.9,-23.8,,44.1,0.0,,,44.1,0.0,44.1,0.0,,44.1,44.1,,89.942,0.49,0.49,0.48,90.159,0.49,0.49,0.48,
04/01/2000,695.4,,-438.0,,257.4,,-171.9,171.9,,0.0,85.5,-12.5,6.5,6.5,,,6.0,73.0,-24.8,,48.2,0.0,,,48.2,0.0,48.2,0.0,0.0,48.2,48.2,,88.936,0.54,0.54,0.54,89.158,0.54,0.54,0.54,
07/01/2000,702.8,,-447.1,,255.7,,-168.1,168.1,,0.0,87.6,-10.9,7.2,7.2,,,3.7,76.7,-26.1,,50.6,0.0,,,50.6,0.0,50.6,0.0,0.0,50.6,50.6,,87.614,0.58,0.58,0.58,87.827,0.58,0.58,0.58,
09/30/2000,684.4,,-439.4,,245.0,,-162.2,162.2,,0.0,82.8,-9.0,7.2,7.2,,,1.8,73.8,-25.1,,48.7,0.0,,,48.7,0.0,48.7,0.0,0.0,48.7,48.7,,86.532,0.56,0.56,0.56,86.677,0.56,0.56,0.56,
12/30/2000,666.3,,-427.0,,239.3,,-154.4,,,,84.9,-14.7,13.4,13.4,,,1.3,70.2,-23.3,,46.9,0.0,,,46.9,0.0,46.9,0.0,0.0,46.9,46.9,,86.414,0.54,0.54,0.54,86.767,0.54,0.54,0.54,
03/31/2001,621.6,,-398.5,,223.1,,-148.9,153.5,,-4.6,74.2,-3.8,8.3,8.3,,,-4.5,70.4,-23.8,,46.6,0.0,,,46.6,0.0,46.6,0.0,0.0,46.6,46.6,-1.848,85.897,0.54,0.54,0.52,87.113,0.54,0.54,0.52,
06/30/2001,671.6,,-437.3,,234.3,,-146.1,151.0,,-4.9,88.2,-12.5,9.1,9.1,,0.0,3.4,75.7,-25.0,,50.7,0.0,,,50.7,0.0,50.7,0.0,0.0,50.7,50.7,,85.838,0.59,0.59,0.59,87.517,0.58,0.58,0.58,
09/29/2001,671.4,,-436.8,,234.6,,-147.4,152.1,,-4.7,87.2,-10.6,6.7,8.5,-1.8,,3.9,76.6,-22.1,,54.5,0.0,,,54.5,0.0,54.5,0.0,0.0,54.5,54.5,,85.439,0.64,0.64,0.64,87.419,0.62,0.62,0.62,
12/29/2001,642.0,,-428.7,,213.3,,-133.5,,,,79.8,-65.8,4.8,4.8,,0.0,61.0,14.0,-7.5,,6.5,0.0,,,6.5,0.0,6.5,0.0,0.0,6.5,6.5,,85.811,0.08,0.08,0.59,87.748,0.07,0.07,0.57,
03/30/2002,616.7,,-401.2,,215.5,,-135.1,135.1,,0.0,80.4,-8.5,7.1,7.1,,,1.4,71.9,-23.0,,48.9,0.0,,,48.9,0.0,48.9,0.0,0.0,48.9,48.9,,85.518,0.57,0.57,0.57,87.889,0.56,0.56,0.56,
06/29/2002,649.1,,-426.1,,223.0,,-134.9,134.9,,0.0,88.1,15.1,5.9,6.9,-1.0,,-21.0,103.2,-39.9,,63.3,0.0,,,63.3,0.0,63.3,0.0,0.0,63.3,63.3,,85.822,0.74,0.74,0.74,88.111,0.72,0.72,0.72,
09/28/2002,665.5,,-455.6,,209.9,,-133.4,133.4,,0.0,76.5,-4.3,4.8,5.6,-0.8,,-0.5,72.2,-17.5,,54.7,0.0,,,54.7,0.0,54.7,0.0,0.0,54.7,54.7,,86.582,0.63,0.63,0.63,88.041,0.62,0.62,0.62,
12/28/2002,661.7,,-474.3,,187.4,,-143.8,,,,43.6,-18.4,7.4,8.9,-1.5,,11.0,25.2,-7.1,,18.1,0.0,,,18.1,0.0,18.1,0.0,0.0,18.1,18.1,,87.906,0.21,0.21,0.38,89.007,0.2,0.2,0.37,
03/29/2003,632.2,,-418.8,,213.4,,-152.4,172.3,,-19.9,61.0,-33.7,8.9,8.9,,,24.8,27.3,-8.3,,19.0,-0.2,,,19.2,0.0,19.2,0.0,0.0,19.2,19.2,,87.815,0.22,0.22,0.35,88.478,0.22,0.22,0.35,
06/28/2003,652.6,,-432.2,,220.4,,-169.0,161.1,12.7,-4.8,51.4,-36.6,6.6,8.1,-1.5,,30.0,14.8,-5.5,,9.3,-3.1,,,12.4,0.0,12.4,0.0,0.0,12.4,12.4,,85.555,0.14,0.11,0.49,86.002,0.14,0.11,0.49,
09/27/2003,665.6,,-438.2,,227.4,,-143.5,146.1,1.9,-4.5,83.9,-29.4,7.3,8.7,-1.4,,22.1,54.5,-17.1,,37.4,-4.3,,,41.7,0.0,41.7,0.0,0.0,41.7,41.7,,81.475,0.51,0.46,0.602,82.126,0.51,0.46,0.6,
01/03/2004,727.7,,-476.5,,251.2,,-120.3,,,,130.9,-94.5,,8.4,,0.0,86.1,36.4,-5.4,,31.0,-3.6,,,34.6,0.0,34.6,0.0,0.0,34.6,34.6,24.7,81.514,0.43,0.38,0.68,82.572,0.42,0.38,0.68,
04/03/2004,734.8,,-466.9,,267.9,,-166.7,170.3,2.2,-5.8,101.2,-21.3,8.0,8.8,-0.8,,13.3,79.9,-24.9,,55.0,-98.5,,,153.5,0.0,153.5,0.0,0.0,153.5,153.5,,81.628,1.88,0.67,0.67,83.392,1.84,0.66,0.66,
07/03/2004,753.9,,-480.8,,273.1,,-171.3,175.1,2.4,-6.2,101.8,-19.3,8.6,9.5,-0.9,,10.7,82.5,-23.7,,58.8,-2.6,,,61.4,0.0,61.4,0.0,0.0,61.4,61.4,,81.94,0.75,0.72,0.72,84.112,0.73,0.7,0.7,
10/02/2004,751.8,,-474.0,,277.8,,-173.2,175.6,2.9,-5.3,104.6,-18.7,8.4,9.4,-1.0,,10.3,85.9,-24.7,,61.2,-2.7,,,63.9,0.0,63.9,0.0,0.0,63.9,63.9,,82.173,0.78,0.74,0.74,84.384,0.76,0.73,0.73,
01/01/2005,756.9,,-472.1,,284.8,,-180.1,,,,104.7,-26.3,,10.9,-1.5,0.0,16.9,78.4,-14.0,,64.4,-23.7,,,88.1,0.0,88.1,0.0,0.0,88.1,88.1,,82.487,1.07,0.78,0.87,85.02,1.04,0.76,0.84,
04/02/2005,796.3,,-509.3,,287.0,,-184.4,184.4,,0.0,102.6,-17.1,7.6,8.8,-1.2,0.0,9.5,85.5,-19.7,,65.8,-0.8,,,66.6,0.0,66.6,0.0,0.0,66.6,66.6,,82.822,0.8,0.79,0.83,85.156,0.78,0.77,0.81,
07/02/2005,814.7,,-514.0,,300.7,,-188.4,186.7,1.7,0.0,112.3,-21.8,8.2,9.4,-1.2,0.0,13.6,90.5,-25.2,,65.3,-0.6,,,65.9,0.0,65.9,0.0,0.0,65.9,65.9,,83.02,0.79,0.79,0.8,84.983,0.78,0.77,0.78,
10/01/2005,834.9,,-530.6,,304.3,,-179.1,175.2,3.9,0.0,125.2,-23.0,8.1,9.4,-1.3,0.0,14.9,102.2,-25.8,,76.4,-0.5,,,76.9,0.0,76.9,0.0,0.0,76.9,76.9,,83.566,0.92,0.92,0.94,85.483,0.9,0.89,0.91,
12/31/2005,810.2,,-525.1,,285.1,,-182.7,,,,102.4,-24.8,,12.8,-2.9,0.0,14.9,77.6,-15.5,,62.1,1.9,,,60.2,0.0,60.2,0.0,0.0,60.2,60.2,,83.915,0.72,0.76,0.77,85.856,0.7,0.75,0.76,
03/31/2006,968.7,,-636.8,,331.9,,-238.8,238.8,,0.0,93.1,-42.2,15.6,16.8,-1.2,0.0,26.6,50.9,-12.4,,38.5,0.8,,,37.7,0.0,37.7,0.0,0.0,37.7,37.7,,82.892,0.46,0.46,0.72,84.804,0.45,0.45,0.7,
07/01/2006,1017.9,,-641.2,,376.7,,-244.6,243.5,1.1,0.0,132.1,-30.1,17.4,18.4,-1.0,0.0,12.7,102.0,-27.0,,75.0,0.3,,,74.7,0.0,74.7,0.0,0.0,74.7,74.7,,81.132,0.92,0.92,0.94,82.978,0.9,0.9,0.92,
09/30/2006,1012.7,,-634.9,,377.8,,-231.9,229.1,2.8,0.0,145.9,-32.8,16.5,17.6,-1.1,0.0,16.3,113.1,-22.9,,90.2,-0.3,,,90.5,0.0,90.5,0.0,0.0,90.5,90.5,,81.206,1.11,1.11,1.12,82.867,1.09,1.09,1.1,
12/31/2006,1019.3,,-647.2,,372.1,,-239.9,239.9,,0.0,132.2,-31.1,14.3,15.4,-1.1,0.0,16.8,101.1,-14.1,,87.0,0.4,,,86.6,0.0,86.6,0.0,0.0,86.6,86.6,,81.796,1.06,1.06,1.09,83.691,1.03,1.04,1.07,
03/31/2007,1062.1,,-666.8,,395.3,,-259.0,256.6,2.4,0.0,136.3,-44.1,20.2,21.4,-1.2,0.0,23.9,92.2,-24.6,,67.6,0.0,,,67.6,0.0,67.6,0.0,0.0,67.6,67.6,,82.851,0.82,0.82,0.87,84.774,0.8,0.8,0.85,
06/30/2007,1095.7,,-673.3,,422.4,,-263.4,259.4,4.0,0.0,159.0,-47.4,20.3,21.2,-0.9,0.0,27.1,111.6,-29.0,,82.6,-2.7,,,85.3,0.0,85.3,0.0,0.0,85.3,85.3,,82.81,1.03,1.0,1.04,84.542,1.01,0.98,1.02,
09/29/2007,1106.2,,-684.6,,421.6,,-252.4,250.6,1.8,0.0,169.2,-48.2,20.2,21.3,-1.1,0.0,28.0,121.0,-32.5,,88.5,-2.9,,,91.4,0.0,91.4,0.0,0.0,91.4,91.4,,82.288,1.11,1.08,1.1,83.999,1.09,1.05,1.07,
12/29/2007,1138.2,,-713.4,,424.8,,-269.9,269.9,,0.0,154.9,-41.3,17.6,19.5,-1.9,0.0,23.7,113.6,-24.7,,88.9,-3.4,,,92.3,0.0,92.3,0.0,0.0,92.3,92.3,,81.556,1.13,1.09,1.11,83.089,1.11,1.07,1.09,
03/29/2008,1071.0,,-665.1,,405.9,0.0,-274.6,272.4,2.2,0.0,131.3,-44.2,20.9,21.9,-1.0,,23.3,87.1,-22.8,,64.3,-2.4,,,66.7,-0.2,66.5,0.0,0.0,66.5,66.5,,79.176,0.84,0.81,0.84,80.404,0.83,0.8,0.83,
06/28/2008,1151.7,,-710.1,,441.6,0.0,-320.4,280.1,2.8,37.5,121.2,-20.3,20.3,24.0,-3.7,,0.0,100.9,-26.3,,74.6,-3.9,,,78.5,-0.4,78.1,0.0,0.0,78.1,78.1,11.05,78.65,0.99,0.94,1.080496,79.827,0.98,0.93,1.068424,
09/27/2008,1117.6,,-686.2,,431.4,0.0,-274.8,269.2,5.6,0.0,156.6,-53.5,20.8,23.5,-2.7,,32.7,103.1,-25.4,,77.7,-85.9,,,163.6,-0.6,163.0,0.0,0.0,163.0,163.0,,78.808,2.06,0.98,1.02,79.846,2.04,0.97,1.01,
01/03/2009,1085.9,,-693.4,,392.5,,-275.3,,,,117.2,-115.1,20.9,22.7,-1.8,,94.2,2.1,2.0,,4.1,-40.6,,,44.7,-0.5,-0.7,0.0,0.0,-0.7,-0.7,29.5828,78.985,-0.01,-0.52,-0.15,79.525,-0.01,-0.52,-0.15,
04/04/2009,913.0,913.0,-551.9,551.9,361.1,0.0,-292.1,247.6,5.1,39.4,69.0,-16.3,16.3,17.0,-0.7,,0.0,52.7,-13.7,,39.0,0.6,0.6,0.0,38.4,-0.7,37.7,0.0,-0.1,37.6,44.115,5.915,79.209,0.48,0.48,0.556944,79.471,0.47,0.48,0.55443,
07/04/2009,919.2,919.2,-552.6,552.6,366.6,0.0,-296.4,253.2,2.1,41.1,70.2,28.5,15.3,16.2,-0.9,,-43.8,98.7,-26.7,,72.0,1.3,1.3,0.0,70.7,-1.2,69.5,0.0,-0.1,69.4,50.02204,-20.67796,79.327,0.88,0.89,0.63058,79.744,0.87,0.88,0.620696,
10/03/2009,935.5,935.5,-549.1,549.1,386.4,0.0,-291.6,248.6,2.8,40.2,94.8,-15.0,15.0,15.5,-0.5,,0.0,79.8,-17.7,,62.1,1.4,1.4,0.0,60.7,-0.3,60.4,0.0,0.0,60.4,66.09,4.29,79.966,0.75,0.77,0.826476,80.565,0.75,0.77,0.823249,
01/02/2010,969.4,969.4,-575.2,575.2,394.2,0.0,-328.1,269.0,,59.1,66.1,-14.0,14.0,15.0,-1.0,,0.0,52.1,2.3,,54.4,-0.8,-0.8,0.0,55.2,0.2,55.4,0.0,0.0,55.4,82.38086,27.78086,80.626,0.7,0.69,1.021765,81.663,0.69,0.68,1.020189,
04/03/2010,1262.0,1262.0,-806.1,806.1,455.9,0.0,-544.8,378.5,4.0,162.3,-88.9,-18.1,18.1,19.3,-1.2,,0.0,-107.0,-1.5,,-108.5,0.0,0.0,0.0,-108.5,-0.1,-108.6,0.0,0.2,-108.4,74.98,183.38,97.672,-1.11,-1.11,0.767671,97.672,-1.11,-1.11,0.767508,
07/03/2010,2365.6,2365.6,-1596.6,1596.6,769.0,0.0,-735.1,581.1,3.1,150.9,33.9,-24.6,24.6,26.8,-2.2,,0.0,9.3,37.0,,46.3,0.0,0.0,0.0,46.3,-0.5,45.8,0.0,-0.2,45.6,210.71,165.11,162.847,0.28,0.28,1.293914,166.084,0.28,0.28,1.274135,
10/02/2010,2369.1,2369.1,-1514.8,1514.8,854.3,0.0,-659.7,579.3,3.3,77.1,194.6,-26.7,26.7,29.2,-2.5,,0.0,167.9,-44.8,,123.1,0.0,0.0,0.0,123.1,0.1,123.2,0.0,0.0,123.2,166.745,43.545,165.793,0.74,0.74,1.005742,168.889,0.73,0.73,0.987832,
01/01/2011,2394.4,2394.4,-1527.9,1527.9,866.5,0.0,-666.7,615.3,,51.4,199.8,-31.2,31.2,34.6,-3.4,,0.0,168.6,-28.7,,139.9,2.6,2.6,0.0,137.3,0.5,137.8,0.0,0.0,137.8,181.36,40.96,166.141,0.83,0.84,1.091603,169.833,0.81,0.83,1.071178,
04/02/2011,2361.5,2361.5,-1484.1,1484.1,877.4,0.0,-615.0,599.0,2.7,13.3,262.4,-82.1,29.6,34.7,-5.1,,52.5,180.3,-23.2,,157.1,-1.3,-1.3,0.0,158.4,0.3,158.7,0.0,0.0,158.7,186.145,28.745,167.259,0.95,0.94,1.112915,171.945,0.92,0.92,1.087176,
07/02/2011,2603.3,2603.3,-1640.4,1640.4,962.9,0.0,-710.8,624.1,6.1,80.6,252.1,-26.8,26.8,34.0,-7.2,,0.0,225.3,-27.7,,197.6,0.3,0.3,0.0,197.3,0.0,197.3,0.0,-0.4,196.9,271.48,74.28,168.119,1.17,1.17,1.614809,173.075,1.14,1.14,1.569178,
10/01/2011,2619.7,2619.7,-1651.4,1651.4,968.3,0.0,-744.2,635.9,3.8,104.5,224.1,-26.8,26.8,34.8,-8.0,,0.0,197.3,-35.1,,162.2,6.9,6.9,0.0,155.3,-0.7,154.6,0.0,0.0,154.6,238.295,76.795,164.962,0.94,0.98,1.444545,168.896,0.92,0.96,1.414688,
12/31/2011,2565.4,2565.4,-1655.0,1655.0,910.4,0.0,-732.8,639.7,,93.1,177.6,-30.2,30.2,,,,0.0,147.4,5.9,,153.3,-10.2,-10.2,0.0,163.5,0.5,164.0,0.0,0.0,164.0,142.365,-11.435,163.421,1.0,0.94,0.871155,166.993,0.98,0.92,0.851524,
