Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1992,5.775,-9.439,23.961,,0.0,,,,0.0,-8.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,9.724,0.364,8.184,,0.0,,,,0.0,1.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,10.614,1.002,3.644,,3.741,,,,3.741,2.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,2.899,0.124,3.283,,2.106,,,,2.106,-2.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,3.159,0.303,3.621,,0.542,,,,0.542,-1.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,6.498,0.172,0.641,,-1.545,,,,-1.545,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,3.558,1.734,0.874,,0.745,,,,0.745,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,3.826,2.241,1.294,,0.946,,,,0.946,-0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,3.109,2.107,0.712,,0.559,,,,0.559,-0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,11.823,2.984,1.698,,8.276,,,,8.276,-1.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,7.59,3.28,1.875,,2.543,,,,2.543,-0.108,,,,,,-0.736,,-0.736,,,,,,,,,,,,,,,,,,0.736,,,,,,,,,,,,,,,,,
06/30/1995,-4.42,3.981,2.079,,-1.058,,,,-1.058,-9.422,,,,,,-2.587,,-2.587,,,,,,,,,,,,,,,,,,2.587,,,,,,,,,,,,,,,,,
09/30/1995,18.236,5.463,3.777,,0.159,,,,0.159,8.837,,,,,,-1.828,,-1.828,,,,,,,,,,,,,,,,,,1.828,,,,,,,,,,,,,,,,,
12/31/1995,3.72,5.429,2.95,,-4.983,,,,-4.983,0.324,,,,,,-0.41,,-0.41,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,
03/31/1996,4.356,4.677,1.829,,-1.313,,,,-1.313,-0.837,,,,,,-0.061,,-0.061,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,
06/30/1996,3.773,5.637,2.357,,1.078,,,,1.078,-5.299,,,,,,-0.151,,-0.151,,,,,,,,,,,,,,,,,,0.151,,,,,,,,,,,,,,,,,
09/30/1996,6.996,5.271,3.244,,-1.809,,,,-1.809,0.29,,,,,,-0.098,,-0.098,,,,,,,,,,,,,,,,,,0.098,,,,,,,,,,,,,,,,,
12/31/1996,12.932,5.881,4.179,,0.612,,,,0.612,2.26,,,,,,-0.331,,-0.331,,,,,,,,,,,,,,,,,,0.331,,,,,,,,,,,,,,,,,
03/31/1997,6.217,6.19,3.692,,-0.089,,,,-0.089,-3.576,,,,,,-0.106,,-0.106,,,,,,,,,,,,,,,,,,0.106,,,,,,,,,,,,,,,,,
06/30/1997,5.101,6.779,2.929,,-0.741,,,,-0.741,-3.866,,,,,,-0.116,,-0.116,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,,,,,,,,,
09/30/1997,12.019,7.265,2.035,,-0.179,,,,-0.179,2.898,,,,,,-0.204,,-0.204,,,,,,,,,,,,,,,,,,0.204,,,,,,,,,,,,,,,,,
12/31/1997,10.046,7.444,2.745,,2.832,,,,2.832,-2.975,,,,,,-1.265,,-1.265,,,,,,,,,,,,,,,,,,1.265,,,,,,,,,,,,,,,,,
03/31/1998,10.104,7.579,5.801,,-1.05,,,,-1.05,-2.226,,,,,,-1.114,,-1.114,,,,,,,,,,,,,,,,,,1.114,,,,,,,,,,,,,,,0.206,17.483,
06/30/1998,12.749,8.201,4.389,,-0.561,,,,-0.561,0.72,,,,,,-2.259,,-2.259,,,,,,,,,,,,,,,,,,2.259,,,,,,,,,,,,,,,9.195,18.812,
09/30/1998,19.546,8.551,11.058,,-5.19,,,,-5.19,5.127,,,,,,-2.877991,,-2.877991,,,,,,,,,,,,,,,,,,2.877991,,,,,,,,,,,,,,,6.905,22.233,
12/31/1998,19.016001,4.525,17.747999,,1.934,,,,1.934,-5.191,,,,,,-2.658,,-2.658,,,,,,,,,,,,,,,,,,2.658,,,,,,,,,,,,,,,,,
03/31/1999,11.527,7.836,8.752,,1.011,,,,1.011,-6.072,,,,,,-1.062988,,-1.062988,,,,,,,,,,,,,,,,,,1.062988,,,,,,,,,,,,,,,3.457,21.030001,
06/30/1999,11.056,8.954,11.636,,1.208,,,,1.208,-10.742,,,,,,-0.9,,-0.9,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,15.133,21.875999,
09/30/1999,25.868999,10.509,22.348,,-5.645,,,,-5.645,-1.343,,,,,,-0.144,,-0.144,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,10.72,21.049999,
12/31/1999,29.57,24.899,12.937,,-13.949,,,,-13.949,5.683,,,,,,-0.547,,-0.547,,,,,,,,,,,,,,,,,,0.547,,,,,,,,,,,,,,,25.450001,12.294,
03/31/2000,44.521,54.654999,13.495,,-62.397999,,,,-62.397999,38.769001,,,,,,-0.451,,-0.451,,,,,,,,,,,,,,,,,,0.451,,,,,,,,,,,,,,,0.311,13.129,
06/30/2000,-2.189,33.735001,11.973,,-17.705,,,,-17.705,-30.191999,,,,,,-0.653,,-0.653,,,,,,,,,,,,,,,,,,0.653,,,,,,,,,,,,,,,21.069,12.679,
09/30/2000,11.42,34.938999,23.638,,-40.624001,,,,-40.624001,-6.533,,,,,,-2.696,,-2.696,,,,,,,,,,,,,,,,,,2.696,,,,,,,,,,,,,,,77.012001,14.822,
12/31/2000,47.219002,35.738998,9.512,,-3.823,,,,-3.823,5.791,,,,,,-7.967,,-7.967,,,,,,,,,,,,,,,,,,7.967,,,,,,,,,,,,,,,7.317,15.159,
03/31/2001,33.994999,33.335999,6.251,,-9.706,,,,-9.706,4.114,,,,,,-4.23,,-4.23,,,,,,,,,,,,,,,,,,4.23,,,,,,,,,,,,,,,2.062,12.808,
06/30/2001,34.554,24.132,-3.401,-5.592,19.741,,,,19.741,-0.326,,,,,,-2.956,,-2.956,,,,,,,,,,,,,,,,,,2.956,,,,,,,,,,,,,,,28.66,9.253,
09/30/2001,41.824001,18.601999,8.672,,5.646,,,,5.646,8.904,,,,,,-1.567,,-1.567,,,,,,,,,,,,,,,,,,1.567,,,,,,,,,,,,,,,0.195,8.766,
12/31/2001,2.183,12.084,0.085,,2.581,,,,2.581,-12.567,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,20.819,7.604,
03/31/2002,32.19,13.36,1.766,3.426,2.239,,-0.945,,3.184,11.399,,,,,63.757,-1.431,,-1.431,48.476,653.446,,,,-604.97,,,,16.712,,,,,,,,0.0,-196.953,0.0,0.476,,,,,2.036,2.036,0.0,-199.465,0.0,,-101.006,0.242,5.58,
06/30/2002,24.174,14.985,-1.461,,4.403,,,,4.403,6.247,,,,,,-0.857,,-0.857,,,,,,,,,,,,,,,,,,0.857,,,,,,,,,,,,,,,1.062,4.861,
09/30/2002,75.265,13.096,5.277,2.849,36.494,,,,36.494,17.549,,,,,390.158,-2.938,,-2.938,513.762,2547.882,,,,-2034.12,,,,-120.666,,,,,,,,0.0,-371.923,0.0,-40.574,,,,,-55.492,8.169,-63.661,-285.587,9.73,,93.5,6.799,14.716,
12/31/2002,23.403,11.917,2.573,1.033,2.349,,1.687,,0.662,5.531,,,,,-464.944,-1.079,0.0,-1.079,-217.518,3025.76,,,,-3243.278,,,,-203.983,,,,,,,,-42.364,350.098,0.0,32.145,,,,,-35.704,10.029,-45.733,340.737,12.92,,-91.443,0.013,3.771,
03/31/2003,17.848,10.418,1.973,3.384,3.243,,-1.393,,4.636,-1.17,,,,,247.883,-0.31,,-0.31,237.244,3134.473,,,,-2897.229,,,,10.949,,,,,,,,0.0,-209.74,0.0,0.21,,,,,-31.992,0.553,-32.545,-185.033,7.075,,55.991,4.748,2.743,
06/30/2003,63.812,-0.576,3.116,,20.662,,,,20.662,40.61,,,,,-274.005,-1.316,0.0,-1.316,-377.146,2411.02,,,,-2788.166,,,,104.457,,,,,,,,0.0,255.017,0.0,123.493,,,,,-112.532,3.892,-116.424,237.29,6.766,,44.824,9.579,2.766,
09/30/2003,66.768,17.429,5.641,-2.903,44.638,,,,44.638,1.963,,,,,177.11,-2.791,,-2.791,6.396,12829.287,,,,-12822.891,,,,173.505,,,,,,,,0.0,19.483,0.0,114.862,,,,,-141.59,6.502,-148.092,36.199,10.012,,263.361,14.626,9.049,
12/31/2003,10.367,-15.046,1.969,-3.32,30.416,,,,30.416,-3.652,,,,,-135.98,-1.932,0.0,-1.932,-57.121,4207.111,,,,-4264.232,,,,-76.927,,,,,,,,0.0,214.659,0.0,7.29,,,,,7.862,7.862,0.0,194.55,4.957,,89.046,3.176,4.035,
03/31/2004,2.912,14.01,1.976,0.017,-8.071,,2.201,,-10.272,-5.003,,,,,-126.99,-1.276,0.0,-1.276,-120.652,2690.741,,,,-2811.393,,,,-5.062,,,,,,,,0.0,19.501,0.0,0.567,,,,,4.807,4.807,0.0,9.417,4.71,,-104.577,7.548,2.599,
06/30/2004,23.206,14.461,-3.342,,2.894,,,,2.894,9.193,,,,,-512.049,-1.975,0.0,-1.975,-388.932,211.612,,,,-600.544,,,,-121.142,,,,,,,,0.0,373.272,0.0,24.433,,,,,7.066,7.066,0.0,329.083,12.69,,-115.571,6.372,2.913,
09/30/2004,35.26,15.391,1.241,,16.734,,,,16.734,1.894,,,,,-137.722,-2.562,0.0,-2.562,-18.295,263.109,,,,-281.404,,,,-116.865,,,,,,,,0.0,8.347,0.0,-33.333,,,,,3.386,3.386,0.0,32.249,6.045,,-94.115,6.053,0.005,
03/31/2005,11.94,22.936,0.39,-3.814,12.935,,2.806,4.529,5.6,-20.507,,,,,-109.623,-3.583,,-3.583,-77.218,109.774,,,,-186.992,,,,-28.822,,,,,,,,0.0,-74.503,0.0,2.095,,,,,-28.225,4.831,-33.056,-63.239,14.866,,-172.186,3.673,3.035,
06/30/2005,30.936,20.896,5.047,,8.907,,,,8.907,-3.914,,,,,-145.418,-4.662,0.0,-4.662,-53.992,108.248,,,,-162.24,,,,-86.764,,,,,,,,0.0,197.695,0.0,-0.497,,,,,-31.994,8.09,-40.084,216.844,13.342,,83.213,23.37,3.764,
09/30/2005,41.178,23.059,5.209,,1.128,,,,1.128,11.782,,,,,-198.083,-6.22,0.0,-6.22,25.535,159.624,,,,-134.089,,,,-217.398,,,,,,,,0.0,37.351,0.0,110.163,,,,,-1.787,2.734,-4.521,-80.98,9.955,,-119.554,9.718,4.862,
12/31/2005,29.51,25.646,-2.849,4.051,-11.518,,-3.796,13.155,-20.877,14.18,,,,,-114.769,-3.79,0.0,-3.79,94.065,145.058,,,,-50.993,,,,-205.044,,,,,,,,0.0,128.666,0.0,157.894,,,,,2.969,2.971,-0.002,-39.409,7.212,,43.407,13.223,5.375,
03/31/2006,-3.674,22.271,0.365,-2.474,16.464,,4.552,10.083,1.829,-40.3,,,,,164.374,-3.694,,-3.694,76.767,103.716,,,,-26.949,,,,91.301,,,,,,,,0.0,-72.803,0.0,12.703,,,,,-4.507,20.772,-25.279,-99.664,18.665,,87.897,16.636,5.261,
06/30/2006,38.05,13.594,9.693,,6.332,,,,6.332,8.431,,,,,-25.041,-6.61,0.0,-6.61,181.807,219.796,,,,-37.989,,,,-200.238,,,,,,,,0.0,-18.733,0.0,241.633,,,,,-34.559,9.481,-44.04,-234.661,8.854,,-5.724,,,
09/30/2006,38.148,25.17,12.686,,-9.484,,,,-9.484,9.776,,,,,-307.875,-7.479,0.0,-7.479,73.704,98.999,,,,-25.295,,,,-370.106,,,,,,,,-3.994,325.957,0.0,275.956,,,,,-16.806,8.15,-24.956,61.156,5.651,,56.23,12.712,10.202,
12/31/2006,49.98,28.35,-10.918,,19.339,,,,19.339,13.209,,,,,-131.027,-2.914,0.0,-2.914,28.699,67.635,,,,-38.936,,,,-156.812,,,,,,,,0.0,113.131,0.0,23.77,,,,,-1.981,7.503,-9.484,83.165,8.177,,32.084,18.923,10.022,
03/31/2007,13.414,28.391,3.21,-0.407,13.332,,2.533,4.788,6.011,-31.112,,,,,172.68,-4.068,0.0,-4.068,54.881,92.167,,,,-37.286,,,,121.867,,,,,,,,0.0,-253.805,0.0,-99.636,,,,,-11.373,7.748,-19.121,-161.418,18.622,,-67.711,,,
06/30/2007,52.706,22.865,15.083,,12.729,,,,12.729,2.029,,,,,-347.343,-5.083,0.0,-5.083,62.154,100.847,,,,-38.693,,,,-408.723,,,,,,,,4.309,736.042,0.0,216.129,,,,,-3.191,16.991,-20.182,506.75,16.354,,441.405,,,
09/30/2007,64.303,38.116,1.837,,-13.56,,,,-13.56,37.91,,,,,-0.794,-1.333,0.0,-1.333,57.073,99.034,,,,-41.961,,,,-56.534,,,,,,,,0.0,-410.669,0.0,65.0,,,,,-50.921,7.108,-58.029,-433.249,8.501,,-347.16,,,
12/31/2007,44.457,34.266,16.563,,-30.489,,,,-30.489,24.117,,,,,-340.049,-2.368,0.0,-2.368,0.845,70.953,,,,-70.108,,,,-338.44,,,,,,,,-0.086,320.536,0.0,-280.1,,,,,-42.873,6.549,-49.422,641.495,2.014,,24.944,,,
03/31/2008,28.33,27.118,7.209,7.723,19.919,,8.669,4.894,6.356,-33.639,,,,,-223.049,-1.983,,-1.983,-17.866,52.663,,,,-70.529,,,,-203.2,,,,,,,,0.0,186.788,,29.756,,,,,-38.336,6.284,-44.62,158.01,37.358,,-7.931,,,
06/30/2008,15.629,21.014,10.74,8.351,-8.302,,2.155,5.727,-16.184,-16.174,,,,,-473.314,-2.205,0.0,-2.205,-181.04,108.815,,,,-289.855,,,,-290.069,,,,,,,,0.0,407.332,0.0,282.655,,,,,10.643,11.64,-0.997,94.367,19.667,,-50.353,28.54,33.978,
09/30/2008,52.374,25.918,-2.562,13.682,0.439,,5.533,5.567,-10.661,14.897,,,,,-663.164,-1.771,0.0,-1.771,-3.518,68.115,,,,-71.633,,,,-658.162,,,,,,,,0.287,716.758,0.0,94.642,,,,,17.771,17.771,0.0,569.029,35.316,,105.968,3.303,12.138,
12/31/2008,69.382,0.114,13.084,70.957,-5.429,,-12.785,4.064,3.292,-9.344,,,,,-236.656,-2.585,0.0,-2.585,12.551,90.144,,,,-77.593,,,,-246.622,,,,,,,,0.0,1873.141,0.0,-413.245,,,,,238.471,238.471,0.0,2040.863,7.052,,1705.867,5.657,21.465,
03/31/2009,13.258,-8.235,5.245,43.466,-4.332,35.045,-2.937,5.17,-41.61,-22.886,5.503,,-28.389,0.0,182.326,-2.475,0.0,-2.475,-276.989,89.73,0.0,86.889,2.841,-366.719,0.0,-340.303,-26.416,461.79,461.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.677,-2.056,-6.175,-5.67,0.0,0.0,-0.505,0.145,0.145,0.0,1008.852,13.911,,1210.261,12.15,9.475,
06/30/2009,72.83,11.338,10.125,21.393,45.334,6.75,-3.71,11.882,30.412,-15.36,-9.524,,-5.836,0.0,-469.557,-4.336,0.0,-4.336,-603.562,162.027,0.0,157.441,4.586,-765.589,0.0,-730.77,-34.819,137.648,137.648,0.0,0.0,0.0,0.0,0.0,0.0,0.693,459.111,-2.938,-67.458,-25.11,0.0,8.032,-50.38,2.57,2.57,0.0,512.259,14.678,,62.384,15.162,19.094,
09/30/2009,16.713,24.163,10.426,8.03,-33.047,-3.905,4.788,3.943,-37.873,7.141,1.786,,5.355,0.0,-654.788,-4.734,0.0,-4.734,-797.384,263.054,0.0,255.358,7.696,-1060.438,0.0,-1043.942,-16.496,147.33,147.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.533,-2.938,-37.474,20.945,0.0,-8.032,-50.387,1.738,1.738,0.0,1061.049,17.158,,401.458,8.512,7.283,
12/31/2009,-15.838,20.744,-5.479,17.291,-25.989,-6.681,3.953,2.767,-26.028,-22.405,-7.753,,-14.652,0.0,-915.447,-4.418,0.0,-4.418,-1032.481,224.854,0.0,216.277,8.577,-1257.335,0.0,-1210.22,-47.115,121.246,121.246,0.0,0.0,0.0,0.0,0.0,0.0,0.206,333.31,-4.178,-14.836,-13.53,0.0,0.0,-1.306,293.985,293.985,0.0,276.305,-217.966,,-597.975,3.226,14.165,
03/31/2010,47.853,18.557,5.599,10.745,4.531,-16.004,1.236,2.978,16.321,8.421,4.114,,4.307,0.0,-76.917,-6.763,0.0,-6.763,-407.738,497.274,0.0,490.646,6.628,-905.012,0.0,-878.579,-26.433,337.748,337.748,0.0,0.0,-0.36,0.0,-0.36,0.0,0.196,1207.914,0.0,1.14,1.14,0.0,0.0,0.0,6.157,6.157,0.0,1181.357,19.26,,1178.85,1.129,5.618,
06/30/2010,47.139,21.12,5.589,7.408,-2.644,-4.805,1.496,2.988,-2.323,15.666,-5.463,,21.129,0.0,-1197.566,-6.457,0.0,-6.457,-952.839,578.229,0.0,562.292,15.937,-1531.068,0.0,-1492.459,-38.609,-238.27,-238.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.067,0.0,4.84,4.84,0.0,0.0,0.0,9.822,9.822,0.0,627.119,7.286,,-501.36,19.747,13.373,
09/30/2010,49.87,37.787,6.366,10.971,-44.613,-46.611,-0.938,3.632,-0.696,39.359,7.166,,32.193,0.0,-1121.279,-7.811,0.0,-7.811,-704.664,1142.232,0.0,1126.746,15.486,-1846.896,0.0,-1796.424,-50.472,-408.804,-408.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.435,0.0,15.0,15.0,0.0,0.0,0.0,2.428,2.428,0.0,274.532,367.475,,-411.974,0.484,3.912,
12/31/2010,18.366,17.487,5.67,15.504,-25.446,-25.94,-3.228,3.974,-0.252,5.151,-4.257,,9.408,0.0,-2656.945,-6.025,0.0,-6.025,-1992.657,654.28,0.0,627.445,26.835,-2646.937,0.0,-2589.688,-57.249,-656.963,-656.963,0.0,0.0,-1.3,0.0,-1.3,0.0,0.0,1936.642,0.0,-24.451,-22.49,0.0,0.0,-1.961,354.239,354.239,0.0,1921.996,-315.142,,-701.937,20.403,12.685,
03/31/2011,6.123,33.007,6.519,-3.047,-0.362,-51.337,4.309,4.553,42.113,-29.994,-8.596,,-21.398,0.0,-1760.084,-5.611,0.0,-5.611,-1637.291,631.218,0.0,601.166,30.052,-2268.509,0.0,-2213.193,-55.316,-117.182,-117.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.589,0.0,-1.83,-1.83,0.0,0.0,0.0,16.6,16.6,0.0,993.378,19.441,,-726.372,4.891,14.601,
06/30/2011,165.683,65.75,7.315,0.134,-16.73,-71.68,-1.886,5.155,51.681,109.214,0.248,,108.966,0.0,-339.833,-7.232,0.0,-7.232,-11.725,2165.176,0.0,2135.485,29.691,-2176.901,0.0,-2121.288,-55.613,-320.876,-320.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.309,0.0,-35.415,-35.415,0.0,0.0,0.0,14.334,14.334,0.0,948.155,-537.765,,215.159,48.445,11.024,
09/30/2011,-81.618,37.571,6.165,0.769,-74.497,-52.262,0.712,4.647,-27.594,-51.626,-5.571,,-46.055,0.0,-345.975,-8.757,0.0,-8.757,-4.733,754.904,0.0,726.582,28.322,-759.637,0.0,-699.944,-59.693,-332.485,-332.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.654,0.0,0.0,0.0,0.0,0.0,0.0,5.031,5.031,0.0,-139.252,38.567,,-523.247,20.977,12.151,
12/31/2011,76.099,35.574,7.491,8.245,38.337,-19.755,4.227,4.664,49.201,-13.548,1.549,,-15.097,0.0,-1592.959,-9.151,0.0,-9.151,-949.772,1196.697,0.0,1167.416,29.281,-2146.469,0.0,-2093.1,-53.369,-634.036,-634.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.836,0.0,-4.179,0.0,0.0,0.0,-4.179,7.25,7.25,0.0,570.314,16.451,,-927.024,29.535,3.427,
03/31/2012,-10.872,34.79,6.454,14.529,-28.728,-7.839,-1.57,5.939,-25.258,-37.917,-6.399,,-31.518,0.0,-1148.18,-8.054,0.0,-8.054,-998.605,817.798,0.0,780.936,36.862,-1816.403,0.0,-1777.958,-38.445,-141.521,-141.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.728,0.0,849.38,849.38,0.0,0.0,0.0,20.929,20.929,0.0,7.346,17.073,,-264.324,6.556,12.012,
06/30/2012,4.77,47.603,7.14,7.999,-36.922,-25.809,7.446,6.181,-24.74,-21.05,1.955,,-23.005,0.0,166.721,-11.962,0.0,-11.962,845.082,971.653,0.0,925.537,46.116,-126.571,0.0,-0.493,-126.078,-669.269,-669.269,0.0,0.0,0.0,0.0,0.0,0.0,2.87,389.61,0.0,-844.722,-843.5,0.0,0.0,-1.222,7.554,7.554,0.0,1351.93,-125.152,,561.101,52.436,3.901,
09/30/2012,133.708,42.289,9.057,6.788,7.651,-20.228,-6.873,5.719,29.033,67.923,-4.64,,72.563,0.0,-831.837,-13.473,0.0,-13.473,-418.806,710.571,0.0,667.458,43.113,-1129.377,0.0,-1080.704,-48.673,-399.558,-399.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.084,0.0,502.29,502.29,0.0,0.0,0.0,3.934,3.934,0.0,-343.746,30.606,,-505.045,10.102,12.087,
12/31/2012,74.474,50.421,5.471,15.014,-25.299,-68.238,2.797,6.211,33.931,28.867,2.83,,26.037,0.0,-1079.044,-6.743,0.0,-6.743,-328.092,739.089,0.0,689.396,49.693,-1067.181,0.0,-1018.697,-48.484,-744.209,-744.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.873,0.0,-342.06,-342.06,0.0,0.0,0.0,2.446,2.446,0.0,1451.386,-4.899,,102.303,26.584,3.048,
03/31/2013,-1.044,40.891,8.479,7.827,16.981,-27.438,-0.019,4.579,39.859,-75.222,,-4.735,-70.487,0.0,532.326,-6.606,0.0,-6.606,428.594,684.035,0.0,654.345,29.69,-255.441,0.0,-219.987,-35.454,110.338,110.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.016,0.0,-158.65,-158.65,0.0,0.0,0.0,18.671,18.671,0.0,133.456,-14.493,,510.266,19.318,12.372,
06/30/2013,33.416,48.584,8.802,16.558,-23.409,-40.561,0.34,6.297,10.515,-17.119,-4.312,4.735,-17.542,0.0,-90.392,-6.94,0.0,-6.94,692.455,733.846,0.0,691.055,42.791,-41.391,0.0,-0.044,-41.347,-775.907,-775.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.022,0.0,-2.06,-2.06,0.0,0.0,0.0,16.476,16.476,0.0,-619.834,16.396,0.0,-645.998,45.105,3.283,
09/30/2013,65.67,67.621,9.193,10.638,-68.13,-187.862,-3.809,6.716,116.825,46.348,-0.871,0.0,47.219,0.0,-317.055,-7.291,0.0,-7.291,-116.421,621.924,0.0,544.231,77.693,-738.345,0.0,-686.464,-51.881,-193.343,-193.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.878,0.0,0.18,0.18,0.0,0.0,0.0,7.762,7.762,0.0,1306.917,6.019,,1069.493,42.859,12.684,
