Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1996,113.171997,15.3,4.731,0.995,,,,0.995,92.146004,,,,,-3.988,,-3.988,,,,,,,,,,,,,,,,,,3.988,,,,,,,,,,,,,,,,,
03/31/1997,-77.915001,14.671,4.861,-22.207001,,,,-22.207001,-75.239998,,,,-10.092,-10.092,,-10.092,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-88.007001,,,
06/30/1997,-87.47,16.259,4.2,-41.833,,,,-41.833,-66.096,,,,60.407,-9.107,0.0,-9.107,70.099,103.572,,,,-33.473,,,,0.0,,,,,,,,-0.585,82.092,-2.375,82.657,,,,,1.81,1.81,0.0,0.0,0.0,,55.029,0.941,12.865,
09/30/1997,70.742,19.305,5.242,8.725,,,,8.725,37.47,,,,-43.323,-4.909,0.0,-4.909,-36.399,27.696,,,,-64.095,,,,0.0,,,,,,,,-2.015,-2.363,-2.383,-2.989,,,,,3.009,3.009,0.0,0.0,0.0,,25.056,24.952,19.44,
12/31/1997,144.286,17.036,5.404,58.12,,,,58.12,63.726,,,,-123.828,-9.628,0.0,-9.628,-114.154,3.187,,,,-117.341,,,,0.0,,,,,,,,-0.046,-11.785,-2.714,-12.149,,,,,3.078,3.078,0.0,0.0,0.0,,8.673,,,
03/31/1998,-29.475,23.521,7.14,-20.780001,,,,-20.780001,-39.355999,,,,,-8.043,,-8.043,,,,,,,,,,,,,,,,,,8.043,,,,,,,,,,,,,,,,,
06/30/1998,-82.378,24.364,5.058,-19.686,,,,-19.686,-92.114,,,,58.202,-3.724,0.0,-3.724,62.33,82.389,,,,-20.059,,,,0.0,,,,,,,,-0.404,101.306,-3.025,101.911,,,,,2.42,2.42,0.0,0.0,0.0,,77.13,7.879,22.528,
09/30/1998,92.208,21.844,5.23,2.961,,,,2.961,62.173,,,,-110.717,-5.071,0.0,-5.071,-105.632,0.0,,,,-105.632,,,,0.0,,,,,,,,-0.014,-25.875,-3.037,-25.469,,,,,2.631,2.631,0.0,0.0,0.0,,-44.384,,,
12/31/1998,73.018,18.335,5.365,14.072,,,,14.072,35.246,,,,-12.562,-4.59,0.0,-4.59,-7.824,0.0,,,,-7.824,,,,0.0,,,,,,,,-0.148,-35.43,-3.622,-34.741,,,,,2.933,2.933,0.0,0.0,0.0,,25.026,,,
03/31/1999,-141.6,20.446,5.913,-47.302,,,,-47.302,-120.657,,,,94.609,-5.753,0.0,-5.753,100.451,100.451,,,,0.0,,,,0.0,,,,,,,,-0.089,-8.431,-3.636,-6.319,,,,,1.524,1.524,0.0,0.0,0.0,,-55.422,,,
06/30/1999,54.044,34.67,6.276,16.944,,,,16.944,-3.846,,,,24.417,-5.844,,-5.844,30.411,30.962,,,,-0.551,,,,,,,,,,,,-0.15,62.394,-5.616,64.392,,,,,3.578,3.578,,,0.04,,140.855,,,
09/30/1999,144.1,30.305,6.197,-25.71,,,,-25.71,133.308,,,,-131.013,-5.616,,-5.616,-97.287,5.638,,,,-102.925,,,,,,,,,,,,-28.11,61.441,-11.303,63.056,,,,,9.533,9.533,,,0.155,,74.528,,,
12/31/1999,123.02,35.334,7.644,18.656,,,,18.656,61.386,,,,-36.963,-7.585,,-7.585,55.969,78.859,,,,-22.89,,,,,,,,,,,,-85.347,101.069,-17.883,103.321,,,,,15.433,15.433,,,0.198,,187.126,,,
03/31/2000,-151.698,50.104,10.704,29.439,,,,29.439,-241.945,,,,-4.252,-4.252,,-4.252,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-155.95,,,
06/30/2000,125.81,40.384,8.597,-19.572,,,,-19.572,96.401,,,,-126.857,-5.251,,-5.251,-120.783,5.561,,,,-126.344,,,,,,,,,,,,-0.823,74.661,-7.232,75.473,,,,,7.099,7.099,,,-0.679,,73.614,,,
09/30/2000,-26.225,37.206,8.728,-38.475,,,,-38.475,-33.684,,,,-87.845,-7.93,,-7.93,-78.072,22.333,,,,-100.405,,,,,,,,,,,,-1.843,56.426,-13.079,56.697,,,,,13.5,13.5,,,-0.692,,-57.644,,,
12/31/2000,83.809,41.321,9.841,36.646,,,,36.646,-3.999,,,,-152.957,-9.08,,-9.08,-140.131,102.862,,,,-242.993,,,,,,,,,,,,-3.746,44.692,-18.939,46.325,,,,,17.627,17.627,,,-0.321,,-24.456,,,
03/31/2001,40.255,37.319,9.329,-30.137,,,,-30.137,23.744,,,,-12.05,-12.05,,-12.05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,28.205,,,
06/30/2001,-168.442,35.361,8.198,-26.988,,,,-26.988,-185.013,,,,-1.404,-5.55,,-5.55,11.437,15.88,,,,-4.443,,,,,,,,,,,,-7.291,354.802,-5.878,352.406,,,,,7.961,7.961,,,0.313,,184.956,,,
09/30/2001,63.484,30.39,11.114,10.141,,,,10.141,11.839,,,,-789.831,-5.141,,-5.141,-93.791,27.925,,,,-121.716,,,,,,,,,,,,-690.899,727.3,-11.822,722.692,,,,,15.244,15.244,,,1.186,,0.953,,,
12/31/2001,258.537,41.088,13.136,36.734,,,,36.734,167.579,,,,-797.107,-4.282,,-4.282,4.355,33.004,,,,-28.649,,,,,,,,,,,,-797.18,733.352,-18.481,733.345,,,,,16.983,16.983,,,1.505,,194.782,,,
03/31/2002,-67.281,46.097,15.754,-5.86,,,,-5.86,-123.272,,,,-5.812,-5.812,,-5.812,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-73.093,,,
06/30/2002,-134.277,49.018,13.815,23.586,,,,23.586,-220.696,,,,-4.725,-8.12,,-8.12,3.395,8.967,,,,-5.572,,,,,,,,,,,,0.0,150.636,-6.695,156.433,,,,,-0.001,8.089,-8.09,,0.899,,11.634,,,
09/30/2002,198.811,45.371,13.609,-16.828,,,,-16.828,156.659,,,,-58.027,-7.891,,-7.891,-47.021,24.288,,,,-71.309,,,,,,,,,,,,-3.115,93.125,-13.422,114.987,,,,,-8.964,13.327,-22.291,,0.524,,233.909,,,
12/31/2002,235.319,47.854,14.067,18.507,,,,18.507,154.891,,,,78.258,-6.246,,-6.246,87.721,113.305,,,,-25.584,,,,,,,,,,,,-3.217,-5.386,-20.81,28.279,,,,,-13.998,19.44,-33.438,,1.143,,308.191,,,
03/31/2003,5.882,48.666,14.397,-32.16,,,,-32.16,-25.021,,,,-6.571,-6.571,,-6.571,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-0.689,,,
06/30/2003,-181.099,58.366,13.489,46.157,,,,46.157,-299.111,,,,26.732,-5.667,0.0,-5.667,35.101,39.886,,,,-4.785,,,,0.0,,,,,,,,-2.702,39.401,-7.374,29.197,,,,,16.322,16.322,0.0,0.0,1.256,,-114.966,,,
09/30/2003,-69.367,66.64,12.09,20.329,,,,20.329,-168.426,,,,56.023,55.41,63.53,-8.12,0.612,5.159,,,,-4.547,,,,0.0,,,,,,,,0.001,-62.927,-7.423,-58.675,,,,,3.065,24.795,-21.73,0.0,0.106,,-76.271,,,
12/31/2003,453.201,80.833,11.115,36.847,,,,36.847,324.406,,,,-18.577,-11.634,0.001,-11.635,-5.491,3.188,,,,-8.679,,,,0.0,,,,,,,,-1.452,-3.739,-10.204,0.0,,,,,5.298,13.956,-8.658,0.0,1.167,,430.885,,,
03/31/2004,-13.327,91.925,13.264,2.464,,,,2.464,-120.98,,,,-19.441,-24.363,1.246,-25.609,5.279,5.279,,,,0.0,,,,0.0,,,,,,,,-0.357,-29.572,-10.237,0.0,,,,,-19.69,15.321,-35.011,0.0,0.355,,-62.34,,,
06/30/2004,-95.916,86.414,13.035,36.759,,,,36.759,-232.124,,,,-19.109,-17.64,0.0,-17.64,-0.018,3.207,,,,-3.225,,,,0.0,,,,,,,,-1.451,65.011,-10.289,72.672,,,,,3.218,14.437,-11.219,0.0,-0.59,,-50.014,,,
09/30/2004,219.138,91.662,11.327,94.957,,,,94.957,21.192,,,,-405.301,-3.222,0.0,-3.222,0.394,2.154,,,,-1.76,,,,0.0,,,,,,,,-402.473,-17.572,-10.326,0.0,,,,,-8.533,17.371,-25.904,0.0,1.287,,-251.451,,,
12/31/2004,271.892,112.71,12.204,84.455,,,,84.455,62.523,,,,-351.682,-21.031,0.0,-21.031,-175.36,2.692,,,,-178.052,,,,0.0,,,,,,,,-155.291,308.267,-15.549,0.0,,,,,321.74,325.346,-3.606,0.0,2.076,,228.477,,,
03/31/2005,-42.872,117.645,10.145,-175.316,,,,-175.316,4.654,,,,171.964,7.196,7.196,0.0,174.907,174.907,,,,0.0,,,,0.0,,,,,,,,-10.139,-3.477,-15.564,0.0,,,,,13.182,13.182,0.0,0.0,-1.095,,125.615,,,
06/30/2005,270.691,112.775,14.453,256.625,,26.514,3.592,226.519,-113.162,,,,-305.287,-10.454,,-10.454,-293.397,3.236,,,,-296.633,,,,,,,,,,,,-1.436,2.764,-16.393,-0.539,,,,,21.339,21.339,,,-1.643,,-31.832,,,
09/30/2005,107.249,121.036,14.9,-70.989,,,,-70.989,42.302,,,,-93.661,-26.21,0.0,-26.21,-65.548,1.506,,,,-67.054,,,,0.0,,,,,,,,-1.903,5.692,-36.783,-0.816,,,,,42.365,42.365,0.0,0.0,0.926,,19.28,,,
12/31/2005,556.557,760.303,52.934,-752.821,,-38.353,17.734,-732.202,496.141,,,,-1275.524,-49.932,,-49.932,-311.812,7.407,,,,-319.219,,,,,,,,,,,,-913.78,733.776,-75.779,707.254,,,,,100.207,100.207,,,2.094,,14.809,,,
03/31/2006,-245.607,150.054,50.707,489.748,,,,489.748,-936.116,,,,271.943,-35.272,0.0,-35.272,294.335,294.335,,,,0.0,,,,0.0,,,,,,,,12.88,-46.607,-2.847,-81.787,,,,,40.247,40.247,0.0,0.0,-2.22,,-66.878,,,
06/30/2006,136.35,156.035,51.076,73.915,,10.5,9.812,53.603,-144.676,,,,-13.665,-23.913,,-23.913,15.51,16.269,,,,-0.759,,,,,,,,,,,,-5.262,-38.111,-24.912,-25.883,,,,,10.206,10.206,,,2.478,,84.574,,,
09/30/2006,326.895,143.676,50.129,76.796,,,,76.796,56.294,,,,-414.509,-16.748,0.0,-16.748,0.897,2.387,,,,-1.49,,,,0.0,,,,,,,,-398.658,-6.43,-25.415,-0.203,,,,,17.698,17.698,0.0,0.0,1.49,,-94.84,,,
12/31/2006,204.668,174.633,51.39,40.891,,,,40.891,-62.246,,,,-59.835,-34.063,0.0,-34.063,-17.651,0.163,,,,-17.814,,,,0.0,,,,,,,,-8.121,-86.82,-29.786,-64.649,,,,,6.13,6.13,0.0,0.0,1.485,,58.809,,,
03/31/2007,237.558,172.474,49.522,-101.649,,,,-101.649,117.211,,,,-54.094,-37.302,0.0,-37.302,16.245,16.969,,,,-0.724,,,,0.0,,,,,,,,-33.037,-71.86,-29.806,-49.971,,,,,7.16,7.16,0.0,0.0,0.757,,111.604,,,
06/30/2007,81.528,191.015,46.09,47.085,,18.323,11.105,17.657,-202.662,,,,-43.544,-42.449,,-42.449,0.15,0.976,,,,-0.826,,,,,,,,,,,,-1.245,-30.48,-29.865,-45.566,,,,,42.625,46.622,-3.997,,2.326,,7.504,,,
09/30/2007,412.158,177.464,44.056,36.935,,,,36.935,153.703,,,,-60.593,-59.886,0.0,-59.886,-0.241,3.599,,,,-3.84,,,,0.0,,,,,,,,-0.466,-163.183,-34.374,-49.02,,,,,-83.633,10.315,-93.948,0.0,3.844,,188.382,,,
12/31/2007,278.408,154.582,45.066,149.999,,,,149.999,-71.239,,,,-918.273,-39.356,0.0,-39.356,-230.622,0.212,,,,-230.834,,,,0.0,,,,,,,,-648.295,450.332,-68.582,499.359,,,,,16.853,16.853,0.0,0.0,2.702,,-189.533,,,
03/31/2008,372.17,-255.451,45.01,447.247,,-191.473,38.24,600.48,135.364,,,,-1080.9,-42.584,0.0,-42.584,-554.739,0.393,,,,-555.132,,,,0.0,,,,,,,,-483.577,982.314,0.0,1155.099,,,,,-180.0,,-180.0,-2.283,9.498,,273.584,,,
06/30/2008,-77.731,-36.127,41.958,228.05,13.475,-77.613,15.523,276.665,-311.612,-36.353,-275.259,0.0,-145.716,-26.027,0.0,-26.027,-35.849,83.071,0.0,0.0,83.071,-118.92,0.0,0.0,-118.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.84,1075.152,-33.816,1094.578,0.0,0.0,1096.362,-1.784,14.534,14.534,0.0,0.0,-0.144,0.696,852.401,,,
09/30/2008,13.384,-108.735,43.305,344.624,33.706,-38.966,10.737,339.147,-265.81,-275.378,9.568,0.0,-642.667,-31.725,0.0,-31.725,-496.176,4.301,0.0,0.0,4.301,-500.477,0.0,0.0,-500.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.766,-449.974,-33.885,-428.113,0.0,0.0,0.0,-428.113,4.428,4.428,0.0,0.0,7.596,-5.584,-1084.841,,,
12/31/2008,961.167,-1492.832,42.423,1908.891,621.182,-500.16,15.867,1772.002,502.685,800.509,-297.824,0.0,-1218.477,-31.511,0.0,-31.511,-1118.011,257.556,0.0,0.0,257.556,-1375.567,0.0,0.0,-1375.567,0.0,0.0,0.0,0.0,60.876,0.0,60.876,0.0,-129.831,-18.579,-34.067,-6.513,,,,,15.058,15.058,0.0,0.0,6.943,2.187,-273.702,,,
03/31/2009,58.696,-325.081,46.378,507.867,608.616,-203.43,14.866,87.815,-170.468,-62.3,-108.168,0.0,-221.479,-41.687,0.0,-41.687,-1236.836,,,,,,,,,0.0,0.0,0.0,0.0,51.6,0.0,51.6,0.0,1005.444,-291.058,-34.11,-254.911,,,,,-2.037,,,0.0,0.0,-24.505,-478.346,,,
06/30/2009,503.865,50.054,34.655,-3.911,-49.287,34.442,12.872,-1.938,423.067,45.56,377.507,0.0,-26.744,-34.037,0.0,-34.037,0.327,0.688,0.0,0.0,0.688,-0.361,0.0,0.0,-0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966,-31.109,-34.337,-2.066,0.0,0.0,0.0,-2.066,1.958,1.958,0.0,0.0,3.336,9.655,455.667,,,
09/30/2009,146.831,45.774,33.575,-12.848,-34.764,-17.884,10.36,29.44,80.33,-2.831,83.161,0.0,-19.804,-24.015,0.0,-24.015,-0.088,0.142,0.0,0.0,0.142,-0.23,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,-7.524,0.0,-7.524,0.0,11.823,-136.255,-4.259,-1.779,0.0,0.0,0.0,-1.779,2.497,2.497,0.0,0.0,-132.714,8.949,-0.279,,,
12/31/2009,101.047,44.922,16.401,38.274,-16.015,30.127,11.616,12.546,1.45,-2.413,3.863,0.0,-178.602,-14.558,0.0,-14.558,-0.188,0.082,0.0,0.0,0.082,-0.27,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,-180.369,0.0,-180.369,0.0,16.513,-17.766,-4.823,-1.835,0.0,0.0,0.0,-1.835,0.539,0.539,0.0,0.0,-11.647,1.026,-94.295,,,
03/31/2010,661.42,63.607,29.447,75.382,1.29,67.262,11.73,-4.9,492.984,11.972,481.012,0.0,-51.538,-11.357,0.15,-11.507,-40.766,13.88,0.0,0.0,13.88,-54.646,0.0,0.0,-54.646,0.0,0.0,0.0,0.0,-3.003,0.0,-3.003,0.0,3.588,-561.59,-4.822,-551.661,0.0,0.0,0.0,-551.661,0.005,0.005,0.0,0.0,-5.112,-0.149,48.143,,,
06/30/2010,25.66,47.931,26.568,49.828,15.314,15.215,12.021,7.278,-98.667,11.301,-109.968,0.0,-25.714,-4.117,0.0,-4.117,-21.597,33.358,0.0,0.0,33.358,-54.955,0.0,0.0,-54.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-322.897,-6.551,-1.391,0.0,0.0,0.0,-1.391,-311.681,3.706,-315.387,0.0,-3.274,-3.753,-326.704,,,
09/30/2010,135.971,75.335,25.93,17.222,-35.772,26.847,13.209,12.938,17.484,-44.561,62.045,0.0,14.79,-7.556,0.0,-7.556,22.346,36.33,0.0,0.0,36.33,-13.984,0.0,0.0,-13.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.539,-4.916,-2.836,0.0,0.0,0.0,-2.836,-15.364,5.65,-21.014,0.0,8.577,8.493,144.715,,,
12/31/2010,33.166,61.62,25.477,10.198,-19.493,7.562,17.095,5.034,-64.129,-8.869,-55.26,0.0,-4.842,-9.204,0.0,-9.204,4.362,45.001,0.0,0.0,45.001,-40.639,0.0,0.0,-40.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.22,-6.166,-0.735,0.0,0.0,0.0,-0.735,-35.88,4.143,-40.023,0.0,-12.439,4.529,-22.367,,,
03/31/2011,217.343,69.037,24.773,42.837,-14.941,30.648,13.92,13.21,80.696,-13.411,94.107,0.0,-28.705,-12.027,,-12.027,-16.678,55.435,0.0,0.0,55.435,-72.113,0.0,0.0,-72.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.81,-9.18,-0.192,0.0,0.0,0.0,-0.192,-68.1,0.941,-69.041,0.0,1.662,1.558,114.386,,,
06/30/2011,-75.897,59.952,22.879,26.052,-3.361,4.067,12.431,12.915,-184.78,20.635,-205.415,0.0,8.103,-8.133,0.0,-8.133,14.619,73.08,0.0,0.0,73.08,-58.461,0.0,0.0,-58.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617,-118.21,-9.144,-0.195,0.0,0.0,0.0,-0.195,-198.986,1.133,-200.119,0.0,90.115,6.105,-179.899,,,
09/30/2011,244.066,56.664,22.166,82.618,43.405,13.634,13.517,12.062,82.618,-65.457,148.075,0.0,-5.042,-6.444,0.0,-6.444,-4.686,54.275,0.0,0.0,54.275,-58.961,0.0,0.0,-58.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.088,-319.683,-11.885,-0.196,0.0,0.0,0.0,-0.196,-199.827,0.32,-200.147,0.0,-107.775,-21.716,-102.375,,,
12/31/2011,165.511,28.132,30.115,21.189,-6.644,-4.348,12.488,19.693,86.075,-24.032,110.107,0.0,0.194,-6.941,0.0,-6.941,7.845,22.207,0.0,0.0,22.207,-14.362,0.0,0.0,-14.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,-27.962,-11.355,-0.42,0.0,0.0,0.0,-0.42,0.478,0.478,0.0,0.0,-16.665,1.207,138.95,,,
03/31/2012,163.089,76.069,18.635,1.295,-41.825,35.839,10.299,-3.018,67.09,28.834,38.256,0.0,-0.925,-10.304,0.0,-10.304,2.093,18.529,0.0,0.0,18.529,-16.436,0.0,0.0,-16.436,0.0,0.0,0.0,0.0,3.06,0.0,3.06,0.0,4.226,2.384,-11.218,-0.203,0.0,0.0,0.0,-0.203,1.076,2.607,-1.531,0.0,12.729,3.43,167.978,,,
06/30/2012,-279.54,-9.458,17.079,-129.484,9.541,-8.659,12.734,-143.1,-157.677,67.202,-224.879,0.0,-12.623,-7.461,0.0,-7.461,-4.754,57.348,0.0,0.0,57.348,-62.102,0.0,0.0,-62.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.408,-330.848,-11.178,-147.391,-1290.212,0.0,1143.246,-0.425,-161.913,0.729,-162.642,0.0,-10.366,-1.368,-624.379,,,
09/30/2012,242.661,80.797,16.401,-8.918,-28.55,2.381,14.426,2.825,154.381,52.063,102.318,0.0,0.48,-10.855,0.0,-10.855,11.684,28.16,0.0,0.0,28.16,-16.476,0.0,0.0,-16.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.349,-105.663,-15.073,-0.209,0.0,0.0,0.0,-0.209,-89.805,0.285,-90.09,0.0,-0.576,2.606,140.084,,,
12/31/2012,126.555,-453.87,16.327,573.321,-2.249,-167.951,13.325,730.196,-9.223,82.051,-91.274,0.0,27.063,-9.914,0.0,-9.914,38.11,46.593,0.0,0.0,46.593,-8.483,0.0,0.0,-8.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133,-143.378,-28.999,-41.192,0.0,0.0,0.0,-41.192,-63.416,0.475,-63.891,0.0,-9.771,-2.482,7.758,,,
03/31/2013,213.656,29.204,38.041,19.758,-17.068,16.874,18.498,1.454,126.653,-11.969,138.622,0.0,-25.943,-10.121,0.0,-10.121,44.81,61.91,0.0,0.0,61.91,-17.1,0.0,0.0,-17.1,0.0,0.0,0.0,0.0,-55.277,0.0,-55.277,0.0,-5.355,-156.008,0.0,-42.741,1290.212,0.0,0.0,-1332.953,-100.495,0.497,-100.992,0.0,-12.772,-4.395,27.31,,,
