Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2005,829.096985,359.412994,94.178001,152.899002,-12.968,165.867002,222.606995,44.854,-20.525999,198.278994,-626.711975,-377.119995,0,-377.119995,0.0,0.0,0.0,-249.59198,802.092926,0,1562.954956,-760.86203,168.490997,-929.353027,0,1004.478027,,,
12/31/2005,716.645996,339.238007,94.533997,569.856018,-42.375,612.231018,-286.981995,-52.695999,-81.125999,-153.159996,-473.86499,-292.894012,0,-292.894012,0.0,0.0,0.0,-180.970978,-739.097993,0,-0.002,-739.095993,186.807999,-925.903992,0,-496.316986,311.571014,9.727,
03/31/2006,462.0,421.0,96.0,-15.0,-50.0,35.0,-40.0,-96.0,-86.0,142.0,-527.0,-253.0,0,-253.0,0.0,0.0,0.0,-274.0,-89.0,0,0.0,-89.0,138.0,-227.0,0,-154.0,,,
06/30/2006,454.0,531.0,103.0,-54.0,-35.0,-19.0,-126.0,-88.0,-88.0,50.0,-347.0,-285.0,0,-285.0,0.0,0.0,0.0,-62.0,-174.0,0,0.0,-174.0,139.0,-313.0,0,-67.0,,,
09/30/2006,400.0,568.0,99.0,29.0,-1.0,30.0,-296.0,-239.0,-137.0,80.0,-458.0,-350.0,0,-350.0,0.0,0.0,0.0,-108.0,-67.0,0,0.0,-67.0,151.0,-218.0,0,-125.0,,49.0,
12/31/2006,822.0,594.0,109.0,42.0,-26.0,68.0,77.0,-205.0,-97.0,379.0,-349.0,-326.0,0,-326.0,0.0,0.0,0.0,-23.0,-102.0,0,0.0,-102.0,136.0,-238.0,0,371.0,,,
03/31/2007,760.0,706.0,106.0,-61.0,-81.0,20.0,9.0,-31.0,-115.0,155.0,-137.0,-209.0,0,-209.0,0.0,0.0,0.0,72.0,-119.0,0,0.0,-119.0,273.0,-392.0,0,504.0,163.0,42.0,
06/30/2007,665.0,747.0,109.0,82.0,-22.0,104.0,-273.0,-84.0,-65.0,-124.0,-215.0,-266.0,0,-266.0,0.0,0.0,0.0,51.0,-144.0,0,0.0,-144.0,130.0,-274.0,0,306.0,643.0,-11.0,
09/30/2007,648.0,685.0,130.0,17.0,-13.0,30.0,-184.0,-121.0,-58.0,-5.0,-994.0,-217.0,0,-217.0,0.0,0.0,0.0,-777.0,-11.0,0,0.0,-11.0,138.0,-149.0,0,-357.0,471.0,40.0,
12/31/2007,1157.0,631.0,147.0,8.0,-118.0,126.0,371.0,274.0,-72.0,169.0,-519.0,-285.0,0,-285.0,0.0,0.0,0.0,-234.0,173.0,0,599.0,-426.0,104.0,-530.0,0,811.0,396.0,-11.0,
03/31/2008,999.0,983.0,139.0,-131.0,75.0,-206.0,8.0,-11.0,22.0,-3.0,-416.0,-200.0,0,-200.0,0.0,0.0,0.0,-216.0,186.0,0,0.0,186.0,186.0,0.0,0,769.0,129.0,42.0,
06/30/2008,205.0,782.0,146.0,215.0,142.0,73.0,-938.0,-48.0,61.0,-951.0,85.0,-198.0,0,-198.0,0.0,0.0,0.0,283.0,-682.0,0,0.0,-682.0,74.0,-756.0,0,-392.0,901.0,-11.0,
09/30/2008,1276.0,731.0,148.0,118.0,-10.0,128.0,280.0,28.0,5.0,247.0,-320.0,-171.0,0,-171.0,0.0,0.0,0.0,-149.0,428.0,0,0.0,491.0,491.0,0.0,-63,1384.0,307.0,46.0,
12/31/2008,1475.0,931.0,159.0,-62.0,-117.0,55.0,446.0,-101.0,121.0,426.0,-1016.0,-182.0,0,-182.0,0.0,0.0,0.0,-834.0,-201.0,0,-99.0,45.0,69.0,-24.0,-147,258.0,442.0,-3.0,
