Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,14244,167,167,0.0,544,,,243,,,,,330,,,,1284,10816,16777,-5961,196,,1948,,,,,,1948,12960,,378,378,,,,106,,,,,,1422,,,1422,1906,3928,,,,,3829,,,,3829,7757,9663,0.0,1921.0,,,-1567.0,,4227.0,4581,0.0,4581,14244,
06/30/1993,14390,123,123,0.0,515,,,259,,,,,326,,,,1223,10976,17129,-6153,198,,1993,,,,,,1993,13167,,366,366,,,,104,,,,,,1400,,,1400,1870,3964,,,,,3851,,,,3851,7815,9685,0.0,1928.0,,,-1572.0,,4349.0,4705,0.0,4705,14390,
09/30/1993,14676,117,117,0.0,599,,,258,,,,,303,,,,1277,11189,17489,-6300,198,,2012,,,,,,2012,13399,,386,386,,,,111,,,,,,1500,,,1500,1997,3978,,,,,3969,,,,3969,7947,9944,0.0,1933.0,,,-1577.0,,4376.0,4732,0.0,4732,14676,
12/31/1993,15001,113,113,0.0,651,,,252,,,,,366,,,,1382,11441,17860,-6419,170,,2008,,,,,,2008,13619,,477,477,,,,115,,,,,,1497,,,1497,2089,4069,,,,,3958,,,,3958,8027,10116,0.0,1960.0,,,-1604.0,,4529.0,4885,0.0,4885,15001,
03/31/1994,16155,255,255,0.0,689,,,261,,,,,432,,,,1637,12294,18668,-6374,158,,2066,,,,,,2066,14518,,443,443,,,,130,,,,,,1432,,,1432,2005,4853,,,,,4209,,,,4209,9062,11067,0.0,1966.0,,,-1608.0,,4730.0,5088,0.0,5088,16155,
06/30/1994,16117,122,122,0.0,706,,,270,,,,,370,,,,1468,12400,18937,-6537,159,,2090,,,,,,2090,14649,,455,455,,,,126,,,,,,1509,,,1509,2090,4555,,,,,4245,,,,4245,8800,10890,0.0,1968.0,,,-1609.0,,4868.0,5227,0.0,5227,16117,
09/30/1994,15898,222,222,0.0,622,,,304,,,,,483,,,,1631,12164,18703,-6539,153,,1950,,,,,,1950,14267,,425,425,,,,102,,,,,,1484,,,1484,2011,4645,,,,,4318,,,,4318,8963,10974,0.0,1968.0,,,-1611.0,,4567.0,4924,0.0,4924,15898,
12/31/1994,15942,121,121,0.0,939,,,315,,,,,447,,,,1822,12271,18885,-6614,662,,1187,,,,,,1187,14120,,463,463,,,,470,,,,,,1572,,,1572,2505,4090,,,,,4216,,,,4216,8306,10811,0.0,,,,-1.0,,5132.0,5131,0.0,5131,15942,
03/31/1995,15616,97,97,0.0,620,,,280,,,,,484,,,,1481,12371,19210,-6839,164,,1600,,,,,,1600,14135,,384,384,,,,105,,,,,,1557,,,1557,2046,4202,,,,,4164,,,,4164,8366,10412,0.0,2012.0,,,-1644.0,,4836.0,5204,0.0,5204,15616,
06/30/1995,17570,51,51,0.0,495,,,299,,,,,311,,,,1156,13174,17615,-4441,275,,2965,,,,,,2965,16414,,130,130,,,,68,,,,,,1834,,,1834,2032,6173,,,,,4015,,,,4015,10188,12220,0.0,2023.0,,,-1645.0,,4972.0,5350,0.0,5350,17570,
09/30/1995,18702,91,91,0.0,473,,,281,,,,,250,,,,1095,13318,17845,-4527,1405,,2884,,,,,,2884,17607,,151,151,,,,624,,,,,,1782,,,1782,2557,6546,,,,,4085,,,,4085,10631,13188,0.0,2047.0,,,-1654.0,,5121.0,5514,0.0,5514,18702,
12/31/1995,19446,230,230,0.0,1002,,,238,,,,,209,,,,1679,14105,18748,-4643,1447,,2215,,,,,,2215,17767,,145,145,,,,132,,,,,,1622,,,1622,1899,6232,,,,,4735,,,,4735,10967,12866,0.0,2692.0,,,-1.655,,3673.655,6364,216.0,6580,19446,
03/31/1996,19609,79,79,0.0,1099,,,227,,,,,241,,,,1646,14260,19006,-4746,1447,,2256,,,,,,2256,17963,,130,130,,,,225,,,,,,1619,,,1619,1974,6129,,,,,4844,,,,4844,10973,12947,0.0,2711.0,,,-1669.0,,5394.0,6436,226.0,6662,19609,
06/30/1996,19749,73,73,0.0,1070,,,220,,,,,230,,,,1593,14339,19205,-4866,1421,,2396,,,,,,2396,18156,,126,126,,,,232,,,,,,1656,,,1656,2014,5923,,,,,4980,,,,4980,10903,12917,0.0,2721.0,,,-1675.0,,5550.0,6596,236.0,6832,19749,
09/30/1996,29307,148,148,0.0,672,,,292,,,,,958,,,,2070,24474,29444,-4970,616,,2147,,,,,,2147,27237,,501,501,,,,333,,,,,,2559,,,2559,3393,8374,,,,,9515,,,,9515,17889,21282,0.0,4579.0,,,-1692.0,,5138.0,8025,0.0,8025,29307,
12/31/1996,27914,191,191,0.0,494,,,304,,,,,345,,,,1334,25044,30097,-5053,226,,1310,,,,,,1310,26580,,705,705,,,,127,,,,,,2224,,,2224,3056,7900,,,,,8733,,,,8733,16633,19689,0.0,4695.0,,,-1732.0,,5262.0,8225,0.0,8225,27914,
03/31/1997,28186,94,94,0.0,699,,,275,,,,,386,,,,1454,25246,30476,-5230,237,,1249,,,,,,1249,26732,,736,736,,,,164,,,,,,2209,,,2209,3109,8075,,,,,8763,,,,8763,16838,19947,0.0,4705.0,,,-1749.0,,5283.0,8239,0.0,8239,28186,
06/30/1997,28751,129,129,,802,802.0,,290,,,,,338,,,,1559,25631,31105,-5474,208,,1353,690.0,690.0,0.0,,399.0,264,27192,,674,674,,,,216,,,,,,2333,,,2333,3223,8292,,,,,8878,,,,8878,17170,20393,0.0,4733.0,,,-1769.0,5394.0,0.0,8358,0.0,8358,28751,
09/30/1997,28666,201,201,0.0,797,,,295,,,,,306,,,,1599,25619,30994,-5375,207,,1241,,,,,,1241,27067,,580,580,,,,210,,,,,,2514,,,2514,3304,8185,,,,,8693,,,,8693,16878,20182,0.0,4736.0,,,-1780.0,,5528.0,8484,0.0,8484,28666,
12/31/1997,28764,90,90,0.0,631,,,296,,,,,398,,,,1415,25977,31514,-5537,181,,1191,,,,,,1191,27349,,758,758,,,,233,,,,,,2256,,,2256,3247,8285,,,,,9007,,,,9007,17292,20539,0.0,4756.0,,,-1802.0,,5271.0,8225,0.0,8225,28764,
03/31/1998,29078,191,191,0.0,589,,,309,,,,,295,,,,1384,26233,31937,-5704,190,,1271,,,,,,1271,27694,,541,541,,,,132,,,,,,2135,,,2135,2808,9258,,,,,8894,,,,8894,18152,20960,0.0,4753.0,,,-1794.0,,5159.0,8118,0.0,8118,29078,
06/30/1998,28944,297,297,0.0,389,,,317,,,,,766,,,,1769,26262,31850,-5588,159,,754,,,,,,754,27175,,573,573,,,,162,,,,,,2135,,,2135,2870,8399,,,,,8542,,,,8542,16941,19811,1500.0,4734.0,,,-1792.0,,4691.0,9133,0.0,9133,28944,
09/30/1998,29429,554,554,0.0,401,,,308,308.0,,,,752,,,,2015,26528,32198,-5670,156,,730,,,,,,730,27414,,531,531,,,,178,,,,,,2071,,,2071,2780,9029,,,,,8491,,,,8491,17520,20300,1500.0,4740.0,,,-1791.0,,4680.0,9129,0.0,9129,29429,
12/31/1998,29374,176,176,0.0,643,,,343,343.0,0.0,0.0,0.0,340,,,,1502,26939,33145,-6206,171,,762,0.0,,,,,762,27872,,586,586,,,,181,,,,,,2165,,,2165,2932,8511,,,,,9038,,,,9038,17549,20481,1500.0,4744.0,,,-1792.0,,4441.0,8893,0.0,8893,29374,
03/31/1999,29455,107,107,0.0,632,,,350,350.0,0.0,0.0,0.0,347,,,,1436,27042,33470,-6428,137,,840,0.0,0.0,0.0,,,840,28019,,584,584,,,,180,,,,,,2175,,,2175,2939,8539,,,,,8999,,,,8999,17538,20477,1500.0,4738.0,,,-1781.0,,4521.0,8978,0.0,8978,29455,
06/30/1999,29787,331,331,0.0,561,,,341,341.0,0.0,0.0,0.0,350,,,,1583,27181,33748,-6567,125,,898,0.0,0.0,0.0,,,898,28204,,630,630,,,,215,,,,,,2143,,,2143,2988,8590,,,,,9084,,,,9084,17674,20662,1500.0,4728.0,,,-1769.0,,4666.0,9125,0.0,9125,29787,
09/30/1999,29853,198,198,0.0,626,,,335,335.0,0.0,0.0,0.0,221,,,,1380,27402,34128,-6726,125,,946,0.0,0.0,0.0,,,946,28473,,596,596,,,,206,,,,,,2087,,,2087,2889,8502,,,,,9142,,,,9142,17644,20533,1500.0,4727.0,,,-1768.0,,4861.0,9320,0.0,9320,29853,
12/31/1999,29888,175,175,0.0,581,,,337,337.0,0.0,0.0,0.0,221,,,,1314,27519,34370,-6851,96,,959,0.0,0.0,0.0,,,959,28574,,598,598,,,,214,-5.0,219.0,219.0,,,2073,,,2073,2885,8426,,,,,9076,,,,9076,17502,20387,1500.0,4710.0,,,-1756.0,,5047.0,9501,0.0,9501,29888,
03/31/2000,29909,60,60,0.0,618,,,324,324.0,0.0,0.0,0.0,249,,,,1251,27628,34678,-7050,94,,936,0.0,0.0,0.0,,,936,28658,,573,573,,,,225,,,,,,1997,,,1997,2795,8352,,,,,9123,,,,9123,17475,20270,1500.0,4710.0,,,-1755.0,,5184.0,9639,0.0,9639,29909,
06/30/2000,30202,72,72,0.0,569,,,324,324.0,0.0,0.0,0.0,229,,,,1194,27825,34964,-7139,107,,1076,0.0,0.0,0.0,,,1076,29008,,633,633,,,,206,,,,,,2003,,,2003,2842,8365,,,,,9156,,,,9156,17521,20363,1500.0,4710.0,,,-1753.0,,5382.0,9839,0.0,9839,30202,
09/30/2000,30391,55,55,0.0,645,,,333,333.0,0.0,0.0,0.0,207,,,,1240,28145,35319,-7174,97,,909,0.0,0.0,0.0,,,909,29151,,585,585,,,,210,,,,,,1954,,,1954,2749,8314,,,,,9276,,,,9276,17590,20339,1500.0,4711.0,,,-1751.0,,5592.0,10052,0.0,10052,30391,
12/31/2000,30917,105,105,0.0,597,,,360,360.0,0.0,0.0,0.0,641,,,,1703,28196,35458,-7262,96,,922,0.0,0.0,0.0,,,922,29214,,658,658,,,,207,-24.0,231.0,231.0,,,2097,,,2097,2962,8144,,,,,9649,,,,9649,17793,20755,1500.0,4712.0,,,-1749.0,,5699.0,10162,0.0,10162,30917,
03/31/2001,30752,73,73,0.0,631,,,340,340.0,0.0,0.0,0.0,258,,,,1302,28281,35629,-7348,100,,1069,0.0,0.0,0.0,,,1069,29450,,509,509,,,,203,,,,,,2038,,,2038,2750,8435,,,,,9256,,,,9256,17691,20441,1500.0,4695.0,,,-1711.0,,5827.0,10311,0.0,10311,30752,
06/30/2001,30991,130,130,0.0,640,,,309,309.0,0.0,0.0,0.0,280,,,,1359,28425,35755,-7330,100,,1107,0.0,0.0,0.0,,,1107,29632,,580,580,,,,200,,,,,,1978,,,1978,2758,8299,,,,,9401,,,,9401,17700,20458,1500.0,4676.0,,,-1671.0,,6028.0,10533,0.0,10533,30991,
09/30/2001,31305,120,120,0.0,690,,,280,280.0,0.0,0.0,0.0,309,,,,1399,28679,36036,-7357,100,,1127,0.0,0.0,0.0,,,1127,29906,,556,556,,,,197,,,,,,2071,,,2071,2824,8207,,,,,9517,,,,9517,17724,20548,1500.0,4679.0,,,-1666.0,,6244.0,10757,0.0,10757,31305,
12/31/2001,31551,113,113,0.0,604,,,265,265.0,0.0,0.0,0.0,560,,,,1542,28792,36436,-7644,78,,1139,0.0,0.0,0.0,,,1139,30009,,567,567,,,,194,193.793,0.207,0.207,,,1931,,,1931,2692,7886,7883.755,2.245,2.245,,9898,,,,9898,17784,20476,1500.0,4669.0,,,-1549.0,,6455.0,11075,0.0,11075,31551,
03/31/2002,31880,110,110,0.0,676,,,259,259.0,0.0,0.0,0.0,601,,,,1646,28855,36686,-7831,57,,1322,0.0,0.0,0.0,,,1322,30234,,535,535,,,,203,-14.0,217.0,217.0,,,1824,,,1824,2562,8006,,,,,9976,,,,9976,17982,20544,1500.0,4638.0,,,-1458.0,,6656.0,11336,0.0,11336,31880,
06/30/2002,32323,381,381,0.0,695,,,250,250.0,,,,601,,,,1927,29172,37155,-7983,57,,1167,0.0,0.0,0.0,,,1167,30396,,603,603,,,,290,72.0,218.0,218.0,,,1908,,,1908,2801,7888,,,,,10047,,,,10047,17935,20736,1500.0,4598.0,,,-1549.0,,7038.0,11587,0.0,11587,32323,
09/30/2002,32625,451,451,0.0,765,765.0,,264,,0.0,0.0,0.0,611,,,,2091,29373,37479,-8106,55,,1106,0.0,0.0,0.0,,640.0,466,30534,,580,580,,,,294,,,,,,2018,,,2018,2892,9080,,,,,10154,,,,10154,19234,22126,,4599.0,,,-1383.0,7278.0,5.0,10499,0.0,10499,32625,
12/31/2002,32764,367,367,0.0,557,,,277,288.0,0.0,0.0,0.0,697,,,,1898,29004,36860,-7856,50,,1812,0.0,0.0,0.0,,,1812,30866,,430,430,,,,275,-1764.0,2039.0,2039.0,,,1818,,,1818,2523,7428,,,,,10662,,,,10662,18090,20613,1500.0,4635.0,,,-1347.0,7597.0,-234.0,12151,0.0,12151,32764,
06/30/2003,33937,499,499,,668,668.0,,288,,,,,821,,,,2276,30473,38703,-8230,44,,1144,,,,,674.0,470,31661,,581,581,,,,170,,,,,,1940,,,1940,2691,9101,,,,,10850,,,,10850,19951,22642,,4639.0,,,-1301.0,8197.0,-240.0,11295,,11295,33937,
09/30/2003,33815,223,223,0.0,540,540.0,,269,269.0,,,,750,,,,1782,30121,38029,-7908,41,,1871,0.0,0.0,0.0,,681.0,1190,32033,,533,533,,,,162,,,,,,1781,,,1781,2476,8558,8138.0,420.0,420.0,,11205,,,,11205,19763,22239,0.0,4643.0,,,-1279.0,8456.0,-244.0,11576,0.0,11576,33815,
12/31/2003,33460,527,527,0.0,498,498.0,,267,267.0,,,,797,,,,2089,30283,38320,-8037,38,,1050,0.0,0.0,0.0,,,1050,31371,,511,511,,,,167,,,,,,1778,,,1778,2456,7822,,,,,10828,,,,10828,18650,21106,0.0,4625.0,,,-1077.0,8930.0,-124.0,12354,0.0,12354,33460,
03/31/2004,33464,275,275,0.0,513,513.0,,273,273.0,,,,791,,,,1852,30435,38695,-8260,34,,1143,0.0,0.0,0.0,,,1143,31612,,483,483,,,,270,,,,,,1657,,,1657,2410,7670,,,,,10907,,,,10907,18577,20987,0.0,4605.0,,,-1024.0,9017.0,-121.0,12477,0.0,12477,33464,
06/30/2004,34170,657,657,0.0,562,562.0,,290,290.0,,,,903,,,,2412,30624,39056,-8432,32,,1102,0.0,0.0,0.0,,,1102,31758,,557,557,,,,171,,,,,,1816,,,1816,2544,8016,,,,,11046,,,,11046,19062,21606,0.0,4609.0,,,-1016.0,9097.0,-126.0,12564,0.0,12564,34170,
09/30/2004,34392,914,914,0.0,583,583.0,,282,282.0,,,,682,,,,2461,30828,39487,-8659,30,,1073,0.0,0.0,0.0,,727.0,346,31931,,581,581,,,,163,,,,,,1846,,,1846,2590,7996,,,,,11113,,,,11113,19109,21699,0.0,4613.0,,,-1009.0,9221.0,-132.0,12693,0.0,12693,34392,
12/31/2004,34589,977,977,0.0,538,538.0,,309,309.0,,,,466,,,,2290,31014,39907,-8893,767,,518,0.0,0.0,0.0,,,518,32299,,720,720,,,,150,,,,,,1646,,,1646,2516,7981,,,,,11437,,,,11437,19418,21934,0.0,4606.0,,,-936.0,9222.0,-237.0,12655,0.0,12655,34589,
03/31/2005,35014,732,732,0.0,593,593.0,,336,336.0,,,,705,,,,2366,31230,40320,-9090,23,,1395,0.0,0.0,0.0,,754.0,641,32648,,601,601,,,,145,,,,,,1804,,,1804,2550,7919,,,,,11737,,,,11737,19656,22206,0.0,4586.0,,,-813.0,9272.0,-237.0,12808,0.0,12808,35014,
06/30/2005,35109,164,164,0.0,686,686.0,,348,348.0,,,,663,,,,1861,31546,40858,-9312,22,,1680,0.0,0.0,0.0,,764.0,916,33248,,690,690,,,,139,,,,,,1956,,,1956,2785,7565,,,,,11774,,,,11774,19339,22124,0.0,4588.0,,,-794.0,9427.0,-236.0,12985,0.0,12985,35109,
09/30/2005,35171,337,337,0.0,736,736.0,,377,377.0,,,,611,,,,2061,31821,41372,-9551,18,,1271,0.0,0.0,0.0,,762.0,509,33110,,1142,1142,,,,143,,,,,,1486,,,1486,2771,7323,,,,,11706,,,,11706,19029,21800,0.0,4588.0,,,-698.0,9716.0,-235.0,13371,0.0,13371,35171,
12/31/2005,35620,773,773,,747,747.0,,331,,,,,474,,,,2325,31975,41697,-9722,806,,514,,,,,,514,33295,,783,783,,,,656,,,,,,1945,,,1945,3384,6760,,,,,11769,,,,11769,18529,21913,,4604.0,,,-599.0,9932.0,-230.0,13707,,13707,35620,
03/31/2006,35544,258,258,0.0,730,730.0,,416,416.0,,,,456,,,,1860,32234,42208,-9974,15,,1435,0.0,0.0,0.0,,815.0,620,33684,,736,736,,,,393,,,,,,1861,,,1861,2990,6712,,,,,11777,,,,11777,18489,21479,,4615.0,,,-485.0,10162.0,-227.0,14065,,14065,35544,
06/30/2006,36007,262,262,0.0,748,748.0,,433,433.0,,,,444,,,,1887,32295,42449,-10154,210,,1615,0.0,0.0,0.0,,817.0,798,34120,,785,785,,,,391,,,,,,1938,,,1938,3114,6678,,,,,11800,,,,11800,18478,21592,0.0,4627.0,,,-451.0,10472.0,-233.0,14415,0.0,14415,36007,
09/30/2006,36372,719,719,0.0,770,770.0,,427,427.0,,,,449,,,,2365,32644,43004,-10360,12,,1351,0.0,0.0,0.0,,846.0,505,34007,,785,785,,,,393,,,,,,1925,,,1925,3103,6657,,,,,11842,,,,11842,18499,21602,0.0,4625.0,,,-436.0,10811.0,-230.0,14770,0.0,14770,36372,
12/31/2006,36515,827,827,,679,679.0,,395,,,,,510,,,,2411,32873,43448,-10575,12,,1219,,,,,865.0,354,34104,,684,684,,,,780,,,,,,2075,,,2075,3539,6000,,,,,11664,,,,11664,17664,21203,,4633.0,,,-394.0,11215.0,-142.0,15312,,15312,36515,
03/31/2007,36686,598,598,0.0,660,660.0,,414,414.0,,,,584,,,,2256,33066,43884,-10818,894,,470,0.0,0.0,0.0,,,470,34430,,770,770,,,,137,,,,,,2056,,,2056,2963,6594,,,,,11682,,,,11682,18276,21239,,4632.0,,,-543.0,11499.0,-141.0,15447,,15447,36686,
06/30/2007,37302,522,522,0.0,720,720.0,,445,445.0,,,,585,,,,2272,33359,44418,-11059,12,,1659,0.0,0.0,0.0,,894.0,765,35030,,855,855,,,,138,,,,,,2142,,,2142,3135,7098,,,,,11624,,,,11624,18722,21857,0.0,4645.0,,,-914.0,11851.0,-137.0,15445,0.0,15445,37302,
09/30/2007,37917,1022,1022,0.0,820,820.0,,475,475.0,,,,546,,,,2863,33793,45009,-11216,12,,1249,0.0,0.0,0.0,,912.0,337,35054,,865,865,,,,144,,,,,,2137,,,2137,3146,7697,,,,,11691,,,,11691,19388,22534,0.0,4625.0,,,-1394.0,12292.0,-140.0,15383,0.0,15383,37917,
12/31/2007,44640,878,878,0.0,632,632.0,,453,,,,,631,,,,2594,39853,51349,-11496,923,,1270,0.0,0.0,0.0,,912.0,358,42046,,732,732,,,,139,,,,,,4237,,,4237,5108,7543,,,,,13125,,,,13125,20668,25776,0.0,4616.0,,,-1624.0,12667.0,-74.0,15585,0.0,15585,41361,
03/31/2008,38555,827,827,0.0,703,703.0,,514,514.0,,,,603,,,,2647,34439,46179,-11740,946,,523,0.0,0.0,0.0,,,523,35908,,2944,2944,,,,188,,,,,,0,,,0,3132,7930,,,,,11936,,,,11936,19866,22998,0.0,4620.0,,,-1983.0,12996.0,-76.0,15557,0.0,15557,38555,
06/30/2008,39112,611,611,0.0,877,877.0,,580,580.0,,,,608,,,,2676,34960,46869,-11909,979,,497,0.0,0.0,0.0,,,497,36436,,3209,3209,,,,145,,,,,,0,,,0,3354,8154,,,,,12038,,,,12038,20192,23546,0.0,5308.0,,,-2394.0,12721.0,-69.0,15566,0.0,15566,39112,
09/30/2008,39551,857,857,0.0,860,860.0,,569,569.0,,,,603,,,,2889,35302,47379,-12077,1009,,351,0.0,0.0,0.0,,,351,36662,,791,791,,,,346,,,,,,2304,,,2304,3441,8116,,,,,12259,,,,12259,20375,23816,0.0,5319.0,,,-2805.0,13289.0,-68.0,15735,0.0,15735,39551,
12/31/2008,39722,1249,1249,0.0,594,594.0,,450,,,,,520,,,,2813,35701,47915,-12214,974,,234,0.0,0.0,0.0,,,234,36909,,629,629,,,,320,,,,,,1931,,,1931,2880,8607,,,,,12788,,,,12788,21395,24275,0.0,5331.0,,,-2993.0,13813.0,-704.0,15447,0.0,15447,39722,
03/31/2009,40199,1466,1466,0.0,548,548.0,0.0,446,,,,,557,,290.0,267.0,3017,35856,48330,-12474,947,947.0,379,,,,,,379,37182,,2545,1913,353.0,279.0,,137,0.0,,,,137.0,0,,,0,2682,9058,9058.0,,,,12805,,,10317.0,2488,21863,24545,0.0,5327.0,1384.0,3943.0,-2983.0,14040.0,-730.0,15654,0.0,15654,40199,
06/30/2009,41550,1656,1656,0.0,629,629.0,0.0,507,,,,,554,,283.0,271.0,3346,36763,49521,-12758,990,990.0,451,,,,,,451,38204,,2660,1993,328.0,339.0,,174,0.0,,,,174.0,0,,,0,2834,9816,9816.0,,,,12881,,,10487.0,2394,22697,25531,0.0,5333.0,1384.0,3949.0,-2971.0,14371.0,-714.0,16019,0.0,16019,41550,
09/30/2009,41689,1435,1435,0.0,727,727.0,0.0,490,,,,,565,,299.0,266.0,3217,37122,50046,-12924,1013,1013.0,337,,,,,,337,38472,,2575,1920,373.0,282.0,,173,0.0,,,,173.0,0,,,0,2748,9620,9620.0,,,,12892,,,10595.0,2297,22512,25260,0.0,5344.0,1384.0,3960.0,-2954.0,14752.0,-713.0,16429,0.0,16429,41689,
