Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/2000,208.098007,,,-47.095001,,161.003006,,-77.578003,,,,83.425003,5.965,,0.0,,,0.0,,-5.965,89.390003,-27.264,62.125999,0.0,,,62.126003,0.0,62.125999,0.0,,62.125999,62.125999,,372.618011,0.17,0.17,0.17,377.838989,0.16,0.16,0.16,
02/28/2001,229.255997,,,-54.375999,,174.879998,,-87.998001,,,,86.882004,7.234,,0.0,,,0.0,,-7.234,94.116004,-27.764,66.351997,0.0,,,66.352004,0.0,66.351997,0.0,,66.351997,66.351997,,373.057007,0.18,0.18,0.18,377.681,0.18,0.18,0.18,
05/31/2001,228.619995,,,-52.953999,,175.665996,,-88.097,,,,87.569,8.546,,0.0,,,0.0,,-8.546,96.115,-28.354,67.761002,0.0,,,67.761,0.0,67.761002,0.0,,67.761002,67.761002,,373.454987,0.17,0.17,0.17,377.397003,0.17,0.17,0.17,
08/31/2001,234.813995,,,-53.756001,,181.057994,,-87.295998,,,,93.762001,7.527,,0.0,,,0.0,,-7.527,101.289001,-31.096001,70.193001,0.0,,,70.193,0.0,70.193001,0.0,0.0,70.193001,70.193001,,373.977997,0.19,0.19,0.19,377.747009,0.19,0.19,0.19,
11/30/2001,232.988007,,,-54.730999,,178.257008,,-87.174004,,,,91.083,8.191,,0.0,,,0.0,,-8.191,99.274,-30.576,68.697998,0.0,,,68.698,0.0,68.697998,0.0,0.0,68.697998,68.697998,,374.511993,0.18,0.18,0.18,377.614014,0.18,0.18,0.18,
02/28/2002,242.800003,,,-56.738998,,186.061005,,-98.844002,,,,87.217003,8.427,,0.0,,,0.0,,-8.427,95.644003,-28.671,66.973,0.0,,,66.973003,0.0,66.973,0.0,0.0,66.973,66.973,,374.921997,0.18,0.18,0.18,378.096008,0.18,0.18,0.18,
05/31/2002,244.307999,,,-55.471001,,188.836998,,-97.205002,,,,91.632004,7.17,,0.0,,,0.0,,-7.17,98.802004,-30.135,68.667,0.0,,,68.667004,0.0,68.667,0.0,0.0,68.667,68.667,,375.552002,0.18,0.18,0.18,378.527008,0.18,0.18,0.18,
08/31/2002,252.675003,,,-55.944,,196.731003,,-94.253998,,,,102.476997,8.385,,0.0,,,0.0,,-8.385,110.861997,-34.922001,75.940002,0.0,,,75.939996,0.0,75.940002,0.0,0.0,75.940002,75.940002,,375.954987,0.2,0.2,0.2,377.949005,0.2,0.2,0.2,
11/30/2002,268.807007,,,-63.782001,,205.025006,,-105.831001,,,,99.194,11.401,,0.0,,,0.0,,-11.401,110.595,-35.944,74.651001,0.0,,,74.651,0.0,74.651001,0.0,0.0,74.651001,74.651001,,376.19101,0.2,0.2,0.2,377.93399,0.2,0.2,0.2,
02/28/2003,287.789001,,,-68.793999,,218.995002,,-117.575996,,,,101.418999,3.76,,0.0,,,0.0,,-3.76,105.178999,-33.658001,71.521004,0.0,,,71.520998,0.0,71.521004,0.0,0.0,71.521004,71.521004,,376.355988,0.19,0.19,0.19,378.080994,0.19,0.19,0.19,
05/31/2003,289.808014,,,-69.292999,,220.515015,,-122.564003,,,,97.950996,6.957,,0.0,,,0.0,,-6.957,104.907996,-33.568001,71.339996,0.0,,,71.339995,0.0,71.339996,0.0,0.0,71.339996,71.339996,,376.558014,0.19,0.19,0.19,378.376007,0.19,0.19,0.19,
08/31/2003,309.252991,,,-71.670998,,237.581993,,-122.503998,,,,115.078003,3.949,,0.0,,,0.0,,-3.949,119.027003,-38.683998,80.343002,0.0,,,80.343005,0.0,80.343002,0.0,0.0,80.343002,80.343002,,376.835999,0.21,0.21,0.21,378.815002,0.21,0.21,0.21,
11/30/2003,312.098999,,,-74.434998,,237.664001,,-122.848999,,,,114.815002,5.071,,0.0,,,0.0,,-5.071,119.886002,-39.202,80.683998,0.0,,,80.684002,0.0,80.683998,0.0,0.0,80.683998,80.683998,,377.263,0.21,0.21,0.21,379.648987,0.21,0.21,0.21,
02/29/2004,342.606,,,-79.239,,263.367,,-146.894,,,,116.473,3.166,,0.0,,,0.0,,-3.166,119.639,-39.121,80.518,0.0,,,80.518,0.0,80.518,0.0,0.0,80.518,80.518,5.98,377.601,0.21,0.21,0.23,379.795,0.21,0.21,0.23,
05/31/2004,330.389008,,,-78.091003,,252.298005,,-165.348999,,,,86.948997,4.283,,0.0,,,0.0,,-4.283,91.231997,-29.827,61.404999,0.0,,,61.404997,0.0,61.404999,0.0,0.0,61.404999,61.404999,,377.812988,0.16,0.16,0.2,379.864014,0.16,0.16,0.2,
08/31/2004,344.975006,,,-121.592003,,223.383003,,-94.714996,,,,128.667999,2.259,,0.0,,,0.0,,-2.259,130.926999,-43.206001,87.721001,0.0,,,87.720998,0.0,87.721001,0.0,0.0,87.721001,87.721001,,378.106995,0.23,0.23,0.23,379.705994,0.23,0.23,0.23,
11/30/2004,347.285004,,,-79.928001,,267.357003,,-140.459,,,,126.898003,2.751,,0.0,,,0.0,,-2.751,129.649003,-42.784,86.864998,0.0,,,86.865003,0.0,86.864998,0.0,0.0,86.864998,86.864998,,378.265015,0.23,0.23,0.23,379.696014,0.23,0.23,0.23,
02/28/2005,373.861,,,-86.035,,287.826,,-152.444,,,,135.382,3.099,,0.0,,,0.0,,-3.099,138.481,-45.699,92.782,0.0,,,92.782,0.0,92.782,0.0,0.0,92.782,92.782,,378.403,0.25,0.25,0.25,379.814,0.24,0.24,0.24,
05/31/2005,379.022,,,-211.47,,167.552,,-24.725,,,,142.827,4.282,,0.0,,,0.0,,-4.282,147.109,-45.628,101.481,0.0,,,101.481,0.0,101.481,0.0,0.0,101.481,101.481,,378.569,0.27,0.27,0.27,379.831,0.27,0.27,0.27,
08/31/2005,403.715,,,-133.421,,270.294,,-107.474,107.474,,0.0,162.82,4.859,,0.0,,,0.0,,-4.859,167.679,-52.651,115.028,0.0,,,115.028,0.0,115.028,0.0,0.0,115.028,115.028,,378.81,0.3,0.3,0.3,380.18,0.3,0.3,0.3,
11/30/2005,399.815,,,-135.35,,264.465,,-105.86,105.86,,0.0,158.605,5.552,,0.0,,,0.0,,-5.552,164.157,-51.545,112.612,0.0,,,112.612,0.0,112.612,0.0,0.0,112.612,112.612,,379.268,0.3,0.3,0.3,381.256,0.3,0.3,0.3,
02/28/2006,430.586,,,-145.486,,285.1,,-124.5,124.5,,0.0,160.6,6.358,,0.0,,,0.0,,-6.358,166.958,-52.424,114.534,0.0,,,114.534,0.0,114.534,0.0,0.0,114.534,114.534,,379.68,0.3,0.3,0.3,381.751,0.3,0.3,0.3,
05/31/2006,440.48,,,-145.998,,294.482,,-126.936,,,,167.546,8.426,,0.0,,,0.0,,-8.426,175.972,-53.232,122.74,0.0,,,122.74,0.0,122.74,0.0,0.0,122.74,122.74,,380.092,0.32,0.32,0.32,382.207,0.32,0.32,0.32,
08/31/2006,459.374,,,-148.084,,311.29,,-124.936,124.936,,0.0,186.354,9.416,,0.0,,,0.0,,-9.416,195.77,-60.689,135.081,0.0,,,135.081,0.0,135.081,0.0,0.0,135.081,135.081,,380.36,0.36,0.36,0.36,381.876,0.35,0.35,0.35,
11/30/2006,454.955,,,-150.87,,304.085,,-121.757,121.757,,0.0,182.328,9.941,,0.0,,,0.0,,-9.941,192.269,-59.603,132.666,0.0,,,132.666,0.0,132.666,0.0,0.0,132.666,132.666,,380.747,0.35,0.35,0.35,382.433,0.35,0.35,0.35,
02/28/2007,485.287,,,-158.543,,326.744,,-153.76,153.76,,0.0,172.984,10.494,,0.0,,,0.0,,-10.494,183.478,-56.878,126.6,0.0,,,126.6,0.0,126.6,0.0,0.0,126.6,126.6,,381.475,0.33,0.33,0.35,383.335,0.33,0.33,0.35,
05/31/2007,487.348,,,-157.982,,329.366,,-169.484,,,,159.882,11.87,,0.0,,,0.0,,-11.87,171.752,-50.652,121.1,0.0,,,121.1,0.0,121.1,0.0,0.0,121.1,121.1,,382.02,0.31,0.31,0.31,383.57,0.31,0.31,0.31,
08/31/2007,507.13,,,-159.315,,347.815,0.0,-137.227,137.227,,0.0,210.588,12.237,,,,,,,-12.237,222.825,-71.75,151.075,0.0,,,151.075,0.0,151.075,0.0,0.0,151.075,151.075,0.0,380.539,0.4,0.4,0.4,382.255,0.4,0.4,0.4,
11/30/2007,507.793,,,-162.452,,345.341,0.0,-135.865,135.865,,0.0,209.476,7.503,,,,,,,-7.503,216.979,-69.867,147.112,,,,147.112,,147.112,0.0,0.0,147.112,147.112,0.0,369.914,0.4,0.4,0.4,371.404,0.4,0.4,0.4,
02/29/2008,532.172,,,-170.995,,361.177,0.0,-150.778,150.778,,0.0,210.399,3.597,,,,,,,-3.597,213.996,-71.522,142.474,0.0,,,142.474,0.0,142.474,0.0,0.0,142.474,142.474,0.0,361.178,0.39,0.39,0.39,361.77,0.39,0.39,0.39,
05/31/2008,519.228,,,-167.973,,351.255,0.0,-153.451,153.451,,0.0,197.804,3.211,,0.0,,,0.0,,-3.211,201.015,-65.531,135.484,0.0,,,135.484,0.0,135.484,0.0,0.0,135.484,135.484,,360.42,0.38,0.38,0.38,361.053,0.38,0.38,0.38,
08/31/2008,534.085,509.867,24.218,-168.468,168.468,365.617,0.0,-144.032,123.332,20.7,0.0,221.585,3.051,,,,,,,-3.051,224.636,-75.927,148.709,0.0,0.0,0.0,148.709,0.0,148.709,0.0,0.0,148.709,148.514,-0.195,360.629,0.41,0.41,0.411819,361.04,0.41,0.41,0.40946,
11/30/2008,524.16,504.383,19.777,-170.675,170.675,353.485,0.0,-141.585,120.585,21.0,0.0,211.9,1.932,,,,,,,-1.932,213.832,-73.59,140.242,0.0,0.0,0.0,140.242,0.0,140.242,0.0,0.0,140.242,139.97875,-0.26325,360.812,0.39,0.39,0.387955,360.977,0.39,0.39,0.387955,
02/28/2009,528.581,512.196,16.385,-174.503,174.503,354.078,0.0,-156.677,135.177,21.5,0.0,197.401,1.067,,,,,,,-1.067,198.468,-67.678,130.79,0.0,0.0,0.0,130.79,0.0,130.79,0.0,0.0,130.79,130.67755,-0.11245,360.821,0.36,0.36,0.362167,360.913,0.36,0.36,0.359688,
05/31/2009,495.933,480.859,15.074,-166.872,166.872,329.061,0.0,-154.747,132.147,22.6,0.0,174.314,0.825,,,,,,,-0.825,175.139,-61.335,113.804,0.0,0.0,0.0,113.804,0.0,113.804,0.0,0.0,113.804,113.674,-0.13,360.892,0.32,0.32,0.314981,361.034,0.32,0.32,0.314981,
08/31/2009,500.2,486.5,13.7,-163.3,163.3,336.9,0.0,-147.0,125.4,21.6,0.0,189.9,0.9,,,,,,,-0.9,190.8,-67.2,123.6,0.0,0.0,0.0,123.6,0.0,123.6,0.0,0.0,123.6,123.405,-0.195,361.2,0.34,0.34,0.341653,361.4,0.34,0.34,0.33946,
11/30/2009,496.6,483.0,13.6,-162.6,162.6,334.0,0.0,-140.9,119.2,21.7,0.0,193.1,1.1,,,,,,,-1.1,194.2,-68.4,125.8,0.0,0.0,0.0,125.8,0.0,125.8,0.0,0.0,125.8,125.345,-0.455,361.4,0.35,0.35,0.346832,361.7,0.35,0.35,0.346832,
02/28/2010,507.8,493.8,14.0,-164.5,164.5,343.3,0.0,-175.1,153.5,21.6,0.0,168.2,1.2,,,,,,,-1.2,169.4,-57.4,112.0,0.0,0.0,0.0,112.0,0.0,112.0,0.0,0.0,112.0,122.012,10.012,361.4,0.31,0.31,0.337609,361.9,0.31,0.31,0.337609,
05/31/2010,496.2,482.5,13.7,-163.1,163.1,333.1,0.0,-159.5,137.9,21.6,0.0,173.6,1.3,,,,,,,-1.3,174.9,-59.4,115.5,0.0,0.0,0.0,115.5,0.0,115.5,0.0,0.0,115.5,114.915,-0.585,361.5,0.32,0.32,0.317884,362.0,0.32,0.32,0.317884,
08/31/2010,518.3,506.2,12.1,-160.2,160.2,358.1,0.0,-157.3,136.4,20.9,0.0,200.8,1.4,,,,,,,-1.4,202.2,-70.3,131.9,0.0,0.0,0.0,131.9,0.0,131.9,0.0,0.0,131.9,131.835,-0.065,361.6,0.36,0.36,0.364588,362.0,0.36,0.36,0.35982,
11/30/2010,512.0,500.0,12.0,-159.0,159.0,353.0,0.0,-149.1,128.5,20.6,0.0,203.9,1.5,,,,,,,-1.5,205.4,-71.5,133.9,0.0,0.0,0.0,133.9,0.0,133.9,0.0,0.0,133.9,133.77,-0.13,361.7,0.37,0.37,0.369837,362.1,0.37,0.37,0.369641,
02/28/2011,531.3,519.6,11.7,-166.6,166.6,364.7,0.0,-165.8,143.0,22.8,0.0,198.9,1.5,,,,,,,-1.5,200.4,-69.8,130.6,0.0,0.0,0.0,130.6,0.0,130.6,0.0,0.0,130.6,130.535,-0.065,361.8,0.36,0.36,0.360793,362.6,0.36,0.36,0.359821,
