Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
09/30/1998,687.0,432.0,58.0,0.0,,0.0,197.0,,,,197.0,,-135.0,-100.0,0.0,,,-100.0,,,0.0,0.0,0.0,,,,,-35.0,-322.0,-163.0,-177.0,,,-24.0,0.0,-24.0,42.0,,230.0,,
12/31/1998,498.0,419.0,66.0,0.0,,0.0,13.0,,,,13.0,,-375.0,-162.0,0.0,,,-162.0,,,0.0,0.0,0.0,,,,,-213.0,199.0,-162.0,372.0,,,-32.0,0.0,-32.0,21.0,,322.0,,
03/31/1999,129.0,539.0,72.0,0.0,,0.0,-482.0,,,,-482.0,,72.0,-79.0,0.0,,,-79.0,,,0.0,0.0,0.0,,,,,151.0,36.0,-163.0,284.0,,,-153.0,0.0,-153.0,68.0,,237.0,,
06/30/1999,638.0,547.0,49.0,0.0,,0.0,42.0,,,,42.0,,-319.0,-122.0,0.0,,,-122.0,,,0.0,0.0,0.0,,,,,-197.0,-292.0,-184.0,-80.0,,,42.0,314.0,-272.0,-70.0,,27.0,,
09/30/1999,557.0,518.0,72.0,0.0,,0.0,-33.0,,,,-33.0,,-173.0,-137.0,0.0,,,-137.0,,,0.0,0.0,0.0,,,,,-36.0,-242.0,-185.0,-52.0,,,-5.0,45.0,-50.0,0.0,,142.0,,
12/31/1999,569.0,506.0,71.0,0.0,,0.0,-8.0,,,,-8.0,,-243.0,-205.0,0.0,,,-205.0,,,0.0,0.0,0.0,,,,,-38.0,-113.0,-184.0,33.0,,,-29.0,0.0,-29.0,67.0,,213.0,,
03/31/2000,636.0,628.0,76.0,0.0,,0.0,-68.0,,,,-68.0,,-139.0,-100.0,0.0,,,-100.0,,,0.0,0.0,0.0,,,,,-39.0,-601.0,-184.0,-73.0,,,-355.0,0.0,-355.0,11.0,,-104.0,,
06/30/2000,460.0,634.0,72.0,0.0,,0.0,-246.0,,,,-246.0,,-196.0,-152.0,0.0,,,-152.0,,,0.0,0.0,0.0,,,,,-44.0,3.0,-206.0,212.0,,,-90.0,0.0,-90.0,87.0,,267.0,,
09/30/2000,903.0,591.0,76.0,0.0,,0.0,236.0,-214.0,-3.0,,453.0,,-202.0,-184.0,0.0,,,-184.0,,,0.0,0.0,0.0,,,,,-18.0,-559.0,-206.0,-140.0,,,-199.0,0.0,-199.0,-14.0,,142.0,,
12/31/2000,512.0,571.0,75.0,0.0,,0.0,-134.0,,,,-134.0,,-311.0,-327.0,0.0,,,-327.0,,,0.0,0.0,0.0,,,,,16.0,15.0,-206.0,387.0,,,-211.0,0.0,-211.0,45.0,,216.0,,
03/31/2001,482.0,564.0,84.0,0.0,,0.0,-166.0,-73.0,-49.0,,-44.0,,-158.0,-129.0,0.0,,,-129.0,,,0.0,0.0,0.0,,,,,-29.0,-247.0,-205.0,-17.0,,,-34.0,0.0,-34.0,9.0,,77.0,,
06/30/2001,569.0,634.0,75.0,0.0,,0.0,-140.0,,,,-140.0,,-165.0,-172.0,0.0,,,-172.0,,,0.0,0.0,0.0,,,,,7.0,-318.0,-236.0,-93.0,,,0.0,0.0,0.0,11.0,,86.0,,
09/30/2001,702.0,601.0,93.0,0.0,,0.0,8.0,,,,8.0,,-220.0,-197.0,0.0,,,-197.0,,,0.0,0.0,0.0,,,,,-23.0,-388.0,-235.0,-163.0,,,0.0,0.0,0.0,10.0,,94.0,,
12/31/2001,759.0,143.0,68.0,0.0,,0.0,548.0,,,,548.0,,-320.0,-261.0,0.0,,,-261.0,,,0.0,0.0,0.0,,,,,-59.0,-377.0,-235.0,-138.0,,,0.0,0.0,0.0,-4.0,,62.0,,
03/31/2002,509.0,600.0,88.0,0.0,,0.0,-179.0,-345.0,-81.0,,247.0,,-351.0,-148.0,0.0,,,-148.0,,,0.0,0.0,0.0,,,,,-203.0,-74.0,-235.0,160.0,,,0.0,0.0,0.0,1.0,,84.0,,
06/30/2002,361.0,633.0,92.0,0.0,,0.0,-364.0,,,,-364.0,,150.0,-173.0,0.0,,,-173.0,,,0.0,0.0,0.0,,,,,323.0,-151.0,-251.0,93.0,,,0.0,0.0,0.0,7.0,,360.0,,
09/30/2002,614.0,429.0,99.0,0.0,,0.0,86.0,,,,86.0,,-459.0,-202.0,0.0,,,-202.0,,,0.0,0.0,0.0,,,,,-257.0,-5.0,-250.0,252.0,,,0.0,0.0,0.0,-7.0,,150.0,,
12/31/2002,496.0,313.0,93.0,0.0,,0.0,90.0,,,,90.0,,-308.0,-247.0,0.0,,,-247.0,,,0.0,0.0,0.0,,,,,-61.0,23.0,-247.0,265.0,,,0.0,0.0,0.0,5.0,,211.0,,
03/31/2003,441.0,173.0,95.0,0.0,,0.0,173.0,,,,173.0,,-178.0,-119.0,0.0,,,-119.0,,,0.0,0.0,0.0,,,,,-59.0,-444.0,-251.0,-197.0,,,0.0,0.0,0.0,4.0,,-181.0,,
06/30/2003,-12.0,182.0,98.0,0.0,,0.0,-292.0,,,,-292.0,,-105.0,-163.0,0.0,,,-163.0,,,0.0,0.0,0.0,,,,,58.0,409.0,-249.0,653.0,,,0.0,0.0,0.0,5.0,,292.0,,
09/30/2003,-54.0,-265.0,104.0,0.0,,0.0,107.0,,,,107.0,,-351.0,-180.0,0.0,,,-180.0,,,0.0,0.0,0.0,,,,,-171.0,432.0,-250.0,680.0,,,0.0,0.0,0.0,2.0,,27.0,,
12/31/2003,226.0,-181.0,120.0,0.0,,0.0,287.0,,,,287.0,,-156.0,-239.0,0.0,,,-239.0,,,0.0,0.0,0.0,,,,,83.0,489.0,-80.0,834.0,,,0.0,0.0,0.0,-265.0,,559.0,,
03/31/2004,229.0,-73.0,110.0,446.0,,446.0,-254.0,-214.0,23.0,,-63.0,,-222.0,-100.0,2.0,,,-102.0,,,0.0,0.0,0.0,,,,,-122.0,-293.0,-81.0,-219.0,,,0.0,0.0,0.0,7.0,,-286.0,,
06/30/2004,104.0,-65.0,107.0,4.0,,4.0,58.0,-23.0,61.0,,20.0,,-245.0,-125.0,0.0,,,-125.0,,,0.0,0.0,0.0,,,,,-120.0,364.0,-81.0,503.0,,,0.0,0.0,0.0,-58.0,,223.0,,
09/30/2004,-324.0,26.0,108.0,-643.0,,-643.0,185.0,201.0,19.0,,-35.0,,-11.0,-72.0,0.0,,,-72.0,,,0.0,0.0,0.0,,,,,61.0,865.0,-81.0,-457.0,,,1394.0,1394.0,0.0,9.0,,530.0,4.0,
12/31/2004,-163.0,-834.0,128.0,-142.0,,-142.0,685.0,29.0,-11.0,,667.0,,-143.0,-185.0,5.0,,,-190.0,,,0.0,0.0,0.0,,,,,42.0,605.0,-111.0,701.0,,,0.0,0.0,0.0,15.0,,299.0,,
03/31/2005,200.0,127.0,118.0,27.0,,27.0,-72.0,-337.0,82.0,,183.0,,-2.0,-50.0,33.0,,,-83.0,,,0.0,0.0,0.0,,,,,48.0,-1270.0,-103.0,-1169.0,,,0.0,0.0,0.0,2.0,,-1072.0,,
06/30/2005,295.0,-48.0,121.0,240.0,,240.0,-18.0,-41.0,-44.0,,67.0,,34.0,-99.0,5.0,,,-104.0,,,0.0,0.0,0.0,,,,,133.0,-107.0,-102.0,-19.0,,,0.0,0.0,0.0,14.0,,222.0,,
09/30/2005,51.0,65.0,123.0,-238.0,,-238.0,101.0,34.0,-99.0,,166.0,,106.0,-103.0,3.0,,,-106.0,,,0.0,0.0,0.0,,,,,209.0,-97.0,-103.0,-20.0,,,0.0,0.0,0.0,26.0,,60.0,,
12/31/2005,336.0,126.0,124.0,53.0,,53.0,33.0,135.0,-31.0,,-71.0,,-592.0,-183.0,2.0,,,-185.0,,,0.0,0.0,0.0,,,,,-409.0,829.0,-102.0,925.0,,,0.0,0.0,0.0,6.0,,573.0,,
03/31/2006,168.0,372.0,118.0,12.0,,12.0,-334.0,-251.0,-17.0,,-66.0,,-1785.0,-62.0,2.0,,,-64.0,,,0.0,0.0,0.0,,,,,-1723.0,-567.0,-103.0,-489.0,,,0.0,0.0,0.0,25.0,,-2184.0,,
06/30/2006,642.0,259.0,133.0,114.0,,114.0,136.0,-81.0,30.0,,187.0,,-924.0,-122.0,6.0,,,-128.0,,,0.0,0.0,0.0,,,,,-802.0,-459.0,-102.0,-360.0,,,0.0,0.0,0.0,3.0,,-741.0,,
09/30/2006,705.0,309.0,157.0,38.0,,38.0,201.0,144.0,-71.0,,128.0,,295.0,-73.0,0.0,,,-73.0,,,0.0,0.0,0.0,,,,,368.0,-268.0,-103.0,-191.0,,,0.0,0.0,0.0,26.0,,732.0,,
12/31/2006,646.0,204.0,160.0,46.0,,46.0,236.0,-53.0,33.0,,256.0,,-494.0,-192.0,1.0,,,-193.0,,,0.0,0.0,0.0,,,,,-302.0,-60.0,-104.0,5.0,,,86.0,86.0,0.0,-47.0,,92.0,,
03/31/2007,-248.0,565.0,119.0,-346.0,,-346.0,-586.0,-233.0,74.0,,-427.0,,113.0,-139.0,0.0,,,-139.0,,,0.0,0.0,0.0,,,,,252.0,-46.0,-104.0,4.0,,,52.0,52.0,0.0,2.0,,-181.0,,
06/30/2007,876.0,539.0,124.0,26.0,,26.0,187.0,-60.0,-90.0,,337.0,,4550.0,-135.0,1.0,,,-136.0,,,0.0,0.0,0.0,,,,,4685.0,7.0,-118.0,-14.0,,,125.0,125.0,0.0,14.0,,5433.0,,
09/30/2007,620.0,750.0,127.0,-348.0,,-348.0,91.0,187.0,-32.0,,-64.0,,-2026.0,-137.0,,,,-137.0,,,0.0,0.0,0.0,,,,,-1889.0,5854.0,-115.0,1977.0,,,3997.0,3997.0,0.0,-5.0,,4448.0,,
12/31/2007,1382.0,-3327.0,491.0,4105.0,,4105.0,113.0,127.0,-84.0,,70.0,,-15793.0,-205.0,1.0,,,-206.0,,,0.0,0.0,0.0,,,,,-15588.0,4324.0,-144.0,4434.0,,,26.0,26.0,0.0,8.0,,-10087.0,,
03/31/2008,462.0,314.0,876.0,-394.0,60.0,-454.0,-334.0,-383.0,-138.0,109.0,78.0,,-123.0,-148.0,27.0,,,-175.0,,,0.0,0.0,0.0,,,,,25.0,-164.0,-143.0,-36.0,,,2.0,2.0,0.0,13.0,,175.0,,
06/30/2008,922.0,462.0,543.0,137.0,58.0,79.0,-220.0,-24.0,26.0,-130.0,-92.0,,-206.0,-191.0,4.0,,,-195.0,,,0.0,0.0,0.0,,,,,-15.0,-465.0,-143.0,-329.0,,,2.0,2.0,0.0,5.0,,251.0,,
09/30/2008,1191.0,614.0,394.0,-98.0,,-98.0,281.0,275.0,-23.0,,29.0,,85.0,-170.0,2.0,,,-172.0,,,0.0,0.0,0.0,,,,,255.0,-822.0,-144.0,-633.0,,,11.0,11.0,0.0,-56.0,,454.0,,
12/31/2008,789.0,588.0,362.0,61.0,,61.0,-222.0,49.0,-127.0,,-144.0,,-288.0,-194.0,11.0,,,-205.0,,,0.0,0.0,0.0,,,,,-94.0,-287.0,-142.0,-100.0,,,0.0,0.0,0.0,-45.0,,214.0,,
03/31/2009,556.0,805.0,296.0,-149.0,48.0,-197.0,-396.0,-292.0,-239.0,88.0,47.0,0.0,-861.0,-160.0,1.0,1.0,0.0,-161.0,-161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.0,-181.0,-144.0,-73.0,-2.0,-71.0,36.0,36.0,0.0,0.0,-42.0,-528.0,,
06/30/2009,1026.0,671.0,286.0,60.0,33.0,27.0,9.0,-11.0,-38.0,1.0,57.0,0.0,-860.0,-169.0,3.0,3.0,0.0,-172.0,-172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-691.0,-111.0,-143.0,-6.0,-6.0,0.0,38.0,38.0,0.0,0.0,89.0,144.0,,
09/30/2009,1042.0,515.0,347.0,-47.0,54.0,-101.0,227.0,124.0,148.0,-61.0,16.0,0.0,412.0,-145.0,44.0,44.0,0.0,-189.0,-189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,-165.0,-144.0,-114.0,-114.0,0.0,93.0,93.0,0.0,0.0,34.0,1323.0,,
12/31/2009,,6524.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
