Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/30/1991,16664,588,588,0.0,,,,8682.0,,,,,828.0,,,,,10098,4966,,,0.0,1600,,,,1600,6566,,3039,3039,,,,1260,,,,,1544,,,,1544,5843,3554,,,,741,,,741,4295,10138,986,842,,,-131.0,,4829,6526,0,6526,16664,
01/29/1992,15999,565,565,0.0,,,,7546.0,,,,,879.0,,,,,8990,5265,9559.0,-4294.0,0.0,1744,,,,1744,7009,,2722,2722,,,,39,,,,,1547,,,,1547,4308,3925,,,,875,,,875,4800,9108,986,866,,,-130.0,,5169,6891,0,6891,15999,
04/29/1992,17063,511,511,0.0,,,,8585.0,,,,,905.0,,,,,10001,5382,,,0.0,1680,,,,1680,7062,,2939,2939,,,,842,,,,,1573,,,,1573,5354,3922,,,,863,,,863,4785,10139,986,894,,,-129.0,,5173,6924,0,6924,17063,
07/29/1992,17536,586,586,0.0,,,,8330.0,,,,,1098.0,,,,,10014,5785,,,0.0,1737,,,,1737,7522,,2580,2580,,,,1281,,,,,1588,,,,1588,5449,4203,,,,900,,,900,5103,10552,986,904,,,-125.0,,5219,6984,0,6984,17536,
10/28/1992,19477,553,553,0.0,,,,9638.0,,,,,1377.0,,,,,11568,6137,,,0.0,1772,,,,1772,7909,,3448,3448,,,,1990,,,,,1743,,,,1743,7181,4444,,,,861,,,861,5305,12486,986,912,,,,,5093,6991,0,6991,19477,
01/27/1993,18931,611,611,0.0,,,,8752.0,,,,,1146.0,,,,,10509,6405,11029.0,-4624.0,0.0,2017,,,,2017,8422,,2959,2959,,,,707,,,,,1829,,,,1829,5495,4935,,,,965,,,965,5900,11395,1143,922,,,-122.0,,5593,7536,0,7536,18931,
04/28/1993,20090,416,416,0.0,,,,9747.0,,,,,1236.0,,,,,11399,6528,,,0.0,2163,,,,2163,8691,,3142,3142,,,,1937,,,,,1727,,,,1727,6806,4803,,,,1017,,,1017,5820,12626,1143,934,,,-119.0,,5506,7464,0,7464,20090,
07/28/1993,20189,550,550,0.0,,,,9437.0,,,,,1290.0,,,,,11277,6774,,,0.0,2138,,,,2138,8912,,3173,3173,,,,2013,,,,,1698,,,,1698,6884,4855,,,,1026,,,1026,5881,12765,1143,940,,,-115.0,,5456,7424,0,7424,20189,
10/27/1993,21604,534,534,0.0,1571.0,,,10517.0,,,,,0.0,,,,,12622,6808,,,0.0,2174,,,,2174,8982,,3857,3857,,,,3109,,,,,1738,,,,1738,8704,4489,,,,1013,,,1013,5502,14206,1143,948,,,-111.0,,5418,7398,0,7398,21604,
01/26/1994,17504,449,449,0.0,,,,7252.0,,,,,2146.0,,,,,9847,5886,10862.0,-4976.0,0.0,1771,,,,1771,7657,,2763,2763,,,,1308,,,,,1653,,,,1653,5724,3947,,,,1740,,,1740,5687,11411,1143,955,,,-109.0,,4104,6093,0,6093,17504,
04/27/1994,17963,650,650,0.0,,,,7815.0,,,,,1830.0,,,,,10295,5972,,,0.0,1696,,,,1696,7668,,3097,3097,,,,1532,,,,,1624,,,,1624,6253,3988,,,,1712,,,1712,5700,11953,1143,958,,,-105.0,,4014,6010,0,6010,17963,
07/31/1994,18522,318,318,0.0,,,,8328.0,,,,,2079.0,,,,,10725,6174,,,0.0,1623,,,,1623,7797,,3541,3541,,,,1814,,,,,1627,,,,1627,6982,3833,,,,1696,,,1696,5529,12511,1143,960,,,-95.0,,4003,6011,0,6011,18522,
10/26/1994,20285,375,375,0.0,1680.0,,,9549.0,,,,,611.0,,,,,12215,6399,,,0.0,1671,,,,1671,8070,,3512,3512,,,,3549,,,,,1782,,,,1782,8843,3887,,,,1596,,,1596,5483,14326,157,1947,,,-88.0,,3943,5959,0,5959,20285,
01/25/1995,16642,353,321,32.0,,,,6853.0,,,,,1659.0,,,,,8865,6011,10945.0,-4934.0,0.0,1766,,,,1766,7777,,2638,2638,,,,983,,,,,1682,,,,1682,5303,3780,,,,1527,,,1527,5307,10610,132,1970,,,-86.0,,4016,6032,0,6032,16642,
04/26/1995,17312,379,338,41.0,1583.0,,,7840.0,,,,,0.0,,,,,9802,6251,,,0.0,1259,,,,1259,7510,,3357,3357,,,,1378,,,,,1536,,,,1536,6271,3719,,,,1367,,,1367,5086,11357,131,1973,,,-86.0,,3937,5955,0,5955,17312,
07/26/1995,15808,293,265,28.0,,,,7371.0,,,,,1494.0,,,,,9158,5934,,,0.0,716,,,,716,6650,,2865,2865,,,,875,,,,,1309,,,,1309,5049,3681,,,,1232,,,1232,4913,9962,131,1980,,,-86.0,,3821,5846,0,5846,15808,
10/25/1995,17087,470,470,0.0,1695.0,,,8409.0,,,,,,,,,,10574,5900,,,0.0,613,,,,613,6513,,3206,3206,,,,1953,,,,,1350,,,,1350,6509,3658,,,,1202,,,1202,4860,11369,131,1979,,,-86.0,,3694,5718,0,5718,17087,
01/31/1996,15033,1083,1083,0.0,,,,6022.0,,,,,1448.0,,,,,8553,5365,10116.0,-4751.0,0.0,1115,,,,1115,6480,,1793,1793,,,,7,,,,,1195,,,,1195,2995,5508,,,,1250,,,1250,6758,9753,0,2110,,,-92.0,,3262,5280,0,5280,15033,
05/01/1996,15792,1544,1544,0.0,0.0,,,6667.0,,,,,1529.0,,,,,9740,5156,,,0.0,896,,,,896,6052,,2438,2438,,,,248,,,,,1338,,,,1338,4024,5219,,,,1352,,,1352,6571,10595,0,2097,,,-59.0,,3159,5197,0,5197,15792,
07/31/1996,15520,437,437,0.0,0.0,,,6753.0,,,,,1895.0,,,,,9085,5079,,,0.0,1356,,,,1356,6435,,2035,2035,,,,124,,,,,1317,,,,1317,3476,4572,,,,1254,,,1254,5826,9302,980,2098,,,-53.0,,3193,6218,0,6218,15520,
10/30/1996,16795,459,459,0.0,0.0,,,8050.0,,,,,1988.0,,,,,10497,4972,,,0.0,1326,,,,1326,6298,,2841,2841,,,,155,,,,,1312,,,,1312,4308,5069,,,,1139,,,1139,6208,10516,980,2097,,,-45.0,,3247,6279,0,6279,16795,
01/29/1997,14286,406,406,0.0,,,,6354.0,,,,,973.0,,,,,7733,5740,10768.0,-5028.0,0.0,813,,,,813,6553,,2009,2009,,,,156,,,,,1437,,,,1437,3602,3599,,,,1013,,,1013,4612,8214,980,2094,,,-37.0,,3035,6072,0,6072,14286,
04/30/1997,14891,316,316,0.0,0.0,,,7263.0,,,,,955.0,,,,,8534,5667,,,0.0,690,,,,690,6357,,2949,2949,,,,104,,,,,1444,,,,1444,4497,3289,,,,960,,,960,4249,8746,980,2102,,,-26.0,,3089,6145,0,6145,14891,
07/30/1997,14360,253,253,0.0,0.0,,,6819.0,,,,,955.0,,,,,8027,5538,8819.0,-3281.0,0.0,795,,,,795,6333,,2099,2099,,,,109,,,,,1440,,,,1440,3648,3580,,,,922,,,922,4502,8150,980,2113,,,-30.0,,3147,6210,0,6210,14360,
10/29/1997,15131,280,280,0.0,0.0,,,7793.0,,,,,1111.0,,,,,9184,5442,8842.0,-3400.0,0.0,505,,,,505,5947,,2920,2920,,,,76,,,,,1267,,,,1267,4263,3709,,,,921,,,921,4630,8893,979,2119,,,-25.0,,3165,6238,0,6238,15131,
01/28/1998,13558,498,498,0.0,0.0,,,6367.0,,,,,611.0,,,,,7476,5472,10131.0,-4659.0,0.0,610,,,,610,6082,,1923,1923,,,,78,,,,,1273,,,,1273,3274,2904,,,,965,,,965,3869,7143,981,2109,,,-15.0,,3340,6415,0,6415,13558,
04/29/1998,14251,733,733,0.0,0.0,,,6884.0,,,,,643.0,,,,,8260,5558,9091.0,-3533.0,0.0,433,,,,433,5991,,2589,2589,,,,77,,,,,1261,,,,1261,3927,2854,1696.0,1158.0,1158.0,968,,,968,3822,7749,982,2133,,,0.0,,3387,6502,0,6502,14251,
07/29/1998,14126,556,556,0.0,0.0,,,6808.0,,,,,673.0,,,,,8037,5642,9294.0,-3652.0,0.0,447,,,,447,6089,,2334,2334,,,,51,,,,,1440,,,,1440,3825,2772,1636.0,1136.0,1136.0,927,,,927,3699,7524,983,2152,,,0.0,,3467,6602,0,6602,14126,
10/28/1998,15549,350,350,0.0,0.0,,,8060.0,,,8060.0,,844.0,,,,,9254,5852,9609.0,-3757.0,0.0,443,,,,443,6295,,3019,3019,,,,60,,,,,1482,,,,1482,4561,3427,2313.0,1114.0,1114.0,928,,,928,4355,8916,983,2147,,,0.0,,3503,6633,0,6633,15549,
01/27/1999,14166,710,710,0.0,0.0,,,6536.0,0.0,0.0,6536.0,,584.0,,,,,7830,5914,10778.0,-4864.0,0.0,422,0.0,,,422,6336,,2047,2047,,,,77,-194.0,271.0,271.0,,1567,,,,1567,3691,2629,-157.0,2786.0,2786.0,883,,,883,3512,7203,984,2160,,,0.0,,3819,6963,0,6963,14166,
04/28/1999,15127,619,619,0.0,0.0,,,7445.0,0.0,0.0,7445.0,0.0,657.0,,,,,8721,5965,10988.0,-5023.0,0.0,441,0.0,,,441,6406,,3040,3040,,,,77,,,,,1488,,,,1488,4605,2602,,,,866,,,866,3468,8073,985,2183,,,0.0,,3886,7054,0,7054,15127,
07/28/1999,14634,299,299,0.0,0.0,,,7061.0,0.0,0.0,7061.0,0.0,622.0,,,,,7982,6114,11316.0,-5202.0,0.0,538,0.0,,,538,6652,,2353,2353,,,,81,,,,,1555,,,,1555,3989,2578,,,,1122,,,1122,3700,7689,985,2170,,,0.0,,3790,6945,0,6945,14634,
10/27/1999,16498,345,345,0.0,0.0,,,8486.0,0.0,0.0,8486.0,0.0,865.0,,,,,9696,6313,11691.0,-5378.0,0.0,489,0.0,,,489,6802,,3119,3119,,,,74,,,,,1576,,,,1576,4769,3761,,,,1057,,,1057,4818,9587,1000,2094,,,0.0,,3817,6911,0,6911,16498,
01/26/2000,15104,344,344,0.0,0.0,,,7101.0,0.0,0.0,7101.0,0.0,715.0,,,,,8160,6410,11554.0,-5144.0,0.0,534,0.0,0.0,0.0,534,6944,,2204,2204,,,,66,,,,,1806,,,,1806,4076,2773,1759.0,1014.0,1014.0,965,,,965,3738,7814,986,2036,,,0.0,,4268,7290,0,7290,15104,
04/26/2000,15148,350,350,0.0,0.0,,,7290.0,0.0,0.0,7290.0,0.0,735.0,,,,,8375,6356,11686.0,-5330.0,0.0,417,,,,417,6773,,2575,2575,,,,67,,,,,1548,,,,1548,4190,2839,1844.0,995.0,995.0,907,,,907,3746,7936,891,2035,,,0.0,,4286,7212,0,7212,15148,
07/26/2000,14529,333,333,0.0,0.0,,,6586.0,0.0,0.0,6586.0,0.0,862.0,,,,,7781,6351,11851.0,-5500.0,0.0,397,,,,397,6748,,2488,2488,,,,38,,,,,1521,,,,1521,4047,2717,1742.0,975.0,975.0,1004,,,1004,3721,7768,891,2031,,,0.0,,3839,6761,0,6761,14529,
10/25/2000,16141,285,285,0.0,0.0,,,7878.0,0.0,0.0,7878.0,0.0,1066.0,,,,,9229,6481,12162.0,-5681.0,0.0,431,,,,431,6912,,2770,2770,,,,495,,,,,1668,,,,1668,4933,3591,2635.0,956.0,956.0,911,,,911,4502,9435,898,2050,,,0.0,,3758,6706,0,6706,16141,
01/31/2001,14832,401,401,0.0,0.0,,,6412.0,0.0,0.0,6412.0,0.0,939.0,,,,,7752,6557,11942.0,-5385.0,0.0,523,,0.0,,523,7080,,2159,2159,,,,68,-17.0,85.0,85.0,,1774,,,,1774,4001,3027,2084.0,943.0,943.0,834,,,834,3861,7862,887,2065,,,0.0,4018.0,0,6970,0,6970,14832,
05/02/2001,15637,415,415,0.0,0.0,,,7363.0,0.0,0.0,7363.0,0.0,726.0,,,,,8504,6660,,,0.0,473,,,,473,7133,,2668,2668,,,,315,,,,,1694,,,,1694,4677,3370,2448.0,922.0,922.0,828,,,828,4198,8875,887,2089,,,0.0,,3786,6762,0,6762,15637,
08/01/2001,15349,420,420,0.0,0.0,,,6869.0,0.0,0.0,6869.0,0.0,885.0,,,,,8174,6836,,,0.0,339,,,,339,7175,,2295,2295,,,,116,,,,,1438,,,,1438,3849,3882,2980.0,902.0,902.0,666,,,666,4548,8397,887,2167,,,0.0,,3898,6952,0,6952,15349,
10/31/2001,17007,366,366,0.0,0.0,,,8318.0,0.0,0.0,8318.0,0.0,872.0,,,,,9556,6968,,,0.0,483,,,,483,7451,,3273,3273,,,,478,,,,,1709,,,,1709,5460,4191,3310.0,881.0,881.0,612,,,612,4803,10263,898,2180,,,0.0,,3666,6744,0,6744,17007,
01/30/2002,14183,1245,1245,0.0,541.0,,,5796.0,0.0,0.0,5796.0,0.0,259.0,,,,,7841,6093,12241.0,-6148.0,0.0,249,,0.0,,249,6342,,89,89,,,,0,,,,,563,,,,563,652,1187,330.0,857.0,857.0,8225,,,8225,9412,10064,889,2198,,,0.0,,1032,4119,0,4119,14183,
05/01/2002,14004,1829,1829,0.0,0.0,,,5284.0,0.0,0.0,5284.0,0.0,624.0,,,,,7737,6044,,,0.0,223,,,,223,6267,,1680,1680,,,,0,,,,,875,,,,875,2555,694,0.0,694.0,694.0,7854,,,7854,8548,11103,889,2200,,,0.0,,-188,2901,0,2901,14004,
07/31/2002,13018,1003,1003,0.0,0.0,,,5284.0,0.0,0.0,5284.0,0.0,618.0,,,,,6905,5866,,,0.0,247,,,,247,6113,,1438,1438,,,,0,0.0,0.0,0.0,,897,,,,897,2335,682,0.0,682.0,682.0,7620,,,7620,8302,10637,889,2197,,,0.0,-705.0,0,2381,0,2381,13018,
10/30/2002,13392,381,381,0.0,0.0,,,6330.0,0.0,0.0,6330.0,0.0,687.0,,,,,7398,5764,,,0.0,230,,,,230,5994,,1825,1825,,,,0,,,,,997,,,,997,2822,1235,575.0,660.0,660.0,7337,,,7337,8572,11394,874,2212,,,0.0,-1088.0,0,1998,0,1998,13392,
01/29/2003,11238,613,613,0.0,473.0,473.0,,4825.0,0.0,0.0,4825.0,0.0,191.0,,,,,6102,4892,,,0.0,244,,,,244,5136,,1248,1248,,,,0,,,,,872,,,,872,2120,623,0.0,623.0,623.0,8150,,,8150,8773,10893,646,2441,,,0.0,-1835.0,-907,345,0,345,11238,
04/30/2003,6660,1232,1232,0.0,382.0,,,4431.0,0.0,0.0,4431.0,0.0,509.0,,,,,6554,10,,,0.0,96,,,,96,106,,1160,1160,,,,8,8.0,0.0,0.0,,1595,,,,1595,2763,1328,913.0,415.0,415.0,825,,,825,2153,4916,0,1744,,,0.0,0.0,0,1744,0,1744,6660,
07/30/2003,5955,1200,1200,0.0,305.0,,,4063.0,0.0,0.0,4063.0,0.0,254.0,,,,,5822,43,,,0.0,90,,,,90,133,,1083,1083,,,,66,66.0,0.0,0.0,,969,,,,969,2118,1647,912.0,735.0,735.0,482,,,482,2129,4247,0,1713,,,0.0,-5.0,0,1708,0,1708,5955,
10/29/2003,6117,941,941,0.0,348.0,,,4404.0,0.0,0.0,4404.0,0.0,204.0,,,,,5897,115,,,0.0,105,,,,105,220,,1203,1203,,,,25,,,,,1041,,,,1041,2269,1310,891.0,419.0,419.0,808,,,808,2118,4387,0,1767,,,-1.0,-36.0,0,1730,0,1730,6117,
01/28/2004,6074,2088,2088,0.0,301.0,301.0,,3238.0,0.0,0.0,3238.0,0.0,184.0,,,,,5811,153,159.0,-6.0,0.0,110,,,,110,263,,820,820,,,,4,-43.0,47.0,47.0,,952,,,,952,1776,1323,949.0,374.0,374.0,766,,,766,2089,3865,0,1975,,,-1.0,234.0,1,2209,0,2209,6074,
04/28/2004,6303,2228,2228,0.0,237.0,,,3394.0,0.0,0.0,3394.0,0.0,169.0,,,,,6028,190,,,0.0,85,0.0,0.0,0.0,85,275,,985,985,,,,4,,,,,936,,,,936,1925,1314,954.0,360.0,360.0,764,,,764,2078,4003,0,1976,,,-1.0,325.0,0,2300,0,2300,6303,
07/28/2004,6616,2626,2626,0.0,225.0,,,3212.0,0.0,0.0,3212.0,0.0,116.0,,,,,6179,240,,,0.0,197,0.0,0.0,0.0,197,437,,847,847,,,,51,,,,,1122,,,,1122,2020,415,-236.0,651.0,651.0,1630,,,1630,2045,4065,1,2072,,,-1.0,479.0,0,2551,0,2551,6616,
10/27/2004,7665,2564,2564,0.0,649.0,,,3902.000244,0.0,0.0,3902.000244,0.0,195.0,,,,,7310,288,,,0.0,67,,,,67,355,,1264,1264,,,,4,,,,,1053,,,,1053,2321,1242,954.0,288.0,288.0,1030,,,1030,2272,4593,0,2077,,,-36.0,1031.0,0,3072,0,3072,7665,
01/26/2005,8651,3435,3435,0.0,646.0,646.0,,3281.0,0.0,0.0,3281.0,0.0,179.0,,,,,7541,315,347.0,-32.0,0.0,795,,,,795,1110,,1092,1092,,,,4,-37.0,41.0,41.0,,990,,,,990,2086,367,91.0,276.0,276.0,1729,,,1729,2096,4182,0,3292,,,-86.0,1340.0,-77,4469,0,4469,8651,
04/30/2005,30896,1882,1882,0.0,638.0,638.0,,9476.0,0.0,0.0,9476.0,0.0,2206.0,,,,,14202,10141,,,0.0,6553,5923.0,2057.0,3866.0,630,16694,,3660,3660,,,,994,,,,,5573,,,,5573,10227,3438,,,,2607,,,2607,6045,16272,0,9909,,,-6.0,1331.0,-73,11161,3463,14624,30896,
07/30/2005,30518,2138,2138,0.0,663.0,663.0,,8953.0,0.0,0.0,8953.0,0.0,2245.0,,,,,13999,10084,,,0.0,6435,5950.0,1911.0,4039.0,485,16519,,3460,3460,,,,822,,,,,5275,,,,5275,9557,3333,,,,2614,,,2614,5947,15504,0,9925,,,-26.0,1492.0,-90,11301,3713,15014,30518,
10/29/2005,30740,922,922,0.0,724.0,724.0,,10750.0,0.0,0.0,10750.0,0.0,2625.0,,,,,15021,9944,,,0.0,5775,5379.0,1731.0,3648.0,396,15719,,4314,4314,,,,796,,,,,5891,,,,5891,11001,3264,,,,2161,,,2161,5425,16426,0,9935,,,-465.0,1550.0,-75,10945,3369,14314,30740,
01/28/2006,30573,4440,4440,,811.0,811.0,,9068.0,,,9068.0,,888.0,,,,,15207,9823,10701.0,-878.0,,5543,5132.0,1684.0,3448.0,411,15366,,3458,3458,,,,748,670.0,78.0,78.0,,6144,,,,6144,10350,3268,2482.0,786.0,786.0,2421,,,2421,5689,16039,0,10260,,,-642.0,2198.0,-205,11611,2923,14534,30573,
04/29/2006,29891,3182,3182,0.0,811.0,811.0,,9581.0,0.0,0.0,9581.0,0.0,999.0,,,,,14573,9490,,,0.0,5828,5250.0,1797.0,3453.0,578,15318,,3634,3634,,,,349,,,,,5999,,,,5999,9982,3510,,,,2392,,,2392,5902,15884,0,10266,,,-1057.0,2378.0,-213,11374,2633,14007,29891,
07/29/2006,30061,3690,3690,0.0,803.0,803.0,,9455.0,0.0,0.0,9455.0,0.0,917.0,,,,,14865,9395,,,0.0,5801,5339.0,1885.0,3454.0,462,15196,,3274,3274,,,,295,,,,,6326,,,,6326,9895,3475,,,,2361,,,2361,5836,15731,0,10258,,,-1138.0,2672.0,-181,11611,2719,14330,30061,
10/28/2006,30469,2096,2096,0.0,909.0,909.0,,11508.0,0.0,0.0,11508.0,0.0,902.0,,,,,15415,9247,,,0.0,5807,5347.0,1880.0,3467.0,460,15054,,4195,4195,,,,618,,,,,6176,,,,6176,10989,2914,,,,2092,,,2092,5006,15995,0,10365,,,-1425.0,2868.0,-184,11624,2850,14474,30469,
02/03/2007,29906,3839,3839,0.0,851.0,851.0,,9896.0,0.0,0.0,9896.0,0.0,681.0,,,,,15267,9113,10819.0,-1706.0,0.0,5526,1860.0,1692.0,168.0,3666,14639,,3312,3312,,,,705,642.0,63.0,63.0,,5895,,,,5895,9912,2843,2106.0,737.0,737.0,1647,,,1647,4490,14402,0,10395,,,-1437.0,3689.0,59,12706,2798,15504,29906,
05/05/2007,29872,3506,3506,,840.0,840.0,,10349.0,,,10349.0,,724.0,,,,,15419,8943,,,0.0,5510,5127.0,1714.0,3413.0,383,14453,,3587,3587,,,,836,,,,,5128,,,,5128,9551,2681,,,,1488,,,1488,4169,13720,0,10404,,,-1452.0,3908.0,79,12939,3213,16152,29872,
08/04/2007,28583,2634,2634,,751.0,751.0,,10158.0,,,10158.0,,673.0,,,,,14216,8842,,,,5525,5105.0,1714.0,3391.0,420,14367,,3448,3448,,0.0,,631,,,,,5502,,,,5502,9581,2646,,,,1467,,,1467,4113,13694,0,10366,,,-2898.0,4080.0,76,11624,3265,14889,28583,
11/03/2007,29780,1535,1535,,977.0,977.0,,12128.0,,,12128.0,,730.0,,,,,15370,8873,,,,5537,5061.0,1691.0,3370.0,476,14410,,4512,4512,,0.0,0.0,1379,,,,,5580,,,,5580,11471,2657,,,,1420,,,1420,4077,15548,0,10366,,,-3781.0,4084.0,74,10743,3489,14232,29780,
02/02/2008,27397,1622,1622,0.0,744.0,744.0,,9963.0,0.0,0.0,9963.0,0.0,473.0,,,,,12802,8863,11357.0,-2494.0,0.0,5732,5297.0,1686.0,3611.0,435,14595,,3487,3487,,,,404,340.0,64.0,64.0,,5671,,,,5671,9562,2606,1921.0,685.0,685.0,1258,,,1258,3864,13426,0,10420,,,-4331.0,4509.0,69,10667,3304,13971,27397,
05/03/2008,27338,1413,1413,0.0,943.0,943.0,0.0,10309.0,,,,,468.0,,34.0,,434.0,13133,8698,,,0.0,5507,5011.0,1668.0,3343.0,496,14205,,7105,3681,,,3424.0,1219,809.0,,,410.0,1647,,,,525,9971,2289,2289.0,,,4182,,1176.0,3006,6471,16442,0,10416,1.0,10415.0,-4361.0,4453.0,62,10570,326,10896,27338,
08/02/2008,26789,1534,1534,0.0,1020.0,1020.0,0.0,9754.0,,,,,497.0,,29.0,,463.0,12805,8568,,,0.0,5416,4982.0,1660.0,3322.0,434,13984,,6834,3494,,,3340.0,1364,974.0,,,390.0,1675,,,,569,9873,2250,2250.0,,,4143,,1135.0,3008,6393,16266,0,10406,1.0,10405.0,-4798.0,4518.0,54,10180,343,10523,26789,
11/01/2008,27954,1172,1172,0.0,1195.0,1195.0,0.0,11364.0,,,,,616.0,,23.0,,512.0,14347,8265,,,0.0,5342,4960.0,1658.0,3302.0,382,13607,,7769,4414,,,3355.0,2306,1925.0,,,381.0,1599,,,,517,11674,2175,2175.0,,,3929,,1014.0,2915,6104,17778,0,10420,1.0,10419.0,-4895.0,4372.0,-27,9870,306,10176,27954,
