Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1998,4430.0,,,-1206.0,,3224.0,,-2060.0,,,,,1164,0.0,,,,,,,0.0,1164.0,-329.0,,,,835.0,0.0,,,835.0,0.0,835.0,0.0,,835.0,835.0,,1987.0,0.42,0.42,0.42,2031.0,0.41,0.41,0.41,
09/30/1998,4523.0,,,-1191.0,,3332.0,,-1986.0,,,,,1346,0.0,,,,,,,0.0,1346.0,-380.0,,,,966.0,0.0,,,966.0,0.0,966.0,0.0,,966.0,966.0,,1988.0,0.485,0.485,0.485,2030.0,0.475,0.475,0.475,
12/31/1998,4885.0,,,-1307.0,,3578.0,,-2259.0,,,,,1319,-853.0,,,,,,,853.0,466.0,-53.0,,,,413.0,0.0,,,413.0,0.0,413.0,0.0,,413.0,413.0,,1986.0,0.21,0.21,0.455,2027.0,0.205,0.205,0.45,
03/31/1999,4044.0,,,-1061.0,,2983.0,,-1598.0,,,,,1385,0.0,,,,,,,0.0,1385.0,-410.0,,,,975.0,-91.0,,,1066.0,0.0,1066.0,0.0,,1066.0,1066.0,,1985.0,0.54,0.49,0.49,2029.0,0.53,0.48,0.48,
06/30/1999,4054.0,,,-1106.0,,2948.0,,-1717.0,,,,,1231,0.0,,,,,,,0.0,1231.0,-366.0,,,,865.0,-87.0,,,952.0,0.0,952.0,0.0,,952.0,952.0,,1984.0,0.48,0.44,0.44,2027.0,0.47,0.43,0.43,
09/30/1999,4190.0,,,-1155.0,,3035.0,0.0,-1693.0,,1262.0,,431.0,1342,,,,,,,,,1342.0,-354.0,,,,988.0,-109.0,,,1097.0,,1097.0,,0.0,1097.0,1097.0,,1984.0,0.55,0.5,0.5,2028.0,0.54,0.49,0.49,
12/31/1999,4590.0,,,-1220.0,,3370.0,,-1920.0,,,,,1450,-86.0,,,,,,,86.0,1364.0,-403.0,,,,961.0,-91.0,,,1052.0,0.0,1052.0,0.0,0.0,1052.0,1052.0,,1983.0,0.53,0.48,0.48,2025.0,0.52,0.47,0.47,
03/31/2000,4451.0,,,-1141.0,,3310.0,,-1724.0,,,,,1586,0.0,,,,,,,0.0,1586.0,-457.0,,,,1129.0,-92.0,,,1221.0,0.0,1221.0,0.0,0.0,1221.0,1221.0,,1976.0,0.62,0.57,0.56,2009.0,0.61,0.56,0.55,
06/30/2000,4418.0,,,-1130.0,,3288.0,,-1875.0,,,,,1413,0.0,,,,,,,0.0,1413.0,-408.0,,,,1005.0,-86.0,,,1091.0,0.0,1091.0,0.0,0.0,1091.0,1091.0,,1970.0,0.55,0.51,0.51,2002.0,0.54,0.5,0.5,
09/30/2000,4563.0,,,-1200.0,,3363.0,0.0,-1836.0,,1357.0,,479.0,1527,-386.0,,,,,,,386.0,1141.0,-248.0,,,,893.0,-343.0,,,1236.0,,1236.0,0.0,0.0,1236.0,1236.0,512.2,1963.0,0.63,0.454916,0.890927,1991.0,0.62,0.447725,0.707258,
12/31/2000,4784.0,,,-1288.0,,3496.0,,-2050.0,,,,,1446,0.0,,,,,,,0.0,1446.0,-377.0,,,,1069.0,-94.0,,,1163.0,0.0,1163.0,0.0,0.0,1163.0,1163.0,,1954.0,0.6,0.55,0.55,1987.0,0.59,0.54,0.54,
03/31/2001,4589.0,,,-1263.0,,3326.0,,-1750.0,,,,,1576,54.0,,26.0,-44.0,,10.0,,-46.0,1630.0,-386.0,,,,1244.0,-93.0,,,1337.0,-27.0,1310.0,0.0,0.0,1310.0,1310.0,,1948.0,0.67,0.62,0.61,1978.0,0.66,0.61,0.61,
06/30/2001,4286.0,,,-1266.0,,3020.0,,-1836.0,,,,,1184,82.0,,23.0,-32.0,,-3.0,,-70.0,1266.0,-307.0,,,,959.0,-99.0,,,1058.0,-5.0,1053.0,0.0,0.0,1053.0,1053.0,,1940.0,0.54,0.49,0.46,1964.0,0.54,0.49,0.46,
09/30/2001,4500.0,,,-1317.0,,3183.0,,-1694.0,,,,,1489,114.0,-3.0,26.0,-29.0,,-17.0,,-94.0,1603.0,-385.0,,,,1218.0,-14.0,,,1232.0,-45.0,1187.0,0.0,0.0,1187.0,1187.0,,1936.0,0.61,0.6,0.58,1960.0,0.61,0.6,0.58,
12/31/2001,4612.0,,,-1607.0,,3005.0,,-2096.0,,,,,909,-3190.0,,107.0,,,-17.0,,3100.0,-2281.0,1005.0,,,,-1276.0,-2585.0,,,1309.0,-25.0,1284.0,0.0,0.0,1284.0,1284.0,,1934.0,0.66,-0.67,0.47,1934.0,0.66,-0.67,0.47,
03/31/2002,4674.0,,,-1508.0,,3166.0,,-1657.0,,,,,1509,-237.0,,,,,,,237.0,1272.0,-334.0,,,,938.0,-14.0,,,952.0,-85.0,867.0,0.0,0.0,867.0,867.0,,1935.0,0.45,0.44,0.51,1952.0,0.44,0.43,0.5,
06/30/2002,4097.0,,,-1480.0,,2617.0,,-1832.0,,,,,785,-40.0,,,,,,,40.0,745.0,-206.0,,,,539.0,0.0,,,539.0,-62.0,477.0,0.0,0.0,477.0,477.0,,1937.0,0.25,0.25,0.25,1944.0,0.25,0.25,0.25,
09/30/2002,4537.0,,,-1654.0,,2883.0,,-1808.0,,,,,1075,-960.0,65.0,104.0,-39.0,,-7.0,,902.0,115.0,252.0,,,,367.0,-18.0,,,385.0,-28.0,357.0,0.0,0.0,357.0,357.0,,1936.0,0.19,0.18,0.53,1941.0,0.18,0.17,0.52,
12/31/2002,4811.0,,,-1876.0,,2935.0,,-2191.0,,,,,744,-167.0,59.0,60.0,-1.0,,,,108.0,577.0,-114.0,,,,523.0,-38.0,,,501.0,-96.0,465.0,0.0,0.0,465.0,465.0,,1927.0,0.24,0.22,0.25,1927.0,0.24,0.22,0.25,
03/31/2003,4728.0,,,-1709.0,,3019.0,,-1890.0,,,,,1129,34.0,61.0,81.0,-20.0,,,,-95.0,1163.0,-316.0,,,,847.0,0.0,,,847.0,-55.0,792.0,0.0,0.0,792.0,792.0,,1936.0,0.41,0.41,0.41,1940.0,0.41,0.41,0.41,
06/30/2003,5129.0,,,-1852.0,,3277.0,,-2025.0,,,,,1252,-5.0,66.0,78.0,-12.0,,0.0,,-61.0,1247.0,-262.0,,,,985.0,0.0,,,985.0,-83.0,902.0,0.0,0.0,902.0,902.0,,1937.0,0.47,0.47,0.47,1942.0,0.46,0.46,0.46,
09/30/2003,5372.0,,,-1929.0,,3443.0,,-2048.0,,,,,1395,-34.0,33.0,48.0,-15.0,,0.0,,1.0,1361.0,-345.0,,,,1016.0,0.0,,,1016.0,-110.0,906.0,0.0,0.0,906.0,906.0,,1937.0,0.47,0.47,0.47,1944.0,0.47,0.47,0.47,
12/31/2003,5665.0,,,-2102.0,,3563.0,,-2392.0,,,,,1171,-321.0,-52.0,73.0,-125.0,,,,373.0,850.0,-292.0,,,,631.0,0.0,,,558.0,-125.0,506.0,0.0,0.0,506.0,506.0,,1937.0,0.26,0.26,0.43,1973.0,0.26,0.26,0.43,
03/31/2004,5181.0,,,-1899.0,,3282.0,,-2133.0,,,,,1149,320.0,52.0,69.0,-17.0,,,,-372.0,1469.0,-398.0,,,,1071.0,0.0,,,1071.0,-107.0,964.0,0.0,0.0,964.0,964.0,,1939.0,0.5,0.5,0.35,1976.0,0.49,0.49,0.35,
06/30/2004,5430.0,,,-2095.0,,3335.0,,-2183.0,,,,,1152,-377.0,48.0,70.0,-22.0,,0.0,,329.0,775.0,-120.0,,,,655.0,0.0,,,655.0,-128.0,527.0,0.0,0.0,527.0,527.0,,1942.0,0.27,0.27,0.27,1976.0,0.27,0.27,0.27,
09/30/2004,5427.0,,,-2100.0,,3327.0,,-2149.0,,,,,1178,-27.0,52.0,80.0,-28.0,,0.0,,-25.0,1151.0,-241.0,,,,910.0,0.0,,,910.0,-152.0,758.0,0.0,0.0,758.0,758.0,,1942.0,0.39,0.39,0.39,1975.0,0.38,0.38,0.38,
12/31/2004,5157.0,,,-1635.0,,3522.0,,-2474.0,,,,,1048,-9.0,,91.0,-39.0,,-30.0,,-13.0,1039.0,-766.0,,,,273.0,0.0,,,273.0,-134.0,139.0,0.0,0.0,139.0,139.0,,1943.0,0.07,0.07,0.39,1976.0,0.07,0.07,0.39,
03/31/2005,4532.0,,,-1354.0,,3178.0,,-2118.0,,,,,1060,-132.0,52.0,97.0,-45.0,,12.0,,68.0,928.0,-268.0,,,,660.0,5.0,,,655.0,-122.0,533.0,,,533.0,533.0,132.0,1949.0,0.27,0.27,0.34,1981.0,0.27,0.27,0.34,
06/30/2005,4889.0,,,-1483.0,,3406.0,,-2282.0,,,,,1124,6.0,50.0,73.0,-23.0,,,,-56.0,1130.0,21.0,,,,1151.0,-13.0,,,1164.0,-160.0,1004.0,,,1004.0,1004.0,-58.0,1952.0,0.51,0.51,0.48,1984.0,0.5,0.5,0.47,
09/30/2005,4767.0,,,-1448.0,,3319.0,,-2304.0,,,,,1015,611.0,51.0,79.0,-28.0,,,,-662.0,1626.0,-507.0,,,,1119.0,,,,1119.0,-155.0,964.0,,,964.0,964.0,-362.0,1953.0,0.49,0.49,0.31,1984.0,0.49,0.49,0.31,
12/31/2005,5019.0,,,-1562.0,,3457.0,,-2553.0,,,,,904,-72.0,,100.0,-52.0,,11.0,,13.0,832.0,-178.0,,,,654.0,0.0,,,654.0,-155.0,499.0,0.0,0.0,499.0,499.0,,1953.0,0.26,0.26,0.31,1983.0,0.26,0.26,0.31,
03/31/2006,4676.0,,,-1430.0,,3246.0,,-2261.0,,,,,985,208.0,54.0,116.0,-62.0,,-12.0,,-250.0,1193.0,-328.0,,,,865.0,,,,865.0,-151.0,714.0,,,714.0,714.0,-77.0,1957.0,0.36,0.36,0.32,1988.0,0.36,0.36,0.32,
06/30/2006,4871.0,,,-1548.0,,3323.0,,-2272.0,,,,,1051,59.0,59.0,124.0,-65.0,,23.0,,-141.0,1110.0,-256.0,,,,854.0,0.0,,,854.0,-187.0,667.0,0.0,0.0,667.0,667.0,,1960.0,0.34,0.34,0.35,1994.0,0.34,0.34,0.35,
09/30/2006,4154.0,,,-1393.0,,2761.0,,-2214.0,,,,,547,70.0,56.0,130.0,-74.0,,-11.0,,-115.0,617.0,-193.0,,,,424.0,,,,424.0,-86.0,338.0,,,338.0,338.0,100.0,1961.0,0.17,0.17,0.22,1992.0,0.17,0.17,0.22,
12/31/2006,4057.0,,,-1395.0,,2662.0,,-2498.0,1311.0,418.0,,1187.0,164,-135.0,,128.0,-73.0,,0.0,,80.0,-285.0,-183.0,,,,-154.0,-36.0,,,-432.0,-16.0,-134.0,,,-134.0,-134.0,,1961.0,-0.07,-0.09,0.17,1961.0,-0.07,-0.09,0.17,
03/31/2007,4317.0,,,-1340.0,,2977.0,,-2192.0,,,,,785,67.0,56.0,109.0,-53.0,,8.0,,-131.0,852.0,-68.0,,,,784.0,-47.0,,,831.0,-141.0,690.0,0.0,0.0,690.0,690.0,,1962.0,0.35,0.33,0.36,1997.0,0.35,0.33,0.36,
06/30/2007,4471.0,,,-1408.0,,3063.0,,-2212.0,,,,,851,134.0,45.0,107.0,-62.0,,-5.0,,-174.0,985.0,-203.0,,,,782.0,-118.0,,,900.0,-194.0,706.0,,,706.0,706.0,20.0,1968.0,0.36,0.3,0.31,2006.0,0.36,0.3,0.31,
09/30/2007,4601.0,,,-1478.0,,3123.0,,-2245.0,,,,,878,378.0,40.0,109.0,-69.0,,21.0,,-439.0,1256.0,-292.0,,,,964.0,-105.0,,,1069.0,-211.0,858.0,,,858.0,858.0,-94.0,1974.0,0.43,0.38,0.33,2012.0,0.43,0.38,0.33,
12/31/2007,4804.0,,,-1642.0,,3162.0,,-2509.0,,1826.0,,683.0,653,-560.0,,97.0,-57.0,,-9.0,,529.0,261.0,-119.0,,,,-26.0,-154.0,,,296.0,-217.0,-89.0,0.0,0.0,-89.0,-89.0,,1975.0,-0.05,-0.1,0.3,1975.0,-0.05,-0.1,0.3,
03/31/2008,4891.0,,,-1570.0,,3321.0,0.0,-2235.0,1453.0,,,782.0,1086,121.0,30.0,73.0,-43.0,,19.0,-164.0,-6.0,1207.0,-330.0,,,,877.0,-14.0,,,891.0,-230.0,661.0,0.0,0.0,661.0,661.0,,1975.0,0.33,0.32,0.32,2008.0,0.33,0.32,0.39,
06/30/2008,5203.0,,,-1670.0,,3533.0,0.0,-2411.0,1165.0,420.0,,1246.0,1122,99.0,49.0,80.0,-31.0,,17.0,-150.0,-15.0,1221.0,-258.0,,,,963.0,-42.0,,,1005.0,-241.0,764.0,0.0,0.0,764.0,764.0,,1977.0,0.39,0.37,0.37,2008.0,0.38,0.36,0.36,
09/30/2008,5254.0,,,-1634.0,,3620.0,0.0,-2404.0,1208.0,362.0,,1196.0,1216,-61.0,47.0,84.0,-37.0,,,-164.0,178.0,1155.0,-308.0,,,,847.0,-1990.0,,,2837.0,-259.0,2578.0,0.0,0.0,2578.0,2578.0,299.797,1977.0,1.3,0.3,0.4516,2004.0,1.29,0.3,0.44959,
12/31/2008,4542.0,,,-1254.0,,3288.0,0.0,-2575.0,1098.0,356.0,,1477.0,713,1041.0,54.0,73.0,-19.0,,-42.0,-139.0,-914.0,1754.0,-370.0,,,,1384.0,-126.0,,,1510.0,-266.0,1244.0,0.0,0.0,1244.0,1244.0,-612.95,1978.0,0.63,0.56,0.25,1980.0,0.63,0.56,0.25,
03/31/2009,4322.0,4322.0,,-1165.0,1165.0,3157.0,0.0,-2180.0,1149.0,,908.0,123.0,977,218.0,39.0,52.0,-13.0,,-13.0,-146.0,-98.0,1195.0,-275.0,,,,920.0,-1.0,-1.0,0.0,921.0,-283.0,638.0,0.0,0.0,638.0,718.25,81.25,1978.0,0.32,0.33,0.363119,1981.0,0.32,0.33,0.363119,
06/30/2009,4665.0,4665.0,,-1225.0,1225.0,3440.0,0.0,-2078.0,1220.0,,811.0,47.0,1362,160.0,28.0,42.0,-14.0,,17.0,-150.0,-55.0,1522.0,-353.0,,,,1169.0,-129.0,-129.0,0.0,1298.0,-315.0,983.0,0.0,0.0,983.0,910.55,56.55,1980.0,0.49,0.44,0.459874,1983.0,0.49,0.44,0.459874,
09/30/2009,4788.0,4788.0,,-1317.0,1317.0,3471.0,0.0,-2080.0,1209.0,,820.0,51.0,1391,174.0,34.0,47.0,-13.0,,13.0,-139.0,-82.0,1565.0,-366.0,,,,1199.0,-91.0,-91.0,0.0,1290.0,-324.0,966.0,0.0,0.0,966.0,925.7,50.7,1980.0,0.49,0.45,0.467525,1984.0,0.48,0.45,0.467525,
12/31/2009,5033.0,5033.0,,-1433.0,1433.0,3600.0,0.0,-2659.0,1504.0,,1108.0,47.0,941,379.0,,43.0,,-14.0,-15.0,-115.0,-278.0,1320.0,-188.0,188.0,,,1132.0,-7221.0,-7221.0,0.0,8353.0,-328.0,8025.0,0.0,0.0,8025.0,675.5,-128.5,1958.0,4.08,0.42,0.344995,1967.0,4.06,0.41,0.344672,
03/31/2010,4807.0,4807.0,,-1306.0,1306.0,3501.0,0.0,-2033.0,1112.0,,910.0,11.0,1468,-16.0,18.0,33.0,-15.0,,-16.0,-97.0,111.0,1452.0,-351.0,,,,1101.0,0.0,0.0,0.0,1101.0,-358.0,743.0,0.0,0.0,743.0,902.25,159.25,1715.0,0.43,0.43,0.526093,1725.0,0.43,0.43,0.522319,
06/30/2010,4768.0,4768.0,,-1277.0,1277.0,3491.0,0.0,-2003.0,1157.0,,822.0,24.0,1488,104.0,16.0,32.0,-16.0,,-16.0,-85.0,-19.0,1592.0,-324.0,,,,1268.0,0.0,0.0,0.0,1268.0,-341.0,927.0,0.0,0.0,927.0,979.65,52.65,1718.0,0.54,0.54,0.570227,1728.0,0.53,0.53,0.560469,
09/30/2010,4798.0,4798.0,,-1280.0,1280.0,3518.0,0.0,-1984.0,1123.0,,824.0,37.0,1534,80.0,15.0,38.0,-23.0,,9.0,-70.0,-34.0,1614.0,-312.0,,,,1302.0,0.0,0.0,0.0,1302.0,-353.0,949.0,0.0,0.0,949.0,989.95,40.95,1712.0,0.55,0.55,0.578242,1726.0,0.55,0.55,0.573725,
12/31/2010,5111.0,5111.0,,-1414.0,1414.0,3697.0,0.0,-2303.0,1271.0,,1010.0,22.0,1394,19.0,,42.0,,-21.0,17.0,-61.0,4.0,1413.0,-571.0,,,,842.0,0.0,0.0,0.0,842.0,-359.0,483.0,0.0,0.0,483.0,752.4,269.4,1708.0,0.28,0.28,0.440515,1723.0,0.28,0.28,0.436355,
