Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2012,27132,518,518,0,4485,4485,0.0,1055,1079,,323.0,756,7137,12846,28742,-15896,495,495,6654,5431,,0.0,102,1121,19995,,4138,1517,,,2621,1309,0,,,,1309,0,,,0,5447,25732,25732,,,,2896,,,,,1857,1039,28628,34075,0.0,1669,4,1665,0,-9463,-449,-8243,1300,-6943,27132,
09/30/2012,27302,472,472,0,4598,4598,,1052,1150,,322.0,828,7272,12960,29145,-16185,473,473,6597,5460,,,103,1034,20030,,4110,1585,,,2525,1751,0,,,,1751,0,,,0,5861,25182,25182,,,,2822,,,,,1860,962,28004,33865,,1684,4,1680,0,-9103,-440,-7859,1296,-6563,27302,
12/31/2012,28075,705,705,0,4672,4672,0.0,1086,1300,0.0,385.0,915,7763,13185,29527,-16342,515,515,6612,5539,5539.0,0.0,104,969,20312,,4737,1768,0.0,0.0,2969,1435,0,0.0,0.0,,1435,0,0.0,0.0,0,6172,27495,27495,0.0,0.0,,2749,0.0,0.0,0.0,0.0,1776,973,30244,36416,0.0,1757,4,1753,0,-10960,-457,-9660,1319,-8341,28075,
03/31/2013,27882,594,594,0,4877,4877,0.0,1104,1212,,385.0,827,7787,13144,29764,-16620,423,423,6528,5541,,0.0,107,880,20095,,4553,1691,,,2862,1438,0,,,,1438,0,,,0,5991,27170,27170,,,,2733,,,,,1763,970,29903,35894,0.0,1768,4,1764,0,-10616,-475,-9323,1311,-8012,27882,
06/30/2013,27934,462,462,0,4915,4915,,1152,1262,,401.0,861,7791,13229,30077,-16848,405,405,6509,5534,,,120,855,20143,,4564,1657,,,2907,1456,0,,,,1456,0,,,0,6020,26744,26744,,,,2655,,,,,1695,960,29399,35419,0.0,1796,4,1792,0,-10193,-426,-8823,1338,-7485,27934,
09/30/2013,28393,484,484,0,4924,4924,,1135,1228,,400.0,828,7771,13322,30472,-17150,402,402,6898,5832,,,125,941,20622,,4431,1582,,,2849,988,0,,,,988,0,,,0,5419,27389,27389,,,,2629,,,,,1670,959,30018,35437,0.0,1825,4,1821,0,-9827,-374,-8376,1332,-7044,28393,
12/31/2013,28831,414,414,0,5208,5208,0.0,1179,1236,0.0,489.0,747,8037,13619,31073,-17454,448,448,6727,5903,5903.0,0.0,121,703,20794,,4909,1803,0.0,0.0,3106,786,0,0.0,0.0,,786,0,0.0,0.0,0,5695,27590,27590,0.0,0.0,,2474,0.0,0.0,0.0,0.0,1525,949,30064,35759,0.0,1390,4,1386,0,-9403,-257,-8270,1342,-6928,28831,
03/31/2014,29809,850,850,0,5489,5489,0.0,1187,1351,,492.0,859,8877,13612,31369,-17757,453,453,6867,5910,,,142,815,20932,,4850,1735,,,3115,1041,0,,,,1041,0,,,0,5891,27883,27883,,,,2502,,,,,1524,978,30385,36276,0.0,1459,4,1455,0,-9055,-232,-7828,1361,-6467,29809,
06/30/2014,29822,658,658,0,5472,5472,,1211,1431,,500.0,931,8772,13721,31841,-18120,426,426,6903,5909,,,150,844,21050,,4849,1717,,,3132,1046,0,,,,1046,0,,,0,5895,27942,27942,,,,2573,,,,,1554,1019,30515,36410,0.0,781,4,777,0,-8572,-199,-7990,1402,-6588,29822,
09/30/2014,29825,515,515,0,5524,5524,,1258,1230,,320.0,910,8527,13878,32301,-18423,441,441,6979,5899,,,167,913,21298,,4588,1787,,,2801,1044,0,,,,1044,0,,,0,5632,27426,27426,,,,2785,,,,,1740,1045,30211,35843,0.0,876,4,872,0,-8054,-206,-7384,1366,-6018,29825,
12/31/2014,30980,566,566,0,5694,5694,0.0,1279,1391,,366.0,1025,8930,14355,32980,-18625,494,494,7201,6416,6416.0,0.0,165,620,22050,,5142,2035,0.0,0.0,3107,338,0,,,,338,0,0.0,,0,5480,29088,29088,,,,2910,,0.0,0.0,0.0,1832,1078,31998,37478,0.0,4,4,0,0,-7575,-323,-7894,1396,-6498,30980,
03/31/2015,31288,586,586,0,5928,5928,0.0,1287,1329,,304.0,1025,9130,14392,33293,-18901,435,435,7331,6415,,0.0,181,735,22158,,5135,1973,,,3162,2037,0,,,,2037,0,,,0,7172,27406,27406,,,,2932,,,,,1837,1095,30338,37510,0.0,4,4,0,0,-7280,-344,-7620,1398,-6222,31288,
06/30/2015,31710,673,673,0,5804,5804,0.0,1348,1468,,376.0,1092,9293,14560,33803,-19243,404,404,7453,6484,,,182,787,22417,,4936,1884,,,3052,1374,0,,,,1374,0,,,0,6310,28363,28363,,,,2992,,,,,1860,1132,31355,37665,0.0,4,4,0,0,-7120,-290,-7406,1451,-5955,31710,
09/30/2015,31896,588,588,0,5827,5827,0.0,1379,1427,,412.0,1015,9221,14704,34207,-19503,409,409,7562,6540,,,186,836,22675,,4936,1877,,,3059,1377,0,,,,1377,0,,,0,6313,28375,28375,,,,3020,,,,,1903,1117,31395,37708,0.0,4,4,0,0,-6989,-309,-7294,1482,-5812,31896,
12/31/2015,32744,741,741,0,5889,5889,0.0,1439,1163,,0.0,1163,9232,15014,34614,-19600,432,432,8066,6731,6731.0,0.0,178,1157,23512,,5283,2170,0.0,0.0,3113,233,0,0.0,0.0,,233,0,0.0,,0,5516,30255,30255,0.0,0.0,,3019,0.0,0.0,0.0,0.0,1904,1115,33274,38790,0.0,4,4,0,0,-7338,-265,-7599,1553,-6046,32744,
03/31/2016,32776,852,852,0,5880,5880,0.0,1415,1054,,0.0,1054,9201,15057,34978,-19921,425,425,8093,6713,,,174,1206,23575,,5172,1944,,,3228,226,0,,,,226,0,,,0,5398,30328,30328,,,,3049,,,,,1933,1116,33377,38775,0.0,4,4,0,0,-7266,-294,-7556,1557,-5999,32776,
06/30/2016,33205,691,691,0,5669,5669,0.0,1481,1254,,0.0,1254,9095,15624,35873,-20249,341,341,8145,6694,,,201,1250,24110,,5172,1934,,,3238,224,0,,,,224,0,,,0,5396,31228,31228,,,,3079,,,,,1953,1126,34307,39703,0.0,4,4,0,0,-7767,-344,-8107,1609,-6498,33205,
09/30/2016,33127,677,677,0,5503,5503,0.0,1503,1160,,0.0,1160,8843,15875,36449,-20574,354,354,8055,6691,,,216,1148,24284,,4939,1950,,,2989,216,0,,,,216,0,,,0,5155,31225,31225,,,,2910,,,,,1746,1164,34135,39290,0.0,4,4,0,0,-7426,-341,-7763,1600,-6163,33127,
12/31/2016,33758,646,646,0,5826,5826,0.0,1503,1111,,0.0,1111,9086,16352,37055,-20703,336,336,7984,6704,6704.0,0.0,206,1074,24672,,5618,2318,0.0,0.0,3300,216,0,,,,216,0,0.0,,0,5834,31160,30567,593.0,593.0,,2397,0.0,0.0,0.0,0.0,1249,1148,33557,39391,0.0,4,4,0,0,-6968,-338,-7302,1669,-5633,33758,
03/31/2017,33795,753,753,0,5664,5664,0.0,1501,1119,,,1119,9037,16462,37588,-21126,349,349,7947,6754,,,194,999,24758,,5251,2233,,,3018,212,0,,,,212,0,,,0,5463,31302,31302,,,,2387,,,,,1253,1134,33689,39152,0.0,4,4,0,0,-6701,-320,-7017,1660,-5357,33795,
06/30/2017,34566,705,705,0,5782,5782,0.0,1544,1306,,,1306,9337,16768,38306,-21538,352,352,8109,6771,,,197,1141,25229,,5558,2245,,,3313,213,0,,,,213,0,,,0,5771,31448,31448,,,,2426,,,,,1282,1144,33874,39645,0.0,4,4,0,0,-6503,-293,-6792,1713,-5079,34566,
09/30/2017,35731,718,718,0,5980,5980,0.0,1546,1204,,,1204,9448,17329,39262,-21933,368,368,8586,7357,,,201,1028,26283,,5409,2314,,,3095,202,0,,,,202,0,,,0,5611,32751,32751,,,,2435,,,,,1256,1179,35186,40797,0.0,4,4,0,0,-6516,-268,-6780,1714,-5066,35731,
12/31/2017,36593,732,732,0,6501,6501,0.0,1573,1171,,,1171,9977,17895,40084,-22189,418,418,8303,7394,7394.0,0.0,199,710,26616,,5958,2606,0.0,0.0,3352,200,0,,,,200,0,0.0,,0,6158,32858,32259,599.0,599.0,,2572,0.0,0.0,0.0,0.0,1374,1198,35430,41588,0.0,4,4,0,0,-6532,-278,-6806,1811,-4995,36593,
03/31/2018,37299,1086,1086,0,6332,6332,0.0,1677,1296,,,1296,10391,18124,40308,-22184,417,417,8367,7471,,,231,665,26908,,5781,2538,,,3243,1697,0,,,,1697,0,,,0,7478,31594,31594,,,,2661,,,,,1417,1244,34255,41733,0.0,4,4,0,0,-6051,-197,-6244,1810,-4434,37299,
06/30/2018,37742,868,868,0,6592,6592,0.0,1636,1298,,,1298,10394,18544,41142,-22598,414,414,8390,7459,,,234,697,27348,,5933,2457,,,3476,1692,0,,,,1692,0,,,0,7625,31500,31500,,,,2742,,,,,1459,1283,34242,41867,0.0,3,3,0,0,-5731,-261,-5989,1864,-4125,37742,
09/30/2018,38044,578,578,0,6532,6532,0.0,1634,1266,,,1266,10010,19041,41978,-22937,367,367,8626,7759,,,238,629,28034,,6040,2414,,,3626,191,0,,,,191,0,,,0,6231,32916,32916,,,,2627,,,,,1388,1239,35543,41774,0.0,3,3,0,0,-5342,-266,-5605,1875,-3730,38044,
12/31/2018,39207,502,502,0,6789,6789,0.0,1732,1190,,,1190,10213,19757,42965,-23208,362,362,8875,7953,7953.0,0.0,232,690,28994,,6781,2577,0.0,0.0,4204,788,0,,,,788,0,0.0,,0,7569,32033,31448,585.0,585.0,,2523,0.0,0.0,0.0,0.0,1248,1275,34556,42125,0.0,3,3,0,0,-4572,-381,-4950,2032,-2918,39207,
03/31/2019,43379,531,531,0,7420,7420,0.0,1778,1379,,,1379,11108,22940,46395,-23455,338,338,8993,8159,,,246,588,32271,,6425,2693,,,3732,4106,0,349.0,39.0,310.0,3757,0,,,0,10531,32513,30500,2013.0,519.0,1494.0,2590,,,,,1277,1313,35103,45634,0.0,3,3,0,0,-3983,-374,-4354,2099,-2255,43379,
06/30/2019,45449,2430,2430,0,7219,7219,0.0,1826,1394,,,1394,12869,23254,47156,-23902,342,342,8984,8140,,,247,597,32580,,6549,2609,,,3940,2412,0,429.0,90.0,339.0,1983,0,,,0,8961,35580,33673,1907.0,447.0,1460.0,2678,,,,,1324,1354,38258,47219,0.0,3,3,0,0,-3474,-431,-3902,2132,-1770,45449,
09/30/2019,43912,559,559,0,7131,7131,0.0,1769,1310,,,1310,10769,23772,48065,-24293,357,357,9014,8160,8160.0,0.0,243,611,33143,,6632,2610,,,4022,492,0,433.0,89.0,344.0,59,0,,,0,7124,35537,33646,1891.0,451.0,1440.0,2698,,,,,1349,1349,38235,45359,0.0,3,3,0,0,-3107,-461,-3565,2118,-1447,43912,
12/31/2019,45058,621,621,0,7380,7380,0.0,1849,1346,,,1346,11196,24549,49069,-24520,315,315,8998,8269,8269.0,0.0,249,480,33862,,7175,2905,0.0,0.0,4270,582,0,437.0,87.0,350.0,145,0,,,0,7757,35076,33107,1969.0,470.0,1499.0,2790,,,,,1420,1370,37866,45623,0.0,3,3,0,0,-2351,-460,-2808,2243,-565,45058,
03/31/2020,45421,731,731,0,6890,6890,0.0,1953,1442,,,1442,11016,24813,49689,-24876,325,325,9267,8587,,,238,442,34405,,6857,2750,,,4107,162,0,,,,162,0,,,0,7019,36196,34699,1497.0,,1497.0,2909,,,,,1477,1432,39105,46124,0.0,3,3,0,0,-2394,-571,-2962,2259,-703,45421,
06/30/2020,48709,4638,4638,0,6139,6139,0.0,1834,1420,,,1420,14031,24934,50347,-25413,364,364,9380,8578,,,275,527,34678,,7694,2882,,,4812,163,0,,,,163,4999,,,0,12856,32310,30779,1531.0,,1531.0,2975,,,,,1490,1485,35285,48141,0.0,91,3,88,0,-1315,-562,-1786,2354,568,48709,
