Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1996,492.983002,-370.128998,122.854004,-81.177002,41.676998,-6.234,-4.486,30.956998,-10.2,20.757,0.0,0.0,20.757,0.0,20.757,,,20.756998,0.73,0.73,0.73,28.285999,0.72,0.72,0.72,30.228001,
12/31/1996,509.894989,-380.735992,129.158997,-86.133003,43.026001,-6.452,-3.785,32.789001,-8.3,24.489,0.0,0.0,24.489,0.0,24.489,,,24.489001,0.88,0.88,0.88,27.948999,0.85,0.85,0.85,29.914,
03/31/1997,538.426025,-405.950989,132.475037,-83.777,48.698002,-7.371,-34.733002,6.594,-0.9,5.694,0.0,0.0,5.694,0.0,5.694,18.5,0.0,24.194,0.86,0.2,0.2,27.974001,0.86,0.2,0.2,28.115999,
06/30/1997,556.278015,-409.240997,147.037018,-85.459,61.577999,-6.994,-3.654,50.929999,-17.299999,33.630001,0.0,0.0,33.630001,0.0,33.630001,0.0,0.0,33.63,1.2,1.2,1.2,27.948,1.15,1.15,1.15,30.02,
09/30/1997,494.777008,-360.371002,134.406006,-81.320999,53.084999,-6.245,-3.136,43.703999,-13.6,30.104,0.0,0.0,30.104,0.0,30.104,-1.3,0.0,28.803999,1.02,1.07,1.07,28.153,1.0,1.05,1.05,29.035999,
12/31/1997,522.812012,-379.105011,143.707001,-85.428001,58.278999,-6.561,-4.793,46.924999,-15.5,31.424999,0.0,0.0,31.424999,0.0,31.424999,-1.0,0.0,30.424999,1.08,1.12,1.12,28.15,1.07,1.11,1.11,28.372,
03/31/1998,547.054993,-402.822998,144.231995,-86.461998,57.77,-6.727,-5.17,45.873,-14.7,31.173,-3.283,0.0,27.889999,0.0,27.889999,0.0,0.0,31.173,1.11,1.11,0.99,28.118999,1.1,1.1,0.98,28.336,
06/30/1998,574.314026,-422.739014,151.575012,-86.511002,65.064003,-7.126,-2.297,55.641003,-17.799999,37.841,0.0,0.0,37.841,0.0,37.841,0.0,0.0,37.841004,1.34,1.34,1.34,28.198999,1.33,1.33,1.33,28.454,
09/30/1998,508.973999,-385.153015,123.820984,-81.487999,42.333,-6.272,-0.93,35.131,-11.2,23.931,0.0,0.0,23.931,0.0,23.931,0.0,0.0,23.931001,0.85,0.85,0.85,28.166,0.85,0.85,0.85,28.302,
12/31/1998,519.130981,-409.190002,109.940979,-88.727997,21.212999,-6.888,-3.433,10.891999,-3.5,7.392,0.0,0.0,7.392,0.0,7.392,3.1,0.0,10.491999,0.38,0.27,0.27,27.669001,0.38,0.27,0.27,27.674,
