Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2014,1629,1629.0,,-607,607.0,1022,0.0,-760,573.0,187.0,0.0,262,-169,158.0,159.0,-1.0,,11,93,-8.0,85,0.0,0.0,0.0,85.0,0.0,85,0.0,0.0,85,88.9,3.9,238.265,0.36,0.36,0.373114,242.464,0.35,0.35,0.366085,
12/31/2014,1914,1914.0,,-695,695.0,1219,0.0,-988,738.0,250.0,0.0,231,-268,195.0,195.0,0.0,,73,-37,103.0,66,0.0,0.0,0.0,66.0,0.0,66,0.0,0.0,66,105.81462,39.81462,305.842,0.22,0.22,0.345978,309.597,0.21,0.21,0.338601,
03/31/2015,2053,2053.0,,-723,723.0,1330,0.0,-1014,726.0,288.0,0.0,316,-189,179.0,180.0,-1.0,,10,127,-5.0,122,0.0,0.0,0.0,122.0,0.0,122,0.0,0.0,122,124.6,2.6,346.874,0.35,0.35,0.359208,350.832,0.35,0.35,0.357411,
06/30/2015,2061,2061.0,,-696,696.0,1365,0.0,-1015,727.0,288.0,0.0,350,-345,165.0,165.0,0.0,,180,5,-18.0,-13,0.0,0.0,0.0,-13.0,0.0,-13,0.0,0.0,-13,151.3,164.3,354.471,-0.04,-0.04,0.426833,354.471,-0.04,-0.04,0.423508,
09/30/2015,2062,2062.0,,-706,706.0,1356,0.0,-1029,733.0,296.0,0.0,327,-310,145.0,145.0,0.0,,165,17,-16.0,1,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1,127.75,126.75,355.791,0.0,0.0,0.359059,358.714,0.0,0.0,0.353346,
12/31/2015,2053,2053.0,,-708,708.0,1345,0.0,-1007,713.0,294.0,0.0,338,-204,152.0,152.0,0.0,,52,134,3189.0,3323,0.0,0.0,0.0,3323.0,0.0,3323,0.0,0.0,3323,61.35,-3261.65,356.274,9.33,9.33,0.172199,359.712,9.24,9.24,0.172199,
03/31/2016,2051,2051.0,,-694,694.0,1357,0.0,-995,694.0,301.0,0.0,362,-144,134.0,135.0,-1.0,,10,218,-90.0,128,0.0,0.0,0.0,128.0,0.0,128,0.0,0.0,128,128.0,0.0,356.785,0.36,0.36,0.36,360.745,0.36,0.36,0.36,
06/30/2016,2056,2056.0,,-676,676.0,1380,0.0,-1006,696.0,310.0,0.0,374,-184,139.0,140.0,-1.0,,45,190,-34.0,156,0.0,0.0,0.0,156.0,0.0,156,0.0,0.0,156,195.35,39.35,357.924,0.44,0.44,0.545786,361.25,0.43,0.43,0.538927,
09/30/2016,2033,2033.0,,-675,675.0,1358,0.0,-1004,685.0,319.0,0.0,354,-137,138.0,139.0,-1.0,,-1,217,-74.0,143,0.0,0.0,0.0,143.0,,143,0.0,0.0,143,136.0,-7.0,359.561,0.4,0.4,0.378239,361.907,0.39,0.39,0.370658,
12/31/2016,2033,2033.0,,-2117,2117.0,-84,0.0,439,,229.0,-668.0,355,-138,129.0,130.0,-1.0,,9,217,33.0,250,0.0,0.0,0.0,250.0,0.0,250,0.0,0.0,250,243.65,-6.35,350.334,0.69451,0.69451,0.676869,350.334,0.69451,0.69451,0.676384,
03/31/2017,2048,2048.0,,-1051,1051.0,997,0.0,-660,364.0,296.0,0.0,337,-172,132.0,134.0,-2.0,,40,165,-70.0,95,0.0,0.0,0.0,95.0,0.0,95,0.0,0.0,95,137.25,42.25,361.461,0.262822,0.262822,0.379709,361.461,0.262822,0.262822,0.379709,
06/30/2017,2062,2062.0,,-1035,1035.0,1027,0.0,-674,367.0,307.0,0.0,353,-130,128.0,131.0,-3.0,,2,223,-69.0,154,0.0,0.0,0.0,154.0,0.0,154,0.0,0.0,154,168.3,14.3,362.385,0.424962,0.424962,0.464423,362.385,0.424962,0.424962,0.464423,
09/30/2017,2059,2059.0,,-1046,1046.0,1013,0.0,-664,354.0,310.0,0.0,349,-116,128.0,134.0,-6.0,,-12,233,-76.0,157,0.0,0.0,0.0,157.0,0.0,157,0.0,0.0,157,177.15,20.15,362.79995,0.432745,0.432745,0.488286,362.79995,0.432745,0.432745,0.488286,
12/31/2017,2108,2108.0,,-1051,1051.0,1057,0.0,-787,376.0,387.0,24.0,270,-105,108.0,122.0,-14.0,,-3,165,-287.0,-122,0.0,0.0,0.0,-122.0,0.0,-122,0.0,0.0,-122,-96.65,25.35,351.684542,-0.346902,-0.346902,-0.27482,351.684542,-0.346902,-0.346902,-0.27482,
03/31/2018,2087,2087.0,,-998,998.0,1089,0.0,-828,344.0,431.0,53.0,261,-97,103.0,120.0,-17.0,,-6,164,-102.0,62,0.0,0.0,0.0,62.0,0.0,62,0.0,0.0,62,76.22,14.22,362.8,0.170893,0.170893,0.210088,362.8,0.170893,0.170893,0.210088,
06/30/2018,2052,2052.0,,-980,980.0,1072,0.0,-876,388.0,433.0,55.0,196,-112,108.0,124.0,-16.0,,4,84,-44.0,40,0.0,0.0,0.0,40.0,0.0,40,0.0,0.0,40,86.61,46.61,362.8,0.110254,0.110254,0.238727,362.8,0.110254,0.110254,0.238727,
09/30/2018,2010,2010.0,,-976,976.0,1034,0.0,-807,311.0,431.0,65.0,227,-101,119.0,137.0,-18.0,,-18,126,-38.0,88,0.0,0.0,0.0,88.0,0.0,88,0.0,0.0,88,100.64,12.64,362.79995,0.242558,0.242558,0.277398,362.79995,0.242558,0.242558,0.277398,
12/31/2018,2071,2071.0,,-983,983.0,1088,0.0,-804,311.0,409.0,84.0,284,-121,111.0,128.0,-17.0,,10,163,-12.0,151,0.0,0.0,0.0,151.0,0.0,151,0.0,0.0,151,172.33,21.33,362.79995,0.416207,0.416207,0.475,362.79995,0.416207,0.416207,0.475,
03/31/2019,1950,1950.0,,-871,871.0,1079,0.0,-4472,328.0,390.0,3754.0,-3393,-103,115.0,131.0,-16.0,,-12,-3496,-89.0,-3585,0.0,0.0,0.0,-3585.0,0.0,-3585,0.0,0.0,-3585,-655.68,2929.32,362.8,-9.881477,-9.881477,-1.807277,362.8,-9.881477,-9.881477,-1.807277,
06/30/2019,2014,2014.0,,-919,919.0,1095,0.0,-823,347.0,389.0,87.0,272,-111,114.0,130.0,-16.0,,-3,161,-51.0,110,0.0,0.0,0.0,110.0,0.0,110,0.0,0.0,110,110.0,0.0,725.5,0.15162,0.15162,0.15162,725.5,0.15162,0.15162,0.15162,
09/30/2019,2064,2064.0,,-960,960.0,1104,0.0,-795,289.0,430.0,76.0,309,-121,108.0,123.0,-15.0,,13,188,-74.0,114,0.0,0.0,0.0,114.0,0.0,114,0.0,0.0,114,114.0,0.0,362.8,0.314223,0.314223,0.314223,362.8,0.314223,0.314223,0.314223,
12/31/2019,2061,2061.0,,-953,953.0,1108,0.0,-823,294.0,404.0,125.0,285,-84,95.0,118.0,-23.0,,-11,201,-41.0,160,0.0,0.0,0.0,160.0,0.0,160,0.0,0.0,160,220.83,60.83,362.7998,0.441015,0.441015,0.608683,362.7998,0.441015,0.441015,0.608683,
