Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2014,3050.1,3050.1,-2558.2,2558.2,491.9,0.0,-327.6,327.6,,,0.0,164.3,-84.2,48.6,,,35.6,80.1,-28.3,,51.8,0.0,0.0,0.0,51.8,0.0,51.8,0.0,0.0,51.8,75.915,24.115,171.6,0.3,0.3,0.442395,173.2,0.3,0.3,0.439232,
03/31/2015,2755.2,2755.2,-2298.7,2298.7,456.5,0.0,-304.9,304.9,,,0.0,151.6,-64.6,44.8,,,19.8,87.0,-32.3,,54.7,0.0,0.0,0.0,54.7,0.0,54.7,0.0,0.0,54.7,71.795,17.095,172.1,0.32,0.32,0.41717,173.5,0.32,0.32,0.41717,
06/30/2015,3314.0,3314.0,-2779.5,2779.5,534.5,0.0,-328.6,328.6,,,0.0,205.9,-33.8,37.8,,,-4.0,172.1,-63.9,,108.2,0.0,0.0,0.0,108.2,0.0,108.2,0.0,0.0,108.2,109.5,1.3,171.0,0.63,0.63,0.640351,172.5,0.63,0.63,0.637536,
09/30/2015,3501.1,3501.1,-2933.9,2933.9,567.2,0.0,-362.6,362.6,,,0.0,204.6,41.6,38.5,,-98.1,18.0,246.2,-95.3,,150.9,0.0,0.0,0.0,150.9,0.0,150.9,0.0,0.0,150.9,144.608333,-6.291667,169.6,0.89,0.89,0.852643,171.0,0.88,0.88,0.843207,
12/31/2015,3418.4,3418.4,-2860.8,2860.8,557.6,0.0,-377.7,377.7,,,0.0,179.9,-38.2,38.4,0.0,,-0.2,141.7,-52.4,0.0,89.3,0.0,0.0,0.0,89.3,0.0,89.3,0.0,0.0,89.3,91.055,1.755,168.5,0.53,0.53,0.540386,170.1,0.52,0.52,0.530317,
03/31/2016,3116.7,3116.7,-2592.2,2592.2,524.5,0.0,-363.5,363.5,,,0.0,161.0,-37.1,38.1,,,-1.0,123.9,-46.1,,77.8,0.0,0.0,0.0,77.8,0.0,77.8,0.0,0.0,77.8,77.097684,-0.702316,167.3,0.47,0.47,0.460835,168.9,0.46,0.46,0.455842,
06/30/2016,3664.6,3664.6,-3054.1,3054.1,610.5,0.0,-387.0,387.0,,,0.0,223.5,-36.0,36.9,,,-0.9,187.5,-70.0,,117.5,0.0,0.0,0.0,117.5,0.0,117.5,0.0,0.0,117.5,119.125,1.625,164.9,0.71,0.71,0.722408,166.7,0.7,0.7,0.709748,
09/30/2016,3708.2,3708.2,-3093.9,3093.9,614.3,0.0,-376.8,376.8,,,0.0,237.5,-39.3,37.6,,,1.7,198.2,-72.3,,125.9,0.0,0.0,0.0,125.9,0.0,125.9,0.0,0.0,125.9,123.98,-1.92,162.1,0.78,0.78,0.764837,164.9,0.76,0.76,0.748357,
12/31/2016,3492.4,3492.4,-2914.5,2914.5,577.9,0.0,-380.7,380.7,,,0.0,197.2,-34.4,33.9,,,0.5,162.8,-59.6,,103.2,0.0,0.0,0.0,103.2,0.0,103.2,0.0,0.0,103.2,105.001442,1.801442,160.1,0.64,0.64,0.655849,163.3,0.63,0.63,0.641031,
03/31/2017,3256.0,3256.0,-2702.5,2702.5,553.5,0.0,-382.8,382.8,35.4,347.4,0.0,170.7,-96.2,39.7,,,56.5,74.5,-16.3,,58.2,0.0,0.0,0.0,58.2,0.0,58.2,0.0,0.0,58.2,96.735,38.535,159.4,0.36,0.36,0.60687,162.8,0.36,0.36,0.596701,
06/30/2017,3891.7,3891.7,-3250.9,3250.9,640.8,0.0,-410.0,410.0,46.5,363.5,0.0,230.8,-35.5,35.9,,,-0.4,195.3,-54.4,,140.9,0.0,0.0,0.0,140.9,0.0,140.9,0.0,0.0,140.9,144.5,3.6,156.0,0.9,0.9,0.926282,159.0,0.89,0.89,0.912642,
09/30/2017,3933.2,3933.2,-3291.0,3291.0,642.2,0.0,-398.2,398.2,46.3,351.9,0.0,244.0,-37.1,37.8,,,-0.7,206.9,-77.6,,129.3,0.0,0.0,0.0,129.3,0.0,129.3,0.0,0.0,129.3,129.2,-0.1,153.8,0.84,0.84,0.840052,156.2,0.83,0.83,0.82936,
12/31/2017,3752.1,3752.1,-3138.4,3138.4,613.7,0.0,-392.6,392.6,45.5,347.1,0.0,221.1,-37.0,37.1,,,-0.1,184.1,10.7,,194.8,0.0,0.0,0.0,194.8,0.0,194.8,0.0,0.0,194.8,122.1,-72.7,152.6,1.28,1.28,0.800131,155.3,1.25,1.25,0.781874,
03/31/2018,3606.4,3606.4,-3002.5,3002.5,603.9,0.0,-399.8,399.8,37.1,362.7,0.0,204.1,-38.4,37.7,,,0.7,165.7,-38.7,,127.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,0.0,127.0,127.3,0.3,152.2,0.83,0.83,0.836399,154.8,0.82,0.82,0.821938,
06/30/2018,4186.1,4186.1,-3490.5,3490.5,695.6,0.0,-430.1,430.1,48.7,381.4,0.0,265.5,-35.7,37.2,,,-1.5,229.8,-56.8,,173.0,0.0,0.0,0.0,173.0,0.0,173.0,0.0,0.0,173.0,173.6,0.6,151.6,1.14,1.14,1.145119,153.9,1.12,1.12,1.123899,
09/30/2018,4373.2,4373.2,-3659.6,3659.6,713.6,0.0,-438.8,438.8,48.1,390.7,0.0,274.8,-36.4,36.6,,,-0.2,238.4,-54.7,,183.7,0.0,0.0,0.0,183.7,0.0,183.7,0.0,0.0,183.7,184.0,0.3,150.9,1.22,1.22,1.219351,153.7,1.2,1.2,1.201952,
12/31/2018,4074.8,4074.8,-3381.0,3381.0,693.8,0.0,-450.9,450.9,48.6,402.3,0.0,242.9,-36.3,37.1,,,-0.8,206.6,-47.3,,159.3,0.0,0.0,0.0,159.3,0.0,159.3,0.0,0.0,159.3,160.9,1.6,149.1,1.07,1.07,1.079142,151.9,1.05,1.05,1.060533,
03/31/2019,3957.9,3957.9,-3285.8,3285.8,672.1,0.0,-443.2,443.2,39.2,404.0,0.0,228.9,-37.3,38.3,,,-1.0,191.6,-38.7,,152.9,0.0,0.0,0.0,152.9,0.0,152.9,0.0,0.0,152.9,150.9,-2.0,147.0,1.04,1.04,1.026531,149.2,1.02,1.02,1.006595,
06/30/2019,4629.9,4629.9,-3856.1,3856.1,773.8,0.0,-473.5,473.5,53.1,420.4,0.0,300.3,-39.1,40.5,,,-1.4,261.2,-64.6,,196.6,0.0,0.0,0.0,196.6,0.0,196.6,0.0,0.0,196.6,197.5,0.9,145.7,1.35,1.35,1.355525,148.3,1.33,1.33,1.336069,
09/30/2019,4907.7,4907.7,-4091.2,4091.2,816.5,0.0,-495.9,495.9,51.0,444.9,0.0,320.6,-59.7,42.3,,,17.4,260.9,-59.2,,201.7,0.0,0.0,0.0,201.7,0.0,201.7,0.0,0.0,201.7,215.685,13.985,144.5,1.39,1.39,1.49263,147.2,1.37,1.37,1.465007,
12/31/2019,4536.9,4536.9,-3759.4,3759.4,777.5,0.0,-493.7,493.7,49.9,443.8,0.0,283.8,-47.8,38.3,,,9.5,236.0,-50.4,,185.6,0.0,0.0,0.0,185.6,0.0,185.6,0.0,0.0,185.6,192.2,6.6,143.5,1.29,1.29,1.339373,146.4,1.27,1.27,1.315082,
03/31/2020,4389.2,4389.2,-3632.7,3632.7,756.5,0.0,-510.7,555.7,45.0,510.7,-45.0,245.8,-34.0,37.9,,,-3.9,211.8,-43.9,,167.9,0.0,0.0,0.0,167.9,0.0,167.9,0.0,0.0,167.9,171.613,3.713,142.7,1.18,1.18,1.202614,144.9,1.16,1.16,1.185625,
06/30/2020,4365.7,4365.7,-3618.5,3618.5,747.2,0.0,-463.8,463.8,,463.8,0.0,283.4,-38.0,39.7,,,-1.7,245.4,-56.3,,189.1,0.0,0.0,0.0,189.1,0.0,189.1,0.0,0.0,189.1,192.892,3.792,142.4,1.32,1.32,1.354579,144.3,1.31,1.31,1.336279,
09/30/2020,4557.222,,,,754.99496874,,,,,,,329.5,,,,,,288.0,,,173.625,,,,,,173.625,,,173.625,215.556,,,1.191,1.191,1.494,,1.191,1.191,1.494,
12/31/2020,4281.667,,,,721.97468954,,,,,,,301.833,,,,,,265.571,,,156.625,,,,,,156.625,,,156.625,197.556,,,1.077,1.077,1.359,,1.077,1.077,1.359,
