Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2002,538.0,-79.0,75.0,,120.0,,,,120.0,422.0,,,,,-132.0,-46.0,0.0,-46.0,136.0,198.0,,,,-62.0,,,,-26.0,,,,,,,,-196.0,194.0,-15.0,-263.0,,,,,-58.0,11.0,-69.0,531.0,-1.0,,600.0,10.0,56.0,
03/31/2003,-508.0,71.0,76.0,,44.0,,,,44.0,-699.0,,,,,-395.0,-32.0,0.0,-32.0,-319.0,149.0,,,,-468.0,,,,-97.0,,,,,,,,53.0,175.0,-15.0,239.0,,,,,-25.0,7.0,-32.0,-24.0,0.0,,-728.0,12.0,68.0,
06/30/2003,-355.0,126.0,71.0,,-27.0,,,,-27.0,-525.0,,,,,-439.0,-33.0,0.0,-33.0,-82.0,318.0,,,,-400.0,,,,-316.0,,,,,,,,-8.0,507.0,-15.0,494.0,,,,,6.0,6.0,0.0,22.0,0.0,,-287.0,81.0,61.0,
09/30/2003,231.0,127.0,65.0,,-47.0,,,,-47.0,86.0,,,,,-1101.0,-32.0,0.0,-32.0,-418.0,439.0,,,,-857.0,,,,-650.0,,,,,,,,-1.0,1360.0,-19.0,61.0,,,,,11.0,11.0,0.0,1279.0,28.0,,490.0,74.0,56.0,
12/31/2003,681.0,148.0,66.0,,-5.0,,,,-5.0,472.0,,,,,-1749.0,-52.0,0.0,-52.0,-1229.0,310.0,,,,-1539.0,,,,-120.0,,,,,,,,-348.0,1385.0,-19.0,-406.0,,,,,10.0,10.0,0.0,1800.0,0.0,,317.0,88.0,54.0,
03/31/2004,-451.0,161.0,59.0,,59.0,,,,59.0,-730.0,,,,,-690.0,-35.0,0.0,-35.0,-77.0,413.0,,,,-490.0,,,,-289.0,,,,,,,,-289.0,723.0,-19.0,-241.0,,,,,20.0,20.0,0.0,963.0,0.0,,-418.0,28.0,56.0,
06/30/2004,1098.0,113.0,55.0,,-67.0,,,,-67.0,997.0,,,,,-1520.0,-53.0,0.0,-53.0,-712.0,495.0,,,,-1207.0,,,,-754.0,,,,,,,,-1.0,555.0,-27.0,-195.0,,,,,4.0,4.0,0.0,773.0,0.0,,133.0,109.0,49.0,
09/30/2004,-721.0,-41.0,53.0,,-219.0,,,,-219.0,-514.0,,,,,211.0,-63.0,0.0,-63.0,439.0,710.0,,,,-271.0,,,,-455.0,,,,,,,,290.0,106.0,-28.0,122.0,,,,,-143.0,6.0,-149.0,155.0,0.0,,-404.0,2.0,75.0,
12/31/2004,975.0,53.0,59.0,,410.0,,,,410.0,453.0,,,,,-792.0,-43.0,4.0,-47.0,-1197.0,222.0,,,,-1419.0,,,,412.0,,,,,,,,36.0,499.0,-27.0,-198.0,,,,,-195.0,21.0,-216.0,919.0,0.0,,682.0,14.0,92.0,
03/31/2005,-159.0,145.0,54.0,,37.0,,,,37.0,-395.0,,,,,-670.0,-23.0,0.0,-23.0,-321.0,320.0,,,,-641.0,,,,-326.0,,,,,,,,0.0,191.0,-26.0,129.0,,,,,-222.0,12.0,-234.0,310.0,0.0,,-638.0,2.0,137.0,
06/30/2005,277.0,186.0,51.0,,-3.0,,,,-3.0,43.0,,,,,-541.0,-29.0,0.0,-29.0,-82.0,545.0,,,,-627.0,,,,-428.0,,,,,,,,-2.0,740.0,-29.0,351.0,,,,,-139.0,16.0,-155.0,557.0,0.0,,476.0,149.0,160.0,
09/30/2005,-77.0,207.0,52.0,,17.0,,,,17.0,-353.0,,,,,-1056.0,-25.0,0.0,-25.0,-418.0,511.0,,,,-929.0,,,,-615.0,,,,,,,,2.0,406.0,-29.0,-337.0,,,,,-157.0,35.0,-192.0,924.0,5.0,,-727.0,119.0,174.0,
12/31/2005,736.0,187.0,22.0,,217.0,,,,217.0,310.0,,,,,-1101.0,-1.0,20.0,-21.0,-654.0,36.0,,,,-690.0,,,,614.0,,,,,,,,-1060.0,908.0,-32.0,-199.0,,,,,-64.0,52.0,-116.0,571.0,632.0,,543.0,120.0,10.0,
03/31/2006,737.0,243.0,41.0,,318.0,,,,318.0,135.0,,,,,-1380.0,-19.0,0.0,-19.0,-1083.0,156.0,,,,-1239.0,,,,-106.0,,,,,,,,-172.0,850.0,-32.0,0.0,,,,,-40.0,123.0,-163.0,894.0,28.0,,207.0,37.0,147.0,
06/30/2006,1022.0,251.0,39.0,,-10.0,,,,-10.0,742.0,,,,,-1271.0,32.0,62.0,-30.0,-1206.0,307.0,,,,-1513.0,,,,-98.0,,,,,,,,1.0,1050.0,-39.0,-40.0,,,,,-239.0,53.0,-292.0,1396.0,-28.0,,801.0,233.0,160.0,
09/30/2006,-415.0,266.0,39.0,,-457.0,,,,-457.0,-263.0,,,,,-341.0,-32.0,0.0,-32.0,58.0,264.0,,,,-206.0,,,,-84.0,,,,,,,,-283.0,1160.0,-38.0,-28.0,,,,,-239.0,61.0,-300.0,809.0,656.0,,404.0,185.0,186.0,
12/31/2006,416.0,467.0,38.0,,-175.0,,,,-175.0,86.0,,,,,-248.0,-40.0,1.0,-41.0,-58.0,208.0,,,,-266.0,,,,-154.0,,,,,,,,4.0,1022.0,-64.0,0.0,,,,,-33.0,80.0,-113.0,952.0,167.0,,1190.0,163.0,173.0,
03/31/2007,-170.0,273.0,39.0,,499.0,,,,499.0,-981.0,,,,,-548.0,-39.0,0.0,-39.0,-399.0,481.0,,,,-880.0,,,,-117.0,,,,,,,,7.0,-532.0,-63.0,0.0,,,,,-267.0,124.0,-391.0,423.0,-625.0,,-1250.0,12.0,168.0,
06/30/2007,811.0,292.0,39.0,,-220.0,,,,-220.0,700.0,,,,,-1900.0,-44.0,0.0,-44.0,-1508.0,516.0,,,,-2024.0,,,,-291.0,,,,,,,,-57.0,1303.0,-62.0,0.0,,,,,-65.0,168.0,-233.0,242.0,1188.0,,214.0,210.0,163.0,
09/30/2007,527.0,1534.0,39.0,,-1064.0,,,,-1064.0,18.0,,,,,3142.0,-33.0,0.0,-33.0,278.0,474.0,,,,-196.0,,,,-340.0,,,,,,,,3237.0,-2271.0,-1317.0,239.0,,,,,-1978.0,138.0,-2116.0,785.0,0.0,,1398.0,199.0,160.0,
12/31/2007,578.0,308.0,39.0,,-5.0,,,,-5.0,236.0,,,,,-327.0,-52.0,0.0,-52.0,109.0,563.0,,,,-454.0,,,,-381.0,,,,,,,,-3.0,1644.0,-58.0,267.0,,,,,90.0,92.0,-2.0,1352.0,-7.0,,1895.0,650.0,125.0,
03/31/2008,-322.0,305.0,38.0,,14.0,,-3.0,11.0,6.0,-679.0,,,,,-3016.0,-48.0,0.0,-48.0,-2367.0,376.0,,,,-2743.0,,,,-595.0,,,,,,,,-6.0,1365.0,-58.0,-1.0,,,,,-323.0,27.0,-350.0,1738.0,9.0,,-1973.0,63.0,93.0,
06/30/2008,98.0,295.0,37.0,,-12.0,,,,-12.0,-222.0,,,,,-3999.0,-33.0,0.0,-33.0,-3101.0,450.0,,,,-3551.0,,,,-866.0,,,,,,,,1.0,4349.0,-57.0,-16.0,,,,,82.0,82.0,0.0,4349.0,-9.0,,448.0,365.0,49.0,
09/30/2008,-488.0,304.0,38.0,,54.0,,,,54.0,-884.0,,,,,-1460.0,-47.0,0.0,-47.0,-763.0,509.0,,,,-1272.0,,,,-650.0,,,,,,,,0.0,2032.0,-70.0,-2.0,,,,,54.0,54.0,0.0,2050.0,0.0,,84.0,198.0,42.0,
12/31/2008,714.0,308.0,39.0,,208.0,,,,208.0,159.0,,,,,-2426.0,-58.0,2.0,-60.0,-1834.0,684.0,,,,-2518.0,,,,-531.0,,,,,,,,-3.0,1831.0,-68.0,-1.0,,,,,18.0,18.0,0.0,1882.0,0.0,,119.0,141.0,48.0,
03/31/2009,159.0,218.0,42.0,9.0,-3.0,,,17.0,-20.0,-107.0,200.0,-162.0,-145.0,0.0,-1767.0,-32.0,0.0,-32.0,-1451.0,1180.0,4.0,1176.0,0.0,-2631.0,-484.0,-2147.0,0.0,-283.0,-283.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2701.0,-69.0,-39.0,0.0,0.0,0.0,-39.0,13.0,13.0,0.0,2796.0,0.0,0.0,1093.0,55.0,29.0,
06/30/2009,947.0,205.0,41.0,17.0,19.0,,,18.0,1.0,665.0,45.0,39.0,581.0,0.0,-3877.0,-37.0,0.0,-37.0,-3542.0,1802.0,24.0,1778.0,0.0,-5344.0,-1980.0,-3364.0,0.0,-298.0,-298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5757.0,-70.0,746.0,0.0,0.0,747.0,-1.0,18.0,18.0,0.0,5068.0,-5.0,0.0,2827.0,148.0,39.0,
09/30/2009,-406.0,200.0,38.0,7.0,17.0,,,19.0,-2.0,-668.0,-284.0,108.0,-492.0,0.0,-4544.0,-39.0,0.0,-39.0,-4166.0,1811.0,45.0,1766.0,0.0,-5977.0,-344.0,-5633.0,0.0,-340.0,-340.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3704.0,-70.0,-39.0,0.0,0.0,0.0,-39.0,15.0,15.0,0.0,3795.0,3.0,0.0,-1246.0,147.0,43.0,
12/31/2009,737.0,164.0,38.0,5.0,68.0,,,21.0,47.0,462.0,-251.0,-36.0,749.0,0.0,-3869.0,-32.0,0.0,-32.0,-3344.0,2516.0,66.0,2450.0,0.0,-5860.0,-2662.0,-3198.0,0.0,-490.0,-490.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3257.0,-70.0,-1.0,0.0,0.0,0.0,-1.0,7.0,7.0,0.0,3320.0,1.0,0.0,125.0,96.0,62.0,
03/31/2010,-589.0,6.0,37.0,14.0,17.0,,,19.0,-2.0,-663.0,400.0,41.0,-1104.0,0.0,-4435.0,-29.0,0.0,-29.0,-4131.0,3669.0,238.0,3431.0,0.0,-7800.0,-3178.0,-4622.0,0.0,-275.0,-275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,-72.0,-201.0,0.0,0.0,0.0,-201.0,557.0,557.0,0.0,2793.0,0.0,0.0,-1947.0,70.0,42.0,
06/30/2010,865.0,205.0,36.0,1.0,25.0,,,21.0,4.0,598.0,117.0,19.0,462.0,0.0,-1416.0,-25.0,0.0,-25.0,-1166.0,4082.0,360.0,3722.0,0.0,-5248.0,-1328.0,-3920.0,0.0,-229.0,-229.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3767.0,-71.0,-2.0,0.0,0.0,0.0,-2.0,8.0,8.0,0.0,3832.0,0.0,0.0,3216.0,60.0,51.0,
09/30/2010,166.0,124.0,35.0,3.0,35.0,,,24.0,11.0,-31.0,60.0,-70.0,-21.0,0.0,-7551.0,-28.0,0.0,-28.0,-7130.0,3762.0,716.0,3046.0,0.0,-10892.0,-5643.0,-5249.0,0.0,-393.0,-393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3576.0,-72.0,700.0,0.0,0.0,701.0,-1.0,1.0,1.0,0.0,2949.0,-2.0,0.0,-3809.0,151.0,38.0,
12/31/2010,-451.0,119.0,38.0,9.0,27.0,,,23.0,4.0,-644.0,4.0,-62.0,-586.0,0.0,-2008.0,-47.0,0.0,-47.0,-1372.0,5291.0,1358.0,3933.0,0.0,-6663.0,-4757.0,-1906.0,0.0,-546.0,-546.0,0.0,0.0,-44.0,0.0,-44.0,0.0,1.0,1689.0,-73.0,-1.0,0.0,0.0,0.0,-1.0,12.0,12.0,0.0,1754.0,-3.0,0.0,-770.0,46.0,47.0,
03/31/2011,1303.0,243.0,35.0,4.0,44.0,,,18.0,26.0,977.0,-49.0,158.0,868.0,0.0,-1386.0,-38.0,0.0,-38.0,-935.0,2781.0,1092.0,1689.0,0.0,-3716.0,0.0,-3716.0,0.0,-414.0,-414.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700.0,-72.0,57.0,58.0,0.0,0.0,-1.0,38.0,38.0,0.0,669.0,8.0,0.0,617.0,18.0,42.0,
06/30/2011,615.0,238.0,33.0,1.0,40.0,,,29.0,11.0,303.0,-31.0,-13.0,347.0,0.0,-681.0,-39.0,0.0,-39.0,-308.0,3143.0,834.0,2309.0,0.0,-3451.0,0.0,-3451.0,0.0,-339.0,-339.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,984.0,-73.0,-60.0,-58.0,0.0,0.0,-2.0,30.0,30.0,0.0,1080.0,7.0,0.0,918.0,307.0,44.0,
09/30/2011,94.0,220.0,39.0,8.0,70.0,,,26.0,44.0,-243.0,-6.0,-33.0,-204.0,0.0,-1754.0,-60.0,0.0,-60.0,-1539.0,2960.0,869.0,2091.0,0.0,-4499.0,-866.0,-3633.0,0.0,-244.0,-244.0,0.0,0.0,84.0,0.0,84.0,0.0,5.0,1570.0,-73.0,-112.0,0.0,0.0,0.0,-112.0,16.0,16.0,0.0,1739.0,0.0,0.0,-90.0,91.0,41.0,
12/31/2011,452.0,163.0,48.0,5.0,173.0,,,26.0,147.0,63.0,-145.0,17.0,191.0,0.0,-4846.0,-43.0,0.0,-43.0,-4641.0,4380.0,1991.0,2389.0,0.0,-9021.0,-1387.0,-7634.0,0.0,-128.0,-128.0,0.0,0.0,-30.0,0.0,-30.0,0.0,-4.0,6697.0,-77.0,-1.0,0.0,0.0,0.0,-1.0,7.0,7.0,0.0,6776.0,-8.0,0.0,2303.0,101.0,41.0,
03/31/2012,98.0,195.0,48.0,,95.0,,,25.0,70.0,-240.0,137.0,19.0,-396.0,0.0,-3720.0,-42.0,0.0,-42.0,-3712.0,4317.0,1308.0,3009.0,0.0,-8029.0,-1193.0,-6836.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.0,-77.0,-1.0,0.0,0.0,0.0,-1.0,409.0,409.0,0.0,1405.0,1.0,0.0,-1885.0,12.0,36.0,
06/30/2012,-232.0,470.0,96.0,4.0,178.0,,,54.0,124.0,-980.0,168.0,70.0,-1218.0,0.0,-6488.0,-76.0,0.0,-76.0,-6350.0,10793.0,2566.0,8227.0,0.0,-17143.0,-3029.0,-14114.0,0.0,-62.0,-62.0,,,0.0,0.0,0.0,0.0,0.0,6130.0,-154.0,-3.0,0.0,0.0,0.0,-3.0,884.0,884.0,0.0,5403.0,0.0,,-590.0,221.0,74.0,
