Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
02/01/1997,,22.083182,10.634144,15.806467,15.460723,,31.607341,12.183018,10.752681,11.747852,10.217456,6.136495,6.136495,6.136495,,39.941064,0.0,22.083182,
05/03/1997,,21.668692,9.526295,14.656341,14.646001,,33.830822,7.388264,5.213081,3.031634,4.2413,2.549009,2.549009,2.549009,,39.90028,0.0,21.668692,
08/02/1997,,22.036401,9.550181,14.769828,14.761071,,33.350325,8.969495,6.677437,8.717748,5.557772,3.340241,3.340241,3.340241,,39.899649,0.0,22.036401,
11/01/1997,,18.025633,8.56447,13.132272,13.125272,,33.50357,9.824314,7.878744,11.102483,7.14198,4.292314,4.292315,4.292315,,39.900222,0.0,18.025633,
01/31/1998,,19.191403,10.303869,14.856257,14.828242,,32.330527,13.154384,11.705425,15.200434,11.20747,6.735709,6.735708,6.735708,,39.899828,0.0,19.191403,
05/02/1998,,20.134049,10.371711,15.021866,14.6907,,34.042287,8.8138,6.61992,12.486116,5.940468,3.605835,3.605835,3.605835,,39.300488,0.0,20.134049,
08/01/1998,,20.769087,10.688975,15.385353,15.045473,,33.815882,9.733811,7.492089,11.26252,6.806617,4.131548,4.131548,4.131548,,39.300999,0.0,20.769087,
10/31/1998,,17.685953,9.657595,14.003703,13.714694,,33.707163,10.064833,8.018702,8.827525,7.41492,4.500859,4.500859,4.500859,,39.299965,0.0,17.685953,
01/30/1999,,18.159193,10.81417,15.026371,14.66966,,32.941306,13.893706,12.442267,16.192974,12.016769,7.294184,7.294184,7.294184,,39.299957,0.0,18.159193,
05/01/1999,,16.796907,10.567349,14.279795,13.756127,,34.399993,9.799551,7.610387,12.061443,7.046589,4.319554,4.319554,4.319554,,38.70007,0.0,16.796907,
07/31/1999,,17.354588,10.23813,13.939848,13.247775,,34.625116,10.79326,8.544837,12.963885,7.163681,4.123989,4.814567,4.814567,,42.431987,0.0,17.354588,
10/30/1999,,17.696467,9.80783,14.121835,13.175175,,34.155414,14.457854,8.593429,11.015144,7.132687,4.089732,4.820103,4.820103,,42.662112,0.0,17.696467,
01/29/2000,,18.126155,10.643369,14.700272,13.818033,,32.904988,14.217285,12.703383,13.76241,12.236198,7.500835,7.500835,7.500835,,38.699625,0.0,18.126155,
04/29/2000,,16.639658,9.933635,13.492934,12.69748,,34.665242,9.980174,7.650167,7.763889,6.980335,4.282531,4.282531,4.282531,,38.648631,0.0,16.639658,
07/29/2000,,17.113949,9.92422,13.224939,12.257087,,34.886646,13.902068,9.128696,10.86536,7.358606,4.144708,5.12124,5.12124,,43.675374,0.0,17.113949,
10/28/2000,,17.605573,9.478764,13.148423,12.300972,,34.279885,15.865485,9.410705,12.015579,8.156041,4.816707,5.311403,5.311403,,40.943071,0.0,17.605573,
02/03/2001,,19.142717,10.994331,15.151955,14.310478,,33.137673,15.337908,13.798395,16.658053,13.032418,8.029271,8.029272,8.029272,,38.390011,0.0,19.142717,
05/05/2001,,19.131809,10.615014,14.146887,13.493073,,34.992037,11.38905,8.903249,14.832456,8.192655,5.046652,5.046653,5.046653,,38.400285,0.0,19.131809,
08/04/2001,,19.261397,10.935694,14.205886,13.737838,,35.417122,12.596273,10.05113,14.498255,9.209567,5.707604,5.707604,5.707604,,38.025272,0.0,19.261397,
11/03/2001,,19.349935,10.088695,13.782881,13.359005,,34.556161,12.287301,9.988662,12.636292,9.213189,5.693768,5.693767,5.693767,,38.19982,0.0,19.349935,
02/02/2002,,19.850683,11.284933,15.230279,14.490231,,33.007043,15.341794,13.803742,13.827459,13.80767,8.583065,8.583065,8.583065,,37.838426,0.0,19.850683,
05/04/2002,,20.03571,11.40467,14.993516,14.299756,,35.110188,12.199319,9.83819,13.478438,9.163803,5.699865,5.699866,5.699866,,37.800217,0.0,20.03571,
08/03/2002,,20.483671,11.814966,15.488066,14.769883,,35.750146,13.561918,11.082875,14.934004,10.405759,6.472373,6.472373,6.472373,,37.800091,0.0,20.483671,
11/02/2002,,20.738159,10.891568,14.839054,14.161018,,34.725033,12.95182,10.650139,13.690073,10.007745,6.224766,6.224766,6.224766,,37.800517,0.0,20.738159,
02/01/2003,,20.414026,11.442681,15.362718,14.81757,,33.002288,16.214552,14.604681,19.345408,14.083026,8.759706,8.759706,8.759706,,37.799546,0.0,20.414026,
05/03/2003,,19.520777,11.372687,14.951769,14.396547,,35.002575,11.761809,9.131652,3.78425,8.29274,5.10718,5.10718,5.10718,,38.413839,0.0,19.520777,
08/02/2003,,18.351666,10.993712,14.914384,14.310517,,33.362765,11.990487,9.122107,,8.071239,4.986463,4.986463,4.986463,,38.219356,0.0,18.351666,
11/01/2003,,17.168492,9.295834,13.152185,12.619362,,34.058436,11.168613,8.656948,,7.99883,4.922826,4.922826,4.922826,,38.455675,0.0,17.168492,
01/31/2004,,15.16618,8.932446,12.346291,11.822699,,30.928387,13.430375,11.537615,,11.08275,6.871703,6.871703,6.871703,,37.996405,0.0,15.16618,
05/01/2004,,14.380249,8.686769,11.675069,11.227119,,35.604013,10.401428,7.593523,,6.963149,4.330945,4.330946,4.330946,,37.801914,0.0,14.380249,
07/31/2004,,15.008539,9.226327,12.653828,11.906529,,36.433176,13.441637,10.626144,22.103741,10.026311,6.236343,6.236343,6.236343,,37.800218,0.0,15.008539,
10/30/2004,,15.017966,8.361568,11.958326,11.338377,,35.918126,11.587415,8.973491,11.139021,8.424233,5.239875,5.239875,5.239875,,37.799966,0.0,15.017966,
01/29/2005,,15.713984,9.835836,13.365214,12.628146,,33.60355,14.906909,12.993704,23.030191,12.567246,7.816842,7.816842,7.816842,,37.799879,0.0,15.713984,
