Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2015,734,553.0,1077.0,1077.0,-524.0,181.0,0.0,0.0,0.0,0.0,76.0,105.0,-123.0,611.0,-228.0,0.0,228.0,383.0,-3.0,3.0,380.0,-144.0,236.0,-1.0,-1.0,0.0,237.0,0.0,237.0,0.0,0.0,237.0,237.0,-63.0,369.0,0.64,0.64,0.468835,375.0,0.63,0.63,0.462,
12/31/2015,807,536.0,1057.0,1057.0,-521.0,271.0,-21.0,0.0,-21.0,0.0,82.0,210.0,-120.0,687.0,-235.0,0.0,235.0,452.0,-5.0,5.0,447.0,-164.0,283.0,0.0,0.0,0.0,283.0,0.0,283.0,0.0,0.0,283.0,283.0,-127.65,361.0,0.8,0.8,0.430332,361.0,0.78,0.78,0.426399,
03/31/2016,646,486.0,1051.0,1051.0,-565.0,160.0,0.0,0.0,0.0,0.0,82.0,78.0,-111.0,535.0,-247.0,0.0,247.0,288.0,-4.0,4.0,284.0,-103.0,181.0,0.0,0.0,0.0,181.0,0.0,181.0,0.0,0.0,181.0,181.0,-34.0,339.0,0.53,0.53,0.433628,343.0,0.53,0.53,0.430875,
06/30/2016,552,429.0,1028.0,1028.0,-599.0,123.0,0.0,0.0,0.0,0.0,71.0,52.0,-110.0,442.0,-230.0,0.0,230.0,212.0,-6.0,6.0,206.0,-81.0,125.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,125.0,125.0,29.0,322.0,0.39,0.39,0.478261,328.0,0.38,0.38,0.468415,
09/30/2016,723,412.0,1039.0,1039.0,-627.0,311.0,0.0,0.0,0.0,0.0,76.0,235.0,-106.0,617.0,-228.0,0.0,228.0,389.0,-12.0,12.0,377.0,-147.0,230.0,0.0,0.0,0.0,230.0,,230.0,0.0,0.0,230.0,230.0,-127.65,310.0,0.74,0.74,0.330161,316.0,0.73,0.73,0.326044,
12/31/2016,602,378.0,1027.0,1027.0,-649.0,224.0,0.0,0.0,0.0,0.0,74.0,150.0,-102.0,500.0,-246.0,0.0,246.0,254.0,-13.0,13.0,241.0,-96.0,145.0,0.0,0.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,145.0,-16.0,300.0,0.49,0.49,0.43,300.0,0.48,0.48,0.426667,
03/31/2017,492,340.0,1015.0,1015.0,-675.0,152.0,0.0,0.0,0.0,0.0,76.0,76.0,-107.0,385.0,-238.0,0.0,238.0,147.0,-6.0,6.0,141.0,-53.0,88.0,0.0,0.0,0.0,88.0,,88.0,0.0,0.0,88.0,88.0,19.0,289.0,0.31,0.31,0.370242,296.0,0.3,0.3,0.364189,
06/30/2017,513,351.0,1070.0,1070.0,-719.0,162.0,0.0,0.0,0.0,0.0,70.0,92.0,-105.0,408.0,-230.0,0.0,230.0,178.0,-6.0,6.0,172.0,-60.0,112.0,0.0,0.0,0.0,112.0,,112.0,0.0,0.0,112.0,112.0,11.0,280.0,0.4,0.4,0.439286,285.0,0.39,0.39,0.428596,
09/30/2017,618,355.0,1140.0,1140.0,-785.0,263.0,3.0,0.0,3.0,0.0,75.0,185.0,-105.0,513.0,-238.0,0.0,238.0,275.0,-6.0,6.0,269.0,-93.0,176.0,0.0,0.0,0.0,176.0,,176.0,0.0,0.0,176.0,176.0,-30.65,269.0,0.65,0.65,0.540335,274.0,0.64,0.64,0.528139,
12/31/2017,586,366.0,1159.0,1159.0,-793.0,220.0,0.0,0.0,0.0,0.0,70.0,150.0,-109.0,477.0,-295.0,0.0,295.0,182.0,0.0,0.0,182.0,-266.0,-84.0,0.0,0.0,0.0,-84.0,,-84.0,0.0,0.0,-84.0,-84.0,226.35,263.0,-0.32,-0.32,0.541255,263.0,-0.32,-0.32,0.540646,
03/31/2018,540,329.0,1172.0,1172.0,-843.0,211.0,0.0,0.0,0.0,0.0,69.0,142.0,-87.0,453.0,-282.0,0.0,282.0,171.0,-9.0,9.0,162.0,-36.0,126.0,0.0,0.0,0.0,126.0,,126.0,0.0,0.0,126.0,126.0,-13.47,264.0,0.48,0.48,0.42625,269.0,0.47,0.47,0.419926,
06/30/2018,441,298.0,1227.0,1227.0,-929.0,143.0,0.0,0.0,0.0,0.0,71.0,72.0,-112.0,329.0,-210.0,0.0,210.0,119.0,-6.0,6.0,113.0,-30.0,83.0,0.0,0.0,0.0,83.0,,83.0,0.0,0.0,83.0,83.0,55.11,265.0,0.31,0.31,0.52117,269.0,0.31,0.31,0.51487,
09/30/2018,512,306.0,1241.0,1241.0,-935.0,206.0,0.0,0.0,0.0,0.0,70.0,136.0,-85.0,427.0,-257.0,0.0,257.0,170.0,-23.0,23.0,147.0,-33.0,114.0,0.0,0.0,0.0,114.0,,114.0,0.0,0.0,114.0,114.0,27.58,260.0,0.44,0.44,0.544538,264.0,0.43,0.43,0.53447,
12/31/2018,427,307.0,1267.0,1267.0,-960.0,120.0,0.0,0.0,0.0,0.0,64.0,56.0,-85.0,342.0,-228.0,0.0,228.0,114.0,-8.0,8.0,106.0,-34.0,72.0,0.0,0.0,0.0,72.0,,72.0,0.0,0.0,72.0,72.0,-18.12,256.0,0.28,0.28,0.210469,256.0,0.28,0.28,0.209219,
03/31/2019,504,285.0,1234.0,1234.0,-949.0,219.0,0.0,0.0,0.0,0.0,62.0,157.0,-76.0,428.0,-257.0,0.0,257.0,171.0,-7.0,7.0,164.0,-36.0,128.0,0.0,0.0,0.0,128.0,,128.0,0.0,0.0,128.0,128.0,-7.367692,247.0,0.52,0.52,0.48839,247.0,0.52,0.52,0.48839,
06/30/2019,471,293.0,1204.0,1204.0,-911.0,178.0,16.0,0.0,16.0,0.0,60.0,102.0,-68.0,403.0,-198.0,0.0,198.0,205.0,-11.0,11.0,194.0,-41.0,153.0,0.0,0.0,0.0,153.0,,153.0,0.0,0.0,153.0,153.0,-33.97,235.0,0.65,0.65,0.506511,238.0,0.64,0.64,0.497269,
09/30/2019,508,312.0,1166.0,1166.0,-854.0,196.0,0.0,0.0,0.0,0.0,60.0,136.0,-64.0,444.0,-253.0,0.0,253.0,191.0,-6.0,6.0,185.0,-40.0,145.0,0.0,0.0,0.0,145.0,,145.0,0.0,0.0,145.0,145.0,1.58,225.0,0.64,0.64,0.651467,228.0,0.63,0.63,0.63693,
12/31/2019,527,294.0,1068.0,1068.0,-774.0,233.0,0.0,0.0,0.0,0.0,58.0,175.0,-50.0,477.0,-251.0,0.0,251.0,226.0,-6.0,6.0,220.0,-49.0,171.0,0.0,0.0,0.0,171.0,,171.0,0.0,0.0,171.0,171.0,16.59,221.0,0.79,0.79,0.848824,221.0,0.78,0.78,0.848824,
03/31/2020,225,273.0,987.0,987.0,-714.0,-48.0,-223.0,0.0,0.0,-223.0,58.0,117.0,-95.0,130.0,-261.0,0.0,261.0,-131.0,0.0,0.0,-131.0,25.0,-106.0,0.0,0.0,0.0,-106.0,,-106.0,0.0,0.0,-106.0,-106.0,202.95,200.0,-0.53,-0.53,0.48475,200.0,-0.53,-0.53,0.48475,
06/30/2020,433,300.0,819.0,819.0,-519.0,133.0,-30.0,0.0,0.0,-30.0,52.0,111.0,-44.0,389.0,-219.0,0.0,219.0,170.0,0.0,0.0,170.0,-45.0,125.0,0.0,0.0,0.0,125.0,,125.0,0.0,0.0,125.0,125.0,54.79,194.0,0.65,0.65,0.926753,195.0,0.64,0.64,0.920974,
09/30/2020,452,,,,,,,,,,,,,,,,,,,,186.667,,147.667,,,,,,147.667,,,147.667,147.667,,,0.73,0.73,0.772,,0.73,0.73,0.772,
12/31/2020,456,,,,,,,,,,,,,,,,,,,,183.167,,139.0,,,,,,139.0,,,139.0,139.0,,,0.708,0.708,0.744,,0.708,0.708,0.744,
