Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2010,-111,-115,140,-55,6.0,-18.0,-43,-81.0,-93.0,,12,,-11,-31,0.0,,0.0,-31.0,-31.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,12,117,0.0,111,-271.0,400.0,-18.0,0.0,0.0,0.0,6,,-5,6.0,218,
09/30/2010,543,217,166,201,6.0,44.0,151,56.0,-34.0,,90,,-1736,-94,0.0,,0.0,-94.0,-94.0,0.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,-1634,839,0.0,968,-1672.0,2363.0,277.0,0.0,0.0,0.0,-129,,-354,2.0,126,
12/31/2010,200,-24,151,-39,6.0,-66.0,21,15.0,57.0,,-42,,781,776,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-393,0.0,-435,1056.0,,-1491.0,10.0,10.0,0.0,32,,588,10.0,147,
03/31/2011,149,-297,140,201,5.0,-110.0,306,105.0,116.0,,-11,,-138,-144,0.0,,0.0,-144.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-58,0.0,-31,-1248.0,2500.0,-1283.0,0.0,0.0,0.0,-27,,-47,6.0,156,
06/30/2011,90,-70,139,28,7.0,20.0,1,-7.0,-184.0,,177,0.0,-283,-197,0.0,,0.0,-197.0,-197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86,60,0.0,68,-358.0,426.0,0.0,0.0,0.0,0.0,-8,,-133,6.0,136,
09/30/2011,297,190,152,3,6.0,34.0,-37,-90.0,-19.0,,-71,0.0,-239,-170,0.0,,0.0,-170.0,-170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69,80,0.0,93,-61.0,154.0,0.0,0.0,0.0,0.0,-13,,138,3.0,217,
12/31/2011,239,-13,156,44,6.0,35.0,3,94.0,161.0,,-67,,-176,-172,0.0,,0.0,-172.0,-172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17,-96,0.0,26,-78.0,104.0,0.0,-119.0,0.0,-119.0,-3,,-33,3.0,147,
03/31/2012,71,-9,151,-129,6.0,-1.0,-134,58.0,211.0,,-153,0.0,-314,-181,0.0,,0.0,-181.0,-181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133,61,0.0,76,-38.0,114.0,,-6.0,0.0,-6.0,-9,,-182,6.0,226,
06/30/2012,-103,-329,148,159,7.0,-30.0,182,-81.0,-148.0,,67,0.0,-199,-188,0.0,,0.0,-188.0,-188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-181,0.0,96,-8.0,112.0,-8.0,-284.0,0.0,-284.0,7,,-483,7.0,126,
09/30/2012,640,437,150,53,6.0,24.0,23,,33.0,,-33,0.0,-188,-140,0.0,,0.0,-140.0,-140.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-53,58,0.0,75,-19.0,86.0,8.0,-18.0,0.0,-18.0,1,,510,1.0,213,
12/31/2012,45,100,156,-307,6.0,8.0,-321,96.0,63.0,,33,0.0,231,-128,0.0,,0.0,-128.0,-128.0,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,-461,-89,0.0,669,-243.0,912.0,0.0,-155.0,0.0,-155.0,-13,,187,2.0,154,
03/31/2013,-157,-125,158,-54,8.0,-7.0,-55,-136.0,-45.0,,-91,0.0,-122,-176,0.0,,0.0,-176.0,-176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,-43,0.0,31,-42.0,73.0,,-66.0,9.0,-75.0,-8,,-322,5.0,213,
06/30/2013,-18,-70,157,-23,12.0,-8.0,-27,-82.0,-240.0,,158,0.0,-159,-159,0.0,,0.0,-159.0,-159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-70,0.0,227,30.0,1240.0,-1043.0,-279.0,8.0,-287.0,-18,,-247,16.0,121,
09/30/2013,590,306,159,137,8.0,33.0,96,-12.0,66.0,,-78,0.0,-187,-137,0.0,,0.0,-137.0,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50,-94,0.0,5,12.0,23.0,-30.0,-98.0,2.0,-100.0,-1,,309,1.0,213,
12/31/2013,134,-97,180,-65,8.0,-4.0,-69,116.0,106.0,,10,0.0,-125,-103,0.0,,0.0,-103.0,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23,-92,0.0,93,1004.0,1667.0,-2578.0,-160.0,1.0,-161.0,-25,,-83,2.0,125,
03/31/2014,123,-17,164,-55,10.0,-13.0,-52,31.0,-75.0,,106,0.0,-769,-119,0.0,,0.0,-119.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-650,220,0.0,367,-54.0,421.0,,-137.0,3.0,-140.0,-10,,-426,8.0,225,
06/30/2014,226,139,158,-206,12.0,1.0,-219,135.0,-137.0,,272,0.0,-131,-139,0.0,,0.0,-139.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-168,0.0,-23,54.0,1.0,-78.0,-145.0,12.0,-157.0,0,,-73,8.0,63,
09/30/2014,155,614,164,-464,8.0,3.0,-475,-159.0,92.0,,-251,0.0,1450,1477,1573.0,1573.0,0.0,-96.0,-96.0,0.0,0.0,0.0,0.0,-656.0,0.0,-656.0,0.0,629,-518,0.0,5,0.0,77.0,-72.0,-466.0,4.0,-470.0,-57,,1087,3.0,246,
12/31/2014,350,210,163,-114,6.0,14.0,-134,91.0,33.0,,58,0.0,-634,-138,0.0,0.0,0.0,-138.0,-138.0,0.0,0.0,0.0,0.0,-541.0,0.0,-541.0,0.0,45,-528,0.0,-193,-178.0,2755.0,-2770.0,-332.0,1.0,-333.0,-3,,-812,4.0,76,
03/31/2015,-17,-10,171,-94,11.0,0.0,-105,-84.0,120.0,,-204,0.0,-128,-162,0.0,,0.0,-162.0,-162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,224,0.0,434,-11.0,650.0,-205.0,-199.0,3.0,-202.0,-11,0.0,79,6.0,146,
06/30/2015,36,19,171,-62,1.0,3.0,-66,-92.0,-91.0,,-1,0.0,-118,-117,0.0,0.0,0.0,-117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-292,0.0,-37,11.0,1592.0,-1640.0,-249.0,3.0,-252.0,-6,0.0,-374,11.0,176,
09/30/2015,540,273,177,72,7.0,9.0,56,18.0,13.0,,5,0.0,-204,-132,0.0,,,-132.0,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72,-99,0.0,-26,,,,-62.0,,,-11,0.0,237,2.0,143,
12/31/2015,317,-47,238,7,7.0,-99.0,99,119.0,127.0,,-8,0.0,-391,-450,0.0,,,-450.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,321,0.0,361,,,,-73.0,2.0,-75.0,33,0.0,247,2.0,155,
03/31/2016,31,-198,226,118,9.0,,109,-115.0,87.0,,-202,0.0,-611,-660,0.0,0.0,0.0,-660.0,-660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,-82,0.0,-69,0.0,0.0,-69.0,0.0,0.0,0.0,-13,0.0,-662,2.0,150,
06/30/2016,94,-29,233,-62,8.0,,-70,-48.0,-165.0,,117,,-65,-89,0.0,,,-89.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,-58,0.0,-40,0.0,1181.0,-1221.0,-5.0,0.0,-5.0,-13,0.0,-29,6.0,139,
09/30/2016,547,295,213,-7,6.0,,-13,46.0,-90.0,,136,0.0,-165,-114,0.0,,,-114.0,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51,-36,0.0,-28,0.0,0.0,-28.0,0.0,0.0,0.0,-8,0.0,346,2.0,132,
12/31/2016,358,24,238,96,8.0,,88,0.0,40.0,,-40,0.0,-1078,553,553.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1676.0,0.0,0.0,-1676.0,45,577,0.0,606,,,,6.0,,,-35,0.0,-143,2.0,163,
03/31/2017,112,-56,265,-74,8.0,,-82,-23.0,82.0,,-105,0.0,-24,-40,162.0,162.0,0.0,-202.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-274,0.0,-237,0.0,421.0,-658.0,0.0,0.0,0.0,-37,0.0,-186,3.0,141,
06/30/2017,152,-216,245,155,12.0,,143,-32.0,-121.0,,89,0.0,-82,15,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.0,0.0,-111.0,0.0,14,-63,0.0,-61,,,,0.0,0.0,0.0,-2,0.0,7,5.0,155,
09/30/2017,535,225,181,96,11.0,,85,33.0,-47.0,,80,,-56,-172,0.0,0.0,0.0,-172.0,-172.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,0.0,5,-258,0.0,-284,,,,0.0,0.0,0.0,26,0.0,221,2.0,116,
12/31/2017,150,-292,230,228,11.0,,217,-16.0,-22.0,,6,0.0,-49,54,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.0,0.0,-111.0,0.0,8,-306,0.0,-240,,,,0.0,0.0,0.0,-66,0.0,-205,2.0,163,
03/31/2018,-115,-598,223,142,57.0,,85,118.0,164.0,,-46,0.0,-115,-114,0.0,0.0,0.0,-114.0,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,158,0.0,272,0.0,325.0,-53.0,0.0,0.0,0.0,-114,0.0,-72,4.0,110,
06/30/2018,171,352,220,-253,0.0,,-253,-148.0,-172.0,,24,0.0,-119,-117,0.0,0.0,0.0,-117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-89,0.0,-84,,,,-79.0,0.0,-79.0,74,0.0,-37,6.0,174,
09/30/2018,805,272,199,200,0.0,,200,134.0,43.0,,91,0.0,-79,-73,10.0,10.0,0.0,-83.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-297,0.0,-308,,,,0.0,0.0,0.0,11,0.0,429,,117,
12/31/2018,240,-16,206,91,0.0,,91,-41.0,-136.0,,95,0.0,-79,-100,1.0,1.0,0.0,-101.0,-101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,-518,-20.0,-496,,,,0.0,0.0,0.0,-2,0.0,-357,13.0,186,
03/31/2019,241,175,199,-67,0.0,,-67,-66.0,228.0,-229.0,-65,0.0,-152,-143,0.0,0.0,0.0,-143.0,-143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,23,0.0,23,0.0,126.0,-103.0,0.0,0.0,0.0,0,0.0,112,0.0,115,
06/30/2019,278,266,199,-239,0.0,,-239,52.0,-13.0,-40.0,105,0.0,-163,-161,0.0,,,-161.0,-161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-74,0.0,-66,,,,0.0,0.0,0.0,-8,0.0,41,8.0,168,
09/30/2019,912,485,187,305,0.0,,305,-65.0,-77.0,52.0,-40,0.0,178,172,303.0,,,-131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-450,-401.0,-91,,,,0.0,0.0,0.0,42,0.0,640,0.0,119,
12/31/2019,125,-156,196,69,0.0,,69,16.0,127.0,-54.0,-97,0.0,-121,-130,19.0,19.0,0.0,-149.0,-149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,273,-750.0,1073,0.0,2756.0,-1683.0,0.0,0.0,0.0,-50,0.0,277,3.0,196,
03/31/2020,213,128,184,-148,,,-148,49.0,158.0,-139.0,30,0.0,-126,-135,0.0,0.0,0.0,-135.0,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,-726,0.0,-35,0.0,450.0,-485.0,0.0,0.0,0.0,-691,0.0,-639,1.0,89,
06/30/2020,221,163,177,-44,,,-44,-75.0,-83.0,17.0,-9,0.0,-178,-185,0.0,0.0,0.0,-185.0,-185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,38,0.0,-551,,,,0.0,0.0,0.0,589,0.0,81,1.0,132,
