Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1993,0,649,0,5.0,654,0.0,0.0,-217,-217,,-61,-25,-240,-326,111,0.0,0.0,-37,,,-37,74,-18,56,0,0,56,-6,,50,,,50.0,0.59,0.59,0.59,83.702003,,,,,
12/31/1993,0,825,0,6.0,831,0.0,0.0,-301,-301,,-62,-27,-321,-410,120,0.0,0.0,-31,,,-31,89,-39,50,0,0,50,-6,,44,,,44.0,0.53,0.53,0.53,84.146004,,,,,
03/31/1994,0,705,0,6.0,711,0.0,0.0,-332,-332,,-61,-32,-186,-279,100,0.0,0.0,-31,,,-31,69,-29,40,0,0,40,-5,,35,,,35.0,0.43,0.43,0.43,81.717003,,,,,
06/30/1994,0,651,0,5.0,656,0.0,0.0,-228,-228,,-62,-28,-232,-322,106,0.0,0.0,-29,,,-29,77,-32,45,0,0,45,-6,,39,,,39.0,0.47,0.47,0.47,81.936996,,,,,
09/30/1994,0,591,0,12.0,603,0.0,0.0,-163,-163,,-55,-22,-253,-330,110,0.0,0.0,-31,,,-31,79,-34,45,0,0,45,-7,,38,,,38.0,0.47,0.47,0.47,81.977997,,,,,
12/31/1994,0,717,0,15.0,732,0.0,0.0,-201,-201,,-61,-31,-306,-398,133,0.0,0.0,-37,,,-37,96,-44,52,0,0,52,-4,,48,,,48.0,0.58,0.58,0.58,82.096001,,,,,
03/31/1995,0,618,0,8.0,626,0.0,0.0,-218,-218,,-60,-31,-205,-296,112,,0.0,-29,,,-29,83,-35,48,0,0,48,-6,,42,,,42.0,0.51,0.51,0.51,82.127998,,,,,
06/30/1995,0,599,0,10.0,609,0.0,0.0,-166,-166,,-61,-21,-251,-333,110,,0.0,-28,,,-28,82,-34,48,0,0,48,-6,,42,,,42.0,0.51,0.51,0.51,82.230003,,,,,
09/30/1995,0,528,0,8.0,536,0.0,0.0,-147,-147,,-60,-23,-188,-271,118,,0.0,-27,,,-27,91,-41,50,0,0,50,-5,,45,,,45.0,0.55,0.55,0.55,82.32,,,,,
12/31/1995,0,598,0,8.0,606,0.0,0.0,-151,-151,,-62,-23,-276,-361,94,,0.0,-24,,,-24,70,-19,51,0,0,51,-5,,46,,,46.0,0.56,0.56,0.56,82.382004,,,,,
03/31/1996,0,631,0,6.0,637,0.0,0.0,-235,-235,,-62,-30,-189,-281,121,,-2.0,-27,,,-27,92,-40,52,0,0,52,-5,,47,,,47.0,0.57,0.57,0.57,82.43,,,,,
06/30/1996,0,560,0,6.0,566,0.0,0.0,-128,-128,,-64,-21,-225,-310,128,,0.0,-24,,,-24,104,-46,58,0,0,58,-3,,55,,,55.0,0.67,0.67,0.67,82.605003,,,,,
09/30/1996,0,596,0,4.0,600,0.0,0.0,-185,-185,,-66,-22,-217,-305,110,,0.0,-25,,,-25,85,-36,49,0,0,49,-2,,47,,,47.0,0.57,0.57,0.57,82.758003,,,,,
12/31/1996,0,776,0,9.0,785,0.0,0.0,-318,-318,,-63,-25,-279,-367,100,,0.0,-21,,,-21,79,-29,50,0,0,50,-4,,46,,,46.0,0.56,0.56,0.56,82.652,,,,,
03/31/1997,0,731,0,63.0,794,0.0,0.0,-344,-344,,-64,-28,-249,-341,109,,9.0,-26,,,-26,92,-40,52,0,0,52,-3,,49,6.798,-3.521,52.277,0.64,0.6,0.6,81.935997,0.64,0.6,0.6,83.051003,
06/30/1997,0,571,0,21.0,592,0.0,0.0,-162,-162,,-64,-22,-221,-307,123,,6.0,-25,,,-25,104,-46,58,0,0,58,-2,,56,7.279,-3.219,60.06,0.75,0.7,0.7,81.192001,0.75,0.7,0.7,81.192001,
09/30/1997,0,599,0,10.0,609,0.0,0.0,-227,-227,,-64,-23,-209,-296,86,,15.0,-27,,,-27,74,-35,39,0,0,39,-3,,36,11.385,-5.385,42.0,0.51,0.44,0.44,81.141998,0.51,0.44,0.44,81.141998,
12/31/1997,0,743,0,,743,0.0,0.0,-326,-326,,-64,-26,-239,-329,88,,9.0,-33,,,-25,72,-30,42,0,0,42,-3,,39,5.568,-2.322,42.246,0.51,0.47,0.47,81.157997,0.51,0.47,0.47,81.157997,
03/31/1998,0,669,0,,669,0.0,0.0,-290,-290,,-64,-29,-197,-290,89,,9.0,-19,,,-19,79,-38,41,0,0,41,-2,,39,,,39.0,0.48,0.48,0.48,81.208,0.47,0.47,0.47,82.978996,
06/30/1998,0,581,0,,581,0.0,0.0,-168,-168,,-64,-26,-283,-373,40,,4.0,-16,,,-16,28,-16,12,0,0,12,-1,,11,,,11.0,0.14,0.14,0.14,81.192001,0.14,0.14,0.14,81.192001,
09/30/1998,0,531,0,,531,0.0,0.0,-150,-150,,-65,-21,-185,-271,110,,-10.0,-22,,,-22,78,-33,45,0,0,45,-1,,44,,,44.0,0.54,0.54,0.54,81.141998,0.54,0.54,0.54,81.141998,
12/31/1998,0,691,0,,691,0.0,0.0,-232,-232,,-66,-24,-265,-355,104,,,-10,0.0,,-10,94,-40,51,0,0,51,-2,,49,,,52.0,0.59,0.59,0.59,81.300003,0.59,0.59,0.59,81.300003,
03/31/1999,0,614,0,,614,0.0,0.0,-256,-256,,-65,-25,-162,-252,106,,5.0,-23,,,-23,88,-40,48,0,0,48,-1,,47,,,47.0,,,,,,,,,
06/30/1999,0,621,0,,621,0.0,0.0,-241,-241,,-65,-20,-194,-279,101,,-3.0,-22,,,-22,76,-35,41,0,0,41,-2,,39,,,39.0,,,,,,,,,
09/30/1999,0,561,0,,561,0.0,0.0,-188,-188,,-65,-20,-177,-262,111,,-6.0,-25,,,-25,80,-35,45,0,0,45,-1,,44,,,44.0,,,,,,,,,
12/31/1999,0,773,0,,773,0.0,0.0,-348,-348,,-66,-28,533,-309,116,,9.0,-12,,,-18,107,-56,51,0,0,51,-1,,50,,,50.0,,,,,,,,,
03/31/2000,0,698,0,,698,0.0,0.0,-346,-346,,-64,-28,-150,-242,110,,8.0,-19,1.0,-2.0,-20,98,-46,52,0,0,52,-1,,51,,,51.0,,,,,,,,,
06/30/2000,0,630,0,,630,0.0,0.0,-264,-264,,-67,-22,-168,-257,109,1.0,22.0,-16,,-20.0,-36,96,-46,50,0,0,50,-2,,48,,,48.0,,,,,,,,,
09/30/2000,0,722,0,,722,0.0,0.0,-349,-349,,-65,-19,-175,-259,114,1.0,11.0,-17,1.0,-11.0,-27,99,-47,52,0,0,52,-1,,51,,,51.0,,,,,,,,,
12/31/2000,0,804,0,,804,0.0,0.0,-402,-402,,-67,-27,493,-297,105,1.0,14.0,-16,,0.0,-16,104,-46,58,0,0,58,-1,,57,,,57.0,,,,,,,,,
03/31/2001,0,1548,0,,1548,0.0,0.0,-1151,-1151,,-65,-34,-188,-287,110,1.0,8.0,-17,1.0,-9.0,-25,94,-44,50,0,0,50,-1,,49,,,49.0,,,,,,,,,
06/30/2001,0,927,0,,927,0.0,0.0,-533,-533,,-67,-25,-201,-293,101,1.0,2.0,-16,,0.0,-16,88,-38,50,0,0,50,-2,,48,,,48.0,,,,,,,,,
09/30/2001,0,561,0,,561,0.0,0.0,-163,-163,,-68,-20,-188,-276,122,2.0,5.0,-17,1.0,-5.0,-21,108,-51,57,0,0,57,-1,,56,,,56.0,,,,,,,,,
12/31/2001,0,680,0,,680,0.0,0.0,-270,-270,,-68,-22,-217,-307,103,2.0,3.0,-13,,-11.0,-24,84,-34,50,0,0,50,-1,,49,,,49.0,,,,,,,,,
03/31/2002,0,732,0,,732,0.0,0.0,-347,-347,,-68,-24,-181,-273,112,2.0,9.0,-9,1.0,-9.0,-17,106,-47,59,0,0,59,-1,,58,,,58.0,0.69,0.69,0.69,83.917999,0.69,0.69,0.69,83.917999,
06/30/2002,0,670,0,,670,0.0,0.0,-269,-269,,-68,-23,-210,-301,100,2.0,4.0,-10,0.0,-4.0,-14,92,-42,50,0,0,50,-1,,49,,,49.0,0.58,0.58,0.58,83.917999,0.58,0.58,0.58,83.917999,
09/30/2002,0,597,0,,597,0.0,0.0,-192,-192,,-69,-20,-207,-296,109,2.0,4.0,-8,1.0,-7.0,-14,101,-46,55,0,0,55,-1,0.0,54,,,54.0,0.64,0.64,0.64,83.917999,0.64,0.64,0.64,83.917999,
12/31/2002,0,859,0,,859,0.0,0.0,-384,-384,,-71,-26,-281,-378,97,4.0,1.0,-13,1.0,-4.0,-16,86,-37,49,0,0,49,-1,,48,,,48.0,0.58,0.58,0.58,83.917999,0.58,0.58,0.58,83.917999,
03/31/2003,0,1008,0,,1008,0.0,0.0,-600,-600,,-69,-29,-197,-295,113,2.0,4.0,-12,1.0,-5.0,-16,103,-45,58,0,0,58,-1,,57,,,57.0,0.68,0.68,0.68,83.917999,0.68,0.68,0.68,83.917999,
06/30/2003,0,820,0,,820,0.0,0.0,-421,-421,,-72,-25,-223,-320,79,2.0,-4.0,-10,1.0,-4.0,-13,64,-27,37,0,0,37,-2,,35,,,35.0,0.42,0.42,0.42,83.917999,0.42,0.42,0.42,83.917999,
09/30/2003,0,794,0,,794,0.0,0.0,-333,-333,,-73,-23,-270,-366,95,4.0,2.0,-9,1.0,-2.0,-10,91,-39,52,0,0,52,-1,0.0,51,,,51.0,0.61,0.61,0.61,83.917999,0.61,0.61,0.61,83.917999,
12/31/2003,0,922,0,0.0,922,0.0,0.0,-476,-476,0.0,-75,-29,-260,-364,82,1.0,25.0,-10,0.0,-1.0,-11,97,-21,76,0,0,76,-2,0.0,74,,,74.0,0.88,0.88,0.88,83.917999,0.88,0.88,0.88,83.917999,
03/31/2004,0,1148,0,,1148,0.0,0.0,-721,-721,,-74,-33,-210,-317,110,1.0,4.0,-9,0.0,-3.0,-12,103,-44,59,0,0,59,-1,,58,,,58.0,0.69,0.69,0.69,83.917999,0.69,0.69,0.69,83.917999,
06/30/2004,0,847,0,,847,0.0,0.0,-425,-425,,-76,-24,-230,-330,92,2.0,4.0,-8,1.0,-4.0,-11,87,-37,50,0,0,50,-2,,48,,,48.0,0.57,0.57,0.57,84.0,0.57,0.57,0.57,84.0,
09/30/2004,0,826,0,0.0,826,0.0,0.0,-391,-391,,-75,-23,-223,-321,114,0.0,15.0,-9,0.0,-3.0,-12,117,-49,68,0,0,68,-1,0.0,67,,,67.0,0.79,0.79,0.79,84.0,0.79,0.79,0.79,84.0,
12/31/2004,0,1176,0,0.0,1176,0.0,0.0,-746,-746,,-30,-34,-247,-311,119,-3.0,-12.0,-21,0.0,10.0,-11,93,-33,60,0,0,60,-1,0.0,59,28.0,-10.92,76.08,0.905,0.702,0.702,84.0,0.905,0.702,0.702,84.0,
03/31/2005,0,1241,0,,1241,0.0,0.0,-801,-801,,-66,-33,-215,-314,126,1.0,2.0,-10,0.0,-2.0,-12,117,-48,69,0,0,69,-1,,68,,,68.0,0.81,0.81,0.81,84.0,0.81,0.81,0.81,84.0,
06/30/2005,0,940,0,0.0,940,0.0,0.0,-527,-527,,-66,-28,-218,-312,101,0.0,8.0,-10,1.0,-3.0,-12,97,-33,64,0,0,64,-1,0.0,63,,,63.0,0.68,0.68,0.68,84.0,0.68,0.68,0.68,84.0,
09/30/2005,0,910,0,0.0,910,0.0,0.0,-466,-466,,-66,-26,-333,-425,19,0.0,19.0,-10,0.0,-3.0,-13,25,21,46,0,0,46,-1,0.0,45,,,45.0,0.5,0.5,0.5,84.0,0.5,0.5,0.5,84.0,
12/31/2005,0,1526,0,0.0,1526,0.0,0.0,-1036,-1036,,-66,-34,-188,-288,202,-1.0,-92.0,-25,1.0,8.0,-16,93,-38,55,0,0,55,-1,0.0,54,101.0,-31.309999,123.690001,1.471,0.643,0.643,84.0,1.471,0.643,0.643,84.0,
03/31/2006,0,1425,0,0.0,1425,,,-986,-986,,-66,-39,-233,-338,101,0.0,7.0,-19,0.0,0.0,-19,89,-38,51,0,0,51,-1,0.0,50,,,50.0,0.6,0.6,0.6,84.0,0.6,0.6,0.6,84.0,
06/30/2006,0,908,0,0.0,908,,,-476,-476,,-67,-27,-233,-327,105,0.0,30.0,-18,0.0,0.0,-18,117,-50,67,0,0,67,-1,0.0,66,,,66.0,0.79,0.79,0.79,84.0,0.79,0.79,0.79,84.0,
09/30/2006,0,812,0,0.0,812,,,-365,-365,,-67,-26,-220,-313,134,0.0,10.0,-20,0.0,0.0,-20,124,-63,61,0,0,61,-1,0.0,60,2.0,-0.7,61.3,0.73,0.71,0.71,84.0,0.73,0.71,0.71,84.0,
12/31/2006,0,1036,0,0.0,1036,,,-583,-583,,-67,-29,-265,-361,92,0.0,22.0,-19,0.0,0.0,-19,95,-35,60,0,0,60,-1,0.0,59,-5.0,1.75,55.75,0.66,0.7,0.7,84.0,0.66,0.7,0.7,84.0,
03/31/2007,0,1368,0,0.0,1368,,,-912,-912,,-69,-36,-243,-348,108,0.0,10.0,-19,0.0,0.0,-19,99,-41,58,0,0,58,-1,0.0,57,,,57.0,0.68,0.68,0.68,84.0,0.68,0.68,0.68,84.0,
06/30/2007,0,981,0,0.0,981,,,-529,-529,,-70,-29,-249,-348,104,0.0,12.0,-19,0.0,0.0,-19,97,-41,56,0,0,56,-1,0.0,55,,,55.0,0.67,0.67,0.67,84.0,0.67,0.67,0.67,84.0,
09/30/2007,0,819,0,0.0,819,,,-350,-350,,-71,-26,-254,-351,118,0.0,14.0,-20,0.0,0.0,-20,112,-46,66,0,0,66,-1,0.0,65,,,65.0,0.77,0.77,0.77,84.0,0.77,0.77,0.77,84.0,
12/31/2007,0,1114,0,0.0,1114,,,-629,-629,,-71,-34,-275,-380,105,0.0,12.0,-18,0.0,0.0,-18,99,-37,62,0,0,62,-1,0.0,61,-1.0,0.41,60.41,0.73,0.74,0.74,84.0,0.73,0.74,0.74,84.0,
03/31/2008,0,1556,0,0.0,1556,,,-1087,-1087,,-71,-39,-250,-360,109,0.0,7.0,-17,0.0,0.0,-17,99,-41,58,0,0,58,-1,0.0,57,,,57.0,0.69,0.69,0.69,84.0,0.69,0.69,0.69,84.0,
06/30/2008,0,1143,0,0.0,1143,,,-673,-673,,-71,-32,-265,-368,102,0.0,6.0,-15,0.0,0.0,-15,93,-36,57,0,0,57,-1,0.0,56,,,56.0,0.68,0.68,0.68,84.0,0.68,0.68,0.68,84.0,
09/30/2008,0,1077,0,0.0,1077,,,-609,-609,,-67,-29,-241,-337,131,0.0,6.0,-15,0.0,0.0,-15,122,-42,80,0,0,80,-1,0.0,79,,,79.0,0.94,0.94,0.94,84.0,0.94,0.94,0.94,84.0,
12/31/2008,0,992,0,0.0,992,0.0,0.0,-472,-472,0.0,-71,-35,-321,-427,93,0.0,5.0,-18,0.0,0.0,-18,80,-22,58,0,0,58,-2,0.0,56,,,56.0,0.67,0.67,0.67,84.0,0.67,0.67,0.67,84.0,
03/31/2009,0,920,0,0.0,920,,,-455,-455,,-72,-32,-251,-355,110,0.0,2.0,-17,0.0,0.0,-17,95,-36,59,0,0,59,-1,0.0,58,,,58.0,0.7,0.7,0.7,84.0,0.7,0.7,0.7,84.0,
06/30/2009,0,694,0,0.0,694,,,-214,-214,,-75,-24,-266,-365,115,0.0,6.0,-18,0.0,0.0,-18,103,-40,63,0,0,63,-2,0.0,61,,,61.0,0.73,0.73,0.73,84.0,0.73,0.73,0.73,84.0,
09/30/2009,0,662,0,0.0,662,,,-180,-180,,-73,-25,-249,-347,135,0.0,-4.0,-17,0.0,0.0,-17,114,-41,73,0,0,73,-1,0.0,72,,,72.0,0.86,0.86,0.86,84.0,0.86,0.86,0.86,84.0,
12/31/2009,0,1079,0,0.0,1079,0.0,0.0,-494,-494,0.0,-73,-24,-372,-469,116,0.0,4.0,-17,0.0,0.0,-17,103,-28,75,0,0,75,-1,0.0,74,,,74.0,0.88,0.88,0.88,84.0,0.88,0.88,0.88,84.0,
03/31/2010,0,1182,0,0.0,1182,,,-674,-674,,-75,-37,-262,-374,134,0.0,4.0,-17,0.0,0.0,-17,121,-56,65,0,0,65,-1,0.0,64,,,64.0,0.76,0.76,0.76,84.0,0.76,0.76,0.76,84.0,
06/30/2010,0,834,0,0.0,834,,,-318,-318,,-77,-28,-294,-399,117,0.0,3.0,-16,0.0,0.0,-16,104,-33,71,0,0,71,-2,0.0,69,,,69.0,0.845,0.845,0.845,84.0,0.845,0.845,0.845,84.0,
09/30/2010,0,776,0,0.0,776,,,-252,-252,,-78,-27,-283,-388,136,0.0,2.0,-17,0.0,0.0,-17,121,-42,79,0,0,79,-1,0.0,78,,,78.0,0.94,0.94,0.94,84.0,0.94,0.94,0.94,84.0,
12/31/2010,0,1030,0,0.0,1030,0.0,0.0,-455,-455,0.0,-79,-32,-335,-446,129,0.0,5.0,-16,0.0,0.0,-16,118,-43,75,0,0,75,-1,0.0,74,,,74.0,0.88,0.88,0.88,84.0,0.88,0.88,0.88,84.0,
03/31/2011,0,1056,0,0.0,1056,,,-531,-531,,-81,-37,-288,-406,119,0.0,3.0,-17,0.0,0.0,-17,105,-37,68,0,0,68,-1,0.0,67,,,67.0,0.8,0.8,0.8,84.0,0.8,0.8,0.8,84.0,
