Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/01/2009,1725.946,1725.946,-1227.216,1227.216,498.73,0.0,-468.643,468.439,468.439,0.204,30.087,-0.781,0.781,,,,0.0,29.306,-12.744,16.562,0.0,0.0,0.0,16.562,0.0,16.562,0.0,0.0,16.562,16.6946,0.1326,54.389,0.3,0.3,0.306948,54.557,0.3,0.3,0.30243,
06/24/2009,1715.038,1715.038,-1214.605,1214.605,500.433,0.0,-481.512,477.846,477.846,3.666,18.921,-1.604,1.604,,,,0.0,17.317,-7.922,9.395,0.0,0.0,0.0,9.395,0.0,9.395,0.0,0.0,9.395,11.7779,2.3829,54.481,0.17,0.17,0.216184,54.786,0.17,0.17,0.213495,
09/16/2009,1580.982,1580.982,-1132.684,1132.684,448.298,0.0,-453.289,450.204,450.204,3.085,-4.991,-1.324,1.324,,,,0.0,-6.315,0.682,-5.633,2.425,2.425,0.0,-8.058,0.0,-8.058,0.0,0.0,-8.058,-3.34305,2.28995,54.641,-0.15,-0.1,-0.061182,54.641,-0.15,-0.1,-0.061182,
01/06/2010,2094.335,2094.335,-1503.491,1503.491,590.844,0.0,-587.117,586.046,586.046,1.071,3.727,-1.419,1.419,,,,0.0,2.308,1.968,4.276,2.181,2.181,0.0,2.095,0.0,2.095,0.0,0.0,2.095,4.97215,0.69615,54.905,0.04,0.08,0.090559,55.159,0.04,0.08,0.090559,
03/31/2010,1623.279,1623.279,-1161.085,1161.085,462.194,0.0,-440.109,440.109,440.109,0.0,22.085,-0.967,0.967,,,,0.0,21.118,0.984,22.102,1.221,1.221,0.0,20.881,0.0,20.881,0.0,0.0,20.881,22.102,0.0,55.0,0.38,0.4,0.4,55.186,0.38,0.4,0.4,
06/30/2010,1681.522,1681.522,-1190.933,1190.933,490.589,0.0,-474.282,473.846,473.846,0.436,16.307,-0.94,0.94,,-0.286,,0.0,15.367,0.672,16.039,2.06,2.06,0.0,13.979,0.0,13.979,0.0,0.0,13.979,16.7475,0.7085,55.098,0.253712,0.291099,0.303958,55.798,0.250529,0.287448,0.300145,
09/22/2010,1542.153,1542.153,-1118.837,1118.837,423.316,0.0,-459.817,459.817,459.817,0.0,-36.501,-1.178,1.178,,,,0.0,-37.679,1.166,-36.513,40.278,40.278,0.0,-76.791,0.0,-76.791,0.0,0.0,-76.791,-36.513,0.0,55.272,-1.39,-0.66,-0.66,55.272,-1.39,-0.66,-0.66,
01/12/2011,2095.09,2095.09,-1514.753,1514.753,580.337,0.0,-601.139,596.89,596.89,4.249,-20.802,-1.974,1.974,,,,0.0,-22.776,0.811,-21.965,2.04,2.04,0.0,-24.005,0.0,-24.005,0.0,0.0,-24.005,-19.04455,2.92045,55.7,-0.43,-0.39,-0.341913,55.7,-0.43,-0.39,-0.341913,
04/06/2011,1620.535,1620.535,-1154.694,1154.694,465.841,0.0,-440.148,440.148,440.148,0.0,25.693,-2.905,2.905,,,,0.0,22.788,0.736,23.524,0.159,0.159,0.0,23.365,0.0,23.365,0.0,0.0,23.365,23.524,0.0,55.812,0.42,0.42,0.42,55.891,0.42,0.42,0.42,
06/29/2011,1617.886,1617.886,-1170.239,1170.239,447.647,0.0,-441.378,440.697,440.697,0.681,6.269,-1.16,1.16,,,,0.0,5.109,0.52,5.629,-1.672,-1.672,0.0,7.301,0.0,7.301,0.0,0.0,7.301,6.07165,0.44265,55.819,0.13,0.1,0.108774,56.076,0.13,0.1,0.107894,
09/21/2011,1590.39,1590.39,-1153.307,1153.307,437.083,0.0,-459.852,459.852,459.852,0.0,-22.769,-1.824,1.824,,,,0.0,-24.593,0.0,-24.593,-0.491,-0.491,0.0,-24.102,0.0,-24.102,0.0,0.0,-24.102,-24.593,0.0,55.868,-0.43,-0.44,-0.44,55.868,-0.43,-0.44,-0.44,
01/11/2012,2143.119,2143.119,-1557.611,1557.611,585.508,0.0,-602.179,601.692,601.692,0.487,-16.671,-1.736,1.736,,,,0.0,-18.407,0.0,-18.407,-0.421,-0.421,0.0,-17.986,0.0,-17.986,0.0,0.0,-17.986,-18.09045,0.31655,56.401,-0.32,-0.33,-0.320747,56.401,-0.32,-0.33,-0.324388,
06/30/2012,1672.333,,,,479.1234045,,,,,,23.65,,,,,,,20.533,,23.8,,,,,,23.8,,,23.8,17.9,,,0.335,0.335,0.335,,0.335,0.335,0.335,
09/30/2012,1643.667,,,,465.53580441,,,,,,7.3,,,,,,,7.367,,5.3,,,,,,5.3,,,5.3,6.633,,,0.108,0.108,0.108,,0.108,0.108,0.108,
