Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2008,1929.0,,-1881.0,,48.0,,-105.0,87.0,,18.0,-57.0,-173.0,26.0,37.0,-11.0,-7.0,,141.0,-230.0,-24.0,-254.0,1.0,,,-255.0,-1.0,-256.0,-8.0,0.0,-264.0,-264.0,,100.0,-2.66,-2.64,-1.51,100.0,-2.66,-2.64,-1.51,
12/31/2008,1521.0,,-1541.0,,-20.0,,-84.0,67.0,,17.0,-104.0,-94.0,31.0,43.0,-12.0,,,62.0,-198.0,-51.0,-249.0,,,,-249.0,,-249.0,-8.0,0.0,-257.0,-257.0,,100.0,-2.57,-2.57,-2.17,100.0,-2.57,-2.57,-2.17,
03/31/2009,1216.0,1216.0,-1228.0,1228.0,-12.0,0.0,-118.0,80.0,17.0,21.0,-130.0,-36.0,29.0,35.0,-6.0,-1.0,-3.0,8.0,-166.0,9.0,-160.0,0.0,0.0,0.0,-160.0,3.0,-157.0,-8.0,0.0,-165.0,-131.2,33.8,100.0,-1.64,-1.64,-1.312,100.0,-1.64,-1.64,-1.312,
06/30/2009,1190.0,1190.0,-1123.0,1123.0,67.0,0.0,-56.0,64.0,18.0,-26.0,11.0,-34.0,31.0,37.0,-6.0,-5.0,-1.0,8.0,-23.0,21.0,-3.0,0.0,0.0,0.0,-3.0,3.0,0.0,-8.0,0.0,-8.0,-22.95,-14.95,100.0,-0.08,-0.08,-0.2295,100.0,-0.08,-0.08,-0.2295,
09/30/2009,1329.0,1329.0,-1247.0,1247.0,82.0,0.0,-95.0,73.0,18.0,4.0,-13.0,-36.0,30.0,36.0,-6.0,-3.0,2.0,9.0,-49.0,9.0,-38.0,0.0,0.0,0.0,-38.0,0.0,-38.0,-8.0,0.0,-46.0,-33.0,13.0,101.0,-0.45,-0.45,-0.326733,101.0,-0.45,-0.45,-0.326733,
12/31/2009,1493.0,1493.0,-1387.0,1387.0,106.0,0.0,-291.0,96.0,,195.0,-185.0,-31.0,25.0,31.0,-6.0,0.0,-7.0,6.0,-216.0,-12.0,-235.0,0.0,0.0,0.0,-235.0,-1.0,-236.0,-8.0,0.0,-244.0,-126.35,117.65,139.0,-1.755396,-1.755396,-0.908993,139.0,-1.755396,-1.755396,-0.908993,
03/31/2010,1508.0,1508.0,-1368.0,1368.0,140.0,0.0,-149.0,102.0,15.0,32.0,-9.0,-26.0,20.0,26.0,-6.0,12.0,2.0,-6.0,-35.0,3.0,-30.0,0.0,0.0,0.0,-30.0,-1.0,-31.0,-8.0,0.0,-39.0,-20.8,18.2,140.0,-0.28,-0.28,-0.148571,140.0,-0.28,-0.28,-0.15,
06/30/2010,1526.0,1526.0,-1357.0,1357.0,169.0,0.0,-126.0,91.0,16.0,19.0,43.0,-20.0,13.0,20.0,-7.0,-2.0,4.0,9.0,23.0,-17.0,10.0,0.0,0.0,0.0,10.0,-1.0,9.0,-8.0,0.0,1.0,21.8,20.8,140.0,0.007143,0.007143,0.155714,146.0,0.006849,0.006849,0.149315,
09/30/2010,1516.0,1516.0,-1338.0,1338.0,178.0,0.0,-114.0,99.0,15.0,0.0,64.0,-22.0,14.0,22.0,-8.0,2.0,1.0,6.0,42.0,4.0,47.0,0.0,0.0,0.0,47.0,-1.0,46.0,-8.0,0.0,38.0,54.9,16.9,141.0,0.27,0.27,0.389362,212.0,0.22,0.22,0.299717,
12/31/2010,1559.0,1559.0,-1387.0,1387.0,172.0,0.0,-146.0,110.0,15.0,21.0,26.0,-21.0,12.0,21.0,-9.0,-14.0,4.0,23.0,5.0,-21.0,-12.0,0.0,0.0,0.0,-12.0,-1.0,-13.0,-8.0,0.0,-21.0,-6.7,14.3,142.6,-0.14,-0.14,-0.046985,142.6,-0.14,-0.14,-0.046985,
03/31/2011,1800.0,1800.0,-1585.0,1585.0,215.0,0.0,-194.0,99.0,17.0,78.0,21.0,-19.0,12.0,19.0,-7.0,3.0,4.0,4.0,2.0,-31.0,-25.0,0.0,0.0,0.0,-25.0,-5.0,-30.0,-8.0,0.0,-38.0,17.7,55.7,145.0,-0.26,-0.26,0.122069,145.0,-0.26,-0.26,0.122069,
06/30/2011,1933.0,1933.0,-1700.0,1700.0,233.0,0.0,-119.0,107.0,21.0,-9.0,114.0,-20.0,14.0,20.0,-6.0,-1.0,7.0,7.0,94.0,-31.0,70.0,0.0,0.0,0.0,70.0,-2.0,68.0,-7.0,0.0,61.0,68.15,7.15,147.0,0.41,0.41,0.463605,215.0,0.32,0.32,0.353256,
09/30/2011,1940.0,1940.0,-1706.0,1706.0,234.0,0.0,-74.0,111.0,20.0,-57.0,160.0,-20.0,13.0,20.0,-7.0,12.0,6.0,-5.0,140.0,-30.0,116.0,4.0,4.0,0.0,112.0,-2.0,110.0,-8.0,0.0,102.0,93.9,-12.1,147.1,0.69,0.72,0.638341,214.6,0.51,0.53,0.473616,
12/31/2011,1895.0,1895.0,-1680.0,1680.0,215.0,0.0,-129.0,91.0,19.0,19.0,86.0,-20.0,13.0,20.0,-7.0,,4.0,7.0,66.0,6.0,76.0,1.0,1.0,0.0,75.0,-4.0,71.0,-8.0,0.0,63.0,85.9,21.9,147.3,0.43,0.44,0.583164,214.1,0.33,0.33,0.432289,
03/31/2012,1964.0,1964.0,-1698.0,1698.0,266.0,0.0,-138.0,113.0,,25.0,128.0,-21.0,15.0,21.0,-6.0,9.0,4.0,-3.0,107.0,-37.0,74.0,1.0,1.0,0.0,73.0,-3.0,70.0,-8.0,0.0,62.0,70.6,7.6,147.5,0.42,0.43,0.478644,214.7,0.33,0.33,0.365398,
06/30/2012,1936.0,1936.0,-1663.0,1663.0,273.0,0.0,-140.0,110.0,,30.0,133.0,-20.0,15.0,20.0,-5.0,1.0,2.0,4.0,113.0,-27.0,88.0,-1.0,-1.0,0.0,89.0,-3.0,86.0,-7.0,0.0,79.0,92.95,14.95,147.9,0.53,0.52,0.628465,214.6,0.4,0.4,0.469664,
09/30/2012,1715.0,1715.0,-1477.0,1477.0,238.0,0.0,-121.0,99.0,18.0,4.0,117.0,-22.0,16.0,22.0,-6.0,2.0,-2.0,4.0,95.0,-33.0,60.0,0.0,0.0,0.0,60.0,-4.0,56.0,-8.0,0.0,48.0,56.6,8.6,148.1,0.32,0.32,0.382174,214.5,0.26,0.26,0.300093,
12/31/2012,1609.0,1609.0,-1412.0,1412.0,197.0,0.0,-127.0,102.0,,25.0,70.0,-21.0,14.0,21.0,-7.0,,-2.0,7.0,49.0,46.0,93.0,0.0,0.0,0.0,93.0,-5.0,88.0,-8.0,0.0,80.0,92.35,12.35,148.5,0.54,0.54,0.621886,214.8,0.41,0.41,0.467495,
03/31/2013,1676.0,1676.0,-1462.0,1462.0,214.0,0.0,-122.0,103.0,,19.0,92.0,-21.0,14.0,21.0,-7.0,8.0,4.0,-1.0,71.0,-27.0,48.0,-2.0,-2.0,0.0,50.0,-8.0,42.0,-8.0,0.0,34.0,34.6,2.6,148.0,0.23,0.22,0.233784,214.4,0.19,0.18,0.192127,
06/30/2013,1800.0,1800.0,-1541.0,1541.0,259.0,0.0,-109.0,105.0,,4.0,150.0,-21.0,16.0,21.0,-5.0,-4.0,3.0,9.0,129.0,-35.0,97.0,1.0,1.0,0.0,96.0,-4.0,92.0,-7.0,0.0,85.0,91.85,5.85,145.9,0.58,0.59,0.629541,211.9,0.44,0.44,0.467607,
09/30/2013,1669.0,1669.0,-1434.0,1434.0,235.0,0.0,-105.0,97.0,,8.0,130.0,-27.0,19.0,27.0,-8.0,1.0,3.0,7.0,103.0,-34.0,72.0,1.0,1.0,0.0,71.0,-3.0,68.0,-238.0,0.0,-170.0,-167.05,1.95,145.8,-1.16,-1.15,-1.145748,145.8,-1.16,-1.15,-1.145748,
12/31/2013,1624.0,1624.0,-1412.0,1412.0,212.0,0.0,-117.0,105.0,,12.0,95.0,-30.0,25.0,30.0,-5.0,,2.0,5.0,65.0,-23.0,44.0,1.0,1.0,0.0,43.0,-1.0,42.0,-4.0,0.0,38.0,41.8,2.8,146.0,0.26,0.27,0.286301,181.2,0.23,0.24,0.255453,
03/31/2014,1688.0,1688.0,-1454.0,1454.0,234.0,0.0,-133.0,105.0,13.0,15.0,101.0,-30.0,27.0,30.0,-3.0,,1.0,3.0,71.0,-34.0,38.0,1.0,1.0,0.0,37.0,-3.0,34.0,-3.0,0.0,31.0,41.65,9.65,150.7,0.21,0.21,0.276377,177.0,0.19,0.19,0.24452,
06/30/2014,1710.0,1710.0,-1462.0,1462.0,248.0,0.0,-100.0,108.0,10.0,-18.0,148.0,-29.0,26.0,29.0,-3.0,-14.0,6.0,17.0,119.0,-33.0,92.0,2.0,2.0,0.0,90.0,-4.0,86.0,-2.0,0.0,84.0,92.5,6.5,156.7,0.54,0.55,0.5903,175.1,0.49,0.5,0.537122,
09/30/2014,1637.0,1637.0,-1397.0,1397.0,240.0,0.0,-89.0,97.0,10.0,-18.0,151.0,-30.0,25.0,30.0,-5.0,,2.0,5.0,121.0,-29.0,94.0,1.0,1.0,0.0,93.0,-3.0,90.0,-2.0,0.0,88.0,87.1,-1.9,156.5,0.56,0.57,0.55655,172.9,0.52,0.53,0.519011,
12/31/2014,1582.0,1582.0,-1359.0,1359.0,223.0,0.0,-245.0,101.0,,144.0,-22.0,-29.0,25.0,29.0,-4.0,,4.0,4.0,-51.0,166.0,119.0,11.0,11.0,0.0,108.0,1.0,109.0,0.0,0.0,109.0,194.25,74.25,168.1,0.65,0.71,1.155562,169.3,0.64,0.71,1.148571,
03/31/2015,1608.0,1608.0,-1380.0,1380.0,228.0,0.0,-96.0,100.0,5.0,-9.0,132.0,-28.0,25.0,28.0,-3.0,,1.0,3.0,104.0,-31.0,74.0,0.0,0.0,0.0,74.0,-11.0,63.0,0.0,0.0,63.0,65.3,2.3,164.7,0.38,0.38,0.396478,166.0,0.38,0.38,0.393855,
06/30/2015,1609.0,1609.0,-1373.0,1373.0,236.0,0.0,-112.0,101.0,4.0,7.0,124.0,-27.0,23.0,27.0,-4.0,,2.0,4.0,97.0,-36.0,63.0,0.0,0.0,0.0,63.0,-4.0,59.0,0.0,0.0,59.0,66.65,7.65,162.1,0.36,0.36,0.411166,163.2,0.36,0.36,0.406875,
09/30/2015,1468.0,1468.0,-1255.0,1255.0,213.0,0.0,-137.0,98.0,4.0,35.0,76.0,-31.0,27.0,31.0,-4.0,,0.0,4.0,45.0,77.0,122.0,0.0,0.0,0.0,122.0,-3.0,119.0,0.0,0.0,119.0,144.65,25.65,158.0,0.75,0.75,0.915506,158.9,0.75,0.75,0.911422,
12/31/2015,1375.0,1375.0,-1203.0,1203.0,172.0,0.0,-101.0,92.0,,9.0,71.0,-25.0,25.0,27.0,-2.0,,-37.0,0.0,46.0,-92.0,-83.0,-4.0,-4.0,0.0,-79.0,-3.0,-82.0,0.0,0.0,-82.0,21.307692,107.307692,151.2,-0.54,-0.57,0.140924,151.2,-0.54,-0.57,0.139707,
03/31/2016,1449.0,1449.0,-1250.0,1250.0,199.0,0.0,-103.0,98.0,,5.0,96.0,-24.0,24.0,27.0,-3.0,2.0,,-2.0,72.0,-24.0,48.0,0.0,0.0,0.0,48.0,-3.0,45.0,0.0,0.0,45.0,50.3,5.3,149.4,0.3,0.3,0.33668,149.9,0.3,0.3,0.335357,
06/30/2016,1546.0,1546.0,-1313.0,1313.0,233.0,0.0,-123.0,106.0,2.0,15.0,110.0,-30.0,28.0,30.0,-2.0,0.0,4.0,2.0,80.0,-29.0,55.0,0.0,0.0,0.0,55.0,-2.0,53.0,0.0,0.0,53.0,77.693478,24.693478,146.6,0.36,0.36,0.529969,147.0,0.36,0.36,0.527983,
09/30/2016,1384.0,1384.0,-1176.0,1176.0,208.0,0.0,-109.0,99.0,2.0,8.0,99.0,-27.0,24.0,27.0,-3.0,2.0,2.0,1.0,72.0,-13.0,61.0,0.0,0.0,0.0,61.0,-4.0,57.0,0.0,0.0,57.0,65.672727,8.672727,144.0,0.4,0.4,0.456061,144.6,0.39,0.39,0.449977,
12/31/2016,1447.0,1447.0,-1252.0,1252.0,195.0,0.0,-168.0,98.0,,70.0,27.0,-36.0,24.0,29.0,-5.0,-1.0,8.0,13.0,-9.0,490.0,489.0,0.0,0.0,0.0,489.0,-4.0,485.0,0.0,0.0,485.0,87.148033,-397.851967,144.0,3.368056,3.368056,0.605195,145.7,3.328758,3.328758,0.598133,
03/31/2017,1701.0,1701.0,-1438.0,1438.0,263.0,0.0,-134.0,121.0,,13.0,129.0,-24.0,24.0,27.0,-3.0,2.0,5.0,-2.0,105.0,-30.0,80.0,0.0,0.0,0.0,80.0,-5.0,75.0,0.0,0.0,75.0,89.681818,14.681818,144.6,0.52,0.52,0.620206,145.9,0.51,0.51,0.610629,
06/30/2017,1840.0,1840.0,-1564.0,1564.0,276.0,0.0,-146.0,133.0,,13.0,130.0,-31.0,25.0,27.0,-2.0,0.0,5.0,6.0,99.0,-31.0,73.0,0.0,0.0,0.0,73.0,-2.0,71.0,0.0,0.0,71.0,94.727273,23.727273,144.8,0.48,0.48,0.654194,146.2,0.47,0.47,0.632293,
09/30/2017,1831.0,1831.0,-1562.0,1562.0,269.0,0.0,-130.0,125.0,,5.0,139.0,-35.0,22.0,25.0,-3.0,0.0,2.0,13.0,104.0,-33.0,73.0,0.0,0.0,0.0,73.0,-4.0,69.0,0.0,0.0,69.0,81.24,12.24,145.0,0.47,0.47,0.560276,146.9,0.46,0.46,0.543322,
12/31/2017,1837.0,1837.0,-1581.0,1581.0,256.0,0.0,-164.0,131.0,,33.0,92.0,-20.0,20.0,23.0,-3.0,0.0,7.0,0.0,72.0,-189.0,-110.0,0.0,0.0,0.0,-110.0,6.0,-104.0,0.0,0.0,-104.0,99.67741,203.67741,145.4,-0.74,-0.74,0.685539,145.4,-0.74,-0.74,0.660807,
03/31/2018,2138.0,2138.0,-1831.0,1831.0,307.0,0.0,-133.0,130.0,,3.0,174.0,-21.0,21.0,24.0,-3.0,2.0,6.0,-2.0,153.0,-48.0,111.0,0.0,0.0,0.0,111.0,-3.0,108.0,0.0,0.0,108.0,108.666667,0.666667,145.6,0.74,0.74,0.746337,147.5,0.73,0.73,0.73452,
06/30/2018,2054.0,2054.0,-1746.0,1746.0,308.0,3.0,-173.0,134.0,,39.0,138.0,-21.0,21.0,23.0,-2.0,,6.0,0.0,117.0,4.0,127.0,0.0,0.0,0.0,127.0,-3.0,124.0,0.0,0.0,124.0,107.514286,-16.485714,145.1,0.85,0.85,0.740967,146.5,0.85,0.85,0.73747,
09/30/2018,1978.0,1978.0,-1692.0,1692.0,286.0,0.0,-139.0,119.0,,20.0,147.0,-21.0,21.0,24.0,-3.0,0.0,1.0,0.0,126.0,-31.0,96.0,0.0,0.0,0.0,96.0,-1.0,95.0,0.0,0.0,95.0,70.428571,-24.571429,144.7,0.66,0.66,0.486721,145.9,0.65,0.65,0.481587,
12/31/2018,1973.0,1973.0,-1717.0,1717.0,256.0,0.0,-136.0,116.0,,20.0,120.0,-22.0,22.0,25.0,-3.0,0.0,11.0,0.0,98.0,-3.0,106.0,0.0,0.0,0.0,106.0,-6.0,100.0,0.0,0.0,100.0,98.833329,-1.166671,144.8,0.69,0.69,0.682551,145.8,0.69,0.69,0.681998,
03/31/2019,2163.0,2163.0,-1863.0,1863.0,300.0,0.0,-160.0,136.0,,24.0,140.0,-25.0,25.0,27.0,-2.0,11.0,6.0,-11.0,115.0,-20.0,101.0,0.0,0.0,0.0,101.0,-3.0,98.0,0.0,0.0,98.0,110.416667,12.416667,143.9,0.68,0.68,0.767315,144.8,0.68,0.68,0.76575,
06/30/2019,2306.0,2306.0,-1980.0,1980.0,326.0,0.0,-421.0,140.0,,281.0,-95.0,-31.0,31.0,34.0,-3.0,1.0,8.0,-1.0,-126.0,52.0,-66.0,0.0,0.0,0.0,-66.0,-2.0,-68.0,0.0,0.0,-68.0,122.195818,190.195818,144.0,-0.47,-0.47,0.848582,144.0,-0.47,-0.47,0.848582,
09/30/2019,2164.0,2164.0,-1882.0,1882.0,282.0,0.0,-145.0,128.0,,17.0,137.0,-28.0,28.0,31.0,-3.0,,8.0,0.0,109.0,-5.0,112.0,0.0,0.0,0.0,112.0,-1.0,111.0,0.0,0.0,111.0,104.833333,-6.166667,144.0,0.77,0.77,0.728009,144.8,0.77,0.77,0.727413,
12/31/2019,1987.0,1987.0,-1764.0,1764.0,223.0,0.0,-113.0,104.0,,9.0,110.0,-37.0,28.0,30.0,-2.0,,8.0,9.0,73.0,5.0,86.0,0.0,0.0,0.0,86.0,-1.0,85.0,0.0,0.0,85.0,92.75,7.75,144.0,0.59,0.59,0.644097,145.3,0.58,0.58,0.633338,
03/31/2020,1926.0,1926.0,-1720.0,1720.0,206.0,0.0,-159.0,106.0,,53.0,47.0,-27.0,27.0,29.0,-2.0,,2.0,0.0,20.0,16.0,38.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,38.0,18.074918,-19.925082,144.2,0.26,0.26,0.125346,144.8,0.26,0.26,0.122396,
06/30/2020,1078.0,1078.0,-1088.0,1088.0,-10.0,0.0,-102.0,82.0,,20.0,-112.0,-35.0,30.0,32.0,-2.0,,8.0,5.0,-147.0,-34.0,-173.0,0.0,0.0,0.0,-173.0,-1.0,-174.0,0.0,0.0,-174.0,-96.758621,77.241379,144.5,-1.2,-1.2,-0.66961,144.5,-1.2,-1.2,-0.66961,
09/30/2020,1705.0,,,,152.5975,,,,,,53.65,,,,,,,,26.7,,11.5,,,,,,11.5,,,11.5,17.183,,,0.136,0.136,0.042,,0.136,0.136,0.042,
12/31/2020,1771.25,,,,166.0546875,,,,,,47.95,,,,,,,,43.9,,30.0,,,,,,30.0,,,30.0,33.7,,,0.302,0.302,0.282,,0.302,0.302,0.282,
