Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
11/30/2001,19582,870,,,705,,,,705,18007,,,,,-183.0,58,709.0,-651,0.0,0.0,,,,0.0,,,,-241.0,,,,,,,,0,-16969.0,-253.0,-15778.0,,,,,-318.0,23.0,-341.0,-620.0,0.0,,2430.0,,,
02/28/2002,-7224,848,,,494,,,,494,-8566,,,,,-1360.0,-358,0.0,-358,0.0,0.0,,,,0.0,,,,-1002.0,,,,,,,,0,7463.0,-251.0,7908.0,,,,,-458.0,92.0,-550.0,264.0,0.0,,-1121.0,,,
05/31/2002,-11903,797,,,579,,,,579,-13279,,,,,-312.0,-276,0.0,-276,0.0,0.0,,,,0.0,,,,-36.0,,,,,,,,0,8952.0,-251.0,8635.0,,,,,-235.0,33.0,-268.0,797.0,6.0,,-3263.0,,,
08/31/2002,22023,611,,,571,,,,571,20841,,,,,-1935.0,-223,0.0,-223,0.0,0.0,,,,0.0,,,,-1810.0,,,,,,,,98,-14335.0,-250.0,-14281.0,,,,,-178.0,20.0,-198.0,374.0,0.0,,5753.0,,,
11/30/2002,-7907,732,,,-1017,,,,-1017,-9745,,,,,-2091.0,-267,0.0,-267,0.0,0.0,,,,0.0,,,,-1824.0,,,,,,,,0,11245.0,-248.0,11732.0,,,,,-285.0,34.0,-319.0,46.0,0.0,,1247.0,,,
02/28/2003,-15884,905,506.0,,28,,,,28,-17323,,,,,1321.0,-207,0.0,-207,0.0,0.0,,,,0.0,,,,1528.0,,,,,,,,0,14660.0,-249.0,13812.0,,,,,727.0,897.0,-170.0,370.0,0.0,,97.0,,,
05/31/2003,12062,599,497.0,,256,,,,256,10710,,,,,2047.0,-175,0.0,-175,0.0,0.0,,,,0.0,,,,2222.0,,,,,,,,0,-15360.0,-249.0,-15301.0,,,,,556.0,736.0,-180.0,-366.0,0.0,,-1251.0,,,
08/31/2003,1753,1035,510.0,,211,,,,211,-3,,,,,-281.0,-142,0.0,-142,0.0,0.0,,,,0.0,,,,-139.0,,,,,,,,0,-5258.0,-249.0,-4699.0,,,,,139.0,539.0,-400.0,-449.0,0.0,,-3786.0,,,
11/30/2003,4425,1014,,,-950,,,,-950,2457,,,,,-1325.0,-80,0.0,-80,0.0,0.0,,,,0.0,,,,-1245.0,,,,,,,,0,2320.0,-247.0,2990.0,,,,,-1550.0,0.0,-1550.0,-473.0,1600.0,,5420.0,,,
02/29/2004,-20336,1226,433.0,,65,,,,65,-20401,,,,,3208.0,-61,0.0,-61,0.0,0.0,,,,0.0,,,,3269.0,,,,,,,,0,19337.0,-273.0,20224.0,,,,,107.0,107.0,0.0,-721.0,0.0,,2209.0,,,
05/31/2004,-23121,1223,331.0,,155,,,,155,-26489,,,,,-1963.0,-125,0.0,-125,0.0,0.0,,,,0.0,,,,-1838.0,,,,,,,,0,25253.0,-275.0,26451.0,,,,,-99.0,88.0,-187.0,-824.0,0.0,,169.0,,,
08/31/2004,5361,837,401.0,,112,,,,112,5249,,,,,-2354.0,-107,0.0,-107,0.0,0.0,,,,0.0,,,,-1489.0,,,,,,,,-758,9928.0,-274.0,9316.0,,,,,-212.0,45.0,-257.0,1098.0,0.0,,12935.0,,,
11/30/2004,10638,1200,565.0,,1418,,,,1418,7455,,,,,-1952.0,-240,0.0,-240,0.0,0.0,,,,0.0,,,,-1712.0,,,,,,,,0,-20879.999,-274.0,-21385.0,,,,,-606.0,82.0,-688.0,1385.0,0.001,,-12194.0,,,
02/28/2005,-14331,1402,366.0,,11,,,202.0,-191,-16110,,,,,1091.0,-86,0.0,-86,0.0,0.0,,,,0.0,,,,1306.0,,,,,,,,-129,14497.0,-301.0,15554.0,,,,,-929.0,443.0,-1372.0,173.0,,,1257.0,,,
05/31/2005,-16456,928,456.0,,206,,,,206,-18046,,,,,-1189.0,-184,0.0,-184,0.0,0.0,,,,0.0,,,,-1165.0,,,,,,,,160,8663.0,-295.0,7488.0,,,,,-833.0,71.0,-904.0,2303.0,0.0,,-8982.0,,,
08/31/2005,-27,144,436.0,568.0,1885,,,638.0,1247,-2492,,,,,-1715.0,-146,0.0,-146,0.0,0.0,,,,0.0,,,,-1525.0,,,,,,,,-44,4337.0,-293.0,1227.0,,,,,-166.0,59.0,-225.0,3569.0,0.0,,2595.0,,,
11/30/2005,-10363,2465,-417.0,,-1146,,,,-1146,-11265,,,,,-2308.0,-124,0.0,-124,0.0,0.0,,,,0.0,,,,-2184.0,,,,,,,,0,14404.0,-291.0,16937.0,,,,,-1161.0,31.0,-1192.0,-1159.0,78.0,,1733.0,,,
02/28/2006,-20990,1574,179.0,155.0,888,,,763.0,125,-23786,,,,,1951.0,-129,,-129,0.0,0.0,,,,0.0,,,,3756.0,,,,,,,,-1676,15034.0,-290.0,11742.0,,,,,-1086.0,113.0,-1199.0,4668.0,0.0,,-4005.0,,,
05/31/2006,-20919,1841,316.0,285.0,449,,,1215.0,-766,-23525,,,,,351.0,2119,2119.0,0,0.0,0.0,,,,0.0,,,,-1768.0,,,,,,,,0,9952.0,-291.0,10972.0,,,,,42.0,155.0,-113.0,-771.0,0.0,,-10616.0,,,
08/31/2006,-2640,1851,405.0,517.0,505,,,1742.0,-1237,-5401,,,,,-2098.0,-663,0.0,-663,0.0,0.0,,,,0.0,,,,-1435.0,,,,,,,,0,8491.0,-283.0,5949.0,,,,,210.0,1279.0,-1069.0,2615.0,0.0,,3753.0,,,
11/30/2006,-16254,2206,338.0,239.0,357,,,,357,-19394,,,,,-2549.0,-334,0.0,-334,0.0,0.0,,,,0.0,,,,-1185.0,,,,,,,,-1030,20863.0,-303.0,18689.0,,,,,-658.0,337.0,-995.0,3135.0,0.0,,2060.0,3115.0,39667.0,
02/28/2007,-30121,2672,204.0,195.0,465,,,607.0,-142,-33657,,,,,-507.0,-295,,-295,,,,,,,,,,955.0,,,,,,,,-1167,26658.0,-305.0,18891.0,,,,,-768.0,442.0,-1210.0,8950.0,-110.0,,-3970.0,938.0,12899.0,
05/31/2007,15416,2582,254.0,,679,,,,679,11901,,,,,-8162.0,-312,0.0,-312,-7975.0,0.0,,,,-7975.0,,,,-351.0,,,,,,,,476,7896.0,-303.0,3149.0,,,,,-1274.0,341.0,-1615.0,6264.0,60.0,,15150.0,1031.0,15816.0,
08/31/2007,11906,1543,297.0,472.0,885,,,2132.0,-1247,9181,,,,,-1705.0,-621,0.0,-621,-1003.0,4216.0,,,,-5219.0,,,,-79.0,,,,,,,,-2,-5399.0,-305.0,675.0,,,,,-451.0,243.0,-694.0,-26.0,-5292.0,,4802.0,795.0,12719.0,
11/30/2007,-19450,-3588,3.0,,-1903,,,,-1903,-13962,,,,,-1064.0,-241,0.0,-241,-823.0,56.0,,,,-879.0,,,,0.0,,,,,,,,0,9524.0,-306.0,1889.0,,,,,-490.0,182.0,-672.0,7911.0,520.0,,-10990.0,640.0,18521.0,
02/29/2008,-19091,1551,126.0,,606,,,608.0,-2,-21374,,,,,-509.0,-335,,-335,,,,,,,,,,,,,,,,,,-174,14967.0,-314.0,9961.0,,,,,467.0,467.0,,4508.0,345.0,,-4633.0,60.0,11456.0,
05/31/2008,8423,1026,83.0,,-860,,,,-860,8174,,,,,1048.0,-475,0.0,-475,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,1523,-6654.0,-312.0,-5736.0,,,,,-69.0,0.0,-69.0,-460.0,-77.0,,2817.0,288.0,9849.0,
08/31/2008,15920,1425,100.0,,-335,,,,-335,14730,,,,,467.0,-313,0.0,-313,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,780,-16467.0,-309.0,-17302.0,,,,,-54.0,0.0,-54.0,1547.0,-349.0,,-80.0,323.0,8912.0,
11/30/2008,68165,-2295,485.0,,-2003,,,,-2003,71978,,,,,-277.0,-277,0.0,-277,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0,-12936.0,-292.0,-33429.0,,,,,17269.0,18974.0,-1705.0,5981.0,-2465.0,,54952.0,735.0,5370.0,
03/31/2009,-32521,-177,155.0,,488,19.0,,204.0,265,-32987,1711.0,-11.0,-34687.0,,-1135.0,-1127,0.0,-1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,0,4188.0,-645.0,-3749.0,-8768.0,0.0,19433.0,-14414.0,15.0,29.0,-14.0,8567.0,0.0,-661.0,-30129.0,97.0,2360.0,
06/30/2009,-8948,149,208.0,,-62,-499.0,,423.0,14,-9243,-18055.0,-16368.0,25180.0,,-2039.0,-752,0.0,-752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1287.0,573.0,-1860.0,0.0,0,-3410.0,-433.0,-1655.0,-766.0,0.0,9372.0,-10261.0,-3782.0,6223.0,-10005.0,2460.0,0.0,862.0,-13535.0,84.0,2271.0,
09/30/2009,-8719,757,466.0,,711,,,394.0,317,-10653,-36216.0,-12889.0,38452.0,,-728.0,-428,0.0,-428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,-300.0,0.0,0,2383.0,-367.0,3672.0,6.0,0.0,7537.0,-3871.0,-955.0,13.0,-968.0,33.0,0.0,668.0,-6396.0,604.0,1048.0,
12/31/2009,4237,617,395.0,,-969,480.0,,244.0,-1693,4194,26430.0,-38515.0,16279.0,,-570.0,-570,0.0,-570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,-137.0,-287.0,271.0,-2718.0,0.0,7618.0,-4629.0,79.0,92.0,-13.0,-200.0,0.0,-149.0,3381.0,243.0,1926.0,
03/31/2010,21101,1776,154.0,,1450,-66.0,,370.0,1146,17721,-5073.0,-8428.0,31222.0,,-18812.0,-138,0.0,-138,-18674.0,0.0,0.0,0.0,0.0,-18674.0,0.0,-18674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1578.0,-293.0,426.0,2364.0,0.0,7755.0,-9693.0,-259.0,3.0,-262.0,1711.0,-7.0,-380.0,3487.0,169.0,1178.0,
06/30/2010,8292,1960,1037.0,,-222,503.0,,301.0,-1026,5517,12315.0,-2652.0,-4146.0,,-802.0,-298,0.0,-298,-559.0,0.0,0.0,0.0,0.0,-559.0,0.0,-559.0,0.0,0.0,0.0,0.0,0.0,-228.0,800.0,-1028.0,0.0,283,-6078.0,-289.0,-3213.0,-1338.0,0.0,6002.0,-7877.0,-11.0,2.0,-13.0,-2558.0,-7.0,-543.0,869.0,67.0,2124.0,
09/30/2010,-10167,131,646.0,,1062,-951.0,,306.0,1707,-12006,-2821.0,21024.0,-30209.0,,-4510.0,-364,0.0,-364,-4141.0,0.0,,,,-4141.0,0.0,-4141.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-5,10351.0,-285.0,4980.0,760.0,0.0,12891.0,-8671.0,5557.0,5580.0,-23.0,-166.0,265.0,1094.0,-3232.0,142.0,764.0,
12/31/2010,21402,836,-418.0,,-253,412.0,,283.0,-948,21237,11979.0,21675.0,-12417.0,,-5340.0,-401,0.0,-401,-4627.0,1988.0,,,,-6615.0,0.0,-6615.0,0.0,-307.0,,,,26.0,40.0,-14.0,0.0,-31,-1702.0,-621.0,2171.0,-1744.0,0.0,5875.0,-1960.0,-18.0,1.0,-19.0,2610.0,-5844.0,140.0,14500.0,713.0,1825.0,
03/31/2011,-1322,968,379.0,,1176,648.0,,340.0,188,-3845,7568.0,2783.0,-14196.0,,2545.0,-409,0.0,-409,2954.0,6311.0,0.0,6311.0,0.0,-3357.0,0.0,-3357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2816.0,-302.0,3686.0,2447.0,0.0,14285.0,-13046.0,-244.0,29.0,-273.0,-317.0,-7.0,954.0,4993.0,250.0,1697.0,
06/30/2011,-3852,1193,380.0,,592,-742.0,,388.0,946,-6017,15416.0,10136.0,-31569.0,,2343.0,-316,0.0,-316,2659.0,7934.0,0.0,7934.0,0.0,-5275.0,0.0,-5275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-68.0,-292.0,-1650.0,1185.0,0.0,8311.0,-11146.0,-10.0,0.0,-10.0,2030.0,-146.0,-284.0,-1861.0,280.0,1447.0,
09/30/2011,16064,2199,428.0,,352,-36.0,,278.0,110,13085,11758.0,598.0,729.0,,-10387.0,-363,0.0,-363,-2772.0,2564.0,0.0,2564.0,0.0,-5336.0,0.0,-5336.0,0.0,-7252.0,-7252.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2349.0,-120.0,-2525.0,-2248.0,0.0,7467.0,-7744.0,-27.0,1.0,-28.0,659.0,-336.0,-168.0,3160.0,261.0,-2312.0,
12/31/2011,4492,-250,217.0,,871,-13.0,,294.0,590,3654,-4829.0,-493.0,8976.0,,-5235.0,-216,0.0,-216,-3444.0,3189.0,0.0,3189.0,0.0,-6633.0,0.0,-6633.0,0.0,-1956.0,-1956.0,0.0,0.0,0.0,0.0,0.0,0.0,381,-5547.0,-120.0,-4567.0,67.0,0.0,2662.0,-7296.0,-36.0,,,-522.0,-302.0,-305.0,-6595.0,101.0,2003.0,
03/31/2012,8000,-94,375.0,,627,-1.0,,372.0,256,7092,13690.0,-10567.0,3969.0,,-3265.0,-212,0.0,-212,-2484.0,1003.0,0.0,1003.0,0.0,-3487.0,0.0,-3487.0,0.0,-569.0,-569.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12881.0,-112.0,-13392.0,-2669.0,0.0,5320.0,-16043.0,-149.0,34.0,-183.0,779.0,-7.0,-441.0,-8587.0,145.0,1169.0,
06/30/2012,9466,591,418.0,,356,-22.0,,246.0,132,8101,24966.0,3678.0,-20543.0,,1786.0,-224,0.0,-224,1505.0,4436.0,0.0,4436.0,0.0,-2931.0,0.0,-2931.0,0.0,-1101.0,-1101.0,0.0,0.0,1536.0,1536.0,0.0,0.0,70,-7658.0,-118.0,-9180.0,-2880.0,0.0,4102.0,-10402.0,0.0,8.0,-8.0,1811.0,-171.0,-313.0,3281.0,75.0,1235.0,
09/30/2012,5300,-1023,425.0,,584,-30.0,,280.0,334,5314,-7100.0,876.0,11538.0,,-8875.0,-429,0.0,-429,-8313.0,2761.0,0.0,2761.0,0.0,-11074.0,0.0,-11074.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,-64,-2070.0,-119.0,-2527.0,640.0,0.0,6774.0,-9941.0,-31.0,0.0,-31.0,2505.0,-1898.0,225.0,-5420.0,110.0,1019.0,
12/31/2012,1993,594,363.0,,-440,-25.0,,-7.0,-408,1476,-25167.0,17773.0,8870.0,,-2271.0,-447,0.0,-447,-49.0,6936.0,0.0,6936.0,0.0,-6985.0,0.0,-6985.0,0.0,-1747.0,-1747.0,0.0,0.0,189.0,189.0,0.0,0.0,-217,10712.0,-120.0,-1562.0,-2306.0,0.0,7450.0,-6706.0,-5.0,0.0,-5.0,12509.0,-110.0,-116.0,10318.0,58.0,1790.0,
03/31/2013,4495,962,360.0,-39.0,496,-3.0,,265.0,234,2716,13284.0,-10524.0,-44.0,,-3139.0,-263,0.0,-263,-1294.0,3380.0,0.0,3380.0,0.0,-4674.0,0.0,-4674.0,0.0,-2168.0,-2168.0,0.0,0.0,481.0,481.0,0.0,0.0,105,-4162.0,-119.0,-1134.0,838.0,0.0,10046.0,-12018.0,-294.0,12.0,-306.0,-2643.0,28.0,-1196.0,-4002.0,139.0,728.0,
06/30/2013,13907,980,356.0,102.0,372,-35.0,,294.0,113,12097,-1209.0,2397.0,10909.0,,-3464.0,-320,0.0,-320,-2001.0,7660.0,0.0,7660.0,0.0,-9661.0,0.0,-9661.0,0.0,-1273.0,-1273.0,,,49.0,49.0,0.0,0.0,81,-6227.0,-120.0,-1698.0,-2410.0,0.0,11652.0,-10940.0,-7.0,1.0,-8.0,891.0,-5293.0,81.0,4297.0,398.0,1449.0,
09/30/2013,-1582,906,368.0,,387,-5.0,,291.0,101,-3243,-18019.0,-13383.0,28159.0,,-7386.0,-361,0.0,-361,-4390.0,1772.0,0.0,1772.0,0.0,-6162.0,0.0,-6162.0,0.0,-2605.0,-2605.0,,,39.0,39.0,0.0,0.0,-69,19198.0,-119.0,-4679.0,379.0,0.0,3068.0,-8126.0,712.0,849.0,-137.0,23293.0,-9.0,352.0,10582.0,61.0,1195.0,
12/31/2013,18733,84,427.0,110.0,233,-2.0,,330.0,-95,17879,-17110.0,9454.0,25535.0,,-10472.0,-372,0.0,-372,-6690.0,3370.0,0.0,3370.0,0.0,-10060.0,0.0,-10060.0,0.0,-4011.0,-4011.0,0.0,0.0,578.0,578.0,0.0,0.0,23,-6176.0,-117.0,-14227.0,-9742.0,0.0,3173.0,-7658.0,604.0,844.0,-240.0,7572.0,-8.0,17.0,2102.0,332.0,1421.0,
03/31/2014,4781,1505,326.0,-10.0,248,-6.0,,311.0,-57,2712,30790.0,-18317.0,-9761.0,,-9818.0,2,2.0,0,-5354.0,2834.0,0.0,2834.0,0.0,-8188.0,0.0,-8188.0,0.0,-4560.0,-4560.0,0.0,0.0,135.0,135.0,0.0,0.0,-41,519.0,-143.0,-3160.0,-2075.0,0.0,7701.0,-8786.0,-588.0,84.0,-672.0,4269.0,141.0,59.0,-4459.0,128.0,606.0,
06/30/2014,1046,1899,286.0,25.0,332,-10.0,,318.0,24,-1496,-4143.0,-1433.0,4080.0,,-14291.0,-415,0.0,-415,-6323.0,4818.0,0.0,4818.0,0.0,-11141.0,0.0,-11141.0,0.0,-7238.0,-7238.0,,,32.0,32.0,0.0,0.0,-347,-1362.0,-244.0,-3522.0,1910.0,0.0,7124.0,-12556.0,1497.0,1789.0,-292.0,1047.0,-140.0,68.0,-14539.0,246.0,556.0,
09/30/2014,1864,1693,136.0,-14.0,283,-20.0,,304.0,-1,-234,12509.0,4012.0,-16755.0,,346.0,-120,0.0,-120,1723.0,6975.0,0.0,6975.0,0.0,-5252.0,0.0,-5252.0,0.0,-2176.0,-2176.0,0.0,0.0,795.0,795.0,0.0,0.0,124,13797.0,-265.0,6773.0,-1542.0,0.0,11704.0,-3389.0,792.0,1000.0,-208.0,6687.0,-190.0,-1066.0,14941.0,246.0,954.0,
12/31/2014,-6605,-1630,413.0,22.0,209,-4.0,,327.0,-114,-5619,-18537.0,1157.0,11761.0,0.0,-11561.0,-459,0.0,-459,-5038.0,3004.0,0.0,3004.0,0.0,-8042.0,0.0,-8042.0,0.0,-6142.0,-6142.0,0.0,0.0,27.0,27.0,0.0,0.0,51,10189.0,-252.0,1476.0,-363.0,0.0,10211.0,-8372.0,-276.0,10.0,-286.0,9162.0,79.0,-865.0,-8842.0,266.0,1459.0,
03/31/2015,-13055,2394,321.0,63.0,378,-25.0,,295.0,108,-16211,11414.0,-13349.0,-14276.0,,-2905.0,-320,0.0,-320,33.0,15100.0,0.0,15100.0,0.0,-15067.0,0.0,-15067.0,0.0,-2666.0,-2666.0,0.0,0.0,0.0,0.0,0.0,0.0,48,9951.0,-310.0,6939.0,934.0,0.0,11339.0,-5334.0,827.0,1666.0,-839.0,2271.0,224.0,-682.0,-6691.0,119.0,580.0,
06/30/2015,4602,1807,333.0,-25.0,308,-30.0,,316.0,22,2179,13701.0,4020.0,-15542.0,,-4429.0,-300,0.0,-300,2432.0,14197.0,0.0,14197.0,0.0,-11765.0,0.0,-11765.0,0.0,-6416.0,-6416.0,0.0,0.0,0.0,0.0,0.0,0.0,-145,5753.0,-363.0,3588.0,-353.0,0.0,11570.0,-7629.0,-631.0,3.0,-634.0,3388.0,-229.0,140.0,6066.0,223.0,447.0,
09/30/2015,490,1018,369.0,9.0,437,-19.0,,225.0,231,-1343,14660.0,-6783.0,-9220.0,,-64.0,-344,0.0,-344,2475.0,7776.0,0.0,7776.0,0.0,-5301.0,0.0,-5301.0,0.0,-2231.0,-2231.0,,,0.0,0.0,0.0,0.0,36,6958.0,-423.0,61.0,-2537.0,0.0,7250.0,-4652.0,-658.0,4.0,-662.0,8023.0,-45.0,-225.0,7159.0,199.0,429.0,
12/31/2015,3500,908,410.0,76.0,2704,-10.0,1189.0,268.0,1257,591,-9563.0,4543.0,5611.0,,-12597.0,-409,0.0,-409,-8642.0,6516.0,0.0,6516.0,0.0,-15158.0,0.0,-15158.0,0.0,-4503.0,-4503.0,0.0,0.0,998.0,998.0,0.0,0.0,-41,1492.0,-359.0,-6153.0,-414.0,0.0,4023.0,-9762.0,-818.0,0.0,-818.0,8808.0,14.0,-968.0,-8573.0,136.0,1216.0,
03/31/2016,4177,1134,415.0,128.0,314,-12.0,,217.0,109,2186,5814.0,-215.0,-3413.0,,-9116.0,-315,0.0,-315,-5160.0,10051.0,0.0,10051.0,0.0,-15211.0,0.0,-15211.0,0.0,-3505.0,-3505.0,0.0,0.0,0.0,0.0,0.0,0.0,-136,3849.0,-436.0,3829.0,-1393.0,0.0,13183.0,-7961.0,-976.0,0.0,-976.0,1557.0,-125.0,645.0,-445.0,122.0,613.0,
