Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2011,1413.0,1413.0,-554.0,554.0,859.0,0.0,-594.0,460.0,,125.0,9.0,265.0,-116.0,112.0,114.0,-2.0,4.0,0.0,149.0,-44.0,,,-2.0,103.0,0.0,0.0,0.0,103.0,-1.0,102.0,0.0,0.0,102.0,107.85,5.85,359.381233,0.28,0.28,0.300099,364.471804,0.28,0.28,0.296051,
12/31/2011,1421.0,1421.0,-564.0,564.0,857.0,0.0,-597.0,435.0,0.0,133.0,29.0,260.0,-98.0,108.0,109.0,-1.0,2.0,-12.0,162.0,-73.0,,,4.0,93.0,-2.0,-2.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0,111.85,18.85,360.062174,0.26,0.26,0.310641,365.133994,0.26,0.26,0.310641,
03/31/2012,1340.0,1340.0,-565.0,565.0,775.0,0.0,-621.0,453.0,,131.0,37.0,154.0,-120.0,105.0,106.0,-1.0,9.0,6.0,34.0,-7.0,,,-2.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,49.05,24.05,360.881693,0.069275,0.069275,0.135917,365.721058,0.068358,0.068358,0.134119,
06/30/2012,1342.0,1342.0,-549.0,549.0,793.0,0.0,-564.0,428.0,,120.0,16.0,229.0,-94.0,100.0,101.0,-1.0,4.0,-10.0,135.0,-37.0,,,4.0,102.0,-3.0,-3.0,0.0,105.0,-1.0,104.0,0.0,0.0,104.0,111.4,10.4,361.528675,0.28,0.279369,0.308136,365.875719,0.28,0.2718,0.300225,
09/30/2012,1351.0,1351.0,-550.0,550.0,801.0,0.0,-557.0,429.0,,124.0,4.0,244.0,-99.0,99.0,100.0,-1.0,-1.0,1.0,145.0,-58.0,,,-1.0,86.0,-20.0,-20.0,0.0,106.0,-1.0,105.0,0.0,0.0,105.0,87.6,2.6,362.016373,0.29,0.234796,0.241978,366.22152,0.29,0.234796,0.241896,
12/31/2012,1441.0,1441.0,-576.0,576.0,865.0,0.0,-583.0,429.0,,126.0,28.0,282.0,-214.0,88.0,89.0,-1.0,5.0,121.0,68.0,-29.0,,,4.0,43.0,7.0,7.0,0.0,36.0,3.0,39.0,0.0,0.0,39.0,140.25,94.25,362.712063,0.11,0.13,0.38667,366.973945,0.11,0.13,0.38667,
03/31/2013,1319.0,1319.0,-579.0,579.0,740.0,0.0,-598.0,442.0,,121.0,35.0,142.0,-101.0,77.0,78.0,-1.0,12.0,12.0,41.0,-18.0,,,-1.0,22.0,-12.0,-12.0,0.0,34.0,1.0,35.0,0.0,0.0,35.0,49.0,26.0,370.583217,0.09,0.06,0.132224,375.557021,0.09,0.06,0.12923,
06/30/2013,1386.0,1386.0,-580.0,580.0,806.0,0.0,-568.0,434.0,,126.0,8.0,238.0,-77.0,73.0,73.0,0.0,4.0,0.0,161.0,-46.0,,,4.0,119.0,-307.0,-307.0,0.0,426.0,0.0,426.0,0.0,0.0,426.0,124.2,5.2,376.580064,1.14,0.32,0.32981,381.55939,1.12,0.31,0.323628,
09/30/2013,1387.0,1387.0,-573.0,573.0,814.0,0.0,-571.0,434.0,,117.0,20.0,243.0,-72.0,77.0,78.0,-1.0,7.0,-12.0,171.0,-40.0,,,0.0,131.0,0.0,0.0,0.0,131.0,3.0,134.0,0.0,0.0,134.0,134.0,0.0,377.590584,0.35,0.35,0.35,382.302017,0.35,0.35,0.35,
12/31/2013,1611.0,1611.0,-666.0,666.0,945.0,0.0,-707.0,505.0,,146.0,56.0,238.0,-91.0,80.0,80.0,0.0,2.0,9.0,147.0,13.0,,,-1.0,159.0,14.0,14.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,205.15,46.15,378.331799,0.38,0.42,0.542249,384.226506,0.38,0.41,0.530111,
03/31/2014,1489.0,1489.0,-642.0,642.0,847.0,0.0,-654.0,489.0,,141.0,24.0,193.0,-106.0,76.0,77.0,-1.0,27.0,3.0,87.0,-33.0,,,1.0,55.0,0.0,0.0,0.0,55.0,3.0,58.0,0.0,0.0,58.0,79.45,21.45,379.012826,0.15,0.15,0.209624,384.739599,0.15,0.15,0.205752,
06/30/2014,1594.0,1594.0,-677.0,677.0,917.0,0.0,-640.0,482.0,,145.0,13.0,277.0,-128.0,77.0,78.0,-1.0,6.0,45.0,149.0,-74.0,,,1.0,76.0,0.0,0.0,0.0,76.0,-2.0,74.0,0.0,0.0,74.0,90.9,16.9,379.755766,0.19,0.19,0.239364,385.356813,0.19,0.19,0.233855,
09/30/2014,1572.0,1572.0,-648.0,648.0,924.0,0.0,-613.0,468.0,,139.0,6.0,311.0,-124.0,73.0,74.0,-1.0,-1.0,52.0,187.0,-95.0,,,0.0,92.0,0.0,0.0,0.0,92.0,-1.0,91.0,0.0,0.0,91.0,100.75,9.75,380.884561,0.24,0.24,0.264516,385.891391,0.24,0.24,0.264516,
12/31/2014,1633.0,1633.0,-653.0,653.0,980.0,0.0,-672.0,478.0,,148.0,46.0,308.0,-110.0,71.0,71.0,0.0,39.0,0.0,198.0,-34.0,,,-6.0,158.0,0.0,0.0,0.0,158.0,3.0,161.0,0.0,0.0,161.0,198.05,37.05,377.676631,0.43,0.43,0.52439,381.840834,0.42,0.42,0.51703,
03/31/2015,1458.0,1458.0,-622.0,622.0,836.0,0.0,-637.0,481.0,,142.0,14.0,199.0,-98.0,72.0,73.0,-1.0,26.0,0.0,101.0,-38.0,,,,63.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,0.0,63.0,79.25,16.25,371.169651,0.17,0.17,0.213514,375.361957,0.17,0.17,0.213292,
06/30/2015,1559.0,1559.0,-648.0,648.0,911.0,0.0,-625.0,465.0,,146.0,14.0,286.0,-84.0,78.0,79.0,-1.0,6.0,0.0,202.0,-86.0,,,0.0,116.0,0.0,0.0,0.0,116.0,-2.0,114.0,0.0,0.0,114.0,115.75,1.75,368.364597,0.31,0.31,0.314227,372.581033,0.31,0.31,0.314227,
09/30/2015,1531.0,1531.0,-615.0,615.0,916.0,0.0,-618.0,459.0,,144.0,15.0,298.0,-73.0,78.0,79.0,-1.0,-5.0,0.0,225.0,-82.0,,,-1.0,142.0,0.0,0.0,0.0,142.0,0.0,142.0,0.0,0.0,142.0,143.45,1.45,365.498696,0.39,0.39,0.392477,369.497939,0.38,0.38,0.383924,
12/31/2015,1624.0,1624.0,-654.0,654.0,970.0,0.0,-660.0,510.0,0.0,142.0,8.0,310.0,123.0,79.0,80.0,-1.0,4.0,-206.0,433.0,-177.0,,,-2.0,254.0,0.0,0.0,0.0,254.0,-3.0,251.0,0.0,0.0,251.0,161.95,-89.05,363.059789,0.69,0.69,0.44607,366.495869,0.68,0.68,0.437023,
03/31/2016,1487.0,1487.0,-641.0,641.0,846.0,0.0,-622.0,465.0,,147.0,10.0,224.0,-79.0,78.0,79.0,-1.0,1.0,0.0,145.0,-44.0,,,,101.0,0.0,0.0,0.0,101.0,-1.0,100.0,0.0,0.0,100.0,111.7,11.7,361.58067,0.28,0.28,0.308921,365.201139,0.27,0.27,0.302037,
06/30/2016,1596.0,1596.0,-654.0,654.0,942.0,0.0,-660.0,474.0,,152.0,34.0,282.0,-86.0,82.0,83.0,-1.0,4.0,0.0,196.0,-82.0,,,,114.0,0.0,0.0,0.0,114.0,-1.0,113.0,0.0,0.0,113.0,136.95,23.95,359.264465,0.31,0.31,0.381196,363.216877,0.31,0.31,0.375939,
09/30/2016,1570.0,1570.0,-642.0,642.0,928.0,0.0,-632.0,452.0,,151.0,29.0,296.0,-82.0,84.0,85.0,-1.0,-2.0,0.0,214.0,-82.0,,,0.0,132.0,0.0,0.0,0.0,132.0,-2.0,130.0,0.0,0.0,130.0,148.85,18.85,357.088498,0.36,0.36,0.416843,360.574807,0.36,0.36,0.412278,
12/31/2016,1656.0,1656.0,-670.0,670.0,986.0,0.0,-645.0,460.0,0.0,153.0,32.0,341.0,-80.0,85.0,86.0,-1.0,3.0,-8.0,261.0,-101.0,,,0.0,160.0,0.0,0.0,0.0,160.0,-1.0,159.0,0.0,0.0,159.0,185.0,26.0,357.421305,0.44,0.44,0.517596,359.708352,0.44,0.44,0.512281,
03/31/2017,1526.0,1526.0,-661.0,661.0,865.0,0.0,-660.0,473.0,,155.0,32.0,205.0,-89.0,89.0,90.0,-1.0,2.0,-2.0,116.0,-43.0,,,,73.0,0.0,0.0,0.0,73.0,-2.0,71.0,0.0,0.0,71.0,100.25,29.25,357.399749,0.2,0.2,0.280498,359.054968,0.2,0.2,0.280498,
06/30/2017,1644.0,1644.0,-678.0,678.0,966.0,0.0,-645.0,474.0,,162.0,9.0,321.0,-97.0,91.0,92.0,-1.0,7.0,-1.0,224.0,-91.0,,,,133.0,0.0,0.0,0.0,133.0,-2.0,131.0,0.0,0.0,131.0,140.1,9.1,356.829766,0.37,0.37,0.392624,358.085067,0.37,0.37,0.392624,
09/30/2017,1641.0,1641.0,-692.0,692.0,949.0,0.0,-615.0,448.0,,160.0,7.0,334.0,-92.0,94.0,95.0,-1.0,0.0,-2.0,242.0,-92.0,,,0.0,150.0,0.0,0.0,0.0,150.0,-4.0,146.0,0.0,0.0,146.0,157.05,11.05,356.426891,0.41,0.41,0.440623,357.692115,0.41,0.41,0.440623,
12/31/2017,1761.0,1761.0,-734.0,734.0,1027.0,0.0,-673.0,478.0,0.0,163.0,32.0,354.0,-108.0,96.0,97.0,-1.0,1.0,11.0,246.0,-162.0,,,0.0,84.0,0.0,0.0,0.0,84.0,-3.0,81.0,0.0,0.0,81.0,227.9,146.9,356.219487,0.23,0.23,0.639774,357.393714,0.23,0.23,0.639774,
03/31/2018,1610.0,1610.0,-719.0,719.0,891.0,0.0,-684.0,493.0,,167.0,24.0,207.0,-93.0,94.0,96.0,-2.0,0.0,-1.0,114.0,-39.0,,,,75.0,0.0,0.0,0.0,75.0,-3.0,72.0,0.0,0.0,72.0,100.44,28.44,356.460561,0.2,0.2,0.28177,357.273815,0.2,0.2,0.279603,
06/30/2018,1647.0,1647.0,-698.0,698.0,949.0,0.0,-721.0,494.0,,162.0,65.0,228.0,-107.0,98.0,100.0,-2.0,4.0,5.0,121.0,-44.0,,,-1.0,76.0,0.0,0.0,0.0,76.0,-4.0,72.0,0.0,0.0,72.0,128.09,56.09,355.77349,0.2,0.2,0.360032,356.37616,0.2,0.2,0.35739,
09/30/2018,1600.0,1600.0,-681.0,681.0,919.0,0.0,-658.0,464.0,,175.0,19.0,261.0,-104.0,97.0,99.0,-2.0,8.0,-1.0,157.0,-59.0,,,0.0,98.0,0.0,0.0,0.0,98.0,-2.0,96.0,0.0,0.0,96.0,122.86,26.86,354.993315,0.27,0.27,0.346091,355.561704,0.27,0.27,0.345542,
12/31/2018,1658.0,1658.0,-707.0,707.0,951.0,0.0,-2122.0,507.0,0.0,171.0,1444.0,-1171.0,-103.0,97.0,99.0,-2.0,4.0,2.0,-1274.0,324.0,,,1.0,-949.0,0.0,0.0,0.0,-949.0,-3.0,-952.0,0.0,0.0,-952.0,144.498545,1096.498545,355.199432,-2.68,-2.68,0.40681,355.199432,-2.68,-2.68,0.40681,
03/31/2019,1563.0,1563.0,-695.0,695.0,868.0,0.0,-694.0,480.0,,179.0,35.0,174.0,-95.0,97.0,99.0,-2.0,3.0,-5.0,79.0,-32.0,,,,47.0,0.0,0.0,0.0,47.0,-4.0,43.0,0.0,0.0,43.0,89.326421,46.326421,355.444756,0.12,0.12,0.251309,356.357083,0.12,0.12,0.25,
06/30/2019,1628.0,1628.0,-699.0,699.0,929.0,0.0,-680.0,483.0,,185.0,12.0,249.0,-100.0,99.0,100.0,-1.0,1.0,0.0,149.0,-23.0,,,0.0,126.0,0.0,0.0,0.0,126.0,-3.0,123.0,0.0,0.0,123.0,146.316277,23.316277,355.630327,0.35,0.35,0.411428,356.627708,0.34,0.34,0.40538,
09/30/2019,1616.0,1616.0,-694.0,694.0,922.0,0.0,-1662.0,467.0,,186.0,1009.0,-740.0,-108.0,99.0,100.0,-1.0,6.0,3.0,-848.0,380.0,,,0.0,-468.0,0.0,0.0,0.0,-468.0,-4.0,-472.0,0.0,0.0,-472.0,-77.716165,394.283835,355.779274,-1.33,-1.33,-0.218439,355.779274,-1.33,-1.33,-0.221774,
12/31/2019,1691.0,1691.0,-734.0,734.0,957.0,0.0,-733.0,499.0,,206.0,28.0,224.0,-267.0,96.0,98.0,-2.0,0.0,171.0,-43.0,-65.0,,,0.0,-108.0,0.0,0.0,0.0,-108.0,-1.0,-109.0,0.0,0.0,-109.0,-59.151874,49.848126,356.058045,-0.31,-0.31,-0.16613,356.058045,-0.31,-0.31,-0.17,
03/31/2020,1559.0,1559.0,-721.0,721.0,838.0,0.0,-740.0,515.0,,214.0,11.0,98.0,-100.0,93.0,94.0,-1.0,6.0,1.0,-2.0,-11.0,,,,-13.0,0.0,0.0,0.0,-13.0,-5.0,-18.0,0.0,0.0,-18.0,35.458353,53.458353,356.389022,-0.05,-0.05,0.099493,356.389022,-0.05,-0.05,0.099493,
06/30/2020,1496.0,1496.0,-664.0,664.0,832.0,0.0,-804.0,451.0,,224.0,129.0,28.0,-92.0,91.0,91.0,0.0,-3.0,4.0,-64.0,38.0,,,,-26.0,0.0,0.0,0.0,-26.0,-4.0,-30.0,0.0,0.0,-30.0,98.77,128.77,356.672845,-0.08,-0.08,0.27692,356.672845,-0.08,-0.08,0.27692,
09/30/2020,1512.385,,,,861.454496,,,,,,,160.033,,,,,,,36.618,,,,,8.121,,,,,,8.121,,,8.121,144.143,,,0.023,0.023,0.391,,0.023,0.023,0.391,
12/31/2020,1608.538,,,,925.9548997,,,,,,,197.589,,,,,,,79.654,,,,,46.134,,,,,,46.134,,,46.134,162.0,,,0.128,0.128,0.448,,0.128,0.128,0.448,
