Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
05/25/2001,-791.478,169.493,51.078,-199.319,-812.73,-93.802,0.0,-66.895,-29.254,2.347,0.0,0.0,326.417,-25.469,-939.334,2630.062,-1106.166,0.0,-234.285,0.0,1.609,-558.863,,
08/31/2001,4642.375,134.572,55.816,334.428,4117.559,-106.25,0.0,-83.538,-29.244,6.532,0.0,0.0,-2450.068,-25.165,-3024.434,2611.568,-1497.126,0.0,-517.627,0.0,2.716,2086.057,,
11/30/2001,3007.323,154.946,55.381,310.97,2486.026,-283.011,0.0,-15.446,-27.484,2.902,0.0,-242.983,769.311,-23.661,-241.904,1046.026,-605.345,624.644,-167.97,0.0,137.521,3493.623,,
02/28/2002,-634.7,180.526,51.132,126.389,-992.747,-46.222,0.0,-42.633,-11.282,7.693,0.0,0.0,-695.475,-24.808,-1869.907,1977.077,-744.252,3.615,-37.2,0.0,0.0,-1376.397,,
05/31/2002,-1919.962,342.852,38.402,-123.495,-2177.721,148.532,0.0,-33.023,-11.523,193.078,0.0,0.0,-161.835,-24.746,344.888,678.876,-1034.078,6.579,-133.354,0.0,0.0,-1933.265,,
08/31/2002,2070.679,164.418,36.031,211.199,1659.031,-20.413,0.0,-32.717,-11.224,23.528,0.0,0.0,-3559.447,-23.454,-1304.513,757.836,-2831.361,5.824,-163.779,0.0,0.0,-1509.181,,
11/30/2002,-887.654,190.549,36.314,462.482,-1576.999,-52.057,0.0,-18.244,-73.473,39.66,0.0,0.0,3946.092,-24.536,3580.848,1592.822,-630.125,0.0,-560.231,0.0,-12.686,3006.381,,
02/28/2003,-2401.46,274.253,36.904,130.996,-2843.613,-12.347,0.0,-5.113,-10.159,2.925,0.0,0.0,3010.408,-25.159,2464.422,2614.398,-1945.147,34.711,-132.817,0.0,0.0,596.601,,
05/31/2003,-3417.245,280.411,34.85,40.722,-3773.228,-18.247,0.0,-11.292,-39.333,32.378,0.0,0.0,1032.796,-24.639,479.904,3400.178,-2704.611,21.752,-139.788,0.0,0.0,-2402.696,,
08/31/2003,2735.404,313.415,34.994,-500.793,2887.788,136.076,0.0,-12.782,-53.035,201.893,0.0,0.0,-3432.001,-27.767,-5077.835,2901.618,-1089.644,15.467,-153.84,0.0,0.0,-560.521,,
11/30/2003,-2309.68,288.327,32.528,915.283,-3545.818,33.337,0.0,-7.524,-86.689,127.55,0.0,0.0,2960.244,-27.399,1111.345,2282.466,-326.742,6.074,-587.407,0.0,501.907,683.901,,
02/29/2004,-2114.723,361.065,32.565,281.089,-2789.442,-129.217,0.0,-28.194,-122.763,21.74,0.0,0.0,294.265,-28.448,-942.522,3356.788,-2131.578,99.978,-130.543,0.0,70.59,-1949.675,,
05/31/2004,791.76,347.803,33.11,-68.678,479.525,36.407,0.0,-22.901,-61.465,120.773,0.0,0.0,-755.72,-28.225,-493.384,2086.666,-2194.434,35.815,-190.903,0.0,28.745,72.447,,
08/31/2004,938.203003,283.259003,30.752001,-329.100006,953.291992,-50.316002,0.0,-32.602001,0.0,0.0,0.0,-17.714001,403.372986,-27.735001,-675.255981,2021.939941,-944.940002,34.339001,-259.019012,0.0,254.044006,1291.26001,,
11/30/2004,-1792.444,352.606,31.865,2572.239,-4749.154,14.693,0.0,-44.736,0.0,41.715,0.0,17.714,2699.534,-32.383,934.332,3783.392,-1382.558,65.68,-589.399,0.0,-79.53,921.783,,
02/28/2005,-7373.852,378.805,57.868,-288.145,-7522.38,-46.832,0.0,-46.832,0.0,0.0,0.0,0.0,5470.872,-35.802,2957.677,4121.75,-1858.338,346.553,-171.312,0.0,110.344,-1949.812,,
05/31/2005,-1233.5,298.11,65.457,215.219,-1812.286,-51.3,0.0,-51.3,0.0,0.0,0.0,0.0,6511.322,-34.869,4800.196,3990.764,-2124.19,54.794,-216.452,0.0,41.079,5226.522,,
08/31/2005,-4404.838,378.305,73.005,251.215,-5107.363,-54.744,0.0,-54.744,0.0,0.0,0.0,0.0,96.39,-34.792,-1515.253,3554.309,-1798.846,77.733,-193.901,0.0,7.14,-4363.192,,
11/30/2005,-1425.812,406.957,80.328,398.808,-2311.905,-50.035,0.0,-50.035,0.0,0.0,0.0,0.0,4248.077,-33.79,1562.276,4330.175,-1491.832,148.826,-363.786,0.0,96.208,2772.23,,
02/28/2006,-5011.802,514.156,81.371,-96.735,-5510.594,-39.234,0.0,-39.234,0.0,0.0,0.0,0.0,4243.321,-38.766,1563.266,4940.564,-2198.314,383.791,-481.82,0.0,74.6,-807.715,,
05/31/2006,-10151.096,539.333,88.12,-277.293,-10501.256,-52.307,0.0,-52.307,0.0,0.0,0.0,0.0,11143.321,-39.302,11327.468,3865.009,-4219.06,94.21,-53.216,0.0,168.212,939.918,,
08/31/2006,2644.615,437.556,95.549,63.265,2048.245,-52.54,0.0,-52.54,0.0,0.0,0.0,0.0,-3857.434,-39.044,-7124.706,4590.824,-1157.606,71.757,-460.775,0.0,262.116,-1265.359,,
11/30/2006,-6702.587,562.826,85.327,292.3,-7643.04,-36.588,0.0,-36.588,0.0,0.0,0.0,0.0,6608.382,-38.145,3280.959,6495.032,-2674.885,102.688,-391.368,0.0,-165.899,-130.793,,
02/28/2007,-6158.0,554.0,42.0,-253.0,-6501.0,-67.0,0.0,-67.0,0.0,0.0,0.0,0.0,7521.0,-44.0,3167.0,8082.0,-3554.0,267.0,-473.0,0.0,76.0,1296.0,,
05/31/2007,8430.217,361.724,44.623,-1245.433,9269.303,-80.084,0.0,-80.084,0.0,0.0,0.0,0.0,-3063.108,-43.322,-5690.464,4900.197,-1828.715,50.189,-329.004,0.0,-121.989,5287.025,,
08/31/2007,5478.986,171.298,48.119,192.604,5066.965,-81.971,0.0,-81.971,0.0,0.0,0.0,0.0,1567.296,-42.428,-1768.062,7259.663,-3596.559,54.671,-502.292,0.0,162.303,6964.311,,
11/30/2007,3394.847,-853.763,50.933,-32.724,4230.401,-65.674,0.0,-65.674,0.0,0.0,0.0,0.0,-65.638,-41.778,-766.398,4681.117,-3515.25,43.635,-372.501,0.0,-94.463,3263.535,,
02/29/2008,6368.0,115.0,53.0,-254.0,6454.0,-51.0,0.0,-51.0,0.0,0.0,0.0,0.0,-6937.0,-43.0,-7688.0,4396.0,-3536.0,70.0,-70.0,0.0,-66.0,-620.0,,
