Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2006,1143.3,746.1,,,392.0,5.2,,,-828.4,0.0,828.4,0.0,-250.0,,,,,64.9,-22.2,-18.4,24.3,-9.0,,,,15.2,0.0,,,15.3,0.0,15.2,-9.5,0.0,5.7,5.7,,152.062,0.04,0.04,0.53,152.062,0.04,0.04,0.53,
03/31/2007,1114.5,762.8,762.8,0.0,347.9,3.8,,,-817.4,0.0,817.4,0.0,-261.3,,,,,35.8,-23.6,-13.0,-0.8,0.3,,,,-0.5,0.0,,,-0.5,0.0,-0.5,-9.5,0.0,-10.0,-10.0,,150.936,-0.07,-0.07,0.08,150.936,-0.07,-0.07,0.08,
06/30/2007,1169.2,767.8,767.8,0.0,396.2,5.2,,,-925.3,0.0,925.3,0.0,-266.3,,,,,-22.4,-27.9,-35.0,-85.3,30.1,,,,-55.2,0.0,,,-55.2,0.0,-55.2,-4.6,0.0,-59.8,-59.8,,169.139,-0.35,-0.35,-0.16,169.139,-0.35,-0.35,-0.16,
09/30/2007,1170.7,822.0,822.0,0.0,340.2,8.5,,,-885.8,0.0,885.8,0.0,-244.0,,,,,40.9,-33.3,-92.9,-85.3,32.6,,,,-52.7,0.0,,,-52.7,0.0,-52.7,0.0,0.0,-52.7,-52.7,,187.733,-0.28,-0.28,0.19,187.733,-0.28,-0.28,0.19,
12/31/2007,676.9,543.1,543.1,0.0,127.5,6.3,,,-287.4,0.0,287.4,0.0,-195.6,,,,,193.9,-32.5,-167.0,-5.6,-59.0,,,,-64.6,6.9,,,-71.5,0.0,-71.5,0.0,0.0,-71.5,-71.5,,185.687,-0.38,-0.35,0.15,185.687,-0.38,-0.35,0.15,
03/31/2008,1027.5,785.1,785.1,0.0,238.4,4.0,,,-767.7,0.0,767.7,0.0,-240.9,,,,,18.9,-30.8,0.0,-11.9,4.2,,,,-7.7,-0.5,,,-7.2,0.0,-7.2,0.0,0.0,-7.2,-7.2,,184.653,-0.04,-0.04,0.11,184.653,-0.04,-0.04,0.11,
06/30/2008,1094.7,830.0,830.0,0.0,259.8,4.9,,,-815.9,0.0,815.9,0.0,-237.6,,,,,41.2,-25.1,0.0,16.1,-306.3,,,,-290.2,198.3,,,-488.5,0.0,-488.5,0.0,0.0,-488.5,-488.5,,184.684,-2.65,-1.57,0.14,184.684,-2.65,-1.57,0.14,
09/30/2008,1021.9,821.8,821.8,0.0,195.2,4.9,,,-797.0,0.0,797.0,0.0,-194.6,,,,,30.3,-24.6,0.0,5.7,-31.6,,,,-25.9,157.4,,,-183.3,0.0,-183.3,0.0,0.0,-183.3,-183.3,,184.726,-0.99,-0.14,0.31,184.726,-0.99,-0.14,0.31,
12/31/2008,1045.6,816.7,816.7,0.0,223.0,5.9,,,-831.9,0.0,831.9,0.0,-215.1,,,,,-1.4,-26.0,21.2,-6.2,-79.6,,,,-85.8,367.5,,,-453.3,0.0,-453.3,0.0,0.0,-453.3,-453.3,,184.752,-2.45,-0.46,0.19,184.752,-2.45,-0.46,0.19,
03/31/2009,1069.5,782.8,782.8,0.0,283.7,3.0,3.0,0.0,-753.5,,753.5,,-241.1,241.1,120.3,120.8,,65.4,-23.2,0.0,42.2,-17.7,2.0,13.3,2.4,24.5,0.0,0.0,0.0,24.5,0.0,24.5,0.0,0.0,24.5,37.5,13.0,184.754,0.13,0.13,0.202973,184.756,0.13,0.13,0.200363,
06/30/2009,1095.6,791.3,791.3,0.0,301.2,3.1,3.1,0.0,-781.1,,781.1,,-232.2,232.2,130.4,101.8,,82.3,-32.7,0.0,49.6,-22.0,1.5,15.9,4.6,27.6,0.0,0.0,0.0,27.6,0.0,27.6,0.0,0.0,27.6,40.8,13.2,184.82,0.15,0.15,0.220755,185.229,0.15,0.15,0.220755,
09/30/2009,1118.6,772.0,772.0,0.0,342.5,4.1,4.1,0.0,-782.7,,782.7,,-239.9,239.9,126.6,113.3,,96.0,-31.9,0.0,64.1,-48.7,,22.0,26.7,15.4,0.0,0.0,0.0,15.4,0.0,15.4,0.0,0.0,15.4,34.3,18.9,184.886,0.08,0.08,0.18552,185.846,0.08,0.08,0.18552,
12/31/2009,1057.7,747.5,747.5,0.0,304.8,5.4,5.4,0.0,-749.4,,749.4,,-247.8,247.8,151.0,96.8,,47.8,-30.1,0.0,17.7,0.5,5.8,-0.4,-5.9,18.2,0.0,0.0,0.0,18.2,0.0,18.2,0.0,0.0,18.2,29.0,10.8,199.001,0.09,0.09,0.145728,217.528,0.09,0.09,0.139649,
03/31/2010,1002.4,664.6,664.6,0.0,334.3,3.5,3.5,0.0,-699.0,,699.0,,-221.0,221.0,118.4,102.6,,80.6,-27.5,0.0,53.1,-19.2,1.0,18.2,,33.9,0.0,0.0,0.0,33.9,0.0,33.9,0.0,0.0,33.9,38.2,4.3,250.788,0.14,0.14,0.15232,292.081,0.13,0.13,0.144722,
06/30/2010,953.2,667.9,667.9,0.0,281.7,3.6,3.6,0.0,-651.0,,651.0,,-220.8,220.8,124.2,96.6,,80.5,-28.7,0.0,51.8,-18.7,1.5,17.2,,33.1,0.0,0.0,0.0,33.1,0.0,33.1,0.0,0.0,33.1,44.9,11.8,250.994,0.13,0.13,0.178889,302.648,0.12,0.12,0.158989,
09/30/2010,1052.5,674.5,674.5,0.0,373.4,4.6,4.6,0.0,-700.0,,700.0,,-246.8,246.8,128.2,118.6,,105.7,-28.4,0.0,77.3,-27.9,3.0,24.9,,49.4,0.0,0.0,0.0,49.4,0.0,49.4,0.0,0.0,49.4,47.1,-2.3,251.045,0.2,0.2,0.187616,306.04,0.17,0.17,0.16,
12/31/2010,1075.8,663.0,663.0,0.0,407.7,5.1,5.1,0.0,-673.7,,673.7,,-258.1,258.1,132.1,126.0,,139.9,-28.6,0.0,111.3,56.9,4.2,33.9,-95.0,168.2,0.0,0.0,0.0,168.2,0.0,168.2,0.0,0.0,168.2,146.7,-21.5,251.064,0.67,0.67,0.584313,306.662,0.56,0.56,0.18,
03/31/2011,1049.2,667.2,667.2,0.0,378.6,3.4,3.4,0.0,-683.2,,683.2,,-265.0,265.0,170.1,94.9,,99.6,-29.2,0.0,70.4,-25.0,3.1,21.9,,45.4,0.0,0.0,0.0,45.4,0.0,45.4,0.0,0.0,45.4,43.2,-2.2,251.121,0.18,0.18,0.172029,307.498,0.16,0.16,0.15,
06/30/2011,1032.0,679.6,679.6,0.0,348.2,4.2,4.2,0.0,-684.4,,684.4,,-246.3,246.3,175.7,70.6,,100.7,-28.9,0.0,71.8,-25.4,1.8,23.6,,46.4,0.0,0.0,0.0,46.4,0.0,46.4,0.0,0.0,46.4,44.5,-1.9,250.933,0.18,0.18,0.177338,308.048,0.16,0.16,0.15,
09/30/2011,992.3,673.5,673.5,0.0,313.9,4.9,4.9,0.0,-661.0,,661.0,,-240.6,240.6,182.0,58.6,,89.6,-27.9,0.0,61.7,117.8,2.3,22.9,-143.0,179.5,0.0,0.0,0.0,179.5,0.0,179.5,0.0,0.0,179.5,175.8,-3.7,246.965,0.73,0.73,0.711842,302.708,0.61,0.61,0.12,
12/31/2011,1051.1,670.2,670.2,0.0,375.2,5.7,5.7,0.0,-670.4,,670.4,,-250.0,250.0,176.7,73.3,,130.4,-28.1,0.0,102.3,-37.9,4.7,33.2,,64.4,0.0,0.0,0.0,64.4,0.0,64.4,0.0,0.0,64.4,51.0,-13.4,242.789,0.27,0.27,0.210059,298.071,0.23,0.23,0.18,
03/31/2012,1123.9,686.3,686.3,0.0,433.7,3.9,3.9,0.0,-689.0,,689.0,,-313.6,313.6,227.0,86.6,,121.1,-28.8,0.0,92.3,-33.2,3.3,29.9,,59.1,0.0,0.0,0.0,59.1,0.0,59.1,0.0,0.0,59.1,53.925,-5.175,240.895,0.25,0.25,0.223853,297.343,0.21,0.21,0.15,
06/30/2012,1065.0,694.8,694.8,0.0,365.7,4.5,4.5,0.0,-689.7,,689.7,,-241.6,241.6,173.3,68.3,,133.2,-28.7,0.0,104.5,-38.8,3.4,35.4,,65.7,0.0,0.0,0.0,65.7,0.0,65.7,0.0,0.0,65.7,54.2,-11.5,237.289,0.28,0.28,0.228413,293.475,0.24,0.24,0.2,
09/30/2012,1093.0,690.2,690.2,0.0,397.6,5.2,5.2,0.0,-745.7,,745.7,,-278.4,278.4,217.5,60.9,,-129.6,-29.2,0.0,-158.8,153.8,2.4,-13.2,-143.0,-5.0,0.0,0.0,0.0,-5.0,0.0,-5.0,0.0,0.0,-5.0,182.0,187.0,231.481,-0.02,-0.02,0.786242,231.481,-0.02,-0.02,0.11,
12/31/2012,1060.8,684.1,684.1,0.0,370.5,6.2,6.2,0.0,-639.5,,639.5,,-274.7,274.7,201.5,73.2,,145.6,-27.9,0.0,117.7,-16.5,3.4,41.6,-28.5,101.2,0.0,0.0,0.0,101.2,0.0,101.2,0.0,0.0,101.2,88.5,-12.7,225.074,0.45,0.45,0.393204,246.761,0.41,0.41,0.25,
03/31/2013,1142.6,691.2,691.2,0.0,444.9,6.5,6.5,0.0,-754.1,,754.1,,-268.9,268.9,189.6,79.3,,61.9,-27.3,0.0,34.6,-22.7,2.7,30.5,-10.5,11.9,0.0,0.0,0.0,11.9,0.0,11.9,0.0,0.0,11.9,58.4,46.5,222.081,0.05,0.05,0.262967,243.467,0.05,0.05,0.21,
06/30/2013,1081.5,691.3,691.3,0.0,383.8,6.4,6.4,0.0,-673.2,,673.2,,-259.0,259.0,179.8,79.2,,141.6,-26.9,0.0,114.7,-37.6,2.7,39.9,-5.0,77.1,0.0,0.0,0.0,77.1,0.0,77.1,0.0,0.0,77.1,70.0,-7.1,220.498,0.35,0.35,0.317463,230.893,0.34,0.34,0.3,
09/30/2013,1093.8,686.1,686.1,0.0,399.6,8.1,8.1,0.0,-702.2,,702.2,,-251.4,251.4,190.0,61.4,,140.2,-25.8,0.0,114.4,168.6,3.4,34.7,-206.7,283.0,0.0,0.0,0.0,283.0,0.0,283.0,0.0,0.0,283.0,280.9,-2.1,222.876,1.27,1.27,1.260342,229.347,1.23,1.23,0.33,
12/31/2013,1158.2,676.1,676.1,0.0,469.1,13.0,13.0,0.0,-710.2,,710.2,,-283.2,283.2,206.8,76.4,,66.4,-25.3,0.0,41.1,64.9,10.6,174.4,-249.9,106.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,106.0,89.0,-17.0,221.056,0.48,0.48,0.402613,227.101,0.47,0.47,0.25,
03/31/2014,1084.7,685.9,685.9,0.0,392.4,6.4,6.4,0.0,-690.3,,690.3,,-260.8,260.8,194.1,66.7,,-145.0,-24.6,0.0,-169.6,-58.4,2.2,36.8,19.4,-228.0,0.0,0.0,0.0,-228.0,0.0,-228.0,0.0,0.0,-228.0,44.2,272.2,220.307,-1.03,-1.03,0.200629,220.307,-1.03,-1.03,0.200629,
06/30/2014,1093.0,679.0,679.0,0.0,407.0,7.0,7.0,0.0,-691.1,,691.1,,-266.4,266.4,201.5,64.9,-0.6,134.9,-24.3,3.8,114.4,-36.3,3.9,44.8,-12.4,78.1,0.0,0.0,0.0,78.1,0.0,78.1,0.0,0.0,78.1,81.2,3.1,216.538,0.36,0.36,0.354992,222.108,0.35,0.35,0.29,
09/30/2014,967.0,632.1,632.1,0.0,318.9,16.0,16.0,0.0,-565.5,,565.5,,-257.3,257.3,191.5,65.8,,144.2,-21.9,32.1,154.4,-37.0,5.4,48.4,-16.8,117.4,0.0,0.0,0.0,117.4,0.0,117.4,0.0,0.0,117.4,108.8,-8.6,210.525,0.56,0.56,0.516803,215.458,0.54,0.54,0.42,
03/31/2015,978.3,636.5,636.5,0.0,325.6,16.2,16.2,0.0,-606.0,,606.0,,-264.0,264.0,197.9,66.1,,103.8,-21.5,0.0,82.3,-29.5,2.9,26.4,0.2,52.8,0.0,0.0,0.0,52.8,0.0,52.8,0.0,0.0,52.8,67.825,15.025,200.491,0.26,0.26,0.338294,202.275,0.26,0.26,0.3,
06/30/2015,959.5,640.1,640.1,0.0,303.8,15.6,15.6,0.0,-568.3,,568.3,,-255.9,255.9,182.2,73.7,-37.3,98.0,-25.3,0.0,72.7,-25.9,3.3,22.6,,46.8,0.0,0.0,0.0,46.8,0.0,46.8,0.0,0.0,46.8,75.4,28.6,195.857,0.24,0.24,0.384975,198.073,0.24,0.24,0.384391,
09/30/2015,904.5,640.6,640.6,0.0,251.0,12.9,12.9,0.0,-582.1,,582.1,,-246.1,246.1,190.3,55.8,,76.3,-23.9,0.0,52.4,-18.6,3.5,17.2,-2.1,33.8,0.0,0.0,0.0,33.8,0.0,33.8,0.0,0.0,33.8,56.8,23.0,190.26,0.18,0.18,0.298539,192.365,0.18,0.18,0.298539,
03/31/2016,960.4,644.4,644.4,0.0,301.8,14.2,14.2,0.0,-619.0,,619.0,,-273.2,273.2,211.1,62.1,,68.2,-27.7,0.0,40.5,5.0,4.1,10.9,-20.0,45.5,0.0,0.0,0.0,45.5,0.0,45.5,0.0,0.0,45.5,49.6,4.1,180.35,0.25,0.25,0.275021,182.128,0.25,0.25,0.27,
06/30/2016,1003.9,653.6,653.6,0.0,336.3,14.0,14.0,0.0,-632.4,,632.4,,-259.9,259.9,205.1,54.8,,111.6,-28.9,0.0,82.7,-22.8,0.7,29.1,-7.0,59.9,0.0,0.0,0.0,59.9,0.0,59.9,0.0,0.0,59.9,83.6,23.7,178.323,0.34,0.34,0.468812,180.267,0.33,0.33,0.461472,
09/30/2016,1015.9,649.0,649.0,0.0,356.4,10.5,10.5,0.0,-609.8,,609.8,,-252.0,252.0,187.3,64.7,-75.4,78.7,-29.4,0.0,49.3,-30.7,55.1,-29.9,5.5,18.6,0.0,0.0,0.0,18.6,0.0,18.6,0.0,0.0,18.6,69.20244,50.60244,174.247,0.11,0.11,0.397151,175.723,0.11,0.11,0.37,
12/31/2016,1004.9,654.1,654.1,0.0,339.0,11.8,11.8,0.0,-529.3,,529.3,,-264.5,264.5,192.8,71.7,0.0,211.1,-30.4,0.0,180.7,53.5,,,,234.2,0.0,0.0,0.0,234.2,0.0,234.2,0.0,0.0,234.2,131.7,-102.5,173.634,1.35,1.35,0.758492,175.173,1.35,1.35,0.49,
03/31/2017,1070.7,663.8,663.8,0.0,395.1,11.8,11.8,0.0,-669.3,,669.3,,-273.9,273.9,210.4,63.5,,127.5,-30.8,0.0,96.7,-34.4,20.6,13.8,0.0,62.3,0.0,0.0,0.0,62.3,0.0,62.3,0.0,0.0,62.3,65.8013,3.5013,173.431,0.36,0.36,0.379409,175.065,0.36,0.36,0.34,
06/30/2017,1057.1,664.1,664.1,0.0,381.5,11.5,11.5,0.0,-634.2,,634.2,,-263.0,263.0,203.4,59.6,,159.9,-31.4,0.0,128.5,-45.1,22.0,23.1,0.0,83.4,0.0,0.0,0.0,83.4,0.0,83.4,0.0,0.0,83.4,105.8,22.4,170.556,0.49,0.49,0.620324,172.352,0.48,0.48,0.609967,
09/30/2017,1079.3,659.3,659.3,0.0,407.8,12.2,12.2,0.0,-638.1,,638.1,,-275.7,275.7,217.5,58.2,-5.5,160.0,-30.1,0.0,129.9,-29.1,25.9,18.2,-15.0,100.8,0.0,0.0,0.0,100.8,0.0,100.8,0.0,0.0,100.8,123.475,22.675,168.684,0.6,0.6,0.73199,170.982,0.59,0.59,0.722616,
12/31/2017,1090.1,660.1,660.1,0.0,417.2,12.8,12.8,0.0,-661.1,,661.1,,-268.2,268.2,210.2,58.0,-4.0,156.8,-31.4,0.0,125.4,-196.3,,,,-70.9,0.0,0.0,0.0,-70.9,0.0,-70.9,0.0,0.0,-70.9,99.3,170.2,167.428,-0.42,-0.42,0.593091,167.428,-0.42,-0.42,0.51,
03/31/2018,1007.8,659.9,659.9,0.0,326.7,21.2,21.2,0.0,-586.6,,586.6,,-279.5,279.5,207.6,71.9,,141.7,-33.6,0.0,108.1,-23.8,5.3,18.5,,84.3,0.0,0.0,0.0,84.3,0.0,84.3,0.0,0.0,84.3,86.2,1.9,167.06,0.5,0.5,0.515982,169.677,0.5,0.5,0.511198,
06/30/2018,1046.3,659.8,659.8,0.0,374.9,11.6,11.6,0.0,-618.2,,618.2,,-256.8,256.8,195.8,61.0,-3.8,167.5,-37.7,0.0,129.8,-27.6,15.4,12.2,0.0,102.2,0.0,0.0,0.0,102.2,0.0,102.2,0.0,0.0,102.2,102.698,0.498,166.098,0.62,0.62,0.618298,167.978,0.61,0.61,0.612965,
09/30/2018,1481.2,656.9,656.9,0.0,812.4,11.9,11.9,0.0,-646.9,,646.9,,-267.7,267.7,205.3,62.4,-1067.6,-501.0,-38.8,0.0,-539.8,10.0,-164.8,50.0,104.8,-529.8,0.0,0.0,0.0,-529.8,0.0,-529.8,0.0,0.0,-529.8,82.97,612.77,164.551,-3.22,-3.22,0.504221,164.551,-3.22,-3.22,0.503891,
12/31/2018,778.2,616.5,616.5,0.0,144.3,17.4,17.4,0.0,-426.9,,426.9,,-274.5,274.5,205.5,69.0,0.0,76.8,-39.7,0.0,37.1,-8.8,,,,28.3,0.0,0.0,0.0,28.3,0.0,28.3,0.0,0.0,28.3,67.4,39.1,164.118,0.17,0.17,0.41068,165.89,0.17,0.17,0.405698,
03/31/2019,1023.0,619.3,619.3,0.0,371.9,31.8,31.8,0.0,-623.5,,623.5,,-292.9,292.9,234.7,58.2,,106.6,-41.0,0.0,65.6,-13.8,5.2,8.6,,51.8,0.0,0.0,0.0,51.8,0.0,51.8,0.0,0.0,51.8,69.6,17.8,160.948,0.32,0.32,0.432438,162.189,0.32,0.32,0.429749,
06/30/2019,979.8,618.3,618.3,0.0,339.8,21.7,21.7,0.0,-610.4,,610.4,,-275.8,275.8,229.6,46.2,-7.3,86.3,-38.6,0.0,47.7,-10.1,4.1,6.0,,37.6,0.0,0.0,0.0,37.6,0.0,37.6,0.0,0.0,37.6,85.067,47.467,158.816,0.24,0.24,0.535632,159.735,0.24,0.24,0.535632,
09/30/2019,944.0,620.0,620.0,0.0,301.8,22.2,22.2,0.0,-582.8,,582.8,,-270.2,270.2,218.6,51.6,0.0,91.0,-37.5,0.0,53.5,-11.5,4.0,7.5,0.0,42.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,42.0,76.4,34.4,154.257,0.27,0.27,0.495277,155.26,0.27,0.27,0.491564,
12/31/2019,1069.0,623.2,623.2,0.0,377.6,68.2,68.2,0.0,-600.3,,600.3,,-326.1,326.1,250.0,76.1,0.0,142.6,-35.2,0.0,107.4,170.6,,,,278.0,0.0,0.0,0.0,278.0,0.0,278.0,0.0,0.0,278.0,77.2,-200.8,150.138,1.85,1.85,0.514194,151.407,1.84,1.84,0.513773,
03/31/2020,717.2,628.7,628.7,0.0,54.1,34.4,34.4,0.0,-490.8,,490.8,,-264.0,264.0,213.8,50.2,0.0,-37.6,-33.4,0.0,-71.0,49.8,-63.6,47.8,-34.0,-21.2,0.0,0.0,0.0,-21.2,0.0,-21.2,0.0,0.0,-21.2,125.286402,146.486402,145.829,-0.15,-0.15,0.859132,145.829,-0.15,-0.15,0.854508,
06/30/2020,1014.2,625.3,625.3,0.0,362.6,26.3,26.3,0.0,-540.3,,540.3,,-340.1,340.1,251.6,88.5,0.0,133.8,-28.4,0.0,105.4,-23.4,11.7,11.7,,82.0,0.0,0.0,0.0,82.0,0.0,82.0,0.0,0.0,82.0,22.8,-59.2,143.421,0.57,0.57,0.158973,143.941,0.57,0.57,0.15872,
09/30/2020,,,,,,,,,,,,,,,,,,,,,77.3,,,,,42.7,,,,,,42.7,,,42.7,60.8,,,0.37,0.37,0.46,,0.37,0.37,0.46,
12/31/2020,,,,,,,,,,,,,,,,,,,,,86.9,,,,,50.2,,,,,,50.2,,,50.2,68.4,,,0.395,0.395,0.438,,0.395,0.395,0.438,
