Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/29/2017,9327.0,910.9,910.9,0.0,1075.1,1075.1,0.0,576.2,280.6,86.1,209.5,0.0,133.1,,133.1,2695.3,673.2,1745.8,-1072.6,0.0,5958.5,5518.4,4632.3,886.1,,440.1,6631.7,,1379.3,646.1,733.2,0.0,0.0,,,,,0.0,,,0.0,1379.3,3671.9,3671.9,,,,797.5,,,,,797.5,4469.4,5848.7,0.0,2452.7,3.5,2449.2,,1037.8,-16.3,3474.2,4.1,3478.3,9327.0,
12/31/2017,10500.6,962.1,962.1,0.0,1020.5,1020.5,0.0,506.7,232.3,73.1,201.3,0.0,447.5,0.0,447.5,2936.8,610.4,1434.8,-824.4,0.0,6953.4,5816.7,4560.3,1256.4,64.2,469.5,7563.8,,1444.3,629.0,815.3,0.0,0.0,,,,0.0,158.0,86.7,0.0,0.0,1602.3,4056.2,4056.2,,,,1033.9,0.0,186.0,126.5,59.5,697.0,5090.1,6692.4,0.0,2447.6,3.5,2444.1,,1350.3,-7.6,3790.3,17.9,3808.2,10500.6,
03/30/2018,10655.4,1015.7,1015.7,0.0,1172.1,1172.1,0.0,615.9,302.6,96.7,216.6,0.0,276.0,,276.0,3079.7,709.8,1827.1,-1117.3,0.0,6865.9,6385.4,5126.2,1259.2,,480.5,7575.7,,1461.4,711.7,749.7,0.0,0.0,,,,,0.0,,,0.0,1461.4,3996.9,3996.9,,,,1087.4,,,,,1087.4,5084.3,6545.7,0.0,2479.6,3.5,2476.1,,1583.3,29.5,4092.4,17.3,4109.7,10655.4,
06/29/2018,11986.1,2368.2,2368.2,0.0,1187.8,1187.8,0.0,642.3,311.2,107.9,223.2,0.0,305.1,,305.1,4503.4,690.4,1805.3,-1114.9,0.0,6792.3,6312.8,5081.9,1230.9,,479.5,7482.7,,1499.4,763.5,735.9,799.3,0.0,,,,799.3,0.0,,,0.0,2298.7,2927.4,2927.4,,,,1118.1,,,,,1118.1,4045.5,6344.2,0.0,3840.3,3.5,3836.8,,1853.9,-69.6,5624.6,17.3,5641.9,11986.1,
09/28/2018,13862.8,1145.1,1145.1,0.0,1295.6,1295.6,0.0,649.2,316.7,109.8,222.7,0.0,324.4,,324.4,3414.3,682.3,1817.7,-1135.4,0.0,9766.2,9243.2,6743.3,2499.9,,523.0,10448.5,,1655.0,758.7,896.3,1824.5,0.0,,,,1824.5,0.0,,,0.0,3479.5,3178.0,3178.0,,,,1356.2,,,,,1356.2,4534.2,8013.7,0.0,3866.0,3.5,3862.5,,2057.1,-92.8,5830.3,18.8,5849.1,13862.8,
12/31/2018,12905.6,1178.4,1178.4,0.0,1195.1,1195.1,0.0,574.5,251.9,103.1,219.5,0.0,223.2,0.0,223.2,3171.2,576.1,1465.9,-889.8,0.0,9158.3,8609.4,6133.1,2476.3,0.0,548.9,9734.4,,1705.8,706.5,999.3,455.6,0.0,,,,455.6,30.7,93.7,0.0,0.0,2192.1,2974.7,2974.7,,,,1125.9,854.4,177.8,117.6,60.2,0.0,4100.6,6292.7,0.0,3129.4,3.4,3126.0,,3552.7,-86.6,6595.5,17.4,6612.9,12905.6,
03/29/2019,15656.2,3728.9,3728.9,0.0,1146.6,1146.6,0.0,608.3,265.9,98.3,244.1,0.0,312.5,,312.5,5796.3,634.7,1432.4,-797.7,0.0,9225.2,8604.5,6169.0,2435.5,,620.7,9859.9,,1505.6,667.8,837.8,1111.3,0.0,55.9,,55.9,1055.4,22.7,,,0.0,2639.6,4840.8,4728.3,112.5,,112.5,1313.1,,,,,1313.1,6153.9,8793.5,0.0,3243.7,3.4,3240.3,,3676.4,-69.4,6850.7,12.0,6862.7,15656.2,
06/28/2019,16468.1,1092.1,1092.1,0.0,1315.2,1315.2,0.0,693.7,260.4,97.0,336.3,0.0,335.3,,335.3,3436.3,712.3,1533.7,-821.4,0.0,12319.5,11564.1,7750.9,3813.2,,755.4,13031.8,,1722.8,697.9,1024.9,1051.3,0.0,51.3,,51.3,1000.0,17.1,,,0.0,2791.2,5347.5,5196.5,151.0,,151.0,1306.5,,,,,1306.5,6654.0,9445.2,0.0,3268.8,3.4,3265.4,,3810.4,-67.6,7011.6,11.3,7022.9,16468.1,
09/27/2019,16660.4,1060.5,1060.5,0.0,1332.0,1332.0,0.0,680.7,266.7,102.3,311.7,0.0,392.7,,392.7,3465.9,730.0,1555.7,-825.7,0.0,12464.5,11656.1,7995.5,3660.6,,808.4,13194.5,,1848.4,693.8,1154.6,1052.2,0.0,52.2,,52.2,1000.0,15.7,,,0.0,2916.3,5180.9,5015.6,165.3,,165.3,1399.6,,,,,1399.6,6580.5,9496.8,0.0,3294.6,3.4,3291.2,,3976.7,-119.6,7151.7,11.9,7163.6,16660.4,
12/31/2019,17439.0,1205.2,1205.2,0.0,1384.5,1384.5,0.0,640.3,254.3,100.4,285.6,0.0,458.8,0.0,458.8,3688.8,726.3,1565.0,-838.7,0.0,13023.9,12244.3,8399.3,3845.0,0.0,779.6,13750.2,,1912.3,765.5,1146.8,1554.9,0.0,54.9,,54.9,1500.0,0.0,99.2,0.0,0.0,3467.2,4987.4,4828.4,159.0,,159.0,1584.2,0.0,214.6,146.6,68.0,1270.4,6571.6,10038.8,0.0,3314.5,3.4,3311.1,,4128.8,-56.3,7387.0,13.2,7400.2,17439.0,
03/27/2020,16931.7,1040.5,1040.5,0.0,1317.6,1317.6,0.0,650.4,264.6,103.1,282.7,0.0,437.1,,437.1,3445.6,720.0,1563.2,-843.2,0.0,12766.1,12022.1,8271.1,3751.0,,744.0,13486.1,,1817.8,745.4,1072.4,303.3,0.0,53.3,,53.3,250.0,0.0,,,0.0,2121.1,5980.6,5826.1,154.5,,154.5,1576.7,,,,,1576.7,7557.3,9678.4,0.0,3337.1,3.4,3333.7,,4098.6,-193.6,7242.1,11.2,7253.3,16931.7,
06/26/2020,16705.7,1063.0,1063.0,0.0,1129.2,1129.2,0.0,664.5,267.1,102.5,294.9,0.0,393.7,,393.7,3250.4,727.6,1595.5,-867.9,0.0,12727.7,11969.0,8297.7,3671.3,,758.7,13455.3,,1825.0,733.0,1092.0,1051.4,0.0,52.6,,52.6,998.8,0.0,,,0.0,2876.4,4850.0,4686.2,163.8,,163.8,1572.4,,,,,1572.4,6422.4,9298.8,0.0,3364.1,3.4,3360.7,,4187.8,-156.6,7395.3,11.6,7406.9,16705.7,
