Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2003,-58.0,-27.0,35.0,-2.0,,,-2.0,-64.0,,,-64.0,,-41.0,-38.0,1,,,-39.0,,,0.0,0.0,0.0,,,,,-3.0,-7.0,0.0,-7.0,,,,0.0,0.0,0.0,0.0,,-106.0,0.0,4.0,
09/30/2003,19.0,-80.0,37.0,17.0,,,17.0,45.0,,,45.0,,-35.0,-34.0,2,,,-36.0,,,0.0,0.0,0.0,,,,,-1.0,-2.0,0.0,-2.0,,,,0.0,0.0,0.0,0.0,,-18.0,-34.0,6.0,
12/31/2003,-332.0,24879.0,46.0,-23811.0,,,-23811.0,-1446.0,,,-1446.0,,-28.0,-23.0,10,,,-33.0,,,0.0,0.0,0.0,,,,,-5.0,442.0,0.0,192.0,,,,0.0,0.0,0.0,250.0,,82.0,-2.0,5.0,
03/31/2004,-39.0,-108.0,43.0,-5.0,,,-5.0,31.0,,,31.0,,-25.0,-29.0,0,,,-29.0,,,0.0,0.0,0.0,,,,,4.0,-1.0,0.0,-3.0,,,,0.0,0.0,0.0,2.0,,-65.0,,,
06/30/2004,-89.0,-106.0,41.0,-9.0,,,-9.0,-15.0,,,-15.0,,-21.0,-23.0,1,,,-24.0,,,0.0,0.0,0.0,,,,,2.0,35.0,0.0,36.0,,,,0.0,0.0,0.0,-1.0,,-75.0,0.0,16.0,
09/30/2004,-6.0,-95.0,42.0,-2.0,,,-2.0,49.0,,,49.0,,-5.0,-23.0,0,,,-23.0,,,0.0,0.0,0.0,,,,,18.0,34.0,0.0,38.0,,,,0.0,0.0,0.0,-4.0,,23.0,2.0,-1.0,
12/31/2004,-64.0,-27.0,38.0,-49.0,,56.0,-105.0,-26.0,,,-26.0,,-13.0,-14.0,0,,,-14.0,,,19.0,19.0,0.0,,,,,-18.0,343.0,0.0,360.0,,,,1.0,1.0,0.0,-18.0,,266.0,2.0,17.0,
03/31/2005,-54.0,-106.0,36.0,33.0,,,33.0,-17.0,,,-17.0,,-29.0,-24.0,0,,,-24.0,,,0.0,0.0,0.0,,,,,-5.0,-5.0,0.0,-3.0,,,,1.0,1.0,0.0,-3.0,,-88.0,,,
06/30/2005,1.0,-75.0,34.0,-1.0,,,-1.0,43.0,,,43.0,,33.0,-22.0,0,,,-22.0,,,0.0,0.0,0.0,,,,,55.0,-6.0,0.0,-4.0,,,,1.0,1.0,0.0,-3.0,,28.0,,,
09/30/2005,-39.0,-94.0,36.0,51.0,,,51.0,-32.0,,,-32.0,,1.0,41.0,55,,,-14.0,,,0.0,0.0,0.0,,,,,-40.0,-7.0,0.0,-5.0,,,,0.0,0.0,0.0,-2.0,,-45.0,,,
12/31/2005,-30.0,-79.0,36.0,-56.0,,,-56.0,69.0,,,69.0,,-9.0,-2.0,8,,,-10.0,,,6.0,6.0,0.0,,,,,-13.0,3.0,0.0,-3.0,,,,0.0,0.0,0.0,6.0,,-36.0,,,
03/31/2006,-56.0,-108.0,36.0,23.0,,,23.0,-7.0,,,-7.0,,-12.0,-14.0,0,,,-14.0,,,0.0,0.0,0.0,,,,,2.0,-2.0,0.0,-4.0,,,,2.0,2.0,0.0,0.0,,-70.0,,,
06/30/2006,-23.0,-76.0,34.0,2.0,,,2.0,17.0,,,17.0,,-39.0,-20.0,0,,,-20.0,,,0.0,0.0,0.0,,,,,-19.0,364.0,0.0,137.0,,,,241.0,241.0,0.0,-14.0,,302.0,,,
09/30/2006,-7.0,-50.0,44.0,-6.0,,28.0,-34.0,5.0,,,5.0,,-25.0,-39.0,0,,,-39.0,,,0.0,0.0,0.0,,,,,14.0,-7.0,0.0,-7.0,,,,0.0,0.0,0.0,0.0,,-39.0,,,
12/31/2006,23.0,-90.0,42.0,51.0,,-7.0,58.0,20.0,,,20.0,,-81.0,-26.0,0,,,-26.0,,,0.0,0.0,0.0,,,,,-55.0,100.0,0.0,108.0,,,,2.0,2.0,0.0,-10.0,,42.0,,,
03/31/2007,-50.0,-120.0,48.0,47.0,15.0,10.0,22.0,-25.0,,,-25.0,,-263.0,-33.0,0,,,-33.0,,,0.0,0.0,0.0,,,,,-230.0,232.0,0.0,235.0,,,,3.0,3.0,0.0,-6.0,,-81.0,,,
06/30/2007,-66.0,-100.0,60.0,-26.0,19.0,8.0,-53.0,,,,,,62.0,-44.0,0,,,-44.0,,,0.0,0.0,0.0,,,,,106.0,88.0,0.0,104.0,,,,0.0,0.0,0.0,-16.0,,84.0,,,
09/30/2007,7.0,-88.0,70.0,63.0,,13.0,50.0,-38.0,,,-38.0,,-81.0,-77.0,0,,,-77.0,,,,,,,,,,-4.0,-19.0,,-21.0,,,,1.0,1.0,,1.0,,-93.0,,,
12/31/2007,93.0,2.0,74.0,7.0,,-22.0,29.0,10.0,,,10.0,,-48.0,-60.0,0,,,-60.0,,,0.0,0.0,0.0,,,,,12.0,-17.0,0.0,-15.0,,,,0.0,0.0,0.0,-2.0,,28.0,,,
03/31/2008,25.0,-71.0,72.0,26.0,22.0,,4.0,-2.0,-9.0,-3.0,10.0,,-49.0,-44.0,0,,,-44.0,,,0.0,0.0,0.0,,,,,-5.0,-11.0,0.0,-13.0,,,,0.0,0.0,0.0,2.0,,-35.0,,,
06/30/2008,15.0,-89.0,81.0,46.0,,,46.0,-23.0,-12.0,,-11.0,,-44.0,-44.0,4,,,-48.0,,,1.0,12.0,-11.0,,,,,-1.0,-22.0,0.0,-25.0,,,,1.0,1.0,0.0,2.0,,-44.0,,,
09/30/2008,84.0,-72.0,78.0,79.0,,,79.0,-1.0,,,-1.0,,-27.0,-51.0,0,,,-51.0,,,0.0,0.0,0.0,,,,,24.0,-22.0,0.0,-11.0,,,,0.0,0.0,0.0,-11.0,,28.0,,,
12/31/2008,79.0,-52.0,80.0,57.0,,,57.0,-6.0,-4.0,,-2.0,,-26.0,-43.0,6,,,-49.0,,,4.0,4.0,0.0,,,,,13.0,-39.0,0.0,-24.0,,,,0.0,0.0,0.0,-15.0,,14.0,,,
03/31/2009,6.0,-58.0,74.0,54.0,5.0,,49.0,-64.0,,-50.0,-14.0,0.0,-36.0,-38.0,0,,0.0,-38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-22.0,0.0,-18.0,,3.0,-21.0,0.0,0.0,0.0,-4.0,-2.0,-54.0,,,
06/30/2009,44.0,27.0,76.0,-54.0,5.0,,-59.0,-5.0,-17.0,-9.0,21.0,0.0,-54.0,-54.0,0,,0.0,-54.0,-54.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,-34.0,0.0,-26.0,,3.0,-29.0,0.0,0.0,0.0,-8.0,6.0,-38.0,,,
09/30/2009,85.0,-73.0,82.0,59.0,5.0,,54.0,17.0,25.0,-23.0,15.0,0.0,-33.0,-33.0,0,,0.0,-33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,146.0,,735.0,-589.0,0.0,0.0,0.0,-38.0,1.0,161.0,,,
12/31/2009,121.0,-37.0,86.0,-28.0,3.0,-20.0,-11.0,100.0,9.0,52.0,39.0,0.0,-45.0,-49.0,0,,0.0,-49.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-26.0,0.0,-774.0,,0.0,-774.0,0.0,0.0,0.0,7.0,-2.0,48.0,,,
03/31/2010,-31.0,-119.0,82.0,78.0,5.0,,73.0,-72.0,-47.0,-6.0,-19.0,0.0,-39.0,-41.0,0,,0.0,-41.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-20.0,0.0,-18.0,,,-18.0,0.0,0.0,0.0,-2.0,-28.0,-118.0,,,
06/30/2010,36.0,-47.0,76.0,21.0,5.0,,16.0,-14.0,23.0,6.0,-43.0,0.0,-49.0,-48.0,1,1.0,0.0,-49.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-17.0,0.0,-17.0,,,-17.0,0.0,0.0,0.0,0.0,-1.0,-31.0,,,
09/30/2010,29.0,-6.0,75.0,-6.0,5.0,,-11.0,-34.0,3.0,-52.0,15.0,0.0,-35.0,-31.0,0,0.0,0.0,-31.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-16.0,0.0,-15.0,,,-15.0,0.0,0.0,0.0,-1.0,5.0,-17.0,,,
12/31/2010,149.0,0.0,79.0,0.0,5.0,-23.0,18.0,70.0,19.0,52.0,-1.0,0.0,-45.0,-47.0,0,0.0,0.0,-47.0,-47.0,0.0,-2.0,8.0,-10.0,0.0,0.0,0.0,0.0,11.0,-42.0,0.0,-187.0,0.0,,-187.0,1.0,1.0,0.0,-6.0,-1.0,61.0,,,
03/31/2011,-57.0,-33.0,73.0,-9.0,4.0,2.0,-15.0,-88.0,-28.0,-27.0,-33.0,0.0,-36.0,-36.0,0,,0.0,-36.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,-17.0,,,-17.0,1.0,1.0,0.0,0.0,2.0,-107.0,,,
06/30/2011,56.0,-34.0,75.0,36.0,4.0,4.0,28.0,-21.0,-12.0,10.0,-19.0,0.0,-46.0,-46.0,0,,0.0,-46.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,-18.0,,,-18.0,1.0,1.0,0.0,1.0,,-6.0,,,
