Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/2008,539.81,,-318.259,,221.551,,-117.494,,,,,,,104.057,-1.774,0.83,,0.0,0.944,102.283,-4.061,98.222,0.0,,,98.222,0.0,98.222,0.0,0.0,98.222,98.222,,75.098,1.31,1.31,1.37,75.954,1.29,1.29,1.35,
07/31/2008,433.836,,-259.656,,174.18,,-113.366,,,,,,,60.814,-0.897,-0.874,,0.0,1.771,59.917,-8.091,51.826,0.0,,,51.826,0.0,51.826,0.0,0.0,51.826,51.826,,75.866,0.68,0.68,0.78,76.975,0.67,0.67,0.77,
10/31/2008,323.441986,,-224.772003,,98.669983,,-111.051003,,,,,,,-12.381,-4.446,2.845,0.0,0.0,1.601,-16.827,1.873,-14.954,0.0,,,-14.954,0.0,-14.954,0.0,0.0,-14.954,-14.954,,76.045998,-0.2,-0.2,-0.11,76.045998,-0.2,-0.2,-0.11,
01/31/2009,149.351,149.351,-102.717,102.717,46.634,0.0,-102.851,77.126,38.671,38.455,20.943,4.782,0.0,-56.217,2.388,,,-3.9,1.512,-53.829,-0.019,-53.848,-3.46,-3.46,0.0,-50.388,0.0,-50.388,0.0,0.0,-50.388,-48.989,4.859,76.102,-0.66,-0.71,-0.643728,76.102,-0.66,-0.71,-0.646151,
04/30/2009,174.25,174.25,-109.877,109.877,64.373,0.0,-78.725,59.469,29.572,29.897,14.759,4.497,0.0,-14.352,-1.513,,,0.1,1.413,-15.865,5.454,-10.411,-0.331,-0.331,0.0,-10.08,0.0,-10.08,0.0,0.0,-10.08,-8.565,1.846,76.587,-0.13,-0.13,-0.111834,76.587,-0.13,-0.13,-0.111834,
07/31/2009,94.929,94.929,-76.939,76.939,17.99,0.0,-70.584,52.48,23.686,28.794,13.886,4.218,0.0,-52.594,-4.16,,,1.3,2.86,-56.754,-1.563,-58.317,-1.852,-1.852,0.0,-56.465,0.0,-56.465,0.0,0.0,-56.465,-57.896,0.421,76.994,-0.73,-0.76,-0.751955,76.994,-0.73,-0.76,-0.754532,
10/31/2009,343.392,343.392,-240.413,240.413,102.979,0.0,-119.047,85.852,51.471,34.381,14.159,4.282,14.754,-16.068,-0.885,,,-1.2,2.085,-16.953,-5.036,-21.989,0.0,0.0,0.0,-21.989,0.0,-21.989,0.0,0.0,-21.989,-7.137,14.852,77.569,-0.28,-0.28,-0.092008,77.569,-0.28,-0.28,-0.092008,
01/31/2010,163.238,163.238,-100.358,100.358,62.88,0.0,-89.403,69.789,41.094,28.695,15.455,4.159,0.0,-26.523,-4.813,,,0.9,3.913,-31.336,-2.486,-33.822,0.052,0.052,0.0,-33.874,0.0,-33.874,0.0,0.0,-33.874,-33.14,0.682,78.139,-0.43,-0.43,-0.424116,78.139,-0.43,-0.43,-0.424116,
04/30/2010,268.002,268.002,-156.779,156.779,111.223,0.0,-84.585,68.045,43.476,24.569,12.908,3.632,0.0,26.638,-7.764,,,0.4,7.364,18.874,-1.958,16.916,0.158,0.158,0.0,16.758,0.0,16.758,0.0,0.0,16.758,16.276,-0.64,78.805,0.2,0.2,0.206535,78.805,0.2,0.2,0.191879,
07/31/2010,354.076,354.076,-240.259,240.259,113.817,0.0,-93.132,71.492,46.706,24.786,17.582,4.058,0.0,20.685,-4.458,,,0.7,3.758,16.227,-3.848,12.379,6.459,6.459,0.0,5.92,0.0,5.92,0.0,0.0,5.92,13.566,1.187,79.36,0.07,0.14,0.170943,79.36,0.07,0.14,0.154957,
10/31/2010,373.701,373.701,-206.051,206.051,167.65,0.0,-108.206,87.743,60.071,27.672,16.669,3.794,0.0,59.444,-0.848,,,,0.848,58.596,-4.388,54.208,0.419,0.419,0.0,53.789,0.0,53.789,0.0,0.0,53.789,54.82,0.612,85.534,0.63,0.63,0.640915,98.461,0.58,0.58,0.586216,
12/31/2010,334.259,334.259,-188.65,188.65,145.609,0.0,-96.927,75.353,47.861,27.492,18.073,3.501,0.0,48.682,-4.013,,,,4.013,44.669,-3.849,40.82,-0.039,-0.039,0.0,40.859,0.0,40.859,0.0,-2.641,38.218,38.602,0.423,80.743,0.47,0.47,0.478085,93.682,0.45,0.45,0.454515,
03/31/2011,182.255,182.255,-120.043,120.043,62.212,0.0,-82.172,61.196,32.026,29.17,17.248,3.728,0.0,-19.96,-3.124,,,2.486,0.638,-23.084,0.668,-22.416,-0.362,-0.362,0.0,-22.054,0.0,-22.054,0.0,0.0,-22.054,-21.961,0.455,81.96,-0.27,-0.27,-0.267948,81.96,-0.27,-0.27,-0.267948,
06/30/2011,334.38,334.38,-211.219,211.219,123.161,0.0,-125.024,105.26,74.683,30.577,16.519,3.245,0.0,-1.863,-3.68,,,-0.3,3.98,-5.543,-3.076,-8.619,0.094,0.094,0.0,-8.713,0.0,-8.713,0.0,0.0,-8.713,-8.443,0.176,82.505,-0.11,-0.11,-0.102333,82.505,-0.11,-0.11,-0.107867,
09/30/2011,107.034,107.034,-74.703,74.703,32.331,0.0,-73.84,54.558,28.773,25.785,15.998,3.284,0.0,-41.509,-4.333,,,0.3,4.033,-45.842,-1.419,-47.261,0.11,0.11,0.0,-47.371,0.0,-47.371,0.0,0.0,-47.371,-46.493,0.768,82.94,-0.57,-0.57,-0.560562,82.94,-0.57,-0.57,-0.56074,
12/31/2011,236.325,236.325,-126.467,126.467,109.858,0.0,-89.61,69.933,40.228,29.705,16.823,2.854,0.0,20.248,-6.19,,,0.9,5.29,14.058,0.127,14.185,0.081,0.081,0.0,14.104,0.0,14.104,0.0,0.0,14.104,14.452,0.267,83.565,0.16,0.16,0.172943,83.565,0.16,0.16,0.163195,
03/31/2012,148.084,148.084,-116.466,116.466,31.618,0.0,-92.76,75.198,40.065,35.133,14.822,2.74,0.0,-61.142,-5.368,,,0.4,4.968,-66.51,0.505,-66.005,0.831,0.831,0.0,-66.836,0.0,-66.836,0.0,0.0,-66.836,-66.005,0.0,84.415,-0.79,-0.78,-0.78,84.415,-0.79,-0.78,-0.78,
06/30/2012,226.139,226.139,-186.731,186.731,39.408,0.0,-140.29,122.209,79.007,43.202,15.312,2.769,0.0,-100.882,-8.049,,,0.6,7.449,-108.931,-1.841,-110.772,0.066,0.066,0.0,-110.838,0.0,-110.838,0.0,0.0,-110.838,-110.772,0.0,85.01,-1.3,-1.3,-1.3,85.01,-1.3,-1.3,-1.3,
09/30/2012,273.084,273.084,-158.487,158.487,114.597,0.0,-118.53,96.66,65.851,30.809,19.32,2.55,0.0,-3.933,-7.419,,,-0.2,7.619,-11.352,-1.085,-12.437,0.054,0.054,0.0,-12.491,0.0,-12.491,0.0,0.0,-12.491,-12.063,0.374,85.396,-0.15,-0.15,-0.14126,85.396,-0.15,-0.15,-0.14562,
12/31/2012,415.773,415.773,-216.299,216.299,199.474,0.0,-118.482,93.604,60.724,32.88,22.369,2.509,0.0,80.992,-8.094,,,0.3,7.794,72.898,-2.021,70.877,-0.488,-0.488,0.0,71.365,0.0,71.365,0.0,0.0,71.365,71.261,0.384,93.338,0.76,0.76,0.763473,111.763,0.66,0.66,0.663436,
03/31/2013,299.487,299.487,-154.32,154.32,145.167,0.0,-116.105,92.116,51.747,40.369,21.183,2.806,0.0,29.062,-7.789,,,0.1,7.689,21.273,-0.103,21.17,-1.303,-1.303,0.0,22.473,0.0,22.473,0.0,0.0,22.473,21.286,0.116,93.698,0.24,0.23,0.227177,93.698,0.24,0.23,0.227177,
06/30/2013,142.667,142.667,-93.842,93.842,48.825,0.0,-98.389,74.461,41.601,32.86,20.871,3.057,0.0,-49.564,-11.233,,,0.7,10.533,-60.797,-1.087,-61.884,0.03,0.03,0.0,-61.914,0.0,-61.914,0.0,0.0,-61.914,-60.64185,1.24215,86.992,-0.71,-0.71,-0.697097,86.992,-0.71,-0.71,-0.697097,
09/30/2013,148.824,148.824,-92.463,92.463,56.361,0.0,-174.252,144.365,101.342,43.023,26.52,3.367,0.0,-117.891,-14.389,,,0.5,13.889,-132.28,8.185,-124.095,0.025,0.025,0.0,-124.12,0.0,-124.12,0.0,0.0,-124.12,-118.3608,5.7342,88.822,-1.4,-1.4,-1.332562,88.822,-1.4,-1.4,-1.335442,
12/31/2013,1863.869,1863.869,-1119.734,1119.734,744.135,0.0,-137.84,105.194,70.476,34.718,29.233,3.413,0.0,606.295,-5.949,,,-1.6,7.549,600.346,-21.902,578.444,0.018,0.018,0.0,578.426,0.0,578.426,0.0,-77.857,500.569,502.305,1.718,85.06,5.88,5.88,5.905302,111.812,4.69,4.69,4.705365,
03/31/2014,195.208,195.208,-108.288,108.288,86.92,0.0,-110.504,78.35,27.577,50.773,28.632,3.522,0.0,-23.584,-7.535,,,0.2,7.335,-31.119,0.345,-30.774,0.013,0.013,0.0,-30.787,0.0,-30.787,0.0,0.0,-30.787,-28.214,2.56,77.0,-0.4,-0.4,-0.366416,77.0,-0.4,-0.4,-0.366753,
06/30/2014,125.425,125.425,-54.156,54.156,71.269,0.0,-104.478,76.198,36.846,39.352,24.132,4.148,0.0,-33.209,-7.719,,,0.1,7.619,-40.928,5.525,-35.403,0.0,0.0,0.0,-35.403,0.0,-35.403,0.0,0.0,-35.403,-35.247,0.156,79.369,-0.45,-0.45,-0.44409,79.369,-0.45,-0.45,-0.448034,
09/30/2014,126.277,126.277,-52.016,52.016,74.261,0.0,-122.774,93.111,49.136,43.975,24.533,5.13,0.0,-48.513,11.464,,,0.1,-11.564,-37.049,-4.32,-41.369,0.0,0.0,0.0,-41.369,0.0,-41.369,0.0,0.0,-41.369,-52.309,-10.94,80.355,-0.51,-0.51,-0.650974,80.355,-0.51,-0.51,-0.650974,
12/31/2014,531.147,531.147,-278.013,278.013,253.134,0.0,-187.522,150.456,96.892,53.564,31.221,5.845,0.0,65.612,-10.958,,,2.1,8.858,54.654,-14.561,40.093,0.0,0.0,0.0,40.093,0.0,40.093,0.0,-3.127,36.966,37.907,0.941,80.659,0.46,0.46,0.469966,107.114,0.42,0.42,0.428785,
03/31/2015,300.089,300.089,-410.682,410.682,-110.593,0.0,-131.76,90.669,52.467,38.202,35.157,5.934,0.0,-242.353,-7.204,,,-0.2,7.404,-249.557,6.766,-242.791,0.0,0.0,0.0,-242.791,0.0,-242.791,0.0,0.0,-242.791,-242.526,0.265,81.085,-2.99,-2.99,-2.991009,81.085,-2.99,-2.99,-2.991009,
06/30/2015,275.297,275.297,-202.615,202.615,72.682,0.0,-135.319,94.602,45.567,49.035,34.142,6.575,0.0,-62.637,-7.534,,,0.2,7.334,-70.171,3.148,-67.023,0.0,0.0,0.0,-67.023,0.0,-67.023,0.0,0.0,-67.023,-65.1385,1.8845,82.833,-0.81,-0.81,-0.786383,82.833,-0.81,-0.81,-0.787249,
09/30/2015,346.974,346.974,-143.94,143.94,203.034,0.0,-136.603,104.837,54.876,49.961,24.413,7.353,0.0,66.431,-8.396,,,0.9,7.496,58.035,-3.3,54.735,0.0,0.0,0.0,54.735,0.0,54.735,0.0,-2.32,52.415,52.68995,0.27495,83.849,0.63,0.63,0.628391,110.304,0.55,0.55,0.552493,
12/31/2015,414.221,414.221,-257.861,257.861,156.36,0.0,-215.557,108.907,59.846,49.061,27.944,7.534,71.172,-59.197,-8.018,,,0.7,7.318,-67.215,24.802,-42.413,0.0,0.0,0.0,-42.413,0.0,-42.413,0.0,0.0,-42.413,3.8488,46.2618,83.426,-0.51,-0.51,0.046134,83.426,-0.51,-0.51,0.044525,
03/31/2016,377.206,377.206,-209.457,209.457,167.749,0.0,-123.174,82.415,38.02,44.395,33.308,7.338,0.113,44.575,-3.574,,,-0.393,3.967,41.001,5.398,46.399,0.0,0.0,0.0,46.399,0.0,46.399,0.0,0.0,46.399,44.074,-2.325,86.375,0.54,0.54,0.510263,114.496,0.48,0.48,0.459694,
06/30/2016,311.552,311.552,-191.38,191.38,120.172,0.0,-159.155,117.877,71.134,46.743,33.9,7.378,0.0,-38.983,-3.156,,,2.3,0.856,-42.139,3.572,-38.567,0.0,0.0,0.0,-38.567,0.0,-38.567,0.0,0.0,-38.567,-45.95575,-7.38875,84.588,-0.46,-0.46,-0.543289,84.588,-0.46,-0.46,-0.54735,
09/30/2016,420.167,420.167,-205.605,205.605,214.562,0.0,-167.368,129.872,80.187,49.685,30.005,7.491,0.0,47.194,-7.078,,,27.927,-20.849,40.116,-3.684,36.432,0.0,0.0,0.0,36.432,0.0,36.432,0.0,0.745,37.177,18.99715,-18.17985,87.176,0.42,0.42,0.217917,115.202,0.39,0.39,0.217917,
